Samples	meh	prkb	rbcl	rbcs	coxs	coxm	cutm	coxl	cutl	mct	abfd	acs	acss	acsb	nirk	nosz	norb	nirs	napa	nrfa	nira	narb	nasa	nr	hao	nit-6	nifk	nifd	nifh	pufm	peth	pete	petc	psba	psaa	apca	apcf	cpca	cpea	mpea	cpet	lhcb1	lhca1	sat	met3	apra	aprb	suox	sir	cysc	cysk	cysm	cysh	cysj	cysi	cysn	cysd
TSC140	0.0	19.6735	439.1124	841.5183999999999	171.6836	497.4638	0.0	290.5691	0.0	0.0	0.0	0.0	0.0	0.0	137.9977	0.0	0.0	0.0	82.0175	0.0	0.0	0.0	14.9953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0083	14.6955	238.4442	430.7667	849.1399999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.76729	0.0	0.0	555.5327	0.0	0.0	1069.38236	1001.2022	259.0307	202.9264	658.3429	320.3423	154.937	375.86249
TSC146	0.0	220.35	0.0	0.0	312.291	595.6754000000001	0.0	145.07700000000003	0.0	0.0	22.4548	0.0	0.0	0.0	294.4478	87.34639999999999	212.1492	0.0	89.4714	0.0	83.3443	60.8661	218.8677	0.0	0.0	0.0	0.0	0.0	0.0	31.9002	51.5825	78.8257	1110.0238000000004	355.0523	0.0	0.0	107.74	86.8157	8.48881	111.013	64.7057	0.0	0.0	511.66743	0.0	0.0	0.0	0.0	154.068	893.3311799999998	1990.75098	209.55572	472.0851	207.3165	349.93034	349.24271	421.6616
TSC147	0.0	413.791	9.23044	73.9045	541.0553	436.4584	0.0	171.14849999999998	0.0	0.0	0.0	12.4325	0.0	0.0	215.0586	43.6157	12.6326	0.0	98.1175	0.0	179.7002	181.053	21.5273	0.0	0.0	0.0	0.0	0.0	0.0	217.4836	52.2979	143.829	1495.56863	537.34	147.706	0.0	174.7754	87.0911	93.8406	0.0	75.5131	0.0	0.0	422.23336	0.0	0.0	193.1019	0.0	213.241	899.11259	1896.6886399999992	227.8604	234.55561	325.39119	103.4576	367.61748000000006	784.0145
TSC148	0.0	149.6512	68.2957	73.0964	358.86815000000007	732.6818000000001	0.0	81.16390000000001	0.0	0.0	176.841	0.0	0.0	0.0	15.378	0.0	109.7484	85.5792	0.0	0.0	98.991	153.58996	126.9493	0.0	0.0	0.0	0.0	0.0	6.54885	42.2132	159.4879	110.0218	1800.1635999999994	163.9362	515.9193799999999	60.0299	169.4222	63.9526	63.9526	0.0	0.0	0.0	0.0	361.1167	0.0	0.0	3631.19705	0.0	0.0	1839.63545	2178.7281699999994	108.63909999999998	328.31003000000004	1272.45062	323.5187	179.32904000000002	2320.644840000001
TSC149	0.0	0.0	57.5455	23.8578	144.0271	517.7583	0.0	48.595	0.0	0.0	329.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.7755	0.0	0.0	0.0	0.0	0.0	0.0	8.2135	40.1185	21.5968	34.277	1034.2374	0.0	652.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	774.82419	0.0	0.0	1844.0362	8.54826	703.234	2164.09207	595.0072799999999	44.8637	774.4262099999999	172.1678	118.90162	144.845	1743.0506300000004
TSC150	0.0	711.56	19.2573	0.0	662.3867	1254.43667	0.0	514.7187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	309.7829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	512.4100000000001	42.353	270.0675	230.424	41.7367	0.0	0.0	0.0	0.0	0.0	48.7903	0.0	0.0	1499.6871	0.0	0.0	1635.7884	0.0	1244.2531	1587.66286	534.68993	263.13160000000005	461.1815	111.3823	17.6074	21.9836	94.04576
TSC152	0.0	0.0	0.0	0.0	105.2764	282.0356	12.0015	40.7608	0.0	18.7674	21.5019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.6426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.2249	0.0	0.0	351.1821	177.5214	19.6289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.2018	0.0	0.0	2424.029	0.0	291.733	245.28418	479.2113	39.46711	1423.1245600000002	112.3953	0.0	0.0	382.114
TSC153	15.4797	0.0	0.0	0.0	136.1244	458.8808999999999	0.0	76.97409999999999	0.0	0.0	53.2773	0.0	0.0	0.0	13.2986	0.0	0.0	0.0	0.0	0.0	213.467	283.7928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.3669	0.0	1372.7995	166.87189999999998	29.0567	2321.3354000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1644.2844000000005	8.30352	0.0	1403.9103999999998	20.6696	0.0	476.477	497.23416	0.0	243.19389	274.5395	91.9031	29.8475	340.92339000000004
TSC154	0.0	348.0946	91.09164	606.8033999999999	722.6273000000001	2308.0212000000006	0.0	741.4352000000001	0.0	0.0	45.1318	0.0	0.0	0.0	102.7879	0.0	14.3656	21.8488	0.0	0.0	69.6015	9.69901	186.921	0.0	0.0	0.0	0.0	0.0	15.7462	0.0	818.0368	166.5783	905.75375	682.0616	212.41765	0.0	0.0	0.0	611.17	0.0	31.47429	0.0	0.0	2202.893	0.0	12.6249	1761.6165999999998	0.0	1307.4541	1443.8877800000002	906.01288	128.35151	1110.69897	684.6308000000001	278.6061	237.6157	595.4142999999999
TSC156	0.0	85.3986	89.7553	68.75450000000001	355.34700000000004	544.1819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.87723	0.0	0.0	0.0	104.4714	64.69481999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	732.7393000000001	1813.8698	253.729	1529.8067999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	857.4279	0.0	0.0	2618.1331	26.5045	97.4251	2148.413990000001	1260.5134	62.2449	1873.80147	1119.8409700000002	235.19217000000003	225.3651	1018.12189
