Samples	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
TSC011	2770.052739999999	21096.57742000001	10945.48724	14825.005940000005	119373.92776000002	6148.940910000001	64965.923610000005	22058.70193	12074.743890000009	17060.936680000017	5558.26294	20976.17159999999	51070.47469000003	6818.5718	16404.171339999986	105379.5432300001	14250.46285	2695.976100000001	7423.546179999998	4166.0509	12399.200160000008	8369.450760000005	3955.56752	10728.03331	18057.39775	9981.69151	15094.26062	26332.741830000017	15934.54416	30509.91847000001	36217.20707	16403.048090000004	10990.063319999996	57981.55401000002	48479.88705999991	57274.726340000016	8210.966320000003	11501.137120000005	35651.06095000004	11846.56898999999	4212.787090000001	4158.554779999998	65901.43350000007	83034.02517000001	73538.43428999998	27632.0758	91253.60920000012	25935.830419999987	20357.209420000003	7530.28223	12295.889549999998	4286.440699999997	11772.97715999999	7509.779899999999	9354.712710000003	16001.27595000001	57518.57042999996	136755.01124999957	92153.93927999987	26912.76425	19893.97179	13235.270369999998	46030.23112000007	21272.161219999987	14849.480439999996	43937.50885000004	14423.64252	5569.10887	10226.87817	28986.07395000002	4041.6375899999994	9225.795209999998	35182.95159000001	20534.780649999982	40001.42213000005	36081.99008999997	72073.81456999989	21683.93621000001	12543.802920000013	17424.74136	38321.85453	17109.246670000004	4729.812720000001	18758.62143	13614.47679000001	19515.686309999997	7698.216739999997	121969.33545999994
TSC013	2538.8754400000003	24955.720909999996	12623.963430000003	14558.730490000002	126687.37735000016	6667.620310000003	74823.02527999991	22067.84984999999	13525.550239999991	22856.333050000005	5869.023440000001	25292.596129999976	49737.87999	5683.242429999999	16581.816150000013	112310.6936900001	13129.672	2940.0400699999987	7392.520520000001	2857.70846	12860.826459999991	7667.906709999997	5070.579289999998	10851.68244	15877.11411999999	10274.814909999996	17199.479179999995	27508.28419999999	16730.38595999999	33375.49825999998	33301.464209999984	13997.38223	12305.370180000002	60038.50103999999	47998.433789999945	56045.16844000006	5683.214930000002	14790.214539999995	38913.800219999976	12555.376510000006	4798.262049999999	5239.720839999998	65389.70813	92261.43212000008	82263.739	32773.35455	104240.40642999996	29310.02461	20610.991930000004	7632.290469999998	12336.68507	4019.768690000001	13790.051029999991	7430.654500000001	9846.935470000002	18954.462569999985	57861.51602	140501.3998500003	92717.61335999992	26349.042939999992	18579.96215000001	13769.104389999991	53319.97917000004	24334.484520000013	16303.753680000009	41075.86257999998	15010.344259999987	6511.473760000001	9796.838620000002	35819.82460999995	3914.224920000001	10126.860700000005	38352.18452000001	20059.83073	47742.90634000008	39155.31654	72771.18825999997	22349.27841999999	12566.994340000005	18516.926520000005	40533.90555	19962.76075	7187.923900000005	18978.85827999999	13534.26195	19103.630280000005	7429.768790000002	123251.79854000018
TSC014	7634.096089999998	48928.87776999996	24396.065929999997	32631.023050000003	276808.34577999986	15601.788120000016	162646.98988999988	46158.676620000064	21871.13212	36232.22358000003	11586.225959999998	48189.14844000002	129043.13861999977	11678.73802	33828.189689999985	251968.21155000007	33702.60368999999	3592.2413	22414.862170000037	7214.178670000004	25787.17921	18410.19881	10185.54473	21129.58431000001	34698.16267999998	19649.22326	35528.692549999985	57886.45149999998	39387.89437999997	64458.61485999995	69261.89232	34185.07272000003	26972.92013999997	131135.41615000006	100419.3077600002	119477.31408	13497.608540000008	27252.10464000004	77900.38308000004	22989.13493	10311.785339999997	8762.81576	142162.49670999998	198792.54265000013	169653.0867300001	56742.97719999996	242407.09606000016	52165.05159999999	45105.76892	15494.857720000007	25844.674429999966	9992.640139999998	26862.38774000001	15720.597740000014	20491.47865	35019.76055999999	118118.00397000012	322258.51145999983	202243.03511	44844.62741999995	45472.153149999984	26070.635150000027	100848.4211199999	56525.15047000004	35375.64196000001	107814.8166	32061.980119999997	11731.927730000009	21392.78260000001	73575.39314999987	7058.345529999999	20832.17319	72534.43199999994	43723.08076	87393.19739000004	72679.18037000005	161385.56337	47599.15998999999	27782.94097000001	40009.22799000001	96043.3287799999	36304.072100000005	12687.997759999997	34763.16118000004	26098.680420000008	42780.01474000003	18667.23309999998	267329.48002000013
TSC016	11860.797499999991	86226.77847000006	39798.61604999997	55059.65718	464943.6702699993	23825.59455999999	280417.28317000024	83014.0291499999	36380.83876999999	67214.83420000001	20605.244349999997	83364.14529000003	207026.3129199999	19741.92471000001	70379.85653999996	425127.5878800006	51595.30484000002	7243.966139999999	28703.44236999998	14035.380900000004	38570.23366	34722.29158999998	16276.61488	45038.359119999965	65259.81294999998	39846.70961999998	54404.95029000002	100450.11768	58548.709459999984	116384.62097000008	115337.92155000006	53806.8259999999	43457.86899000005	220152.2457099997	196881.53645999992	213098.63166000004	26288.42832	45523.98978	153425.89063999988	41510.90012000004	16065.164810000011	17389.6316	228003.8908699997	338270.5874799996	286215.5413100002	110959.93854000005	409823.59670999984	97378.29388000011	76786.93181000001	25434.132020000005	48096.84433000002	20323.13754000001	39283.35914999998	28397.759610000005	42385.72365999998	63523.608229999976	209470.12509	554920.9758299999	344162.4489900001	94754.2885699999	80348.6699300001	55351.59442	190232.3065300001	92865.83263000016	57674.73574999995	186050.0749	57722.99096999997	16324.546019999994	37347.41837	123740.47478	12050.32974	30407.89066000001	134633.80555999986	76253.90358999994	165285.68989999982	133612.7827200001	269680.87195000006	77160.69679000009	50302.339469999984	77656.44443000008	165206.69489999962	67726.31226000015	18270.05328000002	66057.61382000001	47286.62155000001	71128.06409000004	35734.14236000001	460016.3380299997
TSC018	6278.81792	79222.90889000011	32742.081690000003	60876.157679999946	455588.2221599999	17194.98074000001	294791.3347000002	61251.21827999998	33533.0102	58862.6418300001	17519.783270000004	59329.34465000003	206931.71122999984	13008.145530000002	53410.866	417136.30661000055	47064.34543999994	3915.34659	20678.536979999983	6877.245660000002	36226.01351999997	20433.19821000001	14317.771060000005	34238.97134	44844.11265000007	39279.705100000014	44578.288559999935	97284.34434999994	61994.16368999996	90491.08952000013	114725.7944299999	50314.855250000015	39347.62519000004	198103.2353199997	194665.98457999987	187544.6916599997	18976.293380000006	33584.248009999974	124401.67591000008	34831.82431	9918.492580000002	13878.272619999996	228386.18874000007	336390.42004000006	261816.6276600002	95191.58621000012	458331.3893200001	85458.61417999993	59337.99440000002	24499.003209999995	45393.35700000007	8588.028669999998	39081.94832999997	19619.838400000008	22692.512420000006	50862.96785999996	175632.89841999995	558694.7670799983	342722.95421	60973.51170000005	55006.92073999995	43656.49719	146453.04643000025	90809.7320799999	53336.09541999999	194361.63030999975	52902.78306999994	16741.566040000005	30129.745230000004	116197.77130000004	9090.55751	24296.890079999976	123009.07415	55243.68800000004	147078.98783000006	109674.27235999996	273206.29537999915	70318.66060000012	47023.65958999997	58487.29243999996	166464.27022000027	65974.93646000001	17065.654300000006	67266.33892999994	35367.83088000002	69803.99923999995	23628.44660000001	431815.4129299993
TSC020	10204.77308	105482.47328	45672.85332999996	65301.09425000001	601160.6630300002	21193.251300000007	357572.41363	85193.50327000003	49029.08214999999	78166.07976999998	20758.025789999992	72809.21328999994	278388.06924999953	16216.568900000004	78286.97665000006	554043.7874899997	63329.58825000001	6905.3857	28562.126109999987	10041.065179999998	42559.88957	31029.27449999998	17856.3176	50423.957339999964	58488.51993	54486.74577999992	55290.68420000005	112035.34285999982	76704.89143000003	120738.04469000008	142701.54445	66198.68918999989	53803.87845000003	279232.8221499998	274713.64913999947	232830.6616599999	21344.628430000008	43846.10745000005	159970.19019	40813.86597000001	15216.087089999995	16641.811389999995	283817.2039499998	448902.810890001	354447.77271000016	133402.57675000004	601535.9069599994	119878.91808000012	81618.7483900001	30583.41047000001	59180.112389999966	14259.133539999995	52540.36037000001	24108.95254	40945.511250000025	71001.70956000002	232836.78655000028	720595.1108799991	468174.05551	80062.61533999997	78169.56413000003	58047.61930000003	183449.74590000045	121152.06667999996	67270.66321999997	242953.77787999995	73866.50664999994	22805.6327	44599.08480000005	155905.08124000003	14653.82624	25598.04917000001	164728.1448100001	70627.05746999999	189977.9204500001	144267.8494800002	354592.89589999994	92372.34597000008	70442.64295000004	75834.5458699999	222071.3344	77970.15355999999	26437.961060000005	90527.12340999994	53354.46674999995	94851.68031999996	23836.007090000003	568056.2850499998
TSC021	3421.746629999999	65348.941240000015	25767.95820000002	40246.119920000005	354997.9350500004	12679.091410000005	186615.9481600001	62189.09456999996	26717.74650999997	37386.71836999998	14660.360469999996	49805.86986000001	113585.13948999996	9923.6747	33038.81950000002	340688.25752999977	29858.63476999997	4474.94423	13660.743570000004	5727.75686	20351.397840000005	14994.34309000001	18607.091860000008	21548.714159999992	25865.44591000001	25169.903910000005	43037.62589999998	60086.10931000002	48579.34189	74116.62113	80211.97970999994	39362.27154000001	28001.543160000023	150093.30714000005	179110.46353999988	136146.78103	14948.192079999995	22874.096749999997	76298.04217999999	23686.135990000017	8593.411379999998	7939.685259999998	198367.9184	275634.2146800004	174944.11456	64179.02068000002	333316.5082699997	50644.12414	37991.15419000001	13399.605069999994	34318.58541000003	9468.918190000002	25516.75663000002	17068.843320000007	16576.937799999992	33842.885650000004	115789.39544000004	424689.70735000033	241737.38734999983	45113.45225999998	49265.13482999996	31084.473799999974	100305.01308999976	49322.31482000004	33537.27791999999	130292.39214000004	46642.77753999997	10936.467699999996	13183.787799999996	85219.75783	11594.942949999995	16778.073839999997	90045.94908999998	49484.23687000001	96885.24197	81203.98696999994	186991.7396999997	54365.82062999994	41247.85014000005	42895.316080000026	121652.32157999996	48842.54183999998	20072.069030000013	50629.44381999998	23099.582699999984	46795.009769999975	16297.973580000013	321605.80620000005
TSC023	9470.141379999994	46976.59591000004	25315.46603000001	27943.50467	237301.87852999975	14960.675609999991	135628.2069800001	51551.66229000002	22139.742339999997	33910.906770000016	15217.715029999992	51337.49656999999	102060.64384000016	12037.948769999995	40245.57135000001	218116.8670900001	33339.224590000005	7641.521230000003	17581.767320000014	8454.024909999998	24877.862000000005	19364.88931999999	12592.595180000002	26533.05535	35139.905179999965	21774.26716000002	35813.38152999998	57574.54638000003	35003.79707000002	75377.96480999996	73684.51665999985	35781.343360000035	21908.957199999983	124106.56737	88369.7949999999	129055.48585000024	16518.795840000017	29804.08751000001	86247.64929	26926.68521	14451.96512	10869.595900000006	130622.14764000024	169408.01304000046	171002.90261999995	52807.91372999999	194075.60928000027	58108.36973000001	45208.334329999976	17582.55453	25628.562630000022	13592.316069999988	27148.900770000007	18176.165969999984	23567.97461	41506.600940000026	119702.87591000006	281097.90814000065	176533.83439000024	50482.99255999999	51879.58842999997	28185.24832	117822.12413999988	51611.20056999994	44109.25105999999	91891.89067000004	29864.11295000002	11435.60049	24261.7345	67073.09338000008	11975.892919999991	19417.01753999999	69901.01284000002	48532.42941999999	92455.28527000004	78516.74979999987	131434.94538000016	45897.55169000005	30120.58121999997	42923.63055000006	75437.52871000003	39421.68775	15110.38789999999	39636.04443000003	30547.104480000005	35578.534420000025	19204.007240000006	259204.31471999997
TSC025	3331.73875	54512.54614999997	21423.23541	45900.69520000002	330901.6495899993	11205.310569999998	191740.2462800001	44022.515739999966	14788.516629999993	47755.422620000005	11498.53906	39328.65697999999	148875.2544700002	7100.18064	34221.69055000004	332955.68182999967	26082.38844	2484.46055	12944.59444	6275.6341	27626.24013999999	12660.54524000001	9795.22403	20213.26789	26482.94914000001	28382.877700000005	40750.07328	52865.96015	40694.24223000002	51607.59099000001	86748.26987999993	29240.140010000006	25839.27090000004	151055.93245999984	170657.41127000048	117978.90447999988	14478.426309999995	21891.152189999997	82473.31168000003	22636.50875	8947.517740000001	9632.86406	185958.02152000004	246546.77880000023	184916.03105000025	59666.01084000005	305561.6735499998	68844.22405000002	44210.49485	15320.710420000005	38885.10231000002	8604.562550000004	20763.13633	15329.13064	14390.759719999996	37647.16452999999	106839.39764000014	386644.3203799989	242912.55183000013	40119.673770000016	50209.07876000003	21356.235570000008	100434.40451000002	53944.54769999998	42812.58118	119047.18338999996	43082.174619999976	9056.122540000002	23907.506810000003	72109.60500999998	5501.5331000000015	20729.932400000016	81068.44408999992	36838.856820000015	97036.51047000004	80099.41425	191312.04429000025	50570.92368	32857.5922	43963.9396100001	119591.56324999996	51996.52002	15982.461939999994	50501.18666000001	23405.64689999999	45960.22939	12720.945160000005	292781.9175599997
TSC027	3242.2299099999977	39484.001479999984	17024.492160000005	27000.61215999999	225892.5892700004	8367.722729999994	130900.9919300001	36749.31621999999	18604.17007000001	28794.099269999995	7902.25699	33167.00444	94476.21056	8586.525230000001	27722.839320000014	209084.3137600003	20774.19224999999	1720.76997	9320.73202	5527.722979999999	16510.935139999998	14318.908660000006	12417.953620000002	15009.4901	24685.08895999999	19521.02508999999	25445.958339999965	48340.0377	29548.99187000003	45745.12508999989	58885.37393000004	23583.52128999997	21830.379230000013	107677.14457999998	97836.80125000008	99069.0824	10475.818560000003	21997.21975999999	60412.97611	17683.905790000008	6556.53788	6693.583	119196.1847200003	154921.34025	132086.9822500001	47712.11773999999	208338.66529000003	43601.10483999999	32336.81736000001	14077.175130000009	19780.071010000003	7109.3304199999975	19510.14974	11508.232619999995	10992.338290000002	29247.486080000013	87359.89020999984	271176.36112000025	170297.47717999984	27979.44659	31124.087989999964	19901.389370000008	78108.37400000003	42727.84883	25964.69419999997	97101.0238400002	26014.29652999999	6892.522179999997	14419.95871000001	57306.10288000003	5266.294889999999	11551.021440000002	62603.57704000007	28614.158330000024	68644.98325999996	55984.52913000001	136759.0245500001	35586.835440000024	27698.6896	32979.63058000002	78794.63618000004	32534.85597	12625.761889999992	32325.36591	21056.19997	37876.69979	11667.612669999997	219438.2217600001
