"TSC_NAME"	"PANGAEA sample id"	"Station.label"	"Layer"	"Layer2"	"polar"	"lower.size.fraction"	"upper.size.fraction"	"Event.date"	"Latitude"	"Longitude"	"Depth.nominal"	"Depth.Mixed.Layer"	"Temperature"	"Oxygen"	"ChlorophyllA"	"Salinity"	"Carbon.total"	"NO2"	"NO2NO3"	"NO3"	"PO4"	"Ammonium.5m"	"Iron.5m"	"Alkalinity.total"	"CO3"	"HCO3"	"NP"	"Lyapunov"	"Si"	"Nitracline"	"Brunt.Väisälä"	"Okubo.Weiss"	"Residence.time"	"PAR.PC"	"Gradient.Surface.temp(SST)"	"Fluorescence"	"Density"	"Depth.Min.O2"	"Depth.Max.O2"	"Mean Flux at 150m"	"FluxAttenuation"	"NPP 8d VGPM (mgC/m2/day)"	"Ocean"	"Province"
"TSC245"	"TARA_B110000003"	"TARA_155"	"SRF"	"EPI"	"polar"	"0.22"	"3"	"2013-05-24 5:36:00"	"54.5305"	"-16.9377"	"5"	"64"	"11.09547"	"271.064125"	"0.772148"	"35.32522"	"0.1019"	"0.237125"	"8.035625"	"4.467439"	"0.401861"	"0.007189204509"	"0.0004261557624"	"0.00735"	"0.01065"	"0.02345"	"11.11687623"	"0.101888"	"0.967928"	"561"	"37"	"0.157922"	"0"	"178.103734"	"0.54836"	"1.773811"	"27.01156"	"720"	"16"	""	""	""	"[NAO] North Atlantic Ocean (MRGID:1912)"	"B6"
"TSC246"	"TARA_B110000008"	"TARA_155"	"DCM"	"EPI"	"polar"	"0.22"	"3"	"2013-05-25 9:07:00"	"54.5451"	"-16.7943"	"40"	"31"	"10.79018"	"266.473125"	"0.789471"	"35.335155"	"0.0298"	"0.071"	"10.158"	"7.129639"	"0.566253"	"0.007189204509"	"0.0004261557624"	"0.0004"	"0.0044"	"0.0121"	"12.59090724"	"0.101888"	"3.554362"	"1021"	"32"	"0.157922"	"0"	"14.280855"	"0.28477"	"1.814179"	"27.07531"	"743"	"16"	""	""	""	"[NAO] North Atlantic Ocean (MRGID:1912)"	""
"TSC247"	"TARA_B110000014"	"TARA_155"	"MES"	"MES"	"polar"	"0.22"	"3"	"2013-05-24 13:15:00"	"54.5742"	"-16.8345"	"751"	"343"	"8.923581"	"208.76175"	""	"35.40565"	""	""	""	"13.716288"	""	"0.007189204509"	"0.0004261557624"	""	""	""	""	"0.101888"	""	"825"	"32"	"0.157922"	"0"	"0.000362"	"0.34844"	"1.960961"	"27.460706"	"773"	"15"	""	""	""	"[NAO] North Atlantic Ocean (MRGID:1912)"	""
"TSC248"	"TARA_B110000027"	"TARA_168"	"SRF"	"EPI"	"polar"	"0.22"	"3"	"2013-07-01 3:20:00"	"72.5128"	"44.0775"	"5"	"15"	"7.48766"	"299.0073"	"0.825342"	"34.92331"	"0.217"	""	"0.0595"	""	""	"0.006979311196"	"0.0004300054085"	"0.00275"	"0.01695"	""	""	"0.011037"	"1.725127"	"244"	"31"	"-0.011538"	"1.222222"	"217.805071"	"0.45599"	"2.102862"	"27.289205"	"154"	"35"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	"B8"
"TSC250"	"TARA_B110000046"	"TARA_168"	"DCM"	"EPI"	"polar"	"0.22"	"3"	"2013-07-01 12:34:00"	"72.5432"	"44.102"	"40"	"19"	"3.824545"	"326.3609"	"1.1063"	"34.975345"	"0.1971"	"0.063"	"0.821"	""	"0.098435"	"0.006979311196"	"0.0004300054085"	"0.0094"	""	"0.0103"	""	"0.011037"	"1.135333"	"103"	"35"	"-0.011538"	"1.222222"	"2.474629"	"0.92917"	"2.454789"	"27.784685"	"245"	"36"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	""
"TSC251"	"TARA_B110000090"	"TARA_173"	"SRF"	"EPI"	"polar"	"0.22"	"3"	"2013-07-08 4:12:00"	"78.9564"	"79.4201"	"5"	"15"	"-0.160312"	"385.28075"	"0.417069"	"33.613775"	"0.43265"	"0.0015"	"0.441"	"2.099614"	"0.056871"	"0.004081616285"	"0.001215531471"	"0.00325"	"0.00095"	"0.0218"	"36.9188866"	""	"0.273079"	"46"	"19"	""	"4.833333"	"161.90166"	"0.84307"	"2.28495"	"26.994413"	"47"	"14"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	"B8"
"TSC252"	"TARA_B110000091"	"TARA_173"	"DCM"	"EPI"	"polar"	"0.22"	"3"	"2013-07-08 11:00:00"	"78.9354"	"79.0604"	"35"	"15"	"-1.29785"	"348.000625"	"2.003142"	"34.4561"	"1.3839"	"0.026"	"1.709"	"4.427788"	"0.209065"	"0.004081616285"	"0.001215531471"	"0.0037"	""	"0.0542"	"21.17900175"	""	"0.231772"	"46"	"19"	""	"4.833333"	"2.853256"	"0.84307"	"3.166069"	"27.72345"	"47"	"14"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	""
"TSC254"	"TARA_B110000114"	"TARA_175"	"SRF"	"EPI"	"polar"	"0.22"	"3"	"2013-07-10 3:58:00"	"79.2233"	"66.3435"	"5"	"374"	"1.365705"	"369.289812"	"1.019477"	"34.264755"	"0.21605"	"0.001"	"0.3685"	"2.150477"	"0.063634"	"0.0005893733287"	"0.001093379765"	"0.01165"	"0.01385"	"0.0054"	"33.79446522"	""	"0.523062"	"377"	"34"	""	"0"	"79.822933"	"1.0604"	"2.134432"	"27.429195"	"322"	"13"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	"B8"
"TSC256"	"TARA_B110000196"	"TARA_163"	"MES"	"MES"	"polar"	"0.22"	"3"	"2013-06-10 8:38:00"	"76.1246"	"1.3648"	"499"	"0"	"0.099535"	"315.37205"	""	"34.94578"	""	""	""	"13.010683"	""	"0.01455705236"	"0.0008741565398"	""	""	""	""	"0.058176"	""	"607"	"573"	"-0.007624"	"3.277778"	"0.000227"	"1.1058"	"2.250862"	"28.05824"	"104"	"584"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	""
"TSC257"	"TARA_B110000208"	"TARA_178"	"SRF"	"EPI"	"polar"	"0.22"	"3"	"2013-07-15 2:11:00"	"77.1604"	"73.2057"	"5"	"16"	"1.325833"	"348.196667"	"0.119264"	"34.142392"	"0.023975"	"0.008333"	"0.278"	""	"0.047034"	"0.003428314017"	"0.0013285035"	"0.0034"	"0.00305"	""	""	""	"0.244154"	""	"25"	"-0.040917"	"0"	"174.469782"	"3.0358"	"2.15788"	"27.333308"	"310"	"28"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	"B8"
"TSC258"	"TARA_B110000211"	"TARA_180"	"DCM"	"EPI"	"polar"	"0.22"	"3"	"2013-07-18 8:27:00"	"74.8283"	"76.2096"	"30"	"11"	"-1.533492"	"356.223917"	"0.509085"	"33.646092"	"0.6226"	"0.075667"	"2.080833"	""	"0.482771"	"0.003474399098"	"0.00138765591"	""	""	"0.0112"	""	""	"8.877352"	""	"5"	"0.010402"	"3.777778"	"3.869806"	""	"6.974842"	"27.072625"	"34"	"23"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	""
"TSC259"	"TARA_B110000238"	"TARA_188"	"SRF"	"EPI"	"polar"	"0.22"	"3"	"2013-08-15 0:30:00"	"78.2518"	"91.8557"	"5"	"27"	"-1.649738"	"388.303875"	"1.417326"	"32.950844"	"1.68195"	"0.074"	"0.513"	""	"0.216027"	"0.002257904109"	"0.001304139053"	"0.0316"	""	"0.2274"	""	""	"0.465648"	""	"20"	"-0.072783"	"0"	"82.927971"	"2.8604"	"2.853854"	"26.511331"	"27"	"14"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	"B8"
"TSC260"	"TARA_B110000240"	"TARA_188"	"DCM"	"EPI"	"polar"	"0.22"	"3"	"2013-08-15 7:54:00"	"78.3555"	"91.6084"	"17"	"27"	"-1.647244"	"373.061"	"1.375654"	"33.436706"	"1.7308"	"0.124"	"1.227"	""	"0.307592"	"0.002257904109"	"0.001304139053"	"0.0164"	""	"0.1738"	""	""	"0.851791"	""	"20"	"-0.072783"	"0"	"13.783597"	"2.8604"	"2.982844"	"26.906337"	"27"	"14"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	""
"TSC261"	"TARA_B110000259"	"TARA_189"	"SRF"	"EPI"	"polar"	"0.22"	"3"	"2013-08-27 1:53:00"	"77.9028"	"117.1545"	"5"	"150"	"0.10149"	"363.6485"	"0.815481"	"28.82053"	""	""	""	""	""	"0.0006205835392"	"0.00127005092"	""	""	""	""	""	""	""	"6"	""	"0"	"36.980174"	""	"5.496034"	"23.11621"	"1010"	"13"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	"B8"
"TSC262"	"TARA_B110000261"	"TARA_189"	"DCM"	"EPI"	"polar"	"0.22"	"3"	"2013-08-27 11:40:00"	"77.9668"	"116.6556"	"20"	"499"	"-0.607125"	"371.05845"	"0.892787"	"32.726735"	""	""	""	""	""	"0.0006205835392"	"0.00127005092"	""	""	""	""	""	""	""	"5"	""	"0"	"5.979815"	"0.68124"	"4.162668"	"26.29815"	"618"	"13"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	""
"TSC263"	"TARA_B110000263"	"TARA_189"	"MES"	"MES"	"polar"	"0.22"	"3"	"2013-08-28 0:47:00"	"78.0391"	"116.4105"	"299"	"499"	"1.59404"	"293.889"	""	"34.92558"	""	""	""	""	""	"0.0006205835392"	"0.00127005092"	""	""	""	""	""	""	""	"4"	""	"0"	"0.000272"	"3.8218"	"2.592579"	"27.94409"	"844"	"16"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	""
"TSC264"	"TARA_B110000285"	"TARA_191"	"SRF"	"EPI"	"polar"	"0.22"	"3"	"2013-09-02 22:37:00"	"71.5955"	"160.9383"	"5"	"0"	"1.48885"	"340.44375"	"0.431723"	"28.41685"	"0.05735"	"0.07525"	"1.06325"	"0"	"1.195806"	"0.0002604432583"	"0.001360622002"	"0.00085"	"0.0039"	"0.0083"	""	""	"19.646147"	""	""	"-0.089788"	"2.777778"	"4.612347"	""	"6.44771"	"22.7306"	"0"	"0"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	"B8"
"TSC265"	"TARA_B110000305"	"TARA_196"	"SRF"	"EPI"	"polar"	"0.22"	"3"	"2013-09-14 17:30:00"	"71.8895"	"-154.9101"	"5"	"14"	"2.5694"	"336.04075"	"0.485962"	"28.60925"	"0.22775"	"0.0865"	"0.4235"	"1.604622"	"0.430504"	"0.02845389955"	"0.0002410705996"	"0.02025"	"0.00885"	"0.00425"	"3.727310315"	""	"2.822912"	"43"	"21"	""	"0"	"30.661175"	"1.3129"	"4.533623"	"22.8182"	"173"	"27"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	"B8"
"TSC266"	"TARA_B110000438"	"TARA_210"	"MES"	"MES"	"polar"	"0.22"	"3"	"2013-10-27 16:30:00"	"61.5754"	"-55.9846"	"391"	"274"	"4.791395"	"271.8744"	""	"34.939595"	"0.0023"	"0.134"	"9.908"	"16.017641"	"0.851461"	"0.03517930644"	"0.000208521468"	""	"0.0011"	"0.0024"	"18.81194911"	"0.078105"	"4.07817"	"73"	"79"	"0.215913"	"0"	"0.000362"	"0.64044"	"2.284852"	"27.65512"	"317"	"13"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	""
"TSC267"	"TARA_B110000444"	"TARA_210"	"SRF"	"EPI"	"polar"	"0.22"	"3"	"2013-10-27 10:16:00"	"61.5427"	"-55.9869"	"5"	"147"	"5.295265"	"293.84675"	"0.613636"	"34.212769"	"0.1275"	"0.31575"	"5.8035"	"8.286479"	"0.511975"	"0.03517930644"	"0.000208521468"	"0.00775"	"0.04545"	"0.0063"	"16.1853196"	"0.078105"	"2.252584"	"95"	"82"	"0.215913"	"0"	"26.400442"	"0.82664"	"2.274721"	"27.017281"	"135"	"14"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	"B8"
"TSC268"	"TARA_B110000459"	"TARA_209"	"SRF"	"EPI"	"polar"	"0.22"	"3"	"2013-10-23 10:25:00"	"64.7127"	"-53.0106"	"5"	"17"	"2.496125"	"323.901563"	"0.825917"	"32.603119"	""	""	""	"6.131005"	""	"0.02943357639"	"0.0004888308031"	""	""	""	""	""	""	"498"	"94"	"-0.050291"	"5.666667"	"6.417754"	"3.0908"	"2.723684"	"26.011175"	"498"	"15"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	"B8"
"TSC269"	"TARA_B110000467"	"TARA_209"	"MES"	"MES"	"polar"	"0.22"	"3"	"2013-10-23 17:36:00"	"64.7"	"-52.996"	"351"	"17"	"4.20173"	"273.02835"	""	"34.59923"	"0.0102"	""	""	"10.622333"	""	"0.02943357639"	"0.0004888308031"	""	"0.0019"	"0.009"	""	""	""	"426"	"89"	"-0.050291"	"5.666667"	"0.000362"	"0.89078"	"2.548801"	"27.448865"	"424"	"14"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	""
"TSC270"	"TARA_B110000483"	"TARA_206"	"SRF"	"EPI"	"polar"	"0.22"	"3"	"2013-10-12 11:09:00"	"70.9574"	"-53.5989"	"5"	"231"	"1.445315"	"328.54665"	"0.771475"	"32.08329"	"0.1842"	"0.128"	"1.24175"	"3.615087"	"0.220883"	"0.02279375462"	"0.0004943356374"	"0.02145"	"0.0607"	"0.0084"	"16.36652436"	""	"1.04231"	"55"	"58"	""	"0"	"25.803359"	""	"2.515363"	"25.673125"	"249"	"13"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	"B8"
"TSC271"	"TARA_B110000495"	"TARA_206"	"MES"	"MES"	"polar"	"0.22"	"3"	"2013-10-12 18:02:00"	"70.9433"	"-53.5127"	"411"	"205"	"3.03554"	"230.0861"	""	"34.50669"	""	""	""	"13.409788"	""	"0.02279375462"	"0.0004943356374"	""	""	""	""	""	""	"505"	"35"	""	"0"	"0.000362"	""	"3.097493"	"27.488995"	"472"	"15"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	""
"TSC272"	"TARA_B110000503"	"TARA_180"	"SRF"	"EPI"	"polar"	"0.22"	"3"	"2013-07-18 2:04:00"	"74.8023"	"76.1478"	"5"	"11"	"2.507887"	"357.164917"	"0.547446"	"22.980169"	"0.085767"	"0.014667"	"0.247333"	"0"	"0.238302"	"0.003474399098"	"0.00138765591"	"0.005267"	"0.003333"	"0.006183"	""	""	"11.775524"	""	"5"	"0.010402"	"3.777778"	"63.66473"	""	"19.191431"	"18.339325"	"34"	"23"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	"B8"
"TSC273"	"TARA_B110000858"	"TARA_208"	"SRF"	"EPI"	"polar"	"0.22"	"3"	"2013-10-20 10:34:00"	"69.1136"	"-51.5086"	"5"	"141"	"3.1965"	"303.326"	"0.39292"	"32.99175"	"0.08585"	"0.1665"	"1.916"	"1.791002"	"0.312072"	"0.02045362753"	"0.0004531370311"	"0.0072"	"0.0221"	"0.01"	"5.739066626"	""	"0.819597"	"342"	"112"	"-0.016382"	"0"	"2.751917"	"1.5239"	"2.6962"	"26.265"	"316"	"13"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	"B8"
"TSC274"	"TARA_B110000879"	"TARA_205"	"SRF"	"EPI"	"polar"	"0.22"	"3"	"2013-10-08 12:15:00"	"72.4693"	"-71.892"	"5"	"239"	"-0.479225"	"353.1935"	"1.1319"	"31.99537"	"0.8194"	"0.0895"	"0.411"	"3.880872"	"0.560568"	"0.01894751595"	"0.0005964232793"	"0.00315"	""	"0.08155"	"6.923106563"	"0.113334"	"0.298067"	"51"	"47"	"0.189964"	"0"	"31.503042"	""	"3.112706"	"25.7008"	"983"	"16"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	"B8"
"TSC275"	"TARA_B110000881"	"TARA_205"	"MES"	"MES"	"polar"	"0.22"	"3"	"2013-10-08 18:24:00"	"72.4456"	"-71.8814"	"491"	"243"	"1.230869"	"227.316"	""	"34.378169"	""	""	""	"22.810319"	""	"0.01894751595"	"0.0005964232793"	""	""	""	""	"0.113334"	""	"53"	"48"	"0.189964"	"0"	"0.000362"	"0.5022"	"3.058539"	"27.531506"	"481"	"13"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	""
"TSC276"	"TARA_B110000902"	"TARA_201"	"SRF"	"EPI"	"polar"	"0.22"	"3"	"2013-09-30 15:02:00"	"74.2987"	"-85.7806"	"5"	"20"	"-1.32986"	"368.52475"	"0.79676"	"30.70185"	"0.3843"	"0.0775"	"1.328"	"3.75923"	"0.526245"	"0.0007474114367"	"0.0009587591727"	"0.0038"	"0.0088"	"0.071"	"7.1434978"	""	"2.062045"	"44"	"29"	""	"0"	"20.479241"	""	"3.00669"	"24.678167"	"506"	"13"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	"B8"
"TSC277"	"TARA_B110000908"	"TARA_201"	"DCM"	"EPI"	"polar"	"0.22"	"3"	"2013-09-30 22:33:00"	"74.3386"	"-85.6208"	"36"	"150"	"-0.409335"	"343.877833"	"0.879487"	"31.947283"	"0.5729"	"0.025"	"2.133"	"5.355932"	"0.6443"	"0.0007474114367"	"0.0009587591727"	""	""	"0.0445"	"8.312792178"	""	"4.087196"	"42"	"8"	""	"0"	"0.546445"	""	"3.403455"	"25.654808"	"146"	"13"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	""
"TSC278"	"TARA_B110000914"	"TARA_201"	"MES"	"MES"	"polar"	"0.22"	"3"	"2013-09-29 16:37:00"	"74.305"	"-85.6552"	"441"	"14"	"0.994025"	"233.314"	""	"34.342505"	"0.0118"	""	""	"10.238791"	""	"0.0007474114367"	"0.0009587591727"	""	""	""	""	""	""	"99"	"9"	""	"0"	"0.000362"	""	""	"27.51832"	"520"	"13"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	""
"TSC279"	"TARA_B110000967"	"TARA_194"	"DCM"	"EPI"	"polar"	"0.22"	"3"	"2013-09-12 3:59:00"	"73.3275"	"-168.8142"	"35"	"14"	"-0.987833"	"396.848083"	"0.544297"	"31.56495"	"0.2799"	"0.441"	"1.9045"	"0"	"0.866194"	"0.002943427089"	"0.0007138094807"	"0.0017"	""	"0.0212"	""	""	"5.566842"	"39"	"10"	""	"0"	"4.803126"	"1.8125"	"3.843304"	"25.370225"	"81"	"25"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	""
"TSC280"	"TARA_B110000971"	"TARA_194"	"SRF"	"EPI"	"polar"	"0.22"	"3"	"2013-09-11 20:00:00"	"73.3833"	"-168.1333"	"5"	"33"	"-0.585333"	"368.662625"	"0.404899"	"27.442"	"0.0658"	"0.126"	"0.2285"	"0"	"0.361653"	"0.002943427089"	"0.0007138094807"	"0.0032"	"0.0037"	""	""	""	"1.424261"	"61"	"4"	""	"0"	"71.887758"	"2.2379"	"2.417638"	"22.016175"	"74"	"26"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	"B8"
"TSC281"	"TARA_B110000977"	"TARA_193"	"SRF"	"EPI"	"polar"	"0.22"	"3"	"2013-09-08 2:45:00"	"71.0704"	"174.9916"	"5"	"17"	"2.4534"	"339.4475"	"0.58652"	"29.0291"	"0.1744"	"0.125"	"6.2695"	"0"	"1.614977"	"0.006029852705"	"0.0007025373316"	"0.0031"	"0.0072"	"0.002"	""	""	"30.149509"	"30"	"25"	""	"0"	"74.279057"	"2.0072"	"2.524221"	"23.1614"	"35"	"27"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	"B8"
"TSC282"	"TARA_B110001450"	"TARA_158"	"SRF"	"EPI"	"polar"	"0.22"	"3"	"2013-06-03 7:31:00"	"67.141"	"0.2355"	"5"	"11"	"8.47447"	"311.7827"	"1.174328"	"35.145165"	"0.1674"	"0.13475"	"5.1155"	"5.218798"	"0.356899"	"0.02370138494"	"0.0005994842504"	""	"0.02345"	"0.00185"	"14.62261872"	"0.121118"	"4.012069"	"1033"	"5"	"0.189385"	"0"	"207.933573"	"0.2687"	"1.888199"	"27.314165"	"451"	"13"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	"B8"
"TSC283"	"TARA_B110001452"	"TARA_158"	"DCM"	"EPI"	"polar"	"0.22"	"3"	"2013-06-03 15:27:00"	"67.161"	"0.3964"	"25"	"10"	"6.73489"	"304.0473"	"0.764172"	"35.15072"	"0.0482"	"0.309"	"11.784"	"8.063879"	"0.709183"	"0.02370138494"	"0.0005994842504"	"0.0021"	"0.0165"	""	"11.37066032"	"0.121118"	"4.95809"	"519"	"7"	"0.189385"	"0"	"30.74362"	"1.4377"	"1.946281"	"27.572895"	"46"	"14"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	""
"TSC284"	"TARA_B110001454"	"TARA_158"	"MES"	"MES"	"polar"	"0.22"	"3"	"2013-06-04 9:05:00"	"67.1675"	"0.2177"	"651"	"13"	"0.22498"	"295.31095"	""	"34.90349"	""	""	""	"14.950381"	""	"0.02370138494"	"0.0005994842504"	""	""	""	""	"0.121118"	""	"768"	"18"	"0.189385"	"0"	"0.000362"	"2.1369"	""	"28.01768"	"53"	"15"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	""
"TSC285"	"TARA_B110001469"	"TARA_163"	"SRF"	"EPI"	"polar"	"0.22"	"3"	"2013-06-09 7:39:00"	"76.1825"	"1.3918"	"5"	"111"	"1.899612"	"363.000813"	"2.780097"	"34.888656"	""	"0.101"	"2.7725"	"4.980653"	"0.290483"	"0.01455705236"	"0.0008741565398"	""	""	""	"17.14610838"	"0.058176"	"4.18531"	"996"	"25"	"-0.007624"	"3.277778"	"84.13911"	"0.38918"	"2.258868"	"27.890469"	"91"	"14"	""	""	""	"[AO] Arctic Ocean (MRGID:1906)"	"B8"
