"TSC_NAME"	"PANGAEA sample id"	"Station.label"	"Layer"	"Layer2"	"polar"	"lower.size.fraction"	"upper.size.fraction"	"Event.date"	"Latitude"	"Longitude"	"Depth.nominal"	"Depth.Mixed.Layer"	"Temperature"	"Oxygen"	"ChlorophyllA"	"Salinity"	"Carbon.total"	"NO2"	"NO2NO3"	"NO3"	"PO4"	"Ammonium.5m"	"Iron.5m"	"Alkalinity.total"	"CO3"	"HCO3"	"NP"	"Lyapunov"	"Si"	"Nitracline"	"Brunt.Väisälä"	"Okubo.Weiss"	"Residence.time"	"PAR.PC"	"Gradient.Surface.temp(SST)"	"Fluorescence"	"Density"	"Depth.Min.O2"	"Depth.Max.O2"	"Mean Flux at 150m"	"FluxAttenuation"	"NPP 8d VGPM (mgC/m2/day)"	"Ocean"	"Province"
"TSC211"	"TARA_B100001250"	"TARA_132"	"DCM"	"EPI"	"non polar"	"0.22"	"3"	"2011-10-05 0:59:03"	"31.5168"	"-159.046"	"115"	"48"	"15.321075"	"222.94125"	"0.158691"	"34.39568"	"0.0099"	"0.017"	"0.047"	""	"0.1252"	"0.02232349788"	"0.0008143800951"	"0.0055"	"0.041"	""	""	"0.043804"	"4.4468"	"128"	"58"	"0.134524"	"0"	""	"0.95762"	"1.910665"	"25.4389"	"16"	"52"	""	""	"241.487"	"[NPO] North Pacific Ocean (MRGID:1908)"	""
"TSC212"	"TARA_B100001245"	"TARA_132"	"MES"	"MES"	"non polar"	"0.22"	"3"	"2011-10-05 20:45:47"	"31.528"	"-159.0224"	"550"	"47"	"6.634392"	"131.979417"	""	"33.991383"	""	""	""	"28.302949"	""	"0.02232349788"	"0.0008143800951"	""	""	""	""	"0.043804"	""	"137"	"56"	"0.134524"	"0"	""	"0.83732"	"3.06763"	"26.6805"	"646"	"56"	""	""	""	"[NPO] North Pacific Ocean (MRGID:1908)"	""
"TSC213"	"TARA_B100001248"	"TARA_132"	"SRF"	"EPI"	"non polar"	"0.22"	"3"	"2011-10-04 17:46"	"31.5213"	"-158.9958"	"5"	"42"	"25.164595"	"197.7245"	"0.101563"	"35.19025"	"0.0024"	"0.002"	"0.01"	"0"	"0.0062"	"0.02232349788"	"0.0008143800951"	""	"0.0035"	""	""	"0.043804"	"2.4278"	"1055"	"52"	"0.134524"	"0"	""	"0.28116"	"1.397096"	"23.434915"	"1026"	"50"	"0.159197"	"30.83859842"	"252.207"	"[NPO] North Pacific Ocean (MRGID:1908)"	"B6"
"TSC214"	"TARA_B100001094"	"TARA_133"	"DCM"	"EPI"	"non polar"	"0.22"	"3"	"2011-10-19 0:09"	"35.4002"	"-127.7499"	"45"	"11"	"13.874505"	"236.1591"	"0.389715"	"33.208145"	"0.03465"	"0.06"	"0.92875"	"1.185394"	"0.43225"	"0.01967267366"	"0.0001642235717"	"0.0169"	"0.10295"	""	"2.742380567"	"0.043359"	"2.65725"	"95"	"38"	"-0.465615"	"41.555556"	""	"1.0633"	"2.683702"	"24.82737"	"530"	"29"	"2.487635"	"5.831552295"	"662.276"	"[NPO] North Pacific Ocean (MRGID:1908)"	""
"TSC215"	"TARA_B100001105"	"TARA_133"	"MES"	"MES"	"non polar"	"0.22"	"3"	"2011-10-19 19:27:16"	"35.2698"	"-127.7268"	"650"	"13"	"4.918875"	"9.46475"	""	"34.333562"	""	""	""	"43.553981"	""	"0.01967267366"	"0.0001642235717"	"0"	""	""	""	"0.043359"	""	"49"	"42"	"-0.465615"	"41.555556"	""	"0.36992"	"3.758179"	"27.162231"	"656"	"33"	""	""	""	"[NPO] North Pacific Ocean (MRGID:1908)"	""
"TSC216"	"TARA_B100001093"	"TARA_133"	"SRF"	"EPI"	"non polar"	"0.22"	"3"	"2011-10-18 15:35"	"35.3671"	"-127.7422"	"5"	"11"	"19.24802"	"223.159"	"0.140785"	"33.07013"	"0.00805"	"0.002"	"0.011"	""	"0.2925"	"0.01967267366"	"0.0001642235717"	"0.0022"	"0.01845"	""	""	"0.043359"	"1.95475"	"95"	"41"	"-0.465615"	"41.555556"	""	"0.87662"	"1.791365"	"23.48431"	"532"	"33"	"4.525933"	"24.97437609"	"662.276"	"[NPO] North Pacific Ocean (MRGID:1908)"	"B6"
"TSC217"	"TARA_B100001964"	"TARA_137"	"DCM"	"EPI"	"non polar"	"0.22"	"3"	"2011-12-02 20:42"	"14.2075"	"-116.6468"	"40"	"28"	"20.58574"	"123.201"	"0.366719"	"34.366025"	"0.0228"	"0.3055"	"6.0475"	"7.312792"	"0.884"	"0.01620017908"	"0.00000421"	"0.0238"	"0.0606"	""	"8.27238914"	"0.032361"	"4.661"	"39"	"39"	"0.075315"	"0"	""	"0.53045"	"2.394612"	"24.14088"	"206"	"16"	"0.107489"	""	"455.515"	"[NPO] North Pacific Ocean (MRGID:1908)"	""
"TSC218"	"TARA_B100001971"	"TARA_137"	"MES"	"MES"	"non polar"	"0.22"	"3"	"2011-12-03 14:31:20"	"14.2025"	"-116.6433"	"375"	"28"	"8.887131"	"0.832313"	""	"34.5882"	""	"0.0093"	"34.551"	"35.049476"	"2.9545"	"0.01620017908"	"0.00000421"	""	""	""	"11.86308208"	"0.032361"	"46.6245"	"40"	"40"	"0.075315"	"0"	""	"0.3853"	"3.389521"	"26.820475"	"351"	"14"	""	""	""	"[NPO] North Pacific Ocean (MRGID:1908)"	""
"TSC219"	"TARA_B100001287"	"TARA_137"	"SRF"	"EPI"	"non polar"	"0.22"	"3"	"2011-12-02 14:12"	"14.2035"	"-116.6261"	"5"	"29"	"26.478605"	"195.77195"	"0.251665"	"33.84798"	"0.0081"	"0.067"	"2.444"	"3.740793"	"0.456"	"0.01620017908"	"0.00000421"	"0.0044"	"0.0118"	""	"8.203493421"	"0.032361"	"2.538"	"44"	"39"	"0.075315"	"0"	""	"0.40468"	"1.755806"	"22.01524"	"630"	"13"	"1.278263"	"16.24094628"	"457.785"	"[NPO] North Pacific Ocean (MRGID:1908)"	"B5"
"TSC220"	"TARA_B100001996"	"TARA_138"	"DCM"	"EPI"	"non polar"	"0.22"	"3"	"2011-12-11 13:27:34"	"6.3378"	"-102.9538"	"60"	"42"	"17.291965"	"41.52515"	"0.219944"	"34.664045"	"0.0132"	"0.464"	"12.904"	"25.65001"	"1.108"	"0.01317254656"	"0.00000469"	"0.0089"	"0.0475"	""	"23.14982852"	"0.020154"	"8.073"	"48"	"53"	"-0.002795"	"0"	""	"0.22659"	"2.388755"	"25.194555"	"120"	"14"	""	""	"234.6485"	"[NPO] North Pacific Ocean (MRGID:1908)"	""
"TSC221"	"TARA_B100002003"	"TARA_138"	"MES"	"MES"	"non polar"	"0.22"	"3"	"2011-12-11 20:37:22"	"6.3559"	"-103.0598"	"450"	"38"	"8.149894"	"1.013313"	""	"34.608919"	"0.0018"	"0.0078"	"36.219"	"36.753654"	"3.155"	"0.01317254656"	"0.00000469"	""	""	""	"11.64933566"	"0.020154"	"52.9225"	"49"	"49"	"-0.002795"	"0"	""	"0.17526"	"3.439414"	"26.951444"	"482"	"15"	""	""	""	"[NPO] North Pacific Ocean (MRGID:1908)"	""
