TFM	GS1	GS10	GS2	GS3	GS4	GS5	GS6	GS7	GS8	GS9	SS1	SS10	SS2	SS3	SS4	SS5	SS6	SS7	SS8	SS9	WS1	WS10	WS2	WS3	WS4	WS5	WS6	WS7	WS8	WS9
NiaR	12974.345399999998	64280.058800000064	58208.42460000003	48337.237499999996	58161.681000000055	31155.406000000006	65111.19310000001	45510.713000000025	39588.66719999997	49551.51800000002	40559.55260000002	12068.061699999997	18270.0632	34684.33409999997	31953.83190000001	45150.155500000015	39621.30989999999	40440.38389999998	27122.2412	38079.60849999997	544115.983299999	603554.4753000014	515657.9721	750378.132799998	447613.0219999998	578207.0881999999	481749.3563999997	569137.8704000014	657343.8699899999	483503.2557999999
NifA	6232.294700000002	42814.159999999996	39846.10580000003	29521.67740000002	36880.10209999999	19045.827099999995	39966.84290000001	28088.0765	22015.279	31468.0863	182197.92290000018	50474.51009999999	62064.93509000001	91524.79080000005	77993.11960000005	111663.56933000007	110652.86269999994	119566.58550000002	76903.38249000002	197556.90720000013	720338.4485000006	461908.66199999995	699298.6396899993	624689.9836999987	640113.1742000019	542636.3564000002	408990.53530000057	448522.0639599998	617893.3464699995	413747.94221999956
NikR	17880.021600000004	86592.61780000005	79817.3749000001	62750.15299999994	67677.48509999998	35006.32180000001	78235.47019999997	54550.967500000006	46489.46810000001	58602.05690000002	58051.04949999994	17655.834299999995	25277.186799999992	40380.12140000002	39844.64210000002	52257.19460000001	45109.21529999999	50756.87179999999	33748.76209999998	57604.03509999998	517687.2878999996	555251.6711999994	518706.7981399997	686921.8273699987	460577.8776000006	522635.15809999866	403527.7861999999	487539.74179999967	559660.6867799987	432528.01704000053
NmlR	4144.435600000001	28003.524799999992	25574.33329999999	21947.5439	19803.653700000003	11526.890399999998	21866.796599999998	18109.47000000001	14290.0818	19949.622	357073.51160000084	122666.82009999994	153083.95680000004	203234.3910700002	224874.90529999963	243310.69335000025	253731.26420000015	260684.0897099997	219200.42013999965	353164.7274000004	946109.3838300002	598558.4257999986	1024674.6804200019	730731.8782899993	890495.1985999999	606820.6833999993	422808.98440000036	474045.6794000002	729886.8227500013	457305.50500000047
NnrR	9399.7763	61802.111100000024	63782.84549999999	46425.38129999997	50767.93820000003	27908.71440000002	53364.851500000004	46179.02740000004	32568.983199999984	48375.187200000044	334319.5264999998	99533.60709999998	113420.47559999995	170702.64269999965	123487.88196000012	206477.49600000004	191932.7280700003	224346.83090000012	134340.84260000006	350374.1844999997	1356007.403299997	1010489.5511900007	1303333.9217299942	1279267.8598299976	1171301.8067999985	1079281.4075699963	860377.4308000007	937215.2008099965	1177368.6393599936	848630.8681400007
NorR	15058.363999999998	79662.0698000001	73541.24479999991	64237.936100000006	67835.24959999997	35597.87650000002	71772.07040000001	58322.13460000004	46150.74139999999	70727.20139999999	102585.19959999996	37125.9172	42681.81429999999	62885.643240000034	58318.34800000002	86097.67033000011	79537.08350000005	80059.50830000006	53339.57009999999	102551.9062000001	873444.3783999984	925354.0717100013	853540.3755000025	1066986.4745700005	769508.5615999971	894672.6449000008	713094.0079999984	799644.1662500026	896101.3578600034	685141.2259999991
NrdR	43727.58829999999	204199.53709999987	204929.73039999994	154630.1577	188473.74500000002	100944.85479999996	199477.89629999993	146414.86270000006	117466.82980000007	178585.36359999992	339702.12079999974	99737.73270000001	150702.1731100001	200961.03950000013	215599.5507999999	269738.32390999934	246453.3893000001	269184.46429999964	203555.55260000014	334503.63170000026	2579348.3357400075	2429420.2663999926	2438988.126379997	2991875.1040900056	2255996.8170199897	2438634.494170012	1931987.8976999933	2207628.7403500043	2505163.173219988	2073714.910279999
NrtR	102850.96540000002	468517.5841	461732.8733000001	403596.3073	465367.30269999785	224781.06959999987	488845.28529999993	355856.2465999997	337230.65889999946	411454.5601000005	245624.94128999964	77464.15589999997	114737.46850999996	199602.16870000013	196449.33409999986	276540.7882000004	234429.7863400001	244904.52949999983	163716.16663999998	235409.97840000046	3511506.1192799876	4408349.525749993	3476246.9228500193	5285477.591160032	2870621.3464000253	4138413.76396	3411412.1497999937	4069762.5343200252	3933776.6094400166	3562217.6621900136
NsrR	68061.30220000005	332700.67919999897	317596.8456999997	261453.77759999974	327175.6466000002	164712.1408000001	332946.0492999998	234120.99159999995	217230.08769999974	274729.8714999998	184637.41030000008	52712.22099999999	78511.23690000002	138761.52429999973	143020.31089999978	197173.34679000013	173144.80009999985	189541.36579999968	112651.34939999992	186986.5016000001	2211285.739690016	2622431.541550015	2225430.1897800025	3318208.460919982	1831130.3771999998	2497179.9258600012	2054767.2588499994	2474473.0445700004	2540199.608960001	2261206.166500002
NtrC	21660.855199999998	122131.69789999991	134099.64119999987	97848.09980000005	108515.53569999983	61694.67739999999	110592.46490000012	92978.87969999998	69873.8424000001	103907.62059999988	467667.5967000006	130401.29593000002	156387.89530000032	240831.85360999953	197420.21162000002	288410.3363799997	290935.6748999998	319096.11723999976	201803.76066999955	484849.07323000033	2259737.7856200007	1663493.5162500022	2162324.289869996	2021866.8866899982	1981365.5345000061	1817754.5566900116	1364975.5137999952	1502727.2335499972	1975283.956709996	1502631.285999992
