Samples	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
TSC141	5582.1059700000005	30535.53536	20659.751339999984	29085.61879	246888.32529999988	9352.227510000004	150282.26769000004	44906.71467999999	15891.7306	33842.76609000002	11997.905	46625.22737	113382.96699000006	7644.904860000001	29472.651839999988	201571.60127999965	35634.56719	3343.6771	12783.85119	7677.450949999999	20743.90246	14260.251760000005	7474.238490000002	17536.308390000002	34877.21997	15361.923239999996	29160.84443	47381.89521	36684.31717999999	62442.89382000005	72682.86231999999	40348.48513999998	19899.60327	103144.19003000006	102041.19772000008	105359.66111999992	10126.865340000008	25703.927540000008	79892.00411000008	23082.12601999999	6448.70353	9535.03121	109286.71013	178999.9005799999	153234.71112000008	46843.61794999996	206457.15284	48314.44748999999	34199.851489999994	11918.467919999996	18798.571219999994	11122.38683	25930.83779999998	13373.10702	21516.29662999999	33571.096390000006	107391.32687000006	280633.1907499996	157894.02217000004	53734.65468999997	32099.698659999987	27520.63670999998	88102.32861	43172.34242999998	23926.74437	92508.76785999992	27141.733970000005	11978.315790000004	16409.658129999996	67074.72521999995	7301.762889999998	13131.6138	60011.48584000001	41160.64721	84593.99327999998	57675.22667999994	113562.60437999996	40174.22527999998	28883.88527999999	35890.77277	90555.41168000002	34754.92855	10407.25239	35716.83441	20272.304180000006	35811.17448999999	13319.329129999998	226115.58255000008
TSC145	6202.3034	43301.65945	16091.284340000002	36713.87036000001	310730.3940199995	10485.07752	195282.88300000032	48499.58927	14468.309910000004	38727.24651	6597.189550000001	30919.96938999999	121756.70173999996	5646.085239999999	17935.559240000002	250334.10674000048	43972.58176	1171.2641	12905.5495	8033.953299999999	12065.7148	9855.053360000002	3887.4113899999993	11299.289660000004	27240.520759999992	23104.82021	29444.03261	66068.61767000002	45681.09318000002	56993.38321	76322.23527000003	37557.99832999999	26361.28004000001	131827.08104999995	121763.56527999992	122017.84844999992	12735.63532	27791.19662	90074.69783	15639.05713	7809.18521	15875.494899999998	143285.79316	212528.95621	144845.40136000002	63668.85229999997	264106.4494099997	63789.09628999997	36682.3636	9974.180989999995	34268.73129000001	8064.098499999998	30738.79998	14702.689920000004	27369.094510000014	30953.21581000001	122652.72122	333490.7120200001	208348.86602	34864.07909999998	34302.69583999999	28077.02833000001	88393.56930000002	46264.81932000001	27877.19322999999	119859.23263000004	41767.52576	16618.56428	15284.873400000002	75227.50960999998	18704.76973	13718.615369999998	72462.08625000005	41700.38674999998	94305.42125999996	59113.99500000002	154535.94075000015	41300.74927000002	24210.745680000004	38626.30749	109999.05638999998	39234.68912000002	10435.60291	36554.55869	20732.43253000001	40386.67868999998	9560.739260000002	272835.13550999993
TSC245	3724.6911	40102.71557999996	22250.44465	26942.91753999999	233750.8009800001	11861.824069999995	144838.92214999997	36504.88926999999	21312.4	31185.01383999999	12844.40253	31874.281759999994	107098.23129999998	7127.265250000001	29258.83531	219352.4654499999	24816.34812999999	4219.401889999999	10161.600199999995	5208.415450000001	16012.87339999999	15086.729029999997	8475.105389999997	18900.80915	26020.28471	18759.047920000005	25841.86441999998	46221.08452	34032.582489999986	52524.62305	59855.11875	30082.233480000006	28845.53982000001	107308.12175000002	96660.43659999996	101295.07147999984	11840.288870000002	23184.25651	58553.367510000026	19149.58935	7852.066819999999	9658.603659999995	125223.7503900001	164403.3474299999	139827.1078899999	51237.60775000001	226074.19771999988	45062.96703999999	32388.615359999967	12478.38689999999	22983.732549999982	7323.455570000002	20541.38458	17251.13845	14536.840809999996	30108.239750000008	89381.06180000005	282676.54424	177177.01565999995	39326.5947	40727.63088	24083.989349999985	84751.77178000001	39632.67524999999	27823.99082	95222.32161000009	27992.582350000004	8985.951769999992	13210.176110000006	63536.35698999997	5967.335209999999	12370.27515	67127.85271999998	31565.6414	84888.71088999996	67007.62465	132144.29303	44314.29557	26025.384129999995	31285.324870000004	79706.87512999996	34273.76123000004	10722.663060000004	34590.71331000001	19178.79351999999	35445.212099999975	13802.952340000002	215647.60596
TSC248	3713.04958	27519.557170000004	15312.193590000006	27365.472929999985	234972.046	5580.03673	155170.08244000003	27717.659910000013	11349.02681	33816.294019999994	9625.07218	33800.700929999985	89932.47358000009	2520.63841	25318.87921	197814.84981000013	31029.841170000003	2495.0185099999994	8609.70835	3250.20818	13104.14987	7900.243679999999	6252.31137	19222.14095	20303.70317	13822.934100000002	22786.45	52539.96851000004	39805.23651000002	48946.87941999998	52404.116310000034	26212.885669999992	24237.64892	110513.91169999982	104906.86154999996	101575.10927000004	10063.863969999997	22653.88567	71301.72129000003	16988.134739999987	7203.837979999998	9085.869940000006	106552.47541000009	162426.1661900004	150125.2331799999	46803.414620000025	224467.86104999983	48956.09692999998	33906.28466	11041.68934	27036.803430000007	5338.008969999998	23981.16061	11969.832509999997	14376.626750000005	34580.334009999984	93278.47584000006	295215.5099199999	177930.87481999994	40420.52048000004	27110.671699999984	25407.06797	71198.08996	37340.67194999997	24725.60663999998	94215.72617999993	28590.02348000001	13031.7159	13476.86554	59022.30012000004	13752.472429999998	12088.324520000002	81905.39613999997	27116.83280000001	74413.97376000001	52822.783739999926	118512.05543000004	28338.11835	18668.58599000001	33384.57671	72627.22530000003	32500.208009999995	12218.663269999995	40495.57693999997	18304.44003000001	39491.31086999998	10299.03318	196161.32304999992
TSC251	5854.956489999999	32790.56799	20508.682239999984	20297.96472	213655.7617199996	11669.455129999991	143261.54957000006	41918.92113	18372.123930000005	35806.06954000001	14804.964389999996	50613.43591000007	73516.86472000013	8350.780340000003	28922.03193000004	180250.15092999992	35869.60532000001	5608.103290000002	13418.662700000006	5969.28499	16682.59973000001	13933.588849999998	6701.547350000001	25362.64778000001	38173.28023999997	19041.79055000001	29338.680300000004	61899.41806000002	38753.33012000001	54331.86531999996	56323.24344	33457.730180000006	22905.02328	113545.12835000004	76908.70533999999	116049.00552000014	16050.520609999996	39272.47190000001	73118.17069999996	20357.28983	11078.621189999998	10542.348980000004	105887.67403000004	166695.68539000006	137941.71916999982	49586.14166999997	176225.45560999977	52313.60743999996	34713.54345000004	18810.93514000001	27212.52389	9623.00286	22395.314069999986	18112.488480000004	24136.64672999999	39301.47036999999	101609.53925000016	268605.2129400001	143843.3937899999	65603.06413000001	49196.39568	22760.70718000001	107701.08179000004	40260.71658	39145.29722999999	93321.35516000002	30281.741920000008	10670.561049999998	21149.83928	69890.52793000007	16070.779939999997	18944.76858	66668.74080999997	36900.05422999996	77380.74285000008	61299.68633999997	98288.71072000016	43301.21648999996	21712.559829999977	46722.47735000001	77617.22077999997	34060.61992000001	12580.448430000006	38114.70536	24445.64384999999	31489.09897000002	19798.59053	227817.1172600001
TSC254	5067.672839999999	43510.10967000001	21355.44201	25005.72830000002	272949.8484400005	16192.212960000004	177809.23553000003	44789.10972000003	21543.16801000001	44580.80260000001	13106.617499999998	55600.62975999997	92301.62110999988	8406.815220000002	31474.78284	227732.60644999985	33089.251659999994	6204.716320000001	15324.846320000004	7637.861570000003	20910.1267	15632.410980000002	7951.907220000002	22417.83272999999	37912.64864999998	22622.32643999999	31371.93315	69352.99964999998	44751.03104000002	69777.31824000004	76791.06686000004	38513.32946000002	25022.17830999999	126323.5790199999	99063.38396999997	132956.41921999998	14870.3501	45740.38863000001	74721.55773	22379.29611999999	13481.21085	10558.307789999995	132573.15178999997	191396.28027000005	172317.3373300002	53305.43211000001	248004.23666999995	64755.341170000014	33990.21724999999	13092.477770000003	33745.98281000001	10420.164710000005	27059.383890000005	16148.837679999997	22216.819419999985	42209.310200000014	119148.36789000008	324624.7411300001	176983.27601000023	58539.23041	48728.64586000001	24864.60100000001	112294.07902	44179.84947000003	45502.84365	105841.80973999995	35035.72307000001	14492.16659	21704.41958	84655.99070999997	21792.80541	21095.02475	70993.09934999995	43758.67761999999	89978.88815999993	66581.34002999996	125898.0664000002	51327.88360999996	24112.013720000006	45583.93532000002	93296.99089000002	38917.02296	14818.27489	40640.07917999997	18992.110860000004	40368.22407999999	19957.584980000003	253544.88594000007
TSC257	5868.79621	24646.90477	18730.15266000001	17040.91496	176188.71363000033	12873.856180000004	108470.24413000004	34755.93092999998	14735.914969999989	29479.25304	11804.933189999998	43574.44285	63900.77388000005	8192.885330000005	32112.260079999985	142164.15584000008	28492.27190000001	6850.538659999998	12102.232920000006	8863.062059999998	21445.248910000017	15783.888330000002	7562.604630000001	19902.47240000001	35921.07304000001	13368.633400000008	29598.98954	48359.31017	35391.86624000001	54435.75450000003	48946.53433000001	28909.32848000001	15236.531970000004	92843.87286000008	62019.079180000015	98313.75383999998	14408.544939999996	36357.385600000016	59862.35940999997	16769.322419999993	12288.071650000004	8960.154209999999	94937.25798	124684.24308	114849.48685999996	38146.601830000014	138251.10950999998	46677.01918000003	30906.22046	11950.151530000005	19424.751330000003	10565.572040000005	22116.01046	17139.840610000014	26408.704379999985	29963.994840000018	90831.02345000014	207125.0796000002	112479.28296000011	65477.32212999994	44632.13665000002	20778.59046000002	100814.62557999998	36155.02455	30064.46614000004	66251.50947999998	22298.18381000001	8739.25842	18377.95786	67171.60998000001	18549.82935	17191.319460000002	49841.02724	45146.33508000002	63450.539099999965	67381.61438000004	85529.87364999996	36653.75164000002	16086.865349999996	36381.70713000002	57955.34064	27509.092410000005	9613.748339999998	31656.04129	17579.428069999994	25993.81244000001	16374.319029999995	181478.05865
TSC259	6114.463259999999	35215.64180999997	20870.06354	26382.72574999998	264596.0106799999	11252.30647	172397.38186999972	49765.85725000004	20311.15194	38870.76811000002	15170.93965	40644.49040999999	102281.23125000006	7145.011280000003	30627.954590000005	219867.03179999985	38844.93104000001	3991.13541	12826.137859999992	7891.713209999999	22319.557000000008	14860.8191	7871.74993	23017.697890000007	35043.36429	17019.30408999999	29736.60887999997	62714.68636999998	41425.05085000001	64373.61374999991	72232.62196000003	42666.233690000015	24150.09898	122609.27038000007	103044.20067000014	123953.17965999988	12768.97482	40826.08385000001	78158.41391999999	20355.520749999992	10368.54059	7737.741089999998	118574.73439999988	178632.57431999975	158312.97831000006	50961.73268999998	219348.14831999992	57497.54744	36479.964510000034	12437.968460000002	26347.031810000004	10932.822109999996	23474.091079999984	18092.862470000004	21591.624650000005	30740.00831	103413.72557999988	321874.6417	184058.11434999976	52185.74953999997	41049.585910000016	25881.41112999997	108275.72565999995	44222.85776999997	38062.78227999999	108822.64521999998	31891.45295999997	11660.598479999991	20791.222619999982	74826.48473999999	13687.20713	15799.60637999999	68428.69433999994	43402.81230000001	95290.77555000002	67247.92552	125084.05313999989	46074.8339	25446.691299999988	42026.14848999999	80413.24488000006	42913.47885000001	11422.675119999996	41880.67357999996	23190.51625	36394.52343	16086.8734	261912.29061999987
TSC261	4327.801919999999	31317.71147	17874.238210000003	22254.87342	226749.17595999976	11912.99845	134974.67905000006	41033.87747999999	14192.714919999997	29083.44239	11372.23739	35907.15095	92127.08013999996	5243.237889999998	26280.099180000005	183074.0370499997	29006.10817000001	3487.13945	9680.95629	5324.143299999999	14656.706820000005	13207.26956	5394.651790000003	20272.87577	26095.73846	14423.633400000002	21554.98701	56051.10706000004	37509.88274	50996.97684	60125.50627999998	34481.79292999999	22648.75582	97397.62854000008	83832.18432000006	97735.32116000006	9658.734459999994	24710.60537	62414.96326	14126.19675	8985.357379999998	7525.778919999998	98839.56433999992	146151.8526500001	122745.95257999995	41864.668859999954	185479.46541	42220.49058000004	32860.10807000001	13730.681439999997	23620.58367000001	8070.175549999999	18359.868360000004	15947.65679	14529.51506999999	27272.12805999999	91260.62679999995	256341.2403799998	154143.03498999996	41319.2157	34745.96022999999	19121.019010000007	90082.83568999996	40696.575579999975	33290.08565	85288.26094999997	23385.983520000005	6628.8047000000015	17093.464680000012	65229.02642999995	9880.85418	15040.005549999998	49827.29211	28451.27626000001	81487.22894000006	55383.20667	104962.5568	33996.12297999998	18240.114829999995	36246.20271999999	71607.76611000004	29704.456490000008	10541.58401	31387.45061000001	20163.20786	29006.192430000003	14414.24067	208154.99258000005
TSC264	3069.6764500000004	22584.703969999988	11818.55983	13242.897569999992	135770.11763000008	6667.86204	87168.55122000005	24100.39212	11836.600469999998	24341.504439999982	6415.309599999997	23866.94998	52582.25814999996	4068.539799999999	16532.187540000003	121197.34433999994	17020.830419999987	2007.28107	7074.744480000003	3841.01856	12243.356279999996	10614.71728	4390.07201	12739.547899999996	16823.74650000001	15279.11772000001	16578.450179999996	34730.16865000002	20487.19343000001	37217.84034999999	40005.68149000002	19275.74737999999	12614.721329999997	61449.84474000001	49239.47703000001	62848.77683000003	7686.984920000005	17160.78276	38578.86425999999	11447.51443	5107.339109999999	5396.90999	63551.48982	95132.65020999996	89073.04717000002	29494.61793000003	114830.10595999991	29813.66519	21341.44165000002	7368.64042	14404.6609	6183.244860000001	13663.507850000002	8285.282920000005	11490.608850000002	21415.614729999983	55556.734099999965	164671.10429000025	91003.76745999984	26377.422259999992	23144.67925000001	12268.914019999998	56665.15872999995	26432.886750000016	20536.360880000007	47432.87256999999	18827.70101	6342.061059999997	14149.842599999996	46529.24477000002	9825.780130000005	8123.788729999997	36636.85111999999	23583.690830000007	48383.32073000011	34370.64008999995	70386.6688	26279.740810000007	11510.612589999992	23040.83021000001	45325.26314000002	22551.534100000004	7293.855309999994	23998.232530000005	13745.39873	17094.117870000002	8531.706789999997	126581.07710000016
