	abs_sum
AgaR	3.459851877282937
LiuR	3.408169445902745
KdgR	3.351254441240416
MetR	3.262284528151789
NtrC	3.253524146518212
SahR_SamR	3.1983929455314764
HrcA	3.1901123661127864
GntR	3.130453892131194
NagC	3.111787371741528
FUR	3.092766691639837
FabR	3.006671284719892
NnrR	2.990828404878676
GguR	2.9471045284534427
ThiR	2.8494361532610695
RbkR	2.622807881549029
PhnF	2.619322264817912
SiaR	2.493746610844149
PurR	2.482050120806627
GulR	2.478968244256035
MntR	2.4546863639343677
Zur	2.4354240583696747
CsoR	2.3801102373879197
NrtR	2.355925434582724
NsrR	2.3201688789442536
AcnR	2.316078990619794
