Matrix_subsample	Top1	Top2	Top3	Top4	Top5
guidi_nonpolar	NagC (max: 0.59, avg15: 0.41)	KdgR (max: 0.51, avg15: 0.35)	BirA (max: 0.41, avg15: 0.35)	FixJ (max: 0.41, avg15: 0.32)	FUR (max: 0.54, avg15: 0.35)
guidi_polar	ArgR (max: 0.51, avg15: 0.46)	MetR (max: 0.51, avg15: 0.47)	Zur (max: 0.59, avg15: 0.46)	FUR (max: 0.54, avg15: 0.42)	NadQ (max: 0.52, avg15: 0.41)
guidi_srf	NagC (max: 0.59, avg15: 0.47)	FUR (max: 0.69, avg15: 0.49)	MetR (max: 0.61, avg15: 0.46)	PhnF (max: 0.57, avg15: 0.46)	SahR_SamR (max: 0.59, avg15: 0.46)
guidi_srf-nonpolar	NagC (max: 0.36, avg15: 0.44)	KdgR (max: 0.29, avg15: 0.40)	NsrR (max: 0.27, avg15: 0.39)	TyrR (max: 0.37, avg15: 0.38)	FUR (max: 0.43, avg15: 0.38)
guidi_srf-polar	XylR (max: 0.69, avg15: 0.50)	NrtR (max: 0.74, avg15: 0.51)	NadQ (max: 0.64, avg15: 0.50)	NagC (max: 0.53, avg15: 0.49)	MntR (max: 0.57, avg15: 0.49)
salazar_all	BirA (max: 0.40, avg15: 0.29)	PhnF (max: 0.31, avg15: 0.28)	Irr (max: 0.49, avg15: 0.28)	CblR (max: 0.28, avg15: 0.24)	PrpR (max: 0.32, avg15: 0.24)
salazar_epi	PhnF (max: 0.27, avg15: 0.30)	BirA (max: 0.35, avg15: 0.29)	PrpR (max: 0.43, avg15: 0.31)	Irr (max: 0.45, avg15: 0.31)	RutR (max: 0.35, avg15: 0.27)
salazar_epi-nonpolar	PhnF (max: 0.40, avg15: 0.30)	RutR (max: 0.38, avg15: 0.28)	AmtR (max: 0.62, avg15: 0.29)	PrpR (max: 0.35, avg15: 0.28)	BirA (max: 0.32, avg15: 0.26)
salazar_nonpolar	PhnF (max: 0.40, avg15: 0.28)	BirA (max: 0.35, avg15: 0.26)	RutR (max: 0.36, avg15: 0.24)	AcnR (max: 0.39, avg15: 0.26)	FUR (max: 0.35, avg15: 0.24)
salazar_polar	GguR (max: 0.55, avg15: 0.47)	PurR (max: 0.51, avg15: 0.46)	FruR (max: 0.49, avg15: 0.43)	Rex (max: 0.44, avg15: 0.43)	Irr (max: 0.50, avg15: 0.41)
salazar_srf	PrpR (max: 0.50, avg15: 0.36)	RutR (max: 0.48, avg15: 0.33)	HypR (max: 0.44, avg15: 0.33)	PhnF (max: 0.35, avg15: 0.33)	TyrR (max: 0.42, avg15: 0.34)
salazar_srf-nonpolar	PhnF (max: 0.54, avg15: 0.34)	DasR (max: 0.58, avg15: 0.35)	PrpR (max: 0.38, avg15: 0.34)	TtrR (max: 0.27, avg15: 0.32)	PhnR (max: 0.71, avg15: 0.34)
salazar_srf-polar	GguR (max: 0.54, avg15: 0.43)	CsoR (max: 0.68, avg15: 0.47)	NiaR (max: 0.71, avg15: 0.47)	Irr (max: 0.52, avg15: 0.42)	MetR (max: 0.64, avg15: 0.44)
stress_all	MetR (max: 0.61, avg15: 0.40)	PurR (max: 0.54, avg15: 0.35)	SahR_SamR (max: 0.46, avg15: 0.33)	NifA (max: 0.42, avg15: 0.29)	HutC (max: 0.35, avg15: 0.30)
stress_epi	MetR (max: 0.52, avg15: 0.42)	NifA (max: 0.49, avg15: 0.34)	SahR_SamR (max: 0.39, avg15: 0.33)	PurR (max: 0.56, avg15: 0.36)	FUR (max: 0.38, avg15: 0.33)
stress_epi-nonpolar	MetR (max: 0.30, avg15: 0.32)	SahR_SamR (max: 0.33, avg15: 0.32)	NifA (max: 0.40, avg15: 0.30)	Phr (max: 0.28, avg15: 0.30)	CblR (max: 0.52, avg15: 0.30)
stress_nonpolar	MetR (max: 0.51, avg15: 0.35)	BirA (max: 0.47, avg15: 0.34)	SahR_SamR (max: 0.47, avg15: 0.31)	Phr (max: 0.40, avg15: 0.32)	NifA (max: 0.29, avg15: 0.26)
stress_polar	LiuR (max: 0.70, avg15: 0.47)	AcnR (max: 0.55, avg15: 0.41)	FadR (max: 0.67, avg15: 0.43)	PhrR (max: 0.67, avg15: 0.44)	NtrC (max: 0.62, avg15: 0.43)
stress_srf	MetR (max: 0.56, avg15: 0.46)	CcpA (max: 0.66, avg15: 0.39)	NifA (max: 0.47, avg15: 0.39)	SahR_SamR (max: 0.46, avg15: 0.38)	PurR (max: 0.61, avg15: 0.39)
stress_srf-nonpolar	CblR (max: 0.51, avg15: 0.34)	Phr (max: 0.32, avg15: 0.36)	NifA (max: 0.32, avg15: 0.33)	SahR_SamR (max: 0.38, avg15: 0.34)	FixJ (max: 0.50, avg15: 0.31)
stress_srf-polar	LiuR (max: 0.72, avg15: 0.48)	CblR (max: 0.77, avg15: 0.47)	FUR (max: 0.64, avg15: 0.40)	BioQ (max: 0.74, avg15: 0.48)	AgaR (max: 0.58, avg15: 0.42)
