"Matrix_subsample"	"Top1"	"Top2"	"Top3"	"Top4"	"Top5"	"Top6"	"Top7"	"Top8"
"MX_all"	"PurR (max: -0.63, avg5: 0.58)"	"AgaR (max: 0.73, avg5: 0.59)"	"MetR (max: -0.64, avg5: 0.55)"	"LiuR (max: 0.60, avg5: 0.55)"	"GulR (max: 0.64, avg5: 0.54)"	"GntR (max: 0.70, avg5: 0.57)"	"FUR (max: -0.64, avg5: 0.52)"	"NtrC (max: -0.61, avg5: 0.50)"
"MX_epi"	"MetR (max: -0.62, avg5: 0.58)"	"PurR (max: 0.62, avg5: 0.60)"	"AgaR (max: 0.67, avg5: 0.64)"	"GntR (max: 0.67, avg5: 0.59)"	"LiuR (max: 0.62, avg5: 0.58)"	"FabR (max: -0.68, avg5: 0.64)"	"GulR (max: -0.61, avg5: 0.57)"	"FUR (max: -0.58, avg5: 0.53)"
"MX_epi-nonpolar"	"KdgR (max: -0.58, avg5: 0.45)"	"NagC (max: -0.53, avg5: 0.42)"	"GntR (max: 0.53, avg5: 0.43)"	"MetR (max: -0.48, avg5: 0.42)"	"FadR (max: 0.49, avg5: 0.43)"	"FUR (max: -0.51, avg5: 0.40)"	"ThiR (max: -0.50, avg5: 0.40)"	"FabR (max: 0.44, avg5: 0.41)"
"MX_nonpolar"	"AcnR (max: 0.66, avg5: 0.52)"	"KdgR (max: -0.62, avg5: 0.58)"	"NagC (max: -0.61, avg5: 0.55)"	"GntR (max: 0.70, avg5: 0.58)"	"FadR (max: 0.70, avg5: 0.57)"	"NrtR (max: -0.64, avg5: 0.53)"	"MntR (max: -0.60, avg5: 0.52)"	"MetR (max: -0.58, avg5: 0.52)"
"MX_polar"	"SiaR (max: -0.70, avg5: 0.64)"	"PurR (max: 0.77, avg5: 0.61)"	"NadQ (max: -0.68, avg5: 0.63)"	"MetR (max: -0.74, avg5: 0.59)"	"LiuR (max: 0.67, avg5: 0.55)"	"FUR (max: -0.67, avg5: 0.60)"	"GulR (max: -0.74, avg5: 0.60)"	"SahR_SamR (max: -0.64, avg5: 0.59)"
"MX_srf"	"MetR (max: -0.71, avg5: 0.68)"	"LiuR (max: 0.70, avg5: 0.67)"	"PurR (max: 0.70, avg5: 0.68)"	"FUR (max: -0.66, avg5: 0.63)"	"AgaR (max: -0.73, avg5: 0.69)"	"KdgR (max: -0.66, avg5: 0.63)"	"FabR (max: 0.75, avg5: 0.69)"	"SahR_SamR (max: -0.66, avg5: 0.61)"
"MX_srf-nonpolar"	"FabR (max: 0.77, avg5: 0.56)"	"KdgR (max: -0.57, avg5: 0.50)"	"PdxR (max: -0.60, avg5: 0.51)"	"NagC (max: -0.54, avg5: 0.46)"	"MetR (max: -0.54, avg5: 0.46)"	"FadR (max: 0.48, avg5: 0.45)"	"LiuR (max: 0.50, avg5: 0.47)"	"FruR (max: 0.57, avg5: 0.50)"
"MX_srf-polar"	"AcnR (max: -0.75, avg5: 0.68)"	"DasR (max: -0.69, avg5: 0.66)"	"SahR_SamR (max: 0.76, avg5: 0.71)"	"NadQ (max: 0.74, avg5: 0.71)"	"ThiR (max: -0.70, avg5: 0.63)"	"NsrR (max: 0.76, avg5: 0.70)"	"HcpR (max: -0.75, avg5: 0.69)"	"FUR (max: 0.76, avg5: 0.67)"
"M0_all"	"NtrC (max: -0.69, avg5: 0.56)"	"LiuR (max: 0.68, avg5: 0.58)"	"AgaR (max: 0.77, avg5: 0.59)"	"GguR (max: 0.63, avg5: 0.54)"	"MetR (max: -0.69, avg5: 0.55)"	"GntR (max: 0.69, avg5: 0.57)"	"SahR_SamR (max: -0.70, avg5: 0.55)"	"NagC (max: -0.66, avg5: 0.53)"
"M0_epi"	"NtrC (max: 0.64, avg5: 0.61)"	"MetR (max: -0.61, avg5: 0.55)"	"NagC (max: -0.57, avg5: 0.52)"	"KdgR (max: -0.58, avg5: 0.54)"	"GntR (max: 0.64, avg5: 0.57)"	"LiuR (max: 0.63, avg5: 0.59)"	"GguR (max: -0.61, avg5: 0.54)"	"SahR_SamR (max: -0.60, avg5: 0.55)"
