"Matrix_subsample"	"Top1"	"Top2"	"Top3"	"Top4"	"Top5"	"Top6"	"Top7"	"Top8"
"M0_srf-nonpolar"	"HCO3 (max: -0.94, avg15: 0.76)"	"CO3 (max: 0.59, avg15: 0.49)"	"Mean Flux at 150m (max: -0.60, avg15: 0.48)"	"Fluorescence (max: 0.61, avg15: 0.48)"	"Carbon.total (max: -0.49, avg15: 0.41)"	"NPP 8d VGPM (mgC/m2/day) (max: -0.55, avg15: 0.45)"	"NO3 (max: -0.57, avg15: 0.43)"	"ChlorophyllA (max: 0.60, avg15: 0.44)"
"M0_srf-polar"	"CO3 (max: -0.86, avg15: 0.72)"	"NO2 (max: -0.75, avg15: 0.69)"	"Oxygen (max: -0.77, avg15: 0.71)"	"Latitude (max: -0.75, avg15: 0.69)"	"Iron.5m (max: 0.77, avg15: 0.71)"	"NO3 (max: 0.70, avg15: 0.60)"	"Lyapunov (max: -0.83, avg15: 0.62)"	"Temperature (max: 0.75, avg15: 0.56)"
"M1_all"	"Fluorescence (max: -0.70, avg15: 0.63)"	"Temperature (max: 0.74, avg15: 0.60)"	"NO3 (max: 0.53, avg15: 0.49)"	"Carbon.total (max: -0.56, avg15: 0.48)"	"Density (max: 0.48, avg15: 0.42)"	"Salinity (max: -0.48, avg15: 0.41)"	"NO2NO3 (max: 0.39, avg15: 0.36)"	"ChlorophyllA (max: 0.48, avg15: 0.39)"
"M1_epi"	"Carbon.total (max: -0.61, avg15: 0.55)"	"Fluorescence (max: -0.64, avg15: 0.55)"	"Temperature (max: 0.65, avg15: 0.52)"	"ChlorophyllA (max: 0.63, avg15: 0.50)"	"Oxygen (max: 0.62, avg15: 0.49)"	"Latitude (max: -0.46, avg15: 0.41)"	"HCO3 (max: -0.48, avg15: 0.38)"	"Salinity (max: -0.46, avg15: 0.39)"
"M1_epi-nonpolar"	"CO3 (max: -0.57, avg15: 0.43)"	"HCO3 (max: 0.61, avg15: 0.45)"	"FluxAttenuation (max: 0.41, avg15: 0.34)"	"NPP 8d VGPM (mgC/m2/day) (max: -0.47, avg15: 0.40)"	"Carbon.total (max: -0.46, avg15: 0.38)"	"Fluorescence (max: 0.51, avg15: 0.37)"	"ChlorophyllA (max: 0.44, avg15: 0.37)"	"NO3 (max: -0.50, avg15: 0.33)"
"M1_nonpolar"	"NO3 (max: -0.68, avg15: 0.65)"	"Fluorescence (max: -0.63, avg15: 0.60)"	"Temperature (max: 0.67, avg15: 0.57)"	"Density (max: -0.60, avg15: 0.51)"	"Oxygen (max: 0.48, avg15: 0.41)"	"NO2NO3 (max: -0.47, avg15: 0.41)"	"PO4 (max: 0.44, avg15: 0.36)"	"Si (max: -0.37, avg15: 0.32)"
"M1_polar"	"NO2 (max: 0.66, avg15: 0.61)"	"CO3 (max: 0.68, avg15: 0.59)"	"Iron.5m (max: -0.63, avg15: 0.58)"	"Latitude (max: 0.67, avg15: 0.59)"	"Oxygen (max: 0.67, avg15: 0.57)"	"Temperature (max: -0.57, avg15: 0.51)"	"Ammonium.5m (max: -0.61, avg15: 0.52)"	"NO3 (max: 0.65, avg15: 0.51)"
"M1_srf"	"Fluorescence (max: 0.74, avg15: 0.63)"	"Oxygen (max: -0.72, avg15: 0.62)"	"Temperature (max: 0.71, avg15: 0.60)"	"Carbon.total (max: 0.69, avg15: 0.60)"	"ChlorophyllA (max: 0.71, avg15: 0.56)"	"Latitude (max: -0.52, avg15: 0.47)"	"Salinity (max: -0.53, avg15: 0.44)"	"Gradient.Surface.temp(SST) (max: -0.51, avg15: 0.43)"
"M1_srf-nonpolar"	"HCO3 (max: -0.94, avg15: 0.78)"	"CO3 (max: 0.59, avg15: 0.47)"	"Mean Flux at 150m (max: -0.56, avg15: 0.46)"	"NO3 (max: -0.64, avg15: 0.42)"	"NPP 8d VGPM (mgC/m2/day) (max: -0.53, avg15: 0.44)"	"Carbon.total (max: 0.52, avg15: 0.40)"	"Fluorescence (max: 0.52, avg15: 0.43)"	"ChlorophyllA (max: 0.50, avg15: 0.42)"
"M1_srf-polar"	"CO3 (max: -0.86, avg15: 0.71)"	"NO2 (max: 0.77, avg15: 0.69)"	"Oxygen (max: -0.75, avg15: 0.65)"	"Iron.5m (max: -0.77, avg15: 0.67)"	"Latitude (max: -0.78, avg15: 0.68)"	"NO3 (max: -0.70, avg15: 0.60)"	"Temperature (max: 0.68, avg15: 0.54)"	"Lyapunov (max: -0.76, avg15: 0.62)"
"guidi_all"	"Fluorescence (max: -0.69, avg15: 0.58)"	"Temperature (max: 0.67, avg15: 0.54)"	"Carbon.total (max: -0.57, avg15: 0.46)"	"NO3 (max: -0.50, avg15: 0.42)"	"ChlorophyllA (max: 0.46, avg15: 0.40)"	"Salinity (max: 0.50, avg15: 0.38)"	"HCO3 (max: 0.49, avg15: 0.38)"	"Density (max: -0.40, avg15: 0.35)"
"guidi_epi"	"Fluorescence (max: -0.63, avg15: 0.54)"	"Temperature (max: 0.60, avg15: 0.49)"	"ChlorophyllA (max: -0.60, avg15: 0.51)"	"Carbon.total (max: -0.64, avg15: 0.51)"	"Oxygen (max: -0.55, avg15: 0.47)"	"Latitude (max: -0.48, avg15: 0.43)"	"HCO3 (max: 0.55, avg15: 0.40)"	"Salinity (max: 0.50, avg15: 0.37)"
"guidi_epi-nonpolar"	"HCO3 (max: 0.71, avg15: 0.51)"	"Fluorescence (max: -0.48, avg15: 0.39)"	"CO3 (max: -0.58, avg15: 0.41)"	"NO3 (max: -0.60, avg15: 0.38)"	"ChlorophyllA (max: -0.51, avg15: 0.36)"	"NO2 (max: -0.45, avg15: 0.33)"	"NPP 8d VGPM (mgC/m2/day) (max: -0.39, avg15: 0.30)"	"Temperature (max: -0.41, avg15: 0.30)"
"guidi_nonpolar"	"NO3 (max: -0.66, avg15: 0.58)"	"Fluorescence (max: -0.65, avg15: 0.55)"	"Temperature (max: 0.59, avg15: 0.47)"	"Density (max: -0.50, avg15: 0.42)"	"HCO3 (max: 0.72, avg15: 0.43)"	"NO2NO3 (max: -0.49, avg15: 0.38)"	"PO4 (max: -0.48, avg15: 0.35)"	"Oxygen (max: -0.43, avg15: 0.37)"
"guidi_polar"	"Iron.5m (max: -0.62, avg15: 0.51)"	"Latitude (max: -0.64, avg15: 0.52)"	"Oxygen (max: -0.61, avg15: 0.50)"	"NO2 (max: 0.66, avg15: 0.49)"	"Temperature (max: 0.59, avg15: 0.49)"	"CO3 (max: 0.68, avg15: 0.49)"	"HCO3 (max: 0.63, avg15: 0.47)"	"Ammonium.5m (max: 0.58, avg15: 0.45)"
"guidi_srf"	"Fluorescence (max: -0.73, avg15: 0.62)"	"Oxygen (max: -0.69, avg15: 0.55)"	"Temperature (max: 0.69, avg15: 0.54)"	"Carbon.total (max: -0.67, avg15: 0.58)"	"ChlorophyllA (max: -0.67, avg15: 0.57)"	"Latitude (max: -0.58, avg15: 0.50)"	"Salinity (max: 0.57, avg15: 0.45)"	"Brunt.Väisälä (max: 0.50, avg15: 0.42)"
"guidi_srf-nonpolar"	"HCO3 (max: 0.94, avg15: 0.71)"	"NO3 (max: -0.68, avg15: 0.48)"	"Fluorescence (max: -0.55, avg15: 0.44)"	"ChlorophyllA (max: -0.62, avg15: 0.40)"	"Mean Flux at 150m (max: -0.53, avg15: 0.42)"	"CO3 (max: -0.61, avg15: 0.46)"	"NPP 8d VGPM (mgC/m2/day) (max: -0.50, avg15: 0.38)"	"NO2 (max: -0.46, avg15: 0.36)"
"guidi_srf-polar"	"CO3 (max: 0.74, avg15: 0.62)"	"Oxygen (max: 0.73, avg15: 0.64)"	"NO2 (max: 0.69, avg15: 0.59)"	"Iron.5m (max: -0.70, avg15: 0.60)"	"Temperature (max: -0.69, avg15: 0.55)"	"Latitude (max: -0.75, avg15: 0.64)"	"Lyapunov (max: -0.79, avg15: 0.59)"	"NO3 (max: -0.77, avg15: 0.52)"
"salazar_all"	"Fluorescence (max: -0.44, avg15: 0.33)"	"PAR.PC (max: 0.48, avg15: 0.37)"	"Mean Flux at 150m (max: -0.46, avg15: 0.32)"	"Longitude (max: 0.32, avg15: 0.27)"	"ChlorophyllA (max: -0.36, avg15: 0.31)"	"Latitude (max: -0.37, avg15: 0.30)"	"HCO3 (max: -0.45, avg15: 0.33)"	"Carbon.total (max: -0.42, avg15: 0.30)"
"salazar_epi"	"Latitude (max: -0.44, avg15: 0.36)"	"Fluorescence (max: -0.42, avg15: 0.35)"	"ChlorophyllA (max: -0.41, avg15: 0.35)"	"Mean Flux at 150m (max: -0.46, avg15: 0.32)"	"PAR.PC (max: 0.50, avg15: 0.37)"	"Carbon.total (max: -0.43, avg15: 0.31)"	"Longitude (max: 0.34, avg15: 0.29)"	"HCO3 (max: -0.48, avg15: 0.33)"
"salazar_epi-nonpolar"	"HCO3 (max: -0.73, avg15: 0.54)"	"Longitude (max: 0.39, avg15: 0.36)"	"Fluorescence (max: -0.44, avg15: 0.37)"	"NO3 (max: -0.43, avg15: 0.35)"	"Latitude (max: -0.45, avg15: 0.31)"	"Mean Flux at 150m (max: -0.46, avg15: 0.32)"	"ChlorophyllA (max: -0.39, avg15: 0.32)"	"CO3 (max: -0.37, avg15: 0.29)"
"salazar_nonpolar"	"Longitude (max: 0.40, avg15: 0.34)"	"Fluorescence (max: -0.43, avg15: 0.33)"	"HCO3 (max: -0.68, avg15: 0.49)"	"Mean Flux at 150m (max: -0.46, avg15: 0.32)"	"NO3 (max: -0.43, avg15: 0.32)"	"ChlorophyllA (max: -0.34, avg15: 0.28)"	"Latitude (max: -0.35, avg15: 0.24)"	"NO2 (max: -0.37, avg15: 0.27)"
"salazar_polar"	"Carbon.total (max: -0.73, avg15: 0.52)"	"Okubo.Weiss (max: -0.59, avg15: 0.47)"	"ChlorophyllA (max: -0.59, avg15: 0.43)"	"NO2NO3 (max: -0.57, avg15: 0.46)"	"Latitude (max: -0.60, avg15: 0.46)"	"Lyapunov (max: -0.56, avg15: 0.41)"	"PO4 (max: 0.47, avg15: 0.40)"	"Oxygen (max: -0.57, avg15: 0.43)"
"salazar_srf"	"Fluorescence (max: -0.49, avg15: 0.41)"	"ChlorophyllA (max: -0.46, avg15: 0.40)"	"Mean Flux at 150m (max: -0.48, avg15: 0.38)"	"PAR.PC (max: 0.58, avg15: 0.47)"	"Latitude (max: -0.56, avg15: 0.39)"	"Carbon.total (max: -0.44, avg15: 0.37)"	"Longitude (max: 0.42, avg15: 0.34)"	"HCO3 (max: 0.54, avg15: 0.40)"
"salazar_srf-nonpolar"	"HCO3 (max: -0.94, avg15: 0.74)"	"Fluorescence (max: -0.54, avg15: 0.46)"	"Longitude (max: 0.57, avg15: 0.43)"	"ChlorophyllA (max: -0.43, avg15: 0.40)"	"NO3 (max: 0.58, avg15: 0.41)"	"Mean Flux at 150m (max: -0.48, avg15: 0.38)"	"NO2 (max: -0.39, avg15: 0.35)"	"NPP 8d VGPM (mgC/m2/day) (max: -0.39, avg15: 0.32)"
"salazar_srf-polar"	"Lyapunov (max: -0.88, avg15: 0.72)"	"Carbon.total (max: -0.70, avg15: 0.60)"	"Okubo.Weiss (max: -0.70, avg15: 0.53)"	"ChlorophyllA (max: -0.58, avg15: 0.52)"	"Latitude (max: 0.68, avg15: 0.51)"	"NO2 (max: 0.71, avg15: 0.47)"	"Oxygen (max: -0.58, avg15: 0.46)"	"NO3 (max: 0.65, avg15: 0.49)"
"stress_all"	"PAR.PC (max: 0.68, avg15: 0.49)"	"Fluorescence (max: -0.65, avg15: 0.44)"	"NO3 (max: -0.53, avg15: 0.40)"	"Temperature (max: 0.61, avg15: 0.40)"	"Carbon.total (max: -0.56, avg15: 0.36)"	"Latitude (max: -0.43, avg15: 0.31)"	"ChlorophyllA (max: -0.47, avg15: 0.33)"	"HCO3 (max: 0.48, avg15: 0.31)"
"stress_epi"	"Fluorescence (max: -0.60, avg15: 0.43)"	"Carbon.total (max: -0.60, avg15: 0.40)"	"PAR.PC (max: 0.57, avg15: 0.37)"	"Latitude (max: -0.54, avg15: 0.36)"	"Temperature (max: 0.52, avg15: 0.39)"	"ChlorophyllA (max: -0.57, avg15: 0.38)"	"Oxygen (max: 0.50, avg15: 0.37)"	"CO3 (max: -0.38, avg15: 0.34)"
"stress_epi-nonpolar"	"HCO3 (max: -0.76, avg15: 0.52)"	"Fluorescence (max: -0.48, avg15: 0.40)"	"NO3 (max: -0.58, avg15: 0.41)"	"CO3 (max: -0.52, avg15: 0.40)"	"Temperature (max: 0.52, avg15: 0.34)"	"Latitude (max: -0.49, avg15: 0.34)"	"ChlorophyllA (max: -0.44, avg15: 0.35)"	"Carbon.total (max: -0.39, avg15: 0.30)"
"stress_nonpolar"	"NO3 (max: -0.70, avg15: 0.52)"	"Fluorescence (max: -0.58, avg15: 0.49)"	"Temperature (max: 0.51, avg15: 0.43)"	"HCO3 (max: 0.71, avg15: 0.45)"	"Density (max: -0.44, avg15: 0.36)"	"CO3 (max: -0.47, avg15: 0.36)"	"PO4 (max: 0.42, avg15: 0.30)"	"NO2NO3 (max: -0.42, avg15: 0.33)"
"stress_polar"	"Oxygen (max: 0.70, avg15: 0.52)"	"PAR.PC (max: 0.68, avg15: 0.49)"	"NO3 (max: 0.75, avg15: 0.51)"	"Okubo.Weiss (max: -0.60, avg15: 0.46)"	"Lyapunov (max: -0.60, avg15: 0.42)"	"Salinity (max: -0.60, avg15: 0.42)"	"NO2 (max: -0.60, avg15: 0.42)"	"CO3 (max: -0.61, avg15: 0.48)"
"stress_srf"	"Carbon.total (max: -0.63, avg15: 0.46)"	"PAR.PC (max: 0.68, avg15: 0.50)"	"Fluorescence (max: -0.62, avg15: 0.46)"	"Oxygen (max: 0.57, avg15: 0.44)"	"Latitude (max: -0.59, avg15: 0.42)"	"ChlorophyllA (max: -0.61, avg15: 0.44)"	"Temperature (max: 0.56, avg15: 0.43)"	"Mean Flux at 150m (max: -0.46, avg15: 0.39)"
"stress_srf-nonpolar"	"HCO3 (max: -0.94, avg15: 0.72)"	"NO3 (max: -0.67, avg15: 0.50)"	"CO3 (max: -0.52, avg15: 0.42)"	"Fluorescence (max: -0.57, avg15: 0.39)"	"Carbon.total (max: -0.48, avg15: 0.37)"	"Temperature (max: 0.66, avg15: 0.39)"	"ChlorophyllA (max: -0.50, avg15: 0.40)"	"Mean Flux at 150m (max: -0.46, avg15: 0.39)"
"stress_srf-polar"	"Lyapunov (max: -0.88, avg15: 0.74)"	"CO3 (max: 0.77, avg15: 0.60)"	"Oxygen (max: 0.75, avg15: 0.52)"	"Density (max: 0.69, avg15: 0.52)"	"NO3 (max: 0.77, avg15: 0.52)"	"Okubo.Weiss (max: -0.70, avg15: 0.48)"	"Si (max: 0.64, avg15: 0.49)"	"Alkalinity.total (max: 0.66, avg15: 0.48)"
