	MetJ	AcnR	BioQ	FadP	FadR	PurR	CsoR	NnrR	FixJ	GguR	PhnF	HutC	MetR	NrdR	FUR	Zur	CzrA	IscR	BirA	MntR	Phr	ArgR	NrtR	NsrR	SahR_SamR	KdgR	NagC	LldR	RbkR	Rex	LexA	ModE	ThiR	NikR	PdhR	ExuR_UxuR	NifA	NmlR	NorR	GulR	VanR	NarP	TtrR	AgaR	XylR	CcpA	NadQ	NagR	PsrA	AmtR	HisR	SoxR	PhrR	HrcA	RutR	HexR	PaaR	PhnR	TyrR	NagQ	PdxR	FabR	HypR	AraR	TrpR	QorR	GlcC	ZntR	LiuR	LtbR	NtrC	FruR	CueR	MerR	HcpR	FnrN_FixK	PhsR	CadR-PbrR	NiaR	SdaR	GntR	RbsR	CblR	DasR	Irr	PrpR	LiuQ	SiaR
MetJ	1.0	0.09672694234950008	-0.05933546870871595	-0.12539458863121203	-0.047941649554306055	-0.1679846660887865	0.03443408689525381	-0.03818412745502501	-0.08290649002693169	0.06235775108816072	-0.09986279208829514	0.1556985319680528	0.04087729626247503	-0.10144578201556569	-0.027142598884722178	0.00642235005632014	0.10624574122402436	0.026771766690925274	0.05150395631596757	-0.001983952236813439	0.012782122179937051	-0.1017494008742369	-0.01731786345031544	-0.02569867103012548	-0.01806648094154294	-0.04884323532547478	-0.0012237462395297848	0.10082463809095586	-0.04968224316394028	-0.058853386856779974	-0.0996773759913967	-0.014900501087001868	0.022986960612985618	0.25896602713564576	0.14234625529015302	0.04409890094608564	0.00802156389206929	0.14708827196833094	0.05655654495645039	0.17057353834173114	0.053791527411452225	-0.15238885463841542	-0.032633233054127596	-0.08354154015880888	0.01799231450278356	0.008420208500400962	-0.03441554528556397	-0.07612721398408202	0.09547306599422428	-0.05740714130097204	-0.14850206970718163	-0.010058823256741034	0.05465834766445249	0.03175482429507118	-0.02653999656980221	0.1800065822714399	0.1753340966295989	-0.00837385447617635	0.01526438017716508	0.013247980123394412	-0.024319638809443243	-0.0573885996912822	0.07390453852251183	0.04863464221646402	-0.14719720392525878	0.08701113887202118	0.035769082792922666	-0.13177753776694123	0.027355827396155396	-0.014527351191993733	-0.04986765926083873	0.052447260708938445	0.10674404698443896	-0.008195391482911589	-0.0865058800079729	0.19718306594787027	-0.002857725593447395	0.015401124548627689	-0.04036971969721551	0.05046794387454747	-0.04719303206307856	0.06908835540557454	-0.19475411507850054	-0.03439005057224043	-0.035004241393216555	-0.04189940249662775	0.05713828796046929	0.10009919761184068
AcnR	0.09672694234950008	1.0	0.15146177415392317	0.15993760748339367	0.21992435023246543	-0.22697247961581785	-0.06972572323866297	-0.09778613180303249	0.06010031010842206	0.05334884648010717	0.0886312120186714	0.08725681520041162	0.03148828865577965	-0.07993751477534522	0.01948954948523856	-0.025040443886135976	-0.10011773922153051	-0.16725459020724884	-0.025471536311424875	-0.179454969383167	-0.2683944356629321	-0.12330170443747074	-0.09412416388928804	-0.10935377854828467	-0.07161464972581595	-0.08593804321122138	-0.10878594175153317	0.07834988944565223	-0.037639467670385805	-0.21214382726636413	-0.148666626493179	-0.16128419188711868	-0.16101070314419347	0.13997524695106406	0.12726960891109762	0.13190501133355892	0.0684880707918658	0.07587458455205788	0.05534902262539922	0.15667196647676968	0.034626456095785955	0.11175028160069717	-0.10805586586999551	-0.0013257250928239335	-0.0692366882830933	-0.07867204991401329	-0.11958411169465677	-0.01761221150414173	0.09328747375203378	-0.24295766486967565	-0.1268524226930761	-0.035039006911385014	-0.06658987349986789	0.012948996667145659	0.05758096889181434	-0.06974658254956403	-0.05224793840477261	-0.10144114661314323	-0.04462038371861253	-0.11291376760873495	-0.13868660507761982	-0.10047466520806003	-0.2208073943939443	-0.2177967005205557	-0.10293142849196453	-0.10924716429256806	-0.024783179051689374	-0.040093913253079067	-0.13521932406561876	-0.15571243817532018	-0.11584565964094173	-0.04532264718561542	0.12974027840226948	-0.08892092467007523	-0.01724601471276729	-0.011099471100583597	-0.028340850410928424	0.1405245421381257	-0.08891165386523031	0.044594889005289	0.15292424361820972	0.038605949075468986	0.012835429307795356	-0.13535375073587014	-0.20209891021689047	-0.08617676643597814	-0.18058600757424756	-0.025529478841705644
BioQ	-0.05933546870871595	0.15146177415392317	1.0	0.17946655788922317	0.1787133049955732	-0.18740004913526567	0.06539162197366165	-0.01384594703589192	0.20025170235153966	-0.12765666501337314	0.20507715627332188	0.14740811473548077	0.1191553369705791	0.1340488849539473	0.09345666594045363	0.029117280316690693	-0.018432677732917385	-0.09294677167398288	-0.06515289874890488	-0.0885709517871794	-0.07931868855194664	0.05161752367531787	0.018224084623906626	0.11804747579161085	0.04386481312375134	-0.0869300193296281	-0.053318716364361175	0.23891791165850063	0.14477288845831152	0.003339807445383371	0.01869921337220891	0.010557129017155624	0.04531801178319296	0.15310502431268572	0.23730015621306164	0.1848760725162355	0.06153033175575138	0.010325358896032559	-0.04304898229739815	0.17484042627160676	0.1690206785302066	0.21950021091081023	0.1613143220028647	0.11027622363035447	-0.060315856321066515	0.04172093950336298	-0.08434346477789469	-0.021176835967014477	0.015257427073531388	-0.01007968256764211	0.05253069795254275	0.06615646337336775	0.01043197315174917	0.18044231009915127	0.062102803954925345	0.08196318563396081	0.0854397374508068	-0.06967705151322712	-0.04426577543329424	-0.1411595922700029	0.07492200935424209	0.24321956510654472	-0.02786572166262614	-0.08397958568773148	-0.0668170082185685	-0.04721389137397963	0.15552702207842173	0.1401676161515962	-0.06335204490777867	-0.11988541285211676	-0.09416356480987897	0.03052876035433016	0.14085133800890925	0.10417371634118416	-0.0317339649841701	0.02718895290894679	-0.0693502556424436	-0.0019190566028989807	0.14690053817022125	0.15943930172297907	0.13201162558927554	0.08265386059490755	0.08469343766079052	-0.02301013762509792	-0.045864989269043394	-0.08625788597837121	-0.03601939452373558	0.09231867464573937
FadP	-0.12539458863121203	0.15993760748339367	0.17946655788922317	1.0	0.2713216922927164	-0.2386791884337439	0.02517487055638735	0.027564420505166155	0.05367100694846823	-0.028382569032730575	0.12647231969443426	0.10089416912729278	0.09995318243553314	0.17357496141027484	0.10339960413663313	0.08838785339149219	-0.09037180562830562	-0.05214595955147846	-0.10789362678520936	-0.10108885602903617	-0.07313506172038325	-0.006763052134371046	0.009331065076414609	-0.011706708817926029	-0.043809188294681806	0.023058809350533768	-0.03625348234606987	-0.016073257899884577	0.04563785455034279	-0.08941923043048983	-0.05188869471703186	0.09219351878033291	-0.030183422873856794	0.08989899458121457	0.02729324946345217	0.07022171129786632	0.24037342801915348	0.014932948903959097	0.082869406807552	0.05865869995503659	0.06397782423481095	0.03628593016302711	0.05987317538972146	0.07439589117929273	-0.21595412805762731	0.07706820067584168	-0.20527184317506525	7.41664387593809e-05	0.13328172585302994	0.09484960436840324	0.04506074694874636	0.021904594147340903	-0.051837705290384783	-0.02509375101399428	-0.03475624736361487	-0.06571610014323394	-0.10150604224705768	0.018764109006123367	-0.007585836064357927	-0.0917763325623114	-0.07965011982515262	-0.1066490212347785	-0.2535147938868313	-0.1930112037676551	-0.21932174791754547	-0.014958443617282635	0.02888087479314517	0.16705295020187177	-0.14785079566682582	-0.15950419735689353	-0.01015384900640149	-0.0041023311438782555	0.004266887929875632	0.03350700641076155	0.17472222350983402	0.04956404040216751	0.0345916905776175	-0.10970838683360296	-0.02033319272612652	0.06964460369626989	0.12904033263647782	0.019999443751709305	-0.06597104727646931	0.012904960344132277	-0.0585381794920526	-0.045134913387505735	-0.18380065915422447	-0.14538707927928762
FadR	-0.047941649554306055	0.21992435023246543	0.1787133049955732	0.2713216922927164	1.0	-0.018632000037083218	0.10609509064529438	-0.03645280465023571	0.06472180632361599	-0.07029587773662571	0.20037454051573486	0.03838808516161331	0.09257130407776351	0.06546115300999857	0.13179376167541984	0.07244438675943653	-0.01898892602361274	-0.03638095591268756	-0.152022657847041	-0.047329776434541164	-0.12321131409023274	-0.02555497355502918	-0.008911561157181861	-0.04005683003369938	0.034777106674515945	0.029550690443190825	-0.06423972447168001	0.05255155726344383	0.08375245096903088	-0.030586702884610927	0.0718533729505727	0.12938103471452875	0.0016386147563400716	0.022599904510710096	0.11873815075255759	0.1067857656062411	0.015776592144847053	-0.1085309946182978	-0.09321562501448563	0.20543176455864015	0.039984981296151224	0.04830089324204681	0.18456086515150813	0.13076470233763343	0.06559094427782748	0.0031729329581747638	-0.13612090983678748	0.0842530744306567	-0.019800121447543468	-0.05784055142747217	0.05524472607089385	0.05689492933329007	0.06948236461148374	0.1684157585140754	-0.002364055235455266	0.01660632917846763	-0.003031553184289694	0.014436960844755738	-0.019790850642698546	-0.04748969781811608	-0.0062809702824350696	0.06469631161029245	-0.1445990608674692	-0.10791912149853289	-0.13876772462001288	0.018404865318382615	0.00851755195127265	0.1359563530507901	0.07936272487496002	0.037314989500813515	-0.07305625987920142	-0.04298408666348369	0.15975682678891767	0.1382230648353737	0.10584246121327023	0.14515994456058703	0.0634679299683402	0.17247637103615152	0.04069883326921027	0.23876262567734818	0.18559919529413946	0.22356314113409756	0.06993199864646249	-0.058473283858138145	-0.11362530188058276	-0.021376158271180314	-0.1744116515475291	-0.0313330026746272
PurR	-0.1679846660887865	-0.22697247961581785	-0.18740004913526567	-0.2386791884337439	-0.018632000037083218	1.0	0.27214447622270327	0.1379287167815474	-0.17834710820419875	0.05152945102929111	-0.28985866658013915	-0.38745011148142827	-0.43838854870185556	-0.22373696872493987	-0.18361756075853725	-0.027705800279051226	-0.10349462988629358	-0.002644497082014175	-0.11953080456679846	-0.04890813095938924	-0.050984791244651904	-0.03533799036763376	-0.13540010476009476	-0.1797215050224585	-0.298679837390083	-0.1358891397156644	-0.1692779433646532	-0.23804877370428915	-0.12830562135251772	0.10162424500883044	0.1158502950433642	-0.012323217340113383	-0.043280752418521216	-0.1459525983748279	-0.1874023668364769	-0.2976901789728875	-0.3916845515943467	-0.11620953873110494	-0.12825694962708187	-0.27963760423861195	-0.11133773078509811	0.03697892282518507	-0.10122560040049877	-0.08600062114392461	-0.06002150826724022	-0.12499130862045789	-0.03055889047007616	-0.06232762097241472	-0.09422846044379343	0.04462501912103499	0.09897974792681627	0.1246297472315059	0.18672328038158634	-0.07313274401917202	0.08348823303095058	0.009136378174671235	0.09488668758778293	0.21003008376172178	0.13920577014893548	0.15101214011894443	0.17379746072655297	0.07637057261126125	0.12358446398524088	0.06697692960214341	0.23052551557263443	0.17203832550722892	-0.05734224566705758	-0.009324111972780918	0.19265196007991434	0.33043929708757663	0.3368546940402631	0.05285054071969258	-0.018441948537762307	0.17267569334031735	-0.021482772526896923	0.04025847003907644	0.11668466747940723	0.10064617509769111	0.04390421404434226	0.06451784861702768	-0.024298779498542165	0.03905558311044773	0.0787786641697299	0.1418456318285272	0.002313065808808192	-0.06005859148661991	-0.07577260569876373	-0.1326744881356875
CsoR	0.03443408689525381	-0.06972572323866297	0.06539162197366165	0.02517487055638735	0.10609509064529438	0.27214447622270327	1.0	0.1767177642527036	0.05660753438309747	0.12022379722895643	-0.1871984091298886	-0.21458900204421247	-0.3238083539222458	-0.07970342695301093	-0.09640478188113902	-0.0224260769198678	-0.22697016191460662	-0.05778492659840264	-0.23513078787934974	-0.17796005210192323	-0.26826927979752563	-0.10838266174077903	-0.20935099730683118	-0.18457245365756428	-0.25796246251118293	-0.1988726701308574	-0.25224932902549935	-0.10874190542851978	-0.24103629056556544	0.005344618993097886	-0.03091118105418322	0.07410386082667766	-0.15197398612160515	-0.11980197560851245	-0.06239715200875164	-0.14894011523610423	-0.07466474451979549	-0.13058855704557992	0.046685455497819044	0.052159865758745844	0.026380075186227293	0.08640390115467875	0.0503798712285207	-0.16333072205663535	-0.20676907815752024	-0.17973541122972592	-0.18631768266962095	-0.12404105112385332	-0.005625060839656795	-0.17036262753150916	0.11785742429228993	0.04655798193120136	0.0602996324125879	0.05106359308583375	-0.07089616235033444	0.07729997079696474	-0.0024428570766371082	0.07342245667057586	0.043579735874769966	0.12422646722075177	0.22565834302905008	-0.11937783628685725	-0.00788018411818422	0.008923149663238015	0.04023065762454167	-0.04154942961373192	-0.002646814783225406	0.08845043132419542	0.2530489359433739	0.22163481372635366	0.21565282690016735	0.12875989078991892	0.09719280029295743	0.2149528811343757	0.03844602769189407	0.11438550787786642	-0.0020001761452920533	0.1466849919575768	0.2179867520198766	0.178138515095188	0.19047795634377998	0.11017424477706032	-0.07352443552387	-0.11050799375147753	-0.20230286792347876	-0.20972414720183932	-0.13015978232150224	-0.2947142506176674
NnrR	-0.03818412745502501	-0.09778613180303249	-0.01384594703589192	0.027564420505166155	-0.03645280465023571	0.1379287167815474	0.1767177642527036	1.0	0.09817550560651923	0.027812414534767835	-0.08555794021257955	-0.13572226522845582	-0.15679944004338736	-0.03273289420621051	-0.061836268315633824	0.052616452897358286	-0.09444168895522664	-0.036793506728286615	-0.12095850851291655	-0.005898549582582012	-0.07665333215903139	0.04022833992333044	-0.048087664730613586	-0.0765026815803014	-0.1710162192730762	-0.12670640751676857	-0.07152194167736672	-0.1441216144179557	-0.07204805985231608	0.1078217780476612	0.03003508999633803	0.055840375282180124	0.03936383737154141	-0.06437646884314262	0.028535537312671798	-0.21973661643435574	-0.07324862907973356	0.10211096226318887	0.17413816280460387	0.06639982200054698	-0.020648400090853888	0.017841663924053567	-0.09005659826357826	-0.0012469232516420913	-0.03871719873360806	-0.02565695240832333	-0.041475263174972535	-0.012160978255327236	-0.10390718070189263	-0.061140957952264624	0.21796821041018677	0.09803644353384539	-0.007970574465422216	0.042678150103601244	0.019651788570024708	-0.028669963982923177	0.07816447334875377	-0.0032540525005678366	-0.07566599144304713	0.06302988443941761	0.20875766579675614	-0.08700186806717625	-0.026495960246788824	0.1456953335403813	0.11365774969753999	0.06820067584167319	-0.004584412995814232	-0.046240456865262757	0.07898493957752942	0.22674534489711726	0.2476579629260514	0.10659803180813142	-0.03718751593419583	0.010763404424955152	0.16689998192193056	0.1971853836490815	0.13430383208718266	0.002690851106238788	0.030262224715038637	0.04701456906981379	0.1689998192193055	0.011567646745252189	0.03251503029235483	-0.02842428765453273	-0.05621120747597703	0.0035553536580278217	-0.06280506742192823	-0.04699602746012395
FixJ	-0.08290649002693169	0.06010031010842206	0.20025170235153966	0.05367100694846823	0.06472180632361599	-0.17834710820419875	0.05660753438309747	0.09817550560651923	1.0	0.12804835651807112	-0.04313010183979122	-0.03956779507812971	-0.04673412722325489	-0.12344771961377828	-0.09593428853525919	-0.1909855329090395	-0.17376269520838453	-0.17167676411827693	-0.31586095646893586	-0.2830330365130649	-0.3219588283556837	-0.19242018995879126	-0.20320908909706997	-0.11731739991007319	-0.13783137333067572	-0.20989102168904794	-0.2798832805670024	-0.029984100569690957	-0.08775048555840376	-0.18208324255670255	-0.042794035164162775	-0.05723794911255221	-0.18248420486624548	0.036909391788848146	0.12057377011185226	-0.08476992180076114	-0.11407030051313904	0.102755283199911	0.09745006512740403	0.060925411739620176	0.09879664953112904	0.2489489225007069	0.11492553226008316	-0.13377539621102205	-0.16212319972558417	-0.17515795133754536	-0.2207007801382277	-0.2325419156264051	-0.061310150140684465	-0.13760887401439756	-0.0019468690174337486	-0.08706444599987948	-0.08389383074291594	-0.025786743676152246	-0.14782530095350227	-0.2000662862546412	-0.11317103244318155	-0.1713870514668731	-0.2680236034691352	-0.06012348712053437	-0.09323184892296425	-0.021561574368078765	-0.0817198270067816	-0.08355312866486504	-0.17512550352058814	-0.02609499793724592	0.06712062707723972	0.05789154085411925	-0.14092086904524617	-0.04236757814129634	-0.12393211916692548	0.054846081462562174	0.059794373548539614	-0.07569148615637067	0.08899972651125708	-0.14127547733056445	-0.021906911848552132	0.021881417135228596	0.009004269205631087	0.052387000477446447	0.15684115866518952	-0.05451233248814496	0.13880017243697013	-0.14493512754309765	-0.08939141801595506	-0.046474544687597055	-0.24114754022370452	-0.15236567762630313
GguR	0.06235775108816072	0.05334884648010717	-0.12765666501337314	-0.028382569032730575	-0.07029587773662571	0.05152945102929111	0.12022379722895643	0.027812414534767835	0.12804835651807112	1.0	0.0014439278545966968	-0.05274392646397597	-0.3048773704289138	-0.21988726701308575	-0.27433702156852746	-0.1863895314071691	-0.18114457356615415	-0.07468328612948533	-0.22984411141653263	-0.11432756534758565	-0.07192290398690962	-0.19870811334486002	-0.174993394551548	-0.2015194849140828	-0.20039308212542473	-0.2542379166647353	-0.30649280817314156	-0.039655867724156475	-0.08992680699574934	0.03370401101371616	-0.004361913679536089	-0.06943601058725914	-0.16114512981444484	-0.08815608327036911	-0.10048161831169374	0.0423953905558311	-0.07382573668133	0.16496238370934171	0.009773746007759664	-0.08614895402144337	-0.02573343654829394	0.19171560879057714	0.015994456058702738	-0.16591495890715752	0.020926524236201567	-0.32679355308231084	-0.18952538114596418	-0.17442092235237402	-0.1198135641145686	-0.0640960269965837	-0.01675466205598639	0.12878538550324248	0.12100949793956363	-0.014821699245820026	0.007210368468138562	-0.08172909781162652	-0.026064867821499922	0.07239107963157822	0.02596984207183947	-0.011291840301115741	-0.049756409602699656	-0.06423277136804632	0.049492191664619364	-0.032489535579031295	-0.07329034770153571	0.1554250432251276	-0.046446732273062286	-0.049311410970143375	0.03634850809573033	0.015496150298288146	0.09400827882872652	-0.03591046256680774	0.09824967204527861	0.06555154335723656	-0.1309130352151522	-0.10955541855366173	-0.10824823507052765	0.03687694397189092	-0.027942205802596754	0.03203758384284132	0.02356870361700451	0.0027580644413644773	0.013549281280854397	-0.12363313571067672	0.0908168042608619	-0.05977351423763854	-0.06476352494541814	-0.11404712350102675
