	CzrA	MetR	SahR_SamR	NagC	FUR	KdgR	NsrR	RbkR	NrtR	ArgR	MntR	ThiR	Zur	IscR	BirA	Phr	ModE	AraR	NadQ	XylR	SiaR	GulR	PhnF	AgaR	Irr	HutC	PhrR	Rex	NnrR	LiuR	NtrC	GntR	NifA	CueR	FadP	MerR	AcnR	FruR	HrcA	CsoR	FabR	PurR	PaaR	FixJ	NmlR	PdxR	RbsR	SdaR	MetJ	NorR	PhsR	PrpR	QorR	GlcC	PhnR	FadR	BioQ	ZntR	LiuQ	LexA	SoxR	NikR	PdhR	HypR	NagQ	HexR	HisR	PsrA	CcpA	TyrR	LldR	NrdR	CadR-PbrR	TrpR	NarP	NiaR	GguR	DasR	FnrN_FixK	HcpR	AmtR	RutR	TtrR	VanR	ExuR_UxuR	NagR	CblR	LtbR
CzrA	1.0	0.699093504906545	0.7859674060773825	0.7775682988565942	0.7499120936670033	0.7304305539969327	0.8714298183269118	0.7547650220077557	0.7586752952031821	0.7963715258294991	0.7613735832117607	0.7547700096011172	0.7747153954538086	0.6445441963116747	0.7315078741630194	0.7865010785670644	0.69795633362012	0.6740458110450255	0.5600793027344481	0.6369081908751979	0.4909861718974052	0.5330016583747927	0.62903776855073	0.6029975436102695	0.5716405441464357	0.43788326537737376	0.40686043466876143	0.49312086185613285	-0.7583361388545992	-0.6481402511253258	-0.6672177957331139	-0.558164066883627	-0.6278058329904362	-0.6592226835746081	-0.6353321113729598	-0.6500554869761468	-0.5287821543909526	-0.41345902068604345	-0.4277684260402249	-0.4378134390703126	-0.37242110250751254	-0.5487873913639821	-0.44671629322061374	-0.48196361550642774	-0.48703599795508673	-0.5075599446377137	-0.6043641441913241	-0.07689622065113032	-0.2641653885958678	-0.09326550206361675	-0.30868464694073494	-0.30419082532201147	-0.1842840933178718	-0.2832179952368483	-0.3361413483958653	-0.38636142595294204	-0.46970411102382825	-0.31235052806144714	-0.21125699821693536	-0.22322722228456715	-0.10084165637975535	0.10584421252135313	0.0093642065362411	0.107116048828539	0.09710096135862044	0.15423883090811605	0.029558972057008193	-0.01300016209678425	0.2356762553149042	0.12011371712864251	0.24146685120762104	0.2633823364381102	0.11304130974201673	0.23574608162196536	0.20405491340291027	0.21981072083193057	0.3283906283120737	-0.20325191087170663	-0.06149951994413896	-0.21283806531253507	-0.0651703886582127	-0.0490055985735483	-0.06394344069128044	0.12193917629895634	0.10953503160887293	0.13610394144565394	0.027633761019464083	-0.015030112594920136
MetR	0.699093504906545	1.0	0.8940934425616279	0.87056696467537	0.8468758962081822	0.8324517762066859	0.7826506564919762	0.7577924911781942	0.7977730395640843	0.7999675806431502	0.7940572825097569	0.8395541091534807	0.8289006097332885	0.6746742478085762	0.637122657389743	0.7150388408833028	0.607900347884637	0.640893277971047	0.5904138455591715	0.7163954662776344	0.588513572488435	0.6104091073454782	0.6697115924138705	0.6850334792204391	0.6304841706255689	0.34763276350079175	0.45240214965273884	0.4025960423446676	-0.742784822753401	-0.7606204566141722	-0.7460666591852766	-0.7446551702639683	-0.6882504769386152	-0.5774860035661292	-0.5982443671367473	-0.5910771954762528	-0.514657289991147	-0.5277696729385654	-0.528203593561017	-0.3939675058292497	-0.5340191274205414	-0.46137981770346265	-0.3692290427561441	-0.392561004501303	-0.4083118243369618	-0.49591391413858027	-0.4940186286612053	-0.10139527924288333	-0.3012182196785496	-0.33513385453683964	-0.36529881918727164	-0.5094602177084502	-0.2510829312086186	-0.2990735545330989	-0.2982007256948341	-0.42384319006471405	-0.3107046222521478	-0.24210526315789474	0.016690981184304045	-0.3476477262808763	-0.14960036908190874	0.017234628860708985	-0.046132744797316674	-0.10092145787353957	-0.028701105998827917	-0.01347897105948952	-0.09122557637875783	0.04392822853152782	0.3654584221748401	0.09224304542450654	0.05331487923789573	0.10363969625556428	0.10163967131759748	0.10856743849673936	0.14221374331350764	0.09485155675257796	0.3380416214666018	-0.1293457524408035	-0.028456713924113766	-0.054676492225588846	-0.01941420715969027	-0.034007905335478	-0.028651230065212783	-0.02730457985760421	0.11915111160987045	0.16805446451950773	0.11665731492911383	0.07687627027768426
SahR_SamR	0.7859674060773825	0.8940934425616279	1.0	0.8836992979962344	0.8695844087831519	0.8207109814336837	0.8580082045910797	0.8029850746268656	0.8108155962044414	0.8298731904387835	0.8188256711430317	0.8511353009389144	0.823494058529408	0.7088392623349419	0.6919662339929425	0.7582214242072843	0.6479357597975037	0.7134029102607264	0.5889973690445018	0.7173231586428759	0.5453509395378995	0.6379256599209466	0.7176623149914587	0.7470442274841332	0.6289928802104764	0.3540567837504208	0.4551104128480405	0.5040337161311238	-0.7992094664522001	-0.7690694397685757	-0.7568248980660607	-0.7015573760271325	-0.7152632825845708	-0.5840247384630731	-0.6326936744847192	-0.6716866793850297	-0.5480542151398397	-0.49564957169042007	-0.5218743375852567	-0.44152420853127844	-0.5547076646840983	-0.5299642140176312	-0.4592800408982656	-0.4497337872043292	-0.5156697714435342	-0.4613498921432936	-0.5002182072095662	-0.1373259018192247	-0.2680956121647402	-0.28289878926171147	-0.3454781231686181	-0.4553647801094777	-0.2326687365179117	-0.23184079601990049	-0.2913727103829225	-0.3668798862828714	-0.39238145114028855	-0.31449519320689784	-0.0696592226835746	-0.3615531365727752	-0.09637277272783949	-0.030466714048803602	-0.0703375353807404	-0.049449494382722975	-0.055629122557637876	0.027359443384580854	-0.11850771206623524	0.055314904175862545	0.32961258868564447	0.13828850733799675	0.07061185301562363	0.16094215638598985	0.09328545243706281	0.16712677215426627	0.16708687140737416	0.1962243918253345	0.30869462212745796	-0.08440753625356924	0.01035175002182072	-0.09581416227135002	-0.0508909088642003	-0.03163879848875921	-0.014900435167520792	0.03516003940198756	0.17227895609670943	0.14099178293993692	0.11973964762652901	0.03276100699509969
NagC	0.7775682988565942	0.87056696467537	0.8836992979962344	1.0	0.898273045798576	0.9068167932268482	0.8667315053803664	0.8256237608947743	0.8917243357149092	0.880517213431589	0.883529719821943	0.8839835908178406	0.8594795446327261	0.7323807030012843	0.7822466614296937	0.830042768613075	0.6502300527437997	0.646364667888627	0.6517063803788077	0.7414381725457924	0.5015848077906209	0.6031371962243919	0.6891033554034339	0.7186099577301462	0.6854923378096984	0.38462574346313544	0.5276250327310814	0.5453509395378995	-0.7513535081484807	-0.7141610244516765	-0.7621715981496029	-0.7302510006359182	-0.7422212247035499	-0.5754859786281624	-0.6360303744435716	-0.6777316425391838	-0.5424930485417524	-0.5561839923191062	-0.5272010872953528	-0.46771904886594595	-0.4835945585356426	-0.4333295926383122	-0.47605830496639606	-0.5071409867953466	-0.4649509345503061	-0.4998740632676218	-0.5066522026459183	-0.11875210414094939	-0.3076572027082632	-0.27507824287085875	-0.342066609309343	-0.4490355241337174	-0.29761218967817554	-0.3078567064427237	-0.3180663100537413	-0.5042830957991995	-0.4301524956670283	-0.3196773027095101	-0.009189640768588136	-0.28747739996758065	-0.05008790633299667	0.025279616952829837	0.055858551852267485	0.00965847454457038	0.02967867429768451	0.08521053878477287	0.058312447786131996	0.13170488410079925	0.402725719772067	0.15566528260950885	0.11809374181722965	0.1374156784997319	0.046028005336724895	0.2519358096734373	0.1198892754273744	0.18537138867068167	0.2702851656504445	-0.21106248207583636	-0.13185451190164466	-0.16573024601304256	-0.15484232970485917	-0.09392885198069802	-0.040910734547812314	-0.02639185027244729	0.07809324305789349	0.12481701766854948	0.08124041446900834	-0.001768101846656442
FUR	0.7499120936670033	0.8468758962081822	0.8695844087831519	0.898273045798576	1.0	0.9067719048865946	0.8317385503559894	0.8346163917255827	0.8739734909412835	0.8859337398221923	0.8673000910235789	0.8799436401950149	0.8544869636778514	0.7323009015075	0.7102657140363346	0.7692140799760595	0.6023092557263806	0.6237060312472724	0.6517412935323383	0.739268569433534	0.5108567438496739	0.6158605468896121	0.6183044676367536	0.7075275252808638	0.6419306973902418	0.33206149702614746	0.5067120537662564	0.5459943390815347	-0.7634534096435117	-0.6874674247808576	-0.7427149964463398	-0.7151735059040636	-0.7583810271948528	-0.5516153567999601	-0.6673973490941284	-0.6871033304654671	-0.5547126522774598	-0.5769922318233395	-0.5060187782890061	-0.4359730171199142	-0.5292559757602963	-0.470362473347548	-0.44642701280564595	-0.5011309367947231	-0.44905547450716343	-0.4231549021808252	-0.477145600319206	-0.1017992743051659	-0.2567338744872131	-0.16361051883439942	-0.39570817591241786	-0.4400778064564396	-0.25095325378121924	-0.2911183431214853	-0.31747278644372123	-0.40375815159790024	-0.43296549832292175	-0.2786842728712328	0.04518510205862916	-0.2436464295066023	-0.03823738450604122	-0.007379144378358833	0.005548697614683475	0.07897105948951982	-0.002291799149615332	0.08336014164765147	0.0051895908926545215	0.1521041409493884	0.4010050000623449	0.17157570543273606	0.157231386925024	0.15902193294180725	0.005104801805508797	0.14916146086609558	0.14165513285701817	0.1314954051796157	0.23525230987917556	-0.17860322447910823	-0.11203381588299106	-0.09355478247858452	-0.06270152994426365	-0.08155463285078368	-0.06565418521427947	0.050312348034264764	0.06652202645918279	0.10357485754186462	0.08941009239516702	0.04004289330290901
KdgR	0.7304305539969327	0.8324517762066859	0.8207109814336837	0.9068167932268482	0.9067719048865946	1.0	0.80517462811257	0.8072145537974289	0.8558386014788214	0.8590306612301899	0.8374094440080301	0.8655594209404107	0.8393496178256586	0.670075686729261	0.7150338532899413	0.7292634571503386	0.622593797927655	0.6116360553124104	0.6276711679696755	0.759967081883814	0.5222184815272011	0.5795408920310727	0.6161398521178568	0.6939612713375478	0.6785246698836643	0.30865970897392736	0.5162084315265777	0.4899288021047644	-0.695701941420716	-0.6818364318757092	-0.7389842766119278	-0.723408022543922	-0.6917218419182284	-0.5497898976296463	-0.626384368882405	-0.6502350403371613	-0.5368969687901345	-0.5487225526502825	-0.5357847354705171	-0.46620780807740747	-0.5038741131435555	-0.3920522699784287	-0.4774947318545119	-0.4803177096971284	-0.422521477823913	-0.4484669384905049	-0.43699048616566294	-0.14188456215164777	-0.31242035436850835	-0.21438421925460419	-0.3694584720507737	-0.5166024514021372	-0.2704946445716281	-0.31038541627701094	-0.34151298644621503	-0.4754198930161224	-0.42771356251324827	-0.26609059963341186	0.09160962106759436	-0.2536116410429058	-0.07080636915672266	-0.016621154877242857	0.07741493036072769	0.013179715457798726	0.03292559757602963	0.08116560056858564	0.008466439731168719	0.1471265227745982	0.40907991371463487	0.17533635082731705	0.1715058791256749	0.1326924275863789	-0.04115512662252647	0.10589408845496827	0.08730034040324693	0.0696542350902131	0.28335764785097073	-0.15252808638511703	-0.044531727328270924	-0.06593349044252422	-0.1201486302821731	-0.04500056110425317	0.006695844087831519	0.017249591640793527	0.06738986770408609	0.09610344268631778	-0.001937680020947892	0.03342934450554246
NsrR	0.8714298183269118	0.7826506564919762	0.8580082045910797	0.8667315053803664	0.8317385503559894	0.80517462811257	1.0	0.845514283220489	0.8583922492799162	0.8676242845920772	0.818371800147134	0.8163717752091671	0.8283769124303295	0.748480654372249	0.7722914250801132	0.8497238120176062	0.6720507737004202	0.6771181685557176	0.6278257833638824	0.687452462000773	0.48931034052793676	0.5676554570505866	0.6542500529931795	0.625995336600207	0.6096659559346127	0.39854112894175736	0.4767465928502849	0.5415603685831494	-0.7995785483609521	-0.713961520717216	-0.7130737290988666	-0.6482150650257484	-0.7136473023354406	-0.6590331550268707	-0.6754722627464183	-0.6547937006695844	-0.5864287584633224	-0.5021234678736642	-0.4155089215576254	-0.41676080749136524	-0.41725457923415504	-0.4681130687415055	-0.44385840222446665	-0.5433160014464021	-0.5182832703649671	-0.4972356263793813	-0.5640893277971047	-0.11966982131946782	-0.26408059950872204	-0.14112644796069776	-0.3416725894337835	-0.38315440342148904	-0.20422947917056322	-0.3103205775633113	-0.3391887679397499	-0.4638586516041347	-0.48174416139852116	-0.3231137545355927	-0.13159016945348445	-0.1983790321575082	-0.07000835421888053	0.02539433160014464	-0.027130014089951245	0.0808813077469794	0.1248569184154416	0.12872729086397586	0.044741206249454483	0.04155413409144752	0.32007132258506965	0.2012867990872704	0.2071222833202409	0.22655893465005797	0.08540505492587189	0.2500904001296774	0.22217484008528784	0.2730383171859998	0.2810833052781207	-0.20239903240688786	-0.10030798389007345	-0.20563598049850995	-0.11460741405753189	-0.0668312572475966	-0.03850671454756294	0.07983391314106161	0.1711018840633923	0.17778027157445853	0.07670170451003129	-0.01277073280215464
RbkR	0.7547650220077557	0.7577924911781942	0.8029850746268656	0.8256237608947743	0.8346163917255827	0.8072145537974289	0.845514283220489	1.0	0.8342473098168306	0.8481976084489832	0.7985311537550344	0.8062419730919338	0.7880372573224105	0.655586728014065	0.7049888402598536	0.778052095412661	0.6374568261449644	0.6187982393795434	0.6106385366401077	0.6726193593436327	0.4500280552126585	0.5767179141884562	0.5759448372174216	0.6153119116198457	0.6156610431551516	0.2817267048217559	0.47476651828576416	0.4972755271262734	-0.7182807765682864	-0.6224142445666405	-0.6566291350266212	-0.6938016683499795	-0.7239466826269654	-0.6182047157695233	-0.6527737253581716	-0.6225489095874014	-0.5345228743500542	-0.5612314368009577	-0.4466714048803601	-0.3315178493497425	-0.43360391027319545	-0.44159403483833964	-0.43134951807379146	-0.539310963977107	-0.48121547650220076	-0.4376937368296363	-0.4688312821855634	-0.13276724148680158	-0.2594321624957917	-0.12212371725333233	-0.2686941233681218	-0.3794336587738002	-0.21519719697253084	-0.32895422636192473	-0.3154528111323084	-0.4845471888676916	-0.44706542475591965	-0.280639409468946	-0.030825820770832554	-0.23696305440217458	-0.08463696554819886	0.056601703263132956	-0.011673462262621729	0.07122532699908976	0.11050761231436801	0.1429868202845422	0.0024713525106298084	0.0834848314816893	0.33044052918365563	0.22330702377835135	0.23097295477499719	0.2515118642377087	0.0652501901519969	0.1935510417835634	0.2010573697926408	0.20872828838264817	0.23758650357236374	-0.15509170937293482	-0.106173393683213	-0.1588174416139852	-0.10160475816406689	-0.09066696592226836	-0.02456140350877193	0.02695046072893677	0.10232297160812479	0.1321388047232509	0.10027307073654285	-0.00871581939924438
NrtR	0.7586752952031821	0.7977730395640843	0.8108155962044414	0.8917243357149092	0.8739734909412835	0.8558386014788214	0.8583922492799162	0.8342473098168306	1.0	0.9102582326462924	0.9043728724797068	0.8430753500667091	0.8511203381588299	0.7110786917542613	0.786895098442624	0.8384319006471402	0.7096123393059763	0.587386376388733	0.6368383645681368	0.7022157383508523	0.4669659222683575	0.5860995773014626	0.620339405728251	0.5829573934837092	0.5906382872604397	0.3910747016795721	0.5923240938166311	0.5931919350615344	-0.697422661130438	-0.6180251624085088	-0.6732078953602912	-0.6904749435778501	-0.7062906021272086	-0.589097120911732	-0.7576079502238182	-0.6816768288881407	-0.5654758787516054	-0.5806231997905211	-0.4558336138854599	-0.35799199491265477	-0.3685956183992319	-0.3449644010523822	-0.4236087731767229	-0.5228369431040287	-0.47266175388720555	-0.42042170101871595	-0.5248070424818264	-0.11533560268831282	-0.32086933752291175	-0.20339655107919052	-0.30226062669110587	-0.4229354480729186	-0.1996957568049477	-0.3650743774860036	-0.31050511851768725	-0.5757702714497687	-0.5362236436863302	-0.32238556590481177	-0.019264579358844874	-0.10431800895273008	-0.046122769610593646	0.10988915073754037	0.05446202571104378	0.09390391401389045	0.12773475978503473	0.24247933266000823	0.169106846718787	0.22409506352947045	0.3764610531303383	0.20915722141173831	0.23186074639334656	0.20834923128717317	0.06705071135550318	0.2708088629534034	0.2325490342772354	0.1578648112819362	0.17164553173979724	-0.319258344867143	-0.1569969700370329	-0.19062831207371664	-0.11797902716991483	-0.15415902941433185	-0.05984363894811656	-0.03763887330265964	0.05461165351188917	0.12267734011646031	0.039908228282148156	-0.07771917355578
ArgR	0.7963715258294991	0.7999675806431502	0.8298731904387835	0.880517213431589	0.8859337398221923	0.8590306612301899	0.8676242845920772	0.8481976084489832	0.9102582326462924	1.0	0.896183244180102	0.8811456501951396	0.85978877542114	0.7403309268195364	0.7574084464893577	0.8049651491913864	0.6897218169802616	0.5736206187109565	0.6333270988416314	0.6980860110475193	0.5049763712764498	0.5848526789610843	0.5859549370939787	0.5990723076347585	0.5716255813663512	0.41518971558248857	0.5688225538971807	0.6079252858514446	-0.7019763338694996	-0.6315116148580406	-0.7087794112146036	-0.6903751917106198	-0.7237621416725895	-0.6027830770957244	-0.7322909263207771	-0.6451476951084179	-0.5710320577563311	-0.5748625294579733	-0.48889138268556964	-0.383523485330241	-0.4256586740483048	-0.3745408296861557	-0.45561914737091486	-0.49133530343271115	-0.46846718787017294	-0.4379381289043504	-0.4774199179540892	-0.07812316861806257	-0.2549034277235377	-0.21208493871494657	-0.2719061334929363	-0.43160388533522864	-0.24449432037805957	-0.3457125400566092	-0.35458546864674123	-0.49971446028005334	-0.45854686467412314	-0.3267696604695819	-0.023863140438160076	-0.1417050087906333	-0.04210276936121398	0.0908315565031983	0.03352909637277273	0.1349617825658674	0.08611329318320678	0.22552151523086322	0.09425803314255789	0.14113642314742078	0.3768101846656442	0.16942605269392386	0.24458409705856682	0.29049489395129613	0.027100088529782167	0.25408546241224955	0.14798438883277845	0.11904138455591716	0.17917181012232072	-0.2712627339493011	-0.15904687090861483	-0.2155962044414519	-0.0942231199890273	-0.1167969675432362	-0.053609147246225015	0.017099963839948128	0.03737453085449943	0.12068230277185502	-0.028855721393034824	-0.05781867604334218
