	NiaR	PsrA	CcpA	HisR	HexR	TrpR	TyrR	KdgR	MetR	IscR	NsrR	Phr	RbkR	SahR_SamR	Zur	MntR	ArgR	NrtR	FUR	NagC	ThiR	BirA	CzrA	PhrR	AgaR	GulR	XylR	Rex	NadQ	AraR	ModE	SiaR	Irr	HutC	PhnF	LiuR	RbsR	BioQ	FadR	GntR	NtrC	CueR	FruR	NnrR	AcnR	FadP	FixJ	NmlR	PaaR	DasR	MerR	NifA	PdxR	FnrN_FixK	LtbR	GlcC	CsoR	ZntR	FabR	HrcA	MetJ	PurR	NikR	QorR	TtrR	HcpR	PhnR	AmtR	CadR-PbrR	NorR	VanR	PhsR	RutR	GguR	NagQ	NarP	NrdR	LldR	NagR	PrpR	CblR	HypR	LiuQ	SoxR	PdhR	SdaR	ExuR_UxuR	LexA
NiaR	1.0	0.1679888719882839	0.15993689603112224	0.21476270985179616	-0.021119473455055385	0.23775381535869178	0.1047378866955799	0.29503367241350065	0.24215299885214106	0.39812610615716054	0.46432872870382413	0.391838327179377	0.3778491498493082	0.4662286331431544	0.3888640720154254	0.34138907894216036	0.35753826667646776	0.3838428959971954	0.3863308660963184	0.4295650010460783	0.41572284013095767	0.46551616897840553	0.43986745904744673	0.29911620516706156	0.4150103759662088	0.21701319189600285	0.2718955504916568	0.35768528309141595	0.2303803767012909	0.4495931603440184	0.32085201666939966	0.11720035510118687	0.23264216770049365	0.35411165331267563	0.25801946271154813	-0.38733736309096356	-0.37285059174107016	-0.35803586069629234	-0.16828290481818028	-0.2839735144273993	-0.23254038710552952	-0.31320716309209445	-0.39265257193909	-0.33662800888883865	-0.3144059123216719	-0.2660488207587178	-0.3613946203301084	-0.17048815104240292	-0.07751723202017517	-0.2942533545187757	-0.4483378663394609	-0.2639679730394513	-0.16109040944071562	-0.16067197810586312	-0.14668280077579432	-0.19344532968431052	-0.11169289401812825	-0.17634618973033797	-0.06660409044902206	-0.08112478866390352	-0.21566742625147722	-0.2632102730547184	-0.04224460138760878	-0.036103838824773395	0.10866209407919661	-0.253744677723055	-0.11035843732859865	-0.14470373365149194	0.06415004721488711	-0.21661737847114237	-0.023109849534353778	-0.09649365850348599	-0.17934306280428158	0.004970285720747974	0.10654731949494207	0.1727160151766176	0.004687561845847635	-0.0667284889539782	0.02752034198279908	0.25337148220818656	0.09415270481931118	0.18308632690796206	-0.258765853741285	-0.0011252410221033525	-0.13729636812910304	0.24472013163623615	0.2522632046185772	0.0863495258720618
PsrA	0.1679888719882839	1.0	0.40917495518826585	0.5089312472081018	0.2934278008040667	0.26188712532018477	0.31005196464820667	0.4925898072388621	0.44856404543938116	0.3811966005281282	0.4232093683383187	0.5061944800990664	0.44462852910076844	0.464215639153864	0.5186117126846894	0.5884784366500614	0.49422960571328406	0.5172772559951597	0.5303164811055634	0.5189170544695817	0.5112495829822845	0.5861374829658865	0.38583327207649376	0.39139727793453244	0.29754426042261567	0.3392064506279297	0.46326568693419884	0.499160310091546	0.31391962725684336	0.297035357447795	0.3437752684463192	0.16833944959316036	0.09746622863314315	0.1330442010506019	0.16063805124087507	-0.19114961182011977	-0.32116866740928807	-0.38567494670654956	-0.18482790597734816	-0.331968719430481	-0.2561082493172218	-0.36854187988758896	-0.4799124686883309	-0.408519035798497	-0.46234966157952173	-0.48298850444724656	-0.3133089436870586	-0.2691587833826215	-0.39339896296882687	-0.36425578594409985	-0.5285975199461693	-0.5136357724864434	-0.14687505301072654	-0.2765548399500144	-0.28175695924818067	-0.3697745559821545	-0.22076776495467937	-0.29985128724180243	0.034735455270255754	-0.10336950314106225	-0.21509066954668055	-0.09312358991467394	0.11421479098223929	-0.05452612651327954	-0.1467506545057704	-0.25010319421433863	-0.23480217810473222	-0.050047780334858155	-0.24371363464159093	-0.14327880532199422	-0.24274106451193378	-0.15078795143934726	-0.14636615003590595	-0.18354999406279862	0.06045201893119066	0.1900300252755144	0.21434427851694365	0.02343780922923817	-0.13466138161503186	0.037426986559306985	0.2555880373874052	0.30106134542637586	0.07922488422457323	0.15239382304878119	0.06568806509434495	0.047933005750603615	0.1288598877020769	0.07301626793176176
CcpA	0.15993689603112224	0.40917495518826585	1.0	0.4846056850116765	0.27242707137646943	0.13141571153117595	0.28282000101780597	0.5138054068113836	0.45786000644610436	0.38463452284691635	0.36599736501348595	0.3753724887051812	0.5139298053163397	0.4154627341660494	0.45860639747584125	0.5071670502287237	0.4840854730818599	0.4896607878948946	0.5483768822341971	0.48341824473709505	0.48380274920695954	0.4745633329752164	0.32243527036884156	0.30196606182605695	0.26332336260467853	0.25545232992745304	0.42093626838411996	0.5401439629970992	0.3558079965620777	0.23855675116340874	0.33339364775997876	0.08003912898428621	0.17514744050076053	0.04003935516338613	0.17649320614528616	-0.12923308321694535	-0.2581664791264963	-0.34946367280931406	-0.28633708602156616	-0.3604220502004512	-0.2779458414145241	-0.3604785949754313	-0.47452940611022837	-0.4030681194904185	-0.43830682325799686	-0.5377917003579284	-0.22283730371894986	-0.31669032123086666	-0.33715952977365127	-0.4139812610615716	-0.5304069527455315	-0.4163674505657305	-0.1385064263136765	-0.15151172455909212	-0.11853481179071648	-0.2436910167315989	-0.24352138240665872	-0.2706289475321033	-0.1774657762749433	-0.18857117008102867	-0.059162798061645115	-0.02688704050302232	0.07591136041074124	0.10584616428518923	-0.12206320574947271	-0.0514161638893758	-0.08751434823665119	0.002369226071664848	-0.2350283572046525	-0.14714646793063088	-0.24332913017172647	-0.18343690451283848	-0.1435276023319065	-0.09830309130284816	0.15620494088243775	0.2640584446794194	0.08545611842737671	-0.05501241157810813	0.012287179603168769	-0.043126699877297836	0.17916211952434535	0.13321383537554213	0.18433031195752356	0.313636903381943	0.04270826854244533	0.13924150838841737	0.16548959293416493	0.16176894674047645
HisR	0.21476270985179616	0.5089312472081018	0.4846056850116765	1.0	0.2692266371125976	0.229611367761562	0.2415083884173683	0.46841126145738504	0.4119004133423051	0.29987390515179446	0.3787764841589813	0.3916686928544368	0.35148797575360047	0.37306546188599443	0.4412584605119564	0.4830111223572386	0.4210267400240881	0.44162034707182884	0.4440856992609598	0.4524203990930218	0.42392183250306753	0.40642687912423453	0.3395231013678181	0.3902437645249391	0.26633154463361813	0.19519821770869264	0.3617791247999729	0.34164918490706864	0.24688014204047476	0.20555722048504108	0.41557582371600954	0.0400167372533941	0.12990031156171014	0.04803478634556774	0.07523282311098042	-0.1816840164884564	-0.14784762314038372	-0.39022114661494706	-0.25130194344391604	-0.3276826254869919	-0.19213349090477294	-0.22680674692255062	-0.4330594681398465	-0.33447930743959603	-0.3624689710547297	-0.4458498962403379	-0.3691299455473817	-0.26105026265047976	-0.24245834063703345	-0.3424295028017936	-0.40734290447891164	-0.43156668608037274	-0.20709523836449892	-0.19222396254474106	-0.17936568071427358	-0.30106134542637586	-0.14676196346076642	-0.11442966112716355	-0.037981125354111654	-0.24446002567132785	-0.14189911281248055	-0.08706199003681064	0.09806560324793187	-0.04326240733725	-0.07181751870218432	-0.1548139394179281	-0.08538826469740064	-0.07485962759611198	-0.035244358245076365	-0.19295904461948193	-0.31818310329034044	-0.1312686951162278	-0.1475875171754754	0.09683292715336639	0.05429994741335927	0.11404515665729908	0.10137912706176386	-0.034452731395355415	-0.04275350436242939	0.07188537243216041	0.0776190126151393	0.14006706210312636	0.0297821329820018	0.1827018224380976	0.07179490079219229	0.01767024218127124	0.08359014085303447	-0.029103595682240982
HexR	-0.021119473455055385	0.2934278008040667	0.27242707137646943	0.2692266371125976	1.0	0.4386008560878932	0.28491215769206846	0.3757796110850377	0.376865270764655	0.40780657163374817	0.4389966695127537	0.4921826848590056	0.4075351567138439	0.3586465442660771	0.47430322701030814	0.4591718452256419	0.44627963653018643	0.4561636631967023	0.39570598978801363	0.39082052122973576	0.3953101763631532	0.3395117924128221	0.43972044263249854	0.3808573318782478	0.3037528767154271	0.27607986384018185	0.2167191590661065	0.4704016375366834	0.38025795726345907	0.3734047305358748	0.4021068583157573	0.2682879938479285	0.3225257420088097	0.3996641240366184	0.2643072416893317	-0.21420857105699148	-0.3977416016872961	-0.503322005530079	-0.45211505730812945	-0.33225144330538137	-0.4374247247683078	-0.46509773764355306	-0.40553347167954945	-0.4094916059281542	-0.36326059790445064	-0.4514704468733567	-0.2193993814001617	-0.29661692611294255	-0.3595286427557661	-0.4279138936166604	-0.3798508348836026	-0.35471102792746434	-0.29222905157448925	-0.2900690411702507	-0.327807023991948	-0.20996771293348637	-0.3122685198274254	-0.20163301310142437	-0.11960916251533776	-0.28030941300869094	-0.19964263702212598	-0.21899225902030522	0.09610915403362152	-0.2801171607737587	-0.21368835912717485	-0.20768330402429164	-0.2547398657627042	-0.03213439562117262	-0.06867362921329255	-0.00930161548422118	-0.18525764626719668	-0.007921922974707523	-0.20190442802132869	0.22244149029408938	0.282028374168085	0.24481060327620427	0.3048272274400484	0.3680555948227604	0.17440104947102364	-0.03205523293620053	-0.13950161435332567	0.08841906463633228	0.04757111919073118	0.06666063522400213	0.2578385194316119	0.0048911230357758795	-0.036952010449474416	0.011054503508603288
TrpR	0.23775381535869178	0.26188712532018477	0.13141571153117595	0.229611367761562	0.4386008560878932	1.0	0.362729077019638	0.2077398487992717	0.2583926582264166	0.3204675121995352	0.4655048600234095	0.3848154661268525	0.27684887277991077	0.36340761431939883	0.3084008572187887	0.3591328293309057	0.4002634986514071	0.3809591124732119	0.2817682682031767	0.3387088566081051	0.3365940820238506	0.3907752854097517	0.4033056075453348	0.36102142481523997	0.17405047186614722	0.2356842765944213	0.15112722008922766	0.4106225014277556	0.3025880543508377	0.3847928482168605	0.4081571492386246	0.2090516875788093	0.12018591922013447	0.5736297787402955	0.1324448264358132	-0.18698791638158677	-0.40951422383814623	-0.2892661053655337	-0.28779594121605195	-0.19164720583994435	-0.23356950201016674	-0.2298827826814663	-0.31570644214621346	-0.24823721663999637	-0.48479793724660875	-0.32315904348858643	-0.2702444430622388	-0.23973288248299415	-0.24609982414574982	-0.37573437526505366	-0.34539244901074917	-0.3770349050895952	-0.28362293682252293	-0.3491583310244217	-0.09410746899932712	-0.1727951778615897	-0.12893905038704898	-0.18248695229317335	-0.005038139450724056	-0.005886311075425075	-0.1599029691661342	-0.31450769291663605	0.049640657955001666	-0.10496406579550016	-0.060293693561246475	-0.3814906333580246	-0.1767872389751825	0.03775494625419138	0.062453703965485066	-0.044020107321982915	-0.247931874855104	0.11986926848024608	-0.0621483621805927	0.13572442338465715	0.3193818525199179	0.20144076086649212	0.10678480754985835	0.1542371827131314	0.019909415270481932	0.08247055430842913	-0.09306704513969387	-0.03508603287513217	-0.2409316317125716	-0.1009946225918994	-0.016494110861685826	0.18223815528326104	-0.000503248497322605	-0.004178658871027023
TyrR	0.1047378866955799	0.31005196464820667	0.28282000101780597	0.2415083884173683	0.28491215769206846	0.362729077019638	1.0	0.29706928431278307	0.29796269175746815	0.23168090652583248	0.352743269758158	0.3203544226495751	0.32107819576931995	0.3134785780119988	0.29314507692916636	0.32597497328259384	0.3493279653493619	0.34198845355694907	0.25230844043856127	0.2740103250759114	0.2740442519408994	0.3442050087361677	0.2856020039468253	0.28390566069742323	0.11159111342316413	0.23316237963031025	0.21515852327665663	0.3075979214140717	0.21955770677010591	0.2644881849692679	0.32607675387755797	0.20675596971461851	0.050601919129662824	0.1643247705695755	0.016075679526833322	-0.07905524989963303	-0.2556445821623853	-0.16087553929579138	-0.25019366585430675	-0.15520975284278857	-0.1557299647726052	-0.3149826690264686	-0.34996126682913864	-0.19263108492459755	-0.4307863681856478	-0.2842675472572957	-0.26118597011043193	-0.2591390492561535	-0.27856783393930484	-0.27327524300117045	-0.31918960028498566	-0.35828465770620466	-0.15853458561161657	0.014040067627550876	-0.024082419664010948	-0.2925909381343617	-0.14796071269034386	-0.28266167564786177	0.14822081865525216	-0.13964863076827386	-0.05013825197482626	-0.029227994187197133	0.05744383690225105	-0.11756224166105932	-0.04763897292070726	-0.08748042137166315	-0.18637723281180202	0.016550655636665895	-0.13878915018857682	-0.006067254355361293	-0.15506273642784038	0.02663824349311002	-0.028492912112456248	0.08130573194383973	0.21143787708296816	0.22144630225444017	-0.01203838259325647	0.08441569456774346	-0.128961668297041	-0.040503022318222684	-0.03174989115130816	0.1553228423927487	-0.06945394710801749	-0.12809087876234795	0.16418906310962336	0.3113185676077602	0.09503480330900023	0.14387817993678295
KdgR	0.29503367241350065	0.4925898072388621	0.5138054068113836	0.46841126145738504	0.3757796110850377	0.2077398487992717	0.29706928431278307	1.0	0.8728308010698271	0.7456842200496463	0.7631678644734833	0.7610643988442248	0.7908182594387365	0.8154717813300462	0.799548772695659	0.8685899429463221	0.856885174525448	0.8700148712758198	0.8979479901159734	0.8941594901923088	0.8691893175611107	0.7494953378833029	0.6297335044755189	0.52246806633833	0.649772972728455	0.6228915867029308	0.6019247841403215	0.517514744050076	0.5373280332030919	0.521608585758633	0.5350662422038891	0.46801544803252454	0.4250527280026689	0.29810970817241633	0.43541173077901735	-0.5734714533703513	-0.4679136674375604	-0.6362700804632148	-0.6880650943449571	-0.7728370209950749	-0.7456389842296622	-0.614896155520749	-0.7008668314004445	-0.7235978309424318	-0.6875561913701365	-0.7168237668998196	-0.49520217584294124	-0.4244533533878802	-0.46991535247185484	-0.40787442536372426	-0.6287948612108498	-0.5233501648280191	-0.3421128520619052	-0.3345245432595801	-0.4097177850280745	-0.37481834991037655	-0.33676371634879076	-0.3425086654867657	-0.38514342582173694	-0.5786622637135216	-0.33523700742432894	-0.29512414405346876	-0.14494122170640822	-0.2697807759074023	-0.012830009442977422	-0.06402564870993097	-0.20038902805186287	-0.1250374609134243	-0.22410390667850338	-0.3378493760284081	-0.15551509462768093	-0.2829443995227621	-0.1756902703405692	0.0962561704485697	0.07782257380506755	0.13708149798417876	0.29555388434331725	0.24080723320761546	0.10203504645153265	0.00420127678101905	0.21826848590056036	0.2119807069227768	0.19196385657983275	0.2596705701409661	0.17721697926503102	0.011427699023471736	0.10010121514721432	0.1581387721867561
MetR	0.24215299885214106	0.44856404543938116	0.45786000644610436	0.4119004133423051	0.376865270764655	0.2583926582264166	0.29796269175746815	0.8728308010698271	1.0	0.7779599776082691	0.7728030941300869	0.789517729614195	0.8288276571803382	0.8486522552883501	0.8364612018026474	0.8536508133965881	0.8450899344646058	0.8614087565238534	0.8665430220920436	0.8680697310165054	0.862788449033367	0.7218901787380337	0.634822534223725	0.4760448060796942	0.6251986135221175	0.6036663632097076	0.5904575037743637	0.47423537328033205	0.5384589287026932	0.5487726956590576	0.5295022363458505	0.49627652656756255	0.4837122775669914	0.3922906853792175	0.5279868363763847	-0.6218172359783094	-0.47658763591950287	-0.5487387687940696	-0.7281779577158173	-0.7555003929861861	-0.7339002889438001	-0.615653855505482	-0.7501964930930557	-0.7587008272500579	-0.7072903178381802	-0.7219580324680098	-0.4924540997789099	-0.3506850399488835	-0.40916364623326984	-0.4565255497565747	-0.5970619334920356	-0.5448824151404289	-0.37300891711101436	-0.38090256769823183	-0.3846797586669004	-0.4365878620986028	-0.2731960803161984	-0.2871400218262831	-0.39186094508936903	-0.5336752407393794	-0.3814453975380405	-0.3417848923670208	-0.12507138777841234	-0.20231155040118518	-0.059762172676433835	-0.04078574619312302	-0.20148599668647618	-0.019174333195741047	-0.0764654992055459	-0.34853633849964094	-0.16876918988300887	-0.27482456983562437	-0.20796602789919197	0.19671361767815845	0.097341830128187	0.12444939525363159	0.26792610728805605	0.1866712656416984	0.18575524028702128	-0.1370249532091987	0.2781267846944603	0.20444894289543175	0.19047107452035894	0.23563904077443723	0.07065269633759493	0.08530910201242854	0.003341796201322017	0.1297193682817739
IscR	0.39812610615716054	0.3811966005281282	0.38463452284691635	0.29987390515179446	0.40780657163374817	0.3204675121995352	0.23168090652583248	0.7456842200496463	0.7779599776082691	1.0	0.8253671169515581	0.794538905632425	0.7668772017121758	0.8005778876002962	0.8252540274015979	0.7955454026270703	0.8040723546940645	0.8191698096137426	0.843619770315124	0.7906825519787845	0.8042193711090126	0.7127073072812706	0.7153649117053339	0.49879842353167353	0.6013141005705368	0.6023997602501541	0.5787640443084857	0.5014560279557367	0.5983963901815653	0.5930020186484668	0.559945943195119	0.51421252919124	0.5184307694047532	0.5048147875895528	0.6236153598226756	-0.6718932887006576	-0.6486420772288537	-0.559957252150115	-0.6300162283504193	-0.6540477577169481	-0.7514517870976133	-0.7175814668845525	-0.6709772633459805	-0.780391402932412	-0.7189837773040583	-0.6791988736280824	-0.4618746854696892	-0.403520477690259	-0.41020407009290305	-0.46691847939791126	-0.556632419381287	-0.604774640799317	-0.34637632809540236	-0.3614172382401004	-0.31246077206235756	-0.3633171426794307	-0.3415926401320886	-0.3176402734505318	-0.43783184714816425	-0.45151568269334075	-0.39438284205348006	-0.41707991473047934	-0.18178579708342052	-0.17816693148469614	-0.05644864886260185	-0.1377713442389356	-0.1700584107525544	0.016708981006610085	0.04852107141039632	-0.22772277227722773	-0.09480862420907996	-0.2578272104766159	-0.1743784315610316	0.148933282820001	0.05625639662766962	0.21025043680838673	0.3550163697123567	0.28217539058303315	0.29531639628840095	0.013248440777829924	0.2381835556485403	0.24297855256685005	0.004766724530819729	0.16907453166790123	0.06114186518594749	0.061752548755732224	0.08766136465159936	0.07274485301185744
