	FabR	HypR	CadR-PbrR	TrpR	AraR	LiuR	PhrR	CueR	FruR	RbsR	NiaR	GntR	SdaR	HexR	RutR	HrcA	PaaR	NadQ	PdxR	Rex	LexA	SoxR	GlcC	LiuQ	MerR	NtrC	NagQ	PhnR	TyrR	QorR	FnrN_FixK	PhsR	AmtR	ZntR	HcpR	NagR	NikR	PsrA	LldR	NrdR	KdgR	NagC	SahR_SamR	FUR	NsrR	ModE	ThiR	Phr	BirA	Zur	MntR	ArgR	NrtR	HisR	RbkR	AgaR	XylR	CzrA	IscR	PhnF	HutC	MetR	CcpA	ExuR_UxuR	NifA	PurR	CsoR	GguR	CblR	LtbR	NnrR	FixJ	AcnR	MetJ	FadR	GulR	TtrR	PdhR	VanR	BioQ	SiaR	NarP	NmlR	NorR	FadP	Irr	DasR	PrpR
FabR	1.0	0.43925485355178995	0.09261711492662003	0.18798488759211462	0.12650282422474096	0.10083168119303233	0.2938315939101485	0.13626853202658387	0.22815496452574222	0.29618573797678277	0.2293569745258669	0.07204827990373945	0.2808688387635756	0.23908278158081772	0.24791082183069615	0.3348146485617028	0.4403122233444307	0.15253307397847854	0.31381688050973205	0.31318345615281984	0.34464519507724534	0.269706604820509	0.18927168667938504	0.19716205937729897	0.25654933353283704	0.24225987855210165	0.26643973116871783	0.3012431576453572	0.19589022307011308	0.1240688786643225	0.11090661978328907	0.1939699996259305	0.23859399743138943	0.22270352498160825	0.12609882916245838	0.2623349418321924	0.24421501514981483	0.07672664247683886	0.1939001733188693	0.12073716629883166	0.08491627077644359	0.18038379530916845	0.16983004775620644	0.16013915385478622	0.20578062070599384	0.3307996359056846	0.21693287946233744	0.2542999289267946	0.21984064639209966	0.23601042407012557	0.30357236374518387	0.2657963316250826	0.16745096572276463	0.18230401875335103	0.27591117096223144	0.22674846319779549	0.2804149677676779	0.22640431925585108	0.23195551066721531	0.16034364518260827	0.1072257758824923	0.13821868103093554	0.02149403359144129	0.03872616865546952	-0.14062270103118493	0.1480342647663936	-0.10408857965810048	-0.08792877716679759	0.1133305901569845	0.10736044090325315	0.0013890447511814362	-0.008471427324530231	-0.20502749410840534	-0.13709148493123355	0.10921083804037457	-0.05275128118804474	0.08483148168929787	0.14137084003541192	-0.08315565031982942	0.22885322759635407	0.0357785009788152	0.1310714597438871	-0.039828426788363944	-0.04863651666479632	-0.11399394007406576	0.11158493248045487	0.23898801730694896	0.05936482998541129
HypR	0.43925485355178995	1.0	0.18908714572500904	0.13586952455766282	0.24134714896694473	0.13946059177795234	0.24198556091721843	0.05455678998491253	-0.017159814960286287	-0.04562899786780384	0.19480791531066471	-0.07662190301624709	0.08832778463571865	-0.02203269367448472	0.08946495592214367	0.3147445728749735	0.2552525592588436	0.019863090562226463	0.27387623287073404	0.36499457599221935	0.28033017868053217	0.10917093729348246	0.17209940273569496	0.08218306961433434	0.20239404481352635	0.3892043541690046	0.23616005187097097	0.3644559159091759	0.20965099315452812	0.11175949824810784	0.13007892866494594	-0.025663661641666356	0.08539009214578736	-0.02949413334330852	-0.018386762927218542	0.005319268320053866	0.0009850496888988642	0.11136049077918678	0.04736468035761045	-0.07873165500816719	0.10936046584121996	0.05150438284766643	0.09159964588087133	0.07002830459232659	0.11759498248107832	0.27377648100350377	0.16507687128268433	0.2764199054851058	0.16229878178032145	0.19820446638985523	0.16531128817067545	0.21724211025075127	0.17167046970660482	0.03386326512799411	0.049658973303906534	0.12562999538647615	0.3608698362822479	0.31175700445142707	0.2299155849823564	0.0003216997718176037	0.0915148567937256	-0.08877168044489332	-0.08221798276786493	-0.09654235090213095	-0.15128617563810023	0.26479881295277996	0.07225775882492301	0.14153044302298035	0.09694634596441352	0.1712515118642377	0.07901096023641192	-0.07096098455092956	-0.26921283307771915	-0.015154802428957967	-0.12289679422436689	-0.02546914550056734	0.06667664185338969	0.019818202221972843	-0.018466564421002755	-0.07183381338919438	-0.027115051309866706	0.16586989862716492	0.07981895036097707	-0.008276911183431214	-0.28820060100500006	0.04510530056484495	0.04163892317859325	-0.019698499981296524
CadR-PbrR	0.09261711492662003	0.18908714572500904	1.0	0.18317684759161584	0.18988516066285116	0.19956109178418682	0.125764660407237	0.022975348819810722	0.05955934612651031	0.14597937630145014	0.1999600992531079	0.14838838389506104	0.34937842117732143	0.15713662265115524	0.10649259965834985	0.2249878427411813	0.11464232721106248	0.08240751131560244	0.2873527101335428	0.16765046945722514	0.18468808838015435	0.21320215962792555	0.002446414543822242	0.02038678786518535	0.009289392635818402	0.19369069439768577	0.23678848863452162	0.23989575929874438	0.11293158268806344	0.1224080100749386	0.14089701866606816	0.17774535842092795	0.05184852678961084	0.10057232633823364	0.05570892405142209	0.05932492923851918	0.11934562775096946	0.03463634209902867	0.025095075998453845	0.0838988017306949	0.05934487961196524	0.004860409730794648	0.04747939500492525	0.17097719422935448	0.11299642140176311	0.3507300589782915	0.2638810957742615	0.013872990935049066	0.11186922530206113	0.2028229778426165	0.13395428870684173	0.2260402249404606	0.21495280489781668	0.18392997418920434	0.07124527737253582	0.11243781094527364	0.2776668038254841	0.21008491377697977	0.23273856282497288	0.17169540767341238	0.07756455816157308	0.0026808314318133644	-0.04125986608311824	0.07749971944787341	-0.09511589920073817	0.18521178568311325	0.21422461626703576	0.13589446252447038	0.14490205613536328	0.20534171249018068	0.10751006870409856	0.08936021646155189	0.059369817578772806	-0.007224528984151922	0.21894287958702727	0.1751617850596641	0.016237110188406338	0.07741493036072769	0.20408982655644084	-0.05604309280664348	-0.017384256661554385	0.06533996683250415	0.015858053092931333	0.1302135936857068	-0.13415878003466378	-0.016232122595044828	-0.0988615818152346	0.15290215588723052
TrpR	0.18798488759211462	0.13586952455766282	0.18317684759161584	1.0	0.1275701692041048	0.2593224354418384	0.20434918141123953	0.12673724111273207	0.13306649708849239	0.3359268818813202	0.236549084153169	0.23133704909038766	0.1943041683811519	0.3229940522949164	0.19154602925223507	0.1538348358458335	0.22963129216075012	0.2557563061883565	0.4321525206049951	0.34445067893614634	0.25808551228818316	0.2233968004588586	0.1448322298283021	0.1815409169690395	0.1847828526540231	0.31162732702402773	0.37445105300564846	0.22383072108131025	0.21691292908889137	0.1685382610755745	0.04596316662302522	0.14954051796157058	0.15935111410366712	0.12224840708737017	0.13587949974438585	0.10115587476153069	-0.1040586540979314	0.17771044526739735	0.16869786406314294	0.16979513460267584	0.1893365253930847	0.18609957730146262	0.14999937655082982	0.08311574957293733	0.22544171373707902	0.28213069988403844	0.2027082631953017	0.18349106597339118	0.22353146547961944	0.22759635406925274	0.40550380927442986	0.2806044963154154	0.23291312859262583	0.3959675307672165	0.1900148380902505	0.1031558996994975	0.17357074277734136	0.17108193368994626	0.23039938153842318	0.028252222596291725	-0.052960760109228296	-0.028651230065212783	-0.1268170426065163	0.05785358919687278	-0.04564396064788838	0.24939712465242708	0.1312659758849861	0.007284380104490081	0.19501240663848676	0.20638411950273694	0.09727053953291188	-0.1316450329804611	-0.1354106659684036	-0.16275265277621914	-0.1209765707801843	-0.1408421551390915	0.031164977119415453	0.05890597139615207	0.010346762428459208	0.0013690943777353833	-0.007364181598274293	0.12360503248170177	-0.0999887779149366	0.08814823127470417	-0.22609508846743726	0.07832765994588461	0.04486589608349231	0.040586540979313954
AraR	0.12650282422474096	0.24134714896694473	0.18988516066285116	0.1275701692041048	1.0	0.251611616104939	0.3297522412997668	0.09680669335029116	0.032631329567700346	0.08693125849449494	0.2472574471003379	0.16750084165637977	0.13633835833364505	0.21947655207670919	0.21304255664035712	0.19244878365066895	0.12960510729560218	0.14050299879050862	0.296644596566042	0.2282996047332261	0.12609384156909687	0.1391014850559234	0.08421800770583174	0.11663736455566778	0.03482088305340465	0.13614384219254605	0.1766031995411414	0.07483634459282534	0.05417274529607601	0.059509470192895174	0.06869162957144104	-0.015892966246461925	0.048387136996720655	-0.03871120587538498	0.1869175426127508	0.16229878178032145	0.027434257285003552	0.03746430753500667	0.11081185550942031	0.15299692016109925	0.2860160351126573	0.24256412174715394	0.0034638835895709425	0.12462748912081198	0.30111846781131935	0.30340777316425394	0.2346288607089864	0.21830446763675357	0.22453895933864512	0.24036958066808814	0.2862504520006484	0.2338757341113979	0.2698063566877392	0.25443459394755547	0.34690956246337235	0.10381426202321725	0.28739261088043494	0.29063953415878	0.40007232010374194	0.13702165862417237	0.2087382635693712	0.0759485779124428	0.12733076472275215	-0.013259516951582938	-0.1495006172146785	0.10100624696068529	0.13113629845758676	0.05752440803501291	0.16225389344006783	0.223546428259704	0.15973515879250363	-0.030526565169141758	-0.1783787827778401	0.02540929438022918	-0.024785845210040024	0.2494420129926807	0.2474020873078218	0.0033641317223406775	0.0028853227596354067	0.015050062968366189	0.01021209740769835	0.2237808451476951	0.11359493260514471	0.06585867654210152	-0.09800870335041584	0.023364381102008752	-0.10212845546702577	-0.07000336662551902
LiuR	0.10083168119303233	0.13946059177795234	0.19956109178418682	0.2593224354418384	0.251611616104939	1.0	0.3871644284841457	0.16060300003740696	0.14764523248419556	0.18326163667876158	0.15978004713275726	0.2317709697128393	0.2532625095075998	0.14715146074140575	0.08645743712515119	0.31850521826955447	0.11873714136086484	0.17476776518410453	0.19376052070474695	0.2427736006683375	0.08297110936545343	0.16151074202920235	0.014825621267098094	0.03878103218244616	0.1099789274180476	0.2468783900048629	0.24248432025336975	0.08636766044464395	0.1928328283395055	0.016511427823289567	0.1480342647663936	0.11911121086297834	0.12593922617488995	0.054576740358358584	0.22421975336350827	0.1276150575443584	0.00612725844461901	0.0036683749173929848	0.09841269841269841	0.06829262210251998	0.15664285090836544	0.014057531889425056	-0.03209765707801843	0.07265177870048255	0.14526615045075375	0.3149291138293495	0.12160999513709647	0.0910958989513585	0.14569009588648238	0.1320290776692976	0.21597027394356538	0.058746368408583646	0.01945909549994389	0.2142395790471203	0.25543710021321964	-0.06058679035898203	0.12837815932866994	0.028371924836968043	0.27377648100350377	0.022307011309367946	0.022232197408945248	-0.12312622351899649	0.0546216286986122	0.043309766954700187	-0.08421302011247023	0.20163593062257634	0.2778164316263295	0.18560580555867282	-0.02049152732577713	0.3069938527911819	0.08778413695931371	-0.12119602488809088	-0.14778488509831794	0.006491352760009476	0.07628274666766419	-0.035623885584608286	0.027164927243481837	-0.011439045374630606	0.063773862516989	-0.05111036297210689	0.10703125974139328	0.144423247172658	-0.08823800795521142	-0.19089764211523835	-0.16741106497587252	0.14647813563760145	-0.02279080786543473	-0.10783924986595843
PhrR	0.2938315939101485	0.24198556091721843	0.125764660407237	0.20434918141123953	0.3297522412997668	0.3871644284841457	1.0	0.26577638125163655	0.22091796655818652	0.18667315053803663	0.15386476140600258	0.16546590356488236	0.3860422199778052	0.22843426975398695	0.2963403533709897	0.2616516415416651	0.23309766954700184	0.195092208132271	0.32143792316612424	0.22394543572862505	0.24394568510829312	0.3093629596379007	0.10498634646317286	0.1714759535655058	0.24198057332385692	0.2815471514607414	0.3329842017980274	0.21086297834137582	0.3180563348670183	0.06752952031820846	0.16218905472636816	0.15238843377099465	0.13321113729597625	0.08386887617052581	0.1366525767154204	0.28168181648150226	0.23092307884138205	0.08065187845234978	0.19761094277983515	0.12258756343595306	0.13850796144590333	0.18016434120126187	0.13894188206835498	0.09212334318383023	0.21417972792678214	0.38413197172034563	0.27255950822329456	0.289676928640008	0.323028965448447	0.27769174179229167	0.3271836307185875	0.17582513497674535	0.25586104564894824	0.16596466290103368	0.3155326126260926	0.15581491041035425	0.3289592139552862	0.20084290327809573	0.362979588274168	0.1907729522812005	0.17760071821344406	0.13732091422586318	0.05973889948752478	0.052531827080138156	0.06846220027681144	0.19143131460492027	0.06678138131398147	0.14113143555405927	-0.09101110986421278	0.2475217895484981	0.02386812803152159	-0.06816793226848215	-0.1070711604882854	0.024910535044077857	0.08554470753999427	0.03431214853053031	0.004207035000436414	0.03426227259691517	0.08640257359817453	-0.0020922954151548026	0.05120512724597564	0.17370540779810223	0.03054651554258781	-0.050003117245850943	-0.055230115088716815	0.07901096023641192	-0.009453983216748339	-0.03271611865484607
CueR	0.13626853202658387	0.05455678998491253	0.022975348819810722	0.12673724111273207	0.09680669335029116	0.16060300003740696	0.26577638125163655	1.0	0.3981620718462824	0.2560106734497936	0.09221311986433746	0.35394705669646753	0.1629970448509333	0.335283482337685	0.47302086060923454	0.2573623112507637	0.2873776481003504	0.2471726580131922	0.20818962829960475	0.2303694559782541	0.20838414444070374	0.2242696292971234	0.2765346201324206	0.2804099801743164	0.35955809922816995	0.23573610643524234	0.18199977555829874	0.2815521390541029	0.27592114614895447	0.0320477811444033	0.18001970099377798	0.1528522799536154	0.00920959114203419	-0.02066110550006858	0.12447287372660507	0.25623511515106173	0.15905684609533785	0.24829486651953267	0.36510430304617264	0.05325004052419606	0.06402324218506465	0.039688774174241576	0.1753962019476552	0.16176510929063953	0.2295415154802429	0.36344842205015027	0.13245302310502624	0.17155575505929002	0.24719260838663823	0.31117844362149155	0.1495006172146785	0.04478110699634659	0.1373308894125862	0.11526078878789012	0.22597538622676094	0.08298607214553798	0.06576889986159429	0.10331550268706592	0.14108654721380565	0.15346076634372	0.12197907704584846	0.09319567575655557	-0.021070088155712666	0.19576054564271375	0.0076684247933266	-0.045344705046197586	-0.022561378570805122	0.08659708973927356	-0.07087619546378383	0.10461726455442087	-0.024775870023317	0.04367884886345216	0.12641803513759522	0.1102382822728463	0.03288569682913752	-0.06073641815982743	0.04829736031621342	-0.002635943091559745	0.11753513136074016	0.06778388757964564	0.057554333595181986	0.28129278419930426	0.2662402274342573	0.04339455604184591	-0.08983403783089565	-0.04907542488060948	-0.021439170064464646	-0.03642688811581192
FruR	0.22815496452574222	-0.017159814960286287	0.05955934612651031	0.13306649708849239	0.032631329567700346	0.14764523248419556	0.22091796655818652	0.3981620718462824	1.0	0.3499420192271724	0.21625955435853314	0.26078878789012333	0.3175825134976745	0.3044850933303408	0.21842416987742988	0.19351612863003279	0.3871744036708687	0.2345141460616716	0.20812478958590505	0.16129627551465728	0.24125238469307597	0.21302759386027256	0.22520230925572637	0.2009077419917954	0.2988441252384693	0.28322797042357134	0.18734148804847942	0.3433334580231674	0.30569707851718847	-0.008147233756031871	0.28612576216661056	0.2570081921220963	0.04507537500467587	0.06817291986184366	0.05799324181099515	0.24619010212097409	0.15348570431052758	0.05614783226723525	0.2060300003740695	0.05614783226723525	-0.15728126285863914	-0.0652102894051048	0.03517001458871058	0.08214316886744223	0.047733762266362424	0.14202421476577015	0.06815296948839761	0.07244229977929899	0.16816917916682253	0.12294667015798202	0.06642726218531403	0.066980885048442	0.02721480317709697	0.07682639434406913	0.1994763026970411	-0.02039676305190838	0.09779922442923228	0.015873015873015872	0.2173318869312585	0.028007830521577577	0.1953615381737927	0.022825721018965323	-0.17956582999788026	0.2799660843651417	0.07680644397062307	0.00307485130737291	0.03620244641454382	0.041953141560368584	-0.19926682377585755	-0.013823115001433933	0.009059963341188793	0.017414182221723463	0.011099889026047706	0.08517562563124229	-0.05678624421750895	-0.013853040561603013	-0.027798351600394018	-0.02487063429718575	0.12931582688063442	0.08061197770545768	0.22395541091534807	-0.04658661579321438	0.06071646778638137	0.008341749897130888	-0.037559071808875424	0.07582887567176648	0.2140899512462749	-0.03215750819835659
RbsR	0.29618573797678277	-0.04562899786780384	0.14597937630145014	0.3359268818813202	0.08693125849449494	0.18326163667876158	0.18667315053803663	0.2560106734497936	0.3499420192271724	1.0	0.2226835746081622	0.31360241399518696	0.24984102046160175	0.40301001259367325	0.20815471514607414	0.33485953690195636	0.3508397860322448	0.09747503086073392	0.2561104253170239	0.14029351986932506	0.14429356974525867	0.2565543211261986	0.15694709410341776	0.13580967343732467	0.12759011957755084	0.22682826469157968	0.2208431526577638	0.2079851369717827	0.15955061783812766	0.10533049040511727	0.12005386600830434	0.10870709111086173	0.11867729024052669	0.2973677976034614	0.19282285315278244	0.2857866058180277	0.15079240389531043	0.21889799124677364	0.27897355328620055	0.16916171024576365	0.023324480355116646	0.07634758538136385	0.1456601703263133	0.2000698263070612	0.22081322709759474	0.31449519320689784	0.21249890896395218	0.024571378695494955	0.1545630244766144	0.1486826519033903	0.17830895647077893	0.06128505342959389	0.09394381476078255	0.14272746542974352	0.2504445192583449	-0.014471502138430653	0.10899138393246799	0.08991383932467986	0.10547014301923964	0.23497300465093082	0.22242920734672503	0.15773014626117532	0.07130512849287397	0.25719772066983376	0.10057232633823364	-0.025434232347036748	-0.019264579358844874	-0.02124964151672714	0.039165076871282685	-0.0484020997768052	-0.03827229765957182	-0.030586416289479917	0.05113031334555294	0.07028267185376376	0.21271836307185876	0.05813788201847903	0.1434456788738014	0.2225339468073168	0.224120001496278	0.09827304579857604	0.13418371800147133	0.1407274404917767	0.06394344069128044	0.16643349667701593	0.032302148405840475	0.06032743550418335	0.12796418907966434	0.014725869399867829
