	CsoR	PurR	CblR	MetJ	FixJ	AcnR	GguR	LldR	RbkR	HutC	PhnF	ModE	Rex	CzrA	IscR	KdgR	MetR	SahR_SamR	MntR	NrtR	NsrR	Phr	BirA	NagC	NrdR	ThiR	ArgR	FUR	Zur	DasR	PrpR	SiaR	Irr	LiuQ	TrpR	HcpR	HisR	TtrR	AraR	GulR	NmlR	NorR	FnrN_FixK	QorR	NikR	ZntR	HypR	FabR	PdhR	AgaR	AmtR	NifA	NadQ	CcpA	NagR	XylR	PhrR	VanR	NagQ	PdxR	HexR	PaaR	GlcC	HrcA	SoxR	LexA	PsrA	PhnR	TyrR	ExuR_UxuR	RutR	NnrR	LiuR	LtbR	NiaR	SdaR	RbsR	GntR	NtrC	CueR	MerR	FruR	PhsR	BioQ	NarP	CadR-PbrR	FadP	FadR
CsoR	1.0	0.29776330539689316	-0.11795227673090268	0.008380932045054183	0.11067634655420915	-0.05541557678962259	0.08534137618107084	-0.15953130838627022	-0.2499492873538675	-0.2261303581914269	-0.22622110713713767	0.005888005124646346	-0.05207921849143223	-0.2974536913468211	-0.15771632947205466	-0.23241338813857898	-0.36982864463780496	-0.27813484225697965	-0.22969625794053275	-0.2714354347942134	-0.23193295254363958	-0.36213099877222016	-0.29420808199434156	-0.3120642716062563	-0.10577056531255005	-0.2156301713553622	-0.15583729247851386	-0.1228740724923931	-0.053216249399455504	-0.15428388405487642	-0.29677574334062884	-0.2955159344472322	-0.2136443708962793	-0.21793626221107137	0.01206427160625634	0.038066513639032726	0.05632306624673037	0.15023221053755406	0.023941707147814018	0.1737201729568142	-0.1226445310414776	0.07558853360380077	0.12291143970533283	-0.0931137564725351	-0.09703197565792986	0.08544280147333583	-0.04192601291837933	-0.0821491485613623	-0.12854855068595528	-0.1788501574761117	-0.18628623285111834	-0.11730635776437304	-0.26493887791597714	-0.1821277958682539	-0.16794960764426414	-0.20798590722254845	0.04269470987028239	0.025633908076656168	0.07836972188117226	0.2555650456413815	0.08190893076389259	-0.049746436769337536	-0.07367746757059734	0.058639833448993754	0.08709763518923824	-0.0813324080499653	0.007158490364597235	-0.04255591736507767	-0.01136497090695564	-0.15291197352266053	-0.03602199327390167	0.15582127795868253	0.2415149735760423	0.254363956654033	0.24381038808519725	0.23135642982971227	0.14255591736507767	0.25372871403405756	0.22564458442321036	0.05310414776063631	0.1775956867559921	0.09409064218224523	-0.04929803021406075	0.11487215075001335	0.07936796028399082	0.11829925799391448	0.07995515934447232	0.15069663161266214
PurR	0.29776330539689316	1.0	0.017365077670421183	-0.219244114663962	-0.024528906208295523	-0.001494688517589281	-0.06438370789515828	-0.32118720973682807	-0.2600758020605349	-0.3927614370362462	-0.2732931190946458	-0.18057972561789357	-0.19326856349757113	-0.24113596327336786	-0.24489403726044948	-0.22818021672983504	-0.4024128543212513	-0.31494154700261573	-0.31168526130358193	-0.2768857097101372	-0.2802540970479902	-0.3192921582234559	-0.32682965889072757	-0.25819676506699407	-0.25876794960764427	-0.2251000907489457	-0.17075748678802113	-0.16192281001441305	-0.12091496289969572	0.15632306624673037	-0.12593818395345113	-0.21459456573960392	-0.17207067741418886	-0.3345539956226979	0.04178722041317461	0.01673517322372284	-0.03361981529920461	-0.1226338546949234	-0.1341909998398548	-0.11867826829658891	-0.12700048043559495	-0.05069129343938504	0.05176426626808306	0.06843004323920354	-0.13292051459990392	0.09365825014679977	-0.13601131692734747	-0.08161533123365185	-0.08504777665083009	-0.1429349276677521	-0.09598035552234026	-0.2944269470987028	-0.25596007046388725	-0.012950408370255698	-0.17344792611968185	-0.1966209363155928	0.055746543532803075	0.0035125180163348103	0.01916938023808253	0.010777771846474136	-0.057299951956440505	-0.10305343511450382	-0.14660225270912294	-0.1802914642609299	0.0011583836011316928	-0.09135749746436769	-0.08048897667218279	0.023295788181284364	-0.10333635829819036	-0.30788448193028345	0.011188811188811189	0.1074681044146693	0.021544867346394065	0.2348689478460471	-0.08463139913521593	0.08333956120215662	0.10579191800565846	0.030427587679496076	0.13928895531948968	-0.0806331073506646	0.015875727326109007	-0.002989377035178562	0.16747984839587893	-0.0648854961832061	-0.0006245662734212352	0.034858271499492874	-0.028431110873858967	0.186473068915817
CblR	-0.11795227673090268	0.017365077670421183	1.0	-0.1529920461218171	0.15387284471253937	0.05450274915923771	0.03059307105108632	0.09382907169166711	0.09095713446858485	-0.02973362515347248	0.18173277104574814	0.005434260396092457	0.1978967597288208	0.07694442961618535	0.04984252388832541	0.18746063097208135	-0.09154433352906635	-0.0009288421502161961	0.12505738536272887	0.05254897773981743	0.11449847862061603	-0.01966049217957615	0.03673197031975658	0.0998772220146266	-0.008498371857150484	-0.0065606149575615225	0.0923023541344152	0.01660705706507233	-0.032429402658410295	-0.04278545881599317	-0.017685368067047458	-0.04910585597608498	0.0504083702556985	0.018341963380131318	0.07156888912614104	0.1438744461645225	0.05899215288528266	0.04199007099770458	0.14588159931671382	0.00427053862168366	-0.04950621897186783	0.022959483264826778	-0.05221801099663695	0.10195910959269738	-0.17121656968985213	0.008925425719318848	0.24431751454652217	0.06909731489884162	0.07380024555597074	0.0703624619655154	0.21232050392355736	-0.3204291891314792	-0.040004270538621683	-0.16706880905354188	-0.2357230555703838	0.04265734265734266	-0.06083916083916084	0.0001708215448673464	0.008695884268403353	-0.1564725350984893	0.07781989003363049	0.06208295521272621	0.09121336678588587	0.0698927027171302	-0.051951102332781725	0.006768803715368601	-0.038242673357177175	-0.03887791597715262	-0.14640474029787007	0.004681577964020712	0.07258848022206801	-0.07433940105695831	-0.07230021886510436	0.02266054556130892	-0.024742433139379703	-0.07122724603640634	-0.06547803341696472	-0.06583035285325362	-0.11530454278545882	-0.018747664549191266	-0.19467784124272675	-0.2161106069503016	-0.09318315272513746	0.0963807185181231	0.15498318475417713	0.075956867559921	-0.11385255965408637	0.05675012010889873
MetJ	0.008380932045054183	-0.219244114663962	-0.1529920461218171	1.0	-0.07042652004484065	0.09817968291250734	0.11431164255591736	0.1333689211551807	-0.11324400790049645	0.1462125660598943	-0.10447872737949074	-0.0661666577697112	-0.027555650456413814	0.0882239897507073	0.00011743981209630065	-0.14515026957775048	0.025046709016174666	-0.04260396092457161	-0.04749906581967651	-0.010131852879944484	-0.06750120108898734	0.04676773608071318	0.017146212566059894	-0.05210057118454065	-0.17937863663054504	-0.031014786739977578	-0.10997170768163135	-0.08219185394757914	-0.028788768483424973	-0.12056264346340682	-0.016831260342710725	0.060027758501040945	0.025479101051620136	0.16750653926226444	-0.17964554529440024	-0.16576095660065127	-0.23466075908824	0.046495489243580844	0.06867559920995035	0.21300912827630386	0.18511183473015533	0.055549031121550206	0.21524582287941066	0.12596487481983665	0.19697859392515882	-0.21787220413174613	0.10371003042758768	-0.08776490684887632	0.082848449260663	-0.059344472321571556	-0.10593604868414029	-0.05922169433619815	-0.08761009982384028	-0.09921528852826562	-0.13221053755404902	0.014407729674905247	0.04623925692627983	0.07452089894837986	-0.027769177387497998	0.009966369508354242	0.15284257727005818	0.14808092670688092	0.1262638125233545	-0.03201302514279614	0.028393743660919235	-0.09902845246356697	0.030427587679496076	-0.018902471574227298	-0.008290183099343405	0.042038114557198525	-0.043837078951582766	0.008183419633801313	-0.07220413174611648	-0.051716222708589124	-0.031687396572892754	0.04006832861794694	0.0076762931724763785	-0.09424011103400416	-0.030673143650242887	0.15655794587092298	0.04515026957775049	0.04985853840815673	-0.13108952116585704	-0.03707361340949127	-0.17972561789355682	-0.04244381572625847	-0.12364276944429616	-0.04128009395184968
FixJ	0.11067634655420915	-0.024528906208295523	0.15387284471253937	-0.07042652004484065	1.0	-0.007569529706934287	0.15222334916991406	-0.020285058452997384	-0.015523407889820104	-0.10732931190946458	-0.1389686649228634	-0.032477446217904236	-0.1543906475204185	-0.2414295628036086	-0.17124859872951476	-0.22220146265947793	-0.19581487215075002	-0.24372497731276357	-0.2644050605882667	-0.23241338813857898	-0.17311695937650137	-0.33100411039342337	-0.340377942668019	-0.34208615811669246	-0.1805156675385683	-0.1651310521539529	-0.2325415042972295	-0.1463033150056051	-0.19082368013665724	-0.10502855922703251	-0.02521753056104201	-0.20565846367373086	-0.1488869908717237	-0.22045587999786473	-0.12773181017455826	0.10960871189878824	0.019446965248491967	0.07124326055623766	-0.01970853573907009	-0.05107030374205947	0.046111140767629316	0.07438210644317514	-0.08525596540863717	0.005738536272887418	0.019852666417551915	0.10930977419527038	-0.06038541611060695	0.07749959963700422	0.07184113596327336	-0.15650990231142903	-0.10756419153365718	-0.2383921422089361	-0.15570383814658623	-0.17424865211124754	-0.20554102386163456	-0.1925425719318849	-0.033577109912987776	0.08932899161906796	-0.007665616825922169	-0.06769337532696311	-0.11651630811936156	-0.007542838840548764	0.11310521539529172	0.054412000213526934	-0.097549778465809	0.05628036086051353	-0.13975871456787486	-0.09549991992740084	-0.19201943095072865	-0.11292905567714728	-0.10008007259915656	0.09081300379010303	-0.0803875513799178	0.030726525383013934	0.10925105428922223	0.07481449847862062	0.012955746543532803	0.18439118133774623	-0.05265574120535953	0.12616772540436663	-0.0009608711898788235	0.10707841776544066	0.031233651844338867	0.20415843698286446	0.3585223936368975	0.0974430150002669	0.0027811882773714834	0.07031441840602146
AcnR	-0.05541557678962259	-0.001494688517589281	0.05450274915923771	0.09817968291250734	-0.007569529706934287	1.0	0.2580366198686809	0.06063097208135376	-0.0075802060534884965	-0.00282389366358832	-0.002653072118720974	-0.11935087812950408	-0.12503069449634335	-0.13142048790903751	-0.11358565099023114	-0.10122777985373405	-0.15788181284364491	-0.16613462873004858	-0.13637431271019057	-0.12648267762771578	-0.19736828057438743	-0.20528479154433352	-0.02084022847381626	-0.14276410612288476	-0.19082368013665724	-0.1120162280467624	-0.11584369828644638	-0.0858805316820584	-0.002210003736721294	-0.12867666684460577	-0.09237175038701756	-0.07654940479367961	-0.1486574494208082	-0.10622964821438104	-0.006587305823947045	-0.04920728126834997	-0.06754390647520418	-0.1404953824801153	-0.1728233598462606	-0.013996690332568194	0.09839854801686863	0.0305717183579779	-0.044787273794907385	-0.03335824480862649	0.1391127956013452	-0.12409651417285004	-0.07897293546148508	-0.004062349863876581	0.008231463193295254	-0.07203331020124913	-0.12960017082154487	-0.06608658517055464	-0.03585650990231143	-0.25444402925318954	0.008231463193295254	-0.0826242459830246	0.05046709016174665	-0.07427534297763305	-0.03292585277318102	-0.04125340308546416	-0.11795761490417979	0.09406928948913681	0.04915923770885603	0.06193348636096728	0.05436395665403299	-0.056888912614103455	0.06875567180910692	0.028078791437570062	0.13608071317994982	0.08806384455239417	0.07290877061869429	-0.07182512144344205	-0.08440719585757754	-0.1520578657983238	-0.08976672182779052	0.01462125660598943	0.03810388085197246	0.11886510436128757	0.12516414882827095	0.15084610046442107	0.03699887898361181	-0.05587999786473069	-0.031553942240965145	-0.012528692681364436	0.1524955960070464	0.14684247050659263	0.13633694549725084	0.03704158436982864
GguR	0.08534137618107084	-0.06438370789515828	0.03059307105108632	0.11431164255591736	0.15222334916991406	0.2580366198686809	1.0	0.0268403352372818	-0.08127902631719426	-0.0009341803234933006	0.12630651790957134	-0.10706240324560935	-0.10553568568835744	-0.164421075108098	-0.09266001174398121	-0.2042972294880692	-0.17412053595259702	-0.17045854908450328	-0.16846207227886617	-0.20252495596007047	-0.14046869161372977	-0.1119041264079432	-0.2573052901297176	-0.3074414135482838	-0.17614904179789675	-0.17407783056638018	-0.20380077937329846	-0.16810441466930018	-0.18584850264239577	-0.1897346927881279	-0.08424171248598729	-0.03320343778359046	0.0667378423103614	-0.1515987828964928	-0.13599530240751614	-0.16331073506646027	-0.04903112155020552	0.1049057812416591	-0.03647573800245556	0.026338546949233974	0.10379010302674425	0.03770351785618961	-0.10845566647093365	0.09598569369561737	-0.06151177067207601	-0.0738536272887418	-0.016041210697699246	-0.08348369188063845	-0.06120749479528106	-0.1630224737094966	-0.11987935728393743	-0.08703891528319009	-0.24243847755298137	-0.2604174451502696	-0.1763038488229328	0.11885976618801046	0.04510756419153366	0.005364864143490098	-0.1392142208936102	-0.12944536379650884	-0.03563764479795014	-0.0082848449260663	-0.13418032349330059	0.04754710937917045	0.15363262691506965	-0.06255271446111141	-0.13953451129023647	0.01988469545721454	-0.040041637751561415	0.15277318101745582	0.06856349757113116	-0.10667805476965782	0.009528639299631667	-0.06002242032776384	-0.05603480488976672	0.039561202156622004	0.03523194362889019	0.06309720813537607	-0.10562109646079111	0.122868734319116	-0.0033096674318048363	-0.09496076442641328	-0.04978380398227727	0.0422409651417285	0.23565365931778146	0.08535205252762505	0.019959429883094005	0.09283083328884856
LldR	-0.15953130838627022	-0.32118720973682807	0.09382907169166711	0.1333689211551807	-0.020285058452997384	0.06063097208135376	0.0268403352372818	1.0	0.45879997864730687	0.41979394651150376	0.4075108098008861	0.4184113596327337	0.494128009395185	0.303266962045588	0.3507767042118187	0.3406875567180911	0.4372390967810815	0.4708055303475151	0.47661880104628196	0.5107884481930284	0.5099770458549084	0.41972455025890143	0.3851919073293119	0.3656648694816634	0.4064485133187423	0.471414082101105	0.4472535098489297	0.4215662200395025	0.449618320610687	0.037794266801900386	0.1300966209363156	0.20704638872577805	0.12198259755511665	0.2087439278278973	0.14620188971334008	0.10108898734852934	0.2557892489190199	0.1547269524368761	0.12323706827523621	0.19862275129450702	0.19362088293386004	0.13552020498585385	0.07523087599423477	0.21182405380878663	0.2822772647200128	0.25817541237388564	0.21604121069769924	0.3016174665029627	0.3761170127582341	0.29112261784017507	0.2893983878716703	0.27169700528479157	0.34250787380558373	0.16215235146532855	0.1838893930496984	0.16741045214327657	0.25616292104841726	0.22982971227246035	0.23160732397373618	0.2632199861207495	0.39283083328884855	0.3697699247317568	0.5255591736507768	0.3940586131425826	0.4173490631505899	0.4236587839641275	0.3473976405274115	0.27686969519030585	0.3896065766294774	0.4893610206587306	0.45104895104895104	-0.13134041530988097	0.026520044840655527	0.00022420327763839214	0.2589120802861261	0.26924144557732343	0.17788394811295574	0.2717770778839481	0.26613462873004856	0.38595526610793784	0.2058346233918753	0.09259061549137886	0.09325254897773982	0.25675545828217583	0.08464207548177013	0.05299204612181711	0.040276517375754016	0.07335717717397107
RbkR	-0.2499492873538675	-0.2600758020605349	0.09095713446858485	-0.11324400790049645	-0.015523407889820104	-0.0075802060534884965	-0.08127902631719426	0.45879997864730687	1.0	0.4401697539102119	0.42207868467410453	0.42969625794053273	0.3981263011797363	0.3779106389793413	0.5084076229114397	0.42117653339027383	0.49054075695297067	0.43432979234505953	0.5265574120535953	0.5000160145198314	0.47392836171462127	0.42692040783643836	0.40014946885175895	0.4316233384935675	0.40311749319382906	0.5215768963860566	0.427310094485667	0.39318849089841457	0.46971654299898574	-0.049015107030374205	0.16070036833395612	0.09237708856029467	0.13813590989163507	0.13590455346180538	0.2462072278866172	0.24022847381626009	0.394843324614317	0.13515187102973364	0.27732877809213685	0.1504083702556985	-0.0003416430897346928	0.15302407516147973	0.0058346233918753	0.16466129290556772	0.23426039609245716	0.12834036192814818	0.11230982757700315	0.23167672022633853	0.22202530294133346	0.33412694176052954	0.3926813644370896	0.195200982223883	0.29796081780814604	0.2210003736721294	0.16237121656968986	0.16888378796775744	0.22968024342070142	0.2541504297229488	0.23586718624886563	0.1642929589494475	0.20190038968664922	0.2604441360166551	0.3885709710137191	0.21544333529066353	0.1676666844605776	0.34345273047563124	0.31417818822398974	0.18279506752789196	0.18371323333155395	0.30322425665937114	0.2220733465008274	-0.07546041744515027	0.08466342817487855	-0.11183473015534084	0.20593071051086317	0.13531201622804676	0.06722895425185502	0.21780814605242085	0.036694603106816846	0.18497304222495062	0.03726044947418993	0.0037153686008647843	0.1190252495596007	0.18615277851919074	0.2386056691400203	0.11651096994608445	0.12035979287887685	0.14556664709336464
HutC	-0.2261303581914269	-0.3927614370362462	-0.02973362515347248	0.1462125660598943	-0.10732931190946458	-0.00282389366358832	-0.0009341803234933006	0.41979394651150376	0.4401697539102119	1.0	0.553547216142636	0.41382586878770083	0.4418512784924999	0.4983291517642663	0.5742059467250307	0.4112368547483051	0.630577056531255	0.5309026851011583	0.47088026477339456	0.536956173597395	0.5754070357123793	0.5436609192334383	0.5279133080659798	0.4603000053381733	0.3751614797416324	0.4688998024875887	0.4844392248972402	0.49239310308012596	0.5175839427747825	-0.06773608071317995	0.10900016014519831	0.12257513478887525	0.17371483478353708	0.1347728607270592	0.033091336144771256	0.06363102546308654	0.18851225110767095	0.17632520151604122	0.31812309827577	0.21069236107404046	0.23919286820050178	0.27159024181924946	0.0781828858164736	0.11814445096887845	0.35488175946191214	0.11443975871456788	0.3065018950515134	0.16810975284257726	0.2540436662574067	0.2517856189611915	0.2507446751721561	0.29805156675385686	0.2164629263865905	0.17576469332194522	0.30776170394491004	0.3201676186409011	0.3015107030374206	0.20752148614744034	0.2504937810281322	0.24010569583088667	0.27437143009662096	0.3458228794106657	0.2479528105482304	0.36213099877222016	0.28572038648374526	0.3269791277424865	0.304083702556985	0.16167725404366626	0.3479795014146159	0.2586878770084877	0.2509101585437463	-0.08073987081620669	0.024710404099717077	-0.0030107297282869804	0.24891901991138632	0.26307051726899056	0.12779053008060642	0.15444936742646667	0.03971067100838093	0.10598409224363423	0.067789462445951	0.09983451662840975	0.05981423156995676	0.05579458709229702	0.10222601825655261	0.06151177067207601	0.11532589547856724	-0.03445790850371003
