	FadP	AcnR	FixJ	HrcA	LiuR	LtbR	FruR	PurR	CueR	NtrC	NnrR	MerR	NifA	GntR	FnrN_FixK	PdxR	CblR	PaaR	NmlR	PhnR	CsoR	FadR	RbsR	BioQ	DasR	HypR	GguR	MetJ	HcpR	TtrR	PhsR	ZntR	RutR	AmtR	GlcC	NagQ	LiuQ	NarP	PrpR	CadR-PbrR	SdaR	VanR	MetR	ThiR	CzrA	NsrR	BirA	Phr	KdgR	MntR	FUR	NagC	NrtR	ArgR	SahR_SamR	PhrR	GulR	HexR	HutC	IscR	PhnF	NadQ	Zur	RbkR	XylR	SiaR	AraR	NikR	PsrA	AgaR	FabR	NagR	Irr	ModE	NiaR	TrpR	NorR	Rex	TyrR	SoxR	LldR	LexA	PdhR	CcpA	HisR	NrdR	ExuR_UxuR	QorR
FadP	1.0	0.34984252388832543	0.3269577750493781	0.10252495596007047	0.1652484919660492	0.13295254363956654	0.26139966903325684	0.2569956760796455	0.1775850104094379	0.359467250306945	0.32411252869268137	0.351812309827577	0.3470399829178455	0.28934500613889924	0.2214701329205146	0.338386804035659	0.2346660972615171	0.15603480488976673	0.0808626488015801	0.2812736881439172	0.10974750440399296	-0.025617893556824853	0.14126941760529546	0.12291143970533283	0.2916137297816687	-0.02862328511183473	0.1693108418299258	0.13963059840922437	0.015624833182085091	0.10778305663801847	-0.006704745636043346	0.11885442801473335	0.2102706453851492	-0.043201836331607325	0.10246623605402232	-0.06735173223722841	-0.06043345967010089	-0.01380451609459243	0.09000693962526024	0.104542785458816	-0.11755191373511985	0.05447072011957508	-0.5005765227139273	-0.48743927827897293	-0.5384134949020445	-0.45910959269737894	-0.526391928682005	-0.4610259969038595	-0.47132867132867134	-0.5506432498798911	-0.47856723429242515	-0.511028665990498	-0.5659958362248438	-0.5158597128062777	-0.5149415470026157	-0.3922756632680297	-0.24473923023541344	-0.416793893129771	-0.3352479581487215	-0.31861421021726366	-0.3934233705226072	-0.5293172476378584	-0.4033897400309614	-0.5039609245716116	-0.3527251374579619	-0.4205519671168526	-0.29364223562696845	-0.2860193241872631	-0.3077670421181872	-0.09664762718197832	-0.22231890247157424	-0.14882827096567555	-0.22704318582181177	-0.11931884908984146	-0.2710137191053222	-0.1384028185554903	-0.34870015480702504	-0.11060161212832968	-0.23485827149949287	-0.08154593498104948	-0.26831794160038436	-0.17906368440719586	-0.2956920941653766	-0.18933966796562215	-0.2704799017776117	-0.37930924037794267	-0.0830833288848556	-0.19899642342390433
AcnR	0.34984252388832543	1.0	0.4262584743500774	0.28648908343564833	0.24509154967170235	0.28841082581540595	0.21339347675225537	0.2618961191480275	0.2890140393957188	0.29796081780814604	0.3028132173170341	0.2837506005444937	0.36444776597448353	0.23821064431751454	0.01933486360967277	0.2381519244114664	0.1662734212352533	0.09903379063684407	0.15147600491111943	0.09853200234879624	0.14101318528799445	0.15968611541130626	0.2056104201142369	0.10959269737895692	0.06934820904286552	0.20797523087599423	0.16914002028505845	0.14015373939038062	-0.013612341856616667	0.08449260663001121	0.07959750173490632	0.10644317514546522	0.23563230662467305	0.09030053915550099	0.022575134788875247	-0.03820530614423744	-0.004046335344045268	0.09183259488603	-0.1556451182405381	-0.07937863663054502	-0.025665937116318795	-0.054812363209309774	-0.6075908824000427	-0.4620882933860033	-0.4611754657556184	-0.41032936529119735	-0.4640687556718091	-0.5435167885549564	-0.6652111247531095	-0.4990925105428922	-0.5980729194469653	-0.6493567501201088	-0.5400629904446699	-0.5055517002081887	-0.50597341589708	-0.24896172529760316	-0.2631078844819303	-0.1896225911493087	-0.23987081620669407	-0.27481983665189774	-0.35325361661239524	-0.3942134201676186	-0.3201889713340095	-0.47162227085891206	-0.43552554315913095	-0.25894944749906584	-0.44206480542358406	-0.3667325041370843	-0.42136870762824963	-0.04660225270912294	-0.0842523888325415	-0.08542144878022741	-0.1283563764479795	-0.0926439972241499	-0.0707041050552501	0.047039982917845516	-0.27353867506539264	-0.08675599209950355	-0.0870549298030214	-0.2163294720546629	-0.2018736988202637	-0.33005925372337586	-0.3057492126194416	-0.23344899375433725	-0.23926760262638125	-0.19527037847648535	-0.1386376981796829	-0.0028826135696364704
FixJ	0.3269577750493781	0.4262584743500774	1.0	0.21837933059307105	0.26830726525383014	0.25102759835584265	0.27321838466876636	0.1897293546148508	0.13470880264773394	0.3136390327230022	0.25458282175839425	0.07055463620349116	0.23588320076869695	0.17966689798750868	0.047418993220519935	0.11666577697112049	0.03702556984999733	0.17769177387497997	0.029690919767255644	0.06594779266534992	0.17121656968985213	0.047029306571291306	0.11191480275449742	0.07266321464794748	0.09420808199434154	0.21059093578177548	0.11138098542678695	0.1395558639833449	-0.0019324187263118561	-0.0009555330166017189	0.050360326696204556	0.07182512144344205	0.09246783750600544	-0.09828644637804942	-0.04449367426466663	-0.08757273261090055	-0.0012864997597822026	0.12563390807665617	-0.04254524101852346	-0.15186035338707093	-0.03301126354561469	0.010137191053221587	-0.3775102759835584	-0.3016441573693482	-0.36527518283243476	-0.36693535472161426	-0.42410185234612713	-0.3439171515507393	-0.4651951102332782	-0.45675545828217584	-0.452372818021673	-0.5503443121763733	-0.45563978006726097	-0.41800032029039663	-0.4097955479634869	-0.2124913254684247	-0.1364116799231303	-0.1312763572305557	-0.11356429829712272	-0.25632306624673035	-0.37006352426199757	-0.21723162333849358	-0.2671168526130358	-0.41172262851652164	-0.20542358404953825	-0.16326802968024343	-0.24589227566326802	-0.13633694549725084	-0.20271713019804624	0.04123205039235574	-0.17368280574387446	-0.16669513692414456	-0.06988202637057599	-0.05795654726952437	-0.2165750280254097	-0.08409224363422836	-0.17409918325948862	-0.12856990337906368	-0.16509368494101317	-0.2447018630224737	-0.17193188490898414	-0.23703624619655153	-0.23955586398334489	-0.06370042171568889	-0.16247264186195484	-0.17283937436609192	-0.29002829231836863	-0.020076869695190305
HrcA	0.10252495596007047	0.28648908343564833	0.21837933059307105	1.0	0.20542892222281536	0.3179416003843485	0.22895425185501522	0.237570063524262	0.29641274755778574	0.29630064591896654	0.21091122617840175	0.061575828751401274	0.19017776117012758	0.3323920354454706	0.20538621683659852	0.16816847274862542	0.09889499813163935	0.08307265253830139	0.1976618801046282	0.13586718624886565	0.14482464100784712	0.1185448139646613	0.10080606416484279	0.16584102919980784	0.00269577750493781	0.21548604067688037	-0.07147280200715316	0.11684727486254204	0.1481770138258688	0.01066567020765494	0.13942240965141728	-0.029995195644050607	0.17289275609886298	0.13958255484973042	-0.06540329899108525	-0.048550685955266105	0.07410985960604281	0.0625420381145572	-0.20672609832915176	-0.09407996583569103	-0.016505631772807346	-0.07151016922009289	-0.1340788982010356	-0.22518016334810229	-0.12587946404740297	-0.0835477499599637	-0.17352799871883842	-0.2813590989163508	-0.3098809587359206	-0.22097368280574387	-0.26071638285378745	-0.3406288368120429	-0.22468371323333156	-0.23179416003843484	-0.1890300539155501	-0.0969679175786046	-0.2647520418512785	-0.004099717076816314	-0.049879891101265145	-0.10984892969625794	-0.039577216676453315	-0.06877168632893824	-0.04953290983825335	-0.1645385149201943	-0.22720866919340202	0.01557678962259115	-0.16717023434580686	-0.05986761330272781	-0.07985373405220733	0.1314845459883628	-0.03424438157262585	-0.20305343511450383	-0.08593391341482945	0.08945176960444136	-0.01875300272246837	0.17051726899055145	0.00677948006192281	0.04258260823146319	0.14847061335610953	0.03191159985053115	-0.15509528639299633	0.0021939892168899803	-0.2743394010569583	-0.1232157155821278	0.04802220680083275	-0.14346340682218545	0.00683819996797096	-0.03004857737682165
LiuR	0.1652484919660492	0.24509154967170235	0.26830726525383014	0.20542892222281536	1.0	0.3938397480382213	0.14343137778252282	0.1917204932472108	0.10936315592804143	0.16583035285325362	0.247728607270592	0.23486360967276998	0.27415790316553673	0.2724657022366946	0.14890834356483212	0.1690866385522874	0.01870495916297443	0.16213099877222015	0.10051246463460203	0.05763091869962099	0.08971867826829659	0.16954038328084128	0.09245182298617413	0.24260929909784873	0.1281428495168953	0.0765440666204025	0.03764479795014146	0.23284578017402444	0.08893396679656222	0.03508781295040837	0.2004697592483852	0.07341055890674211	0.15406501895051514	-0.03387604761650563	0.052805210057118454	0.05177494261463727	-0.13460203918219185	-0.19431484545988362	-0.037564725350984894	0.019537714194202745	0.03706293706293706	0.12897026637484652	-0.2369935408103347	-0.2635936582501468	-0.25910425452410185	-0.2464367693375327	-0.30508727913308065	-0.256915603480489	-0.37569529706934285	-0.3671809106923611	-0.34277478246943893	-0.3946564885496183	-0.297090695563978	-0.3412320503923557	-0.38091603053435114	-0.1463300058719906	-0.2744675172156088	-0.0002722468371323333	-0.14540650189505153	-0.14693321945230342	-0.20788982010356055	-0.12363209309774195	-0.15825014679976512	-0.21193081727432872	-0.21391127956013453	-0.15037634121603588	-0.25208455666470936	-0.0871616932685635	-0.1908984145625367	0.049004430683819995	-0.03268563497571131	-0.050798056904927134	-0.08600864784070891	-0.038248011530454276	0.07050659264399722	-0.05089414402391502	-0.20112635456146907	-0.11871563550952864	-0.056157582875140125	-0.06526984465915764	0.000213526931084183	-0.07683766615064325	-0.1581113542945604	-0.0845940319222762	-0.06231783483691881	0.06271285965942454	-0.1406234986387658	-0.14442961618534136
LtbR	0.13295254363956654	0.28841082581540595	0.25102759835584265	0.3179416003843485	0.3938397480382213	1.0	0.20064058079325256	0.11393263225324295	0.2525169487001548	0.056365771632947204	0.18667058132706987	0.18974536913468212	0.22306090855709176	0.27977899962632785	0.15637644797950143	0.21099129877755832	0.14394918059040196	0.1417658677200662	-0.0032723002188651045	0.01888111888111888	0.09197138739123471	0.2388352105909358	0.10377408850691293	0.03604334596701009	0.0066139966903325685	0.19326856349757113	-0.0019003896866492287	0.1737201729568142	-0.09625794053274969	0.020365131052153953	-0.016430897346927882	-0.0847061335610954	0.20478834142956281	-0.0013345433192761436	0.11139699994661827	-0.021384722148080928	-0.026391928682005017	0.031121550205519672	-0.06904927133934767	0.11812309827577003	-0.0815672876741579	-0.014199540917098168	-0.19014039395718785	-0.2732717664015374	-0.29892168899802485	-0.12277264720012812	-0.32139006032135803	-0.27696044413601667	-0.37275396359365826	-0.29924197939465114	-0.22167298350504458	-0.33877649068488763	-0.30588800512464637	-0.3591202690439332	-0.2703998291784551	-0.09114930870656061	-0.14742433139379704	-0.11124753109485934	0.0076816313457534835	-0.14218758340895746	-0.15129450701969785	-0.18438584316446913	-0.1568248545347782	-0.20020285058452997	-0.274681044146693	-0.1678161533123365	-0.23466075908824	-0.3358992152885283	-0.2767682698980409	0.01734906315058987	-0.13787433940105695	-0.11615865050979554	-0.03587786259541985	0.08546949233972134	0.06508834676773607	0.11737041584369828	-0.11473869641808573	-0.07753162867666684	-0.02815886403672663	-0.174323386537127	-0.06355095286392996	-0.23100944856670047	-0.2650082741685795	-0.09692521219238777	-0.060716382853787436	-0.08954785672342924	-0.12491325468424705	-0.039385042438477555
FruR	0.26139966903325684	0.21339347675225537	0.27321838466876636	0.22895425185501522	0.14343137778252282	0.20064058079325256	1.0	0.2042011423690813	0.16070570650723323	0.2853360380077937	0.18966529653552555	0.16844071958575776	0.25757219879357285	0.11585437463300059	0.16894250787380558	0.13987615437997117	0.1177227352799872	0.10159611380985427	0.15520738803181552	0.1251961778679336	-0.10974216623071585	0.21165857043719638	0.13881919607110446	0.24146159184327123	0.0754924464848129	0.03619815299204612	0.12506806170928308	0.15318955853306998	0.15188170608017937	0.032610900549831845	0.07338386804035658	0.0028505845299738428	0.26224843858431646	0.07345860246623605	0.11615331233651845	-0.16947098702823893	-0.10146799765120376	-0.06529119735226606	-0.008204772326909731	0.04052207334650083	-0.09472588480222068	-0.016217370415843698	-0.2870442534564672	-0.2725831420487909	-0.2485186569156035	-0.28118293919820636	-0.3593711631879571	-0.2742433139379704	-0.27706186942828165	-0.3722148080926707	-0.4315112368547483	-0.42470506592644	-0.41017455826616134	-0.33389206213633693	-0.38977739817434476	-0.21211765333902738	-0.2320877595686756	-0.23451129023648107	-0.14286019324187263	-0.2985907222548444	-0.15234078898201037	-0.2966529653552554	-0.30300005338173275	-0.2825068061709283	-0.20987028238936636	-0.21764800085410774	-0.24156835530881332	-0.1813003790103027	-0.19530774568942508	0.08886990871723696	0.03753803448459937	0.02159824907916511	-0.11630811936155448	-0.08814925532482784	-0.06572892756098862	0.07137671488816527	-0.05585864517162227	-0.09188063844552394	-0.2820156942294347	0.05765227139272941	-0.25992099503549887	-0.16787487321838468	-0.05917898894998132	-0.1644157369348209	-0.031265680884001494	-0.14801686862755564	-0.14558266161319597	-0.25163081193615544
PurR	0.2569956760796455	0.2618961191480275	0.1897293546148508	0.237570063524262	0.1917204932472108	0.11393263225324295	0.2042011423690813	1.0	0.17972561789355682	0.18846420754817703	0.138285378743394	0.15547429669567076	0.09238776490684887	0.23810388085197245	0.10388619014573212	0.18533069983451664	0.14092243634228366	0.030112635456146907	-0.0031068168472748623	0.00814605242086158	0.17763839214220895	0.10590935781775476	0.2558906742112849	0.20131852879944484	0.13690813003790103	0.14681577964020712	-0.06014519831313724	0.17217210270645386	0.16390327230021887	-0.04360753750066727	0.05498318475417712	0.02926386590508728	0.14171782416057224	-0.1141248064912187	-0.12924785138525596	0.04526237121656969	-0.02115518069716543	0.007158490364597235	-0.14228367052794533	-0.050312283136710614	0.05158810654993861	0.15279987188384134	-0.26340148401217106	-0.273351839000694	-0.26016121283296856	-0.3725564511824054	-0.27898361180803927	-0.326135696364704	-0.3314738696418086	-0.3589120802861261	-0.403726044947419	-0.37814551860353385	-0.27650136123418567	-0.3001174398120963	-0.26226445310414775	-0.2538888592323707	-0.12797202797202797	0.027395505258100677	-0.26469866011850746	-0.2286019324187263	-0.15202049858538408	-0.35539422409651417	-0.32586878770084876	-0.1907863129237175	-0.24198473282442748	-0.25771099129877756	-0.29469919393583516	-0.1302087225751348	-0.2947258848022207	-0.10416377515614157	-0.08077189985586933	-0.1745475898147654	-0.00382747023968398	-0.007921849143223188	-0.1170447872737949	-0.04500613889926867	0.024101852346127155	-0.09630064591896653	-0.012042918913147922	0.16262744888699088	-0.14847061335610953	-0.1392248972401644	-0.09543052367479848	0.016430897346927882	0.03538141248064912	-0.07037847648534672	-0.033294186729301234	-0.08885389419740565
CueR	0.1775850104094379	0.2890140393957188	0.13470880264773394	0.29641274755778574	0.10936315592804143	0.2525169487001548	0.16070570650723323	0.17972561789355682	1.0	0.25168419366892647	0.22877275396359364	0.20003736721293974	0.18967063470880266	0.24361287567394438	0.242470506592644	0.21316393530133987	0.0429402658410292	0.20871723696151176	0.1735119841990071	-0.10238616345486574	0.05200982223882987	0.17348529333262158	0.22594886030000533	0.1309293759675439	0.049426146372711255	0.13131906261677254	0.01078311001975124	0.10783110019751241	0.21707147814018043	0.12402177974697058	0.12916244061282228	0.033731916938023805	0.06713286713286713	0.0788875246890514	0.04328190893076389	0.10035765760956601	-0.016270752148614745	0.10429189131479208	-0.02774782469438958	-0.05516468264559868	0.00897346927881279	0.014498478620616026	-0.31513372124059147	-0.358143383334223	-0.46829658890727593	-0.37814018043025677	-0.39096247264186196	-0.41358565099023115	-0.35922169433619816	-0.3263759141621737	-0.44571611594512356	-0.37894624459509957	-0.4001334543319276	-0.37472908770618696	-0.35187636790690224	-0.16603854161106069	-0.20624566273421235	-0.10765494047936797	-0.17729674905247425	-0.22747557785725725	-0.29433619815299206	-0.35096887844979446	-0.2611380985426787	-0.21946297976832327	-0.29445897613836547	-0.2198366518977206	-0.26273421235253297	-0.3618747664549191	-0.2256819516361501	-0.061613195964341005	0.11008914749372764	-0.1763305396893183	0.03818929162440613	-0.1729141087919714	-0.06199754444029253	-0.12723002188651045	-0.21094859339134148	-0.05071798430577056	-0.04285485506859553	0.018907809747504403	-0.18751935087812951	-0.10737735546895852	-0.10660332034377835	-0.11390060321358031	0.01222975497784658	-0.09221160518870443	-0.1844872684567341	-0.026194416270752148
NtrC	0.359467250306945	0.29796081780814604	0.3136390327230022	0.29630064591896654	0.16583035285325362	0.056365771632947204	0.2853360380077937	0.18846420754817703	0.25168419366892647	1.0	0.35190305877328776	0.2136390327230022	0.24873218384668766	0.08690012277798537	0.2937596754390647	0.33306998345166283	0.11051086318261891	0.13178882186515775	0.06865424651684193	0.13448993754337266	0.24534244381572626	-0.027918646239256925	0.28222922116051885	0.07156888912614104	0.2461912133667859	0.040377942668019	0.021875834089574546	-0.0022687236427694443	0.08772220146265948	-0.0009929002295414509	0.07216676453317675	0.10901083649175253	0.005199380771899856	0.025820744141354827	-0.03468744995462553	-0.04488869908717237	0.08206907596220574	0.2322051993807719	-0.042710724390113704	0.018304596167191586	-0.12225484439224897	0.00034698126301179735	-0.3314845459883628	-0.2791704478727379	-0.34320183633160734	-0.21014786739977578	-0.21244862008220786	-0.2876047616505632	-0.31965515400629907	-0.28392676026263813	-0.4285592270325095	-0.3559867613302728	-0.33857897827363476	-0.2162066940692895	-0.24984252388832542	-0.2002348796241926	-0.19342870869588427	-0.12865531415149736	-0.19388779159771527	-0.1520525276250467	-0.23226391928682005	-0.17149949287353866	-0.2017455826616132	-0.35188704425345646	-0.33697752629050337	-0.10717450488442855	-0.15640313884588694	-0.19848929696257941	-0.09689852132600224	-0.05268243207174505	-0.05992099503549885	-0.10171355362195057	-0.16820050178828805	-0.20561575828751402	-0.16649228633961458	-0.09646612929055677	-0.24882293279239845	-4.8043559493941174e-05	0.09445363796508835	-0.057540169753910214	-0.026146372711258206	-0.12068008327550313	-0.1410825815405968	-0.1027918646239257	-0.08931831527251374	-0.15411306251000909	-0.14207548177013826	0.02086158116692468
