	NmlR	ZntR	LtbR	PaaR	FixJ	DasR	PhnR	FadP	NnrR	NtrC	FadR	FruR	CueR	MerR	AcnR	NifA	GntR	HrcA	PurR	BioQ	LiuR	RbsR	PdxR	FnrN_FixK	GlcC	FabR	QorR	RutR	VanR	HcpR	MetJ	NorR	CadR-PbrR	GguR	CsoR	TtrR	BirA	XylR	IscR	MetR	RbkR	NrtR	Zur	NsrR	ArgR	Phr	SahR_SamR	ThiR	KdgR	MntR	FUR	NagC	AgaR	GulR	HutC	PhnF	HypR	TyrR	AraR	CzrA	ModE	NiaR	PhrR	PsrA	NadQ	Rex	CcpA	HisR	SdaR	SoxR	AmtR	NagQ	PhsR	NikR	PdhR	Irr	SiaR	NarP	HexR	TrpR	LexA	CblR	PrpR	NagR	NrdR	LiuQ	ExuR_UxuR	LldR
FadR	0.4044420941300899	0.2840824960338445	0.45272342675832894	0.5826546800634584	0.4271285034373347	0.5961924907456372	0.47995769434161817	0.6854045478582761	0.6948704389212057	0.7072448439978847	1.0	0.7867265996827075	0.7495505023796932	0.5390798519301957	0.5000528820729773	0.5367530407191962	0.6026969857218403	0.4796404019037546	0.5928609201480698	0.6631411951348493	0.679904812268641	0.5189846641988366	0.5076679005817029	0.5160761501850872	0.5254362771020624	0.30486515071390796	0.1997355896351137	0.3515600211528292	0.31179270227392913	0.24410364886303543	0.24394500264410365	0.3091485986250661	0.15309360126916974	-0.03696456901110524	-0.010735060814383924	0.010259122157588578	-0.6527763088313062	-0.650713907985193	-0.7399259650978318	-0.7360126916975145	-0.7081438392384981	-0.7755684822845056	-0.7308831306187202	-0.811369645690111	-0.7471708090957165	-0.7657324167107351	-0.7796404019037546	-0.7677419354838709	-0.7382337387625595	-0.7120042305658382	-0.7491274457958752	-0.742993125330513	-0.6176097303014279	-0.6227392913802221	-0.509941829719725	-0.6351665785298783	-0.44743521946060283	-0.436911686938128	-0.6349550502379693	-0.644420941300899	-0.6650978318350079	-0.44420941300899	-0.43722897937599153	-0.4408778424114225	-0.6019566367001586	-0.4867794817556848	-0.4779481755684823	-0.5033315705975674	0.09566367001586462	0.098783712321523	0.15251189846641988	-0.04241142252776309	-0.08603913273400317	-0.17498677948175567	-0.030671602326811213	-0.4509254362771021	-0.3970386039132734	-0.40095187731359067	-0.3674246430460074	-0.30137493389740877	-0.25742993125330516	-0.1654151242728715	-0.027287149656266527	-0.33802221047065045	-0.2570597567424643	-0.3540454785827604	-0.20232681121099946	-0.3415653093601269
FruR	0.4129561078794289	0.26922263352723425	0.47250132205182444	0.4945002644103649	0.5714436805922792	0.6701216287678478	0.5180327868852459	0.7215230037017452	0.7708619777895294	0.7392913802221047	0.7867265996827075	1.0	0.6940772078265468	0.6284505552617663	0.6698043363299842	0.6272871496562665	0.5650449497620307	0.4512427287149656	0.6439978847170809	0.6922792173453199	0.6063458487572713	0.5018508725542041	0.568164992067689	0.5945531464833421	0.6588577472236912	0.32781597038603916	0.0990481226864093	0.3738762559492332	0.4633527234267583	0.23326282390269698	0.2624537281861449	0.3970386039132734	0.22929666842940244	0.14896879957694342	0.06604970914859863	0.021998942358540455	-0.7481226864093072	-0.7041776837652036	-0.8544156530936012	-0.8214172395557906	-0.8261237440507668	-0.8697514542570068	-0.8557377049180328	-0.8280803807509254	-0.8543098889476467	-0.8039132734003173	-0.8198836594394501	-0.8607086197778953	-0.838339502908514	-0.8774193548387097	-0.8450026441036489	-0.8220518244315177	-0.6380222104706504	-0.6870438921205712	-0.5530936012691697	-0.5361184558434691	-0.443204653622422	-0.5246430460074035	-0.7516657852987837	-0.6688524590163935	-0.6658910629296668	-0.5526176626123744	-0.5838709677419355	-0.4664198836594394	-0.5864621893178212	-0.5842411422527763	-0.6364357482813326	-0.5554204124801693	-0.026599682707562137	-0.01861448968799577	0.028397673188789	-0.05780010576414595	-0.14680063458487572	-0.25420412480169224	-0.07223691168693813	-0.30195663670015865	-0.37276573241671074	-0.4718667371760973	-0.344632469592808	-0.3569011105235325	-0.2893707033315706	-0.11671073506081438	-0.06763617133791644	-0.30692755156002116	-0.18191433104177684	-0.3789529349550502	-0.2848228450555262	-0.18635642517186674
CueR	0.4831306187202538	0.340772078265468	0.3579058699101005	0.48069804336329985	0.5731359069275516	0.6608143839238498	0.5205711263881544	0.6236911686938128	0.6209941829719725	0.6654151242728715	0.7495505023796932	0.6940772078265468	1.0	0.6212057112638816	0.5244843997884717	0.6557377049180327	0.4493389740877842	0.47937599153886834	0.4396086726599683	0.5588577472236912	0.5588048651507139	0.5877313590692755	0.4823373876255949	0.440772078265468	0.5122157588577472	0.19048122686409308	0.2103648863035431	0.5774722369116869	0.3037546271813855	0.2821258593336859	0.3034902168164992	0.334479111581174	0.39539925965097833	0.19270227392913802	0.20909571655208883	0.12971972501322052	-0.7694341618191433	-0.7117927022739291	-0.7500264410364886	-0.705869910100476	-0.7054997355896351	-0.8116340560549974	-0.7847170809095717	-0.8267054468535167	-0.7903225806451613	-0.8216287678476997	-0.7580645161290323	-0.7686938127974616	-0.6915388683236383	-0.7112638815441565	-0.7449497620306716	-0.7670015864621893	-0.6017979904812268	-0.6009518773135907	-0.45621364357482813	-0.5858804865150714	-0.5046007403490217	-0.5901110523532522	-0.5937599153886832	-0.7619777895293496	-0.6800105764145955	-0.5543098889476468	-0.5992067689053411	-0.5597567424643046	-0.6756213643574828	-0.5982020095187731	-0.5269169751454257	-0.6025912215758857	-0.18302485457429932	0.08741406663141195	-0.0254362771020624	-0.03913273400317292	-0.08270756213643575	-0.08514013749338974	0.0013220518244315177	-0.39360126916975147	-0.34553146483342145	-0.3265996827075621	-0.43775780010576415	-0.2162876784769963	-0.24569011105235325	-0.153146483342147	-0.02755156002115283	-0.22004230565838181	-0.003595980962453728	-0.23558963511369646	-0.11998942358540454	-0.23722897937599155
MerR	0.5968799576943417	0.3664727657324167	0.47593865679534636	0.47001586462189315	0.6107879428873612	0.4919090428344791	0.4683765203595981	0.6831306187202538	0.650713907985193	0.4435748281332628	0.5390798519301957	0.6284505552617663	0.6212057112638816	1.0	0.6179270227392913	0.5670015864621893	0.33844526705446853	0.32421998942358543	0.4927551560021153	0.4327340031729244	0.4510840824960338	0.47535695399259653	0.4110523532522475	0.3493918561607615	0.5540454785827604	0.2445267054468535	0.15224748810153357	0.343204653622422	0.32210470650449496	0.24732945531464834	0.18053939714436806	0.29413008989952405	0.22062400846113167	0.35526176626123745	0.07017451084082496	0.17715494447382338	-0.7716552088841883	-0.7897937599153887	-0.6773664727657324	-0.7014278159703861	-0.7588048651507139	-0.753358011634056	-0.7282390269698572	-0.7076150185087255	-0.7617133791644632	-0.7488630354309889	-0.7333157059756742	-0.7335801163405605	-0.7233738762559493	-0.7551031200423056	-0.7323638286620836	-0.7272871496562665	-0.433262823902697	-0.5212585933368588	-0.3898995240613432	-0.4685351665785299	-0.4340031729243786	-0.5645161290322581	-0.6512956107879428	-0.5967213114754099	-0.6623479640401904	-0.6117398202009519	-0.5020095187731359	-0.5115811739820201	-0.5109994711792702	-0.5849286092014807	-0.6232681121099947	-0.6343204653622422	-0.1907456372289794	-0.16594394500264412	-0.06604970914859863	-0.09598096245372818	-0.0007932310946589106	-0.011739820200951878	-0.16599682707562136	-0.2880486515071391	-0.23707033315705975	-0.4504494976203067	-0.30237969328397674	-0.29444738233738765	-0.19471179270227393	-0.17620306716023268	-0.15542041248016922	-0.1624537281861449	0.06393442622950819	-0.3076679005817028	-0.22443151771549444	-0.1777895293495505
AcnR	0.4516657852987837	0.2950290851401375	0.3553146483342147	0.5808038075092543	0.49159175039661557	0.5988365943945002	0.4727657324167107	0.7038075092543628	0.6049709148598625	0.5554732945531465	0.5000528820729773	0.6698043363299842	0.5244843997884717	0.6179270227392913	1.0	0.6463246959280804	0.31020624008461134	0.3510312004230566	0.42696985721840297	0.534902168164992	0.5356953992596509	0.5744579587519831	0.3795346377578001	0.3843997884717081	0.44235854045478584	0.29719725013220516	0.09925965097831835	0.24806980433633	0.17445795875198308	0.13289264939185616	0.3153358011634056	0.24103648863035432	0.1609730301427816	0.33093601269169753	0.04309888947646748	0.040507667900581704	-0.6922792173453199	-0.6645690111052354	-0.6860391327340032	-0.6886832363828662	-0.6903225806451613	-0.7380750925436277	-0.7503437334743522	-0.6592808038075093	-0.7356425171866737	-0.7209413008989952	-0.6947117927022739	-0.6478582760444209	-0.6755684822845055	-0.7609201480698043	-0.6889476467477526	-0.674246430460074	-0.4274457958751983	-0.5203067160232682	-0.5573241671073506	-0.490058170280275	-0.3581173982020095	-0.4553146483342147	-0.6843469063987309	-0.5883130618720254	-0.6310946589106293	-0.454151242728715	-0.6652564780539397	-0.5392913802221047	-0.5438921205711263	-0.5164992067689054	-0.6514542570068746	-0.5217874140666314	-0.10608143839238499	-0.0842411422527763	-0.08265468006345848	-0.08545742993125331	-0.14500264410364885	-0.07694341618191433	-0.2581702802749868	-0.267741935483871	-0.36721311475409835	-0.43358011634056054	-0.341776837652036	-0.43437334743521944	-0.09550502379693283	-0.21433104177683765	-0.0817028027498678	-0.23172924378635643	-0.20502379693283976	-0.1656795346377578	-0.38202009518773133	-0.25039661554732945
NifA	0.4332099418297197	0.4518244315177155	0.42982548915917507	0.5364357482813327	0.5075621364357483	0.5879957694341619	0.44235854045478584	0.6446853516657853	0.6493389740877843	0.6402432575356954	0.5367530407191962	0.6272871496562665	0.6557377049180327	0.5670015864621893	0.6463246959280804	1.0	0.37525118984664196	0.48339502908514015	0.3858804865150714	0.5095187731359069	0.543416181914331	0.5026969857218403	0.28186144896879956	0.4948175568482284	0.5622421998942359	0.10893707033315705	0.1643574828133263	0.3924378635642517	0.16160761501850873	0.23426758328926495	0.19857218402961396	0.11702802749867795	0.21337916446324695	0.28471708090957165	0.10274986779481755	0.06731887890005288	-0.756002115282919	-0.6853516657852988	-0.6791115811739821	-0.6697514542570069	-0.709730301427816	-0.71216287678477	-0.7359598096245373	-0.7185616076150185	-0.7322051824431518	-0.7319407720782655	-0.7029085140137493	-0.6837123215230037	-0.6703331570597567	-0.6931253305129561	-0.6925436277102063	-0.6551031200423056	-0.48551031200423056	-0.5675832892649392	-0.42585933368588047	-0.4177683765203596	-0.610946589106293	-0.5452141723955579	-0.7126388154415653	-0.6817556848228451	-0.6299841353781068	-0.48551031200423056	-0.6512956107879428	-0.6671602326811211	-0.6874669487043892	-0.5398730830248546	-0.5922263352723427	-0.658434690639873	0.02258064516129032	0.04479111581173982	-0.029613960867265997	-0.12548915917503967	-0.12009518773135906	-0.14368059227921734	-0.20920148069804337	-0.3794288736118456	-0.4246430460074035	-0.24769962982548915	-0.485193019566367	-0.35452141723955577	0.027392913802221048	-0.21570597567424643	-0.02554204124801692	-0.20200951877313592	-0.06308831306187203	-0.18598625066102592	-0.26694870438921203	-0.13035430988894764
GntR	0.22443151771549444	0.06848228450555262	0.21760973030142783	0.3567424643046007	0.24865150713907985	0.3684294024325754	0.287625594923321	0.5563194077207827	0.6149127445795876	0.7048122686409307	0.6026969857218403	0.5650449497620307	0.4493389740877842	0.33844526705446853	0.31020624008461134	0.37525118984664196	1.0	0.5820729772607086	0.560444209413009	0.5218402961396087	0.5359598096245373	0.43828662083553677	0.542199894235854	0.3588577472236912	0.4626123744050767	0.42897937599153885	0.27017451084082494	0.18053939714436806	0.1243786356425172	0.09793759915388683	0.26282390269698575	0.3593865679534638	0.09264939185616076	-0.0698572184029614	-0.011369645690111053	-0.29481755684822847	-0.4096774193548387	-0.4514013749338974	-0.6241671073506081	-0.6802749867794817	-0.5866737176097303	-0.6006345848757271	-0.6138551031200423	-0.6111052353252248	-0.538551031200423	-0.524537281861449	-0.6027498677948175	-0.6213114754098361	-0.6874669487043892	-0.5774722369116869	-0.6396086726599682	-0.6450026441036488	-0.6106292966684294	-0.5867265996827076	-0.43024854574299315	-0.4293495505023797	-0.23564251718667373	-0.21417239555790588	-0.4258064516129032	-0.3698572184029614	-0.3449497620306716	-0.32913802221047067	-0.338127974616605	-0.26694870438921203	-0.33088313061872027	-0.22189317821258595	-0.25134849286092015	-0.3692226335272343	0.21533580116340562	0.030988894764674774	0.20708619777895293	0.1404019037546272	-0.05674246430460074	-0.05721840296139609	-0.06790058170280275	-0.25404547858276044	-0.48551031200423056	-0.253146483342147	-0.22924378635642517	-0.18704389212057113	-0.2579587519830777	-0.00967741935483871	-0.20058170280274987	-0.22496033844526706	-0.33786356425171865	-0.19238498149127445	-0.33759915388683237	-0.24801692226335273
HrcA	0.34722369116869384	0.14918032786885246	0.28741406663141195	0.4290322580645161	0.2074034902168165	0.2787414066631412	0.20698043363299842	0.584399788471708	0.5733474352194606	0.6802221047065045	0.4796404019037546	0.4512427287149656	0.47937599153886834	0.32421998942358543	0.3510312004230566	0.48339502908514015	0.5820729772607086	1.0	0.46197778952934954	0.46710735060814385	0.6143839238498149	0.5122686409307244	0.39978847170809095	0.3347435219460603	0.4146483342147012	0.37461660497091487	0.31099947117927024	0.14955050237969328	-0.08016922263352723	0.0014806980433632998	0.12501322051824432	0.2561078794288736	0.1817028027498678	0.06240084611316764	-0.07202538339502909	-0.13458487572712852	-0.4779481755684823	-0.47398202009518775	-0.5737176097303014	-0.6008461131676361	-0.42390269698572186	-0.5325753569539926	-0.5355896351136965	-0.5838709677419355	-0.5069804336329984	-0.5356953992596509	-0.6469063987308302	-0.5544156530936013	-0.5855631940772078	-0.4977260708619778	-0.5577472236911687	-0.5600740349021681	-0.5346906398730831	-0.6010047593865679	-0.30481226864093075	-0.4175039661554733	-0.36895822316234794	-0.3017451084082496	-0.49719725013220517	-0.4946589106292967	-0.40957165520888417	-0.40327868852459015	-0.44103648863035433	-0.38699101004759384	-0.3443151771549445	-0.2291909042834479	-0.33252247488101533	-0.4096774193548387	0.23231094658910628	-0.009836065573770493	0.006504494976203068	0.09264939185616076	-0.1317821258593337	-0.15732416710735062	0.010946589106292967	-0.234479111581174	-0.571602326811211	-0.15171866737176098	-0.23442622950819672	-0.1337916446324696	-0.1195134849286092	-0.0748281332628239	-0.09989423585404549	-0.33744050766790057	-0.20936012691697514	-0.13262823902696985	-0.26536224219989424	-0.17303014278159703
PurR	0.3822316234796404	0.24574299312533052	0.3578529878371232	0.36409307244843997	0.3488630354309889	0.3969857218402961	0.2556848228450555	0.6437863564251719	0.6597567424643046	0.5646747752511898	0.5928609201480698	0.6439978847170809	0.4396086726599683	0.4927551560021153	0.42696985721840297	0.3858804865150714	0.560444209413009	0.46197778952934954	1.0	0.4975145425700688	0.5913273400317293	0.5258593336858804	0.30222104706504493	0.359439450026441	0.46266525647805395	0.5347964040190375	0.035166578529878374	0.14706504494976202	0.21168693812797462	0.13622421998942358	0.021364357482813328	0.33114754098360655	0.035536753040719196	0.006610259122157589	-0.10089899524061344	-0.054204124801692226	-0.5496033844526705	-0.48662083553675306	-0.660655737704918	-0.7159703860391328	-0.6528820729772608	-0.6413008989952406	-0.6647805393971443	-0.6169751454257006	-0.6032786885245902	-0.6048122686409307	-0.6289264939185616	-0.6449497620306716	-0.6735589635113697	-0.6661554732945532	-0.6708090957165521	-0.6754627181385511	-0.47921734531993654	-0.5679005817028028	-0.5906398730830249	-0.4934426229508197	-0.198783712321523	-0.2712321523003702	-0.5892649391856161	-0.4636700158646219	-0.4113167636171338	-0.37599153886832365	-0.39518773135906926	-0.24584875727128502	-0.3971972501322052	-0.380327868852459	-0.42585933368588047	-0.35753569539925967	0.14500264410364885	-0.034690639873083025	0.061448968799576946	0.025013220518244315	-0.02310946589106293	-0.03712321523003702	-0.1578529878371232	-0.415018508725542	-0.44785827604442097	-0.34246430460074034	-0.2360655737704918	-0.31517715494447385	-0.13262823902696985	0.12464304600740349	-0.13114754098360656	-0.32882072977260707	-0.33934426229508197	-0.18582760444209412	-0.23326282390269698	-0.33823373876255947
BioQ	0.2351136964569011	0.18529878371232153	0.3168693812797462	0.5142252776308831	0.42591221575885774	0.5465891062929666	0.4115811739820201	0.617239555790587	0.6625066102591222	0.6322051824431518	0.6631411951348493	0.6922792173453199	0.5588577472236912	0.4327340031729244	0.534902168164992	0.5095187731359069	0.5218402961396087	0.46710735060814385	0.4975145425700688	1.0	0.5794817556848229	0.5525647805393972	0.3886832363828662	0.43707033315705973	0.5738233738762559	0.21015335801163407	0.10428344791115812	0.3787414066631412	0.2599153886832364	0.06197778952934955	0.366737176097303	0.28947646747752515	0.01274457958751983	-0.07265996827075621	0.09423585404547859	-0.13881544156530937	-0.5184029613960868	-0.5024854574299312	-0.6178741406663141	-0.59227921734532	-0.5925436277102062	-0.6548387096774193	-0.706292966684294	-0.6610787942887362	-0.6638815441565309	-0.6928080380750925	-0.6437863564251719	-0.6070861977789529	-0.596562665256478	-0.6334214701216287	-0.6399259650978318	-0.6043892120571126	-0.5297197250132205	-0.6045478582760444	-0.6130618720253834	-0.6410893707033316	-0.4598625066102591	-0.27990481226864095	-0.6759915388683236	-0.6199365415124273	-0.6502379693283977	-0.5979375991538868	-0.5835007932310946	-0.3749867794817557	-0.4944473823373876	-0.45256478053939714	-0.4635113696456901	-0.4892649391856161	0.15764145954521416	0.0950290851401375	0.15462718138551032	-0.09434161819143311	-0.01787414066631412	-0.25668958223162347	0.017662612374405078	-0.3524590163934426	-0.4835536753040719	-0.2761501850872554	-0.4984135378106822	-0.3206768905341089	-0.21295610787942887	-0.014595452141723956	-0.0787414066631412	-0.3634056054997356	-0.34664198836594395	-0.1846641988365944	-0.3321523003701745	-0.22347964040190377
LiuR	0.4261237440507668	0.19227921734531994	0.41168693812797463	0.5931782125859334	0.3080380750925436	0.4474881015335801	0.31195134849286094	0.7016922263352724	0.6549973558963511	0.655367530407192	0.679904812268641	0.6063458487572713	0.5588048651507139	0.4510840824960338	0.5356953992596509	0.543416181914331	0.5359598096245373	0.6143839238498149	0.5913273400317293	0.5794817556848229	1.0	0.6613432046536224	0.3597567424643046	0.41221575885774725	0.393707033315706	0.38889476467477524	0.14849286092014807	0.23622421998942358	0.12448439978847171	0.0654151242728715	0.08249603384452671	0.15742993125330512	0.1651507139079852	-0.004336329984135378	-0.06044420941300899	-0.10930724484399788	-0.5921205711263882	-0.5257006874669488	-0.6461131676361713	-0.7207826546800634	-0.6219989423585405	-0.6765732416710735	-0.6848757271285034	-0.6997355896351137	-0.6351136964569011	-0.6939714436805923	-0.7027498677948175	-0.6459545214172395	-0.6931253305129561	-0.6286620835536753	-0.6966684294024326	-0.6880486515071391	-0.5538868323638286	-0.5821258593336859	-0.5389212057112639	-0.6039132734003173	-0.39613960867265996	-0.33188789000528823	-0.6023796932839768	-0.5409307244843998	-0.6465362242199895	-0.46562665256478053	-0.4975145425700688	-0.41591750396615546	-0.4865679534637758	-0.30370174510840825	-0.5254891591750397	-0.3436805922792173	0.14114225277630882	0.0846641988365944	0.16086726599682707	-0.04463246959280804	-0.05050237969328398	-0.0733474352194606	-0.041459545214172396	-0.39735589635113694	-0.4714436805922792	-0.18202009518773135	-0.2769962982548916	-0.24727657324167107	-0.14637757800105763	-0.06345848757271286	-0.128397673188789	-0.3918032786885246	-0.3352723426758329	-0.21692226335272344	-0.38921205711263884	-0.34516129032258064
RbsR	0.3597567424643046	0.2683236382866208	0.3577472236911687	0.5757271285034373	0.3738762559492332	0.4069804336329984	0.28244315177154944	0.6608672659968271	0.5731359069275516	0.5447382337387625	0.5189846641988366	0.5018508725542041	0.5877313590692755	0.47535695399259653	0.5744579587519831	0.5026969857218403	0.43828662083553677	0.5122686409307244	0.5258593336858804	0.5525647805393972	0.6613432046536224	1.0	0.18577472236911688	0.2596509783183501	0.340772078265468	0.3553146483342147	0.053675304071919616	0.32295081967213113	0.028662083553675305	0.3331041776837652	0.25383395029085143	0.2895822316234796	0.16060285563194077	0.2087784241142253	0.11015335801163406	-0.1471179270227393	-0.6047593865679535	-0.49455314648334214	-0.5557377049180328	-0.5735589635113696	-0.6164992067689054	-0.6525647805393971	-0.6371760973030143	-0.6610259122157589	-0.6299841353781068	-0.6777895293495505	-0.6137493389740878	-0.6253833950290851	-0.6056583818085669	-0.5906398730830249	-0.6462189317821259	-0.6317821258593337	-0.41972501322051825	-0.505076679005817	-0.5561078794288736	-0.5086197778952934	-0.3528820729772607	-0.36790058170280276	-0.6410893707033316	-0.6326282390269699	-0.6382337387625595	-0.6263352723426758	-0.5127445795875198	-0.42897937599153885	-0.508514013749339	-0.4765732416710735	-0.3860391327340032	-0.5063987308302486	0.033262823902696984	-0.006504494976203068	0.1547858276044421	-0.1079323109465891	-0.11787414066631412	-0.10179799048122687	-0.11517715494447382	-0.38863035430988896	-0.46425171866737175	-0.24161819143310417	-0.260655737704918	-0.16017979904812268	0.12236911686938128	-0.11930195663670017	-0.09571655208884189	-0.3066631411951348	-0.2683765203595981	-0.04843997884717081	-0.36218931782125857	-0.3438392384981491
PdxR	0.3484399788471708	0.1615018508725542	0.21163405605499735	0.3356425171866737	0.3380750925436277	0.43278688524590164	0.34225277630883133	0.4589635113696457	0.48551031200423056	0.5395029085140137	0.5076679005817029	0.568164992067689	0.4823373876255949	0.4110523532522475	0.3795346377578001	0.28186144896879956	0.542199894235854	0.39978847170809095	0.30222104706504493	0.3886832363828662	0.3597567424643046	0.18577472236911688	1.0	0.3007403490216817	0.4892649391856161	0.2859862506610259	0.18905341089370703	0.28413537810682177	0.3678476996298255	0.035589635113696456	0.13104177683765203	0.18122686409307245	0.08439978847170809	-0.14119513484928609	0.19698572184029614	-0.10005288207297726	-0.41570597567424644	-0.5257535695399259	-0.5997884717080909	-0.5533051295610788	-0.5039132734003173	-0.5651507139079852	-0.5178212585933368	-0.5996298254891592	-0.5483342147012162	-0.5349550502379693	-0.5817028027498677	-0.55637228979376	-0.5481755684822845	-0.549497620306716	-0.5606028556319408	-0.5536224219989424	-0.4589635113696457	-0.45959809624537284	-0.3925965097831835	-0.4846641988365944	-0.23479640401903754	-0.4121099947117927	-0.3854574299312533	-0.3666314119513485	-0.40195663670015863	-0.23442622950819672	-0.28508725542041247	-0.2026969857218403	-0.1693283976731888	-0.23585404547858277	-0.3644103648863035	-0.321099947117927	0.07059756742464304	0.034796404019037545	0.03786356425171867	0.07985193019566367	-0.12845055526176627	-0.09947117927022739	0.09672131147540984	-0.07265996827075621	-0.20438921205711263	-0.3695399259650978	-0.15806451612903225	-0.3131676361713379	-0.26953992596509785	0.06509783183500793	-0.047805393971443684	-0.1242199894235854	-0.11914331041776838	-0.18006345848757271	-0.041089370703331574	0.025859333685880486
FnrN_FixK	0.23046007403490218	0.1404019037546272	0.21623479640401905	0.23410893707033315	0.45690111052353255	0.4428344791115812	0.549497620306716	0.40898995240613434	0.5921734531993654	0.5895822316234797	0.5160761501850872	0.5945531464833421	0.440772078265468	0.3493918561607615	0.3843997884717081	0.4948175568482284	0.3588577472236912	0.3347435219460603	0.359439450026441	0.43707033315705973	0.41221575885774725	0.2596509783183501	0.3007403490216817	1.0	0.4892120571126388	0.23844526705446853	0.3352723426758329	0.20438921205711263	0.18551031200423057	0.38387096774193546	0.11448968799576943	0.20507667900581703	0.04986779481755685	-0.10021152829190905	0.09772607086197779	-0.10163934426229508	-0.45700687466948703	-0.49719725013220517	-0.6138551031200423	-0.529825489159175	-0.5098360655737705	-0.5472236911686938	-0.5719196192490745	-0.5526705446853517	-0.5931782125859334	-0.5277102062400846	-0.5740877842411423	-0.5525647805393972	-0.4975145425700688	-0.5129032258064516	-0.5483870967741935	-0.5114754098360655	-0.5267583289264939	-0.4769434161819143	-0.38498149127445797	-0.48244315177154945	-0.4430460074034902	-0.244420941300899	-0.518667371760973	-0.5074034902168165	-0.4664198836594394	-0.30248545742993127	-0.46520359598096245	-0.36753040719196195	-0.5199365415124273	-0.3682178741406663	-0.23453199365415126	-0.22379693283976732	0.10925436277102063	-0.16853516657852988	0.019090428344791115	0.0842411422527763	-0.10502379693283977	-0.190058170280275	-0.10608143839238499	-0.4473823373876256	-0.4932839767318879	-0.15711263881544157	-0.20898995240613433	-0.25193019566367003	-0.2375462718138551	-0.04891591750396616	0.048704389212057116	-0.07652035959809625	-0.048175568482284506	-0.254151242728715	-0.1447911158117398	-0.05600211528291909
GlcC	0.36520359598096247	0.18963511369645691	0.1534108937070333	0.25658381808566894	0.3793759915388683	0.537123215230037	0.4896351136964569	0.5651507139079852	0.7872025383395029	0.6246959280803808	0.5254362771020624	0.6588577472236912	0.5122157588577472	0.5540454785827604	0.44235854045478584	0.5622421998942359	0.4626123744050767	0.4146483342147012	0.46266525647805395	0.5738233738762559	0.393707033315706	0.340772078265468	0.4892649391856161	0.4892120571126388	1.0	0.19444738233738762	0.03696456901110524	0.4204653622421999	0.4483870967741935	0.06583818085668958	0.15298783712321523	0.1717609730301428	0.023373876255949232	0.1110523532522475	-0.0033315705975674246	-0.023320994182971972	-0.5439450026441036	-0.6376520359598096	-0.6827604442094131	-0.6909571655208884	-0.6657852987837123	-0.6680063458487573	-0.7041248016922264	-0.6216816499206769	-0.6675304071919619	-0.6452141723955579	-0.6509783183500794	-0.6229508196721312	-0.6455843469063988	-0.6732945531464833	-0.6601269169751455	-0.6197778952934955	-0.4748281332628239	-0.5826017979904812	-0.4330512956107879	-0.4313061872025383	-0.5243786356425172	-0.4386039132734003	-0.6164992067689054	-0.44759386567953463	-0.5214701216287678	-0.4710735060814384	-0.5463246959280804	-0.38561607615018506	-0.37599153886832365	-0.2903225806451613	-0.5209941829719725	-0.45674246430460075	0.05103120042305658	-0.09862506610259122	0.17265996827075622	0.16234796404019036	-0.021047065044949763	-0.09576943416181914	0.09693283976731888	-0.29063987308302486	-0.44563722897937597	-0.4006874669487044	-0.2332099418297197	-0.3126388154415653	-0.3645690111052353	-0.1145425700687467	0.10089899524061344	-0.21512427287149657	-0.1750925436277102	-0.20449497620306717	-0.2216816499206769	0.17128503437334744
FabR	0.3784241142252776	0.09619249074563722	0.07461660497091487	0.2028027498677948	0.24235854045478583	0.0654151242728715	0.040084611316763614	0.4330512956107879	0.49069275515600214	0.36409307244843997	0.30486515071390796	0.32781597038603916	0.19048122686409308	0.2445267054468535	0.29719725013220516	0.10893707033315705	0.42897937599153885	0.37461660497091487	0.5347964040190375	0.21015335801163407	0.38889476467477524	0.3553146483342147	0.2859862506610259	0.23844526705446853	0.19444738233738762	1.0	0.12559492332099417	-0.0709148598625066	-0.13347435219460602	0.01877313590692755	-0.03442622950819672	0.022845055526176626	-0.09968270756213643	-0.13738762559492332	-0.05737704918032787	-0.31163405605499733	-0.2607086197778953	-0.2239555790586991	-0.4664198836594394	-0.5025383395029085	-0.3804865150713908	-0.3561607615018509	-0.3270227392913802	-0.32808038075092544	-0.26779481755684825	-0.2832892649391856	-0.3996827075621364	-0.36255949233209944	-0.46578529878371233	-0.39021681649920675	-0.4678476996298255	-0.4529878371232152	-0.44579587519830777	-0.4626123744050767	-0.16911686938127973	-0.19862506610259123	0.015441565309360127	0.023691168693812797	-0.2777895293495505	-0.03342147012162877	-0.0780539397144368	-0.06842940243257535	-0.0006345848757271285	-0.04235854045478583	-0.2850343733474352	-0.17937599153886832	-0.3561607615018509	-0.15647805393971442	0.15420412480169224	-0.22459016393442624	0.024114225277630883	0.11898466419883659	-0.1540983606557377	0.28566895822316235	-0.0343204653622422	-0.3757800105764146	-0.35753569539925967	-0.25055526176626125	0.018244315177154944	0.05742993125330513	-0.22041248016922263	-0.04331041776837652	-0.2231623479640402	-0.2676890534108937	-0.20354309888947647	-0.1327340031729244	-0.44584875727128503	-0.2822316234796404
