	FadR	LtbR	HrcA	PurR	FruR	NmlR	GguR	FixJ	LiuR	MetJ	BioQ	AcnR	CueR	FadP	PrpR	DasR	CsoR	NtrC	RbsR	RutR	HypR	VanR	TtrR	PhsR	ZntR	NnrR	MerR	NifA	GntR	PhnR	CblR	GlcC	PaaR	FnrN_FixK	HcpR	CadR-PbrR	PdxR	AmtR	NagR	AgaR	FabR	CzrA	Zur	Phr	BirA	ArgR	SahR_SamR	ThiR	MntR	NsrR	FUR	NagC	NrtR	MetR	IscR	KdgR	NarP	TyrR	LiuQ	Rex	Irr	NagQ	SoxR	ExuR_UxuR	LexA	AraR	PsrA	NikR	LldR	PdhR	HutC	PhnF	NadQ	SiaR	RbkR	PhrR	GulR	HexR	NorR	ModE	NiaR	TrpR	SdaR	XylR	HisR	NrdR	CcpA	QorR
FadR	1.0	0.25350718966813873	0.1331912174655501	0.19518690875369663	0.27819463842443637	0.05990918909138201	0.0286173106174124	0.05193637581919243	0.07675953203544227	0.04743541173077902	0.11087864925841527	0.10092676886192331	0.16959474359771784	-0.07008724858779425	0.006055945400365279	0.11133100745825582	0.13970517554325393	-0.0157251019219569	0.26717971625831916	0.12313755647409401	0.2316243617508524	-0.013983522852570809	0.12690343848776653	0.012377651243136879	-0.026943585278002388	-0.003782845446166547	0.014639442242339597	-0.16369146908979876	0.13803145020384391	-0.016765525781590154	-0.0033757230663100574	0.08355621398804644	0.04213151183764864	-0.03895369548376882	0.008023703569671645	-0.06977059784790586	0.13712673380416282	0.008035012524667658	-0.13446912938009964	-0.03914594771870105	-0.06623089493415361	-0.10737287320965107	-0.11293687906768975	-0.013056188542897694	-0.20587387122492945	-0.21823455903557232	-0.1637253959547868	-0.17103098088221158	-0.20153123250646024	-0.1728856495015578	-0.15093496785429542	-0.2291250826967334	-0.2049013010952723	0.0027989663615133643	-0.3499499578741426	-0.18265658661811354	-0.11727951778615897	-0.011325918428507614	-0.02094983913011518	0.02226167790965276	0.08330741697813414	-0.04162260886282803	0.02400325697903885	-0.0711276724474275	-0.1119756178930286	-0.18574393133202527	-0.2049917727352404	-0.20899514280382922	-0.14256634115724537	0.046677711746046104	-0.017692860091263266	-0.10554082250029687	-0.09751146445312721	-0.24727595546533523	-0.14794940373534785	-0.1376017099139954	-0.11819554314083607	-0.07383051269147474	0.14930647833486946	0.1069092060548145	0.05669744587251415	-0.0982578554828641	-0.08209735879356068	-0.23290227366540195	0.15596745282752147	0.06517916211952435	0.19932598628223758	-0.02324555699430594
LtbR	0.25350718966813873	1.0	0.29464916794363616	0.04362429389712243	0.21053316068328706	-0.056245087672673603	0.08316040056318597	0.10862816721420857	0.30038280812661505	0.2150454337266965	0.08305861996822184	0.12632668178296985	0.15109329322423962	-0.11784496553595965	0.018495795895980233	-0.14711254106564284	0.05434518323334332	-0.09078263623049912	-0.07413585447636711	0.13667437560432227	0.1829393104930139	-0.01128068260852356	0.053779735483542646	-0.02167361224986005	-0.1750456599057964	0.029171449412217065	-0.018541031715964287	9.612611746611554e-05	0.23732407506884326	-0.03687284776450232	0.08979875714584594	-0.0283685136075001	0.039564379053553554	0.021820628664808227	-0.273693674336023	0.161384442270612	0.02100638390509525	-0.058484260761884295	0.002086502196764508	0.08896189447614093	-0.14007837105812238	-0.14125450237770779	-0.0383543208689801	-0.09246767052490515	-0.21869822619040888	-0.1632278019349622	-0.1045795613256357	-0.14649054854086208	-0.16355576162984659	0.011834821403328226	-0.09263730484984535	-0.2286161797219128	-0.1429282277171178	0.0077749065597593455	-0.16058150646589503	-0.20978676965355017	-0.023901476384074728	-0.024580013683835545	0.006644011060157986	-0.05705933243238658	0.03533482988504447	-0.07482570073112393	-0.14724824852559498	-0.13855166213366055	-0.19328700431436632	-0.20519533392516864	-0.1796144777241859	-0.2667386670134746	-0.0811134797089075	-0.2065750264346823	0.06211443531560466	0.02956726283707754	-0.003703682761194452	-0.08397464532289894	-0.002335299206676807	0.1008249882669592	-0.12978722201175	-0.05885745627675275	0.015691175056968862	0.07155741273727602	0.14844699775517242	0.13713804275915883	-0.13707018902918275	-0.08660963183697011	0.04532063714652448	0.012332415423152823	-0.036183001509745495	0.016358403401733664
HrcA	0.1331912174655501	0.29464916794363616	1.0	0.25661715229204246	0.2901482038552228	0.2364419765791542	-0.048340128130460104	0.12625882805299377	0.1473500291205591	0.13751123827402728	0.21010342039343854	0.2084862398290086	0.267880871468072	-0.045942629671305225	-0.16781923766334372	-0.08071766628404703	0.08465318262265975	0.2024924936811214	0.1051676269854284	0.2946944037636202	0.2739537803009313	0.032451046361061005	0.08925592730603729	0.1502564305545346	-0.008329045354564012	0.08898451238613296	-0.11686108645130647	0.1298663846967221	0.257103437356871	0.135611333834697	0.14340320382695038	-0.1060723433851095	0.024138964438991016	0.14945349474981764	0.20837315027904846	-0.03515388660510826	0.07856896483480444	0.04344335061718622	-0.11418086411725124	0.14462457096651984	0.05785095928210754	0.039971501433410044	0.026185885293269474	-0.31812655851536037	-0.08789885270651565	-0.1238839475038309	-0.1544859797230437	-0.16444916907453166	-0.16552351979915295	-0.05655042945756597	-0.26341383424464665	-0.35005173846910675	-0.1876099089063675	-0.003217397696365867	-0.09661805700844213	-0.23159043488586437	0.08296814832825372	0.14407043217171517	0.18120904037862381	0.05951337566652153	0.0127282288480133	-0.03674844925954617	0.11528914170686058	0.0037941544011625607	0.015634630281988793	-0.2031710309808822	-0.025959706193349204	-0.02702274796297448	-0.148933282820001	-0.20547805780006898	0.01134853633849964	0.05708195034237861	0.03919118353868511	0.08045756031913871	-0.043658220762110476	-0.04708483412590259	-0.19498334756376837	-0.04300230137234169	0.12464164748856382	0.04820442067050794	0.07746068724519511	0.22924948120168956	0.006383905095249673	-0.2148192546267762	0.02972558820702173	-0.12294530423916178	-0.14012360687810643	-0.018405324256012122
PurR	0.19518690875369663	0.04362429389712243	0.25661715229204246	1.0	0.2169001023460427	0.05684446228746233	-0.09027373325567851	0.11494987305698016	0.1901091879604865	0.25938784626606576	0.143912106801771	0.23555987808946513	0.09927566143250532	0.16472058399443598	-0.10344866582603435	0.0397679402434818	0.10206897331652069	0.13450305624508768	0.2267162752825825	0.082368773713465	0.18193281349836868	0.1559787617825175	-0.08157714686374405	0.016629818321637988	0.02919406732220909	0.0017698514568761274	-0.04797824157058767	0.00568274988549683	0.11167027610813622	-0.04236899989256493	0.09865366890772458	-0.12874679815211676	-0.09739837490316708	-0.11404515665729908	0.14835652611520433	-0.033389689625730135	0.088181576581416	-0.22507647680816054	-0.14032716806803466	-0.0663100576191257	-0.08779707211155154	-0.13172105331606832	-0.2623847193400094	-0.22168379030935648	-0.18162747171347632	-0.19671361767815845	-0.11809376254587195	-0.23200886622071687	-0.23949539442807788	-0.28573771140677745	-0.3470774833051552	-0.3085591825887329	-0.18128820306359592	-0.19510774606872452	-0.22202305895923688	-0.28447110844722395	-0.07602444996070139	0.013406766147774115	0.14005575314813035	0.003975097681098778	0.04772944456067537	0.07393229328643887	0.15498357374286828	-0.0455920520664288	-0.18842415366608048	-0.22984885581647826	-0.20297877874594997	-0.023098540579357764	-0.04399748941199089	-0.08545611842737671	-0.21184499946282465	-0.049380551990093356	-0.25129063448892003	-0.2435892361366348	-0.09154033621523203	-0.12191618933452454	-0.03488247168520393	0.0009556066971631486	0.0389310775737768	0.07331030076165812	-0.13515897563485646	-0.025620437543468797	-0.002640640991569174	-0.17627833600036188	0.1844320925524877	-0.058077138382027806	0.05471837874821177	-0.15405623943319519
FruR	0.27819463842443637	0.21053316068328706	0.2901482038552228	0.2169001023460427	1.0	0.24780747635014785	0.12045733414003879	0.28326105026265047	0.16820374213320818	0.16183680047045254	0.2585736015063528	0.2103295994933588	0.1485940141701206	0.15314021407851808	-0.10059880916703892	-0.023200321174321886	-0.11138755223323589	0.26301802081978615	0.020667115255214842	0.1976522609428276	0.059422904026553425	0.01509180044218014	-0.05814499211200389	0.10007859723722229	-0.061345426375875735	0.13925281734341338	0.04464209984676366	0.13342870552046637	0.10461348819062374	0.10312070613114994	0.05494455784813204	0.10267965688630543	0.042289837207592836	0.13590536666459335	0.1601404572210505	-0.05698016974741449	0.015363215362084466	0.048249656490491996	0.06511130838954826	0.19016573273546658	0.04818180276051592	-0.20231155040118518	-0.2665464147785424	-0.22425092309345154	-0.3766051647997467	-0.32591842850761377	-0.28708347705130305	-0.23399924230001526	-0.3217228062040927	-0.2626561342599137	-0.3881968436706606	-0.42124161016901235	-0.4119230312522971	-0.2156561172964812	-0.32101034203934387	-0.26020209102577874	-0.16554613770914497	-0.2435892361366348	-0.15675907967724242	-0.03784541789415949	-0.17117799729715977	-0.20664288016465837	0.07810529767996788	-0.08399726323289096	-0.1060723433851095	-0.21060101441326315	-0.12723139818265095	-0.055510005597932725	-0.21070279500822728	0.021933718214768364	-0.059784790586425864	-0.09435626600923942	-0.19566188486352917	-0.2181440873956042	-0.2822206264030172	-0.19647612962324215	-0.24813543604503227	-0.15691740504718663	-0.004710179755839662	-0.05453743546827555	-0.06267988306540534	0.12077398487992717	-0.07765293948012734	-0.1432674963669982	0.13289718463565375	-0.05089595195955918	-0.24023047650281876	-0.2518221553737327
NmlR	0.05990918909138201	-0.056245087672673603	0.2364419765791542	0.05684446228746233	0.24780747635014785	1.0	-0.09406223317934306	0.0725412918219292	0.05436780114333535	-0.054978484713120085	0.18401366121763518	0.13894747555852102	0.14281513816715766	0.09869890472770863	0.16590802426901743	-0.10679611650485436	-0.12331849975403023	0.10123211064681568	0.04224460138760878	0.04996861764988606	0.2910981560748879	0.09524967345392449	-0.11369457905242267	-0.16145229600058805	-0.08925592730603729	0.08439307665775143	-0.0026519499465651876	-0.0005824111822947001	-0.13199246823597266	0.10400280462083901	0.029714279252025716	-0.1832785791428943	0.036160383599753466	-0.01244550497311296	-0.05273931162390939	-0.08954996013593364	-0.1391171098834612	0.10497537475049618	-0.08156583790874804	-0.05987526222639397	0.03712164477441462	-0.1602535467710106	-0.11036974628359467	-0.22344798728873458	-0.18611712684689372	-0.21284018750247383	-0.18757598204137946	-0.30106134542637586	-0.17755624791491142	-0.2502954464492709	-0.2448332211861963	-0.3392064506279297	-0.2546493941227361	-0.042866593912389526	-0.17376774799124686	-0.12726532504763896	0.012253252738180728	-0.1245398668935997	-0.11274462683275752	0.019909415270481932	-0.152246806633833	-0.01632447653674562	-0.012524667658085055	-0.030607686696710792	-0.09930958829749337	-0.023765768924122566	-0.1403497859780267	-0.162221304940317	-0.08932378103601336	-0.08132834985383176	-0.0341926254304471	-0.07675953203544227	0.03763054774923523	-0.14063250985292705	-0.25927475671610567	-0.0650660725695642	-0.14273597548218556	-0.19767487885281962	0.008758785644412528	-0.2593086835810937	-0.055102883218076236	0.006553539420189877	-0.02040700929030653	-0.1109804298533794	-0.07769817530011139	-0.11869313716066067	-0.15898694381145712	-0.05763608913718328
GguR	0.0286173106174124	0.08316040056318597	-0.048340128130460104	-0.09027373325567851	0.12045733414003879	-0.09406223317934306	1.0	0.1608981572057834	0.1553341513477447	0.3069306930693069	0.10646815680996997	0.2400156063578945	0.13122345929624374	0.10321117777111806	0.13358703089041057	-0.11379635964738678	0.022125970449700594	-0.012343724378148837	-0.051461399709359854	-0.09653889432347004	0.0894255616309775	-0.10504322848047226	0.21325861883732633	-0.019129097375756993	-0.1945988430939039	-0.002697185766549242	0.16559137352912903	0.038297776094000036	-0.022012880899740458	-0.1095668104788777	0.07206631571209662	0.2106462502332472	0.17003579284256237	-0.002810275316509378	0.061492442790823915	-0.013779961662642564	0.02056533466025072	-0.14065512776291908	-0.10806271946440789	-0.033649795590638444	-0.05172150567426817	-0.26625238194864603	-0.21280626063748578	-0.21849466500048062	-0.2774708653046915	-0.3265178031224025	-0.3467608325652668	-0.2036460070907148	-0.20336328321581446	-0.31010850942318674	-0.1562388677474258	-0.2995798723218981	-0.2876149979361157	-0.2840413681573754	-0.2909285217499477	-0.3436847968063511	-0.12783077279743965	-0.12261734454427739	-0.009923608009001928	0.0702908097777225	-0.11574149990670111	0.04414450582693906	-0.13923019943342135	-0.15786735726685175	-0.1407003635829031	-0.28234502490797336	-0.09405092422434705	-0.0801069827142623	-0.09944529575744554	-0.051461399709359854	-0.3049516259450046	-0.36086309944529577	-0.12444939525363159	-0.13682139201927046	-0.1172229730111789	-0.09191353173010049	-0.2782285652894244	-0.08599894826718538	-0.07929273795454932	-0.05210601014413263	-0.026581698718129952	-0.11259761041780934	-0.10575569264522112	-0.06265726515541331	-0.07355909777157042	-0.013802579572634591	-0.02894527031229679	0.03897631339376085
FixJ	0.05193637581919243	0.10862816721420857	0.12625882805299377	0.11494987305698016	0.28326105026265047	0.0725412918219292	0.1608981572057834	1.0	0.2768714906899028	0.2086445651989528	0.14481682320145206	0.2570242746718989	0.0211307824100514	0.12155430277465211	0.050726317634618975	-0.006847572250086231	0.09891377487263289	0.16559137352912903	0.00910936324928895	-0.0629739158953017	0.15940537514630962	0.0012383305720634885	0.017410136216362927	0.07225856794702885	0.003839390221146615	0.09364380184449056	-0.21479663671678417	0.013553782562722291	0.039473907413585446	-0.09285217499476961	-0.10325641359110212	-0.12299054005914584	0.033457543355706214	-0.14621913362095776	-0.024704412188791696	-0.16105648257572758	-0.17384691067621896	-0.23386353484006311	-0.05738729212727098	0.014831694477271827	-0.11230357758791298	-0.17440104947102364	-0.2159727680363696	-0.20747974283436338	-0.33573460144415357	-0.3013440693012762	-0.30911332138353753	-0.1659871869539895	-0.34748460568501166	-0.2926474829093418	-0.3403486550825271	-0.4557452318618498	-0.34559601020067743	-0.2079094831242119	-0.23291358262039796	-0.3030064856856902	-0.0017019977269000458	-0.18413805972259134	0.014967401937223991	-0.07493879028108408	-0.00013005298245415633	-0.04119286857297951	-0.1891818536508134	-0.35216651305336133	-0.13308943687058597	-0.1626397362751695	-0.10386709716088685	0.02100638390509525	-0.17181129877693652	-0.1286223996471606	-0.04852107141039632	-0.26105026265047976	-0.011913984088300321	-0.019660618260569633	-0.3112167870127961	-0.0353574477950365	-0.08841906463633228	-0.04328502524724203	-0.0999994345522502	-0.11515343424690841	-0.19194123866984072	-0.11354756263747448	-0.08954996013593364	-0.005750603615472912	-0.11811638045586398	-0.052863710128865544	0.02960118970206558	-0.0016002171319359235
LiuR	0.07675953203544227	0.30038280812661505	0.1473500291205591	0.1901091879604865	0.16820374213320818	0.05436780114333535	0.1553341513477447	0.2768714906899028	1.0	0.29896918875211337	0.30437486924020785	0.13704757111919072	-0.052377425064036955	0.13164189063109624	0.10139043601675987	0.13537384577978073	0.024681794278799667	0.12092100129487535	-0.004902431990771893	0.19040322079038285	0.0966746017834222	0.19045976556536293	0.0049589767657519605	0.19785582213275582	0.06025976669625843	0.19030144019541875	0.19145495360501213	0.18174056126343646	0.2312059304159999	0.09336107796959021	-0.0007068096872508496	0.0071642229899746114	0.12217629529943286	0.06333580245517413	0.13115560556626765	0.07226987690202487	0.07498402610106814	-0.1463322231709179	0.014990019847216018	0.15879469157652487	-0.04482304312669988	-0.1525860752837134	-0.12097754606985542	-0.16503723473432438	-0.28490084873707244	-0.2256984693329413	-0.4257765011224138	-0.2591277403011575	-0.37018167836201094	-0.237923449683632	-0.34573171766062955	-0.40460613736987633	-0.2494359658695738	-0.16867871824304076	-0.20511617124019654	-0.26385488348949115	-0.24271844660194175	-0.08166761850371217	-0.16612289441394168	-0.04497005954164805	-0.09820131070788404	0.009335542349209221	-0.13363226671039463	-0.12135074158472386	-0.07030211873271851	-0.2973293902776914	-0.09736444803817904	0.0051964648206682465	-0.01417577508750304	-0.17771457328485563	-0.19939384001221366	-0.12598741313308945	-0.005942855850405143	-0.08372584831298664	-0.05962646521648167	-0.13390368163029895	-0.2696903042674342	-0.07233773063200095	-0.12326195497905017	-0.06335842036516616	0.06702252178387456	0.006666628970150013	0.10721454783970687	-0.12311493856410198	-0.06899027995318092	0.06552973972440077	-0.023121158489349793	-0.11266546414778543
MetJ	0.04743541173077902	0.2150454337266965	0.13751123827402728	0.25938784626606576	0.16183680047045254	-0.054978484713120085	0.3069306930693069	0.2086445651989528	0.29896918875211337	1.0	0.045264092371544405	0.24469751372624413	0.1587494557565408	0.18143521947854407	0.08508292291250827	0.09440150182922347	-0.08667748556694618	0.07319721121169798	-0.15449728867803972	0.06116448309593952	0.2905440172800832	0.06225014277555682	0.1961707878383498	0.10941979406392953	0.003307869336333976	0.19140971778502808	-0.11812768941085999	0.003364414111314044	0.11746046106609519	0.07416978134135516	0.12793255339240378	-0.029080977772248957	0.03806028803908375	-0.07341208135662224	0.07473522909115583	0.03748353133428706	-0.05175543253925621	-0.10140174497175589	0.04433675806187129	0.0736269515015465	-0.1282944399522762	-0.17531707482570072	-0.2097302248785701	-0.2248729156182323	-0.2637983387145111	-0.20577209062996535	-0.2618192715902087	-0.20050211760182302	-0.24876873752480902	-0.2366116109040944	-0.34110635506726	-0.27955171302395804	-0.3174932570355836	-0.2776065727646437	-0.2332076154502943	-0.24396243165150325	-0.2100694935284505	-0.1266998772978383	-0.044856969991687916	-0.10412720312579517	-0.08567098857230097	-0.06709037551385064	-0.2620002148701449	-0.23248384233054945	-0.17108752565719165	-0.28175695924818067	-0.17798598820475994	-0.10331295836608219	-0.1713023958021159	-0.09971671067734986	-0.2968091783478748	-0.15062962606940306	-0.16526341383424464	-0.12477735494851598	-0.14640007690089396	0.0007633544622309175	-0.16728771677853108	-0.09889115696264086	0.026977512142990427	-0.020361773470322475	-0.05814499211200389	0.08789885270651565	-0.11527783275186457	0.15971071693120198	-0.1059931807001374	-0.01062476321875477	0.02663824349311002	0.022951524164409588
