	NiaR	HutC	PhnF	CcpA	Rex	AgaR	GulR	Irr	SiaR	MetR	FUR	SahR_SamR	IscR	KdgR	NagC	BirA	AraR	XylR	RbkR	NsrR	Zur	NrtR	ArgR	Phr	MntR	ThiR	ModE	PhrR	CzrA	NadQ	NarP	PsrA	HypR	HexR	HisR	TyrR	CblR	VanR	LldR	NagR	ExuR_UxuR	NrdR	PdhR	NmlR	NnrR	NtrC	GntR	HrcA	LiuR	PurR	FruR	CueR	FadP	MerR	AcnR	NifA	BioQ	PaaR	RbsR	PhnR	FnrN_FixK	DasR	FadR	FixJ	GlcC	PdxR	GguR	TtrR	CadR-PbrR	HcpR	CsoR	ZntR	MetJ	NorR	LtbR	RutR	TrpR	NagQ	PhsR	LiuQ	PrpR	AmtR	NikR	FabR	QorR	SdaR	LexA	SoxR
FUR	0.5777885059401369	0.5617312455396499	0.5726249947525293	0.6503505310440367	0.5379077284748751	0.829415221863062	0.884534654296629	0.6635741572562025	0.7483942739599513	0.956173124553965	1.0	0.962281180471013	0.9208261617900172	0.9617144536333487	0.9617144536333487	0.818584442298812	0.8534906175223542	0.8379371143109021	0.908043323118257	0.9285924184543051	0.9427395995130348	0.9186222240879895	0.9059233449477352	0.8964988875362075	0.9405986314596364	0.9188111330338776	0.6970320305612695	0.6510222072960833	0.7735401536459426	0.7716720540699383	0.1794844884765543	0.15339406406112255	0.36083707652911295	0.1999496242810965	0.24407035808740188	0.2734771839973133	0.3305486755383905	0.1439696066495949	0.44748331304311323	0.5052264808362369	0.31732504932622474	0.2952646824230721	0.22377314134587128	-0.6428991226228957	-0.9054405776415767	-0.8482431468032409	-0.7876663448217959	-0.7575878426598379	-0.842323999832081	-0.8072708954284035	-0.7293564501910079	-0.8030939087359893	-0.8745224801645607	-0.7992317702867218	-0.7997775072415096	-0.7653121195583729	-0.7350447084505268	-0.6755593803786575	-0.7690693085932581	-0.5463876411569624	-0.3465009865244952	-0.4713907896393938	-0.4190210318626422	-0.5747029931572982	-0.5858276310818186	-0.5211368120565887	0.09013055707149153	-0.015112715671046556	-0.28157927878762434	-0.3005961126736913	-0.4479031107006423	-0.45180722891566266	-0.11275765081230847	-0.2384030897107594	-0.18993745014902816	-0.1827799000881575	-0.02940682590991142	-0.24940178833802107	-0.16451870198564292	0.19505898157088283	0.0025397758280508794	-0.11336635741572562	-0.04645061080559171	-0.6575080811049074	-0.4874270601570043	-0.2938163805045968	-0.12631711515049746	-0.12692582175391462
SahR_SamR	0.5700642290416019	0.5548255740732967	0.6179631417656689	0.627408589060073	0.5208009739305655	0.8324587548801478	0.8721506233995214	0.6678351034801225	0.7163427228076067	0.935393140506276	0.962281180471013	1.0	0.9190630116283951	0.9411233785315478	0.9418160446664707	0.8310734226103018	0.8684983837790186	0.8476974098484531	0.8810923135048906	0.9453633348725914	0.9208681415557701	0.9074136266319633	0.9110868561353428	0.9026699131018849	0.9239956341043617	0.9164602661517148	0.7220729608328785	0.6613492296712984	0.8134419209940809	0.7826497628143235	0.16527433776919526	0.17159229251500777	0.3321648965198774	0.1952478905167709	0.2505142521304731	0.27719239326644557	0.34635405734436003	0.1753704714327694	0.46412829016414087	0.5262583434784434	0.28900969732588894	0.2746526174383947	0.2572100247680618	-0.6479576843961211	-0.8789513454514923	-0.8474455312539356	-0.7675160572604005	-0.7847067713362159	-0.8456404013265606	-0.7788505940136854	-0.7292305108937492	-0.814932202678309	-0.8846186138281349	-0.8055287351496578	-0.8005961126736912	-0.7584064480920196	-0.7499265354099324	-0.7022795012803829	-0.7554258847235632	-0.5716594601402124	-0.36293606481675833	-0.4546828428697368	-0.45407413626631965	-0.5626128206204609	-0.5721422274463709	-0.5363544771420176	0.07801939465177785	-0.03956592922211494	-0.28785525376768395	-0.2949918139456782	-0.4381428151630914	-0.47227236472020484	-0.11032282439863986	-0.2447840141052013	-0.17618907686495108	-0.15771797993367198	-0.030288400990722473	-0.2238571008773771	-0.13937282229965156	0.12570840854708032	-0.001070484026699131	-0.06928760337517317	0.026762100667478275	-0.6100919356869988	-0.5110406783930146	-0.27291045715964907	-0.12360942025943496	-0.16015280634734058
IscR	0.5385584148440452	0.5211997817052181	0.5420007556357835	0.6189706561437387	0.5287981193064942	0.7912975945594224	0.8137357793543512	0.6637210864363376	0.6979975651735864	0.918643213970866	0.9208261617900172	0.9190630116283951	1.0	0.9113597246127366	0.9151588934133748	0.780592754292431	0.8145753746694093	0.8225725200453381	0.8573107762058688	0.8955333529238907	0.9069938289744344	0.8822257671802192	0.8629780445825113	0.8678896771756014	0.9051047395155535	0.8841778262877293	0.6416187397674321	0.6475168968557156	0.7117039586919105	0.7360732127114731	0.23758448427857773	0.2517316653373074	0.31426052642626257	0.28248184375131186	0.2737920322404601	0.29847613450316945	0.2909827463162756	0.12904579992443643	0.4244784014105201	0.43650560429872803	0.24602241719491205	0.2960622979723773	0.2305948532807187	-0.6142269426136602	-0.8835481298014357	-0.8369086100499559	-0.7554468746064397	-0.7121027664665631	-0.7786616850677973	-0.7409848453045632	-0.7735821334116956	-0.7856932958314092	-0.8253221947021535	-0.7631081818563452	-0.7724696696192436	-0.7575248730112086	-0.6848998782586793	-0.6253096007724277	-0.7152512488980312	-0.48631459636455227	-0.44838587800680074	-0.46288988707443013	-0.4675286511901264	-0.5989043281138491	-0.6241551572142228	-0.5369421938625583	0.0709877838881659	-0.003274421728726754	-0.22685865412870995	-0.25769279207422024	-0.39574325175265523	-0.38403089710759414	-0.13706393518324167	-0.22587212963351663	-0.22687964401158642	-0.17268376642458336	0.04651358045422106	-0.20819864825154275	-0.0558960580999958	0.16034171529322866	0.04090928172620797	-0.06011502455816296	-0.0057092481423953656	-0.6124637924520381	-0.44572016288149113	-0.2853784475882625	-0.030435330170857647	-0.07073590529364847
KdgR	0.5620460937827967	0.487133201796734	0.4985936778472776	0.6738801897485412	0.5384324755467864	0.8086772175811259	0.8295621510431972	0.6216363712690484	0.6975357877503043	0.9397170563788254	0.9617144536333487	0.9411233785315478	0.9113597246127366	1.0	0.9734477981612862	0.8279459300617102	0.8319759875739894	0.8265396079089878	0.9016623987238152	0.9164602661517148	0.9280466814995172	0.9221695142941102	0.8803786574870912	0.8900969732588893	0.9488476554300826	0.9398639855589606	0.6496998446748667	0.6295285672305948	0.7160488644473364	0.7236052222828596	0.21071743419671718	0.20456739851391628	0.2992317702867218	0.19913101884891482	0.29402627933336134	0.30082700138533225	0.30603249233869273	0.12174132068343059	0.48119306494269765	0.48320809369883716	0.32416775114394863	0.3033038075647538	0.20450442886528694	-0.6554300827001386	-0.8601863901599429	-0.8360480248520213	-0.7876033751731666	-0.7306368330464716	-0.8213341169556274	-0.763884807522774	-0.733197598757399	-0.7579236807858613	-0.8800638092439445	-0.7911506653792871	-0.7785777255362915	-0.735191637630662	-0.6835985055203392	-0.6813945678183115	-0.7353175769279208	-0.5168758658326686	-0.35831829058393855	-0.4568448008060115	-0.4551236304101423	-0.5698963099785903	-0.5875278115948113	-0.5294907854414173	0.0031065026657151255	-0.016875865832668653	-0.26495529154947317	-0.28082364300407203	-0.39618403929306073	-0.45627807396834724	-0.17593719827043366	-0.25202552369757775	-0.26982494437681037	-0.16659670039041183	-0.018534066579908484	-0.2158599555014483	-0.0904663951975148	0.19046219722093952	-0.018890894588808195	-0.12747155870870241	-0.07499685151756853	-0.6314596364552286	-0.46205029175937196	-0.29713278199907645	-0.07646614331892028	-0.09753998572687965
NagC	0.5573023802527182	0.49762814323496074	0.5238025271818983	0.6725998068930775	0.6101549053356282	0.7901011712354645	0.8344947735191638	0.6294655975819655	0.6875865832668654	0.9255698753200957	0.9617144536333487	0.9418160446664707	0.9151588934133748	0.9734477981612862	1.0	0.8692540195625709	0.8204315519919398	0.832374795348642	0.8997733092649343	0.9403677427479955	0.9441669115486335	0.951639309852651	0.9179085680701902	0.9352881910918938	0.9599932832374796	0.9494773519163763	0.6877754922127535	0.6733134629108769	0.7508291003736199	0.768838419881617	0.2384030897107594	0.26499727131522605	0.31713614038033666	0.2625834347844339	0.33350824902397047	0.32248856051383235	0.2782628772931447	0.08146173544351623	0.46463204735317576	0.4422988119726292	0.2625834347844339	0.2911296754964107	0.17167625204651357	-0.6282481843751312	-0.8605432181688426	-0.8177658368666303	-0.7594559422358423	-0.7033080055413291	-0.7956634901977246	-0.7301330758574367	-0.7428949246463205	-0.8241047814953193	-0.877964820956299	-0.7990428613408337	-0.7698249443768104	-0.7335964065320516	-0.6988581503715209	-0.6410310230468914	-0.7436925401956257	-0.5712186725998069	-0.3955123630410142	-0.5369421938625583	-0.5010075143780698	-0.6172914655136225	-0.6131144788212082	-0.5699802695100962	-0.014336090004617774	-0.04267243188783006	-0.31245539649888754	-0.33812602325679025	-0.45172326938415686	-0.4572226186977877	-0.15459048738508038	-0.28256580328281766	-0.2918013517484572	-0.23242097309097015	0.009403467528651191	-0.2106544645480878	-0.10211578019394651	0.17455186600058772	-0.03721506233995214	-0.13376852357163846	-0.04365895638302338	-0.5919356869988666	-0.4455102640527266	-0.23242097309097015	-0.037613870114604764	-0.08563872213593048
BirA	0.6279963057806137	0.49307333865077035	0.5473531757692792	0.6773645103060325	0.6991310188489148	0.5208639435791949	0.6272616598799379	0.45399017673481384	0.46799042861340834	0.7200159523109861	0.818584442298812	0.8310734226103018	0.780592754292431	0.8279459300617102	0.8692540195625709	1.0	0.7775702111582218	0.8477603794970824	0.8561563326476638	0.8849544519541581	0.8637126904831871	0.9184543050249779	0.9266823391125477	0.9354771000377818	0.8921329918979052	0.9041811846689896	0.7729734268082784	0.7436295705469963	0.8296251206918266	0.7888207883800008	0.3595357037907728	0.4229881197262919	0.36593761806809116	0.3787624365056043	0.5575122790814827	0.42668233911254777	0.12717770034843207	-0.05266361613702195	0.37964401158641536	0.33252172452877715	0.24201334956550943	0.21443264346584945	0.19667520255236975	-0.561458377062256	-0.7421182989798917	-0.6730196045506066	-0.5247050921455858	-0.5565677343520423	-0.6227698249443768	-0.5378237689433693	-0.7625204651358045	-0.8056336845640402	-0.8449267453087612	-0.8127912346249108	-0.7344779816128626	-0.743104823475085	-0.6389740145249989	-0.6286889719155367	-0.6978716258763276	-0.5444775618152051	-0.4481130095294068	-0.6114982578397212	-0.5611225389362328	-0.6444733638386297	-0.5922715251248898	-0.5122790814827253	-0.25085009025649635	-0.15950211997817051	-0.3909365685739474	-0.48390075983376013	-0.37893035556861593	-0.432202678309055	-0.18668401830317788	-0.21928130641031024	-0.4514294110238865	-0.3458293102724487	0.14182863859619663	0.008500902564963688	-0.05255866672263969	0.05929641912598128	-0.014587968599135217	-0.08297300701062088	0.10329121363502791	-0.3227824188741027	-0.2532219470215356	-0.06865790688887956	-0.0896058099995802	-0.046681499517232695
AraR	0.6640989043281138	0.6639939549137316	0.6139540741362663	0.5856807019016834	0.54202174551866	0.6540237605474162	0.7433567020696025	0.6134293270643549	0.6490491583056966	0.781936106796524	0.8534906175223542	0.8684983837790186	0.8145753746694093	0.8319759875739894	0.8204315519919398	0.7775702111582218	1.0	0.7351076780991562	0.8145753746694093	0.8523991436127787	0.8745014902816842	0.8499853070819865	0.8573527559716216	0.8421560807690693	0.8522102346668906	0.8375802863020024	0.7334074975861634	0.7392007052600646	0.791234624910793	0.6953108601654002	0.25234037194072456	0.15236555980017633	0.411191805549725	0.32053650140632217	0.3291633432685446	0.36658830443726126	0.24046009823265185	0.12514168170941606	0.3974224423827715	0.49987406070274126	0.19644431384072877	0.3742915914529197	0.27610091935687	-0.5793417572729944	-0.8146803240837917	-0.7967339742244238	-0.6364132488140716	-0.6799042861340834	-0.7472188405188699	-0.6942193862558247	-0.7509130599051257	-0.7163637126904832	-0.8523151840812728	-0.7550690567146635	-0.7902271105327232	-0.7584904076235255	-0.7899122622895765	-0.7543344108139877	-0.7547961882372697	-0.47735191637630664	-0.39756937156290667	-0.5276436757482893	-0.41217833004491833	-0.5195625708408547	-0.6049494143822678	-0.45348641954577895	0.0638512237101717	0.046681499517232695	-0.19732588892153982	-0.3667352336173964	-0.25777675160572605	-0.39406406112253894	-0.07029511775324293	-0.15213467108853532	-0.230007136560178	-0.23951555350321146	0.14271021367700767	-0.04200075563578355	0.03251332857562655	0.037299021871457956	-0.0644389404307124	-0.11458377062255992	0.06303261827799	-0.4508626841862222	-0.3837370387473238	-0.27847277612190924	-0.21298434154737417	-0.22297552579656604
XylR	0.5831829058393854	0.5195205910751018	0.5712396624826833	0.6299903446538768	0.529154947315394	0.6209646950170018	0.6880903404559002	0.5305612694681163	0.5825322194702154	0.7829226312917174	0.8379371143109021	0.8476974098484531	0.8225725200453381	0.8265396079089878	0.832374795348642	0.8477603794970824	0.7351076780991562	1.0	0.822656479576844	0.8497963981360984	0.8447378363628731	0.8572687964401159	0.8663993954913731	0.8687712522564124	0.863292892825658	0.8271902942781579	0.7628143234960749	0.7012300071365601	0.7701817723857101	0.7284958649930733	0.280172956634902	0.31451240502078	0.4121573401620419	0.30865622769824946	0.3991016330128878	0.41198942109903025	0.28273372234582933	0.009655346123168632	0.3483061164518702	0.3678686872927249	0.2004533814701314	0.17845598421560807	0.24413332773603122	-0.6639099953822257	-0.8142185466605096	-0.7386969480710298	-0.6122538936232735	-0.6162629612526762	-0.652071701439906	-0.598946307879602	-0.6842282020066328	-0.7550060870660342	-0.8076277234373033	-0.8319759875739894	-0.7510809789681373	-0.7569371562906679	-0.6216783510348012	-0.6475588766214685	-0.665400277066454	-0.5115024558162965	-0.40810629276688637	-0.48096217623105664	-0.46849418580244323	-0.605285252508291	-0.6180261114142983	-0.510599890852609	-0.10887452248016456	-0.11107846018219218	-0.24938079845514463	-0.31889929054195876	-0.389761135132866	-0.42067923260988205	-0.2102136770076823	-0.140086478317451	-0.3285756265480039	-0.23756349439570126	0.09437051341253516	-0.14111498257839722	-0.1498467738550019	0.2001385332269846	0.018890894588808195	-0.02850426094622392	0.06771336215943916	-0.40493682045254187	-0.3860879056294866	-0.19703203056126947	-0.05075353679526468	-0.04202174551866
RbkR	0.6597959783384408	0.5760883254271442	0.6058729692288317	0.693169892112002	0.5934469585659712	0.6919314890222913	0.7594769321187188	0.5713446118970656	0.5849460560010075	0.8562612820620461	0.908043323118257	0.8810923135048906	0.8573107762058688	0.9016623987238152	0.8997733092649343	0.8561563326476638	0.8145753746694093	0.822656479576844	1.0	0.9210780403845347	0.9302925989672978	0.923407917383821	0.9160194786113094	0.8851433609000462	0.9185172746736073	0.8987867847697409	0.7873724864615256	0.6774694597204147	0.7963771462155241	0.7874144662272784	0.2824188741026825	0.23101465093824777	0.3747953486419546	0.26130305192897024	0.4144662272784518	0.40923974644221484	0.23838209982788297	0.05090046597539986	0.40422316443474243	0.46849418580244323	0.3303177868267495	0.32599387095420007	0.2498845556441795	-0.6592292515007766	-0.8373703874732379	-0.7732462952856723	-0.7253683724444817	-0.6227068552957474	-0.7426220561689266	-0.7118718777549221	-0.7715041350069267	-0.7829856009403467	-0.8681415557701188	-0.8416943033457873	-0.8043533017085764	-0.7889887074430124	-0.7076948910625078	-0.6540027706645397	-0.770223752151463	-0.541790856807019	-0.3900969732588892	-0.5158053818059696	-0.48203266025775576	-0.6332227866168507	-0.6333907056798623	-0.5111456278073968	-0.049934931363082996	-0.0632215272238781	-0.24182444061962136	-0.3711221191385752	-0.34127450568825823	-0.48471936526594184	-0.1543176189076865	-0.22368918181436548	-0.28584022501154444	-0.2643675748289325	0.11775324293690441	-0.09604970404265144	-0.06983334032996096	0.11380714495613115	0.027601695982536416	-0.05045967843499433	-0.03549389194408295	-0.4989085260904244	-0.3327526132404181	-0.24327274253809664	-0.1254355400696864	-0.1526804080433231
NsrR	0.6178162125855338	0.5879476092523404	0.6597120188069351	0.637168884597624	0.5956508962679988	0.7404391083497754	0.8011628395113555	0.6299903446538768	0.6457117669283405	0.8716468662104866	0.9285924184543051	0.9453633348725914	0.8955333529238907	0.9164602661517148	0.9403677427479955	0.8849544519541581	0.8523991436127787	0.8497963981360984	0.9210780403845347	1.0	0.9375131186767978	0.9524159355190798	0.9445447294404097	0.9467906469081903	0.9180554972503253	0.9334200915158893	0.8103773980941187	0.6990260694345326	0.8586121489442089	0.8126652953276521	0.23917971537718818	0.23928466479157046	0.3712690483187104	0.2862600226690735	0.3906007304479241	0.38459762394525837	0.21357205826791487	0.0866252466311238	0.44769321187187777	0.46121069644431384	0.21191385752067504	0.28823307165946016	0.20738004281936107	-0.623609420259435	-0.8351664497712102	-0.8181016749926535	-0.7471138911044877	-0.7146005625288611	-0.8001553251332858	-0.711955837286428	-0.7816212585533773	-0.872318542462533	-0.8836320893329416	-0.8117417404810882	-0.7800260274547668	-0.7734981738801897	-0.7670962596028714	-0.6913227824188741	-0.7854414172368919	-0.5955879266193694	-0.41492800470173374	-0.5842533898660845	-0.5531883632089333	-0.6277444271860964	-0.5965324713488098	-0.5942235842324	0.05201292976785189	-0.05690357247806557	-0.30766970320305614	-0.4310062549850972	-0.40905083749632676	-0.4523739557533269	-0.14289912262289575	-0.23309264934301666	-0.28600814407455605	-0.29360648167583225	0.11128835901095673	-0.09795978338440872	-0.08448427857772553	0.0626338105033374	-0.0245371730825742	-0.08712900382015869	0.04231560387893035	-0.4974182444061962	-0.41232525922505353	-0.23584232399983207	-0.11634692078418202	-0.19111288359010956
Zur	0.6618949666260863	0.6054951513370556	0.6173964149280047	0.6722219890013014	0.5875068217119348	0.7289156626506024	0.8049829981948701	0.5968683094748332	0.6647705805801604	0.8995844003190462	0.9427395995130348	0.9208681415557701	0.9069938289744344	0.9280466814995172	0.9441669115486335	0.8637126904831871	0.8745014902816842	0.8447378363628731	0.9302925989672978	0.9375131186767978	1.0	0.9615675244532136	0.9466647076109316	0.9402418034507367	0.9538012677889257	0.9266613492296712	0.7717770034843205	0.7848327106334747	0.8210822383611099	0.7825238235170647	0.268187733512447	0.2544603501112464	0.40185130766970323	0.3498803576676042	0.39223794131228745	0.38627681457537466	0.24938079845514463	0.029070987783888166	0.41350069266613493	0.4769950883674069	0.2754922127534528	0.3708492506611813	0.21298434154737417	-0.6481465933420092	-0.8857520675034634	-0.8392804668149951	-0.7450149028168422	-0.7008731791276605	-0.7902061206498467	-0.7305738633978422	-0.8049410184291171	-0.8416523235800344	-0.8745644599303136	-0.8209562990638513	-0.8321019268712481	-0.7992737500524747	-0.789198606271777	-0.6798203266025775	-0.7795432601486084	-0.5533143025061921	-0.44141723689181817	-0.5874858318290584	-0.4955711347130683	-0.6076361193904538	-0.6699760715335208	-0.5394399899248562	-0.005541329079383737	-0.03866336425842744	-0.287624365056043	-0.31539398010159103	-0.36534990134755047	-0.4171109525208849	-0.17812014608958482	-0.2185256706267579	-0.27051761051173334	-0.30915998488728436	0.1416187397674321	-0.1356995927962722	-0.06517358633138827	0.15633264766382604	-0.007493388186893917	-0.07820830359766592	-0.005961126736912808	-0.4885395239494564	-0.38518534066579907	-0.2636749086940095	-0.08211242181268628	-0.1555770118802737
NrtR	0.6474959069728391	0.5915578691070904	0.6160740523067881	0.6713614038033667	0.6515889341337475	0.6674992653540993	0.7615969102892406	0.543826875446035	0.6035221023466689	0.8518743965408673	0.9186222240879895	0.9074136266319633	0.8822257671802192	0.9221695142941102	0.951639309852651	0.9184543050249779	0.8499853070819865	0.8572687964401159	0.923407917383821	0.9524159355190798	0.9615675244532136	1.0	0.9690819025229839	0.968578145333949	0.9627849376600478	0.9525838545820914	0.805675664329793	0.7703706813315981	0.8242936904412074	0.7740019310692247	0.3385878006800722	0.3165064438940431	0.41734184123252593	0.36595860795096763	0.4910583098946308	0.45121951219512196	0.19808152470509213	-0.013412535158053818	0.41415137903530497	0.41064606859493724	0.2748415263842828	0.3336551782041056	0.17887578187313716	-0.635090886192855	-0.8488098736409051	-0.802946979555854	-0.6935057302380253	-0.6529952562864699	-0.7419713697997565	-0.66447672221989	-0.8390495781033542	-0.8496914487217161	-0.8822047772973427	-0.831409260736325	-0.7963981360984006	-0.7581545694975022	-0.752634230300995	-0.6659250241383653	-0.759812770244742	-0.5740103270223752	-0.485097183157718	-0.6595021199781705	-0.5911380714495613	-0.6430250619201545	-0.6699550816506444	-0.589689769531086	-0.08691910499139414	-0.08622643885647117	-0.3055497250325343	-0.4004659753998573	-0.34316359514713907	-0.4425716804500231	-0.20034843205574912	-0.25613954074136264	-0.3561983124134167	-0.3658326686537089	0.17786826749506737	-0.06343142605264263	-0.02229125561479367	0.13242517106754545	-0.019772469669619243	-0.07963561563326477	0.02892405860375299	-0.43978002602745475	-0.34620712816422483	-0.18370345493472146	-0.04290332059947106	-0.11422694261366022
ArgR	0.6329499181394568	0.6071953318500483	0.652953276520717	0.6286679820326603	0.6703328995424206	0.6572981822761429	0.7549641073002813	0.5344443978002603	0.5955459468536165	0.8238319130179254	0.9059233449477352	0.9110868561353428	0.8629780445825113	0.8803786574870912	0.9179085680701902	0.9266823391125477	0.8573527559716216	0.8663993954913731	0.9160194786113094	0.9445447294404097	0.9466647076109316	0.9690819025229839	1.0	0.9635405734436002	0.9445237395575332	0.9446076990890391	0.8221737122706855	0.7891566265060241	0.8816590403425549	0.8144704252550271	0.30074304185382644	0.30382855463666514	0.45283573317660886	0.3641114982578397	0.4725662230804752	0.4144242475126989	0.1854456152134671	-0.0136014441039419	0.40625918307375847	0.42326098820368585	0.22906259183073757	0.30626338105033374	0.22501154443558205	-0.5840644809201965	-0.8383569119684312	-0.7825867931656941	-0.6580538180596952	-0.6495948952604844	-0.7158389656185719	-0.6525964485118173	-0.831409260736325	-0.8453255530834138	-0.8711011292556987	-0.8309264934301667	-0.7985600940346753	-0.763234121153604	-0.7710633474665212	-0.6798623063683304	-0.7465051845010705	-0.5850090256496369	-0.5012384030897108	-0.636707107174342	-0.559842156080769	-0.656374627429579	-0.655870870240544	-0.5793417572729944	-0.09382477645774737	-0.09208261617900172	-0.2999454263045212	-0.44662272784517865	-0.3833802107384241	-0.4142353385668108	-0.19008437932916333	-0.2687754502329877	-0.33814701313966666	-0.3537634859997481	0.17874984257587842	-0.08702405440577642	-0.0597372066663868	0.08763276100919357	-0.017946349859367786	-0.09470635153855841	0.13263506989630997	-0.3854791990260694	-0.3563452415935519	-0.16074052306788128	-0.11007094580412241	-0.133978422400403
Phr	0.6376726417866588	0.5837706225599261	0.6299273750052474	0.6596280592754292	0.6659250241383653	0.6374837328407708	0.7262079677595399	0.5293648461441585	0.5981277024474203	0.8214600562528861	0.8964988875362075	0.9026699131018849	0.8678896771756014	0.8900969732588893	0.9352881910918938	0.9354771000377818	0.8421560807690693	0.8687712522564124	0.8851433609000462	0.9467906469081903	0.9402418034507367	0.968578145333949	0.9635405734436002	1.0	0.938310734226103	0.9375550984425507	0.8072708954284035	0.7692372276562697	0.8530498299819487	0.7889677175601361	0.3181646446412829	0.36898115108517693	0.4293480542378574	0.38755719743083833	0.4850132236262122	0.42546492590571344	0.19885815037152094	-0.006716762520465136	0.41900004197976576	0.39320347592460436	0.22637588682255153	0.30850929851811426	0.1616430880315688	-0.5820914319298098	-0.8302758070609966	-0.7825658032828177	-0.6379035304982998	-0.6479366945132446	-0.7355484656395618	-0.6316905251668695	-0.7952856723059485	-0.8573527559716216	-0.8724025019940389	-0.8211661978926158	-0.7732882750514252	-0.7535787750304354	-0.7666974518282188	-0.6636581167877084	-0.7644935141261912	-0.5818815331010453	-0.478065572394106	-0.6470551194324335	-0.601633012887788	-0.6375257126065237	-0.6584946056001008	-0.5666848578984929	-0.0849040762352546	-0.10392091012132153	-0.2917383820998279	-0.4352462113261408	-0.3831493220267831	-0.4194618194030477	-0.2060996599638974	-0.2521934427605894	-0.3796230217035389	-0.3677217581125897	0.1613072499055455	-0.09800176315016162	-0.07881701020108307	0.11823601024306285	-0.04164392762688384	-0.13315981696822132	0.07783048570588975	-0.39022291255614794	-0.31495319256118554	-0.17188615087527812	-0.055623189622601904	-0.12106964443138407
MntR	0.572981822761429	0.5531463834431803	0.5149867763737879	0.691826539607909	0.6401914277318332	0.7222828596616431	0.7870366483355022	0.5618781747197851	0.6399185592544394	0.893140506275975	0.9405986314596364	0.9239956341043617	0.9051047395155535	0.9488476554300826	0.9599932832374796	0.8921329918979052	0.8522102346668906	0.863292892825658	0.9185172746736073	0.9180554972503253	0.9538012677889257	0.9627849376600478	0.9445237395575332	0.938310734226103	1.0	0.9591956676881743	0.7253893623273582	0.7359682632970908	0.762499475252928	0.764346584946056	0.3184794928844297	0.2892825658032828	0.363292892825658	0.2905629486587465	0.40861004995592126	0.379811930649427	0.2617648293522522	0.013118676797783469	0.4483438982410478	0.45058981570882833	0.28942949498341797	0.3302758070609966	0.20091515889341338	-0.6281222450778725	-0.8653499013475505	-0.8030309390873599	-0.6945762142647244	-0.6443264346584946	-0.7431887830065909	-0.7115360396288989	-0.8271902942781579	-0.7886318794341127	-0.875970782083036	-0.831640149447966	-0.8288275051425213	-0.7606943453255531	-0.729776247848537	-0.6630284203014147	-0.7199319927794803	-0.56729356450191	-0.42605264262625414	-0.580895008605852	-0.5100751437806977	-0.6381344192099409	-0.656563536375467	-0.5543847865328911	-0.09934511565425465	-0.06704168590739264	-0.29062591830737583	-0.3386297804458251	-0.39265773896981654	-0.43142605264262623	-0.1748667142437345	-0.2473657696990051	-0.3262877293144704	-0.24001931069224633	0.0930901305570715	-0.14835649217077368	-0.07207925779774149	0.17341841232525923	-0.012384030897107594	-0.09180974770160782	0.009214558582763108	-0.5084379329163343	-0.366903152680408	-0.19887914025439737	-0.07929977750724151	-0.08253221947021536
ThiR	0.5813357961462575	0.5157843919230931	0.5240963855421686	0.6313756769237228	0.6587254943117418	0.7014189160824482	0.7456445993031359	0.5372780319885815	0.5961126736912808	0.8547080307291886	0.9188111330338776	0.9164602661517148	0.8841778262877293	0.9398639855589606	0.9494773519163763	0.9041811846689896	0.8375802863020024	0.8271902942781579	0.8987867847697409	0.9334200915158893	0.9266613492296712	0.9525838545820914	0.9446076990890391	0.9375550984425507	0.9591956676881743	1.0	0.7028882078838	0.6859703622853784	0.7910876957306578	0.7778220897527391	0.297993367197011	0.31461735443516226	0.3512447000545737	0.2664455732337014	0.43658956383023384	0.36910709038243567	0.20444145921665757	0.008437932916334327	0.46549263255111034	0.4090088577305739	0.2456445993031359	0.28693169892112	0.16107636119390453	-0.5796985852818941	-0.8107762058687713	-0.774526678141136	-0.6908610049955921	-0.6514839847193653	-0.7303429746862012	-0.6784349943327316	-0.8212291675412451	-0.8159816968221317	-0.8567230594853281	-0.8014986776373788	-0.7468200327442173	-0.7200369421938626	-0.7079677595399018	-0.689139834599723	-0.7176860753116998	-0.5520758994164813	-0.4753158977372906	-0.5668527769615046	-0.5722681667436296	-0.6466982914235339	-0.6138071449561311	-0.5740523067881281	-0.10671256454388985	-0.07472398304017464	-0.3042483522941942	-0.4242265228160027	-0.3901599429075186	-0.39591117081566685	-0.18110070945804121	-0.29278787624365055	-0.3581923512866798	-0.3106292766886361	0.06383023382729525	-0.12109063431426052	-0.05816296545065278	0.14117795222702656	-0.06930859325804963	-0.13758868225515303	0.06842701817723858	-0.4639183913353763	-0.34123252592250536	-0.1642038537424961	-0.10562109063431425	-0.07335964065320516
