	ModE	PhrR	NiaR	HutC	PhnF	CcpA	Rex	AgaR	Irr	SiaR	GulR	IscR	MetR	BirA	XylR	MntR	ThiR	Phr	ArgR	NrtR	RbkR	NsrR	Zur	FUR	SahR_SamR	KdgR	NagC	NadQ	AraR	CzrA	HexR	HypR	TyrR	HisR	PsrA	NarP	TrpR	LldR	NagR	CblR	VanR	NrdR	ExuR_UxuR	PdhR	FabR	QorR	NmlR	LiuR	PurR	GntR	HrcA	BioQ	NnrR	NtrC	FruR	PaaR	CueR	RbsR	MerR	FadP	AcnR	NifA	PdxR	PhnR	DasR	FadR	FnrN_FixK	FixJ	GlcC	HcpR	CsoR	ZntR	LtbR	RutR	GguR	TtrR	CadR-PbrR	PrpR	MetJ	NorR	SdaR	SoxR	AmtR	LexA	LiuQ	NikR	NagQ	PhsR
GulR	0.6437362061871096	0.5527275901195775	0.48659708973927357	0.520856868539508	0.5914562525717278	0.4995598448858465	0.39401239416950334	0.8383072108131024	0.7441863364879862	0.7954388458708962	1.0	0.8353695183231711	0.8906021272085687	0.6513921619970324	0.7037718674796444	0.7910447761194029	0.7759323682340179	0.7511190912604895	0.78599234404419	0.7783762889811594	0.7788750483173107	0.8251748774922381	0.8333445554183967	0.9012805645955685	0.8785620768338758	0.8228955473260265	0.8364468384892579	0.7107943989326551	0.7715831868227784	0.7415478995997457	0.2682402523722241	0.3515629870696642	0.13995436352074214	0.06522026459182782	0.08102594795446327	0.036915672265240215	-0.03472113118617439	0.3911694659534408	0.5573760271325079	0.3199466327510318	0.3317373034576491	0.18732153767503334	0.19298744373371238	0.21993541066596842	-0.6734273494681978	-0.5910871706629759	-0.6036658811207122	-0.8215189715582488	-0.7963864886095836	-0.8036234865771393	-0.7710395391463734	-0.7090836544096559	-0.8371451015598699	-0.8385316525143705	-0.5785333981720471	-0.59377049589147	-0.7324305789348995	-0.7248394618386763	-0.6829935535355802	-0.7521565106796843	-0.7314031347024277	-0.7323856905946459	-0.4848364692826594	-0.4743675108168431	-0.3331737303457649	-0.284604546191349	-0.29570692901407747	-0.4740283544682602	-0.4636990486165663	-0.22224965398571053	-0.4743974363770122	-0.3653536827142483	-0.07115051309866706	-0.11611366725270889	0.15567525779623187	-0.014162271350016834	-0.16632376962306264	-0.20552625344455666	-0.11467225277123157	-0.1892666990860235	-0.3379119440392025	-0.1865434731106373	-0.13001408995124628	-0.1723836955573012	0.029070187907579894	-0.05848701355378496	-0.14470753999426428	-0.19202982580830186
IscR	0.7086497337872043	0.6313819374306413	0.5472711629820821	0.5813264504544945	0.6291275452312373	0.5860696517412936	0.5463634209902867	0.7553834835845834	0.7079414955298694	0.7072332572725346	0.8353695183231711	1.0	0.9154952056758813	0.7317422910510106	0.7836830883178094	0.8810309355478247	0.8710208356712678	0.8389855235102682	0.8490055985735483	0.853998179528423	0.8438284766642976	0.8810409107345478	0.8945523011508871	0.9101634683724236	0.8974600680806494	0.8566964675370017	0.8703574857541865	0.7612838065312535	0.8039975560792528	0.762765121759623	0.4128255963291313	0.3935385728001596	0.24780109477674286	0.2130774697938877	0.2628087632015362	0.24422499033653786	0.11536054065512039	0.4754149054227609	0.465290090898889	0.29814087457449595	0.24143193805409044	0.2558660332423098	0.22625469145500568	0.3206648461950897	-0.6373121859374805	-0.4606516290726817	-0.6638461826207309	-0.8246112794423871	-0.7670744024239704	-0.7804860409730795	-0.6694173244055412	-0.7018067556952081	-0.8827616304442699	-0.831374456040599	-0.7418970311350516	-0.6137108941507999	-0.7928901856631628	-0.7749947006820533	-0.7792690681928702	-0.8276187982393796	-0.7962967119290765	-0.8068105587351463	-0.5552114116136111	-0.4547812316861806	-0.42992805396576017	-0.38131398147109064	-0.4154640332173718	-0.5384481103255652	-0.540273569495879	-0.2498559832416863	-0.42295539844636465	-0.39902492549782415	-0.2567089365204055	-0.23761642913253284	-0.029219815708425294	-0.06954949562962132	-0.1130263469619322	-0.12379954862280078	-0.16026384368882404	-0.19307223282085811	-0.2920260851132807	-0.12219354356039352	-0.03757403458895996	-0.13995436352074214	0.10387411314355541	0.01044152670232796	0.02032194915148568	-0.04939961844910785
MetR	0.6656267534507911	0.5933814636092719	0.4801331687427524	0.5388620805745707	0.594169503360391	0.578338882030948	0.4795446327260938	0.8424169877429893	0.7829000361600519	0.7881070836294717	0.8906021272085687	0.9154952056758813	1.0	0.7314081222957892	0.7704909038766069	0.8922580082045911	0.8618087507325528	0.8280277808950236	0.8504520006483871	0.8596092220601255	0.8725221012730832	0.8948116560056859	0.8994600930186162	0.9538996745595332	0.9356600456364793	0.9124427985386352	0.9074302672103144	0.782191797902717	0.8010498884025985	0.7710295639596504	0.3101360366089353	0.3394281724211025	0.21753637825908054	0.12055262534445567	0.18039377049589148	0.09247247471913615	-0.032756019401738175	0.48874674247808575	0.5326575144328483	0.34931857005698325	0.332066484619509	0.2488385141959376	0.24585593336575268	0.26611553760021944	-0.7139166323769623	-0.5493061010735795	-0.6471975959799997	-0.8770059477050836	-0.8215588723051409	-0.8329255975760296	-0.7296026134989214	-0.7046646466913552	-0.8718088754223868	-0.8545218768313819	-0.6666043217496478	-0.6509482661878577	-0.7903165874886221	-0.7600169578174292	-0.7853040561603013	-0.8066110550006858	-0.8015336849586653	-0.7712988940011721	-0.5382635693711891	-0.5391962493297922	-0.4004862903527475	-0.37034626366912304	-0.3291637052831083	-0.5239691267970923	-0.5418646117782018	-0.25181111983939947	-0.4773650544271126	-0.4473048292372723	-0.14552550530555244	-0.16229878178032145	0.06603324230975449	-0.11966483372610631	-0.1906582376338857	-0.1918153592937568	-0.16217409194628363	-0.22636441850895897	-0.3259716455317398	-0.17457823663636704	-0.033908153468247736	-0.15517649846008055	0.10812354268756469	-0.041728699859100486	-0.12143044177608199	-0.1649621566353695
BirA	0.7619022681080811	0.7432536565293831	0.5645631491664485	0.5129764710283171	0.5525629995386476	0.6858265065649197	0.6885297821668599	0.5286624521502762	0.5590368957218917	0.5166124265888602	0.6513921619970324	0.7317422910510106	0.7314081222957892	1.0	0.8261773837579022	0.9064925996583498	0.9109864212770733	0.9315752066733999	0.9238743625232235	0.9306175887479894	0.8552600406488859	0.8847566677888752	0.8561977082008504	0.8349355977007195	0.8349455728874425	0.8701879075798951	0.89673686704323	0.7773438571553262	0.7619920447885884	0.8336537862068105	0.4640830933054028	0.4072694173244055	0.48836768538261077	0.5275053304904052	0.5079789024800808	0.279133156273769	0.1964189079664335	0.3981620718462824	0.3152383446177633	0.0002917742116485243	-0.0008005087345228744	0.13151535555306176	0.17632888190625817	0.1695507425279617	-0.3288395117146099	-0.29393633337074027	-0.5765583112008877	-0.6313170987169416	-0.564927243481839	-0.5717153580468585	-0.5637451838551603	-0.641815982742927	-0.7238319679796507	-0.6707390366463423	-0.7516278257833638	-0.6990685669397374	-0.7893390191897655	-0.6943453160263844	-0.8235838352099153	-0.7907056197708201	-0.7442711255751319	-0.73019114951558	-0.5308819311961496	-0.609611092407636	-0.6112021346899588	-0.605082357635382	-0.472267734011646	-0.6680557114178481	-0.6300502500031172	-0.4988216810683425	-0.4737241112732079	-0.5074452299903989	-0.4736143842192546	-0.3765707801842916	-0.2844798563573112	-0.2717565056920909	-0.41943415753313634	-0.21048392124590082	-0.19523186074639334	-0.20390029800870335	-0.04674123118742129	-0.021484058404718263	-0.09901619720944152	-0.1369219067569421	-0.013369244005536228	0.03709023803289318	0.0580880060848639	-0.027454207658449605
XylR	0.7644309779423684	0.7044252422100026	0.5739747378396239	0.5686529757228893	0.5883040935672514	0.6686143218743376	0.5631765982119478	0.6132570231549022	0.571146772403646	0.595491215601192	0.7037718674796444	0.7836830883178094	0.7704909038766069	0.8261773837579022	1.0	0.8430055237596479	0.8389456227633761	0.8312298158331152	0.8544670133044053	0.8412498908963952	0.8058180276562051	0.8278831406875398	0.8447960697764312	0.8343320989039763	0.8339929425553935	0.8155687726779636	0.811763238943129	0.7244953178967318	0.7584807790620831	0.7923465379867579	0.38740882055885983	0.4343819748375915	0.38892006134739837	0.4184166884873876	0.37363308769436027	0.2807990124565144	0.15959051858501977	0.31340789785408796	0.3541814735844587	0.1730969214079976	0.07922542675095699	0.12952031820845647	0.15623885584608288	0.26459432162495794	-0.39062581827703585	-0.3433833339567825	-0.6599907729522811	-0.6682252895921396	-0.6239903240688787	-0.606015037593985	-0.5699547375902443	-0.6245539221187296	-0.7888252970735296	-0.6909637277272784	-0.695916407935261	-0.6832229828302099	-0.7673636828389382	-0.7072532076459807	-0.8349655232608886	-0.8167857454581728	-0.7628199852865996	-0.7832790932555269	-0.5472761505754435	-0.504831731068966	-0.5138143867130512	-0.4108704597314181	-0.3721717228394369	-0.5722739685033479	-0.5987032257260065	-0.3077020910485168	-0.4847367174154291	-0.46876644347186375	-0.34448559208967694	-0.2828339505480118	-0.1562538186261674	-0.19644384593324107	-0.24451427075150564	-0.14038329654983228	-0.11900148380902505	-0.17631890671953515	-0.08346986870160476	-0.02124964151672714	-0.08012319355602937	-0.16027381887554706	0.08173917380515966	0.029603860397261813	-0.009558722677340117	-0.12682701779323932
MntR	0.7669197870297635	0.7378471053255028	0.5541839673811394	0.5785583361388545	0.5817853090437537	0.7005997581017219	0.6750084165637975	0.6987393857778775	0.6632476714173493	0.656334867018292	0.7910447761194029	0.8810309355478247	0.8922580082045911	0.9064925996583498	0.8430055237596479	1.0	0.9657102956395965	0.947620294517388	0.9503385328994127	0.9675207920298258	0.9185675631865734	0.9323881843913265	0.9445329742266113	0.9409119814461527	0.9219092507387873	0.9466177882517238	0.9622638686267908	0.809139764834973	0.8426264666641728	0.8224765894836594	0.43881095774261525	0.41282060873576976	0.4007007568672926	0.4060474569508348	0.39433658773800173	0.27070412349281164	0.15744585343956907	0.4678936146335989	0.4414344318507712	0.15940597763064376	0.11112108629783414	0.2332423097544857	0.20846394593448797	0.23145176373770246	-0.5087569670444768	-0.39277048342248655	-0.6619508971433559	-0.7604708288133268	-0.706993852791182	-0.7146996845347199	-0.6393022356887244	-0.7227346974401178	-0.847379643137695	-0.7852442050399631	-0.7930049003104777	-0.7225401812990186	-0.8112844299804237	-0.7558523173605656	-0.8599633411887929	-0.8572002144665145	-0.8336537862068105	-0.796720657364805	-0.5738400728188631	-0.5945086597089739	-0.5934363271362486	-0.5106572401152134	-0.45052182695544835	-0.6538809710844274	-0.6444195064776369	-0.4086809062457138	-0.4843127719797005	-0.497504956420903	-0.38172795172009627	-0.3268743999301737	-0.17634883227970424	-0.1746380877567052	-0.281592039800995	-0.22164116759560593	-0.196608436514171	-0.2451427075150563	-0.1643586578386264	-0.08102594795446327	-0.11190413845559172	-0.17668300103492562	0.08167433509145999	0.011623586329006596	0.019144877118168556	-0.06093592189428796
ThiR	0.7695233107644733	0.7106298083517251	0.5667078143118992	0.5762939687527275	0.6054514395441339	0.6436115163530718	0.6788588386388857	0.6796119652364743	0.6311375453559271	0.6350178929911844	0.7759323682340179	0.8710208356712678	0.8618087507325528	0.9109864212770733	0.8389456227633761	0.9657102956395965	1.0	0.9475953565505805	0.9545281113230838	0.9600294268008329	0.9032157508198356	0.94327610069951	0.9343532961757628	0.9294006159677801	0.9200937667551965	0.9419394256786244	0.9548622800783052	0.814775745333483	0.8302073591940049	0.8454145313532587	0.4150151498148356	0.43262634197433886	0.38096983752914626	0.42343919500243143	0.3940971832566491	0.26351201386550954	0.162692801655881	0.47070661728949237	0.41043653910896644	0.13598922679833914	0.10101123455404681	0.20768089377673038	0.17608947742490555	0.20220950385915037	-0.46777889998628414	-0.3676180501003753	-0.6402199528672428	-0.7604857915934113	-0.7011334305914039	-0.7100811730819586	-0.6358408458958341	-0.7141809748251225	-0.8195438845870896	-0.7687502337934389	-0.7930946769909849	-0.7338919437898228	-0.8250651504382848	-0.7652639060337411	-0.8405616030125064	-0.8544919512712129	-0.7874187957455828	-0.7781917480267834	-0.5825533984214267	-0.5834611404132221	-0.5856008179653113	-0.5511116098704473	-0.48004339206224517	-0.6501303008765695	-0.5950323570119328	-0.4408658462075587	-0.473025848202596	-0.4729061459619197	-0.40301500018703473	-0.3729647501839175	-0.17789498622177333	-0.19131659995760544	-0.2809137271038292	-0.25081858876045837	-0.18806468908589882	-0.276110674696692	-0.13528597613436577	-0.058846120275813915	-0.14612401650893403	-0.20006483871369968	0.061728949238768566	0.016047581640668836	0.031229815833115127	-0.058307460192770486
Phr	0.8130051496901458	0.7777977281512238	0.5924886843975611	0.5932567737752341	0.6489532288432525	0.6511377947355952	0.6840010473946059	0.6280053367248968	0.6246137732390679	0.6242247409568698	0.7511190912604895	0.8389855235102682	0.8280277808950236	0.9315752066733999	0.8312298158331152	0.947620294517388	0.9475953565505805	1.0	0.9596852828588885	0.970982181822716	0.8814000174565768	0.9462636691230564	0.9292110874200427	0.8993703163381089	0.8955498198231898	0.9021334430603873	0.9493908901607252	0.8231948029277173	0.819498996246836	0.8681030935547824	0.5071210364219005	0.46383870123068865	0.4580830184915024	0.4675893714385466	0.439274803925236	0.27787129515330616	0.24509283158144116	0.4141373333832093	0.3766854948316064	0.10335540343395803	0.07166922280826445	0.21196523647427026	0.1453210139777304	0.17401463858651603	-0.4017032631329568	-0.3639172558261325	-0.6066783875110662	-0.7323258394743076	-0.6594720632426838	-0.6828688637015424	-0.6582999788027282	-0.7355328620057606	-0.8229952991932568	-0.7766256437112682	-0.7901270589408845	-0.6997718176037108	-0.8519432910634795	-0.7723063878601978	-0.8354144066634247	-0.8337186249205102	-0.7903515006421526	-0.7822067606828015	-0.5788725545206299	-0.6176461053130339	-0.6468484644446938	-0.605246948216312	-0.5307821793289194	-0.6583099539894512	-0.662923477848851	-0.4647215052556765	-0.45228244741206247	-0.4675943590319081	-0.420257110437786	-0.4343221237172533	-0.15724634970510853	-0.19017942867118043	-0.2917268295115899	-0.22892804149677676	-0.22342173842566615	-0.24679360091771718	-0.15239342136435616	-0.10115088716816918	-0.15879250364717765	-0.1391762989563461	0.041648898365316274	0.0599733163755159	0.030900634671255253	-0.038287260439656357
ArgR	0.8428658711455255	0.7881569595630868	0.6000897766805072	0.6334617638623923	0.6847441988054714	0.63787079639397	0.6815571266474645	0.6741655132857018	0.6579508472674223	0.6540056609184653	0.78599234404419	0.8490055985735483	0.8504520006483871	0.9238743625232235	0.8544670133044053	0.9503385328994127	0.9545281113230838	0.9596852828588885	1.0	0.9732515368022046	0.9250963228967942	0.9605082357635382	0.9506078629409345	0.9252409631042781	0.9287073404905298	0.9053504407785633	0.9384929986658188	0.844950685170638	0.8534295938852106	0.9137694983727976	0.4846220027681143	0.4887966184117009	0.4180924949188893	0.4269604359156598	0.3686654447062931	0.25382111996408935	0.22391052257509445	0.42574845072881207	0.4403321737178768	0.11326076384992331	0.10831307123530219	0.24926245963166624	0.15891220588785396	0.23574109402860385	-0.4273694185713039	-0.3928153717627402	-0.6339655107919051	-0.7553086696841607	-0.6971433559021933	-0.7104003790570955	-0.6656317410441527	-0.7741567849973192	-0.8431352011870472	-0.7924413022606267	-0.8105313033828352	-0.7398920186037232	-0.8539333408147234	-0.7852491926333246	-0.85810795645831	-0.860955872267734	-0.8183318994002419	-0.7991546029252236	-0.6033516627389369	-0.637327148717565	-0.6157508198356588	-0.5624633723612514	-0.4960685295327872	-0.6544894574745321	-0.6485691841544159	-0.4672751530567713	-0.4613997680769087	-0.47533011633561517	-0.3591291661990798	-0.3880671828825796	-0.15106173393683214	-0.19102233194927618	-0.27877404955174007	-0.24195563535704934	-0.20511228319555105	-0.2345490592152022	-0.1360590531054003	-0.13761019464083094	-0.10637289741767354	-0.1860596765545705	-0.007438995498696991	0.08786892604645943	0.0407162184067133	-0.04870135537849599
NrtR	0.8227608823052657	0.7745308544994327	0.6075362535692465	0.6102544919512712	0.6458808713325602	0.6706941483060886	0.67574159278794	0.6649634035337099	0.6554620381800271	0.645207546228756	0.7783762889811594	0.853998179528423	0.8596092220601255	0.9306175887479894	0.8412498908963952	0.9675207920298258	0.9600294268008329	0.970982181822716	0.9732515368022046	1.0	0.9218144864649185	0.9572712876719162	0.9477449843514258	0.9279442387062182	0.9135999201985062	0.9328021546403322	0.9620793276724149	0.8213394181972343	0.8475542089053479	0.8682078330153743	0.4940286038479283	0.46914051297397724	0.45424755919649873	0.45645207546228755	0.41218219678549606	0.2710682178082021	0.21957131635057794	0.4372548286138231	0.40761356126634996	0.09748999364081846	0.08105088592127084	0.237880771580693	0.19601990049751244	0.20226436738612702	-0.4538635145076622	-0.3930049003104777	-0.6586790358982032	-0.7603311761992044	-0.6888539757353583	-0.7235027868177908	-0.6606291849025548	-0.7420067581890049	-0.8421177321412985	-0.7943365877380018	-0.8148455716405442	-0.7250888415067519	-0.8534495442586566	-0.7846057930896894	-0.8570655494457536	-0.8574296437611442	-0.8123318245863415	-0.7877429893140813	-0.605850447013055	-0.6163692814124865	-0.6366937243606529	-0.5860746393346551	-0.4981832691180688	-0.6559009463958404	-0.6579358844873378	-0.43515006421526453	-0.44927991620843155	-0.5106323021484058	-0.39637152582949914	-0.4120425441713737	-0.15242833451788676	-0.20122196037357074	-0.2941358371052008	-0.22848414568760209	-0.21094277983516005	-0.23548173917380516	-0.15133605157171537	-0.10840284791580942	-0.10953503160887293	-0.13708150974451053	0.04436214915397948	0.020197259317447848	0.0461427199840397	-0.025553934587713063
RbkR	0.7954338582775347	0.7141410740782304	0.5964089327797105	0.6168381151884686	0.6547238743625232	0.672893676978516	0.6202047407074901	0.6745096572276462	0.6670781431189915	0.6452225090088405	0.7788750483173107	0.8438284766642976	0.8725221012730832	0.8552600406488859	0.8058180276562051	0.9185675631865734	0.9032157508198356	0.8814000174565768	0.9250963228967942	0.9218144864649185	1.0	0.9259342385815285	0.9292410129802118	0.915415404182097	0.8985024750932057	0.9022930460479557	0.9033603910273196	0.823658649110338	0.8230701130936795	0.8361026945473136	0.42384817765807553	0.4224017755832367	0.4366712801905261	0.3482063367373658	0.31891420092519857	0.26170650506864174	0.1662040673823863	0.47696105936482996	0.45660669085649447	0.16528136261050635	0.1707577401214479	0.26969164204042445	0.2682452399655856	0.289113330590157	-0.5018691006122271	-0.3687502337934388	-0.6903801793039813	-0.7659472063242684	-0.7075275252808638	-0.738665070636791	-0.6287035997955087	-0.728879412461502	-0.8323420491527326	-0.7931595157046846	-0.7625107544981857	-0.7242609010087407	-0.7967356201448896	-0.7872591927580145	-0.8431651267472163	-0.8508809336774773	-0.8233244803551166	-0.8059626678636891	-0.5592663250165214	-0.5977106946470654	-0.5174503422735944	-0.5185526004064889	-0.4530704871631816	-0.6299854112894175	-0.6319305727004078	-0.39089016072519606	-0.42430204865397325	-0.5223880597014925	-0.3168992132071472	-0.3359617950348508	-0.11893165750196387	-0.20145637726156188	-0.2119452861008242	-0.20393022356887244	-0.21883315253307398	-0.18144116510180924	-0.20110724572625593	-0.1485928752228831	-0.03493061010735795	-0.19026920535168768	0.03867130512849287	0.016107432761006995	0.04886594595942593	-0.05893589695632115
NsrR	0.8330004114764523	0.7390391401389045	0.5988777914936595	0.6365391089664459	0.7085250439531665	0.6052718861831194	0.6201748151473211	0.7334430603872866	0.7294080973578224	0.7005947705083605	0.8251748774922381	0.8810409107345478	0.8948116560056859	0.8847566677888752	0.8278831406875398	0.9323881843913265	0.94327610069951	0.9462636691230564	0.9605082357635382	0.9572712876719162	0.9259342385815285	1.0	0.943296051072956	0.9452312372972231	0.9543335951819848	0.9207870422324468	0.9483933714884225	0.8566864923502787	0.8648611578697989	0.9066372398658338	0.4278631903140937	0.461324954176486	0.3779024676118156	0.3369493385204304	0.2949937031633811	0.2004239454357286	0.1668724048928291	0.4606765670394893	0.47616304442698787	0.1591516103692066	0.19768076908689636	0.267452212621105	0.13953540567837505	0.22707764435965536	-0.5138393246798588	-0.45542463122981586	-0.645402062369855	-0.8298183269118069	-0.7518273295178244	-0.786351450766219	-0.7198369056970785	-0.7750844773625606	-0.8560680307734511	-0.8410404119752116	-0.7819523934213644	-0.725846955697702	-0.8787915061285053	-0.8225264654172745	-0.8315091210613599	-0.8579084527238494	-0.8132545293582214	-0.8102918989014826	-0.6374169253980723	-0.6471427324530231	-0.5646329754735097	-0.5494208157208943	-0.4609907854212646	-0.6190127058940884	-0.5889973690445018	-0.4489656978266562	-0.4801830446763675	-0.488836519158593	-0.3108342996795471	-0.3350939537899475	-0.03742939438147608	-0.1641242409506353	-0.25790595892716867	-0.23021484058404718	-0.17930148754972008	-0.20856868539507975	-0.21682315240838415	-0.2035810920335665	-0.09340515467773912	-0.18596989987406326	-0.030706118530156236	0.042052893427598846	0.017922916744597815	-0.07013803164627988
Zur	0.8100275564533224	0.7954937093978728	0.6364493322859387	0.6568286387610818	0.6813526353196424	0.6625992842803526	0.6169478422424219	0.7220563847429519	0.6858165313781968	0.702320477811444	0.8333445554183967	0.8945523011508871	0.8994600930186162	0.8561977082008504	0.8447960697764312	0.9445329742266113	0.9343532961757628	0.9292110874200427	0.9506078629409345	0.9477449843514258	0.9292410129802118	0.943296051072956	1.0	0.9490168206586117	0.9335852067980898	0.9160787540991783	0.936707440242397	0.8130151248768688	0.8795496203194554	0.8722926719784536	0.47698599733163755	0.4775795209416576	0.3777927405578623	0.36341849648998115	0.3008940261100512	0.2524944201299268	0.2070025810795646	0.42992306637239863	0.4952954525617526	0.20707739497998728	0.1623835708674672	0.31290415092457513	0.18981533435578998	0.258978291499894	-0.5120587538497986	-0.41315976508435265	-0.701193281711742	-0.8169204104789336	-0.7587451215102433	-0.769538273544558	-0.6930734797191985	-0.7934438085262908	-0.8988915073754037	-0.8527612563747677	-0.7900173318869312	-0.7354929612588685	-0.8473846307310565	-0.8216835621391788	-0.8379281537176274	-0.8847018042618985	-0.8343969376176761	-0.8353745059165326	-0.5791817853090437	-0.5706280626940485	-0.5693163256399706	-0.4769311338046609	-0.4742877093230589	-0.6001995037344605	-0.629212334318383	-0.3538273544557912	-0.42965373633087695	-0.4696542350902131	-0.3129789648249978	-0.3529046496839113	-0.09019813214628611	-0.12569982169353733	-0.2262347410815596	-0.20058354842329704	-0.19022930460479556	-0.20124689834037832	-0.23244928241000512	-0.1613361762615494	-0.10700632177458572	-0.19733662514495193	0.054781231686180626	0.023908028778413696	0.04649683911270714	-0.04573373732839561
FUR	0.7506003815508921	0.6865746455691467	0.5733712390428808	0.5977505953939576	0.6460604246935747	0.6292472474719136	0.5722191049763713	0.8167358695245577	0.7563510766967169	0.7734884474868764	0.9012805645955685	0.9101634683724236	0.9538996745595332	0.8349355977007195	0.8343320989039763	0.9409119814461527	0.9294006159677801	0.8993703163381089	0.9252409631042781	0.9279442387062182	0.915415404182097	0.9452312372972231	0.9490168206586117	1.0	0.9643387074651804	0.9522587563435954	0.9552862255140339	0.8151248768687889	0.8658985772889937	0.8496888988640756	0.36597214429107594	0.42550904624745944	0.2760258856095463	0.22804024987842741	0.23734709909101112	0.14663773862516988	0.05707552463247671	0.46661180313969003	0.5190463721492786	0.24369630544021745	0.2447736256063043	0.2555817404207035	0.2257359817454083	0.2508385391339044	-0.6442698786767915	-0.5174104415267023	-0.6770333794685719	-0.8644870883676854	-0.8152745046696342	-0.820062594296687	-0.7449544258656592	-0.7541914487711817	-0.9012606142221224	-0.8551553011882941	-0.7236574022119977	-0.7292534819636155	-0.8220975323881844	-0.8074439830920586	-0.8266561927206075	-0.8672202895297947	-0.8191049763712764	-0.8077133131335802	-0.5727527774660532	-0.5727278394992457	-0.4772054514395441	-0.42669110587413805	-0.38421676080749134	-0.5818850609109839	-0.5691317846855946	-0.35515904188331526	-0.5079838900734424	-0.4920285789099615	-0.2445741218718438	-0.2433770994650806	-0.009269442262372349	-0.12251773712889188	-0.23660394768014564	-0.21052382199279293	-0.13879225426750957	-0.22329206099826682	-0.26638985523510267	-0.1577201710744523	-0.11688175663038193	-0.19594009900372822	0.060901008740757365	-0.03946932006633499	-0.06723525230987917	-0.1532712377959825
SahR_SamR	0.7790147009314331	0.6990436289729298	0.5911769473434831	0.6261798775545829	0.6821057619172309	0.6072918614945324	0.557804960161598	0.8120225937979276	0.7493235576503448	0.744321001508747	0.8785620768338758	0.8974600680806494	0.9356600456364793	0.8349455728874425	0.8339929425553935	0.9219092507387873	0.9200937667551965	0.8955498198231898	0.9287073404905298	0.9135999201985062	0.8985024750932057	0.9543335951819848	0.9335852067980898	0.9643387074651804	1.0	0.9227571416102445	0.9330864474619385	0.8190800384044689	0.878302721979077	0.8881332684946196	0.3654833601416477	0.4230551503135949	0.3024152420853128	0.23645930747266175	0.22375590718088753	0.14881232933078967	0.07272659260090525	0.4669659222683575	0.5387473659272559	0.2607189615830621	0.28224541453135327	0.2757765059414706	0.20290776692976223	0.28009576179254103	-0.5947181386301574	-0.5211960248880909	-0.6817965311288171	-0.8655045574134341	-0.8060574321375579	-0.799927679896258	-0.7643811020087532	-0.7743712515118643	-0.8839636404443946	-0.856806194590955	-0.735283482337685	-0.7484457412187184	-0.8378683025972893	-0.8059826182371351	-0.8419631167470916	-0.8724772129328295	-0.8269305103554907	-0.800501253132832	-0.5808426538984277	-0.601341662614247	-0.4624122495292959	-0.4431900647140239	-0.3952443297297971	-0.575500941408247	-0.560642900784299	-0.34611653511889173	-0.49484656915921643	-0.501081060861108	-0.21448397112183443	-0.22173094427611317	-0.019763338694996198	-0.13314131098891507	-0.23151161485804062	-0.19231910622326961	-0.13594932605144702	-0.2214067507076148	-0.24478360079302736	-0.21086796593473733	-0.08390378932405641	-0.18097731891918853	-0.002655893465005798	0.046885871394905174	-0.05549445753687702	-0.09576428633773489
KdgR	0.6835172508385391	0.6542201274330104	0.5225626254691454	0.5110063716505193	0.5348470679185526	0.6598860334916894	0.5901145899574808	0.769004601054876	0.7066497088492375	0.7045000561104253	0.8228955473260265	0.8566964675370017	0.9124427985386352	0.8701879075798951	0.8155687726779636	0.9466177882517238	0.9419394256786244	0.9021334430603873	0.9053504407785633	0.9328021546403322	0.9022930460479557	0.9207870422324468	0.9160787540991783	0.9522587563435954	0.9227571416102445	1.0	0.9700544894574745	0.7730345764909787	0.8211947779897505	0.7877230389406352	0.3474083217995237	0.35964787590867714	0.3306849212583698	0.2923602538685021	0.32723350665220263	0.16405441464357412	0.04187832765994588	0.4954650307360441	0.4557587999850372	0.14740084040948143	0.16677265302559882	0.21367598099726928	0.224499058591753	0.21592039800995025	-0.5919001483809025	-0.45105549944513024	-0.6434918141123954	-0.8007007568672926	-0.7320166086858938	-0.7747702589807853	-0.6906744473123106	-0.6881257871045774	-0.8194191947530518	-0.7909150986920036	-0.7098916445342212	-0.7457773787703088	-0.7671990922580082	-0.7443958154091697	-0.8089701866606815	-0.8388009825558922	-0.7839773563261387	-0.7369992144540456	-0.5648175164278856	-0.577017169790147	-0.4991508622302024	-0.5026770907367922	-0.40641155126622525	-0.601895285477375	-0.5797154577987257	-0.38998241873340067	-0.5077394979987282	-0.5245227496602202	-0.320949139016696	-0.25447449469444755	-0.0899687028516565	-0.17646354692701904	-0.300619708475168	-0.23314754548061697	-0.21181560867342486	-0.2545193830347012	-0.2297310440279804	-0.08920061347398346	-0.14174989713088693	-0.15634359530667466	0.08262696542350902	-0.07418296986246711	-0.07705083604533722	-0.09985910048753725
