	HutC	ModE	NadQ	AraR	RbkR	MetR	SahR_SamR	CzrA	FUR	Phr	NrtR	NsrR	ArgR	MntR	ThiR	Zur	KdgR	BirA	NagC	Rex	IscR	XylR	AgaR	GulR	Irr	SiaR	PhnF	PhrR	LldR	NagR	NrdR	SoxR	FadR	FixJ	PhnR	PurR	DasR	FadP	HcpR	AcnR	LiuR	MerR	NnrR	RbsR	GntR	CueR	NtrC	NifA	PdxR	ZntR	FnrN_FixK	HrcA	GlcC	LiuQ	NmlR	PaaR	BioQ	FruR	VanR	CblR	RutR	AmtR	SdaR	CsoR	QorR	PhsR	PsrA	ExuR_UxuR	PrpR	LtbR	NorR	GguR	TtrR	TyrR	NagQ	TrpR	MetJ	NikR	PdhR	CcpA	LexA	NiaR	HisR	HexR	NarP	HypR	CadR-PbrR	FabR
HutC	1.0	0.6341050254093732	0.629587803500847	0.7470355731225297	0.7515527950310559	0.7007340485601355	0.8385093167701864	0.7944664031620553	0.8125352907961604	0.7165443252399775	0.7944664031620553	0.7741389045736872	0.8159232072275551	0.83399209486166	0.805759457933371	0.7944664031620553	0.7684923771880293	0.8125352907961604	0.7955957086391869	0.6928289102202145	0.5211744776962168	0.6352343308865048	0.6442687747035574	0.6533032185206098	0.427442123094297	0.6939582156973462	0.5798983625070582	0.5053642010163749	0.5042348955392434	0.5629587803500847	0.5923207227555054	-0.3370976849237719	-0.30095990965556185	-0.13608130999435347	-0.6499153020892151	-0.7007340485601355	-0.7786561264822134	-0.7470355731225297	-0.6024844720496895	-0.5866741953698476	-0.691699604743083	-0.7470355731225297	-0.5731225296442688	-0.5923207227555054	-0.665725578769057	-0.7617165443252399	-0.7865612648221344	-0.46696781479390176	-0.5765104460756635	-0.6431394692264257	-0.47148503670242803	-0.5313382269904009	-0.6081309994353472	-0.5923207227555054	-0.6002258610954263	-0.7086391869000565	-0.6499153020892151	-0.5708639186900056	-0.055900621118012424	-0.5110107284020328	-0.34726143421795597	-0.05928853754940711	-0.011857707509881422	-0.23207227555053642	-0.21174477696216826	-0.3269339356295878	-0.10333145115753811	-0.042348955392433656	0.018633540372670808	-0.10333145115753811	-0.054771315640880856	0.00282326369282891	-0.07058159232072275	0.11236589497459062	0.12478825522303783	0.36984754376058726	0.10220214568040654	0.32241671372106157	0.1789949181253529	0.1067193675889328	-0.031055900621118012	0.05815923207227555	0.16544325239977414	0.04686617730095991	0.14398644833427443	0.4579333709768492	0.3178994918125353	-0.044607566346696784
ModE	0.6341050254093732	1.0	0.8125352907961604	0.6487859966120836	0.8080180688876341	0.6928289102202145	0.7831733483907397	0.7989836250705816	0.7560700169395822	0.771880293619424	0.8114059853190287	0.7730095990965556	0.7752682100508187	0.7707509881422925	0.7549407114624506	0.7402597402597403	0.8159232072275551	0.7684923771880293	0.7933370976849238	0.5482778091473743	0.49632975719932243	0.5358554488989271	0.5957086391869001	0.6837944664031621	0.5042348955392434	0.6453980801806889	0.33032185206098247	0.5143986448334275	0.36984754376058726	0.6058723884810842	0.4827780914737436	-0.6058723884810842	-0.3427442123094297	-0.4601919819311124	-0.6024844720496895	-0.6713721061547149	-0.743647656691135	-0.6600790513833992	-0.6465273856578204	-0.7402597402597403	-0.6871823828345568	-0.7944664031620553	-0.6453980801806889	-0.7210615471485037	-0.7707509881422925	-0.6566911349520045	-0.7199322416713722	-0.5019762845849802	-0.6341050254093732	-0.5324675324675324	-0.4748729531338227	-0.5832862789384529	-0.5866741953698476	-0.47261434217955955	-0.4624505928853755	-0.6374929418407679	-0.5471485036702428	-0.6521739130434783	0.11688311688311688	-0.04009034443817053	-0.11123658949745906	-0.25917560700169395	-0.026538678712591756	-0.22077922077922077	-0.1383399209486166	-0.14850367024280067	-0.22868435911914173	0.0502540937323546	-0.11123658949745906	0.28514963297571994	0.2715979672501412	0.37549407114624506	0.2862789384528515	0.47600225861095424	0.13721061547148503	0.20496894409937888	0.0942970073404856	-0.08865047995482778	0.29079616036137773	0.2354601919819311	-0.06267645398080181	0.08074534161490683	-0.09316770186335403	0.1756070016939582	0.10559006211180125	0.019762845849802372	-0.04121964991530209	-0.20045172219085264
NadQ	0.629587803500847	0.8125352907961604	1.0	0.6521739130434783	0.8543195934500283	0.8193111236589498	0.8170525127046866	0.8520609824957651	0.7865612648221344	0.8283455674760023	0.8147939017504235	0.859966120835686	0.8226990400903444	0.8102766798418972	0.735742518351214	0.8441558441558441	0.8102766798418972	0.8294748729531338	0.8249576510446076	0.6521739130434783	0.6194240542066629	0.5844155844155844	0.6205533596837944	0.6352343308865048	0.5719932241671372	0.5787690570299266	0.409373235460192	0.6228119706380576	0.39920948616600793	0.6374929418407679	0.4150197628458498	-0.5798983625070582	-0.4105025409373235	-0.42179559570863917	-0.5618294748729531	-0.4805194805194805	-0.7967250141163185	-0.6781479390175043	-0.6984754376058724	-0.6228119706380576	-0.6702428006775832	-0.7617165443252399	-0.6939582156973462	-0.6770186335403726	-0.8723884810841332	-0.841897233201581	-0.8046301524562394	-0.5279503105590062	-0.6058723884810842	-0.6408808582721626	-0.5392433653303218	-0.691699604743083	-0.525691699604743	-0.3709768492377188	-0.5392433653303218	-0.6736307171089779	-0.5335968379446641	-0.55957086391869	-0.07058159232072275	-0.11688311688311688	-0.15753811405985318	-0.19254658385093168	0.042348955392433656	-0.2670807453416149	-0.2919254658385093	-0.19706380575945792	-0.23433088650479955	-0.053642010163749296	-0.04009034443817053	0.044607566346696784	0.03670242800677583	0.19706380575945792	0.21513269339356295	0.4059853190287973	0.043478260869565216	0.2456239412761152	0.16770186335403728	-0.017504234895539244	0.2964426877470356	0.383399209486166	0.19367588932806323	0.18125352907961603	0.11801242236024845	0.33032185206098247	-0.07961603613777526	0.13495200451722192	0.034443817052512704	0.04121964991530209
AraR	0.7470355731225297	0.6487859966120836	0.6521739130434783	1.0	0.7188029361942405	0.7809147374364765	0.8452851496329757	0.8215697346132129	0.805759457933371	0.7809147374364765	0.8249576510446076	0.8362507058159232	0.8294748729531338	0.8407679277244494	0.8690005646527386	0.771880293619424	0.8644833427442123	0.8147939017504235	0.8588368153585545	0.7300959909655562	0.8159232072275551	0.7820440429136082	0.6284584980237155	0.5019762845849802	0.4409937888198758	0.5573122529644269	0.5945793337097685	0.6962168266516092	0.6702428006775832	0.6736307171089779	0.6928289102202145	-0.3167701863354037	-0.46357989836250707	-0.26256352343308864	-0.5584415584415584	-0.5900621118012422	-0.7413890457368718	-0.7831733483907397	-0.7741389045736872	-0.771880293619424	-0.8633540372670807	-0.7594579333709769	-0.7199322416713722	-0.665725578769057	-0.5731225296442688	-0.6758893280632411	-0.7075098814229249	-0.5957086391869001	-0.6137775268210051	-0.7741389045736872	-0.7684923771880293	-0.7018633540372671	-0.5381140598531903	-0.49520045172219085	-0.4364765669113495	-0.7255787690570299	-0.6747600225861096	-0.7120271033314511	-0.2636928289102202	-0.4590626764539808	-0.3020892151326934	-0.1880293619424054	-0.10784867306606437	-0.5019762845849802	-0.20045172219085264	-0.11236589497459062	0.13721061547148503	-0.11462450592885376	-0.06832298136645963	0.033314511575381144	0.13382269904009034	0.11575381140598531	-0.055900621118012424	0.06267645398080181	0.23433088650479955	0.1541501976284585	0.2862789384528515	0.3675889328063241	0.31225296442687744	0.09994353472614342	0.21739130434782608	0.2987012987012987	0.36984754376058726	0.21513269339356295	0.11236589497459062	0.18125352907961603	0.09316770186335403	-0.06041784302653868
RbkR	0.7515527950310559	0.8080180688876341	0.8543195934500283	0.7188029361942405	1.0	0.8373800112930547	0.8610954263128177	0.8983625070581592	0.8622247317899492	0.9073969508752118	0.9322416713721061	0.8802936194240542	0.8881987577639752	0.9232072275550537	0.857707509881423	0.8825522303783173	0.8746470920383964	0.9017504234895539	0.8848108413325805	0.6623376623376623	0.6431394692264257	0.7188029361942405	0.5753811405985318	0.7007340485601355	0.6216826651609261	0.7233201581027668	0.44664031620553357	0.5573122529644269	0.453416149068323	0.5403726708074534	0.5211744776962168	-0.47374364765669114	-0.3585544889892716	-0.409373235460192	-0.7549407114624506	-0.5990965556182948	-0.7955957086391869	-0.7594579333709769	-0.743647656691135	-0.7526821005081875	-0.7154150197628458	-0.8565782044042913	-0.7142857142857143	-0.6984754376058724	-0.8012422360248447	-0.8170525127046866	-0.7922077922077922	-0.6318464144551101	-0.7165443252399775	-0.5223037831733484	-0.6374929418407679	-0.6600790513833992	-0.49407114624505927	-0.5268210050818747	-0.551665725578769	-0.6103896103896104	-0.6600790513833992	-0.6905702992659515	-0.1507622811970638	-0.35742518351214003	-0.1789949181253529	-0.14963297571993225	-0.09881422924901186	-0.22755505364201017	-0.28402032749858835	-0.16996047430830039	-0.16544325239977414	-0.07961603613777526	-0.14963297571993225	0.031055900621118012	0.04009034443817053	0.13043478260869565	0.13043478260869565	0.37323546019198195	0.10784867306606437	0.32241671372106157	0.2015810276679842	0.15866741953698477	0.43195934500282324	0.2264257481648786	0.05138339920948617	0.16544325239977414	0.19367588932806323	0.20271033314511575	0.14398644833427443	0.13382269904009034	-0.08865047995482778	-0.005081874647092038
MetR	0.7007340485601355	0.6928289102202145	0.8193111236589498	0.7809147374364765	0.8373800112930547	1.0	0.9209486166007905	0.9153020892151327	0.9028797289666854	0.9028797289666854	0.8723884810841332	0.9311123658949746	0.9130434782608695	0.8983625070581592	0.885940146809712	0.9288537549407114	0.8802936194240542	0.8961038961038961	0.9345002823263693	0.7334839073969509	0.7594579333709769	0.7481648785996612	0.7651044607566346	0.7391304347826086	0.6318464144551101	0.6600790513833992	0.5019762845849802	0.6194240542066629	0.4522868435911914	0.6465273856578204	0.5369847543760587	-0.4839073969508752	-0.5166572557876906	-0.4308300395256917	-0.6996047430830039	-0.5765104460756635	-0.7955957086391869	-0.7075098814229249	-0.8136645962732919	-0.8147939017504235	-0.7741389045736872	-0.8362507058159232	-0.8181818181818182	-0.8170525127046866	-0.7854319593450029	-0.9040090344438171	-0.8769057029926595	-0.5866741953698476	-0.7063805759457933	-0.7549407114624506	-0.7142857142857143	-0.7684923771880293	-0.4601919819311124	-0.5324675324675324	-0.48616600790513836	-0.5437605872388481	-0.46922642574816487	-0.4805194805194805	-0.2715979672501412	-0.22981366459627328	-0.14850367024280067	-0.09881422924901186	-0.04799548277809147	-0.5471485036702428	-0.4850367024280068	-0.313382269904009	-0.16205533596837945	-0.12027103331451157	-0.06267645398080181	-0.1225296442687747	-0.16770186335403728	0.15189158667419536	0.18125352907961603	0.13269339356295878	-0.13382269904009034	0.13495200451722192	0.24675324675324675	0.2727272727272727	0.25804630152456237	0.18012422360248448	0.17334839073969507	0.2704686617730096	0.23771880293619424	0.20722755505364202	0.06832298136645963	0.04121964991530209	-0.14059853190287974	-0.11575381140598531
SahR_SamR	0.8385093167701864	0.7831733483907397	0.8170525127046866	0.8452851496329757	0.8610954263128177	0.9209486166007905	1.0	0.9503105590062112	0.9514398644833427	0.885940146809712	0.9175607001693958	0.9457933370976849	0.9446640316205533	0.9503105590062112	0.9299830604178431	0.9299830604178431	0.9006211180124224	0.8701298701298701	0.9435347261434218	0.7029926595143986	0.7492941840767928	0.7199322416713722	0.7402597402597403	0.7459062676453981	0.6058723884810842	0.6634669678147939	0.5008469791078487	0.6024844720496895	0.567476002258611	0.7492941840767928	0.6533032185206098	-0.5019762845849802	-0.37775268210050816	-0.40372670807453415	-0.7221908526256352	-0.7154150197628458	-0.8362507058159232	-0.8136645962732919	-0.8407679277244494	-0.8260869565217391	-0.8769057029926595	-0.9028797289666854	-0.7628458498023716	-0.7775268210050819	-0.771880293619424	-0.8802936194240542	-0.8757763975155279	-0.5053642010163749	-0.6679841897233202	-0.7459062676453981	-0.6453980801806889	-0.6962168266516092	-0.5731225296442688	-0.5166572557876906	-0.5708639186900056	-0.6984754376058724	-0.6250705815923208	-0.6318464144551101	-0.14059853190287974	-0.32580463015245625	-0.2230378317334839	-0.04009034443817053	0.04799548277809147	-0.48616600790513836	-0.339356295878035	-0.3416149068322981	-0.13269339356295878	-0.08413325804630152	-0.07622811970638058	-0.017504234895539244	-0.043478260869565216	0.12027103331451157	0.10446075663466968	0.16431394692264256	-0.04686617730095991	0.17334839073969507	0.30660643704121965	0.28740824392998304	0.2715979672501412	0.19593450028232637	0.028797289666854884	0.17221908526256352	0.13608130999435347	0.16205533596837945	-0.0016939582156973462	0.20948616600790515	0.029926595143986448	-0.14737436476566912
CzrA	0.7944664031620553	0.7989836250705816	0.8520609824957651	0.8215697346132129	0.8983625070581592	0.9153020892151327	0.9503105590062112	1.0	0.9604743083003953	0.9345002823263693	0.9277244494635799	0.955957086391869	0.9695087521174478	0.9717673630717109	0.9243365330321852	0.9311123658949746	0.9243365330321852	0.9164313946922643	0.9491812535290797	0.7594579333709769	0.7752682100508187	0.805759457933371	0.7300959909655562	0.7481648785996612	0.6950875211744777	0.6758893280632411	0.45115753811405984	0.6092603049124788	0.5448898927159797	0.6521739130434783	0.5945793337097685	-0.5302089215132694	-0.4150197628458498	-0.47035573122529645	-0.7470355731225297	-0.7278373800112931	-0.8204404291360813	-0.8430265386787126	-0.859966120835686	-0.7944664031620553	-0.857707509881423	-0.9164313946922643	-0.8091473743647657	-0.841897233201581	-0.8667419536984754	-0.8927159796725014	-0.911914172783738	-0.5832862789384529	-0.6668548842461886	-0.6521739130434783	-0.6860530773574252	-0.717673630717109	-0.541501976284585	-0.5403726708074534	-0.4161490683229814	-0.7108977978543196	-0.6070016939582157	-0.6182947487295314	-0.1281761716544325	-0.28740824392998304	-0.06719367588932806	-0.08300395256916997	-0.026538678712591756	-0.44438170525127046	-0.3167701863354037	-0.391304347826087	-0.1880293619424054	-0.16205533596837945	-0.15527950310559005	-0.08865047995482778	-0.0016939582156973462	0.19367588932806323	0.25352907961603616	0.31225296442687744	-0.009599096555618294	0.13495200451722192	0.12365894974590627	0.25014116318464147	0.30321852060982496	0.10107284020327499	0.03670242800677583	0.21174477696216826	0.14737436476566912	0.2140033879164314	0.08752117447769622	0.20045172219085264	0.012987012987012988	-0.17447769621682666
FUR	0.8125352907961604	0.7560700169395822	0.7865612648221344	0.805759457933371	0.8622247317899492	0.9028797289666854	0.9514398644833427	0.9604743083003953	1.0	0.8961038961038961	0.9141727837380011	0.9356295878035008	0.9469226425748165	0.9593450028232637	0.9017504234895539	0.9141727837380011	0.8735177865612648	0.8610954263128177	0.9367588932806324	0.7233201581027668	0.7809147374364765	0.8114059853190287	0.8080180688876341	0.8159232072275551	0.7007340485601355	0.6612083568605308	0.4138904573687182	0.6521739130434783	0.4376058723884811	0.6307171089779785	0.6024844720496895	-0.5324675324675324	-0.40033879164313946	-0.4613212874082439	-0.7244494635798984	-0.7075098814229249	-0.8373800112930547	-0.8114059853190287	-0.8351214003387917	-0.7910784867306606	-0.8690005646527386	-0.922077922077922	-0.7786561264822134	-0.8407679277244494	-0.7854319593450029	-0.8870694522868436	-0.9209486166007905	-0.5663466967814794	-0.6273291925465838	-0.6499153020892151	-0.6250705815923208	-0.6996047430830039	-0.5561829474872954	-0.42518351214003386	-0.46809712027103334	-0.6510446075663467	-0.6182947487295314	-0.6160361377752682	-0.1383399209486166	-0.37775268210050816	-0.10784867306606437	0.0220214568040655	-0.000564652738565782	-0.5268210050818747	-0.25917560700169395	-0.35742518351214003	-0.09655561829474874	-0.07509881422924901	-0.0660643704121965	-0.09881422924901186	0.0220214568040655	0.19480519480519481	0.24675324675324675	0.22190852625635235	-0.033314511575381144	0.19706380575945792	0.19028797289666854	0.20383963862224733	0.23207227555053642	0.09542631281761717	-0.029926595143986448	0.23771880293619424	0.11688311688311688	0.13608130999435347	0.07961603613777526	0.1981931112365895	-0.06832298136645963	-0.2885375494071146
Phr	0.7165443252399775	0.771880293619424	0.8283455674760023	0.7809147374364765	0.9073969508752118	0.9028797289666854	0.885940146809712	0.9345002823263693	0.8961038961038961	1.0	0.9051383399209486	0.9469226425748165	0.9593450028232637	0.9333709768492378	0.8949745906267645	0.9040090344438171	0.9006211180124224	0.8994918125352908	0.9186900056465274	0.7967250141163185	0.7741389045736872	0.8283455674760023	0.6487859966120836	0.6996047430830039	0.6826651609260305	0.6578204404291361	0.35742518351214003	0.6307171089779785	0.5279503105590062	0.5437605872388481	0.5392433653303218	-0.5008469791078487	-0.4522868435911914	-0.5245623941276115	-0.6058723884810842	-0.6533032185206098	-0.7707509881422925	-0.805759457933371	-0.79785431959345	-0.7933370976849238	-0.7323546019198193	-0.8588368153585545	-0.7910784867306606	-0.79785431959345	-0.779785431959345	-0.8068887634105025	-0.8407679277244494	-0.6363636363636364	-0.7108977978543196	-0.5990965556182948	-0.7154150197628458	-0.7346132128740824	-0.5561829474872954	-0.49181253529079616	-0.49858836815358554	-0.6499153020892151	-0.603613777526821	-0.6691134952004517	-0.10107284020327499	-0.32806324110671936	-0.19367588932806323	-0.14850367024280067	-0.18238283455674761	-0.4330886504799548	-0.277244494635799	-0.25691699604743085	-0.23207227555053642	-0.14059853190287974	-0.14059853190287974	-0.07961603613777526	-0.07848673066064371	0.15527950310559005	0.21174477696216826	0.23771880293619424	0.0378317334839074	0.16431394692264256	0.07622811970638058	0.13269339356295878	0.2388481084133258	0.13608130999435347	0.21964991530208922	0.28176171654432525	0.2478825522303783	0.3608130999435347	0.21174477696216826	0.13382269904009034	-0.044607566346696784	-0.05251270468661773
