	HutC	ModE	NadQ	AraR	RbkR	MetR	SahR_SamR	CzrA	FUR	Phr	NrtR	NsrR	ArgR	MntR	ThiR	Zur	KdgR	BirA	NagC	Rex	IscR	XylR	AgaR	GulR	Irr	SiaR	PhnF	PhrR	LldR	NagR	NrdR	SoxR	FadR	FixJ	PhnR	PurR	DasR	FadP	HcpR	AcnR	LiuR	MerR	NnrR	RbsR	GntR	CueR	NtrC	NifA	PdxR	ZntR	FnrN_FixK	HrcA	GlcC	LiuQ	NmlR	PaaR	BioQ	FruR	VanR	CblR	RutR	AmtR	SdaR	CsoR	QorR	PhsR	PsrA	ExuR_UxuR	PrpR	LtbR	NorR	GguR	TtrR	TyrR	NagQ	TrpR	MetJ	NikR	PdhR	CcpA	LexA	NiaR	HisR	HexR	NarP	HypR	CadR-PbrR	FabR
NrtR	0.7944664031620553	0.8114059853190287	0.8147939017504235	0.8249576510446076	0.9322416713721061	0.8723884810841332	0.9175607001693958	0.9277244494635799	0.9141727837380011	0.9051383399209486	1.0	0.9288537549407114	0.9277244494635799	0.9604743083003953	0.8927159796725014	0.8825522303783173	0.9232072275550537	0.9085262563523433	0.9130434782608695	0.7662337662337663	0.7188029361942405	0.7763975155279503	0.6465273856578204	0.6815358554488989	0.6792772444946358	0.6770186335403726	0.4827780914737436	0.6702428006775832	0.5889328063241107	0.6521739130434783	0.6804065499717674	-0.4568040654997177	-0.4748729531338227	-0.525691699604743	-0.7447769621682665	-0.6533032185206098	-0.7967250141163185	-0.8520609824957651	-0.8272162619988707	-0.7684923771880293	-0.8114059853190287	-0.8802936194240542	-0.8114059853190287	-0.79785431959345	-0.7831733483907397	-0.8351214003387917	-0.8272162619988707	-0.6318464144551101	-0.7278373800112931	-0.6589497459062676	-0.6928289102202145	-0.6668548842461886	-0.5279503105590062	-0.5019762845849802	-0.5211744776962168	-0.6939582156973462	-0.7221908526256352	-0.6465273856578204	-0.13269339356295878	-0.3156408808582722	-0.24449463579898362	-0.09994353472614342	-0.031055900621118012	-0.35290796160361376	-0.2941840767927724	-0.20948616600790515	-0.09316770186335403	-0.08977978543195934	-0.18238283455674761	-0.08300395256916997	0.0378317334839074	0.10107284020327499	0.13156408808582723	0.30321852060982496	0.019762845849802372	0.17447769621682666	0.15866741953698477	0.21287408243929984	0.36307171089779783	0.19028797289666854	0.08526256352343309	0.2727272727272727	0.21964991530208922	0.23094297007340486	0.14737436476566912	0.233201581027668	-0.06041784302653868	-0.08074534161490683
NsrR	0.7741389045736872	0.7730095990965556	0.859966120835686	0.8362507058159232	0.8802936194240542	0.9311123658949746	0.9457933370976849	0.955957086391869	0.9356295878035008	0.9469226425748165	0.9288537549407114	1.0	0.974025974025974	0.9525691699604744	0.8814229249011858	0.919819311123659	0.9141727837380011	0.9062676453980801	0.9390175042348955	0.7854319593450029	0.8170525127046866	0.8249576510446076	0.6860530773574252	0.6747600225861096	0.6623376623376623	0.6341050254093732	0.4432523997741389	0.6815358554488989	0.5686053077357425	0.7300959909655562	0.6081309994353472	-0.5821569734613213	-0.4601919819311124	-0.45115753811405984	-0.6871823828345568	-0.6905702992659515	-0.831733483907397	-0.8441558441558441	-0.8610954263128177	-0.7831733483907397	-0.8509316770186336	-0.8915866741953699	-0.7910784867306606	-0.8204404291360813	-0.8181818181818182	-0.8565782044042913	-0.8757763975155279	-0.5753811405985318	-0.6363636363636364	-0.7210615471485037	-0.6623376623376623	-0.6973461321287409	-0.5584415584415584	-0.46357989836250707	-0.5177865612648221	-0.7459062676453981	-0.6453980801806889	-0.655561829474873	-0.11688311688311688	-0.3145115753811406	-0.16431394692264256	-0.13043478260869565	-0.06041784302653868	-0.5031055900621118	-0.30999435347261434	-0.29757199322416716	-0.19028797289666854	-0.163184641445511	-0.08639186900056466	-0.03896103896103896	-0.045736871823828344	0.11462450592885376	0.251270468661773	0.24336533032185206	-0.045736871823828344	0.14850367024280067	0.12478825522303783	0.23771880293619424	0.29983060417843027	0.17108977978543197	0.19028797289666854	0.2919254658385093	0.24675324675324675	0.2704686617730096	0.08526256352343309	0.16544325239977414	-0.03670242800677583	-0.08413325804630152
ArgR	0.8159232072275551	0.7752682100508187	0.8226990400903444	0.8294748729531338	0.8881987577639752	0.9130434782608695	0.9446640316205533	0.9695087521174478	0.9469226425748165	0.9593450028232637	0.9277244494635799	0.974025974025974	1.0	0.9785431959345002	0.9254658385093167	0.9345002823263693	0.9277244494635799	0.9164313946922643	0.9446640316205533	0.7888198757763976	0.7809147374364765	0.8204404291360813	0.6792772444946358	0.7154150197628458	0.6544325239977414	0.6691134952004517	0.4116318464144551	0.6284584980237155	0.5663466967814794	0.6725014116318464	0.665725578769057	-0.49858836815358554	-0.453416149068323	-0.4409937888198758	-0.6939582156973462	-0.6894409937888198	-0.8328627893845285	-0.885940146809712	-0.8746470920383964	-0.8023715415019763	-0.8159232072275551	-0.8983625070581592	-0.7526821005081875	-0.7967250141163185	-0.8159232072275551	-0.8441558441558441	-0.8769057029926595	-0.551665725578769	-0.6804065499717674	-0.6589497459062676	-0.6815358554488989	-0.6781479390175043	-0.5821569734613213	-0.5132693393562959	-0.49294184076792774	-0.7459062676453981	-0.6566911349520045	-0.6894409937888198	-0.06832298136645963	-0.3845285149632976	-0.1767363071710898	-0.1281761716544325	-0.06945228684359118	-0.4624505928853755	-0.25804630152456237	-0.28514963297571994	-0.1756070016939582	-0.17221908526256352	-0.08977978543195934	-0.12365894974590627	-0.028797289666854884	0.08977978543195934	0.23433088650479955	0.21964991530208922	0.015245623941276116	0.17108977978543197	0.09768492377188029	0.26143421795595706	0.2636928289102202	0.18464144551101072	0.15979672501411632	0.2365894974590627	0.17786561264822134	0.2919254658385093	0.16431394692264256	0.21852060982495766	0.034443817052512704	-0.10107284020327499
MntR	0.83399209486166	0.7707509881422925	0.8102766798418972	0.8407679277244494	0.9232072275550537	0.8983625070581592	0.9503105590062112	0.9717673630717109	0.9593450028232637	0.9333709768492378	0.9604743083003953	0.9525691699604744	0.9785431959345002	1.0	0.9457933370976849	0.9288537549407114	0.9277244494635799	0.9254658385093167	0.9525691699604744	0.771880293619424	0.7639751552795031	0.8080180688876341	0.6939582156973462	0.7346132128740824	0.6928289102202145	0.691699604743083	0.47148503670242803	0.655561829474873	0.5798983625070582	0.6578204404291361	0.6905702992659515	-0.45454545454545453	-0.4398644833427442	-0.47035573122529645	-0.7549407114624506	-0.6623376623376623	-0.841897233201581	-0.8927159796725014	-0.8746470920383964	-0.8102766798418972	-0.8520609824957651	-0.9073969508752118	-0.7515527950310559	-0.7922077922077922	-0.8159232072275551	-0.8701298701298701	-0.8893280632411067	-0.6103896103896104	-0.7199322416713722	-0.6408808582721626	-0.7075098814229249	-0.6815358554488989	-0.5629587803500847	-0.5347261434217956	-0.5019762845849802	-0.7233201581027668	-0.6996047430830039	-0.691699604743083	-0.13608130999435347	-0.3901750423489554	-0.19028797289666854	-0.1293054771315641	-0.02766798418972332	-0.4082439299830604	-0.269339356295878	-0.24449463579898362	-0.08526256352343309	-0.18690005646527386	-0.13721061547148503	-0.13495200451722192	0.026538678712591756	0.06719367588932806	0.19367588932806323	0.23997741389045738	0.06041784302653868	0.233201581027668	0.1789949181253529	0.295313382269904	0.33145115753811405	0.1665725578769057	0.07735742518351214	0.2523997741389046	0.21174477696216826	0.25804630152456237	0.18464144551101072	0.20722755505364202	0.0220214568040655	-0.1101072840203275
ThiR	0.805759457933371	0.7549407114624506	0.735742518351214	0.8690005646527386	0.857707509881423	0.885940146809712	0.9299830604178431	0.9243365330321852	0.9017504234895539	0.8949745906267645	0.8927159796725014	0.8814229249011858	0.9254658385093167	0.9457933370976849	1.0	0.9265951439864484	0.9107848673066065	0.9051383399209486	0.9356295878035008	0.7368718238283456	0.7583286278938453	0.7504234895539243	0.7086391869000565	0.7763975155279503	0.6126482213438735	0.7041219649915302	0.5573122529644269	0.6239412761151891	0.5607001693958216	0.6307171089779785	0.6894409937888198	-0.3269339356295878	-0.4579333709768492	-0.4364765669113495	-0.6713721061547149	-0.6420101637492942	-0.8136645962732919	-0.8080180688876341	-0.8204404291360813	-0.8802936194240542	-0.8272162619988707	-0.8870694522868436	-0.7571993224167137	-0.7752682100508187	-0.735742518351214	-0.8249576510446076	-0.8452851496329757	-0.6070016939582157	-0.7843026538678712	-0.6453980801806889	-0.8035008469791078	-0.771880293619424	-0.5358554488989271	-0.6171654432523997	-0.5200451722190853	-0.6273291925465838	-0.655561829474873	-0.665725578769057	-0.1383399209486166	-0.3709768492377188	-0.2715979672501412	-0.20271033314511575	-0.14963297571993225	-0.4059853190287973	-0.29757199322416716	-0.21626199887069453	-0.034443817052512704	-0.233201581027668	-0.09994353472614342	-0.04799548277809147	0.04009034443817053	0.08865047995482778	0.05251270468661773	0.14511575381140598	0.10220214568040654	0.24675324675324675	0.2941840767927724	0.3020892151326934	0.20496894409937888	0.1541501976284585	0.033314511575381144	0.19141727837380013	0.20835686053077357	0.2885375494071146	0.2670807453416149	0.13721061547148503	0.057029926595143984	-0.08865047995482778
Zur	0.7944664031620553	0.7402597402597403	0.8441558441558441	0.771880293619424	0.8825522303783173	0.9288537549407114	0.9299830604178431	0.9311123658949746	0.9141727837380011	0.9040090344438171	0.8825522303783173	0.919819311123659	0.9345002823263693	0.9288537549407114	0.9265951439864484	1.0	0.8881987577639752	0.9085262563523433	0.9322416713721061	0.7402597402597403	0.7221908526256352	0.7120271033314511	0.7244494635798984	0.7876905702992659	0.6408808582721626	0.7492941840767928	0.5347261434217956	0.6092603049124788	0.4364765669113495	0.6329757199322417	0.5437605872388481	-0.4624505928853755	-0.5008469791078487	-0.3709768492377188	-0.6600790513833992	-0.6273291925465838	-0.859966120835686	-0.7504234895539243	-0.7786561264822134	-0.8283455674760023	-0.7763975155279503	-0.9277244494635799	-0.7662337662337663	-0.7967250141163185	-0.8351214003387917	-0.9040090344438171	-0.8565782044042913	-0.5798983625070582	-0.7425183512140033	-0.6318464144551101	-0.7120271033314511	-0.7425183512140033	-0.5211744776962168	-0.5482778091473743	-0.55957086391869	-0.5697346132128741	-0.6453980801806889	-0.5798983625070582	-0.11575381140598531	-0.3461321287408244	-0.2230378317334839	-0.11575381140598531	-0.09090909090909091	-0.37775268210050816	-0.33032185206098247	-0.2795031055900621	-0.18238283455674761	-0.1857707509881423	-0.012987012987012988	-0.08639186900056466	-0.0660643704121965	0.14059853190287974	0.10897797854319594	0.13608130999435347	-0.034443817052512704	0.3020892151326934	0.23997741389045738	0.2106154714850367	0.21174477696216826	0.22190852625635235	0.06719367588932806	0.1789949181253529	0.19367588932806323	0.3416149068322981	0.15302089215132694	0.19141727837380013	0.03670242800677583	-0.07848673066064371
KdgR	0.7684923771880293	0.8159232072275551	0.8102766798418972	0.8644833427442123	0.8746470920383964	0.8802936194240542	0.9006211180124224	0.9243365330321852	0.8735177865612648	0.9006211180124224	0.9232072275550537	0.9141727837380011	0.9277244494635799	0.9277244494635799	0.9107848673066065	0.8881987577639752	1.0	0.9254658385093167	0.948051948051948	0.83399209486166	0.7380011293054771	0.7628458498023716	0.6544325239977414	0.6149068322981367	0.6713721061547149	0.7571993224167137	0.47600225861095424	0.549407114624506	0.5584415584415584	0.5934500282326369	0.611518915866742	-0.39695087521174477	-0.5076228119706381	-0.42179559570863917	-0.7210615471485037	-0.6691134952004517	-0.779785431959345	-0.7741389045736872	-0.8260869565217391	-0.8362507058159232	-0.79785431959345	-0.8475437605872389	-0.7402597402597403	-0.7515527950310559	-0.7775268210050819	-0.8035008469791078	-0.8328627893845285	-0.5629587803500847	-0.7662337662337663	-0.7063805759457933	-0.7899491812535291	-0.691699604743083	-0.6668548842461886	-0.6318464144551101	-0.4025974025974026	-0.7492941840767928	-0.5911914172783738	-0.6171654432523997	-0.15640880858272163	-0.269339356295878	-0.22868435911914173	-0.15189158667419536	-0.0016939582156973462	-0.3404856013551666	-0.2715979672501412	-0.22416713721061546	-0.13043478260869565	-0.22416713721061546	-0.2896668548842462	0.007340485601355167	-0.04009034443817053	0.10107284020327499	0.15979672501411632	0.20271033314511575	0.13043478260869565	0.1665725578769057	0.1281761716544325	0.18690005646527386	0.41727837380011296	0.1383399209486166	0.11123658949745906	0.2388481084133258	0.15640880858272163	0.2354601919819311	0.10107284020327499	0.16431394692264256	0.06945228684359118	-0.06719367588932806
BirA	0.8125352907961604	0.7684923771880293	0.8294748729531338	0.8147939017504235	0.9017504234895539	0.8961038961038961	0.8701298701298701	0.9164313946922643	0.8610954263128177	0.8994918125352908	0.9085262563523433	0.9062676453980801	0.9164313946922643	0.9254658385093167	0.9051383399209486	0.9085262563523433	0.9254658385093167	1.0	0.937888198757764	0.8147939017504235	0.6973461321287409	0.7955957086391869	0.6962168266516092	0.7029926595143986	0.6431394692264257	0.7933370976849238	0.5640880858272163	0.6533032185206098	0.5550536420101637	0.6160361377752682	0.6002258610954263	-0.37888198757763975	-0.4748729531338227	-0.3619424054206663	-0.7560700169395822	-0.6058723884810842	-0.7989836250705816	-0.771880293619424	-0.7368718238283456	-0.7944664031620553	-0.7323546019198193	-0.8396386222473179	-0.753811405985319	-0.7763975155279503	-0.849802371541502	-0.8385093167701864	-0.8667419536984754	-0.7007340485601355	-0.7221908526256352	-0.6837944664031621	-0.7594579333709769	-0.771880293619424	-0.5290796160361377	-0.6408808582721626	-0.4771315640880858	-0.6713721061547149	-0.629587803500847	-0.611518915866742	-0.22190852625635235	-0.2761151891586674	-0.2738565782044043	-0.2682100508187465	-0.11914172783738002	-0.3416149068322981	-0.4048560135516657	-0.21626199887069453	-0.1756070016939582	-0.23094297007340486	-0.15866741953698477	-0.1101072840203275	-0.006211180124223602	0.05815923207227555	0.14285714285714285	0.29079616036137773	0.11801242236024845	0.2885375494071146	0.11688311688311688	0.277244494635799	0.37210615471485037	0.16205533596837945	0.15189158667419536	0.35177865612648224	0.2896668548842462	0.28402032749858835	0.2422360248447205	0.11349520045172219	0.025409373235460192	-0.05138339920948617
NagC	0.7955957086391869	0.7933370976849238	0.8249576510446076	0.8588368153585545	0.8848108413325805	0.9345002823263693	0.9435347261434218	0.9491812535290797	0.9367588932806324	0.9186900056465274	0.9130434782608695	0.9390175042348955	0.9446640316205533	0.9525691699604744	0.9356295878035008	0.9322416713721061	0.948051948051948	0.937888198757764	1.0	0.8001129305477132	0.743647656691135	0.7843026538678712	0.7763975155279503	0.7255787690570299	0.6928289102202145	0.7594579333709769	0.5223037831733484	0.6476566911349521	0.5211744776962168	0.6239412761151891	0.5866741953698476	-0.49858836815358554	-0.48616600790513836	-0.42970073404856013	-0.7413890457368718	-0.6374929418407679	-0.8712591756070017	-0.7707509881422925	-0.8091473743647657	-0.8893280632411067	-0.8486730660643704	-0.8904573687182383	-0.7560700169395822	-0.8283455674760023	-0.8328627893845285	-0.8690005646527386	-0.9062676453980801	-0.6815358554488989	-0.7617165443252399	-0.7470355731225297	-0.7402597402597403	-0.7380011293054771	-0.6081309994353472	-0.5878035008469791	-0.5031055900621118	-0.6736307171089779	-0.5979672501411631	-0.6205533596837944	-0.2478825522303783	-0.2670807453416149	-0.2106154714850367	-0.15753811405985318	-0.011857707509881422	-0.4364765669113495	-0.32580463015245625	-0.21964991530208922	-0.07396950875211744	-0.1259175607001694	-0.18464144551101072	-0.05251270468661773	-0.00282326369282891	0.15979672501411632	0.1981931112365895	0.15979672501411632	0.08977978543195934	0.30547713156408807	0.23771880293619424	0.27498588368153587	0.3709768492377188	0.15527950310559005	0.10559006211180125	0.3156408808582722	0.2456239412761152	0.2523997741389046	0.15189158667419536	0.053642010163749296	-0.00846979107848673	-0.14511575381140598
Rex	0.6928289102202145	0.5482778091473743	0.6521739130434783	0.7300959909655562	0.6623376623376623	0.7334839073969509	0.7029926595143986	0.7594579333709769	0.7233201581027668	0.7967250141163185	0.7662337662337663	0.7854319593450029	0.7888198757763976	0.771880293619424	0.7368718238283456	0.7402597402597403	0.83399209486166	0.8147939017504235	0.8001129305477132	1.0	0.6849237718802936	0.735742518351214	0.5697346132128741	0.44551101072840205	0.7504234895539243	0.6860530773574252	0.42066629023150764	0.6205533596837944	0.5844155844155844	0.35064935064935066	0.4409937888198758	-0.2704686617730096	-0.6318464144551101	-0.5245623941276115	-0.47939017504234893	-0.5640880858272163	-0.6341050254093732	-0.6284584980237155	-0.6002258610954263	-0.5968379446640316	-0.6216826651609261	-0.6815358554488989	-0.6487859966120836	-0.691699604743083	-0.6544325239977414	-0.7063805759457933	-0.7605872388481084	-0.6024844720496895	-0.6702428006775832	-0.6804065499717674	-0.7594579333709769	-0.6894409937888198	-0.6578204404291361	-0.4522868435911914	-0.3178994918125353	-0.6792772444946358	-0.5731225296442688	-0.37888198757763975	-0.1293054771315641	-0.22529644268774704	-0.34726143421795597	-0.07284020327498589	-0.08526256352343309	-0.20722755505364202	-0.15753811405985318	-0.25352907961603616	-0.18238283455674761	-0.3190287972896669	-0.3438735177865613	-0.26143421795595706	-0.28402032749858835	-0.04799548277809147	0.10333145115753811	0.007340485601355167	0.0942970073404856	0.17334839073969507	-0.054771315640880856	0.07735742518351214	0.16092603049124787	-0.032185206098249576	0.28176171654432525	0.4398644833427442	0.4105025409373235	0.391304347826087	0.26256352343308864	0.2919254658385093	0.22868435911914173	0.09881422924901186
IscR	0.5211744776962168	0.49632975719932243	0.6194240542066629	0.8159232072275551	0.6431394692264257	0.7594579333709769	0.7492941840767928	0.7752682100508187	0.7809147374364765	0.7741389045736872	0.7188029361942405	0.8170525127046866	0.7809147374364765	0.7639751552795031	0.7583286278938453	0.7221908526256352	0.7380011293054771	0.6973461321287409	0.743647656691135	0.6849237718802936	1.0	0.8656126482213439	0.5426312817617166	0.5392433653303218	0.5832862789384529	0.40372670807453415	0.26595143986448333	0.6453980801806889	0.4816487859966121	0.6126482213438735	0.5437605872388481	-0.2738565782044043	-0.3450028232636928	-0.4308300395256917	-0.46357989836250707	-0.5550536420101637	-0.5686053077357425	-0.665725578769057	-0.7967250141163185	-0.6826651609260305	-0.7843026538678712	-0.7571993224167137	-0.7346132128740824	-0.6815358554488989	-0.49858836815358554	-0.6250705815923208	-0.6702428006775832	-0.4048560135516657	-0.36984754376058726	-0.5629587803500847	-0.7809147374364765	-0.7673630717108978	-0.3145115753811406	-0.163184641445511	-0.24449463579898362	-0.6273291925465838	-0.5934500282326369	-0.5765104460756635	-0.09768492377188029	-0.39695087521174477	-0.18125352907961603	0.057029926595143984	-0.21626199887069453	-0.6205533596837944	-0.23207227555053642	-0.3111236589497459	-0.06041784302653868	-0.3608130999435347	-0.13495200451722192	0.028797289666854884	0.006211180124223602	-0.044607566346696784	0.1756070016939582	0.19367588932806323	-0.10559006211180125	-0.08865047995482778	0.2106154714850367	0.18690005646527386	0.10107284020327499	0.08977978543195934	0.21287408243929984	0.35064935064935066	0.25578769057029926	0.21739130434782608	0.04121964991530209	0.16431394692264256	-0.20271033314511575	-0.08074534161490683
XylR	0.6352343308865048	0.5358554488989271	0.5844155844155844	0.7820440429136082	0.7188029361942405	0.7481648785996612	0.7199322416713722	0.805759457933371	0.8114059853190287	0.8283455674760023	0.7763975155279503	0.8249576510446076	0.8204404291360813	0.8080180688876341	0.7504234895539243	0.7120271033314511	0.7628458498023716	0.7955957086391869	0.7843026538678712	0.735742518351214	0.8656126482213439	1.0	0.6216826651609261	0.5889328063241107	0.6487859966120836	0.48616600790513836	0.2727272727272727	0.611518915866742	0.45115753811405984	0.48616600790513836	0.5719932241671372	-0.28740824392998304	-0.2523997741389046	-0.36645962732919257	-0.5742518351214003	-0.5798983625070582	-0.5810276679841897	-0.7233201581027668	-0.7142857142857143	-0.6691134952004517	-0.6826651609260305	-0.7323546019198193	-0.7752682100508187	-0.7662337662337663	-0.6024844720496895	-0.6047430830039525	-0.7391304347826086	-0.5979672501411631	-0.39695087521174477	-0.5042348955392434	-0.6996047430830039	-0.6679841897233202	-0.3382269904009034	-0.32241671372106157	-0.2636928289102202	-0.6273291925465838	-0.5505364201016375	-0.5832862789384529	-0.2140033879164314	-0.4025974025974026	-0.18012422360248448	-0.00846979107848673	-0.2930547713156409	-0.6194240542066629	-0.30773574251835123	-0.30886504799548276	-0.04799548277809147	-0.23771880293619424	-0.2230378317334839	-0.10559006211180125	0.06719367588932806	-0.00282326369282891	0.24449463579898362	0.32806324110671936	0.007340485601355167	0.03557312252964427	-0.07396950875211744	0.277244494635799	0.23433088650479955	-0.024280067758328628	0.14737436476566912	0.48616600790513836	0.25578769057029926	0.19593450028232637	0.18690005646527386	0.1541501976284585	-0.2140033879164314	-0.2354601919819311
AgaR	0.6442687747035574	0.5957086391869001	0.6205533596837944	0.6284584980237155	0.5753811405985318	0.7651044607566346	0.7402597402597403	0.7300959909655562	0.8080180688876341	0.6487859966120836	0.6465273856578204	0.6860530773574252	0.6792772444946358	0.6939582156973462	0.7086391869000565	0.7244494635798984	0.6544325239977414	0.6962168266516092	0.7763975155279503	0.5697346132128741	0.5426312817617166	0.6216826651609261	1.0	0.823828345567476	0.5607001693958216	0.551665725578769	0.40146809712027104	0.6250705815923208	0.1293054771315641	0.43873517786561267	0.3551665725578769	-0.4184076792772445	-0.32128740824393	-0.3269339356295878	-0.47374364765669114	-0.47148503670242803	-0.6815358554488989	-0.52343308865048	-0.5505364201016375	-0.6499153020892151	-0.6453980801806889	-0.655561829474873	-0.6973461321287409	-0.7707509881422925	-0.6623376623376623	-0.7933370976849238	-0.8712591756070017	-0.6058723884810842	-0.5279503105590062	-0.6047430830039525	-0.4906832298136646	-0.6510446075663467	-0.47261434217955955	-0.44551101072840205	-0.383399209486166	-0.37210615471485037	-0.26595143986448333	-0.30660643704121965	-0.25804630152456237	-0.10107284020327499	-0.15753811405985318	-0.05251270468661773	0.10333145115753811	-0.6182947487295314	-0.4342179559570864	-0.3156408808582722	0.0016939582156973462	0.032185206098249576	0.042348955392433656	-0.14963297571993225	0.08074534161490683	0.3337097684923772	0.24449463579898362	0.11462450592885376	-0.0016939582156973462	0.24449463579898362	0.11914172783738002	0.057029926595143984	0.07509881422924901	0.017504234895539244	-0.08300395256916997	0.3020892151326934	0.029926595143986448	0.10559006211180125	0.054771315640880856	0.0220214568040655	-0.045736871823828344	-0.5211744776962168
GulR	0.6533032185206098	0.6837944664031621	0.6352343308865048	0.5019762845849802	0.7007340485601355	0.7391304347826086	0.7459062676453981	0.7481648785996612	0.8159232072275551	0.6996047430830039	0.6815358554488989	0.6747600225861096	0.7154150197628458	0.7346132128740824	0.7763975155279503	0.7876905702992659	0.6149068322981367	0.7029926595143986	0.7255787690570299	0.44551101072840205	0.5392433653303218	0.5889328063241107	0.823828345567476	1.0	0.5471485036702428	0.577639751552795	0.32580463015245625	0.5302089215132694	0.06041784302653868	0.4624505928853755	0.42857142857142855	-0.3709768492377188	-0.233201581027668	-0.409373235460192	-0.5347261434217956	-0.5335968379446641	-0.6905702992659515	-0.5471485036702428	-0.5697346132128741	-0.6770186335403726	-0.5844155844155844	-0.7752682100508187	-0.6792772444946358	-0.7571993224167137	-0.6736307171089779	-0.7628458498023716	-0.8136645962732919	-0.4805194805194805	-0.5369847543760587	-0.37323546019198195	-0.47148503670242803	-0.6973461321287409	-0.3269339356295878	-0.3675889328063241	-0.4839073969508752	-0.30547713156408807	-0.4138904573687182	-0.42405420666290233	0.024280067758328628	-0.20948616600790515	-0.13495200451722192	-0.04912478825522304	-0.16544325239977414	-0.44551101072840205	-0.3438735177865613	-0.3337097684923772	-0.14059853190287974	-0.053642010163749296	0.13269339356295878	-0.023150762281197064	0.13946922642574816	0.23997741389045738	0.2264257481648786	0.3235460191981931	-0.11462450592885376	0.2738565782044043	0.1857707509881423	-0.006211180124223602	-0.09768492377188029	0.15979672501411632	-0.2546583850931677	0.08865047995482778	-0.1281761716544325	0.1067193675889328	0.21964991530208922	0.054771315640880856	-0.1857707509881423	-0.39695087521174477
Irr	0.427442123094297	0.5042348955392434	0.5719932241671372	0.4409937888198758	0.6216826651609261	0.6318464144551101	0.6058723884810842	0.6950875211744777	0.7007340485601355	0.6826651609260305	0.6792772444946358	0.6623376623376623	0.6544325239977414	0.6928289102202145	0.6126482213438735	0.6408808582721626	0.6713721061547149	0.6431394692264257	0.6928289102202145	0.7504234895539243	0.5832862789384529	0.6487859966120836	0.5607001693958216	0.5471485036702428	1.0	0.5708639186900056	0.189158667419537	0.4579333709768492	0.3450028232636928	0.2354601919819311	0.34726143421795597	-0.28176171654432525	-0.36645962732919257	-0.7131564088085828	-0.5640880858272163	-0.45454545454545453	-0.4872953133822699	-0.46922642574816487	-0.5268210050818747	-0.5866741953698476	-0.5686053077357425	-0.6758893280632411	-0.5697346132128741	-0.7300959909655562	-0.6510446075663467	-0.639751552795031	-0.7312252964426877	-0.5358554488989271	-0.5471485036702428	-0.37775268210050816	-0.611518915866742	-0.5686053077357425	-0.48955392433653305	-0.23207227555053642	-0.16770186335403728	-0.42066629023150764	-0.40372670807453415	-0.22755505364201017	-0.20609824957651043	0.04009034443817053	-0.08074534161490683	0.07848673066064371	-0.005081874647092038	-0.2140033879164314	-0.15302089215132694	-0.28176171654432525	-0.13721061547148503	-0.39695087521174477	-0.5358554488989271	-0.20722755505364202	-0.17334839073969507	-0.028797289666854884	0.3370976849237719	0.19254658385093168	-0.054771315640880856	0.14511575381140598	0.023150762281197064	-0.03557312252964427	0.24449463579898362	-0.15302089215132694	-0.15866741953698477	0.5369847543760587	0.163184641445511	0.32241671372106157	0.15640880858272163	0.003952569169960474	-0.08865047995482778	-0.21174477696216826
SiaR	0.6939582156973462	0.6453980801806889	0.5787690570299266	0.5573122529644269	0.7233201581027668	0.6600790513833992	0.6634669678147939	0.6758893280632411	0.6612083568605308	0.6578204404291361	0.6770186335403726	0.6341050254093732	0.6691134952004517	0.691699604743083	0.7041219649915302	0.7492941840767928	0.7571993224167137	0.7933370976849238	0.7594579333709769	0.6860530773574252	0.40372670807453415	0.48616600790513836	0.551665725578769	0.577639751552795	0.5708639186900056	1.0	0.4150197628458498	0.34839073969508755	0.3450028232636928	0.2919254658385093	0.26143421795595706	-0.25917560700169395	-0.42066629023150764	-0.1880293619424054	-0.7018633540372671	-0.6273291925465838	-0.5934500282326369	-0.4116318464144551	-0.40033879164313946	-0.7289666854884246	-0.5245623941276115	-0.7481648785996612	-0.42292490118577075	-0.5381140598531903	-0.6239412761151891	-0.6476566911349521	-0.6341050254093732	-0.5268210050818747	-0.6442687747035574	-0.4624505928853755	-0.6205533596837944	-0.6205533596837944	-0.5968379446640316	-0.6024844720496895	-0.2761151891586674	-0.37210615471485037	-0.5200451722190853	-0.42970073404856013	-0.16996047430830039	-0.23207227555053642	-0.25804630152456237	-0.06267645398080181	0.04799548277809147	-0.026538678712591756	-0.20271033314511575	-0.20948616600790515	-0.36307171089779783	-0.19480519480519481	-0.25014116318464147	-0.033314511575381144	-0.1756070016939582	0.12027103331451157	0.0378317334839074	0.007340485601355167	0.17221908526256352	0.3867871259175607	0.20496894409937888	0.043478260869565216	0.4082439299830604	-0.055900621118012424	-0.07961603613777526	0.2388481084133258	0.17786561264822134	0.11236589497459062	0.22190852625635235	0.06832298136645963	0.09655561829474874	-0.14737436476566912
