	CueR	FruR	MerR	FadP	AcnR	NifA	FadR	GntR	BioQ	NnrR	NtrC	PurR	LiuR	RbsR	LtbR	ZntR	NmlR	PaaR	RutR	FixJ	GlcC	DasR	PhnR	PdxR	FnrN_FixK	HrcA	FabR	QorR	PrpR	CadR-PbrR	GguR	TtrR	CsoR	HcpR	MetJ	NorR	TyrR	CcpA	HisR	PsrA	NiaR	HutC	PhnF	HexR	HypR	XylR	IscR	MetR	BirA	RbkR	MntR	ThiR	KdgR	NagC	FUR	SahR_SamR	Zur	NsrR	NrtR	ArgR	Phr	NadQ	Rex	PhrR	AraR	CzrA	ModE	Irr	SiaR	AgaR	GulR	AmtR	VanR	CblR	PhsR	LexA	SdaR	SoxR	NarP	TrpR	NrdR	NagQ	NikR	NagR	LiuQ	ExuR_UxuR	LldR	PdhR
NtrC	0.738797066457074	0.7548897094164013	0.5367286585883031	0.7022465239099581	0.6194536643841426	0.7099139953972553	0.6989556180061182	0.7741149329096245	0.6951558091274576	0.8451804061045739	1.0	0.6661370306076867	0.7298403741002313	0.6803410780826797	0.41177601483734894	0.3348411939994685	0.48657344318098283	0.541614127146581	0.3856975646165416	0.41283905660697423	0.5808222741177601	0.5283713408462491	0.5078795143934725	0.6019247841403215	0.7035922895544837	0.6677881380371047	0.3956946808330176	0.4184030624650129	0.16404204669467518	0.1305449219964829	0.05125783851943161	-0.03454320303532352	0.1518283752989805	0.1809489344137155	0.2455004495309611	0.16507116159931243	-0.4482247767895008	-0.4521489841731175	-0.41520262820114107	-0.41294083720193836	-0.5312777422802246	-0.6208899016686363	-0.6891055182045903	-0.5242661901826962	-0.4501925349588071	-0.6403073773967917	-0.7907164788437725	-0.7940865474325844	-0.6626877993339025	-0.7293540890354027	-0.7333122232840075	-0.7359698277080706	-0.7386500500421258	-0.7547540019564493	-0.7740131523146604	-0.7876969878598368	-0.8130969007808834	-0.7957941996369825	-0.7715817269905174	-0.7457633827346184	-0.7619691152439059	-0.5755523010896179	-0.4454427738604814	-0.7106264595620042	-0.7342621755036726	-0.7245817100270849	-0.6668381858174396	-0.5622303521043138	-0.6302650253603316	-0.643066762415819	-0.7436599171053598	0.06851530384334835	-0.024455615178879394	-0.09838225398782026	-0.15298188870857388	-0.07350255299659035	0.28121412940837204	0.05990918909138201	-0.24137268095741612	-0.361880905394937	-0.2811010398584119	-0.11835386851078027	-0.0892672362610333	-0.43291245172489834	-0.13847249944868845	-0.20122589072156788	-0.22633177081271805	-0.07118421722240756
PurR	0.5689591803269419	0.6973497463966842	0.5906271380993039	0.6780905960384731	0.5853910919361497	0.5569151432561874	0.6058829183889263	0.6804541676326399	0.5639606222187039	0.7318420591345257	0.6661370306076867	1.0	0.6970330956567958	0.6887323226897218	0.3471453370351313	0.35329740855296266	0.4424006649665538	0.4735794538905632	0.2929415157392381	0.38318697660742657	0.42790258466166436	0.45369831100757135	0.3634415411843869	0.41263549541704597	0.5013655563157686	0.5586680312805695	0.47672334337945504	0.24296724361185404	0.054854086208163934	0.04649676846610989	0.07485962759611198	0.04821572962550395	0.12292268632916975	0.2039965846955912	0.07715534546030274	0.2865180293015024	-0.30340229911055067	-0.39604525843789407	-0.371052467896704	-0.3008125484164636	-0.52246806633833	-0.6717010364657254	-0.5909890246591764	-0.40305681053542247	-0.36975193807216244	-0.5707799220813001	-0.7128882505612069	-0.7036149074644757	-0.6206750315237121	-0.6497051189984789	-0.6739967543299161	-0.6960265986621507	-0.6706719215610881	-0.6951558091274576	-0.7145280490356288	-0.7090771327275504	-0.7183391668692855	-0.6998829523157912	-0.6931767420031552	-0.6731598916602112	-0.6776947826136126	-0.5468614822647313	-0.4989454399466217	-0.5519278941029454	-0.6821165840170539	-0.6559702800662705	-0.6010087587856444	-0.5097454919678147	-0.5570056148961555	-0.5576162984659403	-0.6485516055888856	0.15819531696173614	0.04762766396571125	0.06237454128051297	-0.040028046208390115	0.018043437696139687	0.16831683168316833	0.05016086988481829	-0.30229402152094137	-0.42892039061130555	-0.3076431572340558	-0.12157692068464414	-0.052185172829104724	-0.33291867165014616	-0.03384204782557068	-0.13100858915131947	-0.24993355988939842	-0.14369723665684672
LiuR	0.6599284143148753	0.654782839791689	0.6096261824926068	0.7610757077992208	0.6125438928815783	0.676382943834075	0.6469118071144636	0.6673018529722761	0.5940876783280841	0.7343639560986367	0.7298403741002313	0.6970330956567958	1.0	0.7621613674788381	0.4990924563615699	0.35735732339653153	0.570689450441332	0.5955239156125778	0.3292093344114537	0.4091410283232778	0.41743049233535573	0.48907272223510184	0.38954260931518625	0.4627794018693703	0.48004817614828305	0.5743874787250284	0.461750286964733	0.275378708630429	0.12152037590966407	0.12879203397210082	0.144771587381468	0.09012671684073033	0.15290272602360178	0.1395355412183137	0.18109595082866367	0.23289096471040593	-0.3302158314060989	-0.48655082527099086	-0.3490113146094735	-0.41790546844518833	-0.5304408796105196	-0.6401264341168554	-0.6608896754895364	-0.4140943506115317	-0.44745576784977187	-0.609795816817547	-0.7536457243668399	-0.7868488162351358	-0.6540251398069561	-0.7006858881205082	-0.7036149074644757	-0.7327241576242147	-0.7293993248553867	-0.7390684813769783	-0.7738095911247321	-0.7760826910789308	-0.7618334077839537	-0.7842816834510407	-0.747109148379144	-0.7177171743445047	-0.7427438917506828	-0.6268157940865474	-0.4879305177805045	-0.5878112083052965	-0.7051868522089216	-0.6737818841849919	-0.7275785831010285	-0.5724197205557221	-0.5510797224782444	-0.5859113038659662	-0.6816416079072213	0.15185099320897252	-0.015193581037144263	-0.10089284199693527	-0.08407642591786306	0.02589185246337312	0.15510797224782444	0.09923042561252128	-0.22231709178913323	-0.3463989460053944	-0.26127644175040005	-0.19479109532883615	0.0026519499465651876	-0.3911597898796162	-0.17238805548173322	-0.2545023777077879	-0.3373517820085835	-0.1675704406534314
RbsR	0.6758627319042584	0.6376384640177324	0.61897868827431	0.7601709913995397	0.6821618198370379	0.6621562784490899	0.5826317069171223	0.6070590497085117	0.6208785927136403	0.7177171743445047	0.6803410780826797	0.6887323226897218	0.7621613674788381	1.0	0.42545985038252543	0.38588981685147383	0.5081961651333609	0.609761889952559	0.44191437990172516	0.4286150488264132	0.39948318075668215	0.4995561235164065	0.3875861601008759	0.38342446466234287	0.4454088469954934	0.5660075430729823	0.3743094469355559	0.18471481642738802	0.1282831309972802	0.07109374558243946	0.24386065105653912	0.01071523485872288	0.2242961589134356	0.3383243521382407	0.21288542332245788	0.2167078501111105	-0.40106643445612405	-0.43846514862794106	-0.5164743201904428	-0.4568082736314751	-0.6717349633307135	-0.6848307332160972	-0.6340648342389922	-0.4564463870716026	-0.4824230566974459	-0.6133355197312992	-0.68051071240762	-0.6721873215305539	-0.6740306811949042	-0.6990687075560783	-0.6765186512940272	-0.718011207174401	-0.6686815454817897	-0.694714759882613	-0.7367501456027956	-0.7323735800193383	-0.7446664141000051	-0.7630887017885112	-0.7343752650536327	-0.7253167921018259	-0.7334253128339676	-0.6279919254061328	-0.5641076386336521	-0.6489474190137461	-0.7181469146343532	-0.7542450989816286	-0.7659385584475067	-0.5294909273908545	-0.5670932027525997	-0.49061074011455974	-0.6345058834838366	0.16719724513856296	-0.033796812005586624	-0.08248186326342515	-0.07808267976997585	0.18780216114129974	0.04806871321055578	0.052433969839017026	-0.3346828686295243	-0.37150482609654456	-0.2815420891032564	-0.23458730795980798	-0.09135939293529581	-0.35028922652402306	0.04109108797801539	-0.20928917563372557	-0.2709116714070036	-0.15553771253767296
LtbR	0.45496491396712485	0.46093604220502005	0.5659849251629903	0.5937484096782036	0.40953684174813826	0.5343650869941363	0.40514896720968496	0.3308717507958677	0.3432663654714986	0.44828132156448086	0.41177601483734894	0.3471453370351313	0.4990924563615699	0.42545985038252543	1.0	0.5153660426008335	0.41867447738491725	0.48750077749065596	0.2238777275785831	0.4639894600539437	0.32710586878219516	0.4470825723349034	0.36499086801884073	0.29463785898864014	0.2568207134819707	0.27291335644129805	0.19850043256752858	0.2203719515298189	0.2496734539244901	0.18540466268214487	0.4353551860040373	0.2889381456706493	0.266207146128662	0.3239054345183233	0.20060389819678712	0.2166399963811344	-0.338618384968137	-0.5219478544085134	-0.5250125812124331	-0.49952219665141845	-0.34404668336622357	-0.31293574817219016	-0.3400320043426387	-0.32643864043743037	-0.3390141983929975	-0.554890840311901	-0.5061944800990664	-0.523259693188051	-0.641472199761381	-0.5904575037743637	-0.6369259998529836	-0.6418227773662575	-0.6151562614856574	-0.6060864795788545	-0.6050347467642253	-0.559041226795438	-0.5679526833322966	-0.6075340258183443	-0.6178364838197127	-0.5925609694036222	-0.6124873481065982	-0.4622365720295616	-0.5042832667047401	-0.3996075792616383	-0.5113739814872407	-0.519131924614506	-0.5093496785429542	-0.36145116510508846	-0.3029160140457221	-0.3079032631989641	-0.44448151268582026	0.009539103539137466	0.016708981006610085	0.10514500907543639	0.011020576643615247	0.18762121786136352	0.04239161780255696	-0.16775138393336764	-0.1949381117437843	-0.18952112230069382	0.024455615178879394	-0.08582931394224516	0.05821284584197997	-0.19313998789941816	-0.23649852135413427	-0.062476321875477095	-0.33096222243583584	-0.117302135696151
ZntR	0.42400099518803963	0.3535009697428909	0.4969776817773154	0.48333908205212295	0.41344974017675895	0.4881566968804248	0.314451148141656	0.22939649761663775	0.29706928431278307	0.3291867165014617	0.3348411939994685	0.35329740855296266	0.35735732339653153	0.38588981685147383	0.5153660426008335	1.0	0.5432199987560149	0.44755754844473594	0.22701030811247885	0.40951422383814623	0.2655738446488852	0.39872548077194925	0.24193812870721682	0.2889381456706493	0.2373580019338313	0.24262797496197364	0.17293088532154186	0.1657270809890812	0.03876144324883659	0.23723360342887514	0.31194056013254096	0.2320314841307089	0.2015086145964682	0.16071721392584717	0.11111613731333156	0.10921623287400128	-0.3987820255469293	-0.4735681449355672	-0.45435423039734013	-0.36968408434218636	-0.37100723207671993	-0.3532408637779826	-0.2558029075323295	-0.23096844236108363	-0.297012739537803	-0.485035425301525	-0.4094916059281542	-0.44313574704129466	-0.5361745197934985	-0.5013203204957846	-0.5047356249045807	-0.5029714279252026	-0.5289594065060418	-0.5081283114033848	-0.5056742681692499	-0.5195051201293744	-0.4684678062323651	-0.4834747895120751	-0.5132060321965949	-0.4989228220366297	-0.4818802268576372	-0.40637033434925446	-0.4528049035628863	-0.3497690145942064	-0.4464718887651187	-0.4773566448592318	-0.4644757451187723	-0.35736863235152755	-0.25371075085806694	-0.44728613352483165	-0.3778830767142962	-0.07775472007509146	0.1147350029120559	-0.010342039343854432	-0.13556609801471295	0.10609496129510153	0.0917665153151523	0.008442134904524147	-0.24306902420681817	-0.17766933746487157	0.02342650027424216	-0.07856896483480444	0.13052230408649088	-0.16026485572600663	-0.1262927549179818	-0.14336927696196233	-0.2890964710405935	-0.16243617508524125
NmlR	0.565679583378098	0.48722936257075167	0.6442202758254123	0.6435530474806476	0.5098698904727709	0.5699882952315791	0.4127485849670061	0.3598905293156386	0.3854940034266134	0.5548229865819249	0.48657344318098283	0.4424006649665538	0.570689450441332	0.5081961651333609	0.41867447738491725	0.5432199987560149	1.0	0.5378482451329085	0.26760945654816765	0.47823874334892086	0.3565204607268265	0.4115498357374287	0.2374258556638074	0.3781658005891966	0.2925117754493896	0.36278562179461804	0.4132687968968228	0.16586278844903338	0.14688636196572255	0.09882330323266479	0.25072518673911937	0.08481150799260394	0.010817015453687002	-0.01618876907679346	0.14902375445996913	0.07854634692481241	-0.47590909861974207	-0.5683371878021611	-0.5230561319981227	-0.34160394908708464	-0.41860662365494117	-0.4223951235786057	-0.3672413500630474	-0.28813520986593233	-0.3775324991094198	-0.6087327750479217	-0.5600590327450792	-0.583208463621919	-0.5628071088091104	-0.6237510672826277	-0.6085857586329735	-0.6086196854979615	-0.5985094797315255	-0.5836042770467795	-0.6126796003415305	-0.6252212314321095	-0.6289871134457821	-0.604016940814584	-0.6232647822177991	-0.5921086112037817	-0.5763552368943348	-0.4743484628302922	-0.4525221796879859	-0.49731695042719576	-0.53741850484306	-0.47437108074028417	-0.6250855239721573	-0.3823274960277296	-0.2967526335728947	-0.4593188616405901	-0.4953378833028934	-0.09606391821363747	0.09877806741268073	-0.13598452934956545	-0.1780990777547201	0.0859424034922053	0.00794454088469955	0.09479731525408394	-0.26384357453449514	-0.28724180242124725	-0.08706199003681064	-0.25436667024783577	0.11610338646657356	-0.2369508795539748	-0.18571000446703723	-0.2145591486618679	-0.2262073723077619	-0.22701030811247885
PaaR	0.5369661466432194	0.5641189475886481	0.6076018795483203	0.6777400184335967	0.6444012191053485	0.587358850105456	0.6279579985411448	0.4573397945162877	0.5509327060632963	0.5808448920277521	0.541614127146581	0.4735794538905632	0.5955239156125778	0.609761889952559	0.48750077749065596	0.44755754844473594	0.5378482451329085	1.0	0.3272076493771593	0.4524203990930218	0.4552363288870292	0.445951676835302	0.32672136431233073	0.351906407088453	0.38129838112309233	0.5186795664146655	0.22144630225444017	0.17934306280428158	0.17872107027950082	0.22392296339856715	0.2629727849998021	0.12477735494851598	0.18689744474161865	0.28725311137624326	0.18333512391787438	0.09622224358358165	-0.5364798615783909	-0.5312890512352206	-0.5304521885655156	-0.5067033830738871	-0.48984173117483076	-0.46600245404323415	-0.5068390905338392	-0.431770247270301	-0.3936703778887312	-0.6396401490520268	-0.5043511204347162	-0.5726798265206303	-0.6688285618967379	-0.6291115119507382	-0.633137499929319	-0.6375593013327604	-0.6595552188000068	-0.6098975974125111	-0.648087938434049	-0.6811327049324007	-0.6416192161763292	-0.6383170013174932	-0.6623711485940141	-0.6603920814697118	-0.6466403921945593	-0.5362197556134826	-0.43405465617949573	-0.5705198161163918	-0.631429847724921	-0.6862217346806069	-0.6718932887006576	-0.4935058325935392	-0.37740810060446367	-0.41058857456276754	-0.4826266178873741	0.12366907735890666	0.04326240733725	0.017534534721319075	-0.0448456610366919	0.2519578628336849	-0.00914329011427699	0.10334688523107022	-0.1897699193106061	-0.3508999100938078	-0.18209113886831288	-0.16626991082888987	-0.06906944263815303	-0.381852519917897	-0.16392895714471503	-0.21727329786091115	-0.3093960452584379	-0.24922109572464957
RutR	0.6145681958258647	0.5196295186343306	0.3999016120915347	0.3646515993689603	0.39013067497497894	0.48764779390560414	0.46025750490525924	0.36467421727895233	0.4693838315870422	0.42258737581353795	0.3856975646165416	0.2929415157392381	0.3292093344114537	0.44191437990172516	0.2238777275785831	0.22701030811247885	0.26760945654816765	0.3272076493771593	1.0	0.43700629343345526	0.4466528320450549	0.5409016629818322	0.459239698955618	0.3899497316950427	0.4032264448603627	0.2664446341835783	0.05138223702438776	-0.003534048436254248	0.32597497328259384	0.17693425539013066	0.1088995821341129	0.09722874057822686	0.2189696411103132	0.26642201627358625	0.2284465453969726	0.1925066864196414	-0.34439726097109996	-0.3015023946712204	-0.4935171415485352	-0.46983618978688274	-0.5068956353088193	-0.3636677202843071	-0.43648608150363866	-0.36683422768319096	-0.3662235441134062	-0.41884411170985747	-0.45089369016855996	-0.43890619787278556	-0.47452940611022837	-0.5061944800990664	-0.475863862799758	-0.5258494438821381	-0.4520924393981374	-0.4860419222961702	-0.4944105489932203	-0.45128950359342046	-0.5330984840345828	-0.5443848211206044	-0.5526742851326824	-0.5463299613799187	-0.5504803478634557	-0.3956946808330176	-0.403452623960283	-0.4881680058354208	-0.4174757281553398	-0.4824230566974459	-0.4455784813204336	-0.2168887933910467	-0.30719079903421526	-0.3376118879734918	-0.39754934945236386	0.030438052371770587	0.34213546997189725	0.1407682173128792	0.08182594387365635	-0.09532883613889659	-0.18989431781556226	0.0178851123261955	-0.10805141050941187	-0.28474252336712824	0.09813345697790796	-0.19014311482547455	-0.1876777626363436	-0.05717242198234672	0.018880300365844694	-0.04508314909160819	-0.05503502948810015	0.04751457441575111
FixJ	0.6217833091133214	0.5544837179320445	0.653097805497283	0.5486369881991054	0.5616309774895251	0.5387642704875856	0.531549157200129	0.37433206484554793	0.445962985790298	0.5080491487184127	0.41283905660697423	0.38318697660742657	0.4091410283232778	0.4286150488264132	0.4639894600539437	0.40951422383814623	0.47823874334892086	0.4524203990930218	0.43700629343345526	1.0	0.5134548292065072	0.5303390990155554	0.5073366845536638	0.3069193841143109	0.48240043878745387	0.30119705288632803	0.27336571464113857	0.1804513403938909	0.20348768172077059	0.2552035329175408	0.3249571673329526	0.2823110980429853	0.40485493437978864	0.4804439895731435	0.3883551690406048	0.2910755381648959	-0.4902036177347032	-0.4955301355378256	-0.5589620641104659	-0.6379664237126168	-0.3386749297431171	-0.2998399782868064	-0.3439335938162634	-0.29812101712741235	-0.401824134440857	-0.6271098269164438	-0.590706300784276	-0.6160835957953306	-0.721290804123245	-0.6852265466409576	-0.70377323283442	-0.7022352149549621	-0.6719611424306337	-0.7015227507902132	-0.6825237063969104	-0.6787125885632538	-0.6620318799441338	-0.6995436836659108	-0.7058088447337024	-0.7298856099202153	-0.7066909432233914	-0.6667816410424595	-0.6697445872514151	-0.4706391255915997	-0.5796687607081668	-0.5976952349718124	-0.5624791491142261	-0.491673781884185	-0.4248039309927566	-0.5240400110827759	-0.5941216051930721	-0.010817015453687002	0.07180620974718831	0.10925015973898931	-0.09062431086055493	0.06169600398075216	-0.2759554653352257	-0.14304131726707794	-0.22517825740312467	-0.17159642863201227	0.2074005801493913	-0.0591514891066491	-0.035436610480008596	0.022159897314688638	-0.16320518402497017	-0.14003313523813832	-0.23008634387139457	-0.11027927464362655
GlcC	0.5888403232099337	0.6578588755506047	0.6057359019739781	0.5483316464142131	0.5245941498775806	0.5865672232557351	0.5912378216690887	0.4970002996873074	0.5613708715246167	0.657236883025824	0.5808222741177601	0.42790258466166436	0.41743049233535573	0.39948318075668215	0.32710586878219516	0.2655738446488852	0.3565204607268265	0.4552363288870292	0.4466528320450549	0.5134548292065072	1.0	0.5750773249797853	0.6028408094949986	0.422621302678526	0.5197878440042748	0.4344391606493602	0.20479952050030817	0.190516310340343	0.23729014820385522	0.259568789546002	0.17643666137030609	0.17736399567997918	0.19549225053858899	0.2532357747482344	0.26981470277239034	0.10533726131036862	-0.5987695856964337	-0.5478453613493846	-0.5235424170629513	-0.5350436242938971	-0.4149990670112128	-0.3621410113598453	-0.40510373138970096	-0.3974249509474077	-0.4714872972163007	-0.6486533861838497	-0.5918145783738854	-0.6694957902415027	-0.6444238370153406	-0.6887436316447179	-0.6873300122702162	-0.6296317238805548	-0.660629569524628	-0.6585826486703497	-0.6597813978999271	-0.6582320710654732	-0.6821392019270459	-0.6549750920266213	-0.6866401660154593	-0.69886514636615	-0.6801262079377555	-0.49270289678882223	-0.43532125913904923	-0.5852893113411856	-0.6091512063827742	-0.5363780809834268	-0.540788573431872	-0.4496610140739945	-0.4849223357515649	-0.4969098280473393	-0.5810597621726764	0.18462434478741993	0.1914210267400241	0.09375689139445069	-0.04823834753549598	-0.1065699374049341	-0.020452245110290583	-0.06099484877099932	-0.27093428931699565	-0.31042516016307514	-0.056346868267637726	0.084031190097879	-0.1105619985185269	-0.18957766707567386	-0.044348067016867304	-0.14452279037155571	0.018733283950896518	0.02877563598735659
DasR	0.6898292913243351	0.6736348677700437	0.6083256526680652	0.6217493822483333	0.6494223951235786	0.6430554534608229	0.5908193903342361	0.45227338267807365	0.5586906491905616	0.5946870529428728	0.5283713408462491	0.45369831100757135	0.48907272223510184	0.4995561235164065	0.4470825723349034	0.39872548077194925	0.4115498357374287	0.445951676835302	0.5409016629818322	0.5303390990155554	0.5750773249797853	1.0	0.6648365007831452	0.49722647878722764	0.5065789845689309	0.340292110307547	0.10577831055521314	0.1579125930868358	0.3186806973101651	0.28363424577751895	0.15053915442943494	0.2518334643287287	0.34507579827086077	0.37255655891117384	0.30453319461015205	0.3484345579046768	-0.5413879480466608	-0.5837286755517357	-0.6066745452386473	-0.5814442666425409	-0.4421744858666335	-0.5614161073446008	-0.5388547421275537	-0.5105484277725317	-0.4920695953090455	-0.6590689337351782	-0.6487551667788138	-0.6467421727895234	-0.6995549926209068	-0.6640561828884202	-0.7327693934441988	-0.7068040327733516	-0.6599284143148753	-0.7031399313546431	-0.704689258189097	-0.6676976663971366	-0.7514630960526093	-0.731265302429729	-0.7704960673109001	-0.754561749721517	-0.753724887051812	-0.5729060056205506	-0.6258092970919023	-0.5901069261694873	-0.6184245494795053	-0.6545566606917688	-0.6537876517520399	-0.4318381010002771	-0.4265568190171387	-0.4089035402683615	-0.6019700199603055	0.1456763037811491	0.36091964422027584	0.026751333043070154	0.027927464362655568	-0.07160264855726006	-0.1565894453523022	-0.04852107141039632	-0.3880045914357284	-0.4482134678345048	0.026536462898145898	-0.143946033666759	-0.12429106988368739	-0.12741234146258715	-0.0706300784276029	0.07565125444583293	-0.1165557446664141	-0.14594771870105344
PhnR	0.5953203544226495	0.568212789297205	0.566527755002799	0.47120457334140037	0.5702710191064795	0.49387902810840767	0.6052496169091495	0.3967464136476469	0.4915946191992129	0.4892875923800261	0.5078795143934725	0.3634415411843869	0.38954260931518625	0.3875861601008759	0.36499086801884073	0.24193812870721682	0.2374258556638074	0.32672136431233073	0.459239698955618	0.5073366845536638	0.6028408094949986	0.6648365007831452	1.0	0.44357679628613916	0.6059281542089103	0.35035708025399914	0.06362983528507048	0.18978122826560212	0.39322932864388666	0.29155051427472845	0.14805118433031195	0.30385465731039124	0.39065088690479555	0.4316006129453608	0.31716529734069926	0.31336548846203865	-0.4755472120598696	-0.3959208599329379	-0.4371306919384114	-0.5146648873910806	-0.3916686928544368	-0.46419302124387196	-0.496683648947419	-0.4447529276057246	-0.4100231268129668	-0.534104981029228	-0.4979163250419845	-0.5380857331878248	-0.645566041469938	-0.623185619532827	-0.6166716614551232	-0.5992219438962743	-0.5498357374286829	-0.6185037121644774	-0.5789449875884219	-0.6206976494337041	-0.6150318629807012	-0.6596456904399749	-0.654703677106717	-0.6976890150465647	-0.6756252438493421	-0.5736637056052836	-0.6085744496779775	-0.5694793922567585	-0.5374976675280321	-0.6300162283504193	-0.5279189826464086	-0.37090545148175585	-0.3877784123358081	-0.3782449632741687	-0.4852955312664333	0.08947079745096155	0.10334688523107022	0.17489864349084822	-0.08791016166151167	-0.1241327445137432	-0.1297193682817739	-0.10088153304193925	-0.20147468773148017	-0.3811061288881601	0.018439251121000165	-0.04956149527002957	-0.19311736998942614	-0.08145274835878791	0.052185172829104724	-0.006926734935058326	-0.10992869703875013	-0.1079835567794358
PdxR	0.597355966321932	0.5883314202351132	0.4805344612131116	0.5208848126388881	0.49254457141887803	0.43882703518781346	0.5061605532340784	0.5778932547737926	0.4698248808318867	0.5818287711124054	0.6019247841403215	0.41263549541704597	0.4627794018693703	0.38342446466234287	0.29463785898864014	0.2889381456706493	0.3781658005891966	0.351906407088453	0.3899497316950427	0.3069193841143109	0.422621302678526	0.49722647878722764	0.44357679628613916	1.0	0.42793651152665235	0.4466867589100429	0.25419703592289555	0.21626680086626596	0.16844123018812446	0.04705090726091456	-0.10022561365217048	0.08143013044879588	0.2874453636111755	0.10936324928894946	0.13315729060056206	0.1712232331171438	-0.35700674579165514	-0.4062459358442983	-0.3527998145331381	-0.27397639821092334	-0.3465346534653465	-0.5185212410447213	-0.570689450441332	-0.3630796546245144	-0.2788505578142052	-0.5593804954453184	-0.6212970240484929	-0.5738559578402158	-0.47360207180055525	-0.5580686566657808	-0.569863896726623	-0.5719221265358975	-0.5413766390916648	-0.5691175056968861	-0.5822132755822699	-0.5936127022182516	-0.5758802607845022	-0.6257640612719182	-0.584836953141345	-0.5849839695562932	-0.5553318895567455	-0.3438318132212993	-0.3745243170804802	-0.4585837795658492	-0.5017500607856331	-0.48214033282254554	-0.4860984670711503	-0.2999869947017546	-0.3587370159060452	-0.4994882697864304	-0.5059683009991461	0.0243764524939073	0.23705266014893894	0.12848669218720843	0.002357917116668834	-0.1815256911185122	0.08501506918253218	0.07427156193631927	-0.3638825904292314	-0.3382451894532686	-0.13923019943342135	-0.1436746187468547	-0.08323956324815805	-0.21397108300207518	-0.017398827261366913	-0.022951524164409588	-0.05009301615484221	-0.047186614720866715
FnrN_FixK	0.5471781330046197	0.6444125280603445	0.41956788482960233	0.4669410973079033	0.5204663813040356	0.5676925773673883	0.6174519793498482	0.5278963647364165	0.5458323673600941	0.6462898145896828	0.7035922895544837	0.5013655563157686	0.48004817614828305	0.4454088469954934	0.2568207134819707	0.2373580019338313	0.2925117754493896	0.38129838112309233	0.4032264448603627	0.48240043878745387	0.5197878440042748	0.5065789845689309	0.6059281542089103	0.42793651152665235	1.0	0.45316679012275873	0.21520375909664066	0.37641291256481446	0.21427642478696757	0.1262814459629858	-0.11147802387320399	0.015442378047056561	0.20209668025626093	0.3956607539680296	0.20714047418448298	0.08939163476598945	-0.3703739305969432	-0.2830687980277182	-0.277855369774556	-0.4075803925338279	-0.37639029465482243	-0.4884507297103211	-0.5768867577791474	-0.4112105670875483	-0.4698814256068668	-0.49662710417243894	-0.6160496689303425	-0.581489502462525	-0.5313003601902166	-0.5980797394416769	-0.5597310730501948	-0.588150476955177	-0.5529004642326026	-0.5861035561008985	-0.5946305081678928	-0.6122272421416899	-0.6322101656196459	-0.6318482790597735	-0.6026372483050704	-0.6207541942086842	-0.6167847510050833	-0.5819644785723576	-0.4546482632272365	-0.5760725130194344	-0.5694567743467664	-0.5894283888697265	-0.5230222051331347	-0.5034577129900312	-0.5834459516768353	-0.48349740742206715	-0.5693776116617943	0.05009301615484221	0.04437068492685933	0.005490497650564599	-0.0911784496553596	-0.08757089301163126	0.18453387314745182	-0.005863693165433048	-0.18538204477215284	-0.37261310368615386	-0.06948787397300553	-0.11272200892276549	-0.19152280733498822	-0.21227473975267316	-0.11196430893803258	-0.1047378866955799	-0.13500065026491226	-0.08117002448388756
HrcA	0.5098020367427948	0.48971733266987466	0.42199931015374526	0.541659362966565	0.47180394795618913	0.4860984670711503	0.5886933067949857	0.6062108780838107	0.5290159512810219	0.6116165585719051	0.6677881380371047	0.5586680312805695	0.5743874787250284	0.5660075430729823	0.27291335644129805	0.24262797496197364	0.36278562179461804	0.5186795664146655	0.2664446341835783	0.30119705288632803	0.4344391606493602	0.340292110307547	0.35035708025399914	0.4466867589100429	0.45316679012275873	1.0	0.32469706136804427	0.4107355909777157	0.08647392437701794	0.15319675885349815	0.05376842652854663	-0.002176973836732617	0.13258053389576535	0.18140129261355603	0.09751146445312721	0.1744462852910077	-0.3685079530226009	-0.3240298330232795	-0.37005727985705483	-0.3073151975391714	-0.4984252280168051	-0.39668986887266683	-0.4623044257595377	-0.3928448241740222	-0.39473341965835645	-0.46170505114474897	-0.536649495903331	-0.5561008984964745	-0.5317753363000491	-0.47022069425674723	-0.5230787499081148	-0.5543253925621003	-0.5753713578096816	-0.6041526482745362	-0.578175978648693	-0.6315994820498612	-0.5642094192286162	-0.6155407659555219	-0.5803472980079276	-0.5676134146824162	-0.6028973542699787	-0.4580748765910286	-0.3256470135877094	-0.5571526313111037	-0.5455270255752017	-0.5787414263984937	-0.5102770128526274	-0.4175435818853159	-0.5821341128972978	-0.6136860973361756	-0.6147039032858169	0.1668919033536706	-0.01877851977088057	0.0918456780001244	-0.07083363961753114	-0.01436802732243527	0.19627256843331392	0.15951846469626974	-0.12643977133292997	-0.2832045054876704	-0.21174321886786052	-0.00130618430203957	-0.08722031540675484	-0.3600601636405788	0.024681794278799667	-0.18790394173626387	-0.10269096584130144	-0.008532606544492257
