	CcpA	RbsR	FixJ	PhsR	FnrN_FixK	NagQ	GlcC	NagR	PhnR	LiuQ	NadQ	NrdR	NorR	PhnF	VanR	FabR	PsrA	SdaR	ThiR	LexA	NtrC	IscR	RbkR	LldR	MntR	HrcA	Phr	NrtR	NsrR	Zur	KdgR	NagC	ModE	NarP	TrpR	NikR	PdxR	HexR	HisR	NiaR	BirA	MetR	FUR	Rex	ArgR	SahR_SamR	CzrA	SoxR	AgaR	HutC	CblR	FadP	AraR	QorR	AcnR	PurR	CsoR	GguR	ZntR	LtbR	RutR	NnrR	PrpR	HypR	LiuR	MetJ	TtrR	DasR	MerR	NmlR	ExuR_UxuR	AmtR	PhrR	BioQ	CueR	GntR	PdhR	XylR	SiaR	CadR-PbrR	HcpR	TyrR	PaaR	GulR	NifA	Irr	FadR	FruR
CcpA	1.0	0.753811405985319	-0.09090909090909091	0.5618294748729531	0.15866741953698477	0.2727272727272727	-0.003952569169960474	0.3958215697346132	0.07058159232072275	0.409373235460192	0.3382269904009034	0.19367588932806323	0.32128740824393	0.03557312252964427	0.1767363071710898	0.11462450592885376	0.25578769057029926	0.16205533596837945	0.0942970073404856	0.21852060982495766	0.19593450028232637	-0.025409373235460192	-0.0502540937323546	0.1507622811970638	0.13156408808582723	0.24110671936758893	0.37549407114624506	0.21852060982495766	0.32241671372106157	0.4624505928853755	0.453416149068323	0.38114059853190285	0.3269339356295878	0.25804630152456237	0.515527950310559	0.4500282326369283	0.5878035008469791	0.3879164313946923	0.2930547713156409	0.053642010163749296	0.2490118577075099	0.14511575381140598	0.4647092038396386	0.32806324110671936	0.42631281761716544	0.17334839073969507	0.2456239412761152	0.453416149068323	0.30547713156408807	0.3427442123094297	0.23207227555053642	0.18690005646527386	0.251270468661773	-0.11801242236024845	0.06832298136645963	-0.04121964991530209	-0.000564652738565782	0.39808018068887635	0.18238283455674761	-0.08300395256916997	-0.08413325804630152	0.07735742518351214	-0.22868435911914173	-0.0942970073404856	-0.014116318464144552	0.24110671936758893	0.3608130999435347	-0.20609824957651043	-0.13946922642574816	-0.29757199322416716	-0.3890457368718238	-0.4308300395256917	-0.4647092038396386	0.2885375494071146	0.22755505364201017	0.19480519480519481	-0.21739130434782608	0.019762845849802372	0.3642010163749294	0.3924336533032185	-0.04912478825522304	-0.04799548277809147	0.16205533596837945	0.26595143986448333	0.3427442123094297	0.055900621118012424	0.16544325239977414	0.25804630152456237
RbsR	0.753811405985319	1.0	0.1259175607001694	0.39469226425748166	0.2106154714850367	0.3585544889892716	0.17786561264822134	0.3901750423489554	0.14737436476566912	0.39920948616600793	0.4116318464144551	0.1507622811970638	0.3585544889892716	0.13946922642574816	0.06267645398080181	0.4872953133822699	0.42970073404856013	0.25691699604743085	0.3687182382834557	0.3178994918125353	0.2919254658385093	0.12365894974590627	0.018633540372670808	0.339356295878035	0.2264257481648786	0.2422360248447205	0.453416149068323	0.4105025409373235	0.42857142857142855	0.6363636363636364	0.6070016939582157	0.5358554488989271	0.33032185206098247	0.34726143421795597	0.629587803500847	0.6747600225861096	0.6860530773574252	0.39469226425748166	0.37210615471485037	0.21513269339356295	0.3743647656691135	0.2704686617730096	0.5471485036702428	0.3958215697346132	0.48842461885940147	0.3450028232636928	0.5268210050818747	0.6804065499717674	0.551665725578769	0.5697346132128741	0.2795031055900621	0.37662337662337664	0.6894409937888198	0.25917560700169395	0.08526256352343309	0.10333145115753811	-0.020892151326933936	0.35968379446640314	0.10784867306606437	-0.043478260869565216	-0.15189158667419536	-0.023150762281197064	-0.20496894409937888	-0.19028797289666854	0.20722755505364202	-0.015245623941276116	0.2941840767927724	-0.339356295878035	0.014116318464144552	-0.36984754376058726	-0.5392433653303218	-0.29757199322416716	-0.22077922077922077	0.2015810276679842	0.2490118577075099	0.09203839638622248	-0.05251270468661773	0.23433088650479955	0.09090909090909091	0.25691699604743085	-0.16883116883116883	-0.000564652738565782	0.13946922642574816	0.1225296442687747	0.21852060982495766	0.13156408808582723	0.11236589497459062	0.33483907396950874
FixJ	-0.09090909090909091	0.1259175607001694	1.0	0.12140033879164314	0.32806324110671936	0.4658385093167702	0.3404856013551666	0.10559006211180125	0.020892151326933936	0.3382269904009034	0.42518351214003386	0.28176171654432525	0.09994353472614342	0.09655561829474874	0.07961603613777526	0.32580463015245625	0.08752117447769622	0.19367588932806323	0.23207227555053642	0.3269339356295878	0.21513269339356295	0.3800112930547713	0.4522868435911914	0.25917560700169395	0.21513269339356295	0.24110671936758893	0.2704686617730096	0.42066629023150764	0.32806324110671936	0.2704686617730096	0.3935629587803501	0.19028797289666854	0.4850367024280068	0.2704686617730096	0.3416149068322981	0.3438735177865613	0.10107284020327499	0.2727272727272727	0.14963297571993225	0.28063241106719367	0.18125352907961603	0.11801242236024845	0.3608130999435347	0.06832298136645963	0.3382269904009034	0.5245623941276115	0.3935629587803501	0.28289102202145683	0.233201581027668	0.29757199322416716	0.06267645398080181	0.1756070016939582	0.36307171089779783	0.15753811405985318	0.10333145115753811	0.2727272727272727	0.20609824957651043	0.17447769621682666	0.015245623941276116	0.08526256352343309	0.09542631281761717	-0.019762845849802372	-0.0220214568040655	0.05251270468661773	0.2523997741389046	-0.33032185206098247	-0.10559006211180125	-0.043478260869565216	0.15640880858272163	0.19932241671372106	-0.19932241671372106	0.020892151326933936	0.22190852625635235	0.2365894974590627	-0.17221908526256352	0.14285714285714285	-0.26030491247882553	-0.11123658949745906	-0.17786561264822134	-0.15640880858272163	0.14511575381140598	0.011857707509881422	0.33483907396950874	0.04121964991530209	0.1880293619424054	-0.023150762281197064	-0.2015810276679842	-0.34839073969508755
PhsR	0.5618294748729531	0.39469226425748166	0.12140033879164314	1.0	0.45115753811405984	0.6499153020892151	-0.17447769621682666	0.2704686617730096	0.19593450028232637	0.2862789384528515	0.35742518351214003	0.19480519480519481	0.3111236589497459	0.19141727837380013	0.32806324110671936	0.22077922077922077	0.22529644268774704	0.44664031620553357	0.32919254658385094	0.47600225861095424	0.7684923771880293	0.3404856013551666	0.16092603049124787	0.3461321287408244	0.2106154714850367	0.5810276679841897	0.5426312817617166	0.5166572557876906	0.6578204404291361	0.5448898927159797	0.42292490118577075	0.37549407114624506	0.5290796160361377	0.41727837380011296	0.3235460191981931	0.3608130999435347	0.6013551665725578	0.4522868435911914	0.20609824957651043	-0.03896103896103896	0.1281761716544325	0.14737436476566912	0.29983060417843027	0.21287408243929984	0.43873517786561267	0.2682100508187465	0.18238283455674761	0.33032185206098247	0.2862789384528515	0.30886504799548276	0.015245623941276116	0.10220214568040654	0.17108977978543197	0.10559006211180125	0.13043478260869565	0.23771880293619424	0.4816487859966121	0.5945793337097685	0.18464144551101072	-0.03557312252964427	0.18125352907961603	0.33032185206098247	0.1281761716544325	0.4127611518915867	0.4150197628458498	-0.0502540937323546	-0.10107284020327499	0.08865047995482778	-0.043478260869565216	-0.1293054771315641	-0.15979672501411632	-0.427442123094297	-0.48955392433653305	0.3687182382834557	0.00846979107848673	0.0016939582156973462	-0.12478825522303783	-0.11349520045172219	0.3156408808582722	0.02766798418972332	-0.06719367588932806	0.07058159232072275	0.1789949181253529	0.3190287972896669	0.3675889328063241	-0.23094297007340486	-0.04686617730095991	-0.30999435347261434
FnrN_FixK	0.15866741953698477	0.2106154714850367	0.32806324110671936	0.45115753811405984	1.0	0.6645962732919255	0.19593450028232637	0.18351214003387917	0.3145115753811406	0.42066629023150764	0.567476002258611	0.2715979672501412	0.044607566346696784	0.29079616036137773	0.4601919819311124	0.42518351214003386	0.5302089215132694	0.6284584980237155	0.5245623941276115	0.6668548842461886	0.6194240542066629	0.5832862789384529	0.577639751552795	0.5211744776962168	0.5539243365330322	0.42518351214003386	0.409373235460192	0.48616600790513836	0.6228119706380576	0.5618294748729531	0.40372670807453415	0.427442123094297	0.47600225861095424	0.47261434217955955	0.2682100508187465	0.35064935064935066	0.3642010163749294	0.5460191981931113	0.1067193675889328	0.11462450592885376	0.20609824957651043	0.21964991530208922	0.5143986448334275	0.3269339356295878	0.3450028232636928	0.2230378317334839	0.2636928289102202	0.24675324675324675	0.453416149068323	0.551665725578769	0.06267645398080181	0.23771880293619424	0.028797289666854884	0.25578769057029926	0.00282326369282891	0.11575381140598531	0.2354601919819311	0.2636928289102202	0.2388481084133258	0.12140033879164314	0.23997741389045738	-0.10333145115753811	0.23433088650479955	0.15979672501411632	0.3687182382834557	-0.07509881422924901	-0.04799548277809147	0.12027103331451157	0.2015810276679842	0.26595143986448333	-0.15979672501411632	0.07171089779785432	0.09768492377188029	0.15640880858272163	-0.15753811405985318	-0.12478825522303783	0.00282326369282891	0.12027103331451157	0.3269339356295878	0.028797289666854884	0.08413325804630152	0.19254658385093168	0.3687182382834557	0.006211180124223602	0.17221908526256352	-0.19367588932806323	0.1259175607001694	0.06493506493506493
NagQ	0.2727272727272727	0.3585544889892716	0.4658385093167702	0.6499153020892151	0.6645962732919255	1.0	0.08977978543195934	0.27837380011293056	0.28740824392998304	0.48842461885940147	0.5607001693958216	0.26595143986448333	0.07284020327498589	0.15866741953698477	0.4161490683229814	0.4342179559570864	0.35968379446640314	0.6103896103896104	0.5403726708074534	0.5866741953698476	0.6024844720496895	0.3879164313946923	0.2987012987012987	0.3642010163749294	0.5042348955392434	0.46357989836250707	0.5302089215132694	0.46696781479390176	0.5403726708074534	0.5968379446640316	0.44664031620553357	0.39469226425748166	0.6544325239977414	0.5460191981931113	0.42857142857142855	0.3190287972896669	0.37549407114624506	0.5629587803500847	0.2354601919819311	0.15979672501411632	0.23094297007340486	0.13382269904009034	0.37210615471485037	0.20045172219085264	0.3856578204404291	0.37662337662337664	0.4025974025974026	0.3416149068322981	0.40146809712027104	0.44438170525127046	-0.16431394692264256	0.39808018068887635	0.35290796160361376	0.339356295878035	0.35742518351214003	0.35742518351214003	0.35968379446640314	0.36307171089779783	0.1417278373800113	0.01637492941840768	0.05251270468661773	0.045736871823828344	0.07058159232072275	0.3800112930547713	0.427442123094297	-0.5132693393562959	-0.08752117447769622	0.15866741953698477	0.22077922077922077	-0.10220214568040654	-0.35290796160361376	-0.1789949181253529	-0.08977978543195934	0.39808018068887635	-0.1789949181253529	-0.11462450592885376	-0.21852060982495766	-0.09542631281761717	0.20722755505364202	-0.034443817052512704	0.05251270468661773	-0.043478260869565216	0.17108977978543197	0.07396950875211744	0.2140033879164314	-0.2670807453416149	0.009599096555618294	-0.20496894409937888
GlcC	-0.003952569169960474	0.17786561264822134	0.3404856013551666	-0.17447769621682666	0.19593450028232637	0.08977978543195934	1.0	0.3924336533032185	0.47600225861095424	0.2264257481648786	0.3924336533032185	0.3675889328063241	0.26595143986448333	0.14963297571993225	0.17108977978543197	0.18690005646527386	0.24336533032185206	0.28063241106719367	0.34726143421795597	0.0660643704121965	0.00282326369282891	0.30095990965556185	0.38226990400903443	0.48955392433653305	0.43195934500282324	0.2648221343873518	0.2795031055900621	0.35290796160361376	0.25804630152456237	0.3167701863354037	0.44776962168266515	0.4624505928853755	0.30547713156408807	0.40372670807453415	0.23997741389045738	0.5652173913043478	0.20722755505364202	0.3190287972896669	0.3382269904009034	0.22529644268774704	0.3687182382834557	0.47600225861095424	0.5652173913043478	0.435347261434218	0.32128740824393	0.35742518351214003	0.3924336533032185	0.13721061547148503	0.3800112930547713	0.4105025409373235	0.1767363071710898	0.19367588932806323	0.2140033879164314	0.06380575945793338	-0.042348955392433656	-0.032185206098249576	0.07284020327498589	-0.3687182382834557	0.3901750423489554	0.427442123094297	0.41953698475437606	0.19028797289666854	0.02766798418972332	0.01637492941840768	0.30095990965556185	0.0502540937323546	0.42292490118577075	0.019762845849802372	-0.1067193675889328	-0.04686617730095991	0.18464144551101072	0.00282326369282891	0.5460191981931113	-0.13156408808582723	0.14963297571993225	0.2523997741389046	-0.09655561829474874	0.2264257481648786	0.1880293619424054	0.1259175607001694	0.30660643704121965	0.15753811405985318	0.007340485601355167	-0.057029926595143984	0.0378317334839074	0.22416713721061546	0.41953698475437606	0.08413325804630152
NagR	0.3958215697346132	0.3901750423489554	0.10559006211180125	0.2704686617730096	0.18351214003387917	0.27837380011293056	0.3924336533032185	1.0	0.44212309429700736	0.32580463015245625	0.35290796160361376	0.46357989836250707	0.37662337662337664	0.04912478825522304	0.35742518351214003	0.31225296442687744	0.32919254658385094	0.2106154714850367	0.39808018068887635	0.20609824957651043	0.2264257481648786	0.22077922077922077	0.2523997741389046	0.46357989836250707	0.45454545454545453	0.4579333709768492	0.42405420666290233	0.34839073969508755	0.4059853190287973	0.4839073969508752	0.49294184076792774	0.4364765669113495	0.49745906267645396	0.49858836815358554	0.29983060417843027	0.5223037831733484	0.37775268210050816	0.4579333709768492	0.3269339356295878	0.35968379446640314	0.5121400338791643	0.453416149068323	0.5640880858272163	0.46809712027103334	0.6228119706380576	0.5313382269904009	0.48955392433653305	0.3450028232636928	0.48842461885940147	0.28402032749858835	-0.18125352907961603	-0.06832298136645963	0.22755505364201017	-0.07622811970638058	-0.011857707509881422	0.07396950875211744	-0.03557312252964427	-0.020892151326933936	0.30773574251835123	0.13946922642574816	0.13043478260869565	-0.05928853754940711	-0.2140033879164314	0.21739130434782608	0.14398644833427443	-0.05138339920948617	0.18238283455674761	0.032185206098249576	-0.3235460191981931	-0.1417278373800113	0.06041784302653868	-0.020892151326933936	0.15753811405985318	0.07284020327498589	0.39808018068887635	0.339356295878035	0.20948616600790515	0.2478825522303783	0.4138904573687182	0.251270468661773	0.18012422360248448	0.1507622811970638	0.053642010163749296	0.32128740824393	0.10107284020327499	0.23771880293619424	0.4816487859966121	0.2862789384528515
PhnR	0.07058159232072275	0.14737436476566912	0.020892151326933936	0.19593450028232637	0.3145115753811406	0.28740824392998304	0.47600225861095424	0.44212309429700736	1.0	0.30321852060982496	0.46696781479390176	0.49181253529079616	0.23771880293619424	0.025409373235460192	0.4522868435911914	0.4522868435911914	0.32241671372106157	0.42857142857142855	0.5200451722190853	0.2015810276679842	0.251270468661773	0.35177865612648224	0.11688311688311688	0.49294184076792774	0.5878035008469791	0.2896668548842462	0.4059853190287973	0.39695087521174477	0.2896668548842462	0.5505364201016375	0.5076228119706381	0.6408808582721626	0.5697346132128741	0.4872953133822699	0.13721061547148503	0.28740824392998304	0.23771880293619424	0.10333145115753811	0.19706380575945792	0.31225296442687744	0.40711462450592883	0.48842461885940147	0.2761151891586674	0.3551665725578769	0.31225296442687744	0.2140033879164314	0.14398644833427443	0.09542631281761717	0.42857142857142855	0.5008469791078487	-0.21174477696216826	-0.10897797854319594	0.13495200451722192	0.22981366459627328	-0.06832298136645963	-0.18125352907961603	0.08074534161490683	-0.21852060982495766	0.19706380575945792	0.14963297571993225	0.3246753246753247	0.18125352907961603	0.1665725578769057	0.3111236589497459	0.1225296442687747	-0.023150762281197064	0.16544325239977414	0.2230378317334839	0.10784867306606437	-0.15189158667419536	0.053642010163749296	-0.000564652738565782	0.05251270468661773	0.39469226425748166	0.47374364765669114	0.3167701863354037	0.08977978543195934	0.5934500282326369	0.37888198757763975	0.09994353472614342	0.44889892715979673	0.1293054771315641	0.18351214003387917	0.13156408808582723	-0.15640880858272163	0.1101072840203275	0.3190287972896669	0.19367588932806323
LiuQ	0.409373235460192	0.39920948616600793	0.3382269904009034	0.2862789384528515	0.42066629023150764	0.48842461885940147	0.2264257481648786	0.32580463015245625	0.30321852060982496	1.0	0.5607001693958216	0.4025974025974026	0.2738565782044043	0.05251270468661773	0.19932241671372106	0.36984754376058726	0.28514963297571994	0.49745906267645396	0.4376058723884811	0.3382269904009034	0.25917560700169395	0.16883116883116883	0.2365894974590627	0.40033879164313946	0.4613212874082439	0.07848673066064371	0.2715979672501412	0.3167701863354037	0.2490118577075099	0.4127611518915867	0.4105025409373235	0.391304347826087	0.4432523997741389	0.19254658385093168	0.541501976284585	0.35968379446640314	0.24449463579898362	0.49294184076792774	0.2422360248447205	0.2546583850931677	0.2106154714850367	0.16205533596837945	0.3935629587803501	0.30547713156408807	0.18238283455674761	0.2670807453416149	0.23094297007340486	0.22077922077922077	0.2015810276679842	0.30999435347261434	-0.2636928289102202	-0.05928853754940711	0.3935629587803501	0.16205533596837945	-0.033314511575381144	-0.1789949181253529	-0.1225296442687747	-0.029926595143986448	0.0660643704121965	0.21287408243929984	0.12478825522303783	0.08977978543195934	-0.10333145115753811	0.032185206098249576	0.11914172783738002	-0.13608130999435347	0.35968379446640314	0.05815923207227555	-0.057029926595143984	-0.22416713721061546	-0.14285714285714285	-0.33483907396950874	-0.10220214568040654	0.47148503670242803	-0.034443817052512704	-0.014116318464144552	-0.00846979107848673	0.18012422360248448	0.5087521174477696	0.2264257481648786	0.22416713721061546	0.04009034443817053	0.25804630152456237	0.12478825522303783	0.012987012987012988	-0.0818746470920384	0.31225296442687744	0.20835686053077357
