	LiuR	NtrC	GntR	NnrR	FadR	GlcC	CueR	NifA	FadP	MerR	FixJ	AcnR	FruR	NmlR	PaaR	PdxR	RbsR	BioQ	PhnR	ZntR	HrcA	QorR	PurR	CsoR	LexA	FabR	PrpR	RutR	DasR	FnrN_FixK	HcpR	AmtR	TtrR	PhsR	MetJ	NorR	CblR	ExuR_UxuR	LtbR	NagR	VanR	NiaR	CadR-PbrR	NarP	NrdR	HypR	TyrR	NikR	NagQ	HisR	PsrA	LldR	PdhR	SdaR	LiuQ	SoxR	BirA	Phr	MetR	SahR_SamR	RbkR	CzrA	NsrR	KdgR	FUR	NagC	NrtR	ArgR	MntR	ThiR	Zur	IscR	SiaR	Irr	XylR	ModE	NadQ	AgaR	GulR	AraR	PhnF	GguR	HutC	PhrR	CcpA	Rex	HexR	TrpR
LiuR	1.0	0.7418104027701165	0.6198228349194135	0.7182579230615906	0.3785918574521047	0.331357106767224	0.524950053538898	0.5955379616281388	0.53653624189384	0.5255665620610853	0.4640779489271361	0.4725537822566066	0.4074588260379825	0.4750174986441448	0.47852881597915925	0.5249964075631226	0.5139595143952422	0.248638350538402	0.34555534438722296	0.30453203294844045	0.5040003522905842	0.3133161205390046	0.6134584273933742	0.514318758082983	0.5561022755190492	0.46842827410061605	0.39795625107193683	0.07879257037699727	0.08241050196772833	0.07997923339714737	0.08325878061103875	0.030579749780977234	0.11263796116459851	0.31663275097227567	0.24159717425868327	0.15119755621584288	-0.02682970922120604	-0.22683109984193278	-0.07169808696942025	-0.26324913897400004	-0.16590337040110137	-0.13705726112612465	-0.08766936601601068	-0.0664623999332502	-0.2002771970648632	-0.023573339019426973	-0.08506426985458743	-0.007507034223176085	-0.06668489924952835	0.06358613273011296	0.059089792380325495	-0.10282481423624792	0.07483625440942655	0.09149589071575248	0.04022138681969675	0.12131079909702361	-0.5160894818083632	-0.615386754801118	-0.8009280075649767	-0.8060964812660211	-0.669356745205835	-0.7247335802457691	-0.7578187650360866	-0.7152495468894132	-0.7441837288104167	-0.744658857558719	-0.6654282416527991	-0.6896227245968358	-0.6992133722089083	-0.7059161641117874	-0.7156180613819989	-0.5689585641377456	-0.6051100676305213	-0.6340975566793832	-0.6406102970829413	-0.6081439385160222	-0.5627610310989148	-0.7423110262317423	-0.6266252879743754	-0.6347882316403298	-0.694156148166003	-0.4694851458529372	-0.4370071987799621	-0.3694647500822784	-0.23243761907189972	-0.28612948533126903	-0.0443909312987007	-0.16661490467294918
NtrC	0.7418104027701165	1.0	0.730581140401704	0.7624819798730826	0.4996453917146817	0.4503223922384822	0.6332585488409176	0.6162443042492735	0.5780393174833474	0.49851435352360113	0.4508137448952631	0.5142399562418011	0.4569741947147142	0.4543528746448123	0.45078129707830583	0.5375676189328377	0.5351525742707353	0.2710574743546361	0.3483551274503896	0.2866556035062184	0.6504512564258266	0.41522080739439393	0.5750193528051137	0.4534327472639537	0.42186797446820345	0.5116279069767442	0.37525205000672135	0.010051870153107342	0.12810629904835188	0.20111156950090622	0.1438875265956214	0.03331927261265187	0.009108565760136467	0.26395372014221413	0.23935132178500076	0.0524055420871363	-0.07455581256286764	-0.12896616619771845	-0.12551974449661848	-0.27912539227093003	-0.1966940309923006	-0.06609620314187577	-0.0006304147294547376	0.04535045960015019	-0.16200963236623386	-0.10678808330745233	-0.10455845474224845	-0.02871863570835902	-0.054315327885190355	0.08182412356128697	0.025958253565783313	-0.05633172793896102	0.016012997668392582	0.060459553796162815	0.03633691958967418	0.04006146543612184	-0.606825166526832	-0.672923687369919	-0.785406362553365	-0.7967468745799167	-0.69795486045121	-0.7417014708131886	-0.76251442769004	-0.7669412370034905	-0.7984109840495802	-0.797965985417024	-0.7118888801331288	-0.7481585863876773	-0.7201839327681233	-0.7657267615688056	-0.734539774070486	-0.6011050799375148	-0.6601485182936156	-0.6673959699811339	-0.6140216287877032	-0.6056269150006258	-0.580598059620546	-0.7678636820855602	-0.7244369144907316	-0.5889533724870325	-0.6844264384812567	-0.45796617083312086	-0.45562761031098914	-0.43725287510835253	-0.2698661759320635	-0.30702819715293583	-0.16864057553156478	-0.18916150205580098
GntR	0.6198228349194135	0.730581140401704	1.0	0.6748844625946202	0.5973550393777436	0.45569482364611485	0.6301389230106011	0.6467614760975474	0.651278675758236	0.6110178880179483	0.5337109641173499	0.5630762384636422	0.5794345736125082	0.38995322878955735	0.4840009085388748	0.5157951337545369	0.48353273289420623	0.34656586211531953	0.397094066221359	0.38167903546546394	0.48184776411364155	0.48372510209473835	0.4358529835767692	0.36946706778348964	0.4101890780648122	0.36507038858578506	0.29812127139817646	0.07869522692612559	0.29326105195822577	0.19236456512972175	0.19183149385113868	0.13328867895666363	0.05866565305867029	0.22770487319856672	0.22232085328487794	0.1349574238287497	-0.01660864687967886	-0.06416787573413185	-0.0008529140457328803	-0.15075023988207537	-0.10597920558473284	-0.17933676662139425	-0.05117020734155036	-0.02109108102219894	-0.22989046544075725	-0.09204982130523662	-0.19095308509208228	-0.10120242338838646	-0.17279389610209012	-0.08424380362581177	-0.19234602352003188	0.008392396085866194	-0.0035414474507604377	-0.017028150798911606	-0.049839846846303965	-0.10767344517014245	-0.687152055105664	-0.7328293105765977	-0.7941927678451405	-0.7827618654713508	-0.7105191187172915	-0.7041593465936745	-0.7557675994641475	-0.8013196990696747	-0.7939934455409746	-0.797333252986358	-0.7694327658055634	-0.773880434429915	-0.7471295270498909	-0.7811788755440804	-0.7469927826784283	-0.4936286393703269	-0.5620981685525028	-0.6552697572439752	-0.6423161251744071	-0.6690183608289954	-0.6312212894762459	-0.6487477460355721	-0.6497420398551901	-0.5667868781028225	-0.5855695287186357	-0.36332747727493964	-0.4532635550755339	-0.4734692742350427	-0.343606157668578	-0.33927900950721035	-0.3493679628796974	-0.22632120557546204
NnrR	0.7182579230615906	0.7624819798730826	0.6748844625946202	1.0	0.4941431690392201	0.4792635272631193	0.6716559048073758	0.741022384358298	0.6643389220835206	0.6892403038969828	0.5672782307596034	0.6725945737979243	0.5928285689122101	0.5606681469051735	0.5439505680685669	0.5809410793998081	0.7025045079288559	0.36270865105154104	0.37557884587750484	0.3516068622497462	0.5297592835522016	0.4105599102586091	0.5674080220274323	0.5245954452535797	0.488654852571026	0.43719956798049425	0.33805062786525814	0.14441596247178198	0.2709068237759061	0.21083896148444128	0.27537998711358125	0.12178824554653712	0.11998043860177722	0.3447232896523912	0.16608415109557736	0.07305625987920142	-0.03393114573241676	-0.11446430971904827	-0.05104273377493267	-0.2200193759821259	-0.24781093120599265	-0.2110151067764948	-0.06214915797914996	-0.07114415637993612	-0.26414840704395753	-0.18961113609077973	-0.2636222888690082	-0.1516680495617227	-0.10186528593479843	-0.08483945283709805	-0.08013451937829982	-0.00016455678599737637	0.031905474873801166	-0.040970004310924256	0.047436390690257776	-0.05465834766445249	-0.7296749192281128	-0.79185652502422	-0.8215068766194937	-0.8561078380019561	-0.768705007625237	-0.8344373316769496	-0.8620898248281424	-0.7978640065637298	-0.8440140730817546	-0.8237527290931762	-0.798658978079182	-0.8000519165071316	-0.7704154711191252	-0.8131770584663307	-0.7899907755491793	-0.6233781885774413	-0.6370271310103787	-0.6832722232780639	-0.68627828174903	-0.6631128581427796	-0.6522822403826988	-0.7785876855899245	-0.6725644436821783	-0.6626215054859987	-0.6954818732588269	-0.5282435069600567	-0.5084711979270481	-0.4748575772605699	-0.3632672170434476	-0.3918166605633868	-0.31796542916873327	-0.2990066332608665
FadR	0.3785918574521047	0.4996453917146817	0.5973550393777436	0.4941431690392201	1.0	0.5173248165539491	0.46301180636997	0.45328441438643496	0.549920966388697	0.4541303753285341	0.4781324890720388	0.5005701544979627	0.5454686623619229	0.2961396368625742	0.31820415239349004	0.3558992448929454	0.38703987836704046	0.31976396530864826	0.22772109710704536	0.2579694156148166	0.4189129054238844	0.2668601174610974	0.13234537456369275	0.1318123032851097	0.13475114842095018	0.07327412379305709	0.21654514186649115	0.10842438036258117	0.4627777185476357	0.36981935836759666	0.3059666899981922	0.03585020233531574	0.11637177781589109	0.1333095382675647	0.2262284975270128	0.133603886321391	0.09742225271286926	0.041973568935387125	0.06232066786878103	-0.11773922153051718	-0.000996611520829181	-0.08084141824772517	-0.06410066239900616	-0.08147415067839114	-0.2373349217312301	-0.18654249968711034	-0.18616007898725728	-0.1627605675586726	-0.28857234240790613	-0.29431097060691325	-0.28690127983460884	0.02140397068571508	0.01642786618520287	0.027490254066406775	-0.11587810745789896	-0.23611349319291156	-0.6209075190862695	-0.6523610422238807	-0.5395144879502713	-0.5127010026375439	-0.5494087544210151	-0.5330365130648818	-0.5889811849015673	-0.6163439654013563	-0.5639361056130088	-0.6225530869462432	-0.6799787698569051	-0.6239576138802491	-0.5970050664948477	-0.6028526266507827	-0.597902016863594	-0.40476333952932125	-0.36592330263151795	-0.4886710764795046	-0.4453231107258577	-0.539922403363448	-0.43754954086339004	-0.39212259712326925	-0.4624161571586837	-0.33517436066212086	-0.4498495811913911	-0.2944222202650523	-0.43027427676133706	-0.4548465450028044	-0.31081300323087546	-0.27558394482016957	-0.4673574961410275	-0.3589029856627003
GlcC	0.331357106767224	0.4503223922384822	0.45569482364611485	0.4792635272631193	0.5173248165539491	1.0	0.4608656150483704	0.44805104505147614	0.5034695987132123	0.5089996338032087	0.3980466414191748	0.39964353755371274	0.4762481979873083	0.30493299525798334	0.3304138023742531	0.3998915315833144	0.38457847968071346	0.29313821379403054	0.40895374331922624	0.23965725834488322	0.33503761629065826	0.3485405435472881	0.22379259355400938	0.2883266660795157	0.24700205348327314	0.1181425015412713	0.21617430967269424	0.20563803996643967	0.2369038293059412	0.28580268946048554	0.15790266581993315	0.14249922357009423	0.19402867459938536	0.13102196717208003	0.11840208407692913	-0.06531513783369103	0.02892491111615855	0.0784843161159036	-0.06539857507729534	-0.10412736231695954	-0.05571985481919613	0.021385429076025236	-0.12945751885449935	0.0027024396122949414	-0.23874408406765835	-0.2847203229948408	-0.2516351382045232	-0.18604651162790697	-0.22839554815951346	-0.2609036253482346	-0.16226689720068047	0.10984513120506557	0.018305204166299698	-0.02488284020377229	-0.099610162656271	-0.05720318359438375	-0.5340099475735987	-0.5589692719173415	-0.4945348605439181	-0.46427727123130197	-0.49055536756423507	-0.5012191108371074	-0.5233392511970927	-0.5349115333447674	-0.5244517477784834	-0.5212904033263648	-0.5806235543338695	-0.5579170355674428	-0.5547209255971557	-0.518539291988634	-0.4847958800543269	-0.28591393911862456	-0.375409653689085	-0.4688732727331723	-0.43223968738846064	-0.43465936745298545	-0.4461412592534221	-0.42192128159606174	-0.43052922389457243	-0.38957544349212675	-0.33908664030667823	-0.32941950855463514	-0.37485108769717845	-0.44962476417390174	-0.20939503362984457	-0.2587481632217901	-0.3470294023575657	-0.3330281693405213
CueR	0.524950053538898	0.6332585488409176	0.6301389230106011	0.6716559048073758	0.46301180636997	0.4608656150483704	1.0	0.6415396952686447	0.6833765198325693	0.5948241096550797	0.4703357421974589	0.5649790711580626	0.473673231941631	0.4266609805730284	0.48709967505829016	0.5820628467860437	0.539440321511512	0.3464128938353783	0.4711932916456142	0.3452795379430865	0.39329535393615195	0.29598898628384424	0.33837278833361917	0.40704627522238346	0.3508072553318716	0.19086964784847796	0.27514589929124694	0.1803472843494908	0.39170772860645897	0.20069901868530715	0.21877013502927256	0.17133142663780357	0.257802541127608	0.18709874797780568	0.06364639296160496	0.05721708980165113	0.02537651056176442	-0.03636241430299771	0.04908427625144277	-0.14589002044212468	-0.15564290713898327	-0.20465533465287788	-0.1251512300040328	-0.08897191409672231	-0.22886372380418207	-0.296107189045617	-0.1474034793330583	-0.16522660164742203	-0.19000050989426648	-0.1580649049047193	-0.1603177104820355	-0.07340159735967478	0.02469510640566261	-0.14239956241801133	0.05979900895096208	-0.06349574238287498	-0.6840208407692914	-0.7324723845900681	-0.6794758286940681	-0.6984809786261594	-0.6894442616035711	-0.7578975668772685	-0.7559391093537785	-0.6756979757197621	-0.6842433400855695	-0.6961377827016052	-0.7071561342597957	-0.7263026639657721	-0.6842850587073717	-0.7343381340651088	-0.733042539088031	-0.5293838159559823	-0.46561458483018203	-0.5303526150622766	-0.5848626298492103	-0.6383343144935127	-0.5751954980971673	-0.5161010703144193	-0.5399108148573919	-0.5504980739902935	-0.5599751542430156	-0.342199313033361	-0.39783804831016406	-0.4773676476723327	-0.3115778446305816	-0.3673649127849034	-0.39616698573686676	-0.2978176525395052
NifA	0.5955379616281388	0.6162443042492735	0.6467614760975474	0.741022384358298	0.45328441438643496	0.44805104505147614	0.6415396952686447	1.0	0.6621533298413301	0.6681167750578266	0.584487162252991	0.6352216417668299	0.6619540075371644	0.5077503928503553	0.5052820410603946	0.5280534554607358	0.510149213603979	0.37484413459354476	0.4328932791300277	0.39120710514483314	0.4148267981884847	0.3355799583740863	0.3872809192930084	0.4099642610473228	0.41252300318452145	0.344621310799097	0.2943874547468838	0.26587509444632434	0.3160718672791578	0.25357505411832326	0.29656609388544064	0.14925300489962037	0.1657851676393286	0.2312115551311587	0.0676490629534003	0.07934881866769264	0.02885769778103286	-0.021246367003351398	0.06394537641785372	-0.039811153705308924	-0.10226856594555256	-0.2487820480134983	-0.049455108445239676	-0.09946878288238593	-0.24840194501485646	-0.26758787564142383	-0.34639898762811094	-0.1666682118008075	-0.19149542717551024	-0.23701971436650274	-0.24276993107156597	0.01970277799667178	-0.06767223996551261	-0.09900292493892858	-0.08383125281021273	-0.15889464193833988	-0.7083080317617774	-0.7499200393082125	-0.7503418609286565	-0.7678683174879827	-0.7397893673139233	-0.7292530976076688	-0.7804487996625427	-0.7545183585112941	-0.7946354487764855	-0.7839323045830223	-0.7889570808089704	-0.7960932828383496	-0.7504090742637822	-0.7676713128850281	-0.7499524871251698	-0.6073651909090487	-0.5098432770440966	-0.620158901595042	-0.6770051592028962	-0.6201728078023093	-0.6258349518613459	-0.6400841789079919	-0.6161863617189927	-0.5855764818222694	-0.5185485627934789	-0.33828008028517	-0.43910935377854826	-0.4937839253514794	-0.4387756048041311	-0.36655139965976147	-0.40337271880258285	-0.31940240391969626
FadP	0.53653624189384	0.5780393174833474	0.651278675758236	0.6643389220835206	0.549920966388697	0.5034695987132123	0.6833765198325693	0.6621533298413301	1.0	0.729083905419249	0.5384993348197524	0.6363480445554881	0.6283056213525178	0.4639782877750532	0.5478396707010119	0.5416143252476464	0.5039586336687819	0.49234695060051636	0.4330555182148138	0.41907977991109296	0.42301523656776263	0.36890154868794933	0.33940648307382804	0.39860984281350387	0.2749998841149394	0.18063236159847218	0.32315707988188996	0.2499385809179024	0.4489873963408133	0.26671410228478987	0.33432376431759925	0.15623160324663585	0.15425460411345612	0.2088387853391492	0.13952097751366285	0.093350051684737	0.06359308583374666	0.03485590851569779	0.05913382870333888	-0.13788699815974523	-0.08503645744005266	-0.12408045204444423	-0.12344076651014457	-0.10238676870732533	-0.24762087970667174	-0.31494546449049976	-0.2977527569055908	-0.3032503441786299	-0.27480287951198484	-0.3279871692060946	-0.2875502361737534	-0.15257890613773634	-0.03982505991257631	-0.0695310363369196	-0.0011797099165164024	-0.19465677162762884	-0.7716276288525988	-0.7750323319318967	-0.7098145375490773	-0.7430503729181249	-0.7312509560517496	-0.7581409255044477	-0.7796144272264997	-0.7679702963412769	-0.779035001923692	-0.7647046553346529	-0.8436084753697892	-0.8223760145737052	-0.8137982023909406	-0.8045111736375393	-0.7755955333262257	-0.5267949437030376	-0.44462780036248845	-0.5596808061891894	-0.6416718042376849	-0.7189277387116363	-0.6279626015732556	-0.533210340655724	-0.6069874056116181	-0.5898874060751584	-0.553810069021142	-0.2984666088786498	-0.48045019028326946	-0.5444396030241365	-0.44715177698151864	-0.4709058966954216	-0.5113428297277628	-0.419974412578628
MerR	0.5255665620610853	0.49851435352360113	0.6110178880179483	0.6892403038969828	0.4541303753285341	0.5089996338032087	0.5948241096550797	0.6681167750578266	0.729083905419249	1.0	0.5727433702156852	0.6135325938321335	0.6288780935516917	0.5163652882524996	0.530969123584464	0.5142167792296888	0.4919320820837061	0.5157024257060877	0.44546449049974274	0.46405708961623504	0.3138376033115315	0.2892699704724866	0.39267884541396464	0.5123973837788728	0.3484362469927827	0.2369965373543904	0.2459984888588103	0.29642934951397804	0.40666153682131917	0.22716716651756122	0.3289119319893757	0.2437178708669593	0.2269608911097617	0.18855658203966977	0.09867612906814505	0.07114415637993612	-0.04778172817073114	0.03730803639717982	9.966115208291808e-05	0.003995716888161646	-0.0917462024465654	-0.20475036040253836	-0.11551191066652451	-0.1279185652502422	-0.22756349342468166	-0.2999638438611048	-0.29694619688408247	-0.23668828309329673	-0.13580802017327134	-0.34003458010207155	-0.2932193333364236	-0.01447636176534666	-0.09889862838442319	-0.07287316148351419	-0.08387992453564856	-0.21184252610890414	-0.7875201060580074	-0.7836449096328297	-0.6957785390138644	-0.7470854907268775	-0.6941213826478345	-0.7586948560939318	-0.7630359104625668	-0.7624889329767164	-0.7724898137031766	-0.7685126384247049	-0.7964548442273016	-0.7637659863441044	-0.7686864660155471	-0.7689808140693735	-0.7237902758527982	-0.48439028234236153	-0.4114684491334115	-0.5951740825379755	-0.661126588204755	-0.6680588325275458	-0.7270860469751681	-0.5979506885890299	-0.5531680657856312	-0.5995545378272015	-0.4941848876610223	-0.2894600219718075	-0.3856005859148662	-0.48133091674353706	-0.43547751598054985	-0.47826459804107896	-0.41781663275097225	-0.4123005038682433
