	LiuR	NtrC	GntR	NnrR	FadR	GlcC	CueR	NifA	FadP	MerR	FixJ	AcnR	FruR	NmlR	PaaR	PdxR	RbsR	BioQ	PhnR	ZntR	HrcA	QorR	PurR	CsoR	LexA	FabR	PrpR	RutR	DasR	FnrN_FixK	HcpR	AmtR	TtrR	PhsR	MetJ	NorR	CblR	ExuR_UxuR	LtbR	NagR	VanR	NiaR	CadR-PbrR	NarP	NrdR	HypR	TyrR	NikR	NagQ	HisR	PsrA	LldR	PdhR	SdaR	LiuQ	SoxR	BirA	Phr	MetR	SahR_SamR	RbkR	CzrA	NsrR	KdgR	FUR	NagC	NrtR	ArgR	MntR	ThiR	Zur	IscR	SiaR	Irr	XylR	ModE	NadQ	AgaR	GulR	AraR	PhnF	GguR	HutC	PhrR	CcpA	Rex	HexR	TrpR
FixJ	0.4640779489271361	0.4508137448952631	0.5337109641173499	0.5672782307596034	0.4781324890720388	0.3980466414191748	0.4703357421974589	0.584487162252991	0.5384993348197524	0.5727433702156852	1.0	0.5485952412958731	0.4687712938798782	0.4460555043086066	0.4207902434049812	0.41478276186547136	0.4642865420361469	0.32359744311202376	0.28727211202840575	0.39304735990655026	0.3305412759408708	0.2745108491593698	0.36054855352267406	0.3498430916279997	0.34873754815024266	0.2648274934988481	0.13388201046673867	0.19936402278763832	0.3011296475703538	0.21245439922866904	0.228631953683059	0.07990738465959922	0.07872535704187159	0.16372704896375578	0.2090798262651172	-0.07377474725468292	0.05716378267379282	-0.05726112612466451	-0.03785964928545272	-0.017769815186505417	-0.1346236748543325	-0.24962337355317502	-0.1644478540404485	-0.14666413264667572	-0.19293240192647323	-0.21344637534707575	-0.24589651000551613	-0.07860947198131006	-0.3098302979173137	-0.2845835786233782	-0.19511104106503005	0.02261612841918871	-0.03194719349560332	-0.01878265061581321	-0.000720805076692733	-0.15798610306353747	-0.6110990075603413	-0.626500132108969	-0.5488409176242636	-0.5980688913508027	-0.6150159226073212	-0.6212157733473631	-0.6627582498574613	-0.6190904413366647	-0.6352587249862097	-0.6449351275430977	-0.6594416194241903	-0.6296174402380743	-0.6387607715163792	-0.599489642193287	-0.5719530341026556	-0.4565755501063825	-0.3502440539375426	-0.5820072219569742	-0.5444002021035457	-0.6395951439524222	-0.6132591050892083	-0.4708016001409162	-0.48345393105302437	-0.4524245472370684	-0.4164236943230227	-0.22658774121475356	-0.34334425743170893	-0.44013841311633467	-0.3519475643277971	-0.2720656743815214	-0.3468671632727795	-0.3752729093176224
AcnR	0.4725537822566066	0.5142399562418011	0.5630762384636422	0.6725945737979243	0.5005701544979627	0.39964353755371274	0.5649790711580626	0.6352216417668299	0.6363480445554881	0.6135325938321335	0.5485952412958731	1.0	0.5789246793460374	0.45839494555719856	0.4353824902308894	0.4104996500271171	0.5095790591060163	0.35368120483379767	0.3458751871543728	0.30038566548154877	0.3211406798281193	0.3046061993871998	0.3252708233865323	0.35087678636820857	0.23045366683508628	0.26130690535898876	0.1868345300397254	0.1758555794021258	0.3521793344489202	0.2084656354441411	0.3054011709026519	0.10523058809350534	0.1606885426758324	0.242257719103884	0.08784319360685298	0.062095850851291656	-0.011199132252666515	0.05386569385021161	-0.010809758449179765	-0.06670807626164066	-0.0351966105937487	-0.21162466219504847	-0.07493591556150947	-0.12860228710755525	-0.31416671688352626	-0.24475620100959064	-0.3476644524894429	-0.2585511586188355	-0.23663497596543845	-0.25159110188150985	-0.2579416032002818	-0.03254747810931206	0.002836866282546319	-0.025853957011277934	-0.029163634340915307	-0.1596224001186663	-0.701229772262679	-0.6953543996922092	-0.6240340980202196	-0.6599515136906611	-0.6578748534053984	-0.6574136308643634	-0.7069521765532074	-0.6746411039674409	-0.6844936518163824	-0.6743096726942349	-0.7122110406014898	-0.7061340280256431	-0.6788871325864155	-0.6828133184382402	-0.6580602695022968	-0.4614079571317984	-0.4552961790377832	-0.4836393471499228	-0.49096791837983417	-0.6153890725023293	-0.5686271328645396	-0.47426656345170604	-0.5036457440052658	-0.49228437266781316	-0.49443056398941276	-0.2586183719539612	-0.46535268459331297	-0.47054665300768084	-0.3818273683429827	-0.33921643157450715	-0.467563771548827	-0.5265515850758583
FruR	0.4074588260379825	0.4569741947147142	0.5794345736125082	0.5928285689122101	0.5454686623619229	0.4762481979873083	0.473673231941631	0.6619540075371644	0.6283056213525178	0.6288780935516917	0.4687712938798782	0.5789246793460374	1.0	0.4011454079385902	0.3806569292313112	0.4284363397008311	0.46490073285712297	0.4237754425650463	0.33875057363104977	0.3325808530067538	0.2913813962759177	0.2859301630271032	0.24166438759380895	0.22412866022963784	0.19231357570307467	0.1449675753600549	0.19905808622775586	0.23290347701535707	0.4440251980475685	0.3217015635212371	0.26310544149890375	0.16895578289629215	0.18039827377613787	0.08761374118694114	0.0526025466900909	0.07994678558019014	0.029879804015185578	0.06728750156444832	0.06574623025897994	-0.05029411628370517	0.0504100013442667	-0.24323810671623458	-0.04152161719919715	-0.05460040513417172	-0.22840250126314715	-0.2878631258372696	-0.3060779396563313	-0.214403585947314	-0.3029281837102688	-0.35356068437081367	-0.357051142394927	-0.06616573417821268	-0.026164528973582842	-0.07095874028303767	-0.16423694323022653	-0.15631272278902894	-0.7067435834441967	-0.6708145792676992	-0.6133888963570372	-0.5987549309093269	-0.6605680222128484	-0.5740181058818621	-0.6329572476834576	-0.6464300448243414	-0.6681677644844737	-0.6592956042478828	-0.7098956570914704	-0.6933889890650857	-0.6779530989982895	-0.6893979075793465	-0.6676740941264816	-0.4932323124632065	-0.3715970351966106	-0.4805799815510984	-0.47171709211935237	-0.5204629839939554	-0.5575554741784908	-0.4362608989899458	-0.5116974380130811	-0.4547770139664675	-0.4288558436200639	-0.21051680101608022	-0.443758662408277	-0.5066564378786544	-0.32639259077276794	-0.36282917151452504	-0.4880198024391488	-0.41839837575499117
NmlR	0.4750174986441448	0.4543528746448123	0.38995322878955735	0.5606681469051735	0.2961396368625742	0.30493299525798334	0.4266609805730284	0.5077503928503553	0.4639782877750532	0.5163652882524996	0.4460555043086066	0.45839494555719856	0.4011454079385902	1.0	0.4153784110767576	0.39265335070064106	0.3869378995137463	0.2311049408754421	0.239413899717704	0.3629450565750866	0.29914801303475164	0.18113762046252047	0.33055981755056063	0.4425859055953943	0.40971163161529867	0.30273349680852546	0.156544492910152	0.16432269817504205	0.22787406538698657	0.19584575234899018	0.2274985977907672	0.09425163745590573	0.12868572435115955	0.12880160941172109	-0.012545716656391525	-0.05699690818658422	0.02665356392915251	-0.18035191975191325	-0.1532324978793034	-0.16038028841473873	-0.10204143122685196	-0.11036429627638124	-0.04207323008747004	-0.1228451172988583	-0.26695282550954663	-0.14031826673032619	-0.23370771933565412	-0.0952922852997483	-0.13091535291636344	-0.17322962392980146	-0.10714500929398185	-0.05204398069818431	-0.08134667711177346	0.05771307786085449	0.1108533312319509	0.14032521983395987	-0.5065730006350502	-0.49409913271620676	-0.49504475481038884	-0.5670904969614937	-0.5484144606013971	-0.5629279055861235	-0.5846957553620018	-0.5148124284409751	-0.5385387357403433	-0.5417835174360662	-0.561386634280655	-0.5608674692093394	-0.5319124279774349	-0.5368259545452438	-0.5001158850605615	-0.39034028489183287	-0.3581080141472482	-0.44838942942831583	-0.4765541345471907	-0.5093194765703585	-0.49179997311466594	-0.5462798577858536	-0.4657582823052783	-0.3771247525853957	-0.528417334550899	-0.3666348369033658	-0.3650356230676166	-0.3901965874167366	-0.27870588835169724	-0.27971177067737135	-0.28302376570821997	-0.30289110049088913
PaaR	0.47852881597915925	0.45078129707830583	0.4840009085388748	0.5439505680685669	0.31820415239349004	0.3304138023742531	0.48709967505829016	0.5052820410603946	0.5478396707010119	0.530969123584464	0.4207902434049812	0.4353824902308894	0.3806569292313112	0.4153784110767576	1.0	0.43116195632523835	0.39585177837213936	0.1603779707135275	0.41994891786530447	0.3717129202571721	0.33856515753415134	0.3975251586466479	0.3441809475689632	0.4509667131752043	0.46412662065257193	0.14879873546221914	0.3093644399738563	0.23602542054688477	0.3442875618246798	0.24021350663557856	0.3150937973680185	0.21863339065780996	0.25718139720299815	0.1552813457500313	-0.04687550699713996	0.04142427374832546	0.11342829727762815	-0.07408068381456537	0.011952385146316477	-0.1273205983377447	-0.21057937894878345	-0.18026616480709773	-0.03468208092485549	0.09068469529182176	-0.3145398667785344	-0.18881152917290514	-0.23736273414576486	-0.18393276812326462	-0.15517473149431468	-0.16138153533799038	-0.13528653740074445	-0.07459289578224734	-0.05436168190941497	-0.12350797984527026	0.06555849646087025	-0.15084758333294704	-0.5592867969832801	-0.5727480056181077	-0.54207323008747	-0.6172594573797924	-0.5315531842896941	-0.6079283923033778	-0.5915352916363434	-0.6400818612067807	-0.6059513931701981	-0.6014341935095096	-0.5905085499997682	-0.6050498073990294	-0.6050984791244652	-0.6213965540418391	-0.5693456202400211	-0.38687763928225427	-0.3484037991758254	-0.507124613523323	-0.5696492390986924	-0.5119153019269368	-0.5678553383611998	-0.4790294394407851	-0.3942432937315453	-0.43377400559029533	-0.5038659256203327	-0.3587824651997163	-0.30351224441549896	-0.41995355326772693	-0.341656970949933	-0.32000500623461625	-0.3055054674571573	-0.2773847986612958
PdxR	0.5249964075631226	0.5375676189328377	0.5157951337545369	0.5809410793998081	0.3558992448929454	0.3998915315833144	0.5820628467860437	0.5280534554607358	0.5416143252476464	0.5142167792296888	0.41478276186547136	0.4104996500271171	0.4284363397008311	0.39265335070064106	0.43116195632523835	1.0	0.49431004352642877	0.23510297546481498	0.4970820141750606	0.3783971705503613	0.34546727174119624	0.3442342546968215	0.42925217052718434	0.49094010596529936	0.4880916511766969	0.20301208449411537	0.30204745725000115	0.19414919506236933	0.3041171644316301	0.20183469227881018	0.2736880652293829	0.12951777908599135	0.18935387125633313	0.21928466469816577	-0.012587435278193676	0.03226240086033069	0.13473724221368277	0.0030964488182041523	-0.01704205700617899	-0.10890646221451715	-0.014423054637488353	-0.11200291103272131	-0.21263054452072255	0.031249565431022894	-0.17852325349625228	-0.1070268065322091	-0.16999179533771225	-0.15649813888592737	-0.1365844500790336	-0.17623104699834516	0.002904079617672008	0.005312171176140657	-0.010126036591866724	-0.09371856617732269	0.13577789005752536	0.005057224042905285	-0.5793580894725375	-0.6296730650671438	-0.6384223871395395	-0.6187242445452902	-0.593479842952566	-0.6439709638392257	-0.6375254367707932	-0.6085449008255651	-0.5964859014235321	-0.6399590230425855	-0.6011236215472047	-0.6079492516142789	-0.6626307762908437	-0.6654050646406868	-0.6345471907143618	-0.399817365144555	-0.5292192591699848	-0.5468824601007737	-0.5650972739198353	-0.5600979924072108	-0.4732769050345106	-0.5870273627804998	-0.48759102771507107	-0.5082463809095586	-0.511264027886581	-0.4897418544390931	-0.3965656303451984	-0.46781640098085114	-0.2442463067431199	-0.26001131038191083	-0.26348322679633435	-0.2523837556957507
RbsR	0.5139595143952422	0.5351525742707353	0.48353273289420623	0.7025045079288559	0.38703987836704046	0.38457847968071346	0.539440321511512	0.510149213603979	0.5039586336687819	0.4919320820837061	0.4642865420361469	0.5095790591060163	0.46490073285712297	0.3869378995137463	0.39585177837213936	0.49431004352642877	1.0	0.2701234407665101	0.23142014824016946	0.3033778177452476	0.3819617950132341	0.22781148745428334	0.5465093102057655	0.38907018462807846	0.30464328260657947	0.2675739694341564	0.16282546319258706	0.1555780115050688	0.3820290083483598	0.23725148448762579	0.26786831748798273	0.07835220714686346	0.10061604498194511	0.23497086649577484	0.0855463517065234	-0.005129072780453435	-0.006369042928461834	-0.10023130658088082	0.03270971719409821	-0.18087340252444015	-0.21195609346825445	-0.24606106679151352	-0.1821852214099967	-0.13519846475471767	-0.2506871984091299	-0.22035080725533188	-0.17968442180307884	-0.13422039484357834	-0.14803389406251305	-0.17611979734020608	-0.04631462330402214	-0.07189972697479732	0.09975617783257854	-0.05114007722580436	0.14408221349736478	-0.051306951713012965	-0.5826700845033862	-0.6296382995489753	-0.5940291381396275	-0.5972947791462516	-0.5646893585066588	-0.6699315351062203	-0.6613838530392016	-0.5459461088114365	-0.5877991572838396	-0.6117479638994859	-0.6212227264509969	-0.5895351154910513	-0.5976887883521608	-0.5828624537039183	-0.5479764150724745	-0.4830297917313692	-0.5022110869555141	-0.5579610718904562	-0.4681524676564796	-0.549297504762876	-0.532526618798411	-0.4667456230212626	-0.4820679457287084	-0.4739930747087808	-0.5355628073851232	-0.34960436840324294	-0.4139391186245834	-0.3833547334411837	-0.23408086923066226	-0.3539894590948913	-0.328663937959774	-0.32124961178504713
BioQ	0.248638350538402	0.2710574743546361	0.34656586211531953	0.36270865105154104	0.31976396530864826	0.29313821379403054	0.3464128938353783	0.37484413459354476	0.49234695060051636	0.5157024257060877	0.32359744311202376	0.35368120483379767	0.4237754425650463	0.2311049408754421	0.1603779707135275	0.23510297546481498	0.2701234407665101	1.0	0.2576843383658352	0.2881528384886734	0.19725723238662965	0.13210201593651352	0.19808001631661654	0.14946623341105358	-0.04933227028104445	0.0788621014133342	0.08934738169294167	0.22261751903991545	0.2632305973643102	0.1631916599839615	0.11096689859130121	0.10507993751477535	0.08825806212366327	0.08162248355590991	0.23466956533831484	0.005256546347071121	-0.02456531513783369	0.10380288414738725	0.08766936601601068	0.11687240127751691	0.08362497740241319	-0.14586684343001238	-0.09690076994034237	-0.14481460708011365	-0.20105130926941422	-0.2129805174036184	-0.1960520277567897	-0.3041820600655446	-0.34599107221493436	-0.3253704845386152	-0.29197472778599276	-0.16818630609416357	-0.05517287733334569	0.14831201820786072	-0.06848343538944333	-0.16482100393545665	-0.5102117915366823	-0.473673231941631	-0.37115435426526555	-0.4115124854564249	-0.4740278402269493	-0.4516017633070815	-0.46494940458255885	-0.4261232738920229	-0.439709638392257	-0.4432534035442287	-0.5112732986914259	-0.4637720123672537	-0.45385920428682014	-0.4293587847829009	-0.43789719604507465	-0.3920716076966222	-0.2720424973694091	-0.30566075343830973	-0.32441559163958816	-0.4667618469297412	-0.3670357992129087	-0.23860038659256202	-0.27042474192397015	-0.4499677839531639	-0.22689136007342478	-0.03725472926932152	-0.32885862486151735	-0.2963343237643176	-0.17948278179770177	-0.38171843638605485	-0.3129313821379403	-0.3147322359790665
PhnR	0.34555534438722296	0.3483551274503896	0.397094066221359	0.37557884587750484	0.22772109710704536	0.40895374331922624	0.4711932916456142	0.4328932791300277	0.4330555182148138	0.44546449049974274	0.28727211202840575	0.3458751871543728	0.33875057363104977	0.239413899717704	0.41994891786530447	0.4970820141750606	0.23142014824016946	0.2576843383658352	1.0	0.2998131932823748	0.22675461570196218	0.3352114438815006	0.10203216042200704	0.29106618891119035	0.33620341999990727	0.1310636857938822	0.41644687133513497	0.34310553420695217	0.32944036786553627	0.2471040323365673	0.15070620355906197	0.14575095836945084	0.26564100662399004	0.12043934344160089	-0.06236006878937195	0.0728129012520222	0.08189365459762389	0.07844027979289021	0.011943114341471555	-0.0579633895916674	-0.034953251966569475	-0.1565908469343766	0.004589048398236693	-0.02728629635981848	-0.20566585238097446	-0.23194163101269638	-0.2735119199373294	-0.27443204731818793	-0.0604433298876842	-0.05619498356749841	-0.1981982190783893	-0.14232307827804072	-0.24712257394625714	-0.11269590369487927	0.02278068520518609	-0.06819140503682827	-0.5262943202414118	-0.45859426786136437	-0.4298825852566391	-0.47800733320663236	-0.4244406228126695	-0.4949566821643621	-0.487298997362456	-0.4996963811413288	-0.4680852543213539	-0.47661671247989396	-0.4719581330453203	-0.5014647871654978	-0.5175310919617486	-0.4788764711608438	-0.45452206683323215	-0.2436807876475796	-0.3864303229484868	-0.39091971019464056	-0.4685511122648113	-0.3530786025188777	-0.41703788514399875	-0.4010851477070982	-0.34899249528347803	-0.3362729510362442	-0.2749187645725464	-0.21318215740899546	-0.2869151860418762	-0.3986260667219825	-0.2379097116316153	-0.23844046520898712	-0.2356708122615665	-0.15345036179315907
ZntR	0.30453203294844045	0.2866556035062184	0.38167903546546394	0.3516068622497462	0.2579694156148166	0.23965725834488322	0.3452795379430865	0.39120710514483314	0.41907977991109296	0.46405708961623504	0.39304735990655026	0.30038566548154877	0.3325808530067538	0.3629450565750866	0.3717129202571721	0.3783971705503613	0.3033778177452476	0.2881528384886734	0.2998131932823748	1.0	0.18800265145018566	0.22481238208695087	0.24107105608373391	0.3921759042511276	0.1929069072131497	0.07931405314952418	0.15732787591954794	0.2304559845362975	0.25024683517899604	0.2119978120900566	0.22669203776925895	-0.04834492956506019	0.13817671081114907	0.04404559381822733	-0.08300615117901461	-0.024755366637154604	0.040337271880258284	0.11121952802332534	0.059785102743694696	0.0689794234486467	-0.10695959319708341	-0.2258113113089913	-0.07660466043359554	-0.1471925685228363	-0.1847115157302381	-0.14815441452549702	-0.2609221669579245	-0.13028957358933116	-0.19464286542036147	-0.2039739304967761	-0.1624499955963677	-0.05604665068997965	-0.061430670603668455	0.011150460527230672	0.11238996713499683	-0.12109988828680161	-0.4465375861605425	-0.4330624713184475	-0.375560304267815	-0.4389911510167755	-0.3470294023575657	-0.4706625380682424	-0.45721987104310463	-0.44638925328302376	-0.4299405277869198	-0.4527397546017958	-0.4581330453203295	-0.4650583365394867	-0.4455896463651492	-0.44764312963829955	-0.4396841436789335	-0.2535866426243794	-0.2021081810217354	-0.36444229155754154	-0.3904700761596618	-0.4122634206488636	-0.4064529437123084	-0.3113669338203596	-0.3097260013628083	-0.4428385350274184	-0.2725778863492034	-0.16584311016960937	-0.3635916952130199	-0.4102887392168951	-0.21117966356249218	-0.24391487546991392	-0.28355915468801424	-0.27375991396693106
HrcA	0.5040003522905842	0.6504512564258266	0.48184776411364155	0.5297592835522016	0.4189129054238844	0.33503761629065826	0.39329535393615195	0.4148267981884847	0.42301523656776263	0.3138376033115315	0.3305412759408708	0.3211406798281193	0.2913813962759177	0.29914801303475164	0.33856515753415134	0.34546727174119624	0.3819617950132341	0.19725723238662965	0.22675461570196218	0.18800265145018566	1.0	0.4348540543547288	0.4271013438031623	0.3759960320955264	0.3599668105186552	0.32773222207285924	0.2819668939558988	0.06557703807056009	0.10784959046219597	0.13203016719896538	0.05725417302103082	0.13206493271713385	-0.06407053228326016	0.16011143507423597	0.2004510246557055	0.09125253208857327	0.0231445642953493	-0.059965883438170685	-0.11696510932596614	-0.30105084572917196	-0.10341119264268928	0.03566942164083975	0.12487542355989635	0.03403080688449968	-0.15201338704219608	-0.031784954410817176	-0.059150052611817494	-0.015347817420769384	-0.05187942391218694	0.020745743541725575	0.03680973063676523	-0.00397485757726057	0.014923678099114174	0.15550616276752066	-0.058969271917341505	-0.059462942275333636	-0.44328121595876346	-0.45131668605810016	-0.5624133759172303	-0.5645085778121828	-0.47006920655816736	-0.4950099892922204	-0.4979511521292721	-0.5702147581942326	-0.5570571684180762	-0.5646360513788005	-0.5048625371411619	-0.5267416365751793	-0.502913350422517	-0.5394310507066671	-0.49723034705257935	-0.37106859932045	-0.4290296712109062	-0.5288855101955676	-0.48632788055495035	-0.4591087975302576	-0.383408040569042	-0.581101000783383	-0.5107054618946744	-0.4674942405124901	-0.4826218763181926	-0.3519243873156848	-0.2751482169924582	-0.4455247507312347	-0.2743300684648938	-0.13315656998762349	-0.17267569334031735	-0.033662292391914005
QorR	0.3133161205390046	0.41522080739439393	0.48372510209473835	0.4105599102586091	0.2668601174610974	0.3485405435472881	0.29598898628384424	0.3355799583740863	0.36890154868794933	0.2892699704724866	0.2745108491593698	0.3046061993871998	0.2859301630271032	0.18113762046252047	0.3975251586466479	0.3442342546968215	0.22781148745428334	0.13210201593651352	0.3352114438815006	0.22481238208695087	0.4348540543547288	1.0	0.29373154530410556	0.2790628143382268	0.2742443135200782	0.1306418641734382	0.22462233058762995	-0.004888031854485447	0.13549049510733274	0.14374614682173634	0.130519026009243	0.1726200685112478	0.0505003916915047	0.07180238352392564	0.08716874255438486	0.07163550903671702	0.02536955745813073	-0.05251447404406413	0.03762324376190719	-0.19198677983229115	-0.0822575336877871	-0.030978394389308907	0.02949738331533252	0.1725065011518975	-0.14608470734386805	-0.15972206127074923	-0.13434091530656234	-0.11420472718339042	-0.12153329841330175	-0.02336242820920498	-0.08193305551821481	0.06451784861702768	-0.11084637812831721	-0.08739355957187424	-0.0427430457375157	-0.08074871019927594	-0.3907621065122769	-0.39016182189856813	-0.40141194357788174	-0.4236178388826826	-0.3362868572435116	-0.3822862731828064	-0.40236683647690874	-0.46127584816275824	-0.42705498977893763	-0.4470196680124785	-0.40379685812423805	-0.4042372213543719	-0.3998544483639347	-0.3994789807677154	-0.3500748617491227	-0.14397791694285939	-0.41404109747787754	-0.4746327602430805	-0.4160459090255921	-0.34736083363077164	-0.3837719196592052	-0.47062313714765147	-0.3254400155749521	-0.3432121484626688	-0.3175018889264872	-0.3980814069373433	-0.31426637803560914	-0.26633631698735927	-0.25599936958527053	-0.15762454167458548	-0.30367911890270755	-0.07854689404860683
PurR	0.6134584273933742	0.5750193528051137	0.4358529835767692	0.5674080220274323	0.13234537456369275	0.22379259355400938	0.33837278833361917	0.3872809192930084	0.33940648307382804	0.39267884541396464	0.36054855352267406	0.3252708233865323	0.24166438759380895	0.33055981755056063	0.3441809475689632	0.42925217052718434	0.5465093102057655	0.19808001631661654	0.10203216042200704	0.24107105608373391	0.4271013438031623	0.29373154530410556	1.0	0.41016821875391113	0.4058202112816424	0.40539838966119845	0.15001784629932646	-0.11116390319425581	-0.07214772100439899	-0.030118527239942336	0.15201106934098485	-0.04522993913716619	0.06554922565602533	0.18415990284196523	0.10644274582697896	0.05312866486504026	-0.13785223264157678	-0.24840658041727892	-0.13379857322313438	-0.13033360991234455	-0.2447376593999008	-0.11023218730734109	-0.10176794248392675	0.0176098938029305	-0.17525297708720583	-0.06354904951073327	0.01778835679619526	0.0015204119945673084	-0.06776263031275061	0.07149181156162072	0.2536909391788848	-0.041588830534322836	0.029022254567030236	0.09939229874241533	0.174571572931104	0.15446087952125565	-0.33278017531091963	-0.4248670798355359	-0.5423861197509862	-0.5836782845302715	-0.5035738952677177	-0.585532445499256	-0.5299099341309316	-0.4585177837213938	-0.5417348457106304	-0.5023478313269767	-0.40868952538114595	-0.4462386027042938	-0.44823182574595216	-0.48677983229114036	-0.4656354441410831	-0.3794401360954151	-0.5312750601443464	-0.48549350811890735	-0.44647732592905054	-0.48841149394384675	-0.48601499089143424	-0.6023010137625098	-0.452651681955769	-0.5059263619971168	-0.49201088392488795	-0.4359248323143174	-0.30609879896723236	-0.15892940745650833	-0.03496715817383686	-0.16712479893941992	0.06512972173679257	-0.14871529821861484
CsoR	0.514318758082983	0.4534327472639537	0.36946706778348964	0.5245954452535797	0.1318123032851097	0.2883266660795157	0.40704627522238346	0.4099642610473228	0.39860984281350387	0.5123973837788728	0.3498430916279997	0.35087678636820857	0.22412866022963784	0.4425859055953943	0.4509667131752043	0.49094010596529936	0.38907018462807846	0.14946623341105358	0.29106618891119035	0.3921759042511276	0.3759960320955264	0.2790628143382268	0.41016821875391113	1.0	0.4723127413306386	0.3480167430735499	0.27155809781626195	0.11044078041635184	0.08629265149653967	0.008100365733251132	0.11126588204754996	0.20042784764359317	0.11514571387515007	0.26806995749335977	0.019897464898415155	-0.05103114526887652	0.16484418094756897	0.0029226212273618535	-0.10743240424417445	-0.1433892208352068	-0.15986575874584552	-0.06928536000852914	-0.013686025652317005	0.06713916868692955	-0.1198135641145686	-0.059961248035748226	-0.130157464620291	-0.09808047985685878	0.057013132095062834	-0.054927201004955246	0.007919585038775141	0.008257969415614817	-0.061989236595575044	0.021566209770501225	0.04209408939837112	-0.03189852177016748	-0.4412903106183163	-0.4361983210572426	-0.5165437512457643	-0.5492882339580311	-0.4521301991832421	-0.5535620749915404	-0.5303873805804451	-0.5549967320412922	-0.530456911616782	-0.5519814027654811	-0.479309881287344	-0.5134565732324051	-0.5101770260185138	-0.5065706829338389	-0.5017336405060006	-0.3140716911338658	-0.37241750142538627	-0.4721922208676546	-0.5229892783141968	-0.42015055787068156	-0.49456730836087537	-0.5688426790771841	-0.4940643671980383	-0.4780884527490254	-0.48058693465473207	-0.3917100463076702	-0.24909725537822566	-0.3689293611024841	-0.32166911570427986	-0.1304054586498927	-0.10273905929143239	-0.0725185531981959
LexA	0.5561022755190492	0.42186797446820345	0.4101890780648122	0.488654852571026	0.13475114842095018	0.24700205348327314	0.3508072553318716	0.41252300318452145	0.2749998841149394	0.3484362469927827	0.34873754815024266	0.23045366683508628	0.19231357570307467	0.40971163161529867	0.46412662065257193	0.4880916511766969	0.30464328260657947	-0.04933227028104445	0.33620341999990727	0.1929069072131497	0.3599668105186552	0.2742443135200782	0.4058202112816424	0.4723127413306386	1.0	0.365350830432344	0.24458700882117082	0.10972229304087035	0.0005168473701044356	-0.01068228488256208	0.01617987215560119	0.15973364977680538	0.1110202057191595	0.24900454732977642	0.014330346589039127	-0.0024521278814820307	0.012619883095150905	-0.15902675090738003	-0.1673403451520644	-0.19123120923742995	-0.22701188053640878	-0.10166828133184383	-0.07207355456563962	0.041968933532964665	-0.054081240062856056	0.07882270049274327	-0.037759988133369796	-0.03315703352786572	0.13041472945473762	0.09360963422039484	0.1355716146497258	0.18452609963333966	0.027205176817425406	-0.039076442421348806	0.14280979553239914	0.16082296934608378	-0.27116872401277514	-0.37255888119927133	-0.5010522363498987	-0.5332914601981171	-0.3735045032934534	-0.44597206706500225	-0.4207601132892352	-0.4645438068705935	-0.4461945663812804	-0.4581098683082172	-0.3606644385832356	-0.376485067051096	-0.4097417617310447	-0.43680092337216253	-0.44024966277447375	-0.16999411303892348	-0.4348146534341379	-0.49065966411874046	-0.45005353889797944	-0.34282972776281573	-0.36261826070430303	-0.5873680648585506	-0.3854916539579384	-0.3320987711548178	-0.46640260324200045	-0.5362766593581821	-0.21808873087317077	-0.32512249050901354	-0.18289675568184452	-0.0617968673950429	-0.01451344498472635	-0.00692297351794596
FabR	0.46842827410061605	0.5116279069767442	0.36507038858578506	0.43719956798049425	0.07327412379305709	0.1181425015412713	0.19086964784847796	0.344621310799097	0.18063236159847218	0.2369965373543904	0.2648274934988481	0.26130690535898876	0.1449675753600549	0.30273349680852546	0.14879873546221914	0.20301208449411537	0.2675739694341564	0.0788621014133342	0.1310636857938822	0.07931405314952418	0.32773222207285924	0.1306418641734382	0.40539838966119845	0.3480167430735499	0.365350830432344	1.0	0.27751227222791347	-0.09827516675860215	-0.12379305709425163	-0.12280803407947861	-0.07419656887512689	-0.06582039669773931	-0.14230453666835086	0.18148759334541628	0.2809911417459707	0.10980109488205218	-0.21419962824072572	-0.15431718204615932	-0.1701934353430893	-0.1569083720003152	-0.16161794086153589	0.03976943508350678	0.08420208500400962	-0.0031219435315276898	-0.09193625394588631	0.1233364699556392	0.12151707450482313	0.19192420189958792	0.1383227259874566	0.3343747537442463	0.1791304912135947	0.10510543222809889	0.005676050266303869	0.1875901006345866	0.008260287116826047	0.13010183979122147	-0.19623512615247693	-0.21194218726098707	-0.4486443765615512	-0.48210502894808815	-0.3902151290264264	-0.34776411364152576	-0.38478707278972424	-0.4106943369288605	-0.45597526549267375	-0.4356119426508012	-0.3090445972067065	-0.35218396985134265	-0.3463132326832954	-0.3412305139270666	-0.32130755431532787	-0.32793617977944756	-0.4378995137462859	-0.44787489975942263	-0.37788727628389057	-0.3047684384719859	-0.33077304606199387	-0.5119500674451053	-0.4111555594698954	-0.3109798777180841	-0.388050396095137	-0.2512341758949803	-0.2428394621079029	-0.15624319175269202	-0.16206757489651463	-0.12268287821407216	0.0792167096986525	0.0583944820169563
