	ModE	NadQ	AraR	NiaR	CcpA	Rex	PsrA	HisR	PhrR	KdgR	MetR	RbkR	SahR_SamR	Zur	ArgR	FUR	NagC	NrtR	MntR	ThiR	IscR	NsrR	Phr	BirA	CzrA	XylR	AgaR	GulR	HutC	PhnF	Irr	NagR	SiaR	HexR	NrdR	LexA	SoxR	CblR	LiuQ	PrpR	ExuR_UxuR	NarP	HypR	SdaR	TrpR	TyrR	FixJ	MetJ	NmlR	PaaR	LiuR	RbsR	BioQ	GntR	FadR	NtrC	AcnR	FadP	FruR	NnrR	NifA	MerR	CueR	DasR	FabR	GlcC	HrcA	NorR	PhsR	RutR	AmtR	VanR	PhnR	FnrN_FixK	HcpR	PdxR	LtbR	PurR	CsoR	ZntR	NikR	QorR	LldR	PdhR	GguR	TtrR	CadR-PbrR	NagQ
ModE	1.0	0.3363828662083554	0.4079851930195664	0.28202009518773136	0.25457429931253306	0.3782125859333686	0.2744050766790058	0.42147012162876785	0.3002644103648863	0.4144368059227922	0.3790058170280275	0.45600211528291906	0.4795346377578001	0.5137493389740878	0.4731359069275516	0.4141195134849286	0.4021681649920677	0.4507667900581703	0.41634056054997354	0.4226864093072448	0.4212585933368588	0.5722369116869381	0.5264410364886304	0.3468006345848757	0.5666314119513485	0.33421470121628766	0.30698043363299843	0.3045478582760444	0.38889476467477524	0.35780010576414595	0.1540983606557377	0.1180327868852459	0.2700158646218932	0.3239026969857218	0.3400846113167636	-0.12141723955579059	0.08085668958223162	0.008461131676361713	-0.01406663141195135	0.3354309888947647	0.17863564251718667	0.35605499735589635	0.13194077207826546	-0.005605499735589635	0.3514013749338974	0.3576943416181914	-0.35663670015864624	-0.23828662083553676	-0.4605499735589635	-0.32956107879428875	-0.369381279746166	-0.40962453728186143	-0.4320994182971972	-0.3199365415124273	-0.4514013749338974	-0.3162876784769963	-0.521893178212586	-0.46774193548387094	-0.41723955579058697	-0.3113167636171338	-0.4250661025912216	-0.42670544685351663	-0.48767847699629824	-0.3161290322580645	-0.09994711792702274	-0.25483870967741934	-0.2867794817556848	0.023902696985721842	-0.05859333685880486	0.07287149656266526	0.11882601797990482	-0.07847699629825489	0.08106821787414066	-0.040983606557377046	-0.12337387625594923	-0.20158646218931783	0.03246959280803807	-0.25282919090428346	-0.2632998413537811	-0.29777895293495504	0.01274457958751983	-0.10047593865679534	0.0935483870967742	0.01634056054997356	0.0881544156530936	-0.00031729243786356425	0.21649920676890533	0.25848757271285033
NadQ	0.3363828662083554	1.0	0.34531993654151244	0.3485986250661026	0.3920148069804336	0.4114225277630883	0.2461660497091486	0.28350079323109467	0.2609730301427816	0.29280803807509254	0.27662612374405077	0.4125330512956108	0.39576943416181914	0.4404019037546272	0.369381279746166	0.4491274457958752	0.3901639344262295	0.382760444209413	0.29952406134320464	0.3601797990481227	0.5195134849286092	0.43733474352194607	0.4639344262295082	0.5597567424643046	0.4600211528291909	0.369381279746166	0.4594923320994183	0.14119513484928609	0.16224219989423586	0.20909571655208883	0.11020624008461131	0.0940772078265468	0.1471179270227393	0.13225806451612904	0.35848757271285037	0.0965097831835008	0.09989423585404549	0.211158117398202	-0.0343204653622422	0.16319407720782655	0.4326811210999471	0.1878900052882073	0.2051295610787943	0.18826017979904813	0.15536753040719195	0.1629825489159175	-0.4994182971972501	-0.21052353252247488	-0.4161819143310418	-0.4104706504494976	-0.17049180327868851	-0.3678476996298255	-0.3514013749338974	-0.10380750925436277	-0.22453728186144897	-0.2204653622421999	-0.36525647805393974	-0.3254891591750397	-0.25764145954521417	-0.3887361184558435	-0.5186144896879957	-0.454362771020624	-0.37006874669487044	-0.3156530936012692	-0.09830777366472766	-0.27287149656266524	-0.05795875198307774	-0.033950290851401374	-0.012109994711792702	-0.1361713379164463	-0.0375462718138551	0.05515600211528292	-0.2865679534637758	-0.18006345848757271	-0.17054468535166578	0.00031729243786356425	0.19365415124272872	-0.13670015864621893	-0.2648334214701216	-0.19550502379693285	0.05616076150185087	0.1317821258593337	-0.008884188260179799	-0.06160761501850873	-0.09101004759386568	-0.06504494976203067	0.19635113696456902	0.026969857218402962
AraR	0.4079851930195664	0.34531993654151244	1.0	0.5520888418826018	0.18625066102591223	0.3681121099947118	0.166737176097303	0.19640401903754628	0.411158117398202	0.44257006874669486	0.44484399788471707	0.4255420412480169	0.5628239026969857	0.5635642517186674	0.5350079323109466	0.5379693283976732	0.4877313590692755	0.5442622950819672	0.507297726070862	0.5088841882601798	0.5155473294553147	0.5405076679005817	0.5250661025912216	0.566314119513485	0.5794288736118456	0.3889476467477525	0.3217874140666314	0.19428873611845585	0.5253833950290852	0.27572712850343734	0.21840296139608673	0.17763088313061873	0.15256478053939715	0.1574828133262824	0.001797990481226864	0.07847699629825489	0.16213643574828132	0.05838180856689582	0.0019566367001586462	0.17726070861977788	0.04981491274457959	0.182760444209413	0.2192490745637229	0.13585404547858276	0.28455843469063985	0.29026969857218404	-0.29386567953463777	-0.3603913273400317	-0.20544685351665784	-0.38577472236911686	-0.43659439450026444	-0.5002115282919091	-0.45695399259650976	-0.17287149656266526	-0.29238498149127445	-0.3460074034902168	-0.39539925965097833	-0.46155473294553145	-0.3911158117398202	-0.41649920676890534	-0.35415124272871495	-0.5659439450026441	-0.3939714436805923	-0.4014806980433633	-0.08609201480698044	-0.30259122157588575	-0.27398202009518774	-0.14341618191433103	-0.19592808038075094	-0.12781597038603915	0.05013220518244315	0.04368059227921735	-0.060497091485986254	-0.20719196192490746	-0.05631940772078266	0.04389212057112639	-0.12379693283976732	-0.30211528291909046	-0.19196192490745637	-0.3101004759386568	0.027022739291380223	0.0030142781597038604	-0.02231623479640402	0.0033315705975674246	0.0698572184029614	0.09127445795875198	0.14621893178212586	0.010100475938656796
NiaR	0.28202009518773136	0.3485986250661026	0.5520888418826018	1.0	0.19011105235325224	0.4227392913802221	0.2621893178212586	0.13823373876255948	0.30655737704918035	0.3857218402961396	0.33458487572712853	0.4570597567424643	0.5289264939185616	0.4784769962982549	0.46118455843469064	0.47689053410893706	0.49857218402961395	0.4852459016393443	0.4428344791115812	0.46192490745637227	0.43125330512956106	0.5701216287678477	0.49603384452670546	0.5683236382866208	0.47916446324695927	0.3084082496033845	0.49280803807509255	0.27958751983077734	0.29714436805922795	0.1835536753040719	0.15335801163405605	-0.011634056054997356	0.035959809624537285	-0.06721311475409836	-0.039978847170809094	0.25134849286092015	0.13918561607615018	0.06943416181914332	-0.15156002115282918	0.26615547329455314	0.30851401374933896	0.25790586991010045	0.23157059756742465	0.32501322051824433	0.18350079323109467	0.19095716552088843	-0.48688524590163934	-0.3089899524061343	-0.15066102591221575	-0.09539925965097831	-0.36028556319407723	-0.3823902696985722	-0.4075621364357483	-0.2970386039132734	-0.21258593336858805	-0.23939714436805923	-0.34796404019037547	-0.3209941829719725	-0.40290851401374933	-0.33923849814912743	-0.2556848228450555	-0.5342147012162877	-0.3085668958223162	-0.3680592279217345	0.01634056054997356	-0.2464304600740349	-0.024854574299312534	-0.28646218931782125	-0.23807509254362771	-0.20074034902168164	-0.10724484399788471	-0.06922263352723426	-0.13151771549444738	-0.21015335801163407	-0.16763617133791645	-0.09307244843997885	-0.19767318878900053	-0.21004759386567953	0.052776308831306185	-0.20190375462718138	-0.002696985721840296	0.09360126916975145	-0.1110523532522475	-0.09444738233738763	-0.07583289264939186	0.12305658381808567	0.002379693283976732	0.13860391327340033
CcpA	0.25457429931253306	0.3920148069804336	0.18625066102591223	0.19011105235325224	1.0	0.5909042834479111	0.32062400846113165	0.4102062400846113	0.21459545214172396	0.49978847170809093	0.46578529878371233	0.4863564251718667	0.412374405076679	0.4196192490745637	0.4285034373347435	0.5552617662612375	0.5104706504494976	0.4892120571126388	0.4675304071919619	0.5104706504494976	0.3444738233738763	0.28339502908514014	0.3018508725542041	0.4367530407191962	0.20301427815970385	0.33172924378635643	0.3132205182443152	0.20613432046536223	-0.0013220518244315177	0.15806451612903225	0.02850343733474352	-0.0325753569539926	-0.02321523003701745	0.1757800105764146	0.0849286092014807	0.2685351665785299	0.3358540454785828	0.21623479640401905	0.38297197250132203	0.11565309360126917	0.24955050237969328	0.2327340031729244	0.09799048122686409	0.12004230565838181	0.02464304600740349	0.21983077736647277	-0.24854574299312532	-0.20343733474352194	-0.19164463246959282	-0.25647805393971446	-0.03363299841353781	-0.14156530936012693	-0.3141195134849286	-0.324748810153358	-0.27879428873611845	-0.2598625066102591	-0.39830777366472764	-0.458011634056055	-0.5136435748281333	-0.39439450026441036	-0.35055526176626123	-0.5325753569539926	-0.3157588577472237	-0.3563722897937599	-0.16805922792173453	-0.17303014278159703	-0.22363828662083554	-0.16520359598096246	-0.16975145425700688	0.03865679534637758	-0.10290851401374934	-0.16224219989423586	-0.05452141723955579	-0.02601797990481227	0.028662083553675305	0.05721840296139609	0.04389212057112639	-0.04251718667371761	-0.17276573241671073	-0.11697514542570069	0.0846641988365944	0.08799576943416182	-0.18831306187202537	-0.004653622421998942	-0.21041776837652035	-0.06456901110523533	-0.15753569539925966	0.09391856160761503
Rex	0.3782125859333686	0.4114225277630883	0.3681121099947118	0.4227392913802221	0.5909042834479111	1.0	0.4756742464304601	0.3808566895822316	0.27678476996298257	0.44219989423585404	0.3672659968270756	0.5345848757271285	0.5478582760444209	0.5586462189317821	0.5692755156002115	0.5637757800105764	0.5955579058699101	0.6085668958223163	0.6094658910629297	0.5867794817556848	0.39227921734531995	0.5506081438392385	0.5904283447911158	0.6406134320465362	0.5067689053410894	0.30179799048122685	0.3515600211528292	0.2546271813855103	0.18551031200423057	0.25573770491803277	0.05066102591221576	0.07546271813855103	0.11840296139608672	0.31311475409836065	0.19428873611845585	0.024325753569539928	0.31940772078265467	0.1341618191433104	0.18043363299841353	0.31919619249074566	0.32226335272342677	0.4755156002115283	0.11205711263881545	0.011686938127974616	0.2696456901110523	0.24933897408778424	-0.4837123215230037	-0.35362242199894234	-0.28995240613432044	-0.3423585404547858	-0.08878900052882073	-0.3838180856689582	-0.5318878900052882	-0.29360126916975143	-0.22792173453199366	-0.29640401903754626	-0.40460074034902166	-0.498783712321523	-0.4793231094658911	-0.47408778424114223	-0.5063987308302486	-0.6117927022739291	-0.2802221047065045	-0.4769962982548916	-0.1571655208884188	-0.2565309360126917	-0.1156002115282919	-0.15769434161819143	-0.14828133262823903	0.0195134849286092	-0.001797990481226864	-0.05795875198307774	-0.23585404547858277	-0.33320994182971975	-0.3325753569539926	-0.11084082496033845	-0.18408249603384452	-0.22644103648863034	-0.16885245901639345	-0.09576943416181914	0.20126916975145426	0.014278159703860392	0.01417239555790587	0.1397144368059228	-0.212374405076679	-0.014754098360655738	-5.288207297726071e-05	0.16208355367530408
PsrA	0.2744050766790058	0.2461660497091486	0.166737176097303	0.2621893178212586	0.32062400846113165	0.4756742464304601	1.0	0.46959280803807507	0.3627181385510312	0.36546800634584875	0.38429402432575355	0.4140666314119513	0.41956636700158645	0.4835007932310947	0.4067689053410894	0.456795346377578	0.46076150185087256	0.42485457429931256	0.5244315177154945	0.44965626652564783	0.3287678476996298	0.36240084611316764	0.47054468535166577	0.5499206768905341	0.26456901110523534	0.3028556319407721	0.2946060285563194	0.19613960867265998	0.041248016922263354	0.11348492860920148	-0.09682707562136436	-0.1266525647805394	0.18365943945002644	0.17059756742464305	0.17974616604970914	0.1671602326811211	0.1380750925436277	0.4424114225277631	0.1029613960867266	0.16901110523532523	0.22601797990481226	0.19127445795875198	0.48286620835536753	0.00973030142781597	0.16710735060814383	0.20803807509254363	-0.19053410893707035	-0.3897408778424114	-0.1224748810153358	-0.299788471708091	-0.2217874140666314	-0.22686409307244845	-0.27514542570068745	-0.33516657852987836	-0.07567424643046007	-0.16118455843469065	-0.4040719196192491	-0.3808566895822316	-0.41877313590692755	-0.3066102591221576	-0.4651507139079852	-0.42982548915917507	-0.3302485457429931	-0.37271285034373347	0.16017979904812268	-0.32041248016922264	0.048281332628239026	-0.27207826546800634	-0.12596509783183502	-0.08831306187202538	-0.05774722369116869	-0.16911686938127973	-0.23537810682178742	-0.2234267583289265	-0.23194077207826547	-0.17340031729243785	-0.1854574299312533	0.061448968799576946	-0.07202538339502909	-0.2487572712850344	0.20047593865679533	-0.03347435219460603	-0.16827075621364357	-0.0387625594923321	-0.15563194077207826	-0.1372818614489688	-0.11189846641988366	-0.13802221047065044
HisR	0.42147012162876785	0.28350079323109467	0.19640401903754628	0.13823373876255948	0.4102062400846113	0.3808566895822316	0.46959280803807507	1.0	0.42628239026969855	0.6104177683765204	0.5467477525118984	0.45616076150185086	0.408514013749339	0.5645161290322581	0.4850872554204125	0.5610787942887361	0.5265468006345849	0.5107879428873612	0.5685880486515071	0.5147540983606558	0.4131676361713379	0.43024854574299315	0.4281332628239027	0.37556848228450557	0.28582760444209415	0.3590692755156002	0.39820200951877316	0.29090428344791114	0.019090428344791115	0.07392913802221047	0.09275515600211529	0.01840296139608673	0.10074034902168165	0.33844526705446853	0.11623479640401904	0.05753569539925965	0.24648334214701217	0.16641988365943944	0.15298783712321523	0.19619249074563722	0.09910100475938657	0.06816499206768906	0.20973030142781596	-0.09619249074563722	0.12903225806451613	0.17794817556848228	-0.4244843997884717	-0.38059227921734534	-0.29740877842411423	-0.274246430460074	-0.25441565309360126	-0.06213643574828133	-0.4793231094658911	-0.4413537810682179	-0.3826017979904812	-0.34865150713907983	-0.40962453728186143	-0.47228979375991537	-0.4867794817556848	-0.4309888947646748	-0.495134849286092	-0.3573241671073506	-0.2729243786356425	-0.29619249074563725	-0.11745108408249604	-0.2865150713907985	-0.3341089370703332	-0.17636171337916445	-0.16747752511898467	-0.048281332628239026	-0.004653622421998942	-0.2720253833950291	-0.019090428344791115	-0.1156002115282919	0.0765732416710735	-0.20158646218931783	-0.05124272871496563	-0.035378106821787415	-0.01263881544156531	-0.05510312004230566	0.10735060814383923	-0.09418297197250132	-0.04891591750396616	0.09820200951877314	0.10132205182443152	-0.026546800634584877	0.15594923320994183	-0.08762559492332099
PhrR	0.3002644103648863	0.2609730301427816	0.411158117398202	0.30655737704918035	0.21459545214172396	0.27678476996298257	0.3627181385510312	0.42628239026969855	1.0	0.4413537810682179	0.39804336329984136	0.35510312004230565	0.44621893178212585	0.5138022210470651	0.5363299841353781	0.5289793759915389	0.47139079851930193	0.46308831306187204	0.5238498149127446	0.4892120571126388	0.45563194077207825	0.4271285034373347	0.3373876255949233	0.43252247488101536	0.32808038075092544	0.34315177154944476	0.42913802221047065	0.23585404547858277	0.2650449497620307	0.05177154944473823	0.03157059756742464	0.053781068217874144	0.11433104177683766	0.24849286092014808	0.10883130618720253	-0.02823902696985722	0.09666842940243257	0.028397673188789	-0.034214701216287675	0.20978318350079322	-0.034161819143310415	-0.0035430988894764675	0.2262295081967213	0.21258593336858805	0.28529878371232154	0.34685351665785297	-0.18905341089370703	-0.227181385510312	-0.345637228979376	-0.23252247488101532	-0.27128503437334744	-0.19153886832363828	-0.3399788471708091	-0.3430988894764675	-0.13019566367001587	-0.2415653093601269	-0.39693283976731886	-0.3068746694870439	-0.4961924907456372	-0.39175039661554734	-0.45499735589635115	-0.24955050237969328	-0.3153358011634056	-0.28820729772607084	0.03437334743521946	-0.2231623479640402	-0.19814912744579588	-0.20597567424643046	0.008884188260179799	-0.01961924907456372	-0.054785827604442096	-0.1026969857218403	0.001797990481226864	-0.19894235854045478	-0.024325753569539928	-0.2081967213114754	-0.08900052882072977	-0.0831835007932311	-0.08556319407720783	-0.3831835007932311	-0.08265468006345848	-0.18016922263352722	-0.08180856689582232	-0.007667900581702803	-0.047223691168693814	-0.01639344262295082	-0.18630354309888947	0.017028027498677947
KdgR	0.4144368059227922	0.29280803807509254	0.44257006874669486	0.3857218402961396	0.49978847170809093	0.44219989423585404	0.36546800634584875	0.6104177683765204	0.4413537810682179	1.0	0.8552088841882601	0.7584875727128504	0.8030142781597038	0.7710735060814384	0.8257006874669487	0.8968799576943416	0.8638286620835537	0.8486515071390799	0.8484399788471708	0.8723955579058699	0.6831835007932311	0.6955050237969328	0.6493389740877843	0.6281332628239027	0.48471708090957166	0.5698572184029614	0.6675304071919619	0.5347435219460603	0.24108937070333156	0.3920148069804336	0.19941829719725013	0.08915917503966156	0.3557377049180328	0.15626652564780538	0.2177683765203596	0.24315177154944473	0.35224748810153356	0.2731359069275516	0.3068746694870439	0.2127974616604971	0.1919090428344791	0.15166578529878372	0.24262295081967214	0.08852459016393442	0.07488101533580116	0.27784241142252775	-0.39497620306716025	-0.3671602326811211	-0.2667900581702803	-0.24558434690639874	-0.5357482813326282	-0.3551560021152829	-0.5909042834479111	-0.7417239555790587	-0.6754098360655738	-0.6846113167636171	-0.6778424114225278	-0.7273400317292438	-0.7461131676361713	-0.7264939185616076	-0.3978318350079323	-0.5143839238498149	-0.55579058699101	-0.41015335801163405	-0.2883130618720254	-0.3356425171866737	-0.5558963511369646	-0.46668429402432576	-0.4054468535166579	-0.08910629296668429	-0.19682707562136437	-0.1873611845584347	-0.10111052353252248	-0.18408249603384452	-0.01660497091485986	-0.343204653622422	-0.28186144896879956	-0.15224748810153357	-0.13638286620835538	-0.16869381279746165	-0.0718667371760973	-0.15166578529878372	0.08239026969857219	0.10095187731359069	0.06578529878371232	0.18958223162347965	-0.1328397673188789	-0.09687995769434161
