	FadR	LiuR	GntR	NtrC	CueR	NnrR	MerR	AcnR	FadP	FruR	NifA	GlcC	DasR	PdxR	PaaR	RbsR	FixJ	NmlR	BioQ	HrcA	QorR	PurR	LexA	CsoR	ZntR	FnrN_FixK	HcpR	PhnR	RutR	TtrR	PhsR	PrpR	FabR	MetJ	FUR	KdgR	SahR_SamR	ThiR	ArgR	MntR	NagC	NrtR	MetR	Zur	RbkR	BirA	CzrA	NsrR	Phr	HutC	SiaR	HexR	PhrR	AraR	GulR	ModE	AgaR	Irr	NadQ	XylR	IscR	PhnF	HisR	TrpR	CcpA	PsrA	Rex	GguR	HypR	NagQ	NrdR	NikR	TyrR	SdaR	LldR	PdhR	CblR	ExuR_UxuR	AmtR	LtbR	NorR	LiuQ	SoxR	NagR	VanR	NiaR	CadR-PbrR	NarP
FadR	1.0	0.641248064912187	0.6950942187583409	0.7416217370415844	0.5403085464154166	0.6516628409758181	0.4996263278706027	0.5825495115571452	0.5976832327977366	0.5993434046869162	0.5486841402871937	0.5606843538141248	0.4381465862381893	0.45711845406501894	0.3620776170394491	0.4817060801793626	0.5245983024608979	0.41195216996743717	0.3339774729087706	0.5805103293652912	0.3576736240858378	0.3188330753216249	0.2772914108791971	0.26563817861527783	0.25630705172689905	0.3444189398387872	0.2530827950675279	0.26442107510809804	0.10121176533390273	0.08623818929162441	0.25765760956600653	0.32187583408957454	0.31921742379757645	0.3583569102653072	-0.6840922436342284	-0.7247798003523195	-0.6935835157209203	-0.7080286126087653	-0.7116852613035819	-0.7086638552287408	-0.758244808626488	-0.7426039609245716	-0.7282496129824374	-0.719297496396733	-0.6789515827683766	-0.6607270592003417	-0.6569209416537661	-0.7076229114397053	-0.7158597128062777	-0.48977739817434474	-0.5344525703304329	-0.47627181978327016	-0.4491165323226392	-0.45759355148668124	-0.6336251534724817	-0.6335557572198793	-0.644408263492233	-0.6174665029626861	-0.5102386163454866	-0.5956387124326056	-0.5248545347781989	-0.6122084022847382	-0.2501681524582288	-0.35129984519297497	-0.43112688837879676	-0.23499706400469758	-0.25971814445096886	-0.46520578657983236	-0.11336678588586986	-0.24190999839854802	-0.20680617092830833	-0.17975230875994236	-0.15781775476431964	0.0652164629263866	0.03484225697966156	0.012544707201195751	0.04686382319970106	-0.034436555810601614	-0.021886510436128756	0.0013825868787700848	0.18081460524208615	-0.13860033096674318	-0.23959856936956173	-0.18060641648427908	-0.01268349970640047	-0.05634975711311589	-0.0590455346180537	-0.0886777344792612
LiuR	0.641248064912187	1.0	0.6839320984359152	0.7046388725778039	0.5843644904713607	0.6708856029466717	0.5783323546682325	0.6068755671809107	0.6386483745262371	0.6140393957187851	0.6215555436929483	0.44473923023541345	0.4193562163027812	0.4959910318688945	0.4749266001174398	0.54022847381626	0.547221480809267	0.4215875727326109	0.2882239897507073	0.47568462072278866	0.33576576095660066	0.47367212939732023	0.44372497731276356	0.3759355148668126	0.33244007900496453	0.2721027064538515	0.22583142048790902	0.29702663748465274	0.23249346073773555	0.15541023861634548	0.2686916137297817	0.2707307959216356	0.32689371697005287	0.2777344792611968	-0.7313244007900497	-0.7370789515827684	-0.7845566647093365	-0.7367212939732024	-0.7352105909357818	-0.7552607697645866	-0.7662467303688678	-0.7485186569156035	-0.7967010089147494	-0.7539529173116959	-0.6891154646879838	-0.6463727112582074	-0.7091175999572946	-0.7728553888859232	-0.7157049057812417	-0.5464100784711472	-0.5578497838039823	-0.3799284684780868	-0.4493834409864944	-0.5519190732931191	-0.6481716756525917	-0.6716649762451289	-0.6332621576896386	-0.6621470132920515	-0.5578444456307051	-0.588715101692201	-0.5688037153686009	-0.6406448513318742	-0.24741365504724283	-0.37666684460577593	-0.3196071104468051	-0.2460897880745209	-0.3251961778679336	-0.36743714300966207	-0.2094485667004751	-0.26831794160038436	-0.2790743607537501	-0.08171141835263973	-0.12618373992419793	0.005861314258260823	-0.01982597555116639	0.12002882613569636	0.07885549564938878	-0.13459670100891474	0.09915123044894038	0.09071157849783804	0.15770031495222334	-0.08969732557518817	-0.11465328564565205	-0.18964928201569423	-0.0911439705332835	-0.2569956760796455	-0.13235466823253084	-0.11897186782682966
GntR	0.6950942187583409	0.6839320984359152	1.0	0.7463620349116532	0.5951689531842204	0.6805103293652912	0.637110980622431	0.6092724069823306	0.6605775903485828	0.6824374099183259	0.6555436929482731	0.5000587199060481	0.41999145892275663	0.493925158810655	0.49668499439491803	0.47543372657876476	0.5551967116852613	0.35079805690492716	0.38447659211017987	0.5095766828591256	0.46037473976405274	0.4297443015000267	0.4133027278065446	0.2923824267335718	0.3810014413067848	0.2819836651897721	0.21965515400629904	0.34299364757380024	0.156611327603694	0.10608017936262211	0.29073293119094645	0.24920728126834998	0.4164842790796989	0.24759515293866438	-0.8078150856776811	-0.8127689104788342	-0.7995996370042172	-0.8046228580579725	-0.7648748198366518	-0.7634388512251108	-0.8058666524315379	-0.7713393476752255	-0.8400256232317301	-0.7730368867773448	-0.7273367853520525	-0.697346927881279	-0.6733785298670795	-0.7221160518870443	-0.7424598302460897	-0.4717557251908397	-0.5362675492446485	-0.45400096087118985	-0.451251801633481	-0.5048951048951049	-0.6526237121656969	-0.6788341429562803	-0.6757433406288368	-0.6222441680456947	-0.6170234345806865	-0.6401537393903806	-0.5344685848502643	-0.5908717236961512	-0.24904713607003684	-0.3173010195910959	-0.3905140660865852	-0.3709496610259969	-0.3064111461058026	-0.3158116692467838	-0.09336998878983611	-0.2535418779693589	-0.2320984359152298	-0.16774141888645705	-0.17600491111941494	-0.06468798377195324	0.0905354187796936	0.04308439651951102	-0.05564511824053809	-0.04894037260449474	0.14763785832488122	-0.022607163828537873	0.17135536219505684	-0.19317247637858326	-0.27240164415736934	-0.128228260289329	-0.05697966155981423	-0.19182725671275289	-0.114242246303315	-0.08664389046068435
NtrC	0.7416217370415844	0.7046388725778039	0.7463620349116532	1.0	0.6318155127315432	0.7458068648908344	0.5315913094539049	0.6235093151123685	0.6183152725137459	0.6239150162814285	0.6439651951102333	0.5277424865211124	0.35818075054716275	0.48369188063844554	0.46062029573479957	0.537009555330166	0.5092297015961138	0.4405594405594406	0.29723482624245984	0.6294667164896173	0.4390113703090802	0.43539742700048045	0.3176373245075535	0.3246249933272834	0.29410665670207653	0.38594992793466076	0.24900443068382	0.3399135215929109	0.11906261677254043	0.07801740244488337	0.20925639246249933	0.266513639032723	0.42887951742913577	0.20695030160679015	-0.7647146746383388	-0.7670634708802647	-0.7500400362995783	-0.7790103026744248	-0.7541984732824427	-0.7393797042652005	-0.7858912080286126	-0.7531468531468531	-0.7467677360807132	-0.7308439651951102	-0.6951476004911119	-0.6925852773181017	-0.7061122084022847	-0.7432285271979928	-0.717354401323867	-0.5196284631399135	-0.6274008434313778	-0.4665296535525543	-0.47085891208028613	-0.47873805583729245	-0.7266534991725832	-0.6457428068115091	-0.6932685634975712	-0.6526450648588054	-0.5793199167244969	-0.5797362942401111	-0.6208509048203704	-0.6457001014252922	-0.15607751027598357	-0.3484973042224951	-0.32300218865104363	-0.2261410345379811	-0.29656221640954467	-0.3687343191159985	-0.2472535098489297	-0.19481129557465435	-0.2004964501147707	-0.09734158970800193	-0.17196925212192388	-0.017509208348903006	0.01624406128222922	0.020087546041744515	-0.008930763892595953	-0.03274435488175946	0.046575561842737416	-0.03893663588320077	-0.003549885229274542	-0.13842417124859874	-0.18735920567981637	-0.26004911119414936	-0.14370362461965516	-0.10172422996850478	0.00897346927881279	0.030534351145038167
CueR	0.5403085464154166	0.5843644904713607	0.5951689531842204	0.6318155127315432	1.0	0.6960764426413282	0.5816740511396999	0.6218224523568036	0.664677307425399	0.5552981369775263	0.6447926119681845	0.4863609672769978	0.5232530827950675	0.5433192761437037	0.5462766241392195	0.5459456573960391	0.4679175786046015	0.4469866011850745	0.3672022633854695	0.3861207494795281	0.26995142262317834	0.294181391127956	0.36165590135055786	0.3494848662787594	0.3402284738162601	0.25710243954518763	0.23223722842043454	0.4643783697218812	0.30261570490578127	0.3181818181818182	0.2306998345166284	0.19467250306944964	0.18232530827950674	0.07506539262264453	-0.6516521646292639	-0.6420754817701383	-0.7069503016067902	-0.7135536219505685	-0.7004644210751081	-0.6584903645972349	-0.6649548924358085	-0.6818982544173384	-0.662632787060268	-0.7007793732984573	-0.6786473068915817	-0.6884001494688518	-0.7460737735546896	-0.7489243580846634	-0.7241232050392356	-0.40693962526023597	-0.39119201409277743	-0.5583889393049698	-0.4466716489617253	-0.519553728714034	-0.5122724603640634	-0.6501254470720119	-0.5120749479528105	-0.4905354187796936	-0.5110340041637752	-0.5707681631345753	-0.5533603800779373	-0.565648854961832	-0.26855282122457697	-0.37425932845780174	-0.3465915763625687	-0.3029039662627449	-0.3079325254897774	-0.3292905567714728	-0.35632840442000746	-0.2444563070517269	-0.26601185074467515	-0.2156568622217477	-0.15685154540116372	-0.15604014306304384	0.004430683819996797	0.05678748732183847	0.006736774675705973	-0.04937810281321732	0.19388245342443816	0.058853360380077935	0.02200928842150216	-0.03678001387925052	-0.2221854481396466	-0.12082955212726205	-0.1980195377141942	-0.2758607804409331	-0.1426199754444029	-0.15779640207121123
NnrR	0.6516628409758181	0.6708856029466717	0.6805103293652912	0.7458068648908344	0.6960764426413282	1.0	0.7280681150910159	0.7312283136710618	0.7134041530988096	0.7489350344312177	0.7575721987935728	0.59402658410292	0.5066567020765494	0.568248545347782	0.5856616665776971	0.7038594992793467	0.5836011316927348	0.5489190199113864	0.41839000693962525	0.47926119681844875	0.40367266321464795	0.49326856349757114	0.37051193081727435	0.4571398067581274	0.3883307532162494	0.35470026157049056	0.37262584743500776	0.39119201409277743	0.28058506379117065	0.19446431431164254	0.30106229648214383	0.2772753963593658	0.3502375487108311	0.1430790583462339	-0.8252655741205359	-0.7841936689264933	-0.8429776330539689	-0.8120375807398709	-0.8119735226605456	-0.7933913414829445	-0.8167138205306145	-0.8251481343084397	-0.7932205199380772	-0.7999145892275663	-0.7869641808573107	-0.8233918753002722	-0.838589654620189	-0.8707574867880211	-0.8500560508194096	-0.6014573213046496	-0.5867933593124433	-0.5758340895745476	-0.5251427961351626	-0.6474883894731223	-0.6782095766828591	-0.6763465542091496	-0.7596434100250894	-0.6466449580953397	-0.6447712592750761	-0.6767842844178722	-0.6666257406715422	-0.6533924091176	-0.33871777077883947	-0.45536753323012863	-0.4038434847595153	-0.32043986547803344	-0.4533924091176	-0.4475204185127849	-0.3357230555703838	-0.23771953237602092	-0.32685634975711314	-0.2521592910905888	-0.30924571611594515	-0.09380238082528158	0.05219132013025143	0.02960017082154487	-0.009779533443655581	-0.03828537874339401	0.17840175092083488	0.04715742272994181	0.05068061709283083	-0.09618854428014734	-0.23855762558052634	-0.1442214274275343	-0.21244328190893078	-0.3036406341749853	-0.1151657502802541	-0.08616879303902204
MerR	0.4996263278706027	0.5783323546682325	0.637110980622431	0.5315913094539049	0.5816740511396999	0.7280681150910159	1.0	0.6399829178455133	0.7076175732664283	0.6791651096994609	0.6875140127048524	0.5264079432018364	0.479325254897774	0.4893503443121764	0.5692361074040463	0.5052153952917312	0.5658463673730849	0.4958041958041958	0.5298457267922917	0.3467997651203758	0.3096140500720653	0.4306838199967971	0.36643356643356645	0.5123738856563284	0.4504030320824214	0.28591256072172105	0.3837559387177708	0.43254684247050657	0.3823573373191694	0.24569476325201517	0.2751187743554156	0.1952116585704372	0.2950568515454012	0.1532269257460097	-0.7858324881225645	-0.764116799231303	-0.8005818608872044	-0.7576255805263439	-0.7557785725724657	-0.7679069022580473	-0.7843111087385897	-0.7928254951155714	-0.7295894944749907	-0.7288581647360274	-0.7182885816473603	-0.807302621043079	-0.7667698713500241	-0.7718624886563817	-0.7980195377141942	-0.37676293172476377	-0.39014573213046494	-0.5558106016121284	-0.4627662413921956	-0.5879303902204666	-0.538231997010623	-0.6675812736881439	-0.6875460417445151	-0.6139166177334117	-0.72889019377569	-0.6965462018897134	-0.5102706453851492	-0.523071584903646	-0.4659477926653499	-0.48920087546041746	-0.5075428388405487	-0.4134201676186409	-0.47423797576469334	-0.28663855228740726	-0.2920621363369455	-0.1637164362355202	-0.2236747984839588	-0.2969785939251588	-0.321133828004057	-0.06524315379277211	0.06681791490951797	-0.11603587252442214	-0.08955319489670635	0.032867132867132866	0.25036032669620456	0.015736934820904287	0.09422409651417285	-0.13993487428601933	-0.35579992526557414	0.0747984839587893	-0.09104788341429562	-0.2744515026957775	-0.09073826936422356	-0.1849463513585651
AcnR	0.5825495115571452	0.6068755671809107	0.6092724069823306	0.6235093151123685	0.6218224523568036	0.7312283136710618	0.6399829178455133	1.0	0.7079698927027172	0.6498158330219399	0.6572358938771152	0.4542678695350451	0.4433940105695831	0.4456787487321838	0.5440239150162814	0.4986174131212299	0.5790636844071959	0.5109806224310041	0.4047402978700689	0.36190679549458177	0.3132973896332675	0.37974697058666523	0.2689425078738056	0.4148881652698447	0.3549991992740084	0.2214701329205146	0.3369988789836118	0.3998772220146266	0.2239256926279827	0.17460097154753643	0.2995142262317835	0.21949500880798592	0.3202850584529974	0.11571024395451876	-0.749463513585651	-0.754155767896226	-0.7420487909037528	-0.7437409918325949	-0.7700421715688891	-0.7268723642769445	-0.7244061282229222	-0.7685314685314686	-0.7175839427747824	-0.7498371857150483	-0.7209363155928041	-0.7538888592323707	-0.7372924785138526	-0.7813857897827363	-0.7272140073666791	-0.5194523034217691	-0.5100891474937277	-0.5302781188277371	-0.5211498425238883	-0.576213099877222	-0.5639299631666044	-0.660438797843378	-0.5839854801686862	-0.47765440666204023	-0.6268349970640047	-0.5346447445684087	-0.5212886350290931	-0.5492499866545668	-0.3073773554689585	-0.5807078417765441	-0.44158436982864463	-0.35241552340788984	-0.3631185608284845	-0.28372924785138526	-0.2594725884802221	-0.2856509902311429	-0.3331180270111568	-0.2983825334970373	-0.3800298937703518	-0.046970586665243154	-0.053696684994394915	-0.04464848128970266	-0.014050072065339241	0.03908076656168259	0.12264986921475471	-0.05296001708215449	0.08146586238189292	-0.06890514066086585	-0.18731116212032242	-0.06679656221640955	-0.07305823947045322	-0.20241285432125128	-0.07964020712112316	-0.14336198152992047
FadP	0.5976832327977366	0.6386483745262371	0.6605775903485828	0.6183152725137459	0.664677307425399	0.7134041530988096	0.7076175732664283	0.7079698927027172	1.0	0.6972508407622912	0.6979181124219292	0.5230182031708749	0.4790369935408103	0.4983611808039289	0.5614744034591362	0.49938077189985586	0.5257406715421983	0.47235893877115254	0.5061816046548872	0.4550472428335024	0.3916991405541024	0.3862542038114557	0.33998825601879035	0.3715635509528639	0.4059520632039716	0.3099129877755832	0.3239683980141995	0.3886457054395986	0.2776010249292692	0.18988949981316394	0.3015854374633001	0.3295521272620509	0.2543692948273101	0.18617946938557625	-0.7775262905033897	-0.7574173917685368	-0.7902685101158383	-0.7979394651150377	-0.80398227726472	-0.7924197939465115	-0.7716863289382373	-0.8234399188597662	-0.7719158703891529	-0.7723055570383814	-0.7475577857257246	-0.7753323012864998	-0.754566807238563	-0.7891154646879838	-0.7601078311001975	-0.48937169700528477	-0.4309293759675439	-0.5999359419206748	-0.49879891101265145	-0.6153846153846154	-0.6221107137137671	-0.7055089948219719	-0.6266214701329205	-0.5694122671221908	-0.5936796028399082	-0.6679976512037581	-0.5520365131052154	-0.6061068702290077	-0.4261517108845353	-0.47636790690225805	-0.5043025676613463	-0.3971227246036406	-0.43952383494368225	-0.3186729301233118	-0.3084022847381626	-0.28032349330059253	-0.22224950621897185	-0.333182085090482	-0.3094912720866919	-0.06890514066086585	-0.04522500400362996	-0.038509582021032406	0.010308012598088934	0.02232424064485133	0.13240271179202476	0.03504510756419153	0.10634174985320023	-0.07057598889659958	-0.3091442908236801	-0.10569583088667057	-0.07606363102546308	-0.1558853360380078	-0.10827950675278919	-0.16891581700742006
FruR	0.5993434046869162	0.6140393957187851	0.6824374099183259	0.6239150162814285	0.5552981369775263	0.7489350344312177	0.6791651096994609	0.6498158330219399	0.6972508407622912	1.0	0.7422569796615598	0.530166017188918	0.4954892435808466	0.49880958735920566	0.4865851705546362	0.5165109699460845	0.5280627769177387	0.457428068115091	0.412710190572786	0.3916671115144398	0.3755885336038008	0.41717824160572253	0.34907382693642236	0.29214220893610204	0.37396572892756097	0.33494368227192656	0.2887097635189238	0.40829552127262053	0.2798270431858218	0.16060428121496823	0.261100731329739	0.32057865798323815	0.34978380398227726	0.1198313137244435	-0.8000907489457108	-0.7662360540223135	-0.7773341162654139	-0.7742966956707414	-0.7861207494795281	-0.7770511930817274	-0.7716916671115145	-0.7812256445844232	-0.7657235893877116	-0.7783537073613409	-0.7546949233972134	-0.737516681791491	-0.7016121283296856	-0.7437143009662094	-0.7131265680884001	-0.5196391394864678	-0.4931351091656435	-0.5513318742326376	-0.5678321678321678	-0.5365825014679977	-0.6199647680563711	-0.6139486467730743	-0.6551006245662734	-0.5795014146159184	-0.6129557465435328	-0.609598035552234	-0.5623018203170875	-0.5596914535845834	-0.3341963380131319	-0.4655634441893984	-0.44887631452516946	-0.4095286392996317	-0.42282069075962203	-0.3454065018950515	-0.3056210964607911	-0.24738696418085732	-0.20379010302674425	-0.27157422729941816	-0.34115731596647625	-0.09951956440506059	0.009800886136764	-0.03692948273100945	-0.042518550152137936	-0.006987668819729889	0.11795227673090268	0.049004430683819995	0.2091282763038488	-0.18946244595099557	-0.14985320023487964	-0.06449047136070037	-0.019035925906154914	-0.24015373939038062	-0.0028932899161906796	-0.0791117279666898
