	AgaR	GulR	LldR	IscR	PhnF	Irr	Rex	ModE	SiaR	AraR	MetR	NadQ	RbkR	Zur	KdgR	NrtR	MntR	Phr	SahR_SamR	NagC	FUR	ThiR	CzrA	ArgR	NsrR	BirA	XylR	NnrR	RbsR	PurR	LiuR	NtrC	BioQ	PdxR	FadP	MerR	CueR	GntR	HcpR	DasR	FadR	FnrN_FixK	HrcA	NifA	AcnR	FixJ	CsoR	LiuQ	ZntR	PaaR	PhnR	FruR	NmlR	SoxR	GlcC	PrpR	GguR	RutR	LtbR	CblR	ExuR_UxuR	AmtR	TtrR	VanR	NorR	NarP	QorR	LexA	NagR	CadR-PbrR	TrpR	PhrR	HutC	NrdR	HisR	NagQ	SdaR	CcpA	PsrA	MetJ	NikR	PdhR	FabR	PhsR	NiaR	TyrR	HexR	HypR
AgaR	1.0	0.6222348269994328	0.2741268940928612	0.545255651892067	0.5553034600113443	0.35045782351511223	0.4673041082570294	0.35596791183858684	0.47492099505712665	0.6546471112551657	0.7236852767198768	0.4843205574912892	0.6084596061907462	0.5862571914755692	0.5664856980795722	0.5841503929989466	0.49226156713394376	0.41722712908192205	0.6739324203873268	0.6309861437484807	0.765659184831051	0.6373065391783486	0.6394133376549712	0.5830159630499959	0.6645328579531643	0.4128514707073981	0.4421845879588364	-0.6204521513653675	-0.4826999432785026	-0.5616238554412122	-0.7167166356048943	-0.7881857223887854	-0.340896199659671	-0.5608135483348189	-0.343327120978851	-0.395510898630581	-0.611052588931205	-0.4919374442913864	-0.09407665505226481	0.025848796693947004	-0.13767117737622558	-0.40312778543067823	-0.3561299732598655	-0.49598897982335305	-0.20606109715582205	-0.2177295194878859	-0.3904869945709424	-0.17980714690867838	-0.3415444453447857	-0.16570780325743456	-0.15209464387002675	-0.1614942063041893	-0.3135078194635767	-0.46179401993355484	-0.43051616562677253	-0.3180455392593793	0.07252248602220242	0.04562029008994409	0.10947249007373795	0.264079085973584	-0.061664370796531885	0.15938740782756664	-0.11903411392917916	-0.05307511546876266	0.09991086621829673	-0.03119682359614294	0.016935418523620453	0.0028360748723766306	0.08289441698403695	0.17640385706182643	0.1128757799205899	0.21384004537719795	0.2691029900332226	0.014990681468276477	0.12292358803986711	0.29162952759095695	-0.11660319260999918	-0.21643302811765658	-0.2428490397860789	0.21789158090916458	-0.09083542662669152	-0.10752775301839397	-0.2879021149015477	-0.15322907381897738	0.03200713070253626	0.05566809820922129	-0.1490154768657321	-0.044647921562272104
GulR	0.6222348269994328	1.0	0.21432622964103396	0.2984361072846609	0.3624503686897334	0.4263025686735273	0.3034600113442995	0.34024795397455637	0.37184993112389597	0.4392674823758204	0.5272668341301353	0.5029576209383356	0.5812332874159306	0.4587148529292602	0.40944818086054613	0.5271047727088567	0.5622721011263269	0.5410420549388218	0.5685924965561948	0.5664856980795722	0.6021392107608784	0.630337898063366	0.5190017016449234	0.525970342759906	0.5285633255003647	0.5826918402074386	0.3383032169192124	-0.5577343813305242	-0.5185155173810875	-0.40426221537962886	-0.4765416092699133	-0.611052588931205	-0.3643951057450774	-0.5207843772789887	-0.4585527915079815	-0.503281743780893	-0.49906814682764766	-0.40750344380520215	-0.1605218377765173	-0.1339437646868163	-0.12422007941009643	-0.32501418037436186	-0.3791426950814359	-0.34916133214488293	-0.31674904788915	-0.3990762498987116	-0.49274775139777977	-0.1431812656997002	-0.1642492504659266	-0.15906328498500932	-0.20865407989628068	-0.28093347378656514	-0.20379223725792076	-0.2224293007049672	-0.2783404910461065	-0.14285714285714285	-0.005915241876671258	-0.03557248197066688	-0.0235799367960457	-0.10153148043108338	-0.24803500526699618	-0.0033222591362126247	0.04043432460902682	-0.1409124058017989	0.17202819868730249	-0.052913054047484	0.010615023093752533	0.15484968803176405	0.28952272911433435	0.09472490073737946	0.09764200632039544	0.33295519001701646	0.11725143829511385	-0.046916781460173404	0.09521108500121546	0.3112389595656754	-0.0689571347540718	-0.08645976825216757	-0.12097885098452313	0.052750992626205334	0.04821327283040272	-0.2196742565432299	-0.2054128514707074	-0.0657159063284985	0.09650757637144478	0.2149744753261486	0.05096831699214002	0.17672797990438377
LldR	0.2741268940928612	0.21432622964103396	1.0	0.53277692245361	0.4118791021797261	0.30135321286767686	0.4509359047078843	0.42176484887772464	0.41965805040110205	0.524511789968398	0.4702212138400454	0.45077384328660564	0.5961429381735678	0.5621100397050482	0.5731302163519975	0.5246738513896767	0.6170488615185156	0.4951786727169597	0.576209383356292	0.497447532614861	0.5736164006158334	0.6220727655781542	0.521594684385382	0.6133214488291062	0.5339113524025606	0.43878129811198446	0.41900980471598737	-0.3135078194635767	-0.3802771250303865	-0.37833238797504254	-0.5402317478324284	-0.43959160521837776	-0.5946843853820598	-0.46260432703994814	-0.5502795559517057	-0.3459201037193096	-0.3331172514382951	-0.28482294789725304	-0.14334332712097886	-0.1755935499554331	-0.012559760149096507	-0.2708856656672879	-0.3258244874807552	-0.1815898225427437	0.05566809820922129	-0.22032250222834454	-0.32744510169354185	-0.30961834535288874	-0.3477027793533749	-0.3754152823920266	-0.367960457013208	-0.367960457013208	-0.2919536504335143	-0.22064662507090188	-0.1815898225427437	-0.3784944493963212	-0.07706020581800502	-0.236042460092375	-0.001539583502147314	-0.35467142046835753	-0.03751721902601086	-0.05647840531561462	-0.15744267077222268	-0.052426869783648	0.20784377278988736	0.04108257029414148	-0.010939145936309862	0.34170650676606434	0.36212624584717606	0.2443075925775869	0.15241876671258406	0.23166680171785106	0.2264808362369338	0.391621424519893	0.42857142857142855	0.42468195446074064	-0.4146341463414634	-0.16586986467871323	-0.2614861032331254	0.12097885098452313	0.08046349566485698	0.21108500121546067	0.13054047483996434	0.24544202252653755	0.05696458957945061	0.0028360748723766306	0.016611295681063124	0.06231261648164654
IscR	0.545255651892067	0.2984361072846609	0.53277692245361	1.0	0.556437889960295	0.24803500526699618	0.4880479701806985	0.24058017988817762	0.3212867676849526	0.48286200469978124	0.6060286848715664	0.4319747184182805	0.5408799935175431	0.5768576290414067	0.44510169354185236	0.5206223158577101	0.5332631067174459	0.48594117170407586	0.6400615833400859	0.5146260432703995	0.6523782513572643	0.5830159630499959	0.4596872214569322	0.5779920589903573	0.6138076330929422	0.32242119763390326	0.44023985090349244	-0.5211085001215461	-0.4945304270318451	-0.42046835750749534	-0.6509196985657564	-0.4582286686654242	-0.47167976663155337	-0.3976176971072036	-0.33425168138724576	-0.3538611133619642	-0.3817356778218945	-0.2731545255651892	-0.022931691110931043	-0.11741349971639252	-0.042217000243092134	-0.5078194635766956	-0.369419009804716	-0.3117251438295114	-0.18904464792156228	-0.2678064986629933	-0.46001134429948953	-0.055992221051778625	-0.2613240418118467	-0.26602382302892796	-0.12551657078032574	-0.3107527753018394	-0.4306782270480512	-0.32793128595737786	-0.1660319260999919	-0.263106717445912	-0.014666558625719148	-0.08500121546065958	0.05550603678794263	-0.014990681468276477	0.01904221700024309	-0.029738270804634957	-0.2540312778543068	0.007859978932015234	0.03897577181751884	-0.10217972611619804	0.07414310023498906	0.15630824082327202	0.3762255894984199	0.21481241390486994	0.33976176971072036	0.16295275909569726	0.13216108905275098	0.2509521108500122	0.47070739810388135	0.18045539259379303	-0.38740782756664777	-0.28774005348026904	-0.14382951138481484	0.18418280528320233	0.12648893930799773	0.057612835264565274	0.0021878291872619725	0.024066121059881696	0.041244631715420144	0.00915647030224455	-0.0689571347540718	-0.03297949923020825
PhnF	0.5553034600113443	0.3624503686897334	0.4118791021797261	0.556437889960295	1.0	0.17721416416821975	0.3592091402641601	0.3060529940847581	0.3037841341868568	0.5812332874159306	0.5979256138076331	0.36893282554087997	0.4635766955676201	0.5883639899521919	0.45012559760149096	0.502309375253221	0.5272668341301353	0.45450125597601493	0.5621100397050482	0.4967992869297464	0.5614617940199336	0.6394133376549712	0.5852848229478973	0.5316424925046592	0.5324527996110526	0.3705534397536666	0.22972206466250708	-0.502309375253221	-0.40977230370310347	-0.4632525727250628	-0.6369824163357912	-0.5538449072198364	-0.4263025686735273	-0.578154120411636	-0.3499716392512762	-0.3630986143748481	-0.38254598492828784	-0.2956810631229236	0.012721821570375172	-0.0318450692812576	-0.13767117737622558	-0.4574183615590309	-0.28352645652702374	-0.342354752451179	-0.17705210274694108	-0.030062393647192286	-0.32063852199983794	-0.3533749290981282	-0.2823920265780731	-0.21529859816870595	-0.2438214083137509	-0.15436350376792804	-0.35353699051940685	-0.40912405801798885	-0.2415525484158496	-0.23539421440726035	0.10299003322259136	-0.10898630580990196	0.04367555303460011	0.17137995300218783	-0.008832347459687221	-0.19423061340247955	-0.286767684952597	-0.06360910785187586	0.1033141560651487	0.18223806822785835	0.017421602787456445	-0.007211733246900575	0.3310104529616725	0.5178672716959728	0.45142208897172026	0.1439915728060935	0.4460740620695243	0.264079085973584	0.44267077222267237	0.10444858601409934	-0.35580585041730817	-0.3110768981443967	-0.06992950328174379	0.012883882991653836	0.23069443319017907	-0.045458228668665425	0.0922939794181995	-0.17300056721497448	-0.10412446317154202	0.13799530021878292	-0.05874726521351592	-0.09018718094157686
Irr	0.35045782351511223	0.4263025686735273	0.30135321286767686	0.24803500526699618	0.17721416416821975	1.0	0.45579774734624423	0.5014990681468277	0.558868811279475	0.4058828295924155	0.4126894092861194	0.5099262620533183	0.5604894254922616	0.43878129811198446	0.5702131107689814	0.6050563163438943	0.5343975366663966	0.6219107041568754	0.5569240742241309	0.58496070010534	0.5619479782837695	0.4943683656105664	0.5433109148367231	0.5651892067093428	0.6324446965399887	0.687383518353456	0.40863787375415284	-0.4838343732274532	-0.6489749615104125	-0.4105826108094968	-0.33165869864678715	-0.47265213515922533	-0.447694676282311	-0.5154363503767928	-0.4183615590308727	-0.39194554736245035	-0.4920995057126651	-0.498906085406369	-0.26472733165869866	-0.2302082489263431	-0.21140912405801798	-0.290170974799449	-0.43699862247791915	-0.519163763066202	-0.5277530183939713	-0.47427274937201197	-0.09634551495016612	-0.4635766955676201	-0.2187018880155579	-0.20395429867919943	-0.25419333927558546	-0.2973016773357102	0.00105339923831132	-0.16117008346163195	-0.10023498906085407	-0.39307997731140104	0.08775625962239689	0.03929989466007617	-0.1765659184831051	-0.05226480836236934	-0.14237095859330687	0.004942873348999271	0.19779596467061017	-0.0689571347540718	-0.15420144234664937	0.07495340734138238	-0.3762255894984199	0.008184101774572563	0.08516327688193825	0.14058828295924156	0.01547686573211247	0.3499716392512762	0.2726683413013532	0.16749047889149987	0.11125516570780326	0.24965561947978285	-0.11125516570780326	-0.06539178348594117	-0.1550117494530427	-0.04950976420063204	0.061664370796531885	-0.07398103881371039	-0.19730978040677416	-0.09537314642249413	0.4485049833887043	0.18126569970018638	0.3198282148934446	0.26099991896928937
Rex	0.4673041082570294	0.3034600113442995	0.4509359047078843	0.4880479701806985	0.3592091402641601	0.45579774734624423	1.0	0.4266266915160846	0.58009885746698	0.5219188072279394	0.46746616967830806	0.39859006563487565	0.5058747265213516	0.6343894335953326	0.6881938254598493	0.7021311076898145	0.633255003646382	0.5512519244793777	0.6070010533992383	0.7022931691110931	0.6585365853658537	0.6121870188801556	0.6836561056640467	0.7544769467628231	0.6702050076979175	0.5941982011182239	0.5382870107770845	-0.3990762498987116	-0.40312778543067823	-0.45336682602706424	-0.475245117899684	-0.5669718823434081	-0.4509359047078843	-0.5146260432703995	-0.5611376711773762	-0.5899846041649786	-0.6144558787780569	-0.5363422737217406	-0.1610080220403533	-0.39518677578802364	-0.36731221132809333	-0.2733165869864679	-0.17073170731707318	-0.22356373065391782	-0.2136779839559193	-0.42840936715014993	-0.20087513167490478	-0.3220970747913459	-0.3687707641196013	-0.3971315128433676	-0.3431650595575723	-0.11627906976744186	-0.10380034032898469	-0.3067012397698728	-0.45758042298030954	-0.41366177781379143	-0.024066121059881696	-0.08483915403938093	-0.1211409124058018	-0.07868082003079167	-0.11482051697593387	-0.0008913378170326554	0.04529616724738676	0.1110931042865246	-0.1916376306620209	-0.1605218377765173	-0.08516327688193825	0.14658455554655214	0.15873916214245198	0.2979499230208249	0.22210517786240985	0.37460497528563325	0.38740782756664777	0.30945628393161007	0.1793209626448424	0.2187018880155579	-0.11433433271209789	-0.19504092050887287	-0.052750992626205334	-0.014180374361883154	-0.05372336115387732	-0.03265537638765092	-0.07187424033708775	0.04983388704318937	0.12924398346973504	-0.04594441293250142	0.07819463576695568	0.4522323960781136
ModE	0.35596791183858684	0.34024795397455637	0.42176484887772464	0.24058017988817762	0.3060529940847581	0.5014990681468277	0.4266266915160846	1.0	0.6201280285228101	0.5916052183777651	0.5374767036706912	0.7241714609837129	0.7107203630175837	0.4671420468357507	0.6601571995786403	0.7150960213921076	0.7533425168138724	0.6734462361234907	0.6531885584636578	0.6433028117656592	0.628393161008022	0.660805445263755	0.6645328579531643	0.6778218944980148	0.6958107122599465	0.6068389919779597	0.582043594522324	-0.551089863058099	-0.5348837209302325	-0.5319666153472166	-0.4862652945466332	-0.43586419252896846	-0.4655214326229641	-0.6572400939956243	-0.6925694838343732	-0.6682602706425735	-0.5470383275261324	-0.5199740701725954	-0.31366988088485537	-0.23652864435621102	-0.3233935661615752	-0.12973016773357102	-0.2199983793857872	-0.4003727412689409	-0.4679523539421441	-0.576209383356292	-0.2836885179483024	-0.4146341463414634	-0.3619641844258974	-0.3789806336601572	-0.40847581233287417	-0.28984685195689164	-0.27428895551413984	-0.44704643059719634	-0.4028036625881209	-0.44931529049509766	0.31464224941252733	0.057612835264565274	0.09747994489911677	0.07981524997974232	-0.013208005834211166	-0.10590713880560733	0.028603840855684303	-0.07868082003079167	0.15403938092537073	-0.05664046673689328	-0.24463171542014422	0.1238959565675391	0.2968154930718742	0.1673284174702212	0.22599465197309782	0.43910542095454175	0.28174378089295843	0.2932501418037436	0.2788266753099425	0.34786484077465357	-0.07608783729033304	-0.08872862815006888	-0.38076330929422253	0.05712665100072928	0.024066121059881696	-0.11417227129081922	-0.14545012559760148	0.20379223725792076	-0.10428652459282067	0.11984442103557248	0.12535450935904707	0.09780406774167409
SiaR	0.47492099505712665	0.37184993112389597	0.41965805040110205	0.3212867676849526	0.3037841341868568	0.558868811279475	0.58009885746698	0.6201280285228101	1.0	0.5950085082246171	0.6215865813143181	0.5650271452880642	0.6804148772384734	0.5807471031520947	0.6672879021149015	0.6486508386678551	0.7129892229154849	0.683007859978932	0.6562677254679523	0.7296815493071874	0.6919212381492585	0.7303297949923021	0.7518839640223645	0.7620938335629204	0.7162304513410582	0.6138076330929422	0.5065229722064662	-0.5512519244793777	-0.5186775788023661	-0.6739324203873268	-0.4971234097723037	-0.5449315290495098	-0.5859330686330119	-0.5700510493477028	-0.5168949031683008	-0.5753990762498987	-0.6266104853739567	-0.5102503848958755	-0.26116198039056804	-0.1133619641844259	-0.2700753585608946	-0.2169192123814926	-0.1898549550279556	-0.39923831131999027	-0.39923831131999027	-0.289684790535613	-0.2540312778543068	-0.5165707803257434	-0.32144882910623124	-0.2323150474029657	-0.4194959889798234	-0.342840936715015	-0.17510736569159713	-0.45207033465683494	-0.447208492018475	-0.3198282148934446	0.3216108905275099	0.14382951138481484	0.0689571347540718	-0.06701239769872781	-0.09585933068633012	0.10153148043108338	-0.0973178834778381	-0.12875779920589903	0.00316019771493396	-0.12195121951219512	-0.31334575804229803	0.13734705453366827	-0.03297949923020825	0.20865407989628068	0.09456283931610081	0.3827080463495665	0.29827404586338224	0.3857872133538611	0.10639332306944332	0.12324771088242444	-0.13054047483996434	-0.23944574993922696	-0.2563001377522081	-0.03362774491532291	0.06928125759662912	0.1216270966696378	-0.18321043675553034	0.016935418523620453	-0.01612511141722713	0.029576209383356294	0.05907138805607325	0.30313588850174217
AraR	0.6546471112551657	0.4392674823758204	0.524511789968398	0.48286200469978124	0.5812332874159306	0.4058828295924155	0.5219188072279394	0.5916052183777651	0.5950085082246171	1.0	0.7988817761931772	0.6646949193744429	0.6985657564216838	0.709585933068633	0.7842962482780974	0.7526942711287578	0.6802528158171948	0.6478405315614618	0.7215784782432542	0.7460497528563326	0.7948302406612106	0.769548658941739	0.7815412041163601	0.7483186127542338	0.7729519487885909	0.6625881208978203	0.5857710072117333	-0.5844745158415039	-0.46762823109958673	-0.5591929341220323	-0.7011587391621424	-0.6911109310428653	-0.47184182805283204	-0.6914350538854226	-0.5198120087513167	-0.6838181670853254	-0.6402236447613645	-0.5321286767684953	-0.1256786322016044	-0.06830888906895713	-0.23507009156470302	-0.3524025605704562	-0.3791426950814359	-0.5847986386840612	-0.21011263268778868	-0.3426788752937363	-0.35710234178753747	-0.42824730572887126	-0.5857710072117333	-0.30702536261243013	-0.3878940118304838	-0.44753261486103235	-0.33489992707236044	-0.4938821813467304	-0.47119358236771736	-0.5019852524106636	0.07155011749453043	0.05566809820922129	0.13507819463576695	0.04999594846446803	-0.05583015963049996	-0.034113929179158904	-0.1916376306620209	-0.07932906571590632	0.13005429057612836	0.010290900251195202	-0.14139859006563488	0.1783485941171704	0.286767684952597	0.3183696621019366	0.13183696621019367	0.31496637225508467	0.40069686411149824	0.2021716230451341	0.22988412608378575	0.33976176971072036	-0.2763957539907625	-0.20233368446641278	-0.3099424681954461	0.2794749209950571	-0.023741998217324367	0.07025362612430111	0.021311076898144397	0.156794425087108	-0.02114901547686573	0.10509683169921401	-0.1216270966696378	0.05858520379223726
