	AmtR	DasR	CueR	HrcA	XylR	LldR	PdxR	KdgR	NsrR	MetR	ArgR	IscR	RutR	NrtR	LexA	NagC	MntR	CzrA	SahR_SamR	Zur	BirA	FUR	RbkR	ThiR	ModE	Phr	NadQ	Rex	PhnF	PsrA	NagQ	HutC	NrdR	FabR	HcpR	FnrN_FixK	TyrR	HisR	PaaR	AgaR	SoxR	PdhR	AraR	ExuR_UxuR	HypR	NorR	PhnR	CblR	LtbR	LiuR	NagR	SdaR	TrpR	FruR	CsoR	AcnR	QorR	VanR	LiuQ	ZntR	NifA	NarP	PrpR	FixJ	GlcC	FadP	MetJ	GguR	PhsR	NmlR	TtrR	NtrC	Irr	GntR	RbsR	PurR	MerR	FadR	NiaR	BioQ	CcpA	CadR-PbrR	SiaR	NnrR	GulR	NikR	HexR	PhrR
AmtR	1.0	-0.18212585933368589	-0.21597038603913274	-0.08043363299841354	-0.08455843469063987	-0.034214701216287675	-0.09148598625066102	-0.08804865150713909	-0.1378106821787414	-0.15462718138551032	-0.13707033315705977	-0.07107350608143839	-0.10571126388154416	-0.07710206240084612	-0.10576414595452142	-0.14600740349021682	-0.19635113696456902	-0.1613960867265997	-0.1351136964569011	-0.11496562665256478	-0.15325224748810154	-0.1631411951348493	-0.1503437334743522	-0.15050237969328398	0.04362771020624009	-0.04241142252776309	-0.07445795875198308	0.018984664198836595	-0.1277102062400846	-0.14859862506610258	-0.31295610787942885	-0.09122157588577472	-0.12231623479640402	0.048122686409307246	0.09375991538868324	-0.17207826546800634	-0.14923320994182973	-0.17974616604970914	-0.01258593336858805	-0.00893707033315706	0.08863035430988894	-0.12295081967213115	0.03807509254362771	-0.012480169222633527	-0.2683765203595981	-0.010523532522474881	0.029931253305129562	-0.24219989423585406	0.08196721311475409	0.14225277630883132	0.018350079323109465	-0.07059756742464304	-0.034902168164992066	0.12041248016922264	0.13141195134849287	-0.07546271813855103	0.0493918561607615	0.020306716023268112	0.09301956636700158	0.09820200951877314	0.03342147012162877	-0.008408249603384453	-0.19222633527234267	-0.06160761501850873	-0.1490216816499207	-0.011369645690111053	0.034849286092014806	0.04637757800105764	-0.16213643574828132	-0.15822316234796405	-0.15912215758857748	0.08561607615018509	-0.13204653622422	-0.054574299312533055	0.1156002115282919	-0.323532522474881	-0.28646218931782125	-0.24336329984135377	-0.013326282390269699	0.15267054468535166	0.11644632469592808	0.22030671602326812	0.14304600740349022	-0.13447911158117398	-0.28122686409307246	-0.004019037546271814	0.07361184558434691	-0.23395029085140137
DasR	-0.18212585933368589	1.0	-0.03855103120042306	-0.23950290851401376	-0.16250661025912216	-0.26763617133791645	-0.17895293495505024	0.0298783712321523	-0.17059756742464305	-0.11998942358540454	-0.2122157588577472	-0.309941829719725	-0.17519830777366474	-0.16451612903225807	-0.2865679534637758	-0.16425171866737176	-0.1874669487043892	-0.2125330512956108	-0.22131147540983606	-0.271390798519302	-0.2712321523003702	-0.1721311475409836	-0.16589106292966685	-0.19666842940243257	-0.2810153358011634	-0.25018508725542044	0.000898995240613432	-0.02305658381808567	-0.28032786885245903	-0.19455314648334215	-0.08360655737704918	-0.12136435748281332	-0.15066102591221575	-0.12659968270756214	0.08323638286620835	-0.06832363828662083	-0.13220518244315177	-0.21121099947117927	-0.14299312533051295	-0.33130618720253835	-0.22866208355367532	-0.08434690639873083	-0.10782654680063458	-0.05224748810153358	-0.19264939185616076	-0.18767847699629825	-0.41152829190904283	-0.12681121099947118	-0.10909571655208884	-0.1232681121099947	-0.27191961924907454	-0.0970386039132734	-0.15753569539925966	-0.0553146483342147	-0.036012691697514546	-0.03241671073506081	-0.15055526176626124	-0.07445795875198308	0.2631411951348493	0.07477525118984664	-0.17006874669487043	-0.19989423585404548	-0.08984664198836595	0.12416710735060814	-0.06451612903225806	-0.02083553675304072	-0.1329984135378107	-0.292702273929138	-0.12823902696985723	-0.10370174510840825	-0.2883130618720254	0.09132734003172924	-0.03675304071919619	-0.28725542041248014	0.035272342675832895	-0.11649920676890534	0.20449497620306717	-0.07080909571655208	-0.07942887361184559	-0.23855103120042306	-0.15547329455314648	-0.1935483870967742	-0.15616076150185088	0.0990481226864093	0.07117927022739291	-0.10883130618720253	-0.20814383923849816	-0.030248545742993127
CueR	-0.21597038603913274	-0.03855103120042306	1.0	0.7219460602855632	0.627181385510312	0.6193548387096774	0.767530407191962	0.5837652035959809	0.5543098889476468	0.6755156002115283	0.6048122686409307	0.6209941829719725	0.6387625594923321	0.5216287678476996	0.6542041248016922	0.6341618191433104	0.6042834479111581	0.564304600740349	0.6204124801692227	0.6602855631940772	0.5913802221047065	0.6484399788471709	0.5479640401903755	0.5695399259650978	0.601639344262295	0.4539925965097832	0.4574828133262824	0.3947117927022739	0.42416710735060814	0.42760444209413007	0.3613960867265997	0.4730830248545743	0.4690639873083025	0.41745108408249604	0.12400846113167636	0.18387096774193548	0.23812797461660498	0.5114754098360655	0.31792702273929135	0.4453199365415124	0.2972501322051824	0.45161290322580644	0.34452670544685354	0.3911158117398202	0.3673188789000529	0.35071390798519303	0.30883130618720256	0.41126388154415655	0.31903754627181385	0.4236911686938128	0.42025383395029087	0.44949762030671603	0.47271285034373345	0.05055526176626124	0.06911686938127974	0.21232152300370175	-0.02173453199365415	0.08461131676361713	0.04235854045478583	-0.08826017979904813	-0.010047593865679535	-0.040031729243786354	0.11147540983606558	0.10846113167636172	0.09487043892120571	0.2892649391856161	0.488841882601798	0.2222104706504495	0.3370174510840825	0.4530407191961925	0.12474881015335801	0.23437334743521945	0.23722897937599155	0.4076679005817028	0.3645690111052353	0.2676890534108937	0.39962982548915915	0.22094130089899525	0.6194077207826547	0.09143310417768377	0.1742993125330513	0.10708619777895294	0.059439450026441035	0.21607615018508725	0.03262823902696986	0.028080380750925435	0.05171866737176097	0.17260708619777895
HrcA	-0.08043363299841354	-0.23950290851401376	0.7219460602855632	1.0	0.6757800105764146	0.6862506610259123	0.7509783183500793	0.4948704389212057	0.5589106292966685	0.6545742993125331	0.5974087784241142	0.687202538339503	0.6040719196192491	0.5358540454785827	0.6621364357482813	0.6262295081967213	0.6246959280803808	0.6100475938656795	0.6589106292966684	0.7135378106821787	0.6511369645690112	0.6431517715494447	0.5913273400317293	0.47842411422527764	0.5884188260179799	0.5313590692755156	0.4162876784769963	0.4558963511369646	0.43236382866208356	0.5544685351665786	0.4202009518773136	0.5049709148598625	0.4955579058699101	0.3406663141195135	0.1621893178212586	0.23426758328926495	0.2523532522474881	0.5210999471179271	0.38217874140666314	0.39804336329984136	0.34473823373876256	0.46007403490216814	0.3625066102591222	0.35817028027498676	0.3414066631411951	0.5151242728714965	0.5054997355896351	0.3753569539925965	0.4391856160761502	0.47287149656266525	0.5102062400846114	0.41057641459545213	0.5790586991010047	0.27858276044420943	0.11766261237440508	0.2	0.08445267054468535	0.08291909042834479	-0.01877313590692755	0.00824960338445267	0.06208355367530407	0.02088841882601798	0.02924378635642517	0.12347964040190375	0.20306716023268112	0.32295081967213113	0.47440507667900583	0.24563722897937598	0.24246430460074034	0.3711792702273929	0.05880486515071391	0.35875198307773665	0.35124272871496565	0.42485457429931256	0.3973030142781597	0.1670544685351666	0.2575885774722369	0.23098889476467477	0.45526176626123743	0.05256478053939714	0.13046007403490217	0.2827075621364358	0.10661025912215759	0.08974087784241143	0.12030671602326812	0.1253305129561079	0.12136435748281332	0.1234267583289265
XylR	-0.08455843469063987	-0.16250661025912216	0.627181385510312	0.6757800105764146	1.0	0.6771020624008461	0.7116340560549974	0.58397673188789	0.682548915917504	0.6904812268640931	0.6075621364357483	0.6007932310946589	0.5749867794817557	0.6363299841353781	0.588630354309889	0.6572184029613961	0.6936541512427287	0.6548387096774193	0.6745637228979376	0.7501322051824432	0.6386567953463775	0.6770491803278689	0.5948704389212057	0.5607615018508726	0.6581702802749868	0.5362242199894236	0.4545214172395558	0.43601269169751455	0.5956107879428874	0.5163934426229508	0.5723955579058699	0.5654680063458487	0.433262823902697	0.37139079851930196	0.2980433632998414	0.3170809095716552	0.41919619249074563	0.30031729243786354	0.40132205182443154	0.3977260708619778	0.3808566895822316	0.5474352194606028	0.4052882072977261	0.4340560549973559	0.49159175039661557	0.4246430460074035	0.48053939714436805	0.46726599682707565	0.48270756213643573	0.4094658910629297	0.6274457958751983	0.5249074563722897	0.5620306716023268	0.13125330512956107	0.017451084082496033	0.19978847170809097	0.1310946589106293	0.1885245901639344	0.09016393442622951	-0.10047593865679534	0.018878900052882074	0.046007403490216814	-0.005076679005817028	0.2294553146483342	0.21205711263881544	0.3219460602855632	0.3885774722369117	0.21766261237440507	0.27461660497091483	0.33268112109994713	0.12564780539397144	0.34182971972501325	0.3994711792702274	0.25806451612903225	0.4081438392384982	0.085193019566367	0.4901639344262295	0.20597567424643046	0.44272871496562666	0.059280803807509254	0.2018508725542041	0.20153358011634057	0.06404019037546271	0.171602326811211	0.14130089899524062	0.218455843469064	0.1624537281861449	0.1947646747752512
LldR	-0.034214701216287675	-0.26763617133791645	0.6193548387096774	0.6862506610259123	0.6771020624008461	1.0	0.7445267054468535	0.6302485457429932	0.7116869381279746	0.6670015864621893	0.6868323638286621	0.7050237969328398	0.6570597567424643	0.723109465891063	0.734479111581174	0.6727128503437335	0.6992067689053411	0.7002644103648863	0.7028027498677948	0.7375462718138551	0.734479111581174	0.7424643046007403	0.6357482813326283	0.6676361713379164	0.6358011634056056	0.6309360126916975	0.577683765203596	0.5291380222104707	0.5485986250661026	0.5292437863564252	0.5574299312533051	0.5711792702273929	0.5068217874140666	0.4757800105764146	0.28778424114225276	0.23860391327340033	0.33839238498149127	0.37424643046007405	0.33691168693812795	0.48027498677948177	0.5661025912215759	0.7572712850343734	0.5283447911158118	0.41168693812797463	0.4954521417239556	0.4336329984135378	0.504865150713908	0.4608672659968271	0.3967741935483871	0.390269698572184	0.5828662083553675	0.5075621364357483	0.5226335272342676	0.04849286092014807	0.04246430460074035	0.2076679005817028	0.16816499206768906	0.14151242728714966	0.11343204653622423	0.051983077736647273	0.08820729772607086	0.013802221047065045	0.0390269698572184	0.1995769434161819	0.2224748810153358	0.30655737704918035	0.3492332099418297	0.29524061343204655	0.3019037546271814	0.28392384981491275	0.17033315705975674	0.30211528291909046	0.3634056054997356	0.37424643046007405	0.39132734003172925	0.24087784241142252	0.37176097303014277	0.2242199894235854	0.47636171337916444	0.22289793759915388	0.2415653093601269	0.32712850343733474	0.1847699629825489	0.07260708619777895	0.2602855631940772	0.24262295081967214	0.22734003172924377	0.17170809095716552
PdxR	-0.09148598625066102	-0.17895293495505024	0.767530407191962	0.7509783183500793	0.7116340560549974	0.7445267054468535	1.0	0.6680592279217346	0.7213643574828134	0.7433104177683765	0.7519830777366473	0.7558434690639874	0.7420412480169223	0.6711792702273929	0.7248016922263353	0.7007403490216817	0.7199894235854045	0.7506081438392385	0.7674246430460074	0.7882601797990482	0.7852987837123215	0.7735589635113697	0.7153358011634056	0.645637228979376	0.6870967741935484	0.6445267054468535	0.5824431517715495	0.5777895293495505	0.5749338974087784	0.5534637757800106	0.5138022210470651	0.5931253305129561	0.5505552617662612	0.39518773135906926	0.29296668429402434	0.2602855631940772	0.39037546271813856	0.5714965626652565	0.34473823373876256	0.48958223162347964	0.3841353781068218	0.5158117398202009	0.4535695399259651	0.43707033315705973	0.4420941300898995	0.42395557905869913	0.41057641459545213	0.4829190904283448	0.4205711263881544	0.4602855631940772	0.5338445267054469	0.5112638815441566	0.5051824431517715	0.14209413008989952	0.1845055526176626	0.24008461131676362	0.1566895822316235	0.05092543627710206	-0.014436805922792173	0.054732945531464836	0.1643574828133263	0.10481226864093073	0.18656795346377578	0.12459016393442623	0.15002644103648863	0.35166578529878373	0.47165520888418827	0.28429402432575357	0.3152829190904283	0.41840296139608674	0.28281332628239025	0.39592808038075095	0.32522474881015334	0.45499735589635115	0.4875198307773665	0.20200951877313592	0.34019037546271813	0.21665785298783713	0.5228979375991539	0.22966684294024325	0.2529878371232152	0.2569539925965098	0.20830248545742994	0.17620306716023268	0.1285034373347435	0.20116340560549972	0.18556319407720784	0.2064516129032258
KdgR	-0.08804865150713909	0.0298783712321523	0.5837652035959809	0.4948704389212057	0.58397673188789	0.6302485457429932	0.6680592279217346	1.0	0.7579058699101004	0.8228979375991539	0.8155473294553146	0.7478053939714436	0.7708619777895294	0.8236911686938128	0.724748810153358	0.796562665256478	0.811158117398202	0.8187731359069276	0.81216287678477	0.8216287678476997	0.7998413537810682	0.8290322580645161	0.7576414595452142	0.7133262823902697	0.7163934426229508	0.6785827604442094	0.63204653622422	0.6897937599153887	0.558434690639873	0.6954521417239555	0.6485986250661026	0.6618191433104178	0.6244843997884717	0.37948175568482284	0.4317292437863564	0.35193019566367	0.45616076150185086	0.5355896351136965	0.40687466948704387	0.5599682707562137	0.5356425171866738	0.5291380222104707	0.5176097303014278	0.5519830777366472	0.5237969328397674	0.526176626123744	0.44288736118455846	0.5635113696456902	0.5798519301956637	0.3463775780010576	0.45605499735589633	0.3281332628239027	0.3683765203595981	0.07678476996298254	0.013537810682178741	0.212374405076679	0.10158646218931783	0.08820729772607086	0.3107350608143839	0.23035430988894764	0.023638286620835537	0.17149656266525648	0.26747752511898465	0.07234267583289265	0.23453199365415126	0.39825489159175037	0.4503437334743522	0.29613960867266	0.26996298254891593	0.17800105764145954	0.16181914331041777	0.47165520888418827	0.2909571655208884	0.3615018508725542	0.44008461131676363	0.2138551031200423	0.3192490745637229	0.39227921734531995	0.413590692755156	0.23712321523003702	0.3485986250661026	0.3865150713907985	0.3530407191961925	0.3087784241142253	0.2896351136964569	0.3217874140666314	0.19767318878900053	0.41094658910629295
NsrR	-0.1378106821787414	-0.17059756742464305	0.5543098889476468	0.5589106292966685	0.682548915917504	0.7116869381279746	0.7213643574828134	0.7579058699101004	1.0	0.8048122686409307	0.7986779481755685	0.8120571126388154	0.8103648863035431	0.8401903754627181	0.7971972501322052	0.8659439450026442	0.8603913273400318	0.8328926493918561	0.847276573241671	0.8715494447382337	0.8455314648334215	0.8619777895293496	0.734690639873083	0.7650449497620306	0.7931782125859334	0.765309360126917	0.6966155473294553	0.6374405076679006	0.6732416710735061	0.6314648334214701	0.6264410364886304	0.6548387096774193	0.5966155473294553	0.27165520888418826	0.39576943416181914	0.3664727657324167	0.4988365943945003	0.5573770491803278	0.5328397673188789	0.6116340560549973	0.5942358540454786	0.5173453199365415	0.5256478053939715	0.49471179270227394	0.5699101004759387	0.5637757800105764	0.5481755684822845	0.45251189846641987	0.43775780010576415	0.32924378635642515	0.4850343733474352	0.5216816499206769	0.459227921734532	0.014701216287678478	0.2032258064516129	0.2581702802749868	0.19243786356425172	0.246853516657853	0.08889476467477525	0.11729243786356425	0.30719196192490744	0.13373876255949232	0.19587519830777367	0.17488101533580117	0.1588048651507139	0.3617662612374405	0.31983077736647275	0.2764145954521417	0.22268640930724484	0.35817028027498676	0.4077736647276573	0.5253833950290852	0.4346377578001058	0.4054468535166579	0.42295081967213116	0.23839238498149126	0.42469592808038076	0.3938127974616605	0.37794817556848226	0.26144896879957696	0.38244315177154947	0.335695399259651	0.24230565838180856	0.24727657324167107	0.338339502908514	0.4644632469592808	0.33574828133262824	0.3736118455843469
MetR	-0.15462718138551032	-0.11998942358540454	0.6755156002115283	0.6545742993125331	0.6904812268640931	0.6670015864621893	0.7433104177683765	0.8228979375991539	0.8048122686409307	1.0	0.8514013749338974	0.8401903754627181	0.8154944473823373	0.8078794288736119	0.8054997355896352	0.8487572712850344	0.8518244315177155	0.8786356425171866	0.9088841882601798	0.9047593865679535	0.8712850343733475	0.8997355896351137	0.7784241142252777	0.7804336329984135	0.7823373876255949	0.7276573241671074	0.7124272871496563	0.6450026441036488	0.6021681649920677	0.6714965626652565	0.7019566367001586	0.7329984135378107	0.7418826017979905	0.2566367001586462	0.3266525647805394	0.36329984135378107	0.47324167107350606	0.5252776308831306	0.5285034373347435	0.5873083024854574	0.5790058170280274	0.5136435748281333	0.5986250661025913	0.5546800634584875	0.6025912215758857	0.5520888418826018	0.5116869381279746	0.5756742464304601	0.5277630883130618	0.482548915917504	0.5217345319936542	0.46102591221575884	0.5180856689582232	0.12427287149656266	-0.025753569539925966	0.21126388154415654	0.0878900052882073	0.16197778952934955	0.2900052882072977	0.18434690639873083	0.07139079851930195	0.16657852987837124	0.20671602326811211	0.2382337387625595	0.17694341618191434	0.36525647805393974	0.3724484399788472	0.3045478582760444	0.3216816499206769	0.35552617662612374	0.275251189846642	0.5055526176626124	0.2632998413537811	0.3103120042305658	0.37392913802221045	0.2621893178212586	0.3759386567953464	0.4388154415653094	0.5235854045478583	0.23654151242728716	0.4347964040190375	0.38699101004759384	0.33246959280803806	0.3249074563722898	0.24600740349021682	0.42469592808038076	0.32654680063458486	0.2744050766790058
