	BirA	ThiR	Zur	Phr	MntR	ArgR	NrtR	CzrA	NsrR	RbkR	KdgR	FUR	NagC	MetR	SahR_SamR	PhrR	XylR	ModE	NadQ	AraR	IscR	HutC	AgaR	PhnF	SiaR	GulR	Irr	HypR	TrpR	TyrR	HisR	PsrA	CcpA	HexR	Rex	PdhR	VanR	GguR	NagR	NiaR	LldR	NrdR	PurR	CsoR	HrcA	PhnR	NmlR	ZntR	LiuR	NnrR	GntR	NtrC	BioQ	FixJ	PaaR	PdxR	RbsR	AcnR	CueR	NifA	FruR	FadP	MerR	DasR	FadR	GlcC	FnrN_FixK	HcpR	CblR	CadR-PbrR	NikR	NagQ	NarP	SdaR	LiuQ	SoxR	LexA	QorR	FabR	PhsR	AmtR	LtbR	RutR	TtrR	MetJ	ExuR_UxuR	NorR	PrpR
BirA	1.0	0.8722714862490787	0.8328033523230319	0.8954090974407943	0.8767794151049223	0.8917100463076701	0.9093755649396702	0.8638883609680574	0.8699306080257357	0.8047452614598737	0.8572690063087827	0.8396405708961624	0.8795629742596104	0.7978570534600962	0.8180395956074926	0.7384080173920299	0.7640348396846072	0.7222420514436961	0.7752177480287952	0.7167328756646009	0.7258414414247373	0.6228937890242942	0.5464305083645836	0.6123783786289406	0.5820535759811988	0.6663089681130667	0.6789937468421321	0.31556429071389835	0.4601888462946911	0.392963922662946	0.37864284687875177	0.5056806856687264	0.4713508953279779	0.5480899824318248	0.6483537368296629	0.17183900320306308	0.08504572824489758	0.21117502816006972	0.2656896783494259	0.3808400276269984	0.28873226379148104	0.47478109312059924	-0.4599941593929477	-0.5924067472917661	-0.5005446597846392	-0.5857873926324914	-0.5796570729287863	-0.5074305500832055	-0.5685390602185129	-0.7300897877449231	-0.7218573130426318	-0.6487431106331496	-0.653158331440544	-0.6708748394991911	-0.7156458737965337	-0.651480315763613	-0.7518228720026329	-0.7713912233290533	-0.7541567971223422	-0.7440006304147294	-0.7782933375360982	-0.8380668517737367	-0.8581798628847963	-0.6518187001404527	-0.6470117878283603	-0.649992351586003	-0.4600683258317071	-0.413241490560003	-0.02775215430327584	-0.11479574099225424	0.05998906045028299	0.13993121062805067	0.1404318340896765	0.04309533632162276	-0.07161928512823841	0.16063987095039656	-0.2721166638081685	-0.39865619683772846	-0.20414080498398468	-0.18023603469135174	-0.2737946794850995	-0.38952908946790216	-0.2609940156954726	-0.32809378346181123	-0.11640422563284832	-0.0872011903713421	-0.13380320862555684	-0.20264588770274092
ThiR	0.8722714862490787	1.0	0.9345504354960575	0.9258590559539427	0.94220116719433	0.9501856478670195	0.9440877759802717	0.8891721634813726	0.9288187604006842	0.890683304671095	0.9281373562445824	0.9415359869467068	0.9551269868493634	0.9181781941399243	0.9268579851759831	0.750578266452202	0.7667372792969022	0.7707538554959649	0.7826784282277466	0.7666677482605653	0.8432469139808373	0.6572954281025907	0.7204319267977249	0.7484459813378699	0.6601693776045168	0.7629385670116952	0.7100578961762566	0.2390129374081611	0.3803672165799074	0.2636014295581071	0.3161761638336632	0.40162053668689246	0.5006443209367222	0.4949126458413487	0.5789918926811631	0.2201792973657008	0.1653911584334194	0.3888523207142228	0.35928540636255335	0.3722506269381776	0.3581729097811627	0.4932114531523054	-0.611678432863149	-0.6580162331792835	-0.6418201371152037	-0.5822019088587176	-0.5931669532890498	-0.5698323374943796	-0.7496581390713435	-0.8626020367958245	-0.8256532440863854	-0.8172979312198989	-0.6732713425516036	-0.6940194037945404	-0.7348804761485368	-0.7313761119171561	-0.7654579082283028	-0.8399974968826919	-0.84351576732134	-0.7387464017688695	-0.8257876707566367	-0.8568935387125634	-0.8233309074727323	-0.6032860367772829	-0.6423323490828856	-0.5950860098919488	-0.48879855004612227	-0.38279616744927714	0.03513866806346793	-0.0327166702977319	0.08377331027993196	0.09988828680161868	0.01544052546921861	-0.009354242088526915	-0.026426429210451904	0.13431078519081635	-0.385146316477465	-0.42326554829857554	-0.33387181258140924	-0.3431681121396554	-0.23423383751060348	-0.33450686271328645	-0.25877365793511364	-0.25303039433368407	-0.1030728082658496	-0.1472064747301037	-0.20949237708071627	-0.22447168000889997
Zur	0.8328033523230319	0.9345504354960575	1.0	0.9106503006058471	0.9172279366433197	0.928475740621422	0.9206280043201951	0.8752497323055101	0.9131140169933852	0.8782720146849549	0.8882172705823456	0.9245982264950332	0.9219050576875831	0.9057784926598402	0.8972099512819205	0.7323078278040708	0.7408346505601884	0.7875177883567962	0.7864423749947852	0.7677663386346886	0.8402060899917027	0.6760549017062917	0.72776745113127	0.7303169224636237	0.6780527601503724	0.7726914537085537	0.7097056055921495	0.2509444632435765	0.3499543412861388	0.23724684908520333	0.3151471044958768	0.3577093695389165	0.5068233123658631	0.5016154377442278	0.5521691365635908	0.21749771706430693	0.1965665574256829	0.41387422299066895	0.3888824508299688	0.3625046933449527	0.34594703589192094	0.48046409649053684	-0.596344521649647	-0.6472620995591732	-0.6044819706022778	-0.5954939253051253	-0.5817128739031479	-0.5719483987002332	-0.7713101037866602	-0.8531365450491585	-0.8049028651422373	-0.8071718946280322	-0.6679012288451822	-0.6396924874032939	-0.7291279417422624	-0.7267360740922724	-0.7553596840509709	-0.8296929972975604	-0.8634781278536696	-0.7470854907268775	-0.8087664730613588	-0.8351789960645434	-0.795896278235395	-0.6113191891754083	-0.6104083325993946	-0.5678669268672559	-0.45236892240799886	-0.34414849975200595	0.019127988096286578	-0.025012631471601206	0.08993607780059426	0.0886613421344174	0.001972363730757286	-0.024060056273785407	-0.03947276932846925	0.08947949066198183	-0.4143864349583509	-0.3979122147489234	-0.3380320862555683	-0.37884216918291763	-0.21215078036999782	-0.2982927812878075	-0.25655793557717715	-0.2615757586994915	-0.11364847889269507	-0.12478966861508081	-0.1849595097598398	-0.1999967552183043
Phr	0.8954090974407943	0.9258590559539427	0.9106503006058471	1.0	0.9243479147642203	0.9268556674747718	0.9535532677269377	0.8892440122189208	0.9397814871298051	0.8621918036814366	0.8858277206335669	0.8930519953089727	0.9267606417251114	0.8705053979261209	0.8828471568759242	0.7454538290741711	0.7552692937037329	0.7917383222624472	0.8063885116186361	0.723748557230996	0.8259313682317331	0.6574344901752646	0.6463350190746809	0.725577223486657	0.6519137258901132	0.7175000347655182	0.7278091697530721	0.261751903991545	0.4419160899453486	0.3335705114239493	0.3523809744542972	0.4157330193620759	0.4296415443306711	0.5900589159647894	0.6068043072159309	0.17723461162280804	0.16712711664063115	0.3840801739202989	0.3438332923872786	0.3661087187284164	0.35892152727239013	0.5109789506375996	-0.5654495645039425	-0.6262196902624101	-0.5774598921805396	-0.5766324728481304	-0.5907032369015116	-0.5233207095874028	-0.703742160375653	-0.8292758110795388	-0.7909201737348828	-0.7728629635981847	-0.6668721695073958	-0.7003235510890878	-0.721829500628097	-0.7105052125100241	-0.8058183571206734	-0.8230666895346519	-0.8404888495394728	-0.7626998437869383	-0.7946957090079775	-0.8400160384923817	-0.8289907338305575	-0.6182861990163676	-0.6945594281767572	-0.6413496437693238	-0.5078523717036495	-0.38053177336590477	-0.02598143057789562	0.01906309246237212	0.0692366882830933	0.09607566830914425	0.1120562181605796	-0.0221085518539292	-0.022736648882172705	0.11598935711603803	-0.35553536580278217	-0.41660447501749864	-0.2785598731753897	-0.2858559965883438	-0.25252977087205825	-0.3721695073957846	-0.2803097375898689	-0.30613124678418957	-0.1693984638276372	-0.10405319587820017	-0.18534193045969286	-0.229918277855292
MntR	0.8767794151049223	0.94220116719433	0.9172279366433197	0.9243479147642203	1.0	0.9502134602815543	0.9543366507363337	0.8688157937431338	0.9201667817791601	0.8790553976943508	0.9150330735962843	0.9349838456225578	0.9402264857623615	0.8888152374948431	0.9041352425010777	0.7567989765031451	0.7683990710653545	0.7885028113715692	0.7826065794901984	0.7490138181346213	0.8337744691305375	0.657529515924925	0.672260824823507	0.6870500762523698	0.6692686725598083	0.7557235631411341	0.7128113252151985	0.21414400341165618	0.4092805391900098	0.30358177545183584	0.36967566089250037	0.4158859876420171	0.5023872322475675	0.523413417635852	0.6311308991290079	0.2516583152166355	0.10173781236818075	0.3552108876332099	0.3270948542397708	0.32914601981170993	0.3870491491718854	0.5045936838006592	-0.5876600952111658	-0.6231023821333049	-0.5878849122286551	-0.612220774946577	-0.6031400216009752	-0.5470586053928271	-0.7177503464963311	-0.8182968604419393	-0.8035470099336673	-0.7821569454552197	-0.6982260314929241	-0.7007708674228553	-0.7174768577534059	-0.7246269659900524	-0.76505694591876	-0.8376009938302794	-0.8109080289805359	-0.7200889070184628	-0.8328381178412004	-0.8480422377868735	-0.8218197662830099	-0.6325400614654362	-0.645340725255063	-0.617375342440354	-0.49715154521139754	-0.39339965049065734	-0.027246895439227557	-0.04509551246691482	0.07034918486448401	0.09961248035748224	0.07788634920340609	0.008814217706310173	-0.025707941834970403	0.08060037732175719	-0.3503205380775132	-0.4085342393999935	-0.3444892018300569	-0.3212542471874696	-0.2224691861623967	-0.3416384293402432	-0.2554060380751955	-0.2249723034705258	-0.12490555367564235	-0.12002215722357937	-0.21430856019765357	-0.246809684282741
ArgR	0.8917100463076701	0.9501856478670195	0.928475740621422	0.9268556674747718	0.9502134602815543	1.0	0.9600544196244397	0.9077021846651617	0.9455108445239674	0.894491287761147	0.9254928591625682	0.9444215249546889	0.9416959083302817	0.907523721671897	0.9237151823335543	0.7751505346936695	0.7849845409329211	0.7968859366525904	0.8038993005177745	0.7594342027803144	0.8384423193699561	0.681132985060098	0.7087947490161358	0.7044490592450784	0.6574646202910106	0.7724967668068103	0.7159448572527825	0.2637752571489494	0.4056301597823215	0.3206029731471138	0.3255049112088666	0.38581613212751065	0.5108259823576584	0.5416931270888282	0.6019858063977824	0.23182111054971238	0.15373543904214043	0.3739564550296434	0.3558320315578197	0.34333035122444155	0.3623818551807575	0.5258817694258127	-0.5864154896607349	-0.6481428260194408	-0.6137133745266096	-0.617426331867001	-0.6276172640927822	-0.575594142705499	-0.723959468041218	-0.8396591125058522	-0.8239358274888634	-0.7982974166902299	-0.6839559451353769	-0.7127997367091424	-0.7521427147697828	-0.7377613787540965	-0.7636130180641633	-0.8469506005163838	-0.8388502347831327	-0.7435394078736945	-0.8256717856960752	-0.8845854327843472	-0.8401643713699005	-0.6293879878181624	-0.6633260866542129	-0.6071496446964043	-0.4632435764910931	-0.39571503400067676	-0.03861753758152514	-0.04514186649113943	0.06668489924952835	0.11468217363290394	0.04113919649934409	0.03885162540385943	-0.0442171037078584	0.1016288804112529	-0.356879632505296	-0.4269414224195874	-0.3248235070527648	-0.31743235789015023	-0.21961146056894928	-0.33538295377113164	-0.2634855444975456	-0.24861285582507844	-0.10494319314331274	-0.11526623433813407	-0.16904849094474136	-0.2493892857308407
NrtR	0.9093755649396702	0.9440877759802717	0.9206280043201951	0.9535532677269377	0.9543366507363337	0.9600544196244397	1.0	0.8908362729510363	0.9467206845562297	0.8864465468569653	0.9296763098488395	0.932283723711474	0.9508438750110091	0.9016506668026385	0.9074565083367713	0.7740426735147011	0.7748839990543779	0.7978338764479839	0.8056306233225637	0.7611516193778363	0.815863274170147	0.6607928392303378	0.6728703802420607	0.7133745266095276	0.666181494546449	0.7718524458700882	0.7398635337526828	0.2679865202497555	0.41740871733779566	0.3453838344975919	0.3570951787179404	0.42755329553935223	0.5104227023469042	0.5640728499844714	0.6160704766584311	0.2359141708887457	0.15104922333832413	0.3744199952718895	0.3506287923386069	0.3652210391645151	0.35155587282309914	0.5054975872730391	-0.5687152055105664	-0.632248031112821	-0.6061159499561954	-0.6053001191298423	-0.6357964316672152	-0.5605406733385558	-0.7184920108839249	-0.8358256347024767	-0.8201602922157687	-0.7830631666288109	-0.6963301519021374	-0.7305904112065489	-0.732460796084012	-0.7247127209348679	-0.7902364518775697	-0.8533289142496906	-0.8348081638707464	-0.75889881380052	-0.8357676921721959	-0.8724986209677793	-0.8474790363925444	-0.6518673718658885	-0.7051652289193486	-0.6268222925773301	-0.47291070824313614	-0.357442833899625	-0.052479708525895674	-0.05539769435083507	0.04572592719636955	0.11202377034362238	0.06725273604627986	0.025881769425812703	-0.007212686169349792	0.11377595245931275	-0.36642160839193255	-0.43115268552039343	-0.3310094515855394	-0.27748677751458994	-0.240278402269493	-0.37042891378615034	-0.2647139261394978	-0.25496567484506166	-0.10895976934237546	-0.08658699955036596	-0.17584399089606964	-0.25957558255419944
CzrA	0.8638883609680574	0.8891721634813726	0.8752497323055101	0.8892440122189208	0.8688157937431338	0.9077021846651617	0.8908362729510363	1.0	0.9292614413320293	0.8347154558222972	0.8644492446611752	0.9013818134621358	0.8945260532793154	0.8588056422118286	0.9030760530475453	0.6921907375388794	0.7612837283468764	0.8161599399251847	0.7712753382684918	0.7664800144624555	0.8050651042270235	0.7020548738938771	0.7025879451724601	0.7369594541350107	0.6764651348206795	0.7481469978816211	0.7538972145866843	0.2527429993834915	0.3481233573292665	0.24802879511984832	0.22102989371022244	0.2830284011106424	0.42418799338064533	0.46964043183408966	0.5134588909336164	0.23964335213761584	0.2623104699834516	0.4196777468235905	0.4207323008747004	0.39597925193875705	0.411021132799644	0.5454570738558668	-0.6688700279514767	-0.6922649039776388	-0.610633149616884	-0.6374072340090204	-0.594666505972716	-0.5656280274972072	-0.7584236850522178	-0.8251410321187034	-0.7982950989890187	-0.8031599538313918	-0.6596154470150326	-0.6843800844570321	-0.7402598606598032	-0.702163805850805	-0.8074871019927595	-0.7879743754954086	-0.8552039345295762	-0.7455813026407888	-0.7449879711307137	-0.8160092893464546	-0.8059620545957698	-0.5778029119598018	-0.5306794109330601	-0.5562853739147364	-0.42054456707659077	-0.43909312987006965	-0.014613106136809268	-0.03894665115351989	0.10024289508693697	0.08199331574970681	-0.006417714653897678	-0.02261381071797748	-0.15289874890488617	-0.01984879317297931	-0.44686438203132606	-0.4237453124493003	-0.3417334550899036	-0.3137263536533924	-0.17037885143998777	-0.26601183881778695	-0.188709550319611	-0.25806444136447704	-0.05354816878427301	-0.09670840073981023	-0.1403947508702968	-0.22527128692677456
NsrR	0.8699306080257357	0.9288187604006842	0.9131140169933852	0.9397814871298051	0.9201667817791601	0.9455108445239674	0.9467206845562297	0.9292614413320293	1.0	0.8918352021730767	0.9079918973165655	0.9281280854397375	0.9459558431565236	0.9002716345819562	0.9381730024892111	0.7467169762342918	0.7542541405732138	0.8135687499710287	0.8113182620949237	0.7799806240178742	0.8496136392080879	0.6923738359345667	0.7286991670181847	0.7583170707965012	0.6937320088443478	0.7608734952324886	0.7645400985486555	0.2273108639926575	0.39198817045301787	0.29036392544418743	0.2598606598031808	0.32087414418882776	0.45087864052917753	0.4864113177985547	0.5680917438847454	0.24839499191122277	0.20778191358682804	0.42826251210998884	0.4209779772030909	0.4150052611817495	0.4247720540858755	0.5556572768864929	-0.6452178870908678	-0.6572513917795774	-0.6320208963941204	-0.6200638758453815	-0.6399775646522753	-0.5927265900589159	-0.7995675169539843	-0.8504804594610881	-0.8354965211304819	-0.8267657406677761	-0.6716512694049533	-0.7269168547867483	-0.7400744445629047	-0.746026301273345	-0.8132975789293148	-0.8564276807691059	-0.8572945010221062	-0.7532737529608633	-0.7771993825643974	-0.8288725310687848	-0.7989324668221072	-0.5842994284548814	-0.6453754907732315	-0.5683884096397829	-0.4508438750110091	-0.41814111092054457	-0.02519572986728843	-0.019118717291441656	0.056774408870306076	0.10448197060227783	0.01061507154743639	0.0022064515530915815	-0.11553045227621436	0.00681635926222935	-0.41061089968525616	-0.4232609128961531	-0.37880972136596036	-0.3215532306437183	-0.20530892639444492	-0.2906490026931688	-0.2252828754328307	-0.2386189282022519	-0.11577149320218234	-0.08703199818292225	-0.16801247850332127	-0.23068543695620936
RbkR	0.8047452614598737	0.890683304671095	0.8782720146849549	0.8621918036814366	0.8790553976943508	0.894491287761147	0.8864465468569653	0.8347154558222972	0.8918352021730767	1.0	0.8623076887419981	0.8869564411234361	0.8838113205797962	0.86447705707571	0.8773124863835053	0.6697855199299128	0.6950461454311156	0.7854318572666886	0.7813318438240215	0.7175278471800529	0.7983321822083984	0.6094302626882553	0.7079348818667692	0.7024836486179548	0.6200499696381141	0.7658495997330008	0.7139377280038567	0.20330643254794165	0.32444803945654543	0.26933774005590294	0.24676796566093886	0.2783072437433656	0.5130486578192286	0.42460517959866684	0.5440038751964251	0.24792449856534296	0.18434763664007492	0.4003944727461515	0.41205946294227536	0.33190640195428567	0.3630377646235358	0.46580695403071415	-0.632097380534091	-0.6158711543542653	-0.5673315378874617	-0.5418878139905716	-0.6016543751245764	-0.5096903087641553	-0.7319439487139076	-0.8256880096045538	-0.7987354622191526	-0.7900371295734039	-0.6763886506807089	-0.6724207462070819	-0.6951550773880435	-0.7086186037240823	-0.7403363447997738	-0.8292943526892287	-0.7951615669514349	-0.711086955514043	-0.7848918328844718	-0.8159513468161739	-0.7612118796093282	-0.5204606662927442	-0.6036128326480663	-0.5382629292962069	-0.37475374424630675	-0.3310094515855394	0.0465232164130329	-0.02126027321061878	0.02122318999123909	0.144265311893052	0.01068692028498454	-0.03393809883605045	-0.07254404791151944	0.05465602996324126	-0.32604030018866087	-0.3829166879122611	-0.3956385498607062	-0.32850401657619904	-0.16441308852228007	-0.24302024280237888	-0.1681955768990085	-0.18407414789714968	-0.12729278592320992	-0.057277350033143125	-0.17117382295543987	-0.18993793196156325
