	AgaR	NagR	PhnF	BirA	KdgR	MetR	SahR_SamR	Phr	NrtR	NagC	ArgR	MntR	ThiR	Zur	FUR	CzrA	NsrR	GulR	ModE	NadQ	RbkR	IscR	AraR	HutC	Irr	SiaR	XylR	PhrR	Rex	LldR	NrdR	LtbR	TtrR	GguR	RutR	NorR	TyrR	MetJ	PdhR	FabR	PhsR	PsrA	CcpA	SdaR	HexR	HypR	LexA	NiaR	NikR	CadR-PbrR	NagQ	TrpR	HisR	NarP	AmtR	CblR	FadR	ZntR	VanR	QorR	ExuR_UxuR	PrpR	PurR	NnrR	LiuR	NtrC	PdxR	CueR	MerR	AcnR	GntR	BioQ	RbsR	HcpR	PhnR	LiuQ	NifA	FnrN_FixK	HrcA	CsoR	FixJ	FruR	GlcC	PaaR	DasR	FadP	NmlR	SoxR
AgaR	1.0	0.5086297706830889	0.5656753909731789	0.3749290981281906	0.5292115711854793	0.6744186046511628	0.6831699214002107	0.45061178186532697	0.5617859168624909	0.659346892472247	0.6031115792885504	0.5193258244874808	0.6112146503524836	0.6838181670853254	0.7501012883882991	0.6637225508467709	0.6586986467871323	0.714933959970829	0.46811441536342274	0.5940361396969451	0.6452475488210032	0.5040920508872863	0.6301758366420873	0.5108986305809902	0.42678875293736324	0.48853415444453446	0.3391135240256057	0.2998946600761689	0.31237338951462607	0.2590551819139454	0.2131917996920833	0.2528968479053561	0.1755935499554331	0.26213434891824	0.06766064338384248	0.1605218377765173	-0.13361964184425898	0.1033141560651487	0.14512600275504417	-0.46114577424844017	-0.3601815087918321	-0.2337736001944737	-0.12713718499311238	0.001863706344704643	-0.2750992626205332	-0.06830888906895713	-0.15339113524025605	-0.003484320557491289	-0.19617535045782353	0.19439267482375822	0.015963049995948466	-0.20751964994733005	-0.12632687788671906	-0.2071955271047727	-0.05890932663479459	-0.024390243902439025	-0.010777084515031198	-0.3185317235232153	-0.1861275423385463	-0.053561299732598655	-0.03297949923020825	-0.0867838910947249	-0.58496070010534	-0.6379547848634632	-0.7948302406612106	-0.8565756421683818	-0.5104124463171542	-0.657888339680739	-0.38384247629851714	-0.5222429300704967	-0.5459038975771817	-0.41998217324365933	-0.47184182805283204	-0.5920914026416012	-0.3579126488939308	-0.45709423871647353	-0.5040920508872863	-0.4660076168868001	-0.30410825702941413	-0.49096507576371445	-0.2669961915565999	-0.2755854468843692	-0.34656834940442427	-0.23393566161575238	-0.18369662101936635	-0.24187667125840695	-0.2530589093266348	-0.4971234097723037
NagR	0.5086297706830889	1.0	0.5107365691597116	0.36147800016206144	0.3639089214812414	0.5541690300623936	0.603759824973665	0.4945304270318451	0.5118709991086622	0.4880479701806985	0.5060367879426303	0.5175431488534155	0.5648650838667855	0.5745887691435054	0.52305323717689	0.5228911757556114	0.5716716635604894	0.5653512681306215	0.48480674175512517	0.6198039056802528	0.552548415849607	0.555465521432623	0.5809091645733733	0.46130783566971884	0.13361964184425898	0.18288631391297303	0.2762336925694838	0.37638765091969856	0.25873105907138805	0.4882100316019771	0.447694676282311	0.12227534235475244	0.0579369581071226	0.007211733246900575	-0.06830888906895713	0.23814925856899766	-0.04480998298355077	0.1700834616319585	0.0817599870350863	-0.22842557329227778	-0.132647273316587	-0.06685033627744916	0.01547686573211247	-0.12551657078032574	-0.15436350376792804	-0.013694190098047159	0.15517381087432136	0.06976744186046512	-0.04562029008994409	0.25322097074791344	-0.028603840855684303	-0.1650595575723199	0.1276233692569484	0.08970099667774087	-0.29227777327607163	0.008994408880965886	0.060692002268859895	-0.26975123571833726	-0.02844177943440564	0.04173081597925614	0.06652621343489182	0.21886394943683657	-0.49534073413823837	-0.6335791264889393	-0.6398995219188073	-0.4882100316019771	-0.3817356778218945	-0.394538530102909	-0.4454258163844097	-0.392107608783729	-0.3840045377197958	-0.6053804391864517	-0.5220808686492181	-0.4818896361721092	-0.3734705453366826	-0.27283040272263187	-0.49145126002755046	-0.37266023823028926	-0.2209707479134592	-0.37006725548983066	-0.2528968479053561	-0.339437646868163	-0.026334980957783	-0.2854711935823677	-0.2961672473867596	-0.4572563001377522	-0.4397536666396564	-0.2854711935823677
PhnF	0.5656753909731789	0.5107365691597116	1.0	0.3259865489020339	0.3859492747751398	0.6159144315695648	0.6217486427355968	0.4193339275585447	0.4572563001377522	0.5165707803257434	0.496961348351025	0.5160845960619075	0.6368203549145126	0.5967911838586825	0.5319666153472166	0.5731302163519975	0.5805850417308159	0.43699862247791915	0.41106879507333277	0.4976095940361397	0.5162466574831861	0.49469248845312375	0.5248359128109553	0.5395835021473139	0.13702293169111093	0.39696945142208895	0.22583259055181915	0.260189611862896	0.2305323717689004	0.4258163844096913	0.41965805040110205	0.2091402641601167	-0.25986548902033874	0.24965561947978285	-0.08856656672879021	0.057450773843286604	-0.04837533425168139	0.14350538854225753	0.15241876671258406	-0.07365691597115306	-0.21351592253464063	-0.06766064338384248	-0.22810145044972044	-0.2251843448667045	-0.06717445912000648	-0.06393323069443319	-0.07592577586905437	-0.04772708856656673	0.18353455959808768	0.38935256462199175	0.13507819463576695	0.19471679766631553	0.22064662507090188	0.0036463819787699537	-0.261648164654404	-0.025200551008832346	-0.11190341139291791	-0.3183696621019366	-0.28077141236528647	-0.05307511546876266	0.04513410582610809	0.08613564540961025	-0.4920995057126651	-0.6253139940037274	-0.7131512843367637	-0.557896442751803	-0.5039299894660076	-0.4697350295762094	-0.2768819382545985	-0.43878129811198446	-0.4355400696864111	-0.5272668341301353	-0.46892472246981604	-0.3246900575318046	-0.4664938011506361	-0.4109067336520541	-0.6395753990762499	-0.444777570699295	-0.3289036544850498	-0.16343894335953327	-0.11028279718013127	-0.2081678956324447	-0.29632930880803826	-0.14058828295924156	-0.20978850984523134	-0.1554979337168787	-0.448667044809983	-0.2932501418037436
BirA	0.3749290981281906	0.36147800016206144	0.3259865489020339	1.0	0.8886638035815574	0.6893282554087999	0.6962968965237825	0.8615995462280204	0.8870431893687708	0.8470140183129407	0.8256219107041569	0.8157361640061583	0.7784620371120655	0.7428085244307593	0.7348675147881046	0.789320152337736	0.8011506360910785	0.6117008346163196	0.6223968884207115	0.658860708208411	0.6946762823109959	0.46487318693784946	0.6633984280042136	0.6079734219269103	0.6048942549226157	0.6881938254598493	0.7199578640304676	0.6867352726683413	0.6940280366258812	0.4459120006482457	0.6198039056802528	-0.17851065553844908	-0.04367555303460011	-0.09893849769062475	-0.10947249007373795	0.03589660481322421	0.19828214893444615	-0.0757637144477757	0.10477270885665667	0.07641196013289037	-0.009966777408637873	0.007049671825621911	0.05064419414958269	0.17689004132566244	0.34429948950652295	0.34673041082570294	-0.03460011344299489	0.0922939794181995	0.16570780325743456	-0.04318936877076412	0.19568916619398752	0.14609837128271616	0.07025362612430111	0.15387731950409206	-0.38692164330281176	-0.39486265294546635	-0.5716716635604894	-0.45320476460578557	-0.12632687788671906	-0.391621424519893	-0.30394619560813546	-0.2407422413094563	-0.3977797585284823	-0.5121951219512195	-0.4028036625881209	-0.5002025767765983	-0.633255003646382	-0.714933959970829	-0.8064986629932744	-0.5841503929989466	-0.6766874645490641	-0.5591929341220323	-0.6306620209059234	-0.5444453447856737	-0.7066688274856171	-0.4778381006401426	-0.4684385382059801	-0.5400696864111498	-0.5943602625395025	-0.44785673770358964	-0.37962887934527184	-0.6000324122842557	-0.4890203387083705	-0.6671258406936229	-0.6476784701401831	-0.7146098371282716	-0.28028522810145046	-0.22502228344542582
KdgR	0.5292115711854793	0.3639089214812414	0.3859492747751398	0.8886638035815574	1.0	0.7546390081841018	0.7805688355886881	0.8393971315128433	0.8865570051049347	0.9262620533182075	0.8812089782027388	0.8249736650190422	0.8369662101936634	0.8128190584231424	0.8231909893849769	0.8818572238878535	0.8599789320152338	0.5894984199011425	0.6922453609918159	0.6763633417065068	0.7437808929584312	0.5232152985981687	0.7546390081841018	0.6695567620128029	0.6437889960294951	0.7204440482943035	0.7335710234178754	0.6039218863949437	0.7039137833238798	0.4807552062231586	0.5638927153391136	0.03784134186856819	0.027793533749290982	0.06506766064338385	-0.07932906571590632	-0.057612835264565274	0.1366988088485536	-0.0005672149744753262	0.21643302811765658	0.0474029657240094	-0.08775625962239689	-0.03751721902601086	0.1517705210274694	0.21481241390486994	0.22793938902844177	0.23685276719876833	-0.07981524997974232	0.029414147962077627	0.10477270885665667	-0.03589660481322421	0.13767117737622558	8.103071063933231e-05	0.004294627663884612	0.009318531723523215	-0.3120492666720687	-0.3524025605704562	-0.5433109148367231	-0.5347216595089539	-0.14415363422737218	-0.2652135159225346	-0.32290738189773927	-0.30281176565918483	-0.5118709991086622	-0.5659995138157362	-0.5314804310833806	-0.6026253950247143	-0.6727979904383762	-0.7808929584312454	-0.7663074305161657	-0.6677740863787376	-0.6760392188639495	-0.5480106960538044	-0.630824082327202	-0.683007859978932	-0.613483510250385	-0.5345595980876753	-0.44072603516732844	-0.608621667612025	-0.6168868000972368	-0.5373146422494125	-0.46681792399319344	-0.5818815331010453	-0.6199659671015315	-0.6766874645490641	-0.6016530264970423	-0.705210274694109	-0.26472733165869866	-0.3464062879831456
MetR	0.6744186046511628	0.5541690300623936	0.6159144315695648	0.6893282554087999	0.7546390081841018	1.0	0.9137833238797505	0.8180050239040596	0.8252977878615996	0.8486346325257272	0.8687302487642816	0.8317802447127461	0.8640304675472004	0.8739162142451989	0.8966048132242119	0.8870431893687708	0.8979013045944413	0.6859249655619479	0.6846284741917187	0.7836480025929827	0.8055262944656024	0.7595008508224617	0.6698808848553602	0.5739405234583908	0.5118709991086622	0.6136455716716636	0.5619479782837695	0.44882910623126165	0.4760554250060773	0.45012559760149096	0.526456527023742	0.09310428652459282	0.0679847662263998	0.1788347783810064	-0.029900332225913623	-0.019690462685357752	0.010452961672473868	0.1354023174783243	0.184344866704481	-0.2112470626367393	-0.28530913216108905	-0.22502228344542582	-0.0054290576128352645	-0.0812738027712503	0.02844177943440564	0.027469410906733653	-0.0862977068308889	0.1110931042865246	0.07997731140102099	0.1133619641844259	0.05728871242200794	-0.013532128676768495	0.054533668260270646	-0.08516327688193825	-0.14609837128271616	-0.13199902763147234	-0.3023255813953488	-0.38627339761769713	-0.24122842557329227	-0.31188720525079006	-0.03994814034519083	-0.055992221051778625	-0.6256381168462848	-0.8053642330443238	-0.7664694919374443	-0.741025848796694	-0.6262863625313994	-0.7732760716311482	-0.7189854955027956	-0.7240093995624342	-0.6680982092212949	-0.6266104853739567	-0.7147718985495503	-0.7350295762093834	-0.6287172838505793	-0.41349971639251276	-0.6340653107527753	-0.6355238635442833	-0.6136455716716636	-0.4758933635847986	-0.4434810793290657	-0.47945871485292924	-0.46989709099748805	-0.5013370067255489	-0.45433919455473626	-0.4852929260189612	-0.2987602301272182	-0.4238716473543473
SahR_SamR	0.6831699214002107	0.603759824973665	0.6217486427355968	0.6962968965237825	0.7805688355886881	0.9137833238797505	1.0	0.8262701563892715	0.847824325419334	0.8854225751559841	0.8836398995219188	0.9043837614455879	0.9079491127137185	0.8745644599303136	0.9254517462118143	0.9181589822542744	0.9252896847905356	0.7313021635199741	0.736164006158334	0.7718175188396402	0.8742403370877563	0.742484401588202	0.7309780406774168	0.6672879021149015	0.5755611376711773	0.6740944818086054	0.48286200469978124	0.44007778948221377	0.5058747265213516	0.5961429381735678	0.603759824973665	0.1883964022364476	0.05048213272830403	0.22858763471355645	-0.024390243902439025	0.043027307349485455	-0.02876590227696297	0.09910055911190341	0.1802933311725144	-0.22194311644113118	-0.32809334737865653	-0.27299246414391054	-0.030386516489749615	0.003970504821327283	-0.0038084434000486183	0.08500121546065958	-0.020500769791751073	-0.0036463819787699537	0.09585933068633012	0.19034113929179158	0.10266591038003403	0.0033222591362126247	0.00737379466817924	-0.12470626367393242	-0.14950166112956811	-0.17948302406612107	-0.2530589093266348	-0.4010209869540556	-0.1459363098614375	-0.2558139534883721	-0.07981524997974232	-0.07965318855846366	-0.7460497528563326	-0.7619317721416417	-0.8397212543554007	-0.7995300218782919	-0.6434648731869379	-0.7544769467628231	-0.7055343975366664	-0.7340572076817113	-0.7133133457580423	-0.732274532047646	-0.6763633417065068	-0.7442670772222673	-0.6227210112632687	-0.4976095940361397	-0.5157604732193501	-0.6018150879183211	-0.5507657402155417	-0.42111660319261	-0.42824730572887126	-0.5342354752451179	-0.5296977554493153	-0.5361802123004619	-0.48107932906571593	-0.5348837209302325	-0.3853010290900251	-0.47556924074224133
Phr	0.45061178186532697	0.4945304270318451	0.4193339275585447	0.8615995462280204	0.8393971315128433	0.8180050239040596	0.8262701563892715	1.0	0.89077060205818	0.8752127056154283	0.8982254274369986	0.920265780730897	0.8684061259217243	0.8246495421764849	0.8342111660319261	0.8615995462280204	0.9107041568754558	0.6586986467871323	0.7227129081922048	0.7804067741674094	0.7888339680739	0.707641196013289	0.6543229884126084	0.6102422818248115	0.5750749534073414	0.6548091726764443	0.6706911919617535	0.6248278097398914	0.6582124625232963	0.5000405153553197	0.6254760554250061	-0.08662182967344624	0.030062393647192286	0.09213191799692083	-0.0064014261405072525	0.002674013451097966	0.09877643626934608	-0.10169354185236204	-0.01401831294060449	-0.03557248197066688	-0.10720363017583664	-0.19196175350457823	-0.047889149987845395	-0.0057531804553925935	0.30767360829754475	0.20119925451746212	0.06279880074548254	0.013045944412932501	0.06182643221781055	0.13977797585284824	0.12648893930799773	0.07754639008184101	0.1366988088485536	0.10720363017583664	-0.31869378494449396	-0.23539421440726035	-0.4258163844096913	-0.3575885260513735	-0.09666963779272345	-0.20654728141965806	-0.2410663641520136	-0.1595494692488453	-0.5919293412203225	-0.6792804472895227	-0.5914431569564865	-0.6027874564459931	-0.6757150960213921	-0.7173648812900089	-0.8321043675553035	-0.6557815412041164	-0.650595575723199	-0.6917591767279799	-0.7711692731545255	-0.5997082894416984	-0.6510817599870351	-0.3619641844258974	-0.5316424925046592	-0.5831780244712746	-0.5776679361478	-0.4924236285552224	-0.5222429300704967	-0.602301272182157	-0.4943683656105664	-0.553520784377279	-0.57523701482862	-0.6697188234340815	-0.34527185803419497	-0.3661777813791427
NrtR	0.5617859168624909	0.5118709991086622	0.4572563001377522	0.8870431893687708	0.8865570051049347	0.8252977878615996	0.847824325419334	0.89077060205818	1.0	0.9111903411392918	0.9301515274288955	0.9165383680414877	0.8698646787132324	0.8513896766874646	0.8990357345433919	0.8933635847986386	0.9085973583988332	0.6980795721578478	0.7596629122437404	0.7977473462442266	0.840531561461794	0.6243416254760554	0.7676039218863949	0.7035896604813224	0.6415201361315939	0.6643707965318856	0.6651811036382789	0.6355238635442833	0.6753909731788348	0.47800016206142126	0.6420063203954298	-0.03719309618345353	0.05064419414958269	0.05631634389433595	-0.05712665100072928	0.10558301596304999	0.16019771493395998	0.05631634389433595	0.10250384895875536	-0.1000729276395754	-0.12973016773357102	-0.10363827890770602	0.052913054047484	0.15533587229560003	0.19925451746211814	0.289198606271777	-0.11952029819301516	0.0002430921319179969	0.019852524106636415	0.06960538043918645	0.18353455959808768	0.052588931204926664	0.055181913945385304	0.04983388704318937	-0.2590551819139454	-0.3376549712340977	-0.44331901790778705	-0.4193339275585447	-0.062474677902925206	-0.2242119763390325	-0.22307754639008184	-0.18094157685762904	-0.5625962239688842	-0.6591848310509684	-0.6233692569483834	-0.6309861437484807	-0.7520460254436432	-0.8162223482699943	-0.8588445020662832	-0.714933959970829	-0.6966210193663398	-0.7060205818005024	-0.7330848391540394	-0.6572400939956243	-0.7147718985495503	-0.37411879102179724	-0.5481727574750831	-0.5086297706830889	-0.5104124463171542	-0.5034438052021716	-0.5134916133214489	-0.7063447046430598	-0.524025605704562	-0.6050563163438943	-0.6176971072036301	-0.7525322097074791	-0.4275990600437566	-0.43732274532047644
NagC	0.659346892472247	0.4880479701806985	0.5165707803257434	0.8470140183129407	0.9262620533182075	0.8486346325257272	0.8854225751559841	0.8752127056154283	0.9111903411392918	1.0	0.9413337654971234	0.9123247710882424	0.918321043675553	0.9074629284498825	0.9259379304756503	0.9186451665181103	0.9296653431650596	0.7313021635199741	0.7580422980309537	0.7919131350781946	0.8628960375982497	0.662750182319099	0.768090106150231	0.716392512762337	0.6428166275018232	0.7457256300137752	0.6859249655619479	0.6144558787780569	0.6881938254598493	0.5450935904707884	0.5739405234583908	0.057450773843286604	0.09099748804797018	0.14642249412527347	-0.07884288145207033	0.015152742889555142	0.016935418523620453	0.027469410906733653	0.18515517381087432	-0.12033060529940848	-0.22388785349647516	-0.13183696621019367	0.07722226723928369	0.12016854387812981	0.14237095859330687	0.10380034032898469	-0.03087270075358561	0.05307511546876266	0.12000648245685115	0.06620209059233449	0.18758609513005428	0.05971963374118791	0.06555384490721984	0.010452961672473868	-0.31739729357426466	-0.3225832590551819	-0.42678875293736324	-0.46390081841017744	-0.17802447127461307	-0.22307754639008184	-0.22567052913054048	-0.17640385706182643	-0.6144558787780569	-0.6625881208978203	-0.6857629041406693	-0.7570699295032818	-0.7397293574264646	-0.8518758609513005	-0.7792723442184588	-0.7601490965075763	-0.7518839640223645	-0.6277449153229073	-0.7515598411798071	-0.7222267239283688	-0.6489749615104125	-0.48999270723604244	-0.5275909569726926	-0.5647030224455069	-0.5807471031520947	-0.6191556599951381	-0.4745968722145693	-0.5818815331010453	-0.5788023660967506	-0.574750830564784	-0.6249898711611701	-0.6727979904383762	-0.3420306296086217	-0.4784863463252573
