	HutC	PhrR	Rex	NarP	SiaR	TyrR	LiuQ	NadQ	CzrA	PhnF	KdgR	MetR	Phr	ThiR	BirA	IscR	ArgR	SahR_SamR	FUR	NagC	MntR	NsrR	NrtR	Zur	AraR	GulR	LexA	NikR	SoxR	PdhR	HexR	LldR	PsrA	XylR	SdaR	VanR	GntR	ZntR	GlcC	PaaR	AgaR	NagR	NifA	FabR	MerR	AmtR	PdxR	ExuR_UxuR	FnrN_FixK	CcpA	QorR	RbkR	ModE	NiaR	Irr	NrdR	CadR-PbrR	HisR	RutR	TrpR	CblR	NorR	CsoR	NtrC	RbsR	NagQ	NnrR	FadP	AcnR	FixJ	NmlR	BioQ	FruR	DasR	HcpR	PhnR	LiuR	PhsR	GguR	TtrR	CueR	PrpR	HrcA	PurR	HypR	MetJ	FadR	LtbR
HutC	1.0	0.3599682707562136	0.022686409307244845	0.12120571126388155	0.03733474352194606	0.20179799048122687	0.019830777366472766	0.09333685880486516	0.20602855631940772	0.34621893178212587	0.17990481226864094	0.19698572184029614	0.40491803278688526	0.33246959280803806	0.40867265996827074	0.2732945531464833	0.19079851930195663	0.35108408249603384	0.15631940772078265	0.35764145954521415	0.21597038603913274	0.34701216287678477	0.3835536753040719	0.359227921734532	0.327181385510312	0.16795346377578002	0.09804336329984135	0.08265468006345848	-0.060761501850872555	0.15917503966155475	0.13051295610787944	0.07498677948175568	0.13892120571126387	-0.09984135378106822	-0.18334214701216286	0.058699101004759384	0.05912215758857747	-0.00978318350079323	-0.0896351136964569	-0.30772078265468006	0.042041248016922265	0.13268112109994712	0.17747223691168693	-0.060814383923849816	-0.19116869381279747	-0.21718667371760972	-0.1108937070333157	-0.018931782125859335	-0.017556848228450557	-0.12950819672131147	-0.1612374405076679	0.0920676890534109	0.1347435219460603	0.3154944473823374	0.12829190904283447	0.1170809095716552	-0.060708619777895295	-0.09386567953463776	0.05780010576414595	0.025118984664198835	-0.1370174510840825	0.023796932839767318	-0.08455843469063987	-0.02755156002115283	0.060549973558963514	0.19767318878900053	0.07154944473823374	-0.27091485986250663	-0.19936541512427286	-0.08069804336329985	-0.07128503437334743	-0.07398202009518773	-0.12702273929138022	-0.3769962982548916	-0.23236382866208355	-0.10264410364886303	-0.18857747223691168	0.08016922263352723	-0.1550502379693284	-0.10586991010047594	-0.006504494976203068	-0.040613432046536224	-0.05795875198307774	-0.2032258064516129	0.02908514013749339	-0.22147012162876784	-0.039925965097831834	0.15690111052353253
PhrR	0.3599682707562136	1.0	0.35219460602855635	0.088841882601798	0.11523003701745109	0.17149656266525648	0.07673188789000529	0.14494976203067161	0.16404019037546272	0.1461660497091486	0.02147012162876785	0.060074034902168165	0.14473823373876257	0.15193019566367003	0.3479111581173982	0.10576414595452142	0.29280803807509254	0.21819143310417768	0.1663670015864622	0.19598096245372817	0.3739820200951877	0.2722897937599154	0.3293495505023797	0.42765732416710733	0.21094658910629296	0.2533051295610788	0.1765732416710735	-0.08847170809095717	-0.169169751454257	0.09344262295081968	0.23680592279217344	0.09640401903754627	0.005235325224748811	-0.1222104706504495	0.05140137493389741	0.15510312004230567	-0.054257006874669486	-0.046853516657852985	-0.12448439978847171	-0.17493389740877843	-0.16980433632998412	-0.019883659439450026	0.004759386567953464	-0.19873083024854574	-0.06351136964569011	-0.2002644103648863	0.04452670544685352	0.06948704389212057	-0.047593865679534636	0.14685351665785298	0.2997355896351137	0.16668429402432575	-0.046007403490216814	0.26441036488630354	0.160444209413009	0.143204653622422	0.09212057112638815	-0.0224748810153358	-0.03141195134849286	0.2696985721840296	-0.14822845055526176	0.01961924907456372	-0.2397144368059228	0.09127445795875198	0.011686938127974616	-0.09063987308302486	-0.10988894764674775	-0.2414595452141724	0.07292437863564252	-0.07202538339502909	-0.016975145425700687	-0.4129032258064516	-0.21618191433104178	-0.5038603913273401	-0.2500793231094659	0.047540983606557376	-0.08381808566895822	0.11200423056583818	0.14558434690639874	0.07361184558434691	0.04944473823373876	0.07329455314648334	-0.02321523003701745	-0.19550502379693285	0.09296668429402433	-0.02538339502908514	-0.1197778952934955	0.11316763617133792
Rex	0.022686409307244845	0.35219460602855635	1.0	0.2304071919619249	-0.16483342147012162	0.24769962982548915	0.1920676890534109	0.13358011634056055	0.255579058699101	0.1387625594923321	0.1402432575356954	0.05092543627710206	0.20898995240613433	0.212374405076679	0.2763617133791645	0.015124272871496564	0.34960338445267053	0.25478582760444207	0.32326811210999473	0.24336329984135377	0.30602855631940773	0.2341618191433104	0.2957165520888419	0.3518244315177155	0.0520888418826018	-0.0018508725542041248	0.00814383923849815	-0.001269169751454257	0.053199365415124274	-0.07609730301427815	0.1266525647805394	0.1074034902168165	0.13373876255949232	0.10973030142781597	0.2992067689053411	0.27086197778952936	0.07059756742464304	0.12205182443151771	0.04394500264410365	0.09264939185616076	-0.16641988365943944	-0.1530407191961925	0.11115811739820201	-0.18307773664727658	0.2487572712850344	-0.023691168693812797	-0.00824960338445267	0.0723955579058699	-0.15711263881544157	-0.08445267054468535	0.17678476996298254	0.19116869381279747	0.0013220518244315177	0.19227921734531994	0.13024854574299313	0.08069804336329985	0.07149656266525647	0.15468006345848756	0.060126916975145425	0.171602326811211	-0.11385510312004231	-0.04029613960867266	-0.3005817028027499	0.015864621893178214	0.0384981491274458	-0.11311475409836065	0.008884188260179799	-0.03950290851401375	0.03246959280803807	-0.24627181385510313	-0.09487043892120571	-0.17498677948175567	-0.13246959280803808	-0.07065044949762031	0.11110523532522475	-0.1083553675304072	-0.013008989952406135	0.05071390798519302	0.16753040719196194	0.15166578529878372	-0.013167636171337916	0.13072448439978848	-0.06261237440507668	-0.04352194606028556	-0.06731887890005288	-0.07694341618191433	-0.006345848757271285	-0.10206240084611316
NarP	0.12120571126388155	0.088841882601798	0.2304071919619249	1.0	0.4173453199365415	0.3156530936012692	0.14870438921205711	0.25954521417239557	0.17112638815441567	-0.028662083553675305	0.12363828662083554	-0.10433632998413538	-0.03358011634056055	0.0550502379693284	0.2616076150185087	0.17964040190375463	0.13384452670544686	0.06901110523532522	0.04648334214701216	0.06351136964569011	0.08688524590163935	0.04288736118455844	0.012321523003701745	0.0940772078265468	0.181544156530936	-0.09862506610259122	0.006821787414066632	-0.04579587519830777	0.035536753040719196	-0.06525647805393972	-0.11909042834479111	-0.03172924378635643	0.25674246430460074	0.011475409836065573	0.19836065573770492	0.1822316234796404	-0.0777895293495505	-0.016657852987837122	-0.10179799048122687	-0.03305129561078794	-0.11110523532522475	-0.1347435219460603	0.26885245901639343	-0.06652564780539397	0.06308831306187203	0.04928609201480698	0.008989952406134321	-0.12506610259122158	0.07567424643046007	-0.11337916446324696	-0.10634584875727128	-0.13051295610787944	-0.05790586991010047	0.01660497091485986	-0.034955050237969326	-0.10629296668429403	0.03141195134849286	-0.08122686409307245	-0.07303014278159704	-0.1995769434161819	-0.06583818085668958	0.02522474881015336	0.3402432575356954	0.3140137493389741	0.12168164992067688	0.08106821787414066	0.22242199894235853	-0.14569011105235324	0.10163934426229508	0.020782654680063458	0.023638286620835537	0.12009518773135906	-0.15579058699101006	0.006240084611316764	0.027340031729243788	-0.19693283976731887	-0.20957165520888418	-0.16398730830248545	-0.03685880486515072	0.3214172395557906	0.1837123215230037	0.16959280803807508	0.16615547329455316	-0.09365415124272872	0.09571655208884189	-0.18905341089370703	-0.20571126388154415	-0.047223691168693814
SiaR	0.03733474352194606	0.11523003701745109	-0.16483342147012162	0.4173453199365415	1.0	0.15129561078794287	0.27800105764145955	0.14473823373876257	0.19069275515600212	-0.004071919619249075	0.19830777366472765	0.12464304600740349	0.002326811210999471	0.12168164992067688	0.17488101533580117	0.29561078794288737	0.31179270227392913	0.12723426758328926	0.11602326811211	0.21766261237440507	0.2938127974616605	0.12575356953992597	0.1518244315177155	0.16779481755684822	0.31750396615547327	0.1930195663670016	0.3034902168164992	0.16224219989423586	0.18556319407720784	0.14230565838180856	0.19481755684822846	0.06858804865150714	0.311158117398202	0.11692226335272343	0.009518773135906928	0.009413008989952407	-0.08804865150713909	-0.02147012162876785	0.009941829719725013	-0.08688524590163935	-0.007562136435748282	0.021787414066631414	0.1701216287678477	-0.07234267583289265	0.011369645690111053	0.04997355896351137	0.16879957694341619	0.018350079323109465	0.19243786356425172	-0.048704389212057116	0.10327868852459017	0.17974616604970914	-0.16737176097303014	-0.027763088313061873	-0.10274986779481755	-0.0072448439978847175	-0.009836065573770493	-0.1771020624008461	0.10946589106292967	0.07197250132205182	-0.09402432575356955	0.012109994711792702	0.20396615547329455	0.2558434690639873	0.04891591750396616	-0.034161819143310415	0.08852459016393442	-0.1686409307244844	0.03823373876255949	-0.10936012691697515	-0.1402432575356954	-0.1733474352194606	-0.15452141723955579	0.1717609730301428	0.21337916446324695	0.03146483342147012	-0.16969857218402962	0.046589106292966684	-0.08609201480698044	-0.028873611845584346	0.035166578529878374	-0.13654151242728715	0.07842411422527763	-0.13923849814912745	0.0033315705975674246	-0.040031729243786354	-0.29576943416181917	-0.09793759915388683
TyrR	0.20179799048122687	0.17149656266525648	0.24769962982548915	0.3156530936012692	0.15129561078794287	1.0	0.3400846113167636	0.3078265468006346	0.34188260179799046	0.3206768905341089	0.3086197778952935	0.13865679534637756	0.20957165520888418	0.2551031200423057	0.518667371760973	0.34230565838180854	0.3282919090428345	0.361660497091486	0.07477525118984664	0.20380750925436278	0.3072448439978847	0.3251718667371761	0.15885774722369117	0.26557377049180325	0.14849286092014807	0.10327868852459017	-0.19656266525647806	0.1397144368059228	0.03659439450026441	-0.15050237969328398	0.021364357482813328	0.1958223162347964	0.19148598625066102	0.05822316234796404	-0.04558434690639873	-0.041353781068217875	0.08852459016393442	0.034108937070333155	-0.2007932310946589	-0.07540983606557378	0.11835007932310947	0.03262823902696986	0.040824960338445265	0.11501850872554203	0.053463775780010575	0.07884717080909572	0.0796932839767319	-0.048810153358011636	-0.034531993654151244	-0.10333157059756742	-0.05563194077207827	0.12691697514542571	0.2599153886832364	0.15542041248016922	0.05108408249603384	-0.04970914859862507	-0.09196192490745637	-0.20015864621893178	-0.12300370174510841	0.07921734531993654	0.086409307244844	0.19566367001586463	0.09048122686409307	0.18011634056054998	0.16842940243257537	0.35282919090428344	0.30216816499206767	-0.21623479640401905	-0.047805393971443684	-0.27086197778952936	-0.10936012691697515	-0.05732416710735061	-0.2773664727657324	-0.15161290322580645	-0.09487043892120571	0.0493918561607615	-0.027921734531993654	0.00893707033315706	-0.1347435219460603	0.15425700687466948	-0.12411422527763089	0.030936012691697514	0.26361713379164464	0.059280803807509254	-0.014806980433632998	-0.09629825489159174	0.016922263352723427	0.035166578529878374
LiuQ	0.019830777366472766	0.07673188789000529	0.1920676890534109	0.14870438921205711	0.27800105764145955	0.3400846113167636	1.0	0.2985193019566367	0.21438392384981492	0.26641988365943947	0.19915388683236382	0.29444738233738765	0.1911158117398202	0.09190904283447911	0.24759386567953465	0.30259122157588575	0.39386567953463775	0.2915388683236383	0.27091485986250663	0.26626123744050767	0.17530407191961925	0.2925965097831835	0.23495505023796934	0.31866737176097304	0.16700158646218932	-0.001797990481226864	0.22162876784769964	0.11602326811211	0.12358540454785828	0.015494447382337387	0.0647276573241671	0.15536753040719195	0.005552617662612375	-0.1017451084082496	-0.22480169222633528	-0.030988894764674774	-0.04891591750396616	0.013643574828133264	-0.07366472765732417	-0.024960338445267054	0.02749867794817557	-0.2798519301956637	0.007403490216816499	-0.024748810153358013	0.1347435219460603	0.06599682707562136	0.1979904812268641	0.18767847699629825	-0.10126916975145425	0.06319407720782655	0.08117398202009518	0.10491803278688525	0.0935483870967742	0.045954521417239554	0.03151771549444738	-0.14674775251189848	-0.04182971972501322	-0.1780539397144368	-0.01115811739820201	0.1777895293495505	0.03707033315705976	0.030089899524061343	-0.11115811739820201	0.10787942887361185	0.0718667371760973	-0.0858804865150714	0.0057112638815441565	-0.08609201480698044	-0.20132205182443152	-0.17726070861977788	-0.21983077736647277	-0.22564780539397145	-0.31517715494447385	0.17049180327868851	-0.15351665785298785	-0.034161819143310415	-0.045954521417239554	-0.040031729243786354	-0.03262823902696986	0.08228450555261767	-0.2598625066102591	-0.2197778952934955	-0.004759386567953464	0.08847170809095717	-0.17879428873611847	-0.08926493918561608	-0.1481755684822845	-0.013061872025383395
NadQ	0.09333685880486516	0.14494976203067161	0.13358011634056055	0.25954521417239557	0.14473823373876257	0.3078265468006346	0.2985193019566367	1.0	0.2792173453199365	0.21189846641988366	0.188841882601798	0.3485986250661026	0.12659968270756214	-0.06372289793759915	0.3298783712321523	0.45637228979375993	0.20132205182443152	0.28799576943416183	0.11142252776308831	0.2634056054997356	0.12109994711792703	0.25092543627710207	0.295134849286092	0.2943416181914331	0.028609201480698045	-0.1039132734003173	0.015864621893178214	0.13209941829719726	0.09349550502379693	0.22268640930724484	0.16959280803807508	0.22215758857747223	0.013802221047065045	-0.08514013749338974	-0.2427815970386039	-0.07731359069275516	-0.2304071919619249	-0.17477525118984663	0.010523532522474881	-0.018350079323109465	0.002749867794817557	-0.035166578529878374	0.15494447382337387	-0.11189846641988366	0.010946589106292967	0.281544156530936	0.004918032786885246	0.10703331570597567	0.08138551031200424	-0.030089899524061343	0.1390269698572184	-0.014489687995769435	-0.03707033315705976	0.06626123744050767	-0.08625066102591221	0.08059227921734533	-0.019037546271813855	-0.10676890534108938	0.12210470650449498	0.20132205182443152	0.15425700687466948	0.04019037546271814	0.1446853516657853	0.24362771020624008	0.1558434690639873	0.08260179799048123	0.20259122157588577	-0.3005288207297726	-0.0873611845584347	-0.05108408249603384	0.10787942887361185	-0.27588577472236914	-0.15732416710735062	-0.1771020624008461	-0.10327868852459017	-0.1207297726070862	0.0659439450026441	-0.08408249603384453	0.010364886303543099	0.0029613960867265997	-0.19164463246959282	-0.1254362771020624	0.05187731359069275	-0.11195134849286092	-0.023268112109994712	0.002538339502908514	-0.08069804336329985	0.0024854574299312533
CzrA	0.20602855631940772	0.16404019037546272	0.255579058699101	0.17112638815441567	0.19069275515600212	0.34188260179799046	0.21438392384981492	0.2792173453199365	1.0	0.41782125859333685	0.23130618720253834	0.22094130089899525	0.34034902168164993	0.3295081967213115	0.43775780010576415	0.5092543627710207	0.4500793231094659	0.40401903754627183	0.408514013749339	0.4237969328397673	0.4565309360126917	0.5113167636171337	0.3874669487043892	0.511369645690111	0.12956107879428874	0.16530936012691697	0.06160761501850873	0.2071390798519302	0.1347435219460603	0.13331570597567424	0.39185616076150187	0.16277102062400847	0.3582760444209413	0.38514013749338977	0.08122686409307245	0.0846641988365944	0.03818085668958223	-0.07821258593336859	0.06176626123744051	-0.06499206768905341	0.16160761501850873	0.06467477525118985	0.2281332628239027	0.13046007403490217	-0.008831306187202539	-0.1535695399259651	0.07128503437334743	0.11554732945531465	-0.021311475409836064	-0.0195134849286092	-0.011739820200951878	0.11332628239026969	0.28794288736118456	0.19196192490745637	0.05906927551560021	0.09127445795875198	-0.021840296139608674	0.10243257535695399	0.17911158117398202	0.16530936012691697	0.14246430460074036	0.3607615018508726	0.018878900052882074	-0.11988365943945002	-0.030354309888947648	0.11353781068217875	-0.03231094658910629	-0.2646218931782126	-0.0597567424643046	-0.25483870967741934	-0.40222104706504497	-0.30502379693283976	-0.27318878900052884	-0.2674246430460074	0.07715494447382337	0.004283447911158118	-0.11671073506081438	0.10967741935483871	-0.03796932839767319	0.047593865679534636	-0.3054997355896351	-0.1550502379693284	0.09307244843997885	0.034584875727128504	0.1355367530407192	-0.048228450555261766	-0.141988365943945	-0.08709677419354839
PhnF	0.34621893178212587	0.1461660497091486	0.1387625594923321	-0.028662083553675305	-0.004071919619249075	0.3206768905341089	0.26641988365943947	0.21189846641988366	0.41782125859333685	1.0	0.3281332628239027	0.30676890534108936	0.24473823373876255	0.28455843469063985	0.5337916446324696	0.4169222633527234	0.32765732416710736	0.510946589106293	0.44294024325753567	0.49492332099418296	0.32421998942358543	0.5101533580116341	0.4309888947646748	0.32078265468006345	0.25346377578001056	0.11581173982020095	0.19545214172395559	0.02448439978847171	0.16493918561607615	0.1074034902168165	0.23992596509783184	0.13400317292437863	0.22157588577472237	0.13262823902696985	-0.16842940243257537	-0.00671602326811211	0.12781597038603915	0.07958751983077737	0.06129032258064516	-0.08418826017979905	0.2281332628239027	0.24034902168164993	0.3067160232681121	0.12173453199365415	0.18090957165520888	0.060074034902168165	0.27852987837123216	0.08545742993125331	0.06795346377578002	-0.008461131676361713	0.02834479111581174	0.2646747752511898	0.2932839767318879	0.3273400317292438	0.08381808566895822	-0.04362771020624009	0.1484399788471708	0.008461131676361713	0.02607086197778953	0.2056583818085669	0.08582760444209413	0.2713379164463247	-0.01718667371760973	-0.048651507139079855	0.015388683236382867	0.13358011634056055	0.029613960867265997	-0.26631411951348494	-0.2421470121628768	-0.46980433632998414	-0.327392913802221	-0.11840296139608672	-0.2192490745637229	-0.19978847170809097	-0.13786356425171867	0.10047593865679534	-0.22231623479640403	-0.08662083553675304	-0.2549444738233739	-0.19598096245372817	-0.20861977789529348	-0.32131147540983607	0.010206240084611316	-0.015388683236382867	-0.13225806451612904	-0.14743521946060287	0.013008989952406135	0.06821787414066631
