	NrdR	KdgR	NagC	SahR_SamR	NrtR	FUR	NsrR	LldR	ArgR	ThiR	ModE	Zur	BirA	MntR	IscR	CzrA	Phr	AgaR	PsrA	ExuR_UxuR	NifA	PhnF	HutC	MetR	CcpA	NagR	ZntR	HypR	NtrC	GlcC	PhnR	TyrR	LiuQ	MerR	AraR	LiuR	PhrR	CadR-PbrR	FabR	GntR	RbsR	SdaR	CueR	HexR	RutR	HrcA	PaaR	NadQ	PhsR	AmtR	HisR	RbkR	SoxR	XylR	LexA	Rex	NagQ	PdxR	NiaR	TrpR	HcpR	NarP	VanR	FnrN_FixK	QorR	NikR	PdhR	FruR	DasR	SiaR	PrpR	Irr	TtrR	NmlR	NorR	MetJ	FadR	BioQ	GulR	AcnR	FadP	FixJ	LtbR	CblR	NnrR	PurR	CsoR	GguR
NrdR	1.0	0.7118718777549221	0.6831787078628101	0.6299483648881239	0.7246337265438059	0.7061626296125267	0.6432979303975483	0.44813399941228327	0.6636581167877084	0.5556651693883549	0.5009235548465639	0.6137861550732547	0.5550984425506905	0.566873766844381	0.4058393854162294	0.4244993912933966	0.5687208765375089	0.3701355946433819	0.4559002560765711	0.2850006296964863	0.4693757608832543	0.44313840728768733	0.4094286553881029	0.6457747365769699	0.41431929809831664	0.32223668191931487	0.2842030141471811	0.014210150707359053	-0.061164518701985644	0.16514839847193652	0.1896016120230049	0.1814365475840645	0.17218000923554846	0.1962134251290878	0.0769489106250787	0.14598463540573445	0.13626631963393646	0.1300113345367533	0.24218126862852105	0.3231182570001259	0.18420721212375635	0.17560136014441038	0.12734561941144368	0.21936526594181605	0.2767516057260401	0.227740229209521	0.10767809915620671	0.2579866504344906	0.17872885269300198	0.35898996683598505	0.4465177784307964	0.4230720792577977	0.4322866378405609	0.4084421308929096	0.3020863943579195	0.34074975861634693	0.18632719029427816	0.22627093740816925	0.23680785861214895	0.21565005667268378	0.4107510180093195	0.06974938079845515	0.08475714705511943	0.10627177700348432	0.011817304059443349	0.1880693505730238	0.3291423533856681	0.023025901515469543	0.08878720456739851	0.17012300071365602	0.29513874312581334	0.16831787078628102	0.027517736451030603	0.019436631543595987	0.13462910876957307	-0.28584022501154444	0.20295117753242936	0.12688384198816172	0.18135258805255866	0.006989630997859032	0.31900423995634103	-0.23065782292934806	-0.02904999790101171	0.07466101339154528	-0.07415725620251039	-0.24339868183535535	-0.15089626799882458	-0.3114898618865707
KdgR	0.7118718777549221	1.0	0.7707065194576215	0.614541790856807	0.7594139624700894	0.6173964149280047	0.6804290332059947	0.4112967549641073	0.6673943159397171	0.5032534318458503	0.5379287183577516	0.5825112295873389	0.5179883296251206	0.5903614457831325	0.4323496074891902	0.5666638680156165	0.5468704084631207	0.4797657529070988	0.43946517778430794	0.22616598799378698	0.29830821544015784	0.3761387011460476	0.3543512027202888	0.5806851097770874	0.5352000335838126	0.291003736199152	0.26021157801939465	0.035367952646824234	-0.001028504260946224	0.12054489735947273	0.08614247932496537	0.17295663490197724	0.05262163637126905	0.06807019016833886	0.1862222408798959	0.22503253431845852	0.09779186432139708	0.1108895512363041	0.09934511565425465	0.25802863020024347	0.05134125351580538	0.10612484782334915	0.027580706099659964	0.23739557533268965	0.1701859703622854	0.1289618403929306	0.10012174132068342	0.2444691658620545	0.2468620125099702	0.3776289828302758	0.44872171613282397	0.49752319382057847	0.3175979178036187	0.3520633054867554	0.26659250241383653	0.4242475126988791	0.3030729188531128	0.22568322068762856	0.05190798035346963	0.2727425380966374	0.42907518576046344	0.13215230259015154	0.16256664287813274	0.11357625624449015	0.1386801561647286	0.13527979513874314	0.35590445405314636	-0.23328155828890476	-0.06555140422316444	0.057869107090382434	0.27284748751101967	0.15981696822131733	0.03457033709751899	0.06895176524914991	0.1185298686033332	-0.18103773980941187	0.15030855127828388	-0.000881575080811049	0.24383946937576087	-0.10648167583224885	0.30242223248394273	-0.16025775576172285	0.12564543889845095	0.09615465345703371	-0.05423785735275597	-0.15226061038579405	-0.12568741866420385	-0.19342177070651945
NagC	0.6831787078628101	0.7707065194576215	1.0	0.7234792829856009	0.7874144662272784	0.7211074262205617	0.6247848537005164	0.45753746694093445	0.6765668947567273	0.5489274169850132	0.5561059569287603	0.6610133915452752	0.5946223920070526	0.7179589437890936	0.4204693337811175	0.5939717056378825	0.6259812770244743	0.4849922337433357	0.4254859157885899	0.27223878090760256	0.31805969522690064	0.38031568783846187	0.4012216111834096	0.6171025565677344	0.4313630829939969	0.2879602031820662	0.32893245455690356	0.019667520255236975	-0.02615339406406112	0.2015868351454599	0.11907560555812098	0.2688174299987406	0.10937827966919944	0.12379832920532303	0.07892195961546535	0.1537718819528987	0.1866630284203014	0.06911968431216153	0.2293774400738844	0.19948784685781454	0.13395743251752656	0.15129507577347717	0.10211578019394651	0.31497418244406195	0.25376768397632343	0.2286427941732085	0.2614919608748583	0.3118466898954704	0.29463498593677845	0.33430586457327566	0.3930145669787163	0.47537886738592	0.36971579698585283	0.4632257252004534	0.3448217958943789	0.4723563242517107	0.2772343730321985	0.31915116913647623	0.1266529532765207	0.32609882036858234	0.312245497670123	0.07678099156206708	0.07892195961546535	0.21936526594181605	0.23179127660467655	0.25292808866126526	0.4095336048024852	-0.16076151295075775	0.008291003736199152	0.07348557995046387	0.16390999538222575	0.028420301414718106	0.053377272154821374	0.03675328491667017	0.10068846815834767	-0.1433818899290542	0.21078040384534655	0.05411191805549725	0.19287603375173168	-0.02140968053398262	0.1579698585281894	-0.27511439486167666	0.14417950547835942	0.14837748205365014	-0.008899710339616305	-0.10478149531925612	-0.16271357205826792	-0.27209185172746736
SahR_SamR	0.6299483648881239	0.614541790856807	0.7234792829856009	1.0	0.8204525418748163	0.726816674362957	0.6575500608706604	0.5023718567650393	0.5776415767600017	0.5604298728013097	0.515175685319676	0.7036228537844759	0.5198774190840015	0.5443306326350699	0.3829184333151421	0.44544729440409725	0.5906553041434028	0.38619285504386885	0.5047437135300785	0.35059401368540366	0.5580999958020234	0.36828848495025396	0.560345913269804	0.6923512866798204	0.35999748121405484	0.32609882036858234	0.42025943495235296	0.07732672851685488	0.02325679022711053	0.30498299819487007	0.2137399773309265	0.2761428991226229	0.1561647286008144	0.20305612694681163	-0.04920028546240712	0.0281054531715713	0.1427941732085135	0.08786364972083456	0.09021451660299735	0.17986230636833048	0.15316317534948154	0.22857982452457914	0.18439612106964443	0.3133999412283279	0.3119306494269762	0.28136937995885986	0.21921833676168087	0.24707191133873474	0.1215524117375425	0.2733302548171781	0.24732378993325219	0.34759246043407077	0.40518869904705934	0.3601024306284371	0.4237437555098443	0.37221359304815077	0.2630242223248394	0.36299903446538767	0.16292347088703246	0.20805171907140757	0.20983585911590613	0.08406448092019647	0.18613828134839008	0.15958607950967635	0.18015616472860083	0.25059821166197893	0.34375131186767977	-0.01525964485118173	0.11359724612736662	0.07348557995046387	0.24052306788128122	0.0839175517400613	0.16510641870618362	0.20595273078376222	0.13269803954493933	-0.10711137231854247	0.18529868603333194	0.12344150119642332	0.22028882078838	0.01838713739977331	0.17165526216363713	-0.19824944376810377	-0.10232567902271106	-0.1901053692120398	-0.22280760673355443	-0.28548339700264475	-0.12633810503337392	-0.2109903026741111
NrtR	0.7246337265438059	0.7594139624700894	0.7874144662272784	0.8204525418748163	1.0	0.7602535577851476	0.7865119012635909	0.5263003232441963	0.7689853490617522	0.6852147265018261	0.6846270097812854	0.7373955753326896	0.6288568909785484	0.6942193862558247	0.5261324041811847	0.6267998824566559	0.7045254187481634	0.51379035304983	0.5617942151882792	0.3028630200243483	0.4113807144956131	0.47527391797153773	0.5499979010117123	0.669472314344486	0.4731329499181395	0.4248142395365434	0.4084841106586625	0.19434532555308343	0.13368456404013265	0.2919063011628395	0.28380420637252846	0.36988371604886444	0.2469039922757231	0.21407581545694976	0.1765459048738508	0.12921371898744805	0.2196171445363335	0.2953486419545779	0.1718441711095252	0.21800092355484657	0.19323286176063137	0.28758238529029007	0.2314134587129004	0.3095378027790605	0.36056420805171907	0.3192561185508585	0.2365559800176315	0.32918433315142104	0.15465345703370975	0.3124344066160111	0.36083707652911295	0.44706351538558414	0.5187019856429201	0.4133327736031233	0.4897989169220436	0.5204651358045422	0.36553881029343854	0.4801645606817514	0.30769069308593255	0.30494101842911714	0.31270727509340496	0.15335208429536965	0.26310818185634527	0.12635909491625036	0.26004365895638304	0.24532975105998908	0.3690021409680534	-0.07455606397716301	0.06529952562864699	0.08461021787498425	0.2731203559884136	0.18880399647369966	0.1290038201586835	0.15981696822131733	0.12041895806221402	-0.1853616556819613	0.19973972545233198	0.10931531002057009	0.22849586499307334	0.0007556357835523278	0.2206036690315268	-0.2271105327232274	0.03580874018722976	0.043029259896729774	-0.12279081482725326	-0.11800512153142186	-0.08232232064145083	-0.1757902690902985
FUR	0.7061626296125267	0.6173964149280047	0.7211074262205617	0.726816674362957	0.7602535577851476	1.0	0.7647453927207086	0.5828890474791151	0.6579278787624365	0.6146677301540657	0.5162041895806221	0.7709793879350153	0.635090886192855	0.6479996641618739	0.48629360648167586	0.5629276688636078	0.5101171235464506	0.47842240040300577	0.5056252886108895	0.38417782628772934	0.41465513622433986	0.499076445153436	0.5538180596952269	0.7024894001091474	0.3759497922001595	0.3153100205700852	0.3879979849712439	0.034066579908484114	-0.04281936106796524	0.23048990386633642	0.28525250829100374	0.2946769657025314	0.1291927291045716	0.22637588682255153	0.04752109483229083	0.11338734729860207	0.14508207044204693	0.12862600226690735	0.18991646026615172	0.26004365895638304	0.27471558708702404	0.3193400780823643	0.20889131438646572	0.33913353763486	0.28514755887662147	0.41303891524285297	0.33522941941983964	0.2508081104907435	0.2552159858947987	0.2652491499097435	0.3292473028000504	0.4732169094496453	0.37456445993031356	0.38638176398975693	0.4062801729566349	0.44024180345073677	0.2603165274337769	0.3972965030855128	0.2939003400361026	0.21909239746442216	0.2999454263045212	0.1600898366987112	0.2871206078670081	0.2891356366231476	0.20912220309810672	0.3614667730154066	0.4400528945048487	0.1395827211284161	0.07657109273330255	0.2004533814701314	0.24226522816002688	0.06861592712312665	0.09934511565425465	0.14892321900843794	0.0706729356450191	-0.09300617102556567	0.25762982242559085	0.21932328617606314	0.2607783048570589	0.19256118550858486	0.18433315142101508	-0.20213257210024768	-0.09065530414340288	0.030645228999622184	-0.1439696066495949	-0.21875655933839888	-0.04974602241719491	-0.3284077074849922
NsrR	0.6432979303975483	0.6804290332059947	0.6247848537005164	0.6575500608706604	0.7865119012635909	0.7647453927207086	1.0	0.5760043658956383	0.6438016875865833	0.6419755677763318	0.589458880819445	0.6791276604676546	0.5851979345955249	0.5661601108265816	0.5011544435582049	0.5542168674698795	0.5724990554552706	0.4719575164770581	0.4918769153268125	0.297993367197011	0.2789135636623148	0.62606523655598	0.5495781033541833	0.673964149280047	0.46608034927165104	0.3722555728139037	0.43323118257000126	0.06704168590739264	0.05448973594727342	0.21779102472608203	0.20334998530708198	0.21071743419671718	0.20234247092901222	0.19549976911128836	0.19539481969690609	0.21502036018639015	0.18296880903404558	0.19142773183325637	0.17163427228076067	0.30806851097770876	0.3278199907644515	0.3665673145543848	0.29635615633264767	0.3759288023172831	0.32156500566726837	0.3298979891692204	0.26103018345157636	0.2523823517064775	0.14904915830569665	0.33487259141093995	0.4270601570043239	0.4829352252214433	0.41927291045715964	0.33017085764661436	0.35569455522438187	0.43148902229125563	0.2779480290499979	0.4247302800050376	0.3183325637042945	0.33143025061920156	0.3474875110196885	0.31724108979471893	0.3818689391713194	0.1429830821544016	0.23554846563956172	0.2633600604508627	0.37290625918307374	0.02418034507367449	-0.045044288652869316	0.16252466311237984	0.15958607950967635	0.16928340539859787	0.2479954661852987	0.07963561563326477	0.07382141807648714	-0.12396624826833466	0.16961924352462113	0.2238571008773771	0.2529070987783888	0.025061920154485537	0.21714033835691196	-0.1338105033373914	0.03843247554678645	0.03142185466605096	-0.14344485957768355	-0.22110742622056168	-0.02919692708114689	-0.2161748037445951
LldR	0.44813399941228327	0.4112967549641073	0.45753746694093445	0.5023718567650393	0.5263003232441963	0.5828890474791151	0.5760043658956383	1.0	0.5795726459846354	0.4933042273624113	0.5020150287561396	0.5712606523655598	0.4874270601570043	0.49424877209185175	0.43205574912891986	0.45399017673481384	0.4508416943033458	0.3514336090004618	0.35013223626212164	0.3773771042357584	0.3017715461147727	0.37141597749884553	0.33019184752949077	0.5295327652071702	0.25737794383107343	0.14571176692834054	0.31178372024684103	0.11122538936232736	0.18827924940178833	0.2972377314134587	0.28080265312119557	0.3454095126149196	0.2687334704672348	0.3472356324251711	0.12394525838545821	0.1684647999664162	0.20912220309810672	0.07006422904160195	0.16974518282187986	0.27276352797951386	0.2229965156794425	0.20146089584820118	0.4223164434742454	0.4167961042777381	0.4188950925653835	0.3145963645522858	0.2934175727299442	0.3775870030645229	0.216447672221989	0.2627513538474455	0.2934805423785735	0.31579278787624365	0.46309978590319467	0.27286847739389614	0.4168800638092439	0.4430124679904286	0.24881407161748037	0.3515175685319676	0.41664917509760296	0.27872465471642666	0.15943915032954117	0.0413920490323664	0.2122496956466983	0.1356156332647664	0.05910751018009319	0.23156038789303557	0.34381428151630916	0.17471978506359934	-0.029280886612652702	0.0331220351790437	0.22822299651567945	0.265689937450149	0.10564208051719072	0.13471306830107888	0.15568196129465597	0.06920364384366735	-0.041077200789219594	0.22719449225473323	0.21982704336509803	0.04004869652827337	0.01851307669703203	-0.15459048738508038	-0.0130137273834012	0.0836446832626674	-0.08349775408253222	-0.18695688678057176	0.10075143780697704	-0.09997481214054825
ArgR	0.6636581167877084	0.6673943159397171	0.6765668947567273	0.5776415767600017	0.7689853490617522	0.6579278787624365	0.6438016875865833	0.5795726459846354	1.0	0.6536669325385165	0.6355106838503841	0.6782880651525964	0.5059191469711599	0.6462155241173754	0.5798455144620293	0.6353007850216196	0.593069140674195	0.5414340287981193	0.34922967129843413	0.2706225599261156	0.20530204441459216	0.4081692624155157	0.43644263465009864	0.5552663616137022	0.3275681121699341	0.36150875278115946	0.3777129423617816	0.21010872759330004	0.16865370891230427	0.2395365433860879	0.2953906217203308	0.35980857226816676	0.19266613492296714	0.3350824902397045	0.20536501406322152	0.1239032786197053	0.19275009445447294	0.31543595986734396	0.30729188531128	0.20391671214474624	0.10329121363502791	0.34618613828134837	0.11345031694723143	0.3344947735191638	0.28273372234582933	0.26369589857688597	0.31111204399479453	0.3481381973888586	0.36333487259141095	0.379350153226145	0.5340455900256077	0.4763024222324839	0.552432727425381	0.4868393434364636	0.5325762982242559	0.5324923386927501	0.36627345619411444	0.4471684647999664	0.39013895302464213	0.3567860291339574	0.23638806095461987	0.003631249737626464	0.2048822467570631	0.090151546954368	0.22895764241635533	0.13584652197640737	0.36293606481675833	0.040783342428949244	0.03335292389068469	-0.03675328491667017	0.21273246295285672	0.27903950295957347	0.13649720834557744	0.02241719491205239	0.22614499811091054	-0.24774358759078124	0.1508332983501952	0.1754544309642752	0.19866924142563286	-0.1474119474413333	0.06320053734100163	-0.22841190546156753	0.14898618865706728	0.19650728348935814	0.04281936106796524	0.06821711934847403	0.052138869065110616	-0.184375131186768
ThiR	0.5556651693883549	0.5032534318458503	0.5489274169850132	0.5604298728013097	0.6852147265018261	0.6146677301540657	0.6419755677763318	0.4933042273624113	0.6536669325385165	1.0	0.5909071827379203	0.6459426556399815	0.38927836782670755	0.5740942865538811	0.4599093237059737	0.407581545694975	0.5330590655304144	0.3792661936946392	0.3874732378993325	0.19415641660719532	0.21884051886990472	0.38814491415137903	0.30038621384492675	0.49248562193022966	0.31253935603039334	0.2416145417908568	0.4577053860039461	0.16342722807606733	0.23731161580118382	0.2859661643088032	0.4627639477771714	0.352693001973049	0.24146761261072164	0.31780781663238317	0.18026111414298307	0.18154149699844674	0.23829814029637714	0.2929977750724151	0.3267495067377524	0.21317325049326225	0.28945048486629443	0.23701775744091347	0.19799756517358633	0.42166575710507537	0.382309726711725	0.3365098022753033	0.39614205952730785	0.2942991478107552	0.371436967381722	0.39215398178078165	0.43314722303849545	0.5777885059401369	0.48900130137273834	0.3144284454892742	0.6509382477645774	0.4213089290961756	0.46572352126275135	0.46309978590319467	0.36092103606061876	0.3013097686914907	0.2608202846228118	0.2447840141052013	0.2620167079467697	0.14128290164140883	0.3981990680492003	0.23947357373745853	0.3397632341211536	-0.003043533017085765	0.03910415179883296	0.004680743881449141	0.12054489735947273	0.18542462533059065	0.09187271735023718	0.16756223500272868	0.12207715880945384	-0.1487552999454263	0.09124302086394358	0.0845892279921078	-0.01353847445531254	-0.15895638302338272	0.07331766088745224	-0.1656521556609714	0.048822467570630954	0.14495613114478823	0.021745518660005878	0.011565425464925906	-0.02554468746064397	-0.09233449477351917
