	AcnR	GlcC	CueR	ExuR_UxuR	CblR	GntR	TrpR	NagQ	FadP	NiaR	NtrC	DasR	TtrR	LiuQ	CcpA	BioQ	FruR	MerR	PdxR	NrdR	FnrN_FixK	PurR	NnrR	RbsR	PhsR	SdaR	NorR	CadR-PbrR	SoxR	HrcA	QorR	HypR	VanR	NifA	HcpR	PhnR	LiuR	PhrR	ModE	PhnF	AgaR	MetR	NadQ	MntR	NrtR	FUR	SahR_SamR	ArgR	CzrA	NsrR	NagR	AraR	KdgR	Zur	RbkR	NagC	Phr	Rex	ThiR	BirA	HutC	XylR	TyrR	ZntR	HexR	RutR	PdhR	SiaR	NarP	CsoR	PrpR	LtbR	Irr	AmtR	GulR	FixJ	FadR	NikR	MetJ	LexA	FabR	HisR	GguR	PaaR	PsrA	IscR	LldR	NmlR
AcnR	1.0	0.43699862247791915	0.26553763876509195	0.12146503524835912	0.21789158090916458	0.2762336925694838	0.1490154768657321	-0.18774815655133295	0.07722226723928369	0.060692002268859895	0.013694190098047159	0.1128757799205899	0.2781784296248278	-0.003970504821327283	-0.02179726116198039	-0.2966534316505956	0.11903411392917916	0.08483915403938093	0.3619641844258974	-0.09926262053318208	-0.00105339923831132	0.13216108905275098	0.20379223725792076	0.09666963779272345	-0.3089700996677741	0.08111174134997164	-0.24819706668827485	-0.16797666315533588	-0.3212867676849526	0.02601085811522567	-0.05939551089863058	-0.15241876671258406	-0.13605056316343894	0.15322907381897738	-0.0005672149744753262	0.21157118547929665	-0.19844421035572482	0.1655457418361559	0.008346163195851228	-0.15193258244874808	-0.07932906571590632	-0.13426788752937363	-0.40928611943926746	-0.15112227534235476	-0.09326634794587149	0.0064014261405072525	-0.20233368446641278	-0.10720363017583664	-0.1106069200226886	-0.08889068957134755	0.23409772303703102	-0.030224455068470952	-0.019528401264079086	-0.02390405963860303	-0.13524025605704562	-0.17316262863625315	-0.2528968479053561	-0.21432622964103396	-0.16019771493395998	-0.20427842152175674	0.03832752613240418	-0.27347864840774655	0.3135078194635767	0.1935823677173649	0.1101207357588526	0.19001701644923427	0.030710639332306944	-0.2287496961348351	0.0052669961915566	0.05080625557086136	0.11692731545255652	0.05226480836236934	-0.21675715096021392	-0.03508629770683089	-0.1028279718013127	-0.047889149987845395	-0.24868325095211086	-0.14075034438052023	-0.2063852199983794	-0.19001701644923427	0.047078842881452074	-0.08694595251600357	-0.09375253220970747	-0.04578235151122275	-0.0021878291872619725	-0.1619803905680253	0.20784377278988736	-0.15987359209140264
GlcC	0.43699862247791915	1.0	0.23960781136050563	0.1678146017340572	0.026497042379061666	0.04950976420063204	0.11044485860140993	-0.025848796693947004	0.36779839559192934	0.03476217486427356	0.07511546876266105	-0.07025362612430111	-0.07754639008184101	-0.06441941495826918	-0.26618588445020663	-0.393566161575237	-0.039137833238797506	0.05145450125597602	0.15776679361478	-0.12130297382708047	-0.24884531237338953	-0.15306701239769874	0.07868082003079167	-0.21140912405801798	-0.5207843772789887	-0.21935013370067255	-0.1901790778705129	-0.11660319260999918	-0.3626124301110121	0.05858520379223726	-0.05323717689004132	-0.19957864030467548	-0.17494530427031846	0.12146503524835912	-0.09067336520541285	-0.029576209383356294	-0.3647192285876347	-0.23831131999027633	-0.13507819463576695	-0.09115954946924884	0.09926262053318208	0.1211409124058018	-0.2924398346973503	-0.24592820679037355	-0.11563082408232721	-0.052102746941090676	-0.11465845555465522	-0.07446722307754639	-0.07803257434567701	-0.12000648245685115	-0.01758366420873511	-0.17137995300218783	0.12810955352078437	0.11546876266104854	-0.22437403776031115	-0.4690867838910947	-0.5207843772789887	-0.06279880074548254	-0.29649137022931693	-0.20055100883234747	-0.08937687383518353	-0.14269508143586418	0.1610080220403533	0.057612835264565274	-0.04756502714528806	0.06685033627744916	0.18823434081516896	-0.08662182967344624	-0.2199983793857872	-0.16570780325743456	-0.19909245604083947	-0.2091402641601167	-0.1765659184831051	0.20703346568349404	0.016449234259784458	0.18855846365772627	0.16522161899359858	-0.18596548091726764	-0.0890527509926262	-0.06960538043918645	-0.060692002268859895	-0.09829025200551009	0.15160845960619074	0.0712259946519731	-0.11627906976744186	-0.1294060448910137	0.22842557329227778	-0.3592091402641601
CueR	0.26553763876509195	0.23960781136050563	1.0	0.5679442508710801	0.28109553520784375	0.10866218296734462	0.2919536504335143	0.060043756583745236	0.13199902763147234	0.21805364233044325	0.1697593387894012	0.27655781541204116	0.369905194068552	0.06182643221781055	0.0028360748723766306	0.044485860140993434	0.10509683169921401	0.09877643626934608	0.10931042865245928	-0.12049266672068715	0.14480187991248683	0.06814682764767847	0.13135078194635766	-0.044647921562272104	-0.14026416011668422	-0.0057531804553925935	0.17348675147881046	0.23490803014342435	0.0922939794181995	0.07090187180941576	-0.14415363422737218	-0.16392512762336925	0.1138481484482619	-0.08710801393728224	-0.11125516570780326	-0.25694838343732274	0.00316019771493396	0.15468762661048538	-0.1806174540150717	-0.3822218620857305	-0.3789806336601572	-0.3681225184344867	-0.5533587229560003	-0.3914593630986144	-0.35856089457904544	-0.21789158090916458	-0.30767360829754475	-0.38643545903897575	-0.33295519001701646	-0.3326310671744591	-0.2961672473867596	-0.47621748642735595	-0.32306944331901793	-0.40669313669880885	-0.37703589660481324	-0.2762336925694838	-0.2960051859654809	-0.1073656915971153	-0.08111174134997164	-0.2874159306377117	-0.18175188396402236	-0.26375496313102664	-0.17721416416821975	-0.18256219107041569	-0.21335386111336196	-0.02309375253220971	-0.14933959970828944	-0.392107608783729	0.10169354185236204	0.09618345352888745	-0.011101207357588527	-0.062474677902925206	-0.18223806822785835	-0.006563487561785917	-0.30961834535288874	-0.05307511546876266	-0.36277449153229074	-0.06782270480512113	0.20573697431326474	-0.020824892634308402	0.08808038246495421	-0.05226480836236934	0.07333279312859574	-0.13524025605704562	-0.09764200632039544	-0.15663236366582936	0.14010209869540555	-0.0423790616643708
ExuR_UxuR	0.12146503524835912	0.1678146017340572	0.5679442508710801	1.0	0.09764200632039544	0.0862977068308889	0.42030629608621667	0.024066121059881696	0.17040758447451584	0.09034924236285552	-0.13037841341868567	0.10217972611619804	0.17121789158090917	-0.11887205250790049	-0.11627906976744186	-0.059233449477351915	-0.026983226642897658	-0.26602382302892796	-0.15014990681468277	-0.38643545903897575	-0.03800340328984685	-0.1916376306620209	-0.025362612430111012	-0.3431650595575723	-0.10477270885665667	0.0657159063284985	0.18823434081516896	0.17219026010858116	0.06393323069443319	-0.12956810631229235	-0.39000081030710637	-0.1106069200226886	0.022931691110931043	-0.10509683169921401	-0.11611700834616319	-0.2525727250627988	-0.1564703022445507	0.2287496961348351	0.1642492504659266	0.02179726116198039	0.10088323474596872	0.024066121059881696	-0.19406855198120088	-0.07511546876266105	-0.011749453042703185	0.17024552305323717	0.03865164897496151	-0.05420954541771331	-0.026172919536504337	0.0313588850174216	-0.005104934770277935	-0.24592820679037355	-0.13864354590389757	-0.16019771493395998	-0.2613240418118467	-0.17462118142776112	-0.12778543067822704	0.10169354185236204	-0.09602139210760878	-0.10931042865245928	0.022283445425816385	-0.04610647435378008	-0.2392836885179483	0.051130378413418685	0.011425330200145856	0.024390243902439025	-0.19568916619398752	-0.3506198849363909	0.07041568754557978	0.07803257434567701	-0.07090187180941576	0.314804310833806	-0.0657159063284985	0.050320071307025364	-0.004132566242605947	-0.2407422413094563	-0.26375496313102664	-0.09812819058423142	0.055019852524106634	-0.0822461712989223	0.17462118142776112	0.0017016449234259785	0.056802528158171946	0.07057774896685844	0.031683007859978934	0.24673851389676688	0.04837533425168139	-0.3407341382383923
CblR	0.21789158090916458	0.026497042379061666	0.28109553520784375	0.09764200632039544	1.0	0.22064662507090188	0.33603435702131107	0.16392512762336925	0.14366744996353617	0.3363584798638684	0.09407665505226481	0.1394538530102909	0.2678064986629933	-0.024552305323717688	-0.06701239769872781	0.14156065148691355	0.11968235961429381	0.2791507981524998	0.23960781136050563	-0.005104934770277935	0.16279069767441862	0.13216108905275098	0.38011506360910785	0.2836885179483024	-8.103071063933231e-05	0.16522161899359858	0.12146503524835912	0.004456689085163277	0.17316262863625315	-0.02276962968965238	-0.026497042379061666	-0.1298922291548497	-0.04254112308564946	0.04853739567296005	-0.0036463819787699537	0.2559760149096508	0.26456527023742	0.17445912000648245	0.04254112308564946	-0.12827161494206304	-0.19536504335143018	0.02568673527266834	-0.24187667125840695	-0.04270318450692812	-0.2438214083137509	-0.16246657483186128	-0.15663236366582936	-0.15873916214245198	-0.2998946600761689	-0.11222753423547524	-0.3089700996677741	-0.18466898954703834	0.023417875374767038	-0.1138481484482619	-0.17526942711287577	-0.15436350376792804	-0.08078761850741431	-0.17121789158090917	-0.02665910380034033	-0.024066121059881696	-0.23215298598168707	-0.24041811846689895	-0.0418928774005348	-0.028603840855684303	0.08662182967344624	0.03994814034519083	-0.010777084515031198	-0.17186613726602382	-0.13183696621019367	0.00737379466817924	-0.036382789077060204	-0.00737379466817924	-0.10606920022688598	0.07965318855846366	-0.0057531804553925935	0.12632687788671906	-0.027955595170569645	0.2169192123814926	-0.14690867838910948	0.15906328498500932	-0.012721821570375172	0.17899683980228506	-0.046268535775058746	-0.0717121789158091	0.09488696215865813	0.04416173729843611	-0.1459363098614375	-0.1354023174783243
GntR	0.2762336925694838	0.04950976420063204	0.10866218296734462	0.0862977068308889	0.22064662507090188	1.0	0.4115549793371688	0.19001701644923427	0.1344299489506523	0.025200551008832346	0.17543148853415444	0.23037031034762176	0.10347621748642735	0.07479134592010372	0.09472490073737946	0.1234097723037031	0.05826108094967993	0.05534397536666397	0.37201199254517464	0.026821165221618995	-0.09585933068633012	0.059881695162466574	0.04562029008994409	-0.0020257677659833075	-0.3259865489020339	-0.17316262863625315	-0.1499878453934041	0.05339923831131999	0.07041568754557978	0.1678146017340572	0.03719309618345353	0.06393323069443319	0.08548739972449558	0.08354266266915161	0.07300867028603841	0.20119925451746212	-0.06749858196256381	0.18483105096831698	0.26732031439915727	0.2081678956324447	0.13378170326553765	0.15517381087432136	-0.1334575804229803	-0.10169354185236204	-0.16813872457661452	-0.09991086621829673	-0.10639332306944332	-0.2196742565432299	-0.004456689085163277	0.04999594846446803	-0.21902601085811524	-0.05129243983469735	-0.14690867838910948	-0.21578478243254193	-0.14755692407422413	-0.1921238149258569	-0.16408718904464792	-0.2888744834292197	-0.27931285957377844	-0.10072117332469006	-0.19779596467061017	-0.33797909407665505	-0.09294222510331415	0.09699376063528077	-0.02390405963860303	-0.07203630175836642	0.0867838910947249	-0.11870999108662184	-0.02114901547686573	0.027631472328012316	-0.04043432460902682	0.44331901790778705	0.07025362612430111	-0.05566809820922129	0.013045944412932501	0.06312292358803986	-0.09877643626934608	0.05226480836236934	-0.0657159063284985	-0.3067012397698728	-0.08483915403938093	0.1738108743213678	-0.030224455068470952	0.17867271695972772	0.1715420144234665	0.043837614455878776	-0.16343894335953327	-0.1815898225427437
TrpR	0.1490154768657321	0.11044485860140993	0.2919536504335143	0.42030629608621667	0.33603435702131107	0.4115549793371688	1.0	0.19050320071307025	0.22259136212624583	0.06636415201361316	0.12827161494206304	0.2843367636334171	0.22064662507090188	0.09051130378413419	-0.00316019771493396	0.13783323879750425	0.3284174702212138	0.14917753828701077	0.312859573778462	-0.13410582610809496	-0.09261810226075683	0.05955757231990925	0.16765254031277854	-0.05096831699214002	-0.24187667125840695	-0.05372336115387732	-0.07738432866056236	0.18240012964913702	0.22583259055181915	-0.0052669961915566	0.14642249412527347	0.024714366744996354	-0.05469572968154931	0.12746130783566972	-0.019366339842800423	0.13686087026983226	-0.22583259055181915	0.08467709261810226	0.19277206061097155	0.22761526618588446	0.0054290576128352645	-0.10817599870350864	-0.3554817275747508	-0.2969775544931529	-0.4019933554817276	-0.13734705453366827	-0.0922939794181995	-0.18385868244064502	-0.23280123166680172	-0.15663236366582936	-0.2232396078113605	-0.2656997001863706	-0.30832185398265943	-0.26553763876509195	-0.5253220970747914	-0.31448018799124866	-0.3511060692002269	-0.15809091645733733	-0.23895956567539098	-0.15290495097642007	-0.20589903573454338	-0.3047565027145288	-0.29033303622072765	-0.33376549712340975	-0.05858520379223726	-0.06134024795397456	-0.22080868649218052	-0.3511060692002269	0.008994408880965886	0.21951219512195122	0.02212138400453772	0.2520865407989628	-0.07106393323069443	0.009642654566080544	0.1276233692569484	-0.03719309618345353	-0.14577424844015882	-0.11514463981849121	0.04594441293250142	-0.08694595251600357	-0.06555384490721984	-0.004942873348999271	-0.058423142370958595	0.06863301191151447	0.09666963779272345	-0.1514463981849121	-0.2516003565351268	-0.40944818086054613
NagQ	-0.18774815655133295	-0.025848796693947004	0.060043756583745236	0.024066121059881696	0.16392512762336925	0.19001701644923427	0.19050320071307025	1.0	0.10850012154606596	0.1870999108662183	0.2217810550198525	0.19974070172595412	0.03865164897496151	-0.19730978040677416	-0.14269508143586418	-0.09618345352888745	-0.19244793776841423	0.06101612511141723	-0.10671744591200065	-0.12778543067822704	0.027469410906733653	0.08289441698403695	-0.07187424033708775	-0.24544202252653755	-0.19974070172595412	-0.11708937687383518	0.07787051292439835	0.27299246414391054	0.15225670529130542	0.02665910380034033	-0.031034762174864273	-0.14707073981038812	0.0313588850174216	0.18580341949598897	-0.031034762174864273	-0.0185560327364071	-0.02033870837047241	0.06150230937525322	0.1339437646868163	0.039624017502633495	-0.018069848472571103	0.14010209869540555	-0.0318450692812576	-0.18726197228749697	-0.4052345839073009	-0.11498257839721254	-0.11984442103557248	-0.03946195608135483	-0.2159468438538206	-0.08030143424357832	-0.3089700996677741	-0.20055100883234747	-0.2584069362288307	-0.07381897739243173	-0.01337006725548983	-0.046268535775058746	-0.12016854387812981	-0.012397698727817843	-0.20379223725792076	-0.2054128514707074	-0.06490559922210518	0.06296086216676121	-0.05372336115387732	-0.08305647840531562	-0.2063852199983794	-0.21238149258568997	0.30394619560813546	0.1504740296572401	-0.25548983064581476	0.1811036382789077	-0.1705696458957945	0.06182643221781055	0.1783485941171704	0.09926262053318208	0.24220079410096426	0.07673608297544769	-0.019528401264079086	0.1888825865002836	-0.22777732760716313	-0.19066526213434892	-0.16943521594684385	-0.23782513572644032	0.049347702779353374	0.029576209383356294	-0.13280933473786566	0.01337006725548983	-0.12324771088242444	-0.05161656267725468
FadP	0.07722226723928369	0.36779839559192934	0.13199902763147234	0.17040758447451584	0.14366744996353617	0.1344299489506523	0.22259136212624583	0.10850012154606596	1.0	0.3810874321367798	0.07414310023498906	0.09521108500121546	0.008184101774572563	-0.2516003565351268	-0.22437403776031115	0.06944331901790779	-0.14415363422737218	-0.15306701239769874	-0.08662182967344624	-0.2255084677092618	0.012559760149096507	-0.11887205250790049	-0.09991086621829673	-0.16684223320638522	-0.3331172514382951	-0.3754152823920266	-0.05712665100072928	0.017421602787456445	0.08062555708613564	-0.23280123166680172	-0.13183696621019367	-0.3532128676768495	-0.14415363422737218	-0.040596386030305485	-0.034924236285552225	0.12178915809091646	-0.16035977635523863	-0.05177862409853334	-0.033951867757880234	-0.0418928774005348	-0.07706020581800502	0.10023498906085407	-0.16311482051697593	-0.266510007292764	-0.17737622558949842	-0.10768981443967264	-0.14528806417632284	-0.19050320071307025	-0.2801231666801718	-0.17316262863625315	-0.2639170245523053	-0.08208410987764363	0.016935418523620453	0.03800340328984685	-0.31366988088485537	-0.3208005834211166	-0.2407422413094563	-0.12778543067822704	-0.33052426869783647	-0.2961672473867596	-0.3400858925532777	-0.27283040272263187	-0.13183696621019367	-0.08305647840531562	-0.24090430273073496	-0.183372498176809	-0.15760473219350132	-0.36715014990681466	-0.27250627988007453	-0.024552305323717688	-0.04594441293250142	-0.03524835912810955	-0.15468762661048538	0.1725143829511385	0.19374442913864354	0.14755692407422413	0.06441941495826918	0.053561299732598655	0.046916781460173404	-0.1206547281419658	-0.11692731545255652	-0.01158739162142452	-0.015152742889555142	0.024066121059881696	-0.07835669718823435	0.15857710072117331	-0.016935418523620453	-0.2224293007049672
NiaR	0.060692002268859895	0.03476217486427356	0.21805364233044325	0.09034924236285552	0.3363584798638684	0.025200551008832346	0.06636415201361316	0.1870999108662183	0.3810874321367798	1.0	0.08597358398833158	0.03233125354509359	-0.0423790616643708	-0.2558139534883721	-0.27898873673122115	-0.08354266266915161	-0.26456527023742	-0.1796450854873997	-0.30589093266347944	-0.2287496961348351	-0.05064419414958269	-0.23280123166680172	0.07462928449882505	-0.22259136212624583	-0.19147556924074224	-0.20200956162385544	0.06474353780082652	-0.019204278421521757	-0.11595494692488453	-0.1527428895551414	-0.11870999108662184	-0.3016773357102342	-0.16214245198930394	-0.1384814844826189	-0.1986062717770035	-0.06555384490721984	0.2146503524835913	0.11093104286524592	0.03541042054938822	-0.07317073170731707	-0.15339113524025605	0.12227534235475244	-0.11627906976744186	-0.05145450125597602	-0.25548983064581476	0.03589660481322421	-0.13734705453366827	-0.11238959565675391	-0.03605866623450288	-0.011263268778867191	-0.07009156470302244	-0.23442184587958836	-0.044647921562272104	0.01904221700024309	-0.2558139534883721	0.01547686573211247	-0.05955757231990925	-0.1289198606271777	0.05826108094967993	-0.12908192204845637	-0.1788347783810064	0.08662182967344624	-0.10639332306944332	0.16668017178510655	-0.1279474920995057	-0.27931285957377844	-0.1550117494530427	-0.22810145044972044	-0.13378170326553765	-0.019366339842800423	0.11417227129081922	-0.1545255651892067	-0.1775382870107771	0.2274532047646058	-0.049671825621910706	0.033951867757880234	0.0368689733408962	0.19730978040677416	0.15776679361478	0.08208410987764363	-0.10671744591200065	0.18596548091726764	0.07932906571590632	-0.23393566161575238	0.0812738027712503	0.09699376063528077	0.06928125759662912	-0.08613564540961025
