	ModE	PhrR	BirA	XylR	NadQ	RbkR	Zur	ArgR	NrtR	Phr	MntR	ThiR	NsrR	KdgR	NagC	FUR	SahR_SamR	AraR	CzrA	AgaR	Irr	SiaR	IscR	GulR	MetR	NiaR	HutC	PhnF	CcpA	HexR	HypR	Rex	NagR	NrdR	NarP	TrpR	PsrA	HisR	TyrR	QorR	CsoR	ZntR	FixJ	PdxR	PhnR	GlcC	DasR	FadR	RutR	FnrN_FixK	HcpR	NmlR	LiuR	PurR	HrcA	GntR	NtrC	BioQ	NnrR	RbsR	CueR	MerR	FadP	AcnR	NifA	FruR	PaaR	VanR	LldR	PdhR	GguR	MetJ	LiuQ	NagQ	NikR	FabR	SdaR	SoxR	LexA	LtbR	TtrR	AmtR	PrpR	CblR	ExuR_UxuR	PhsR	CadR-PbrR	NorR
ModE	1.0	0.8262257162855593	0.8471615113266058	0.8200838080757981	0.7987169206094628	0.848137263536534	0.8621848505778029	0.8907968720304453	0.8808377099257872	0.8723572411938942	0.8455321673751107	0.8480283315796061	0.8778687346742008	0.7860251887767636	0.8184382402158243	0.8109520653035494	0.8364073777064955	0.8277252689692256	0.8859181109808048	0.5419666158317534	0.6922857632885399	0.6222633742948394	0.6819743105997748	0.6772740125433989	0.7099072455975266	0.703239219212816	0.7834224103165516	0.820234458654528	0.6611034111926427	0.6753132373186979	0.5638410798633483	0.5056412847481354	0.42965545053793847	0.4169382239919159	0.39827145843666417	0.5361978575170003	0.4109214716475611	0.6093491431458622	0.6176743258966028	-0.4324204680829366	-0.4695152759686832	-0.5262456485159759	-0.6499181851472435	-0.6597521913864952	-0.641472481933519	-0.725616624407248	-0.6561388951981866	-0.6345240137022495	-0.5081838029768554	-0.5309760766880977	-0.5047767821963464	-0.667738989760396	-0.6920122745456146	-0.6218415526743954	-0.6256518534656587	-0.6891475958485336	-0.6941932313853827	-0.7601503724545846	-0.8163337675160269	-0.842449624764174	-0.8341429836231232	-0.8626762032345838	-0.8476899472027664	-0.848730595046609	-0.8444892018300568	-0.8193143312736695	-0.7868340664994832	0.1246900074629979	-0.0033282189393272175	0.045797775933917706	-0.048439955314720645	0.08353458705517519	0.07443529209988366	0.2582637636686429	0.15224052176089667	-0.12996973082218133	-0.051102994006424665	-0.07247683457639376	-0.3706212829866825	-0.441839605805378	-0.3961113609077972	-0.2922876174495089	-0.20922120603900227	-0.14920433317418452	-0.17753823048147924	-0.08119602653304346	-0.05542318906415861	-0.03820266906471485
PhrR	0.8262257162855593	1.0	0.846259925555437	0.7760312611539371	0.7254080312982372	0.8043721115648655	0.8472889848932235	0.8635685182009076	0.8597790767205455	0.8611187080206368	0.8319458028748766	0.8200907611794318	0.8334662148694439	0.7805878617352165	0.8195970908214396	0.7725825217516259	0.7909479861494175	0.8233170012654648	0.8424171769472166	0.5281345750031289	0.6510051870153107	0.6157645400985486	0.620038381132058	0.6181007829194691	0.6582897219222087	0.6747917545461709	0.7558000472811047	0.7654555905270916	0.6182931521200012	0.7068223852853786	0.5074444562904729	0.4968015723285017	0.35843481001803174	0.42591699848422343	0.36502403456156046	0.5373219426044472	0.4328307011973244	0.6164528973582841	0.6252485734549045	-0.4323323954369099	-0.47381229401430486	-0.4723034705257937	-0.630970977745433	-0.7036911709490059	-0.6580440455938182	-0.7624588028609703	-0.6839397212268983	-0.6525835415401589	-0.5842136735100658	-0.62188790669862	-0.4606941051587394	-0.5532468676268131	-0.591913076933774	-0.5452647046553346	-0.6518071116343965	-0.663126764350047	-0.6886400192832741	-0.7418590744955523	-0.7770533673880898	-0.7666098057302845	-0.7931706616109877	-0.7700585451325956	-0.7768007379560656	-0.7857795124483732	-0.8051346352633604	-0.8336562663687648	-0.7834525404322976	0.06387584538151679	-0.10180734340451766	-0.08523346204300726	-0.0772443459678952	0.08394018476714056	0.0005284358761605889	0.24121011815640775	0.14850438740839286	-0.05494342491343386	-0.0009178096796473386	-0.07989579615354307	-0.3163615799305617	-0.44430100449170495	-0.3952468583560082	-0.34068585414242736	-0.22635365339241925	-0.3007286852608109	-0.2250557407141301	-0.06723419443659001	-0.09924396586489656	-0.08110563618580548
BirA	0.8471615113266058	0.846259925555437	1.0	0.8562584885806861	0.7933189944885065	0.8842146005905502	0.8814889839661431	0.9475295622789492	0.9538499334819752	0.9543111560230101	0.9307146399914709	0.9421270007555705	0.9234764591087975	0.9143099508183803	0.9305106822848825	0.860105872591329	0.8709156310405087	0.8141852584932161	0.8905187478850977	0.5600330967732964	0.7109409403377355	0.6296568411586652	0.6714751241128999	0.6645081142719406	0.736057868363842	0.6256796658801934	0.6866838794609954	0.7294871854300031	0.7171361556753549	0.6382949135729218	0.4510802805345546	0.5795759533863932	0.3354130838868776	0.31266252879743756	0.3551738044138302	0.45297847782655254	0.5601489818338579	0.6495218582401231	0.6556962142668415	-0.42333971473733495	-0.6057451177623986	-0.5864803852946494	-0.7375296086329735	-0.7303841357987494	-0.7592070680616138	-0.786701957530443	-0.7377613787540965	-0.7580551705596321	-0.5411739620175126	-0.6199410376811862	-0.596163740955171	-0.5594606245741224	-0.6225762639583555	-0.5644691768915918	-0.6383505384019914	-0.6943253403544228	-0.6619192420189959	-0.7195210702217113	-0.773790044082677	-0.7614621913401411	-0.8432121484626688	-0.8754281952987749	-0.8190199832198433	-0.8290440409584158	-0.8059411952848686	-0.8423939999351043	-0.8125837269562557	0.017097681835248527	-0.004533423569167157	-0.09190148842771785	-0.15079891160751122	0.0038334778033755	0.05567581849618274	0.1252717504670168	0.0984536297518669	-0.13581497327690503	0.031085008645025516	0.045684208574567405	-0.253069795254275	-0.5625107193681019	-0.5061280020024939	-0.326805141588367	-0.30641632403317093	-0.3052088017021198	-0.20742730530150974	-0.11420704488460166	-0.2625885941287993	-0.17176715446551494
XylR	0.8200838080757981	0.7760312611539371	0.8562584885806861	1.0	0.7719428362173262	0.8191822223046293	0.8557601828202716	0.8793821935651344	0.8651978621524028	0.8643449481066698	0.8681691551052004	0.8684727739638717	0.8616146960798402	0.8506264746373956	0.856508800311499	0.8444196707937199	0.8498685863413232	0.7891285906986015	0.8304972396178574	0.6425038589725167	0.6869295557893859	0.6548317117150525	0.7156157436807876	0.7034825778399951	0.7526595621398872	0.6091081022198942	0.6696255985463379	0.6850174522901206	0.7070332960956005	0.547800269780421	0.46333396683833106	0.5219045941473409	0.36318609750105457	0.2661578539940945	0.3552734655659131	0.3712447446125035	0.4549438884536761	0.5651992527731295	0.5382675646986294	-0.43759125948519223	-0.6017308592645471	-0.5507507034223176	-0.6494268324904626	-0.6957576797029634	-0.6543009581376807	-0.7216417668299874	-0.6437368760168914	-0.5972136596038585	-0.47535356531977324	-0.5203053803115918	-0.4580611965827813	-0.614320612243952	-0.6488450894864438	-0.603448275862069	-0.6360397902943944	-0.6807181165432877	-0.6803959560749266	-0.6908789186533228	-0.7925217052718432	-0.7454051573487352	-0.8175297013410219	-0.8540149538082149	-0.8275468059759608	-0.8105534206952176	-0.8094733719307842	-0.7689900848742184	-0.7594063903657796	0.06321761823752729	0.01849525566562061	0.0077874760697349945	-0.07008728462761495	0.011852723994233559	0.08281146427727124	0.04721620907519086	0.0933338277762584	-0.2036193222114578	0.012288451821944922	0.029687434814653434	-0.2730854629144629	-0.4454923029142775	-0.4143563048426049	-0.27445754203151146	-0.2641854902633372	-0.1420797196508615	-0.15565913104746187	-0.1890572055012956	-0.156604753141644	-0.16039883002442856
NadQ	0.7987169206094628	0.7254080312982372	0.7933189944885065	0.7719428362173262	1.0	0.850077179450334	0.8485243196388095	0.8569097626210419	0.8422757971733316	0.8429803783415457	0.8401087465408309	0.8328659302557352	0.8626344846127817	0.7936272487496002	0.8311044773351999	0.8481511697438013	0.8491570520694754	0.7933259475921403	0.8291923738359346	0.6445156236238649	0.7367601318308449	0.6975353565319773	0.7587041268987768	0.7538369543551924	0.8167231413195136	0.5591500526118175	0.6387260059982107	0.6620652571953034	0.5467804812474795	0.5788389244012219	0.5080447409041816	0.6278212217993705	0.4024108727999221	0.31715423374480256	0.2562960353403081	0.2946284956728518	0.3512151707450482	0.4689543922755654	0.47355502917985826	-0.4961502982881459	-0.5648237851769101	-0.4577784370350112	-0.6804538986052074	-0.5597317956158364	-0.6316199340845775	-0.6210303572504647	-0.5798772545438532	-0.5602046066629275	-0.42242190505768756	-0.5180548924354867	-0.5077248981370318	-0.5809758449179766	-0.7328478521862876	-0.6863570835902119	-0.6323940462891285	-0.7285601049455108	-0.7070634262113465	-0.721799370512351	-0.7863728439584482	-0.7979149959903769	-0.8182226940031799	-0.7998896774223454	-0.8138515095187989	-0.8226402325117855	-0.8139905715914727	-0.7315035854837738	-0.6980591570057154	0.2329498310395817	0.22547524463336285	0.09133596933217757	-0.0930325266187984	-0.034631091498208415	0.09620082417455071	0.11071890456169953	0.13190732903477015	-0.3392975511169002	-0.09104857438198498	-0.07727215838242997	-0.4130653452679494	-0.3225799722802935	-0.40921100815367284	-0.24818639880221202	-0.2923849609003806	-0.06054762644218958	-0.06019533585808252	-0.13557625005214827	-0.10822737575962657	-0.1377178059713254
RbkR	0.848137263536534	0.8043721115648655	0.8842146005905502	0.8191822223046293	0.850077179450334	1.0	0.934585201014226	0.9295604247882779	0.9315420593238802	0.910026838980026	0.9365436585377159	0.9102609268023604	0.9307609940156955	0.9137977388506984	0.9146089342746291	0.9182199127617264	0.913171959523666	0.8562306761661513	0.881368463503159	0.6838377423736042	0.7653628824786424	0.7235515526280414	0.7959750800765768	0.787877032044537	0.8731614835141913	0.6534967158173837	0.735765838011227	0.7493707441211509	0.6746364685650185	0.6005673732565092	0.4883002442857077	0.5865939526539996	0.4452512619883095	0.39915450259814306	0.33952932123802326	0.40554904023992844	0.4076187474215574	0.5188660878594176	0.6002197180748247	-0.4777245736588622	-0.5652270651876643	-0.5660475314164399	-0.712554060380752	-0.6809035326401861	-0.6967403850165252	-0.7436807876475796	-0.6563057696853952	-0.6482494402751575	-0.49236317450899497	-0.5894238658329123	-0.5009572106002382	-0.670079867983739	-0.76609295836018	-0.717398055912224	-0.6900839471378708	-0.798911607511206	-0.7864261510863065	-0.7768864929008812	-0.8634688570488247	-0.8414020238166976	-0.8483597628528121	-0.8756483769138418	-0.8713258641548967	-0.8683082171778743	-0.8524528231918455	-0.8305111458251249	-0.7932216510376349	0.15945320793024648	0.1464509041352425	0.07464388520889441	-0.0925249500535389	-0.05959041584195132	0.0900751398732681	0.11941723720744817	0.10650995916210466	-0.33743411934307077	-0.11026695282550955	-0.055601652057423366	-0.3258896496099309	-0.4132832091818051	-0.40747041454403865	-0.2507428232381994	-0.280592497137639	-0.12761031098914852	-0.07521635740806838	-0.11492784996129439	-0.11569269136100051	-0.14749155197908506
Zur	0.8621848505778029	0.8472889848932235	0.8814889839661431	0.8557601828202716	0.8485243196388095	0.934585201014226	1.0	0.9521742355062555	0.9444354311619563	0.9368889960181893	0.9456035525724166	0.9374800098270532	0.9457495677487241	0.9218424797548799	0.9384603974394037	0.9501439292452174	0.944261603571114	0.892593090469149	0.9077554917930201	0.7286435421891152	0.7755955333262257	0.7660581928420116	0.8410265562204783	0.827880554950378	0.8884699000143698	0.6820113938191544	0.7490068650309877	0.760384460276919	0.6880096045538193	0.6279255183538759	0.5171486712618956	0.5598245036642856	0.495598685399873	0.3849423587708767	0.3217780476612077	0.3981602087785251	0.3872577422808961	0.5241991183464593	0.5266999179533771	-0.5138946187613278	-0.5804589975478721	-0.5460388168598856	-0.6914513908524968	-0.698135641145686	-0.6869086964784847	-0.7380487737042891	-0.6777398704868564	-0.6099308861498811	-0.5060978718867478	-0.5765907542263281	-0.4717124567169299	-0.669929217405009	-0.801282615850295	-0.7443204731818793	-0.7445221131872564	-0.8098812873439608	-0.8346621486944389	-0.8084141824772517	-0.9027585279816067	-0.8631768266962097	-0.8880643023024044	-0.8830395260764563	-0.8984985931553647	-0.8776392822542889	-0.8774075121331658	-0.8345462636338774	-0.8054591134329326	0.16855018518432677	0.11770677371355995	0.05353658027821685	-0.05533511641813184	-0.027316426475564475	0.10380288414738725	0.11546092123987745	0.1087279992212524	-0.33605740482359975	-0.15346658570163768	-0.07302381206224419	-0.3356286300995221	-0.42204411976025696	-0.3584487162252991	-0.27903036652126956	-0.29361797794475525	-0.10342509884995665	-0.13047730738744084	-0.13315656998762349	-0.14480070087284627	-0.16734729825569808
ArgR	0.8907968720304453	0.8635685182009076	0.9475295622789492	0.8793821935651344	0.8569097626210419	0.9295604247882779	0.9521742355062555	1.0	0.9783016812604586	0.9717356337290421	0.9628263902730716	0.9697702231019186	0.9735666176859143	0.9352434281582156	0.9598203318021054	0.9346338727396619	0.9447714978375847	0.8798944055328163	0.9457750624620477	0.6757350589391418	0.772443459678952	0.7296980962402251	0.7813573385373451	0.779215782618168	0.8424357185569065	0.6597753683986075	0.7529678164009809	0.7963204175570502	0.6787179403979956	0.6429140920869045	0.5193597582174097	0.5960872568152004	0.43419119180831683	0.3810254437238969	0.3312504925115074	0.44152671614186184	0.4517918148064024	0.5867654625436307	0.5943860641261571	-0.49740881004584414	-0.6142673051160936	-0.5704581168214119	-0.7323008747004371	-0.7517093046432826	-0.7626673959699811	-0.7845256360930974	-0.7341944365900126	-0.7121762750833214	-0.5475267810374957	-0.6198042933097236	-0.5737399817365144	-0.6081277146075437	-0.7381275755454709	-0.6871798675201988	-0.7250881885310874	-0.7877843239960877	-0.7733380923464871	-0.8107133420787925	-0.8638814078644238	-0.8360852172381346	-0.8980953131446107	-0.900781528848427	-0.875961266577358	-0.8774121475355883	-0.857503094131117	-0.8749762435625849	-0.8339112135020001	0.11422326879308027	0.05547881389322814	-0.0087632282796631	-0.07367045070017754	-0.009080753345601699	0.053089263944449336	0.10332311999666251	0.1354348702782632	-0.2280200805632941	-0.0484283668086645	-0.04725560999578178	-0.30943165330898204	-0.47644520259026285	-0.44417121322387604	-0.3164172047596312	-0.3382059138464106	-0.21597266966731718	-0.18980814069373433	-0.13588682201445318	-0.1769217219592919	-0.19250826260481804
NrtR	0.8808377099257872	0.8597790767205455	0.9538499334819752	0.8651978621524028	0.8422757971733316	0.9315420593238802	0.9444354311619563	0.9783016812604586	1.0	0.9811060997260477	0.9755158044045594	0.9677329637372468	0.9670677834896236	0.9470219857136898	0.9690679596349157	0.9277804302580529	0.9266934283899857	0.871400030593656	0.9152184896931828	0.6530354932763488	0.7750091549197844	0.717669226953938	0.7725570270383023	0.7689738609657397	0.8387459382286273	0.6572421209747324	0.7466845284173346	0.7766987591027715	0.6836639147827619	0.6614951026973407	0.5036225669931536	0.5998396150761829	0.4058990131228243	0.37453588033245105	0.34710588649753626	0.4616188679420204	0.48037370614329883	0.6204532496488683	0.6234639435222569	-0.4897696668536279	-0.6066096203141875	-0.5732486290797335	-0.7349847727030422	-0.757350589391418	-0.753783647227334	-0.7999638438611048	-0.7588061057520709	-0.736078727674743	-0.5786002011764652	-0.6311633469459651	-0.552231714496294	-0.6244002948115941	-0.7266109182268659	-0.6688120854211959	-0.704435153037811	-0.7877217460633845	-0.7612327389202294	-0.776613004157956	-0.8566061437623708	-0.8327060088721603	-0.8910170536455122	-0.8977036216399127	-0.8707904751751023	-0.8737339557133652	-0.8485637205594003	-0.8797275310456077	-0.8206284678604373	0.08604697516814923	0.04915380728777969	-0.06137272807338769	-0.07904519980902142	-0.012833111606584126	0.10588417983507238	0.12906582734980138	0.10368699908682573	-0.24092272320621516	-0.04748738011690485	-0.016914583439561304	-0.2798299734391441	-0.502039577065883	-0.4598805920335974	-0.3279941223097283	-0.32598235765838013	-0.2341758949803227	-0.17235816827437875	-0.13192355294324876	-0.1667980030686364	-0.1903667066856409
Phr	0.8723572411938942	0.8611187080206368	0.9543111560230101	0.8643449481066698	0.8429803783415457	0.910026838980026	0.9368889960181893	0.9717356337290421	0.9811060997260477	1.0	0.9653457314896793	0.9641451622622618	0.9647269052662807	0.9350047049334588	0.9659645577130779	0.9128729760674172	0.9177447840134241	0.8562190876600952	0.9172348897469533	0.6407539945580376	0.7529098738707001	0.7033017971455192	0.7715071083896149	0.7573899903120089	0.8227097635481224	0.6570010800487645	0.7319022300921054	0.7753197268820893	0.6754036276659359	0.6675350320538077	0.49828721880490057	0.6028897098701623	0.38726005998210733	0.3561171088068011	0.3528792802147118	0.47197203925258774	0.5034209269877764	0.612100254483593	0.6261941955490866	-0.4744751565607168	-0.6025165599751543	-0.5555483449295651	-0.7424639945116835	-0.74168524690471	-0.7516165965948334	-0.7987516861276311	-0.7550166642717088	-0.7473566617685914	-0.5837269562557074	-0.6561041296800182	-0.5752140397068571	-0.5892778506566048	-0.7122620300281369	-0.6538582772063357	-0.705549967320413	-0.7663015514691908	-0.7593646717439775	-0.7728536927933398	-0.8501722051999945	-0.8244920757795589	-0.8928063189805823	-0.887688834706185	-0.8564763524945418	-0.8579388219588283	-0.8452563609309742	-0.8670450700177535	-0.8050002085931091	0.08868220144531848	0.049427296030704906	-0.06003077907208514	-0.08776670946688236	-0.033780495153686765	0.09350997306831192	0.1016659636306326	0.12398310859357255	-0.21648024623257667	-0.056774408870306076	-0.02218271829268858	-0.2807060644969893	-0.5167430735499302	-0.4470915167500267	-0.346751278212218	-0.3229554398765129	-0.22964015370994434	-0.19917860669073986	-0.13195136535778354	-0.17489141569825384	-0.20794415267161417
