	PhnF	AgaR	GulR	Irr	SiaR	CzrA	MetR	SahR_SamR	KdgR	FUR	NagC	IscR	RbkR	NsrR	Phr	MntR	ArgR	NrtR	ThiR	Zur	BirA	XylR	AraR	ModE	NadQ	LldR	NrdR	GguR	NagR	Rex	HutC	PhrR	CcpA	NiaR	FnrN_FixK	HcpR	GlcC	DasR	FadR	NifA	BioQ	MerR	FadP	FruR	LiuR	GntR	NnrR	NtrC	RbsR	AcnR	CueR	PhnR	PdxR	HrcA	PurR	CsoR	ZntR	FixJ	NmlR	PaaR	CblR	PdhR	HypR	SdaR	HexR	TrpR	TyrR	HisR	PsrA	NagQ	NarP	LiuQ	LexA	SoxR	QorR	FabR	PhsR	NorR	LtbR	MetJ	AmtR	RutR	TtrR	VanR	CadR-PbrR	NikR	ExuR_UxuR	PrpR
NagC	0.6755620394269255	0.7643910771954763	0.6952979463584334	0.6391775458546864	0.6248980660606741	0.8119078791506128	0.9057145350939538	0.912158505717029	0.9288719310714597	0.9275302684572126	1.0	0.8336338358333645	0.8652152769984663	0.9093554782478585	0.8910510106111049	0.9115400441402013	0.9026521527699847	0.9315602438933154	0.9349119066322523	0.9005124752178955	0.7979476053317373	0.6841207496352822	0.7264055661541915	0.6527787129515331	0.7065250190151997	0.3672888689385154	0.3917380515966533	0.37765308794374	0.3880023441688799	0.5147071659247622	0.518971558248856	0.6295016147333508	0.481295277995985	0.4193493684459906	-0.4295539844636467	-0.3199815459045624	-0.3448047980648138	-0.47409319318195986	-0.46055187720545143	-0.6183742939438147	-0.6271674210401625	-0.6871980947393359	-0.7295277995984988	-0.6976471028317062	-0.7402611005124752	-0.8165563161635432	-0.8283070861232684	-0.8356338607713313	-0.6435865783862642	-0.761637925659921	-0.7710146011795659	-0.45592339056596715	-0.6175264030723575	-0.6664247683886333	-0.554967019538897	-0.5616553822366862	-0.48667190363969626	-0.5591316599957605	-0.5512762004513772	-0.6203443933216125	0.15352061746405815	0.24926245963166624	0.0739535405678375	-0.025075125625007792	0.19978054589209343	0.15914163518248356	0.05974388708088629	0.19861843663886083	0.22582077083255403	0.004371625581366351	-0.12150026808314318	-0.1373358770059477	-0.187191860247634	-0.09947006820533921	-0.33387199341637674	-0.48296113417873043	-0.39752864748937017	-0.35022132445541715	-0.19145126497836631	-0.2241150139029165	-0.16002942680083293	-0.08998865322510256	-0.018815695956308682	0.001428945498073542	-0.06227758450853502	-0.052651529320814475	8.728288382648163e-05	-0.1324380603249417
IscR	0.6426738488011072	0.6355914662277584	0.6215314405416527	0.6068180401251886	0.5582338931906882	0.7769498372797666	0.8112694672003392	0.8129602613498922	0.7961271337547849	0.8498884025985362	0.8336338358333645	1.0	0.7871195401438921	0.8572850035536602	0.8298981284055911	0.8240626441726207	0.8426214790708113	0.8350602875347573	0.8390852753774984	0.8405915285726755	0.6944899562338682	0.6494769261462113	0.6756767540742403	0.62616990236786	0.6800608486390105	0.40561852392174463	0.4417935385728002	0.32041047893365254	0.42158879786531006	0.46335490467462187	0.5367772665494582	0.5566777640618961	0.3760021945410791	0.39500991284180603	-0.4050748762453397	-0.2942405765657926	-0.3146697589745508	-0.43874113143555404	-0.4619284529732291	-0.5985336475517151	-0.5996458808713325	-0.6148630282173094	-0.7081459868576915	-0.6591179441140164	-0.7066247708824299	-0.6929138767316301	-0.7967356201448896	-0.7748949488148231	-0.689502362872355	-0.7373034576490979	-0.7489095874013392	-0.3559969575680495	-0.5118742128954227	-0.5764286337734884	-0.5245327248469432	-0.4761730196137109	-0.44747939500492523	-0.5030960485791593	-0.4861980822703525	-0.5606179628174915	0.17946109053728848	0.18957094228107582	0.12413371737802217	-0.03236698711954014	0.2538560331176199	0.16508684646940736	0.0833701168343745	0.15443833464257659	0.15768027032756018	-0.035838352099153356	-0.0030449257472038305	-0.10166460928440504	-0.140652626591354	-0.07027768426040225	-0.23042431950523073	-0.48771929824561405	-0.3529545256175264	-0.2438160076808938	-0.14459282534694945	-0.2689534782229205	-0.04142445666404818	-0.09468696617164803	0.034771007119789525	0.056811182184316515	0.050601628449232536	-0.084317759573062	-0.017474033342061622	-0.08731530318333146
RbkR	0.6480504744448186	0.6890883926233494	0.6678961084302797	0.6424444195064777	0.5372361251387174	0.7787204329231038	0.8369156722652402	0.8499881544657664	0.8529408097357822	0.8542076584496066	0.8652152769984663	0.7871195401438921	1.0	0.868467187870173	0.8376588236761057	0.8467512063741444	0.8716243344680108	0.8771705382860135	0.8730906869162958	0.8445417025149939	0.738286013541316	0.6211025075125625	0.6783351413359269	0.692340303495056	0.6957717677277772	0.37445105300564846	0.43144926994102173	0.35072507138493	0.3993291686928765	0.4910410354243819	0.4847865933490442	0.5495804187084627	0.4995797952592925	0.35836606441476826	-0.3521614982730458	-0.2749635282235439	-0.35828626292098403	-0.40626691105874135	-0.5078342622725969	-0.6462050649010587	-0.6347984388832778	-0.6875023379343882	-0.7593186947468173	-0.7276973528348234	-0.6806144715021384	-0.7540468085636978	-0.7973141809748251	-0.7501564857417174	-0.6267085624509033	-0.7662763874861283	-0.7437823414257035	-0.4265165401064851	-0.5896557313682216	-0.5370066958440878	-0.5371613112382947	-0.4897442611503884	-0.45512537562812505	-0.5563286325265901	-0.5438646367161686	-0.5895958802478833	0.19088766692851533	0.24063891070960985	0.12196411426576391	-0.018601229441763612	0.24263893564757666	0.14030349505604808	0.15098193244304792	0.13943565381114478	0.18554096684497312	0.08497113430342024	-0.01594782977343857	-0.15460292522350652	-0.12684198057332385	-0.09432785944961908	-0.23970124315764535	-0.44522001521215976	-0.3384406289355229	-0.2641304754423372	-0.1452412124839462	-0.2369331288420055	-0.04542450653998179	-0.04266636741106498	-0.015434107657202708	0.08162445915784486	-0.009164702801780571	-0.05065150438284766	0.03752914624870634	-0.12019850621578823
NsrR	0.7002955149066696	0.6799710719585033	0.6534769760221449	0.6473123106273145	0.5829324555169018	0.8752303644683849	0.8357435878252846	0.8963179092008629	0.8412349281163107	0.8690856494470006	0.9093554782478585	0.8572850035536602	0.868467187870173	1.0	0.9137196224391826	0.8732901906507562	0.9072457262559384	0.9198842878340129	0.8839885784112022	0.8806718288257959	0.7885908801855385	0.6453072980959862	0.7443858402224467	0.7368595618399232	0.7492537313432835	0.4616641105250689	0.4815446576640606	0.3667950971957256	0.44375366276387485	0.5195152059252609	0.6072369979675557	0.620000249379668	0.3883764136709934	0.4324268382398783	-0.39441638923178596	-0.3853240065337473	-0.34309904113517625	-0.4997992493671991	-0.5022531453010636	-0.6599059838651354	-0.6621903016247085	-0.6903003778101972	-0.7425504058654098	-0.6894425117520169	-0.7534782229204853	-0.7763563136697466	-0.7839923191062232	-0.7886607064925997	-0.7220663599296749	-0.7991346525517774	-0.7941021708500106	-0.4582326462923478	-0.6405840471826332	-0.5829125051434556	-0.5671417349343508	-0.5125974139328421	-0.49150488160700256	-0.611301886557189	-0.5851818601229442	-0.5951121585057171	0.09207346725021509	0.21870347510567464	0.1336500455117894	0.0411301886557189	0.2632975473509645	0.23335702440180053	0.14060275065773886	0.16448833526602577	0.17135126373146797	0.09242259878552102	-0.025110038778538384	-0.21953640319704734	-0.19238394493696928	-0.17175525879375056	-0.2602750657738875	-0.4380328931782192	-0.3394780483547176	-0.22106260676567038	-0.17461314978989764	-0.2302547413309393	-0.09840272322597539	-0.09171934812154765	-0.03391812865497076	0.05946956944600307	0.021489045998079777	-0.00856120400503747	0.06327011558747615	-0.06604321749647751
Phr	0.6529083903789324	0.6105936482998541	0.5967331263482089	0.5952168979663088	0.5627077644359655	0.828721056372274	0.8041820970336289	0.8358632900659609	0.8137981770346263	0.8371650519333159	0.8910510106111049	0.8298981284055911	0.8376588236761057	0.9137196224391826	1.0	0.8851457000710732	0.8793750545518024	0.9202234441825958	0.8802029950498136	0.8785969899874063	0.8160625444207533	0.6564346188855222	0.6800408982655644	0.6922555144079103	0.7261861120462849	0.3918826918041372	0.44986346463172855	0.33115375503435207	0.34287958702726967	0.5854960785047195	0.538368308831781	0.5940198755595456	0.35854561777578275	0.35795708175912416	-0.4872205389094627	-0.3638923178593249	-0.4386862679085774	-0.518437885759174	-0.5481090786668162	-0.6506140974326363	-0.6653773737827154	-0.7126497836631379	-0.7408546241224953	-0.6785097071035798	-0.6444444444444445	-0.7197471290165712	-0.778052095412661	-0.7510891657003205	-0.7060960859861095	-0.728664945946957	-0.7743862142919488	-0.3904163393558523	-0.5644683848925797	-0.5410466464669136	-0.4934251050511852	-0.48420304492574723	-0.4081372585693088	-0.566687863938453	-0.5034800932679958	-0.5676754074240328	0.11345029239766082	0.15217396725644958	0.1644683848925797	0.0009950248756218905	0.3637476776518411	0.2452125338221175	0.17960573074477237	0.23575106921532687	0.27100337909450245	0.04686592102145912	0.08133019114951558	-0.12928590132046533	-0.10264716517662315	-0.07770919836905697	-0.2548884649434532	-0.33000162096784247	-0.30485417523909275	-0.27775159291262985	-0.24908290627065174	-0.32484444943203783	-0.16166535742340926	-0.13720121198518684	-0.09154976994725621	0.009129789648249979	0.06912555019389269	0.019653611641042904	0.03193805409045001	-0.08027282135687477
MntR	0.6054464519507724	0.6394618386762927	0.655761293781718	0.5662090549757478	0.575500941408247	0.7826257185251686	0.8513846806069901	0.8565418521427948	0.8752353520617464	0.9061285053429594	0.9115400441402013	0.8240626441726207	0.8467512063741444	0.8732901906507562	0.8851457000710732	1.0	0.9333208643499296	0.9439195002431452	0.9235800945148942	0.8993004900310477	0.8063367373658026	0.6758662826219778	0.7032681205501315	0.683497300465093	0.6927692365241462	0.39339393259267574	0.434746069152982	0.2534819636155064	0.3283108268182895	0.6085786605818028	0.5428471676704199	0.6482749161460866	0.4643723737203706	0.3186797840372074	-0.45937979276549584	-0.34328856968291377	-0.43975361288794124	-0.5514308158455841	-0.51407374156785	-0.6142146410803128	-0.6970535792216861	-0.7339517949101609	-0.7673836332123842	-0.7671442287310316	-0.6442150151498148	-0.7581017219666081	-0.7668699110961483	-0.7554932106385367	-0.6377111934064016	-0.7625755932118854	-0.724515268270178	-0.4415441589047245	-0.5812117358071797	-0.55665781368845	-0.5023628723550169	-0.46292597164553173	-0.44223244678861334	-0.5711218344368384	-0.5136896968790134	-0.5810670955996957	0.1169066945971895	0.26378633150039277	0.1159640394518635	0.033908153468247736	0.3112582451152758	0.22501278070798889	0.16567538248606592	0.28235514158530656	0.31946782378832655	0.062088055960797514	0.02932455516901707	-0.09827304579857604	-0.10782428708587388	-0.07366426015286974	-0.2761705258170301	-0.38473048292372725	-0.3283906283120737	-0.29192633324605044	-0.2295365278868814	-0.2532126335739847	-0.14244317260813727	-0.10665220264591828	-0.004436464295066023	-0.07326525268394868	-0.03507525031484183	0.031259741393284204	0.009389144503048667	-0.10514594945074128
ArgR	0.6171872467237746	0.6732527837005449	0.6740956869786406	0.5663038192496166	0.5510866719036397	0.8435741094028604	0.8556939612713376	0.8894998690756742	0.8831756006932755	0.9135899450117831	0.9026521527699847	0.8426214790708113	0.8716243344680108	0.9072457262559384	0.8793750545518024	0.9333208643499296	1.0	0.9370864973378721	0.9220289529794636	0.8990161972094415	0.8167957206448958	0.6962805022506515	0.7189491140787292	0.697577276524645	0.7212882953652788	0.39265078118181024	0.47423284579608227	0.2685095824137458	0.3543510517587501	0.5731966732752278	0.5729472936071522	0.6517961570593149	0.4599633411887929	0.3288844000548635	-0.4405665906058679	-0.3697826656192721	-0.3933540318457836	-0.5330615094951309	-0.518971558248856	-0.6264791331562738	-0.6730782179328919	-0.7460117956583	-0.822910510106111	-0.7550393396426389	-0.6495766780134415	-0.7560318707215801	-0.787488622052644	-0.7692340303495057	-0.6218955348570431	-0.7696629633785957	-0.7595082232945548	-0.45388845247446974	-0.6069975934862031	-0.5664484594571004	-0.505220763351164	-0.4853651541789798	-0.46345465654185214	-0.5747378396239354	-0.5568174166760184	-0.6140849636529134	0.09231287173156773	0.21520218456589235	0.16492225588847742	0.0797940123941695	0.30926320777067046	0.23517250838539133	0.16255813663512014	0.2242696292971234	0.24586092095911422	0.09536029127545231	0.0017481514732103891	-0.11981944912031323	-0.09456227633761019	-0.06452200152121597	-0.2734223618748363	-0.4020922954151548	-0.32809636030374445	-0.24930236037855832	-0.21174079477300214	-0.22568610581179316	-0.11937056571777703	-0.12534570256486988	-0.038391999900248136	-0.012641055374755296	-0.004217010187159441	0.00021696031122582575	0.0045362161622962876	-0.11820346887118294
NrtR	0.6330228556465791	0.6388583398795497	0.6829187396351576	0.5987979899998753	0.5701791792915124	0.8228556465791343	0.8550405865409794	0.8721979077045848	0.8897093479968579	0.904093567251462	0.9315602438933154	0.8350602875347573	0.8771705382860135	0.9198842878340129	0.9202234441825958	0.9439195002431452	0.9370864973378721	1.0	0.9169615581241661	0.8979588274168007	0.8366812553772491	0.6784199304230726	0.7214329355727628	0.6948141498023667	0.7166598087257946	0.39861095524881857	0.44778862579333906	0.28581653137819674	0.3605755682739186	0.5899549869699123	0.540468085636978	0.6401601017469045	0.4710008852978217	0.3621217222159877	-0.4486514794448809	-0.3273232833327099	-0.40591279193007396	-0.5670768962206512	-0.5670519582538436	-0.6444494320378059	-0.7115575007169666	-0.7410990161972094	-0.7894786718038879	-0.7496776767790122	-0.667432262247659	-0.7644509283158144	-0.7951894662028205	-0.771288918814449	-0.6719560094265514	-0.7774386214291948	-0.7582713001408995	-0.431753513136074	-0.5788775421139915	-0.5799448870933552	-0.5031359493260514	-0.46250202620980313	-0.4454594196935124	-0.6038304717016422	-0.5629970448509333	-0.5695956308682153	0.07651217596229379	0.235790969962219	0.16541602763126723	0.06191847778650607	0.30850509357972045	0.21715732116360553	0.18785521016471526	0.2504544944450679	0.2880609483908777	0.07041733687452462	0.030885671891170714	-0.10671704135961795	-0.09413334330852005	-0.07378894998690756	-0.26211548772428583	-0.4141273581964862	-0.29357722664871133	-0.2682452399655856	-0.2447736256063043	-0.25774635593960027	-0.13550044264891084	-0.12017356824898066	-0.021419219691018593	-0.024975373757777527	-0.05440716218406713	-0.039494258033142556	0.0615543834711156	-0.1224080100749386
ThiR	0.6815870522076335	0.6966396089726804	0.6652526839486776	0.56153567999601	0.5589870197882767	0.8140874574495941	0.880711729572688	0.8983279093255527	0.8977244105288096	0.9154602925223506	0.9349119066322523	0.8390852753774984	0.8730906869162958	0.8839885784112022	0.8802029950498136	0.9235800945148942	0.9220289529794636	0.9169615581241661	1.0	0.9185027244728737	0.7873539570318832	0.6834524121248394	0.7241212483946183	0.658773800172072	0.6846843476851332	0.37607202084814023	0.42118480280302745	0.3101609745757428	0.35056048080400004	0.5402635943091559	0.5451564233968005	0.6268482150650257	0.46656192720607487	0.3789299118442873	-0.4780134415641093	-0.3552139054102919	-0.36413670993403907	-0.4979837653836083	-0.48133517874287707	-0.6185239217446602	-0.6555368520804499	-0.7274878739136398	-0.777293981221711	-0.7697228144989339	-0.6873377473534583	-0.7613486452449532	-0.823444182595793	-0.7958328657464557	-0.6384493572239055	-0.7592339056596715	-0.7775383732964252	-0.4171598149602863	-0.6017356824898066	-0.6240102744423247	-0.5364081846407063	-0.5184279105724511	-0.47332510380428683	-0.537445604059901	-0.5045524258407212	-0.5872517113679722	0.18157583012257011	0.19386027257197722	0.1222982830209853	0.023888078404967643	0.24223992817865558	0.19063828726043966	0.09014326861930946	0.20956121647402087	0.2492873975984738	0.054781231686180626	-0.03539944388334019	-0.11077694235588972	-0.14498684522250901	-0.02873601915235851	-0.2637713687203082	-0.4101223207271911	-0.3864013266998342	-0.3154378483522238	-0.21222459132906893	-0.2154864773874986	-0.13244803551166473	-0.13400915223381837	-0.040357111684684345	0.005743213755782491	-0.010461477075774012	0.03313008890385167	-0.03395802940186286	-0.10203369119315703
Zur	0.6771281437424407	0.6824249678923677	0.665761418471552	0.5813663512013866	0.5878851357248843	0.8038978042120226	0.8641030436788488	0.8592251773712889	0.8474245314779486	0.8930211099889026	0.9005124752178955	0.8405915285726755	0.8445417025149939	0.8806718288257959	0.8785969899874063	0.8993004900310477	0.8990161972094415	0.8979588274168007	0.9185027244728737	1.0	0.7510891657003205	0.6503148418309456	0.7466551952019352	0.6851232559009464	0.7044900809237022	0.3569994638337136	0.45171386176885	0.3357223905534982	0.3883265377373783	0.5167620543897056	0.5687577151834811	0.628833277222908	0.4686068404842953	0.3569894886469906	-0.44325490342772356	-0.30941283557151583	-0.37290988665694086	-0.5337697477524658	-0.4790159478297734	-0.6547637751094153	-0.657686504819262	-0.6999613461514482	-0.764884848938266	-0.7558772553273732	-0.7045748700108481	-0.724330727315802	-0.8237234878240377	-0.7796181997281761	-0.6390877691741792	-0.7645107794361525	-0.8097083504781856	-0.4450155238843377	-0.5859050611603636	-0.5615805683362636	-0.5091210613598673	-0.4925223506527513	-0.4776393720619958	-0.47731019090013593	-0.5084876370029552	-0.5984488584645694	0.17752590431302137	0.1809025050187658	0.15416900460105487	0.02248157707702091	0.289492387685632	0.1829274679235402	0.08912579957356077	0.22697290489906358	0.22749161460866096	0.061025698574795194	-0.029504108530031548	-0.12022843177595731	-0.18843875858801232	-0.06851706380378808	-0.2336163792565992	-0.39932418109951495	-0.3802765620518959	-0.25153181461115476	-0.1773064502051148	-0.24226985373882468	-0.10539532911881694	-0.1347722540181299	-0.08522550156485742	0.06049701367847479	0.003199541141410741	0.017513934088953728	-0.025129989151984437	-0.10156984501053629
BirA	0.4848015561291288	0.45655681492287936	0.5091908876669285	0.49199865334979237	0.4339480542151398	0.7974987219292011	0.672155513161012	0.7261112981458622	0.7474382473596928	0.7404705794336588	0.7979476053317373	0.6944899562338682	0.738286013541316	0.7885908801855385	0.8160625444207533	0.8063367373658026	0.8167957206448958	0.8366812553772491	0.7873539570318832	0.7510891657003205	1.0	0.6484794074739086	0.6573672988441253	0.5777802715744585	0.67725782116984	0.30669459718949116	0.39215700943902043	0.05392336562800035	0.23004027481639422	0.6372323844436963	0.4963328719809474	0.5812416613673487	0.3869898627164927	0.39392760508235763	-0.4244816020149877	-0.4179578298981284	-0.4519532662502026	-0.5738151348520555	-0.45245202558635395	-0.6297460068080649	-0.6300901507500094	-0.7646953203905286	-0.7304205788102096	-0.6566989613336824	-0.44537961819972816	-0.5967879898751854	-0.6196960061846157	-0.5517599970074439	-0.6118854349804861	-0.6385590842778588	-0.636753575480991	-0.41081060861107993	-0.47046721280813975	-0.3932044040449382	-0.34423621242160124	-0.4171298894001172	-0.36963303781842666	-0.5077195476252822	-0.48671180438658834	-0.5469619321936683	0.10385416277010935	0.1438197483759149	0.23370615593710645	0.0875197945111535	0.2848938266063168	0.29447998104714523	0.2703749423309518	0.28760707739498	0.40101996284242947	0.11368470928565194	0.1495804187084627	-0.20163593062257634	0.0384568386139478	-0.02195289218070051	-0.1970573199167072	-0.22299779298993752	-0.16221898028653725	-0.1843239940647639	-0.2576116909188394	-0.24545193830347012	-0.19023429219815707	-0.11959001982568361	-0.14337585256674024	-0.11346525517774536	-0.12517113679721692	0.008601104751929576	0.07444731231062732	-0.04083093305402811
XylR	0.46011296898963827	0.509400366588112	0.508038753600419	0.47595855309916585	0.3712739560343645	0.6655569271437299	0.6317161061858627	0.6731779698001222	0.6746692602152147	0.7176373770246511	0.6841207496352822	0.6494769261462113	0.6211025075125625	0.6453072980959862	0.6564346188855222	0.6758662826219778	0.6962805022506515	0.6784199304230726	0.6834524121248394	0.6503148418309456	0.6484794074739086	1.0	0.5486976146834749	0.5265078118181025	0.5475255302435192	0.1253058018179778	0.263866132994177	0.1645082856394718	0.26422025212284445	0.4013391688175663	0.3991994912654771	0.44261649147744986	0.40718961583062135	0.3205850447013055	-0.3339368321300764	-0.3021708500105986	-0.3880023441688799	-0.3850147757453335	-0.26309804361650396	-0.5857155326126261	-0.46759934662526964	-0.6531428072669235	-0.6551129066447212	-0.5421838177533386	-0.43538946869661715	-0.5177246599084777	-0.6442249903365379	-0.5334156286237983	-0.4946021770845023	-0.5029364455915909	-0.6046833501664609	-0.31275951071709124	-0.4349455728874425	-0.4506714547562937	-0.3562712752029327	-0.4680482300278058	-0.3401413982717989	-0.44984850185164404	-0.44748438259828677	-0.5165176623149914	0.1199990024813277	0.1613461514482724	0.13155026870659234	0.05563411015099939	0.11287173156772529	0.04189827803339194	0.10842279828925548	0.22312248282397537	0.2671828825795833	-0.030935547824785845	0.036601453883464884	-0.1319492761755134	-0.11450766219030162	-0.07799349119066322	-0.18571054501926457	-0.26276387486128255	-0.3786855197695732	-0.1286375141834686	-0.10305614783226724	-0.09743014252048031	-0.07912567488372672	-0.16705195825384356	-0.09735532862005761	-0.058427162433446804	-0.004376613174727865	0.018077532138804725	-0.02210750757490742	-0.17654334842080324
AraR	0.5905884113268245	0.5732964251424582	0.5273856282497288	0.5396152071721593	0.4869212833077719	0.7322410503871619	0.67742241175077	0.7389393882716742	0.6825097569795134	0.7309243257397224	0.7264055661541915	0.6756767540742403	0.6783351413359269	0.7443858402224467	0.6800408982655644	0.7032681205501315	0.7189491140787292	0.7214329355727628	0.7241212483946183	0.7466551952019352	0.6573672988441253	0.5486976146834749	1.0	0.5750121572588187	0.6206785620768339	0.3748799860347386	0.34329355727627525	0.27900347884636967	0.36736867043229965	0.41382810259479547	0.6598760583049664	0.5516951582937443	0.31592663250165215	0.4302871606877891	-0.33001658374792703	-0.29050486913801915	-0.320210975199192	-0.374640581553386	-0.29611092407636	-0.5400192022344418	-0.5767029514083717	-0.6390478684272871	-0.6494968765196574	-0.5580892529832043	-0.6662302522475343	-0.5562238930659983	-0.6578012194665769	-0.6453771244030474	-0.6148231274704173	-0.6199254354792454	-0.6645743712515119	-0.41744410778189256	-0.4558435890721829	-0.5308170924824499	-0.5451215102432698	-0.5164727739747378	-0.5591915111160987	-0.41966358682776594	-0.48328532774722877	-0.5847080387536004	0.041633935585231735	0.21491290415092457	0.11733562762627962	-0.0049352236312173465	0.19836905697078516	0.18357585506053692	0.05322510255738849	0.056611678449855984	0.09815334355789973	0.09524557662813751	-0.036267285128243495	-0.22115737103953914	-0.20424444195064775	-0.17551590418833152	-0.24776119402985075	-0.33722365615531363	-0.2564046933253532	-0.12480704248182646	-0.08931532812129828	-0.1414406663424731	-0.13331088916320652	-0.061429693637077766	-0.053190189403857904	0.10235289716829386	0.08816818164815023	0.01844162645419519	-0.029399369069439768	-0.04883602039925685
ModE	0.5437100213219617	0.5210962730208606	0.5486028504096061	0.5436202446414544	0.5175700445142708	0.7525206049950748	0.6085337722415491	0.6724797067295103	0.6365391089664459	0.6591179441140164	0.6527787129515331	0.62616990236786	0.692340303495056	0.7368595618399232	0.6922555144079103	0.683497300465093	0.697577276524645	0.6948141498023667	0.658773800172072	0.6851232559009464	0.5777802715744585	0.5265078118181025	0.5750121572588187	1.0	0.6288382648162695	0.30398134640082797	0.42374842579084526	0.32877467300091023	0.31684434968017056	0.42185812790683175	0.5271911121086298	0.4555892218107458	0.3489594633349543	0.2890983678100724	-0.2597962568111822	-0.35316400453870994	-0.3151585431239791	-0.39023678599483785	-0.3553635332111373	-0.5822790807865434	-0.592857766306313	-0.644439456851083	-0.6076908689634534	-0.601710744522999	-0.580019700993778	-0.6171972219104976	-0.5745931994164516	-0.5501091036047832	-0.6289679422436689	-0.6862803775608175	-0.6345440716218407	-0.342999289267946	-0.517086247958204	-0.46623773363757653	-0.5161834935597701	-0.43801793039813464	-0.40327934263519494	-0.5243781094527363	-0.5276000947642738	-0.49153979476053317	0.06826768413571241	0.2639010461477076	0.05203805533734834	-0.02444170126809561	0.2428833277222908	0.2406937742365865	0.2186535991720595	0.19041384555917157	0.13030337036621403	0.22043417000211973	0.0881232933078966	-0.2288681903764386	-0.323028965448447	-0.23421489045998078	-0.21529694883976108	-0.34412648536764795	-0.2036908190875198	-0.0346114041322211	0.024147433259766333	-0.14480729186149452	-0.03797304205788102	-0.02197284255414656	0.03998802977593237	0.05240713724610033	0.08180900011222085	-0.041200014962780085	0.06477636878265315	-0.02857142857142857
NadQ	0.514851806132246	0.5702091048516814	0.5278943627726032	0.5211411613611142	0.4710258232646292	0.6928041496776768	0.6643848427037744	0.6619658599234405	0.673641815982743	0.6976321400516216	0.7065250190151997	0.6800608486390105	0.6957717677277772	0.7492537313432835	0.7261861120462849	0.6927692365241462	0.7212882953652788	0.7166598087257946	0.6846843476851332	0.7044900809237022	0.67725782116984	0.5475255302435192	0.6206785620768339	0.6288382648162695	1.0	0.32297410192147036	0.46048703849175177	0.24010025062656642	0.34152296163293805	0.46245215027618797	0.44604296811680944	0.5083579595755559	0.3699921445404556	0.25080861357373535	-0.4054539333408147	-0.3393483709273183	-0.31631566478385015	-0.3928552725096323	-0.38534395690719336	-0.5647476901208245	-0.5346076634372	-0.6246237484257908	-0.5718101223207271	-0.5142832204890335	-0.5370316338108954	-0.5851519345627751	-0.57794984974875	-0.5866931009114826	-0.5979700495018642	-0.6108180900011222	-0.6162046908315565	-0.4742577837628898	-0.4374194191947531	-0.45930996645843464	-0.4596989987406327	-0.456242596541104	-0.4352248781156872	-0.5713013877978529	-0.4986670656741356	-0.545725009040013	0.08606840484295315	0.2479706729510343	0.02502524969139266	0.020681055873514632	0.24504295564782602	0.162498285514782	0.10075686729260963	0.11880198007456452	0.1297996234367012	0.09328545243706281	-0.0137732390678188	-0.18154590456240102	-0.1743787329019065	-0.20317709697128394	-0.2273619371812616	-0.3140263594309156	-0.18125163655407175	-0.12499657102956396	0.03929475429868203	-0.1602139677552089	-0.15269267696604696	-0.046023017743363384	-0.10833302160874823	0.07075150562974601	0.07369418571303882	-0.0361176573273981	0.07733014127358197	-0.15337597725657426
LldR	0.3720719709722066	0.3108991383932468	0.28205089839025427	0.235237347099091	0.339248619060088	0.41066596840359604	0.34675494706916543	0.377119415454058	0.3834037830895647	0.342804773126847	0.3672888689385154	0.40561852392174463	0.37445105300564846	0.4616641105250689	0.3918826918041372	0.39339393259267574	0.39265078118181024	0.39861095524881857	0.37607202084814023	0.3569994638337136	0.30669459718949116	0.1253058018179778	0.3748799860347386	0.30398134640082797	0.32297410192147036	1.0	0.46493597177022156	0.16179503485080862	0.4254890958740134	0.25983615755807427	0.30978191748026784	0.24241948153967008	0.01935435603935211	0.06800334168755222	-0.1536951832317111	-0.2104390329056472	0.009828052718861831	-0.15800446389605854	-0.30140774822628713	-0.17233381962368607	-0.45916532625095074	-0.1624683599546129	-0.3882317734635095	-0.21834436838364568	-0.4466364917268295	-0.3950996895223132	-0.28962206511303135	-0.41307497599720694	-0.3430441776081996	-0.3731891918851856	-0.32806643474357533	-0.34901931445529244	-0.22714747066671653	-0.38314941582812756	-0.3505006296836619	-0.2083342685070886	-0.2665295078492251	-0.2674172994675744	-0.2074614396688238	-0.3485754186461178	-0.03886582126959189	0.33647052955772516	0.01748899612214616	-0.07867180388782903	0.2547138991758002	0.012730832055262535	-0.008486390104614772	-0.04566391102133443	-0.0940335914412898	0.15052806144715022	0.0267359942143917	-0.17651342286063418	-0.05716031371962244	-0.09092632077706704	-0.1910672202895298	-0.18673798925173632	-0.15262285065898576	-0.13801917729647503	-0.15529620070075686	-0.15275252808638512	-0.12104639708724547	-0.0974650556740109	-0.043978104465142956	0.07996359056846096	0.02491552263743937	0.11848776169278918	0.020656117906707065	-0.039274803925235975
