	NagR	TyrR	HutC	AraR	PhnF	Zur	FUR	KdgR	ArgR	ModE	NsrR	CzrA	SahR_SamR	MntR	NrtR	Phr	NadQ	NagC	ThiR	RbkR	Rex	XylR	AgaR	BirA	MetR	NmlR	ZntR	IscR	NikR	GguR	LldR	MetJ	CueR	ExuR_UxuR	AcnR	GlcC	FixJ	FadP	NiaR	CblR	HexR	RbsR	SdaR	BioQ	SoxR	CadR-PbrR	FnrN_FixK	PurR	NnrR	TrpR	FruR	MerR	PdxR	QorR	DasR	TtrR	NagQ	NtrC	NorR	PhsR	LexA	PsrA	FabR	HisR	PaaR	GntR	LtbR	CcpA	PhrR	LiuR	PhnR	HrcA	NarP	CsoR	PrpR	VanR	PdhR	HypR	NifA	LiuQ	NrdR	HcpR	RutR	GulR	Irr	FadR	AmtR	SiaR
NagR	1.0	0.629587803500847	0.42066629023150764	0.4161490683229814	0.3370976849237719	0.585544889892716	0.5607001693958216	0.365330321852061	0.5979672501411631	0.4658385093167702	0.3416149068322981	0.49181253529079616	0.47148503670242803	0.28063241106719367	0.5505364201016375	0.26595143986448333	0.19932241671372106	0.27837380011293056	0.2682100508187465	0.19593450028232637	0.36645962732919257	0.269339356295878	0.30660643704121965	0.14963297571993225	0.1880293619424054	0.33145115753811405	0.15866741953698477	0.020892151326933936	-0.15866741953698477	0.23207227555053642	0.15979672501411632	0.1417278373800113	-0.045736871823828344	0.08639186900056466	0.32128740824393	0.13495200451722192	-0.08074534161490683	-0.21626199887069453	-0.011857707509881422	-0.14737436476566912	-0.13608130999435347	-0.44664031620553357	-0.4906832298136646	-0.5019762845849802	-0.6307171089779785	-0.3935629587803501	-0.35742518351214003	-0.3416149068322981	-0.18690005646527386	-0.10220214568040654	-0.3178994918125353	-0.3178994918125353	-0.11688311688311688	-0.029926595143986448	-0.525691699604743	-0.4647092038396386	-0.435347261434218	-0.35177865612648224	-0.30773574251835123	-0.3438735177865613	0.1067193675889328	0.055900621118012424	0.1880293619424054	0.05138339920948617	-0.2365894974590627	-0.2140033879164314	-0.21287408243929984	-0.2715979672501412	0.028797289666854884	-0.13269339356295878	-0.07058159232072275	0.07171089779785432	0.40146809712027104	0.13608130999435347	0.032185206098249576	0.08977978543195934	-0.37323546019198195	-0.10446075663466968	-0.13043478260869565	-0.07171089779785432	-0.21626199887069453	0.012987012987012988	0.034443817052512704	0.09768492377188029	-0.3438735177865613	-0.09881422924901186	0.034443817052512704	-0.07735742518351214
TyrR	0.629587803500847	1.0	0.6047430830039525	0.4590626764539808	0.46922642574816487	0.4816487859966121	0.36984754376058726	0.4658385093167702	0.5900621118012422	0.5844155844155844	0.30773574251835123	0.5110107284020328	0.42405420666290233	0.16205533596837945	0.383399209486166	0.10220214568040654	0.17221908526256352	0.2964426877470356	0.07509881422924901	-0.024280067758328628	0.3359683794466403	0.42857142857142855	0.17786561264822134	0.37662337662337664	0.2715979672501412	0.19593450028232637	0.3935629587803501	0.23771880293619424	0.08865047995482778	0.22868435911914173	0.11575381140598531	-0.07284020327498589	-0.034443817052512704	-0.033314511575381144	0.46922642574816487	0.28740824392998304	-0.06041784302653868	-0.19932241671372106	-0.055900621118012424	-0.06493506493506493	-0.1665725578769057	-0.3438735177865613	-0.2490118577075099	-0.391304347826087	-0.4827780914737436	-0.28289102202145683	-0.35290796160361376	-0.10333145115753811	-0.054771315640880856	-0.07284020327498589	-0.21626199887069453	-0.009599096555618294	0.05928853754940711	0.18238283455674761	-0.6849237718802936	-0.31225296442687744	-0.28289102202145683	-0.17447769621682666	-0.033314511575381144	-0.11349520045172219	0.19141727837380013	0.15302089215132694	0.13043478260869565	0.1417278373800113	0.2704686617730096	0.029926595143986448	-0.10897797854319594	-0.15640880858272163	0.015245623941276116	-0.43873517786561267	-0.3675889328063241	0.14059853190287974	0.233201581027668	0.012987012987012988	-0.08526256352343309	-0.14059853190287974	0.06154714850367024	0.08526256352343309	-0.1541501976284585	-0.09203839638622248	0.018633540372670808	-0.23207227555053642	-0.15189158667419536	-0.2015810276679842	-0.19141727837380013	-0.06719367588932806	0.08752117447769622	-0.024280067758328628
HutC	0.42066629023150764	0.6047430830039525	1.0	0.5369847543760587	0.5990965556182948	0.3687182382834557	0.15866741953698477	0.2919254658385093	0.7052512704686618	0.7481648785996612	0.427442123094297	0.5335968379446641	0.5358554488989271	0.4308300395256917	0.44664031620553357	0.37323546019198195	0.4330886504799548	0.3867871259175607	0.09655561829474874	0.2715979672501412	0.45115753811405984	0.4601919819311124	0.3404856013551666	0.22981366459627328	0.1417278373800113	0.16996047430830039	0.2896668548842462	0.18690005646527386	0.09316770186335403	0.189158667419537	-0.05251270468661773	-0.03896103896103896	-0.3337097684923772	-0.08300395256916997	0.010728402032749858	-0.2230378317334839	-0.5200451722190853	-0.409373235460192	-0.31225296442687744	-0.30434782608695654	0.055900621118012424	0.026538678712591756	-0.025409373235460192	-0.3890457368718238	-0.22868435911914173	-0.17334839073969507	-0.19367588932806323	-0.2015810276679842	0.031055900621118012	0.0220214568040655	-0.16883116883116883	0.22755505364201017	-0.044607566346696784	0.23094297007340486	-0.409373235460192	-0.26256352343308864	-0.23207227555053642	-0.23771880293619424	0.000564652738565782	0.08977978543195934	0.20383963862224733	0.47374364765669114	0.20722755505364202	0.1789949181253529	0.3370976849237719	0.05815923207227555	0.19932241671372106	0.1281761716544325	0.028797289666854884	-0.18690005646527386	-0.1417278373800113	0.5437605872388481	0.3269339356295878	0.17786561264822134	0.14963297571993225	0.031055900621118012	0.06493506493506493	0.36307171089779783	-0.006211180124223602	-0.15753811405985318	-0.0818746470920384	-0.3551665725578769	-0.12140033879164314	-0.11236589497459062	0.1507622811970638	-0.30999435347261434	-0.30773574251835123	-0.13043478260869565
AraR	0.4161490683229814	0.4590626764539808	0.5369847543760587	1.0	0.6871823828345568	0.5098814229249012	0.2896668548842462	0.42292490118577075	0.5844155844155844	0.7402597402597403	0.4906832298136646	0.5990965556182948	0.6284584980237155	0.6363636363636364	0.6070016939582157	0.44212309429700736	0.49745906267645396	0.5335968379446641	0.2230378317334839	0.251270468661773	0.11123658949745906	0.42970073404856013	0.49632975719932243	0.3190287972896669	0.35177865612648224	0.3404856013551666	0.5945793337097685	0.49745906267645396	0.1756070016939582	-0.19141727837380013	-0.032185206098249576	0.18464144551101072	-0.3856578204404291	-0.1281761716544325	-0.00282326369282891	-0.27837380011293056	-0.10446075663466968	-0.33483907396950874	-0.11236589497459062	-0.08977978543195934	0.026538678712591756	0.000564652738565782	0.11688311688311688	-0.0220214568040655	-0.2682100508187465	-0.42066629023150764	-0.2987012987012987	-0.21739130434782608	-0.15527950310559005	-0.07735742518351214	-0.3201581027667984	-0.10559006211180125	0.03896103896103896	-0.05251270468661773	-0.567476002258611	-0.525691699604743	-0.3145115753811406	-0.2941840767927724	-0.1756070016939582	0.13043478260869565	0.026538678712591756	0.435347261434218	0.5731225296442688	0.4500282326369283	0.0660643704121965	0.2896668548842462	0.3845285149632976	0.06719367588932806	-0.18690005646527386	-0.012987012987012988	-0.15527950310559005	0.14624505928853754	0.04686617730095991	0.2648221343873518	0.13156408808582723	-0.37888198757763975	-0.1541501976284585	0.11575381140598531	-0.12478825522303783	-0.24449463579898362	-0.10559006211180125	-0.23207227555053642	0.11123658949745906	0.0016939582156973462	0.09542631281761717	-0.0016939582156973462	0.006211180124223602	0.19367588932806323
PhnF	0.3370976849237719	0.46922642574816487	0.5990965556182948	0.6871823828345568	1.0	0.48955392433653305	0.30660643704121965	0.2862789384528515	0.46922642574816487	0.6465273856578204	0.47600225861095424	0.7967250141163185	0.6239412761151891	0.525691699604743	0.4409937888198758	0.30095990965556185	0.5268210050818747	0.5358554488989271	0.2456239412761152	0.0378317334839074	0.2230378317334839	0.44889892715979673	0.5527950310559007	0.3461321287408244	0.4872953133822699	0.15979672501411632	0.37662337662337664	0.3167701863354037	0.2478825522303783	0.11575381140598531	-0.2490118577075099	0.06493506493506493	-0.5403726708074534	-0.25804630152456237	-0.09994353472614342	-0.2682100508187465	-0.15302089215132694	-0.4748729531338227	-0.05251270468661773	-0.3156408808582722	-0.21174477696216826	-0.28514963297571994	-0.0502540937323546	-0.15979672501411632	-0.2456239412761152	-0.17334839073969507	-0.39469226425748166	-0.2795031055900621	0.025409373235460192	0.08413325804630152	-0.054771315640880856	0.06832298136645963	0.08639186900056466	0.21513269339356295	-0.3438735177865613	-0.391304347826087	-0.18125352907961603	-0.3145115753811406	0.000564652738565782	0.08413325804630152	-0.15189158667419536	0.47035573122529645	0.34726143421795597	0.20045172219085264	0.29079616036137773	0.3020892151326934	0.25014116318464147	0.034443817052512704	-0.17334839073969507	-0.16544325239977414	0.06267645398080181	0.30434782608695654	0.055900621118012424	0.11575381140598531	0.0220214568040655	-0.13608130999435347	0.07848673066064371	0.2490118577075099	-0.13946922642574816	-0.19141727837380013	-0.02766798418972332	-0.25352907961603616	-0.08526256352343309	0.2422360248447205	0.2523997741389046	0.11688311688311688	-0.045736871823828344	-0.028797289666854884
Zur	0.585544889892716	0.4816487859966121	0.3687182382834557	0.5098814229249012	0.48955392433653305	1.0	0.6668548842461886	0.6420101637492942	0.6374929418407679	0.44776962168266515	0.5618294748729531	0.6058723884810842	0.5719932241671372	0.5460191981931113	0.6261998870694523	0.2964426877470356	0.5064935064935064	0.4850367024280068	0.5008469791078487	0.2354601919819311	0.35177865612648224	0.38114059853190285	0.2704686617730096	0.36645962732919257	0.515527950310559	0.4872953133822699	0.2795031055900621	0.3156408808582722	0.1259175607001694	0.15866741953698477	0.08074534161490683	0.07622811970638058	-0.3924336533032185	-0.2523997741389046	0.1383399209486166	-0.057029926595143984	-0.04121964991530209	-0.13382269904009034	0.06154714850367024	-0.04121964991530209	0.033314511575381144	-0.24675324675324675	-0.2896668548842462	-0.37662337662337664	-0.4601919819311124	-0.2919254658385093	-0.14963297571993225	-0.14285714285714285	-0.005081874647092038	-0.2264257481648786	-0.23094297007340486	-0.1665725578769057	-0.045736871823828344	0.14737436476566912	-0.603613777526821	-0.5719932241671372	-0.36645962732919257	-0.3416149068322981	-0.1417278373800113	-0.017504234895539244	0.3901750423489554	0.15527950310559005	0.3687182382834557	0.2727272727272727	0.0818746470920384	-0.09768492377188029	-0.2636928289102202	-0.1067193675889328	0.05928853754940711	0.07171089779785432	0.269339356295878	0.12365894974590627	-0.014116318464144552	-0.09542631281761717	0.13946922642574816	-0.4127611518915867	-0.04912478825522304	-0.21964991530208922	-0.29983060417843027	-0.21964991530208922	-0.13269339356295878	0.19028797289666854	0.14624505928853754	0.20835686053077357	-0.12365894974590627	0.37323546019198195	0.1880293619424054	0.11349520045172219
FUR	0.5607001693958216	0.36984754376058726	0.15866741953698477	0.2896668548842462	0.30660643704121965	0.6668548842461886	1.0	0.6996047430830039	0.6725014116318464	0.4568040654997177	0.665725578769057	0.6804065499717674	0.5990965556182948	0.6070016939582157	0.717673630717109	0.567476002258611	0.427442123094297	0.6092603049124788	0.7086391869000565	0.5189158667419537	0.5957086391869001	0.4500282326369283	0.49181253529079616	0.4059853190287973	0.5742518351214003	0.277244494635799	0.15189158667419536	0.21852060982495766	0.10333145115753811	0.32128740824393	0.2422360248447205	-0.2015810276679842	-0.12027103331451157	0.02766798418972332	-0.07396950875211744	0.003952569169960474	-0.16770186335403728	-0.2365894974590627	0.04912478825522304	0.08977978543195934	-0.11462450592885376	-0.4771315640880858	-0.3551665725578769	-0.2715979672501412	-0.3416149068322981	-0.0818746470920384	-0.2422360248447205	-0.3178994918125353	-0.15640880858272163	-0.33483907396950874	-0.23094297007340486	-0.3958215697346132	-0.25691699604743085	-0.12365894974590627	-0.6126482213438735	-0.4805194805194805	-0.36307171089779783	-0.4590626764539808	0.09090909090909091	0.044607566346696784	0.35064935064935066	0.04009034443817053	0.4398644833427442	0.20948616600790515	0.05815923207227555	-0.13382269904009034	-0.13495200451722192	-0.35742518351214003	0.026538678712591756	0.10333145115753811	0.10784867306606437	-0.10333145115753811	0.1507622811970638	-0.015245623941276116	-0.032185206098249576	-0.09203839638622248	-0.024280067758328628	-0.09542631281761717	-0.18690005646527386	-0.17447769621682666	-0.21964991530208922	0.25804630152456237	0.28514963297571994	0.1767363071710898	-0.16431394692264256	0.2761151891586674	0.2930547713156409	0.17334839073969507
KdgR	0.365330321852061	0.4658385093167702	0.2919254658385093	0.42292490118577075	0.2862789384528515	0.6420101637492942	0.6996047430830039	1.0	0.5663466967814794	0.551665725578769	0.7142857142857143	0.6476566911349521	0.639751552795031	0.7142857142857143	0.7515527950310559	0.5042348955392434	0.5324675324675324	0.6318464144551101	0.6092603049124788	0.4568040654997177	0.5223037831733484	0.37662337662337664	0.2490118577075099	0.6160361377752682	0.6092603049124788	0.15640880858272163	0.29079616036137773	0.391304347826087	0.2636928289102202	0.2648221343873518	0.11688311688311688	-0.14398644833427443	-0.2354601919819311	0.042348955392433656	0.06041784302653868	0.028797289666854884	0.007340485601355167	-0.1293054771315641	0.04912478825522304	0.2727272727272727	0.2354601919819311	-0.13156408808582723	-0.13946922642574816	-0.1767363071710898	-0.44212309429700736	-0.4184076792772445	-0.30321852060982496	-0.2670807453416149	-0.011857707509881422	-0.2862789384528515	-0.33483907396950874	-0.36984754376058726	-0.20948616600790515	-0.1541501976284585	-0.7018633540372671	-0.37210615471485037	-0.5765104460756635	-0.42179559570863917	-0.07396950875211744	0.033314511575381144	0.4850367024280068	0.1281761716544325	0.3416149068322981	0.39808018068887635	0.3201581027667984	-0.019762845849802372	0.033314511575381144	-0.2365894974590627	0.15189158667419536	0.0660643704121965	0.11236589497459062	-0.10107284020327499	-0.043478260869565216	-0.21174477696216826	0.08977978543195934	-0.3608130999435347	-0.07396950875211744	-0.1767363071710898	-0.38114059853190285	-0.4150197628458498	-0.04686617730095991	0.03896103896103896	0.3743647656691135	-0.005081874647092038	-0.000564652738565782	0.04912478825522304	0.23771880293619424	0.14511575381140598
ArgR	0.5979672501411631	0.5900621118012422	0.7052512704686618	0.5844155844155844	0.46922642574816487	0.6374929418407679	0.6725014116318464	0.5663466967814794	1.0	0.7504234895539243	0.7052512704686618	0.6510446075663467	0.7018633540372671	0.6239412761151891	0.7922077922077922	0.5426312817617166	0.5177865612648221	0.5697346132128741	0.47148503670242803	0.5810276679841897	0.5584415584415584	0.5471485036702428	0.5945793337097685	0.37210615471485037	0.40711462450592883	0.37549407114624506	0.35742518351214003	0.23771880293619424	0.09542631281761717	0.18690005646527386	0.2648221343873518	-0.19254658385093168	-0.35290796160361376	-0.14059853190287974	-0.0660643704121965	-0.0942970073404856	-0.49407114624505927	-0.4556747600225861	-0.2919254658385093	-0.1417278373800113	-0.057029926595143984	-0.16996047430830039	-0.14285714285714285	-0.4059853190287973	-0.3495200451722191	-0.21964991530208922	-0.30434782608695654	-0.3642010163749294	-0.24110671936758893	-0.27498588368153587	-0.2738565782044043	-0.054771315640880856	-0.23771880293619424	0.04912478825522304	-0.6589497459062676	-0.5889328063241107	-0.4330886504799548	-0.47261434217955955	-0.0502540937323546	0.18238283455674761	0.37662337662337664	0.25691699604743085	0.47035573122529645	0.17334839073969507	0.10446075663466968	-0.20271033314511575	-0.06380575945793338	0.000564652738565782	-0.10559006211180125	-0.054771315640880856	-0.054771315640880856	0.3382269904009034	0.3551665725578769	0.13608130999435347	0.08752117447769622	-0.07284020327498589	0.14963297571993225	0.23771880293619424	0.009599096555618294	-0.15979672501411632	-0.1767363071710898	-0.057029926595143984	0.044607566346696784	-0.034443817052512704	-0.007340485601355167	0.03670242800677583	0.017504234895539244	0.23094297007340486
ModE	0.4658385093167702	0.5844155844155844	0.7481648785996612	0.7402597402597403	0.6465273856578204	0.44776962168266515	0.4568040654997177	0.551665725578769	0.7504234895539243	1.0	0.7549407114624506	0.7380011293054771	0.6996047430830039	0.7086391869000565	0.7108977978543196	0.5392433653303218	0.6160361377752682	0.7933370976849238	0.5189158667419537	0.5031055900621118	0.5358554488989271	0.5990965556182948	0.49632975719932243	0.36645962732919257	0.3370976849237719	0.22190852625635235	0.34839073969508755	0.3201581027667984	0.2354601919819311	0.13495200451722192	-0.011857707509881422	-0.10784867306606437	-0.28176171654432525	0.04009034443817053	-0.045736871823828344	-0.2964426877470356	-0.3382269904009034	-0.5302089215132694	-0.23094297007340486	-0.21287408243929984	0.05138339920948617	-0.1880293619424054	-0.08639186900056466	-0.18351214003387917	-0.3111236589497459	-0.277244494635799	-0.49858836815358554	-0.44438170525127046	-0.3111236589497459	-0.12704686617730096	-0.3370976849237719	-0.15189158667419536	-0.17786561264822134	-0.04912478825522304	-0.5787690570299266	-0.47600225861095424	-0.2456239412761152	-0.3450028232636928	-0.06380575945793338	0.045736871823828344	0.07058159232072275	0.2919254658385093	0.40146809712027104	0.18125352907961603	0.29983060417843027	0.1225296442687747	0.3416149068322981	-0.015245623941276116	0.018633540372670808	-0.1417278373800113	-0.08977978543195934	0.16092603049124787	0.22077922077922077	0.39920948616600793	0.23207227555053642	-0.055900621118012424	0.03557312252964427	0.18351214003387917	-0.025409373235460192	-0.3619424054206663	-0.15640880858272163	-0.16205533596837945	0.06945228684359118	0.10333145115753811	0.2490118577075099	-0.31225296442687744	0.09881422924901186	0.1507622811970638
