	HutC	RbkR	KdgR	BirA	MetR	Zur	NrtR	NagC	MntR	FUR	SahR_SamR	ModE	ArgR	CzrA	LldR	PdxR	NsrR	IscR	LexA	RutR	Phr	ThiR	HrcA	PsrA	NagQ	NrdR	PhnR	Rex	NadQ	AgaR	SoxR	PhnF	TyrR	NagR	HisR	CueR	XylR	NorR	CblR	PaaR	FnrN_FixK	LiuR	HexR	NtrC	SdaR	TrpR	CcpA	RbsR	AraR	NikR	PhrR	SiaR	GntR	MetJ	FabR	CadR-PbrR	HcpR	FadR	ExuR_UxuR	NiaR	LtbR	NnrR	HypR	PdhR	GlcC	MerR	DasR	AmtR	FruR	Irr	NmlR	PrpR	BioQ	LiuQ	FixJ	GulR	QorR	AcnR	CsoR	GguR	NarP	NifA	PhsR	FadP	PurR	VanR	TtrR	ZntR
HutC	1.0	0.6027413769926436	0.5640473552711479	0.6868971079724286	0.699139205770149	0.7560434059082839	0.677575313700859	0.6883526243330815	0.695361352795843	0.6564517848617027	0.6727405889742318	0.6617152843124076	0.7165868604882933	0.7089940713203017	0.5529872850911551	0.6444646341972178	0.6715423374480256	0.6664271708748395	0.627072604308143	0.5852520036526971	0.6008918514260816	0.5838173466029454	0.5075047165219648	0.5036735564198006	0.5734572221887443	0.621394236340628	0.5017521821156904	0.5810662352652145	0.4979650583365395	0.5129698559780468	0.43221651037634834	0.46213107990970237	0.4437818394203893	0.3177406121512439	0.36846118545781553	0.46193407530674774	0.49785612637961163	0.42003003740769757	0.44069466140703006	0.3883980512768216	0.4030320167245319	0.284873291274782	0.36448632788055496	0.3716480246232577	0.358699027956112	0.3204986765926084	0.4035187339788904	0.32339812080785796	0.3126602110962263	0.31473455368027775	0.24834863788699815	0.3009535022783003	0.3676384015278286	0.29402357565672066	0.3050094793979539	0.3753702527684941	0.38796927655274394	0.29419972094877417	0.39472769328469254	0.3653392419262878	0.2732801498162063	0.2714653897678127	0.29956751695398437	0.4001951504419856	0.28556164853451754	0.3252800941913772	-0.05622974908566687	0.12083567034872132	0.03655941890595232	0.11903249880638388	0.09759608030371157	0.11820739717518576	0.11671711529636446	0.1732690248503924	0.1019162753614455	0.12688718821124456	0.004477798740097622	0.06271004167226778	0.01611961192410919	0.11883085880100681	0.08559965883438171	0.27363939350394706	0.107427768841752	0.23526057914717866	0.20825008923149663	0.1619818199516991	0.20485465695704372	0.16040810082927348
RbkR	0.6027413769926436	1.0	0.678430545447803	0.6972363730757286	0.7098052667442324	0.7360740922723206	0.7059880128493355	0.6719270758490898	0.7656155119106666	0.7014290945668448	0.6861299488715112	0.6732273062285903	0.7254706092309404	0.7698754467369084	0.5554602722835383	0.5923001330360496	0.6628973119301352	0.6655696214266842	0.593862263652419	0.6189027075385549	0.6148351419128452	0.6226434772934812	0.49558709689381686	0.47797952079209755	0.5050363647320042	0.4783225405713597	0.3719910444025198	0.5367911890270753	0.5661031562455094	0.443517621482309	0.447979196313928	0.6672916734266285	0.6068089426183534	0.40854582790604965	0.4775971000922445	0.41042780128956896	0.4563646392961605	0.426918245407475	0.41243261283728344	0.4194598829097348	0.32022982325210564	0.3566640862926515	0.414256643690522	0.33433071742123294	0.44552706843244594	0.3712540154173485	0.29739583091906124	0.2861271676300578	0.24179186116042664	0.3268074592895782	0.4168431982422554	0.30678020312333415	0.3189342282750277	0.2993589238449736	0.37095966736352215	0.3647389573125791	0.31438689849859314	0.22899815047443345	0.31563382175023524	0.28203410729102446	0.263821611173174	0.2034848955412064	0.34395613055147384	0.38924864762134326	0.2999313960441476	0.21446616388001724	-0.04284038918838739	0.13760887401439756	0.016787109872943618	0.18335797822287941	0.1820322531300555	0.19080011681214104	0.033833802281545075	0.24877973031228706	0.02704989083627295	0.18538828448391748	0.030046678502394186	0.17273827127302058	0.13962527406816821	0.13889288048541934	0.07400883507701721	0.19520606681469052	0.11692339070416398	0.07486638452517255	0.1619215597202071	0.22852070402491992	0.08847592603751894	0.19628379787791278
KdgR	0.5640473552711479	0.678430545447803	1.0	0.739615539723081	0.7422693076099401	0.7631796079376632	0.7944871158989668	0.8066318702458154	0.7432311536126008	0.7850355303595682	0.7493800149259958	0.6871659613129314	0.728592552762468	0.7001659474067241	0.5927845325891967	0.6095415123463943	0.6943508350677464	0.6389160574975317	0.665367981421307	0.6271120052287339	0.6167773755278565	0.6757814129633665	0.5522803862217298	0.6429673992147629	0.5619799657907302	0.58356239946971	0.33915848904422635	0.5699065039331389	0.6090895606102044	0.47779642239641035	0.5650277428834984	0.488202900834836	0.45075116696255985	0.4304828698703478	0.5613588218661203	0.4829208597744413	0.5156491185782294	0.43841172571396786	0.3261098312249978	0.3568216899750152	0.2828986098428135	0.4188016557657453	0.4208597744413181	0.4562441188331765	0.4299405277869198	0.48454788602472526	0.3489739536737882	0.42968558065368445	0.3223482021591704	0.36237953747954627	0.34968317024442475	0.317158869147225	0.28237249166786416	0.32294616907166795	0.3392674210011542	0.36830358177545186	0.27209580449726745	0.2689275069415151	0.3488047614853684	0.35334977356059166	0.33351025119245725	0.26139034260259303	0.385779048908131	0.38822885908840177	0.4123885765142701	0.30032076984763434	-0.06082575058753726	0.10090112223092648	0.058151123389777085	0.22034153645048696	0.1384525172552855	0.12383245801484256	0.0851685664090928	0.24393109937839252	0.030690999439116306	0.21664480301857406	0.02459312755236846	0.19530109256435096	0.14097881157552694	0.08832295775757773	0.20033977499756642	0.1320996982353023	0.18440789687156692	0.04207091238625881	0.11459410098687718	0.270111852260454	0.09210544613430614	0.33135247136480156
BirA	0.6868971079724286	0.6972363730757286	0.739615539723081	1.0	0.8099879015996774	0.8310024984819057	0.7822681951133588	0.7719776017354947	0.7919376445666131	0.8121503168297556	0.7947953701600604	0.7477761656878242	0.8223482021591705	0.774534026171482	0.6403738915593957	0.6674261000968799	0.7361065400892779	0.6657898030417511	0.6858889079455432	0.7076637108250553	0.6881278073155921	0.6138362126908048	0.5370971255869579	0.5137856868044	0.6072887067690782	0.5643347502213405	0.5357737181953451	0.6190788528306085	0.6154215203192865	0.5752372167189694	0.5676096620328094	0.6085054999049743	0.5522363498987165	0.5718603260542064	0.5531611126819975	0.46535036689210174	0.5489428964775577	0.5252536723975691	0.47900858012988395	0.38928804854193416	0.31685756798976505	0.39207624309904465	0.42231992620439346	0.3770413153417914	0.48081870477585514	0.3805248202622711	0.32903940555599337	0.37148810323968273	0.33745497865397184	0.4020168635940129	0.4076929138603168	0.4294862583495186	0.3663219472398496	0.32765342023167743	0.34127223254886874	0.4154433067106721	0.36115115583759405	0.26889969452698037	0.33381618775233973	0.42225271286926774	0.3438031622715326	0.24559057344563368	0.3727976044240281	0.4385368815793743	0.3166744695940778	0.3264945696260621	-0.13110540441568436	0.09550319610997028	-0.007606695375259003	0.33635870598105977	0.1934886502171686	0.1519554445119153	0.10443098117563077	0.3101501406844635	0.002829913178912627	0.15291265511215357	-0.030512536445851546	0.13540937556493968	0.12472245527995512	0.11436696626817658	0.09676402556887977	0.17088179260282482	0.13438726933078696	0.036819001441610155	0.09935753322424687	0.21995448034821144	0.1871891383250437	0.2958754189244939
MetR	0.699139205770149	0.7098052667442324	0.7422693076099401	0.8099879015996774	1.0	0.8383287520106057	0.7576124896282871	0.8054938789511011	0.820716540506464	0.7902967121090617	0.8070281971529358	0.7496859514858782	0.8337698337281151	0.7774520119964214	0.6170995359962175	0.7171732388947346	0.7527244577738016	0.7288266405848024	0.6744116515475291	0.7236048597558997	0.6511118012710273	0.6296614765610876	0.6115138760771517	0.5339659112505852	0.6228682943109706	0.621174054725561	0.5452253037347438	0.6552767103476088	0.6055203007449091	0.5703909034862862	0.5708359021188425	0.5317107879720578	0.5613982227867113	0.5021067904010087	0.552391635879869	0.5503335172042961	0.6199549438884536	0.4448479819775554	0.4374545151137296	0.41052282703922943	0.30762616406543336	0.4852640556989955	0.4694781927493035	0.4083488233030951	0.48048032039901545	0.3911561157181861	0.38194557110475547	0.3661620258562747	0.30328510969679834	0.4293425608744223	0.38192007639143194	0.3717337795680732	0.43094872781380517	0.35040165761990627	0.2754402473450733	0.4384627151406149	0.3930519953089727	0.3739054656029963	0.37846438388548703	0.465885755871896	0.3179051689372413	0.30429794512610614	0.3964960993088615	0.4355331408096194	0.33848403799175825	0.3357167027455489	-0.07959681269729432	0.15585845335162773	0.10373567081226157	0.3118119324529159	0.24030389698281657	0.18690637877727354	0.01894488970059936	0.310064385739648	0.07871145083460421	0.035147938868312856	-0.005441962443969574	0.08940764192443366	0.09160945807510279	0.08434346477789469	0.15469960274601238	0.16809591574692556	0.19122193843258503	0.10218512870194826	0.1727475420778655	0.2828244434040541	0.13489252819483524	0.2801080975844918
Zur	0.7560434059082839	0.7360740922723206	0.7631796079376632	0.8310024984819057	0.8383287520106057	1.0	0.8467257834988945	0.8419930376255614	0.8556373446560763	0.8529024572268241	0.8404030945946572	0.8339761091359147	0.8406464532218364	0.8139627591769379	0.7221725204073591	0.8067361668003208	0.8555145064918811	0.8065901516240133	0.8202715418739078	0.7552275750819307	0.7436066212088203	0.7221053070722335	0.6869990868257227	0.6489262090288368	0.7043934344160089	0.6922000083437244	0.5827627925518354	0.6564610556665477	0.6310497795866148	0.5764192443366971	0.6029847356198228	0.5401588088869935	0.48802212014036	0.5137346973777529	0.5768294774510849	0.5404068029165952	0.5992764136818538	0.5168867710250266	0.49674362979822095	0.495990376904571	0.41949001302548083	0.4769643676615785	0.5342046344753419	0.5182171315202729	0.5380775131993084	0.4803783415457213	0.3994882515725603	0.47050956978830116	0.31632449671118196	0.39183288447186543	0.36747384474183126	0.3599158210920081	0.4036902438685214	0.3386810425947129	0.33508860571730537	0.43578113483922104	0.3611696974472839	0.3253125420083344	0.4251359331760387	0.3814194529298061	0.37975997886256496	0.33611534735388054	0.4206604521371523	0.4213186792811418	0.3267240220459739	0.3527633951541503	-0.09092573621778975	0.13937728003856656	0.06588065692923131	0.166814226977115	0.19833728115106314	0.1637363197686007	0.11956093468254446	0.17936226133471778	0.08083678284530271	0.18376125823363354	0.06598958888615915	0.1432756534758565	0.16048690267045534	0.20011495798007703	0.21270934636190442	0.31733501443927853	0.2515632894669751	0.2282912516050081	0.25044847518437313	0.2540223704520908	0.22351678710987294	0.2641321831354789
NrtR	0.677575313700859	0.7059880128493355	0.7944871158989668	0.7822681951133588	0.7576124896282871	0.8467257834988945	1.0	0.8077096013090377	0.7998224640872197	0.8240957488724384	0.8181879284850114	0.7805762732291603	0.7818000194686902	0.7965405991721172	0.7503441786298678	0.6884638739912206	0.8194719349560332	0.776874904394825	0.7839044921684876	0.7584885806861322	0.7491018907806481	0.7446101858332831	0.583080317617774	0.6093839086640307	0.6425363067894739	0.6234639435222569	0.5013859853243159	0.6331982886094256	0.6071241499830807	0.55107518159189	0.5954916076039142	0.5968845460318638	0.5058730548692585	0.4821884661916924	0.5637808196318563	0.4471100583597165	0.5249407827340531	0.4709939693414484	0.45287418127204715	0.4343766079052153	0.44506352819019984	0.43556095322415417	0.46895670997677663	0.5021044726997974	0.5433873666742378	0.5134820679457287	0.3918444729779216	0.44692695996402926	0.4712767288892185	0.37661717602013617	0.3673718658885371	0.4042743045737516	0.3350422516930807	0.2549123677172034	0.4090881699894776	0.3836282221841089	0.40724559752654926	0.2963575007764299	0.4990474248021842	0.34066963023394875	0.37413260032169693	0.3077142367114601	0.3845274902540664	0.45914819845084853	0.357804395288577	0.3107457898957498	-0.06123134829950262	0.14268463966699269	-0.00578498222323171	0.1994775901469886	0.12288915362187168	0.1648534517524139	0.1275709100685576	0.20030269177818671	0.05121192596335251	0.2233452772202419	0.0720341536450487	0.10038195715961082	0.1854068260936073	0.18558065368444962	0.228571693451567	0.24728017762862084	0.20348026013878395	0.10070875303039434	0.1958550231538351	0.2653420231677413	0.14322698175042067	0.29338852552484346
NagC	0.6883526243330815	0.6719270758490898	0.8066318702458154	0.7719776017354947	0.8054938789511011	0.8419930376255614	0.8077096013090377	1.0	0.8033870885500924	0.7756187103383381	0.7939517269191725	0.7444456290472857	0.755139502435904	0.7312718153626507	0.6740338662500985	0.6795314535231376	0.78647018740932	0.676469770223102	0.7136248383403405	0.6718876749284989	0.6977740797567341	0.7001589943030905	0.5967431662579787	0.6098659905159667	0.6363735392688116	0.6450672365121378	0.5393545665666964	0.6332701373469738	0.6334486003402385	0.5635699088216344	0.5828624537039183	0.5460643115732092	0.49780977235538704	0.4388010995174546	0.5711835573005271	0.5232998502765017	0.5363438726933079	0.4206581344359411	0.4340382235283756	0.4510431973151749	0.3524597762954791	0.4253167138705147	0.44730474526145986	0.46425641192040085	0.4984865411090664	0.41879933806453407	0.38832620253927347	0.42939586800228063	0.33147994493141925	0.39416449189036346	0.3635476588900065	0.3695991767525298	0.3672861109437216	0.3507748075149144	0.32944732096916995	0.3830487968813012	0.3510853794772193	0.2972938520657671	0.4014490267972614	0.4026959500489035	0.2901136137133745	0.31406937343265456	0.39075978881106566	0.4163889288048542	0.34724031316778764	0.33304671095021116	-0.08161553045227621	0.14800376394676704	0.05846401305329322	0.2225989774302256	0.18725635166016938	0.15514460137856867	0.07320227505550894	0.16382902781704994	0.021746990464977217	0.21497605814648799	-0.04067333855588673	0.10798169943123612	0.14287005576389114	0.09763779892551372	0.20624527768378212	0.23844510061140958	0.16997557142923364	0.17081457926769913	0.1725667613833895	0.35988105557383965	0.13385883345462637	0.336300763450779
MntR	0.695361352795843	0.7656155119106666	0.7432311536126008	0.7919376445666131	0.820716540506464	0.8556373446560763	0.7998224640872197	0.8033870885500924	1.0	0.8116496933681298	0.8160417371634119	0.7850077179450334	0.8090585034139739	0.8157497068107967	0.6795708544437286	0.6952871863570836	0.8269789691792093	0.7561407493591557	0.7261149301676625	0.7301106470558242	0.7197713819525242	0.7393559571874232	0.5736495913892765	0.6117247868873736	0.639984517755909	0.6098057302844746	0.5597410664206813	0.6327185244587009	0.638990223936291	0.5060700594722131	0.5949121823011064	0.5550036851449258	0.6007412008473516	0.508781769889353	0.533812942970644	0.5058243831438226	0.5519698142594249	0.4630094886687588	0.382121716396809	0.453094362887114	0.35981615993992516	0.45588487514543574	0.46884546031863755	0.48635569296948516	0.5433711427657593	0.4814722965174222	0.36881579374313384	0.42107300295275135	0.2960840120335047	0.4192837376176813	0.4511984832963274	0.41229586846582084	0.3730293745451511	0.2795495315925852	0.30847444270874375	0.38511850406293024	0.3687949344322327	0.28403428343631654	0.4084855676745577	0.3766681654467833	0.3286291724416055	0.2572509282393351	0.39078991892681164	0.41963371050057713	0.3288725310687847	0.31012464597114	-0.10543454580009363	0.08668202530002642	0.05790544706138664	0.2482003050094794	0.2669481901071242	0.13280891480593887	0.10167291673426629	0.23010832935461292	0.03505523081986363	0.19080938761698596	0.01824030853238524	0.1463303836722585	0.13207420352197877	0.13654736685965393	0.16272116663808167	0.2801915348280961	0.18499427527800827	0.16396345448730132	0.19823298459655775	0.3021471184020841	0.2139933528329262	0.25127125911436
FUR	0.6564517848617027	0.7014290945668448	0.7850355303595682	0.8121503168297556	0.7902967121090617	0.8529024572268241	0.8240957488724384	0.7756187103383381	0.8116496933681298	1.0	0.8258386601832838	0.7871956278884351	0.8067408022027432	0.798508327500452	0.6647955092221332	0.7294987739360592	0.7896384849650723	0.72042265599288	0.7523883910981732	0.7255401402672773	0.6728078023093574	0.6704205700617899	0.6215866055411601	0.6285304383700071	0.6640445740296944	0.6570126685548205	0.5232280015389537	0.6571053766032698	0.6605170327862013	0.5562830562135251	0.5795226462585349	0.5262896848389893	0.48273776137875407	0.5207364727368806	0.5346867163272779	0.4764243432793618	0.5829968803741696	0.4577645308277438	0.42143456434170334	0.4665277591074069	0.39179580125248575	0.4443728532292531	0.4730822181327672	0.4793423291043012	0.5071593790414914	0.45588719284664697	0.3572736417112052	0.4430193157218944	0.3321265835693526	0.4160806745437605	0.38568865856089296	0.3658723132048709	0.35015134588909336	0.2971663784991494	0.3365139919622122	0.41661142812113233	0.35036225669931537	0.31238904005451235	0.4194969661291145	0.3871302687142784	0.38360040976957416	0.2930941774710171	0.4387987818162434	0.4239376816498324	0.35211907421742816	0.38120390671716164	-0.12598792014128707	0.07198779962082408	0.037850378480607794	0.2446333628453954	0.23260681126031957	0.20925597155717074	0.11122879882817027	0.2326856131015014	0.09708618603724083	0.20976354812243025	0.023406464532218365	0.08561124734043786	0.13804691954332016	0.11720846795314535	0.1797215050224585	0.2561778325785353	0.1528709364903514	0.0694707761054276	0.213358302701049	0.24495320561254524	0.18474396354719536	0.28073851231394653
