	AgaR	Rex	Irr	SiaR	IscR	ModE	AraR	PhrR	GulR	XylR	MetR	FUR	NadQ	NsrR	SahR_SamR	CzrA	RbkR	BirA	KdgR	NagC	MntR	ThiR	NrtR	Phr	ArgR	Zur	NorR	HypR	TrpR	LldR	HutC	NagR	PhnF	NarP	NrdR	HexR	HisR	NiaR	CcpA	TyrR	LiuQ	SoxR	PurR	CadR-PbrR	QorR	TtrR	SdaR	PhnR	CsoR	ZntR	LexA	DasR	BioQ	HcpR	MerR	CueR	NtrC	NifA	NmlR	AcnR	LiuR	NnrR	FadP	RbsR	FruR	PaaR	GntR	HrcA	FixJ	GlcC	RutR	FnrN_FixK	FadR	PdxR	PsrA	FabR	NagQ	PhsR	ExuR_UxuR	PrpR	MetJ	PdhR	VanR	NikR	LtbR	GguR	AmtR	CblR
AgaR	1.0	0.6533032185206098	0.6589497459062676	0.7244494635798984	0.5053642010163749	0.5087521174477696	0.6103896103896104	0.5110107284020328	0.743647656691135	0.6047430830039525	0.8159232072275551	0.7786561264822134	0.6849237718802936	0.7447769621682665	0.7221908526256352	0.6973461321287409	0.611518915866742	0.6804065499717674	0.6442687747035574	0.6905702992659515	0.629587803500847	0.6126482213438735	0.6103896103896104	0.6442687747035574	0.6668548842461886	0.6939582156973462	-0.017504234895539244	-0.032185206098249576	-0.0016939582156973462	-0.011857707509881422	0.35064935064935066	0.3879164313946923	0.251270468661773	0.13495200451722192	0.21964991530208922	0.18125352907961603	0.22416713721061546	0.3551665725578769	0.21964991530208922	0.38114059853190285	-0.44889892715979673	-0.42857142857142855	-0.453416149068323	-0.6024844720496895	-0.37888198757763975	-0.12027103331451157	-0.4647092038396386	-0.409373235460192	-0.48616600790513836	-0.35968379446640314	-0.14285714285714285	-0.7188029361942405	-0.6171654432523997	-0.5923207227555054	-0.5561829474872954	-0.7470355731225297	-0.8170525127046866	-0.5290796160361377	-0.32919254658385094	-0.5132693393562959	-0.44889892715979673	-0.5889328063241107	-0.44212309429700736	-0.5042348955392434	-0.3585544889892716	-0.37323546019198195	-0.8701298701298701	-0.735742518351214	-0.47600225861095424	-0.5313382269904009	-0.29757199322416716	-0.5053642010163749	-0.3551665725578769	-0.6352343308865048	-0.012987012987012988	-0.3246753246753247	-0.2795031055900621	-0.3845285149632976	-0.19480519480519481	-0.17221908526256352	-0.1541501976284585	-0.029926595143986448	-0.017504234895539244	0.25352907961603616	-0.028797289666854884	0.04009034443817053	0.011857707509881422	0.16431394692264256
Rex	0.6533032185206098	1.0	0.7944664031620553	0.691699604743083	0.6341050254093732	0.4116318464144551	0.6612083568605308	0.6137775268210051	0.4432523997741389	0.5708639186900056	0.7165443252399775	0.7255787690570299	0.6725014116318464	0.6928289102202145	0.6804065499717674	0.6329757199322417	0.6070016939582157	0.769621682665161	0.8565782044042913	0.7967250141163185	0.7639751552795031	0.7515527950310559	0.771880293619424	0.7628458498023716	0.7221908526256352	0.6939582156973462	-0.04799548277809147	0.029926595143986448	0.12140033879164314	0.4647092038396386	0.32919254658385094	0.20835686053077357	0.14624505928853754	0.33032185206098247	0.38226990400903443	0.4308300395256917	0.5290796160361377	0.30999435347261434	0.12478825522303783	0.17786561264822134	-0.4805194805194805	-0.41727837380011296	-0.35403726708074534	-0.3675889328063241	-0.05928853754940711	-0.018633540372670808	-0.19254658385093168	-0.45115753811405984	-0.5031055900621118	-0.3145115753811406	-0.032185206098249576	-0.7843026538678712	-0.5979672501411631	-0.5787690570299266	-0.6239412761151891	-0.6860530773574252	-0.7063805759457933	-0.44212309429700736	-0.2388481084133258	-0.4805194805194805	-0.577639751552795	-0.5358554488989271	-0.5098814229249012	-0.4590626764539808	-0.46922642574816487	-0.42857142857142855	-0.5403726708074534	-0.5629587803500847	-0.5607001693958216	-0.6250705815923208	-0.5019762845849802	-0.823828345567476	-0.6612083568605308	-0.6962168266516092	0.23997741389045738	-0.1767363071710898	-0.011857707509881422	-0.15979672501411632	-0.30660643704121965	-0.46696781479390176	-0.10897797854319594	-0.03896103896103896	-0.32580463015245625	0.35403726708074534	-0.3879164313946923	-0.15979672501411632	0.05815923207227555	-0.044607566346696784
Irr	0.6589497459062676	0.7944664031620553	1.0	0.8215697346132129	0.6634669678147939	0.6725014116318464	0.7413890457368718	0.6634669678147939	0.6612083568605308	0.6533032185206098	0.8068887634105025	0.8351214003387917	0.8272162619988707	0.805759457933371	0.7933370976849238	0.7086391869000565	0.7391304347826086	0.7526821005081875	0.7933370976849238	0.8046301524562394	0.8147939017504235	0.8114059853190287	0.8249576510446076	0.7922077922077922	0.7639751552795031	0.7684923771880293	0.10107284020327499	0.09316770186335403	0.24449463579898362	0.36984754376058726	0.3867871259175607	0.25804630152456237	0.15640880858272163	0.32806324110671936	0.42631281761716544	0.48616600790513836	0.47261434217955955	0.37662337662337664	0.21287408243929984	0.3709768492377188	-0.4850367024280068	-0.2930547713156409	-0.6374929418407679	-0.4161490683229814	-0.32241671372106157	-0.25917560700169395	-0.07961603613777526	-0.4568040654997177	-0.39469226425748166	-0.18125352907961603	-0.3551665725578769	-0.7165443252399775	-0.6792772444946358	-0.629587803500847	-0.7820440429136082	-0.8226990400903444	-0.7312252964426877	-0.6408808582721626	-0.435347261434218	-0.7210615471485037	-0.6702428006775832	-0.6476566911349521	-0.5957086391869001	-0.585544889892716	-0.5200451722190853	-0.47261434217955955	-0.6103896103896104	-0.4613212874082439	-0.6939582156973462	-0.6871823828345568	-0.39920948616600793	-0.6408808582721626	-0.5527950310559007	-0.5539243365330322	0.17447769621682666	-0.2761151891586674	0.04009034443817053	-0.09768492377188029	-0.1383399209486166	-0.40711462450592883	0.03557312252964427	0.1259175607001694	0.03896103896103896	0.043478260869565216	-0.21739130434782608	-0.19480519480519481	0.053642010163749296	0.10220214568040654
SiaR	0.7244494635798984	0.691699604743083	0.8215697346132129	1.0	0.5810276679841897	0.6329757199322417	0.6770186335403726	0.6239412761151891	0.7549407114624506	0.6702428006775832	0.7741389045736872	0.8475437605872389	0.8181818181818182	0.8204404291360813	0.8114059853190287	0.6905702992659515	0.6962168266516092	0.7639751552795031	0.7809147374364765	0.7854319593450029	0.8012422360248447	0.7854319593450029	0.7470355731225297	0.7763975155279503	0.7504234895539243	0.7425183512140033	0.1857707509881423	0.15527950310559005	0.30095990965556185	0.24449463579898362	0.4138904573687182	0.33483907396950874	0.10107284020327499	0.30999435347261434	0.2930547713156409	0.40033879164313946	0.4127611518915867	0.2761151891586674	0.15640880858272163	0.3890457368718238	-0.5369847543760587	-0.43873517786561267	-0.6408808582721626	-0.44889892715979673	-0.4624505928853755	-0.13721061547148503	-0.16205533596837945	-0.41727837380011296	-0.3675889328063241	-0.11575381140598531	-0.4342179559570864	-0.7560700169395822	-0.6679841897233202	-0.6024844720496895	-0.7854319593450029	-0.769621682665161	-0.7967250141163185	-0.5798983625070582	-0.3585544889892716	-0.7312252964426877	-0.6013551665725578	-0.6250705815923208	-0.5821569734613213	-0.45115753811405984	-0.6194240542066629	-0.3619424054206663	-0.6612083568605308	-0.5832862789384529	-0.49407114624505927	-0.5719932241671372	-0.34839073969508755	-0.5584415584415584	-0.37888198757763975	-0.5584415584415584	-0.08300395256916997	-0.28402032749858835	-0.019762845849802372	-0.22077922077922077	-0.06945228684359118	-0.24110671936758893	0.042348955392433656	0.009599096555618294	-0.055900621118012424	0.0220214568040655	-0.031055900621118012	0.033314511575381144	0.09316770186335403	0.0016939582156973462
IscR	0.5053642010163749	0.6341050254093732	0.6634669678147939	0.5810276679841897	1.0	0.5878035008469791	0.6837944664031621	0.7741389045736872	0.6725014116318464	0.7086391869000565	0.7154150197628458	0.7775268210050819	0.7108977978543196	0.6996047430830039	0.6984754376058724	0.5765104460756635	0.5923207227555054	0.7346132128740824	0.7391304347826086	0.7233201581027668	0.8012422360248447	0.7673630717108978	0.7876905702992659	0.7763975155279503	0.7504234895539243	0.769621682665161	0.3901750423489554	0.20383963862224733	0.2964426877470356	0.30434782608695654	0.3619424054206663	0.3359683794466403	0.14511575381140598	0.567476002258611	0.5753811405985318	0.5686053077357425	0.6126482213438735	0.5550536420101637	0.5471485036702428	0.49181253529079616	-0.10333145115753811	-0.15302089215132694	-0.4647092038396386	-0.339356295878035	-0.22755505364201017	-0.02766798418972332	-0.21626199887069453	-0.07396950875211744	-0.3269339356295878	-0.08300395256916997	-0.2919254658385093	-0.48955392433653305	-0.5448898927159797	-0.5324675324675324	-0.7346132128740824	-0.7029926595143986	-0.6171654432523997	-0.6533032185206098	-0.6182947487295314	-0.6713721061547149	-0.6894409937888198	-0.7504234895539243	-0.7628458498023716	-0.6476566911349521	-0.7899491812535291	-0.5403726708074534	-0.43195934500282324	-0.5471485036702428	-0.5731225296442688	-0.6510446075663467	-0.4116318464144551	-0.7199322416713722	-0.4342179559570864	-0.37549407114624506	0.3642010163749294	-0.18012422360248448	0.25804630152456237	0.16996047430830039	0.032185206098249576	-0.034443817052512704	0.03670242800677583	0.09203839638622248	0.21626199887069453	-0.006211180124223602	-0.49632975719932243	-0.37549407114624506	0.043478260869565216	-0.1225296442687747
ModE	0.5087521174477696	0.4116318464144551	0.6725014116318464	0.6329757199322417	0.5878035008469791	1.0	0.8712591756070017	0.8181818181818182	0.7504234895539243	0.7594579333709769	0.7052512704686618	0.8170525127046866	0.8452851496329757	0.83399209486166	0.8102766798418972	0.8023715415019763	0.8543195934500283	0.7255787690570299	0.6826651609260305	0.6905702992659515	0.7684923771880293	0.7684923771880293	0.805759457933371	0.7933370976849238	0.8441558441558441	0.8362507058159232	0.42066629023150764	0.37888198757763975	0.4138904573687182	0.339356295878035	0.6544325239977414	0.5945793337097685	0.5403726708074534	0.4398644833427442	0.6453980801806889	0.6578204404291361	0.5392433653303218	0.6578204404291361	0.43195934500282324	0.603613777526821	-0.4116318464144551	-0.46357989836250707	-0.6713721061547149	-0.37775268210050816	-0.37210615471485037	-0.17786561264822134	-0.2761151891586674	-0.14285714285714285	-0.053642010163749296	-0.09203839638622248	-0.7560700169395822	-0.551665725578769	-0.7662337662337663	-0.7108977978543196	-0.849802371541502	-0.7831733483907397	-0.7707509881422925	-0.7334839073969509	-0.7651044607566346	-0.8588368153585545	-0.8802936194240542	-0.9062676453980801	-0.8543195934500283	-0.8723884810841332	-0.6849237718802936	-0.7786561264822134	-0.6702428006775832	-0.4082439299830604	-0.5697346132128741	-0.6205533596837944	-0.52343308865048	-0.40146809712027104	-0.3845285149632976	-0.3743647656691135	0.006211180124223602	0.020892151326933936	0.16883116883116883	0.06154714850367024	0.20722755505364202	0.17786561264822134	0.014116318464144552	0.42066629023150764	0.35968379446640314	0.00846979107848673	-0.19254658385093168	-0.07509881422924901	-0.22981366459627328	0.043478260869565216
AraR	0.6103896103896104	0.6612083568605308	0.7413890457368718	0.6770186335403726	0.6837944664031621	0.8712591756070017	1.0	0.8802936194240542	0.6984754376058724	0.7199322416713722	0.7831733483907397	0.8915866741953699	0.8904573687182383	0.9085262563523433	0.9040090344438171	0.867871259175607	0.859966120835686	0.8385093167701864	0.8452851496329757	0.831733483907397	0.8667419536984754	0.8893280632411067	0.9085262563523433	0.8633540372670807	0.9254658385093167	0.9062676453980801	0.41953698475437606	0.4116318464144551	0.40033879164313946	0.4330886504799548	0.7221908526256352	0.6487859966120836	0.5381140598531903	0.49407114624505927	0.7007340485601355	0.6261998870694523	0.6216826651609261	0.5189158667419537	0.4601919819311124	0.49407114624505927	-0.5053642010163749	-0.5019762845849802	-0.5381140598531903	-0.3450028232636928	-0.32806324110671936	-0.13495200451722192	-0.16770186335403728	-0.21287408243929984	-0.09994353472614342	-0.07622811970638058	-0.6465273856578204	-0.7605872388481084	-0.8972332015810277	-0.8091473743647657	-0.8147939017504235	-0.859966120835686	-0.8735177865612648	-0.6984754376058724	-0.6239412761151891	-0.8475437605872389	-0.8904573687182383	-0.8972332015810277	-0.8667419536984754	-0.8385093167701864	-0.7346132128740824	-0.8690005646527386	-0.6070016939582157	-0.5369847543760587	-0.5426312817617166	-0.6770186335403726	-0.639751552795031	-0.6442687747035574	-0.5369847543760587	-0.5686053077357425	0.09768492377188029	0.05815923207227555	0.17108977978543197	0.08526256352343309	0.043478260869565216	-0.09542631281761717	0.07622811970638058	0.24449463579898362	0.1507622811970638	0.17786561264822134	-0.339356295878035	-0.22755505364201017	-0.19593450028232637	-0.1383399209486166
PhrR	0.5110107284020328	0.6137775268210051	0.6634669678147939	0.6239412761151891	0.7741389045736872	0.8181818181818182	0.8802936194240542	1.0	0.7244494635798984	0.7120271033314511	0.7120271033314511	0.83399209486166	0.8080180688876341	0.8091473743647657	0.7967250141163185	0.771880293619424	0.771880293619424	0.8035008469791078	0.7481648785996612	0.7425183512140033	0.805759457933371	0.79785431959345	0.841897233201581	0.8181818181818182	0.8644833427442123	0.8757763975155279	0.5087521174477696	0.35742518351214003	0.4059853190287973	0.3382269904009034	0.5979672501411631	0.5245623941276115	0.46809712027103334	0.6363636363636364	0.7108977978543196	0.709768492377188	0.6871823828345568	0.7526821005081875	0.5584415584415584	0.47600225861095424	-0.3145115753811406	-0.42518351214003386	-0.4398644833427442	-0.3800112930547713	-0.22529644268774704	-0.033314511575381144	-0.13156408808582723	-0.003952569169960474	-0.20609824957651043	-0.0502540937323546	-0.5810276679841897	-0.5810276679841897	-0.7492941840767928	-0.6092603049124788	-0.7481648785996612	-0.8294748729531338	-0.7967250141163185	-0.7154150197628458	-0.769621682665161	-0.7809147374364765	-0.8509316770186336	-0.8994918125352908	-0.9028797289666854	-0.8520609824957651	-0.8215697346132129	-0.7278373800112931	-0.5347261434217956	-0.6149068322981367	-0.6386222473178995	-0.7684923771880293	-0.5934500282326369	-0.6318464144551101	-0.5189158667419537	-0.6013551665725578	0.28176171654432525	0.020892151326933936	0.30095990965556185	0.15753811405985318	0.11801242236024845	0.12027103331451157	0.05251270468661773	0.27498588368153587	0.14511575381140598	-0.007340485601355167	-0.5347261434217956	-0.26030491247882553	-0.19367588932806323	-0.12140033879164314
GulR	0.743647656691135	0.4432523997741389	0.6612083568605308	0.7549407114624506	0.6725014116318464	0.7504234895539243	0.6984754376058724	0.7244494635798984	1.0	0.7843026538678712	0.8656126482213439	0.8769057029926595	0.8452851496329757	0.8509316770186336	0.8441558441558441	0.8294748729531338	0.779785431959345	0.7605872388481084	0.6329757199322417	0.6905702992659515	0.7673630717108978	0.7391304347826086	0.7425183512140033	0.7560700169395822	0.7831733483907397	0.8260869565217391	0.2738565782044043	0.10107284020327499	0.25804630152456237	0.08865047995482778	0.4850367024280068	0.5324675324675324	0.46809712027103334	0.3359683794466403	0.46809712027103334	0.36307171089779783	0.4658385093167702	0.5381140598531903	0.33145115753811405	0.48842461885940147	-0.2930547713156409	-0.37323546019198195	-0.6860530773574252	-0.6476566911349521	-0.5607001693958216	-0.20496894409937888	-0.4432523997741389	-0.26595143986448333	-0.3404856013551666	-0.1293054771315641	-0.541501976284585	-0.5607001693958216	-0.7210615471485037	-0.6521739130434783	-0.753811405985319	-0.8520609824957651	-0.8193111236589498	-0.7007340485601355	-0.5742518351214003	-0.7922077922077922	-0.7278373800112931	-0.8125352907961604	-0.6871823828345568	-0.7075098814229249	-0.6544325239977414	-0.4816487859966121	-0.7673630717108978	-0.7063805759457933	-0.567476002258611	-0.49745906267645396	-0.2422360248447205	-0.4105025409373235	-0.30773574251835123	-0.48955392433653305	0.055900621118012424	-0.21287408243929984	-0.09542631281761717	-0.19028797289666854	-0.00282326369282891	0.06380575945793338	0.08977978543195934	0.19706380575945792	0.2682100508187465	0.024280067758328628	-0.028797289666854884	-0.03896103896103896	0.033314511575381144	0.054771315640880856
XylR	0.6047430830039525	0.5708639186900056	0.6533032185206098	0.6702428006775832	0.7086391869000565	0.7594579333709769	0.7199322416713722	0.7120271033314511	0.7843026538678712	1.0	0.7888198757763976	0.8068887634105025	0.8170525127046866	0.8125352907961604	0.7933370976849238	0.7673630717108978	0.7752682100508187	0.8565782044042913	0.7560700169395822	0.7854319593450029	0.8531902879728966	0.7809147374364765	0.8407679277244494	0.8464144551101073	0.8712591756070017	0.8554488989271598	0.13495200451722192	0.14737436476566912	0.34839073969508755	0.2930547713156409	0.6149068322981367	0.4364765669113495	0.4398644833427442	0.3901750423489554	0.44212309429700736	0.4906832298136646	0.5708639186900056	0.5798983625070582	0.3438735177865613	0.3585544889892716	-0.29757199322416716	-0.3201581027667984	-0.7018633540372671	-0.5923207227555054	-0.47261434217955955	-0.06041784302653868	-0.4624505928853755	-0.36645962732919257	-0.3845285149632976	-0.20948616600790515	-0.4658385093167702	-0.5403726708074534	-0.6679841897233202	-0.6047430830039525	-0.8509316770186336	-0.7549407114624506	-0.7391304347826086	-0.735742518351214	-0.5753811405985318	-0.7865612648221344	-0.8486730660643704	-0.8554488989271598	-0.7899491812535291	-0.7933370976849238	-0.6205533596837944	-0.5369847543760587	-0.7233201581027668	-0.44212309429700736	-0.4850367024280068	-0.5539243365330322	-0.3404856013551666	-0.5166572557876906	-0.4138904573687182	-0.391304347826087	0.08752117447769622	-0.19367588932806323	-0.0818746470920384	-0.12478825522303783	-0.015245623941276116	-0.055900621118012424	-0.28514963297571994	0.2862789384528515	0.12478825522303783	0.2896668548842462	-0.3111236589497459	-0.15640880858272163	0.0660643704121965	0.017504234895539244
