	MerR	LtbR	RutR	GguR	PhsR	PurR	QorR	PdhR	PrpR	HypR	NnrR	CsoR	AcnR	NagQ	PhnF	IscR	RbkR	LexA	NtrC	LiuR	FnrN_FixK	SdaR	AmtR	NiaR	CblR	NifA	CcpA	RbsR	AraR	LiuQ	FixJ	BioQ	FadP	CueR	GntR	GulR	PaaR	NorR	SoxR	TrpR	PdxR	Phr	NikR	LldR	NrtR	HexR	HrcA	NsrR	NadQ	CzrA	HutC	AgaR	NagR	HisR	KdgR	SahR_SamR	ArgR	ModE	NarP	Zur	CadR-PbrR	HcpR	SiaR	FruR	Irr	TtrR	FadR	Rex	MetJ	DasR	NmlR	ExuR_UxuR	PhrR	TyrR	FabR	ThiR	PsrA	VanR	ZntR	MetR	XylR	NrdR	BirA	MntR	FUR	NagC	GlcC	PhnR
Depth.Min.O2	0.2964426877470356	0.3178994918125353	0.057029926595143984	-0.12478825522303783	0.005081874647092038	-0.031055900621118012	-0.1067193675889328	-0.005081874647092038	-0.21964991530208922	-0.43873517786561267	-0.16205533596837945	-0.30547713156408807	0.03896103896103896	0.19254658385093168	-0.12365894974590627	-0.11801242236024845	-0.08074534161490683	0.19028797289666854	-0.04799548277809147	-0.04121964991530209	0.2930547713156409	0.27837380011293056	0.18012422360248448	0.42292490118577075	0.007340485601355167	-0.055900621118012424	0.35403726708074534	0.4624505928853755	0.33145115753811405	0.5347261434217956	0.10559006211180125	0.029926595143986448	0.1101072840203275	-0.15302089215132694	-0.25691699604743085	-0.04686617730095991	0.15753811405985318	-0.020892151326933936	0.2478825522303783	0.40711462450592883	0.25917560700169395	0.08526256352343309	0.20609824957651043	0.13946922642574816	0.0502540937323546	0.16883116883116883	0.005081874647092038	0.03557312252964427	0.20271033314511575	0.03670242800677583	0.3201581027667984	0.4342179559570864	0.1417278373800113	0.19480519480519481	0.33145115753811405	0.14624505928853754	0.23094297007340486	0.2727272727272727	0.3461321287408244	0.3461321287408244	0.09655561829474874	-0.1383399209486166	0.08639186900056466	0.28402032749858835	0.11688311688311688	0.3958215697346132	0.032185206098249576	0.2015810276679842	-0.10333145115753811	-0.19254658385093168	-0.043478260869565216	-0.2140033879164314	0.03896103896103896	-0.0220214568040655	0.49294184076792774	0.30434782608695654	0.47148503670242803	0.3856578204404291	0.32580463015245625	0.32806324110671936	0.18238283455674761	0.018633540372670808	0.32241671372106157	0.2422360248447205	0.28176171654432525	0.42631281761716544	0.0942970073404856	0.04912478825522304
Residence.time	-0.17227351828332385	0.3288262592328083	0.6216257370755679	-0.41070530784655535	-0.05502272066843804	-0.1323165425598153	0.017030842111659394	0.3222759353437085	0.13297157494872527	0.0897394372806668	0.07729382189137725	0.13886686644891505	-0.1768587450056937	-0.026856327945309042	0.0504374939460682	0.24563714584124124	0.08318911339156704	0.16113796767185426	0.1179058300037958	0.06550323889099767	0.13821183406000506	0.2050251377288227	-0.06288310933535776	-0.054367688279528065	0.08187904861374708	0.25153243734143105	-0.2443270810634213	-0.2620129555639907	-0.29017934828711966	-0.032096587056588854	-0.032096587056588854	-0.03995697572350858	-0.11528570044815589	0.2973847045651294	0.24236198389669136	0.2495673401747011	0.24105191911887142	0.26725321467527047	-0.012445615389289557	0.14214202839346493	0.005240259111279813	0.16048293528294427	0.11004544133687608	0.33275645356626815	0.1631030648385842	0.15262254661602456	0.14214202839346493	0.2358116600075916	-0.11725079761488583	-0.08384414578047701	0.196509716672993	0.2639780527307206	0.13886686644891505	-0.0196509716672993	0.15131248183820462	0.0786038866691972	0.09235956683630671	0.26528811750854053	0.36681813778958694	0.24236198389669136	0.04978246155715823	0.40808517829091545	0.3989147248461758	-0.15196751422711458	-0.028821425112038973	0.12707628344853547	0.10873537655905613	0.11528570044815589	0.11528570044815589	0.35240742523356744	0.20895533206228256	0.5142004252943316	0.2017499757842728	0.17227351828332385	0.05174755872388816	0.14738228750474475	-0.12380112150398559	0.051092526334978176	0.17816880978351365	0.2790437976756501	0.3746785264565067	-0.03733684616786867	0.04061200811241855	0.32686116206607835	-0.017030842111659394	0.17882384217242364	0.47817364390428296	0.44673208923660407
Depth.Max.O2	0.09617392982745661	0.23585511362447695	0.3938551411981557	-0.18547829323866633	0.21123916729959222	0.17173916040617251	-0.5020508122540444	0.18089858229450173	-0.14139857540108206	0.16028988304576103	0.14139857540108206	0.09789132143151834	-0.010876813492390926	0.042362326233522554	-0.24673192711686787	0.030913048873111054	-0.10304349624370351	0.16200727464982276	0.04751450104570773	0.05381160359393406	-0.05896377840611924	-0.0005724638680205751	0.16830437719804908	0.2484493187209296	0.11964494841630019	0.23356525815239462	0.24272468004072384	0.05037682038581061	-0.3291667241118307	-0.18433336550262516	-0.13681886445691743	0.09273914661933316	-0.07499276671069534	0.16944930493409022	0.13681886445691743	0.3566449897768183	0.023471018588843578	0.09273914661933316	0.21352902277167451	0.05094928425383118	0.21066670343157162	0.3291667241118307	0.019463771512699554	0.08128986925892166	0.16944930493409022	0.042362326233522554	0.2524565657970736	0.1768913352183577	0.023471018588843578	-0.08128986925892166	0.11678262907619731	0.2827971508021641	0.41389137657887576	0.23471018588843579	0.3400435376042216	0.20150728154324243	0.3858406470458676	0.3875580386499293	0.5352537165992377	0.39614499667023795	-0.008586958020308627	0.19063046805085151	0.17803626295439884	0.02576087406092588	0.3600797729849417	0.20551452861938646	-0.021181163116761277	0.2827971508021641	-0.048659428781748885	-0.19864496220313954	0.12594205096452651	0.1740290158782548	0.03892754302539911	-0.018891307644678976	0.1150652374721356	0.1242246593604648	0.1305217619086911	0.3761087612895178	0.5043406677261266	0.3749638335534767	-0.030913048873111054	0.08815943567516857	0.3257319409037072	0.2301304749442712	0.13510147285285573	0.3749638335534767	0.1288043703046294	0.3721015142133738
Alkalinity.total	0.06470588235294118	-0.03529411764705882	-0.22058823529411764	0.07647058823529412	-0.35294117647058826	-0.5529411764705883	0.11764705882352941	0.16176470588235295	0.22058823529411764	-0.06764705882352941	-0.22647058823529412	-0.3264705882352941	-0.09117647058823529	-0.25882352941176473	0.25	0.1411764705882353	-0.13823529411764707	0.2088235294117647	-0.09117647058823529	-0.1588235294117647	-0.23823529411764705	-0.23823529411764705	0.27058823529411763	0.2235294117647059	-0.09411764705882353	-0.19117647058823528	-0.17647058823529413	0.12941176470588237	0.4147058823529412	0.011764705882352941	0.18823529411764706	-0.047058823529411764	-0.08235294117647059	-0.026470588235294117	-0.061764705882352944	-0.07058823529411765	-0.17941176470588235	0.1676470588235294	0.49411764705882355	0.10588235294117647	-0.07647058823529412	-0.19117647058823528	-0.05	-0.18529411764705883	0.020588235294117647	-0.08235294117647059	-0.38235294117647056	-0.1	-0.20294117647058824	0.008823529411764706	-0.1411764705882353	-0.18235294117647058	-0.18823529411764706	0.20588235294117646	0.17058823529411765	0.06470588235294118	-0.09117647058823529	-0.13529411764705881	-0.3558823529411765	-0.052941176470588235	-0.11176470588235295	-0.12352941176470589	-0.6088235294117647	0.20294117647058824	0.3735294117647059	-0.014705882352941176	-0.20588235294117646	-0.07941176470588235	-0.041176470588235294	-0.2235294117647059	-0.10294117647058823	-0.09411764705882353	0.11764705882352941	0.17941176470588235	0.10882352941176471	0.12941176470588237	0.052941176470588235	-0.09117647058823529	-0.36470588235294116	0.17352941176470588	0.3382352941176471	-0.08529411764705883	0.2088235294117647	-0.1411764705882353	-0.07352941176470588	-0.11470588235294117	-0.24411764705882352	-0.12058823529411765
CO3	-0.06764705882352941	-0.25882352941176473	-0.49411764705882355	-0.3029411764705882	-0.4147058823529412	-0.4470588235294118	-0.08529411764705883	-0.2823529411764706	-0.28823529411764703	-0.17941176470588235	-0.19705882352941176	-0.5441176470588235	-0.27647058823529413	-0.20588235294117646	-0.17941176470588235	-0.17058823529411765	0.0	-0.3352941176470588	-0.40294117647058825	-0.20588235294117646	-0.21176470588235294	-0.21470588235294116	0.3088235294117647	0.5411764705882353	-0.45	-0.35294117647058826	-0.20294117647058824	-0.03823529411764706	0.2911764705882353	0.3911764705882353	0.24705882352941178	0.18529411764705883	-0.03823529411764706	-0.2088235294117647	-0.18529411764705883	0.011764705882352941	0.11176470588235295	-0.12352941176470589	-0.13823529411764707	-0.23529411764705882	-0.31470588235294117	-0.24705882352941178	-0.07941176470588235	-0.07058823529411765	-0.08823529411764706	-0.25882352941176473	-0.3382352941176471	-0.3941176470588235	0.3735294117647059	0.11764705882352941	-0.058823529411764705	-0.12058823529411765	-0.05	-0.029411764705882353	-0.011764705882352941	0.22647058823529412	-0.023529411764705882	-0.11176470588235295	-0.3941176470588235	-0.25882352941176473	0.24411764705882352	0.21764705882352942	-0.023529411764705882	0.37941176470588234	0.3176470588235294	-0.1264705882352941	0.2088235294117647	0.041176470588235294	-0.05588235294117647	-0.15294117647058825	-0.05588235294117647	-0.0058823529411764705	0.03529411764705882	0.3058823529411765	0.07058823529411765	0.06764705882352941	0.10588235294117647	-0.07058823529411765	-0.2823529411764706	0.052941176470588235	0.08529411764705883	0.26176470588235295	0.19117647058823528	0.07352941176470588	0.16176470588235295	0.11176470588235295	0.12352941176470589	0.12058823529411765
Temperature	0.3359683794466403	-0.13495200451722192	-0.18125352907961603	-0.37775268210050816	-0.20496894409937888	-0.4376058723884811	-0.0502540937323546	-0.37775268210050816	0.14285714285714285	0.1417278373800113	0.09768492377188029	-0.3687182382834557	-0.36984754376058726	0.034443817052512704	-0.12704686617730096	-0.1507622811970638	-0.1383399209486166	-0.23433088650479955	-0.33145115753811405	-0.1225296442687747	-0.054771315640880856	-0.18238283455674761	0.08413325804630152	0.3845285149632976	-0.15527950310559005	-0.08639186900056466	-0.07396950875211744	-0.012987012987012988	-0.03670242800677583	0.06267645398080181	-0.019762845849802372	0.09994353472614342	0.11801242236024845	0.08526256352343309	-0.01637492941840768	0.018633540372670808	0.12027103331451157	-0.10333145115753811	0.020892151326933936	-0.29079616036137773	-0.19706380575945792	-0.1281761716544325	-0.1665725578769057	-0.0502540937323546	0.023150762281197064	-0.2388481084133258	-0.21739130434782608	-0.25691699604743085	0.30660643704121965	0.16431394692264256	0.3020892151326934	0.22868435911914173	0.019762845849802372	-0.05251270468661773	0.11123658949745906	0.2140033879164314	0.14059853190287974	0.15640880858272163	0.13495200451722192	0.1101072840203275	0.42179559570863917	0.5223037831733484	0.20045172219085264	0.25917560700169395	0.4827780914737436	0.11236589497459062	0.1417278373800113	0.4127611518915867	0.05251270468661773	0.1101072840203275	0.1417278373800113	-0.08977978543195934	0.024280067758328628	0.251270468661773	-0.01637492941840768	-0.08977978543195934	0.031055900621118012	-0.014116318464144552	0.1383399209486166	0.22529644268774704	0.1383399209486166	0.15189158667419536	0.39808018068887635	0.2930547713156409	0.23094297007340486	0.28740824392998304	0.25804630152456237	0.5008469791078487
NO2	-0.1456140350877193	-0.1631578947368421	-0.3473684210526316	-0.4192982456140351	-0.256140350877193	-0.4070175438596491	-0.2649122807017544	-0.13157894736842105	-0.49122807017543857	-0.26842105263157895	-0.156140350877193	-0.5	-0.2736842105263158	-0.3105263157894737	-0.28596491228070176	-0.3473684210526316	-0.24736842105263157	-0.43333333333333335	-0.40350877192982454	-0.3263157894736842	-0.4421052631578947	-0.3280701754385965	0.2631578947368421	0.712280701754386	-0.3	0.028070175438596492	0.20175438596491227	0.2578947368421053	0.22456140350877193	0.07368421052631578	-0.2824561403508772	-0.07192982456140351	-0.11929824561403508	0.21228070175438596	-0.03333333333333333	0.23859649122807017	-0.007017543859649123	0.15789473684210525	0.17192982456140352	-0.08596491228070176	0.02631578947368421	0.0	0.1456140350877193	0.0824561403508772	-0.007017543859649123	-0.16842105263157894	-0.04912280701754386	-0.25087719298245614	0.2614035087719298	0.30701754385964913	0.056140350877192984	0.23859649122807017	0.2929824561403509	0.156140350877193	0.13157894736842105	0.3929824561403509	0.3192982456140351	0.08947368421052632	0.09649122807017543	0.02982456140350877	0.5228070175438596	0.36140350877192984	0.23333333333333334	0.47017543859649125	0.519298245614035	-0.0035087719298245615	0.2824561403508772	0.37543859649122807	0.014035087719298246	-0.16666666666666666	-0.021052631578947368	0.042105263157894736	0.10877192982456141	0.4192982456140351	0.09473684210526316	0.007017543859649123	0.12105263157894737	0.010526315789473684	0.1912280701754386	0.2789473684210526	0.21929824561403508	0.17894736842105263	0.531578947368421	0.23859649122807017	0.2824561403508772	0.3385964912280702	0.16842105263157894	0.22631578947368422
Ammonium.5m	0.05928853754940711	0.011857707509881422	-0.07735742518351214	-0.515527950310559	-0.35177865612648224	-0.3370976849237719	-0.10559006211180125	0.10897797854319594	-0.2896668548842462	-0.024280067758328628	-0.21287408243929984	-0.4906832298136646	-0.14511575381140598	-0.09994353472614342	-0.22077922077922077	-0.21287408243929984	-0.3156408808582722	-0.18238283455674761	-0.36984754376058726	-0.35629587803500845	-0.3404856013551666	-0.10446075663466968	0.28176171654432525	0.5934500282326369	-0.44438170525127046	-0.1756070016939582	-0.08300395256916997	0.009599096555618294	0.13156408808582723	0.2140033879164314	-0.1225296442687747	0.13495200451722192	-0.18464144551101072	0.28402032749858835	0.13495200451722192	0.24336533032185206	0.020892151326933936	0.10446075663466968	0.08977978543195934	0.019762845849802372	-0.13043478260869565	0.020892151326933936	-0.12704686617730096	0.018633540372670808	-0.08413325804630152	-0.16205533596837945	-0.1281761716544325	-0.27498588368153587	0.08074534161490683	0.11236589497459062	0.055900621118012424	0.21852060982495766	0.3901750423489554	0.10107284020327499	0.09316770186335403	0.24110671936758893	0.15753811405985318	0.2140033879164314	0.1383399209486166	0.07848673066064371	0.2704686617730096	0.43873517786561267	0.20496894409937888	0.365330321852061	0.4805194805194805	0.19593450028232637	0.35177865612648224	0.1981931112365895	-0.21739130434782608	0.10559006211180125	-0.11349520045172219	0.13382269904009034	0.16770186335403728	0.16883116883116883	0.19254658385093168	0.15866741953698477	-0.012987012987012988	0.15866741953698477	0.043478260869565216	0.28063241106719367	0.2862789384528515	0.14059853190287974	0.44212309429700736	0.35968379446640314	-0.02766798418972332	0.21852060982495766	0.14963297571993225	0.4556747600225861
NO2NO3	-0.13533834586466165	0.02406015037593985	-0.039097744360902256	-0.4556390977443609	-0.4781954887218045	-0.5699248120300752	-0.26766917293233083	-0.15037593984962405	-0.21954887218045113	-0.34285714285714286	-0.2631578947368421	-0.58796992481203	-0.3233082706766917	-0.5488721804511278	-0.03007518796992481	-0.2857142857142857	-0.3593984962406015	-0.33383458646616543	-0.524812030075188	-0.39097744360902253	-0.3458646616541353	-0.2932330827067669	0.2706766917293233	0.3022556390977444	-0.05714285714285714	-0.02706766917293233	0.09473684210526316	0.07368421052631578	0.03458646616541353	-0.10075187969924812	-0.4195488721804511	-0.45112781954887216	-0.04962406015037594	0.10676691729323308	0.02857142857142857	-0.04962406015037594	-0.07218045112781955	0.08421052631578947	0.03609022556390978	-0.058646616541353384	-0.05112781954887218	-0.21052631578947367	0.02706766917293233	-0.081203007518797	-0.27669172932330827	-0.14135338345864662	-0.18796992481203006	-0.2781954887218045	-0.15789473684210525	-0.04661654135338346	-0.06766917293233082	0.14887218045112782	0.010526315789473684	0.12781954887218044	-0.10676691729323308	-0.06616541353383458	-0.03007518796992481	-0.26165413533834586	-0.11578947368421053	-0.24812030075187969	0.28421052631578947	0.18195488721804512	0.0962406015037594	0.4180451127819549	0.5157894736842106	0.29172932330827067	0.4842105263157895	0.21052631578947367	0.23458646616541354	-0.10977443609022557	-0.08721804511278196	0.19699248120300752	0.19398496240601504	0.36541353383458647	-0.23007518796992482	-0.10075187969924812	-0.05714285714285714	0.06766917293233082	0.031578947368421054	0.2586466165413534	0.3233082706766917	-0.24962406015037594	0.2781954887218045	-0.0030075187969924814	0.07969924812030076	0.02556390977443609	0.2586466165413534	0.058646616541353384
PO4	-0.2	-0.20701754385964913	-0.06842105263157895	-0.3157894736842105	-0.11228070175438597	-0.15087719298245614	-0.6578947368421053	-0.26842105263157895	-0.6403508771929824	-0.5526315789473685	-0.2631578947368421	-0.443859649122807	-0.3263157894736842	-0.2964912280701754	-0.3684210526315789	-0.48947368421052634	-0.2771929824561403	-0.42280701754385963	-0.4614035087719298	-0.4	-0.28771929824561404	-0.36140350877192984	0.15263157894736842	0.3649122807017544	0.10526315789473684	0.3912280701754386	0.30350877192982456	0.02456140350877193	-0.3280701754385965	-0.005263157894736842	-0.18070175438596492	-0.05087719298245614	0.07368421052631578	0.08070175438596491	0.12631578947368421	0.42105263157894735	0.4192982456140351	0.04035087719298246	-0.012280701754385965	0.0035087719298245615	0.09824561403508772	0.02982456140350877	-0.06666666666666667	-0.07192982456140351	-0.2	-0.15789473684210525	0.04736842105263158	-0.21403508771929824	-0.03859649122807018	-0.031578947368421054	0.04912280701754386	0.24210526315789474	0.14035087719298245	-0.13333333333333333	-0.17543859649122806	0.15964912280701754	0.21929824561403508	0.06140350877192982	0.13333333333333333	-0.12982456140350876	0.47368421052631576	0.34035087719298246	0.4052631578947368	0.08947368421052632	0.2719298245614035	0.18596491228070175	0.21754385964912282	0.15263157894736842	0.26666666666666666	0.010526315789473684	0.28421052631578947	0.21754385964912282	-0.08947368421052632	0.16842105263157894	-0.23859649122807017	-0.40350877192982454	-0.2894736842105263	0.021052631578947368	0.22105263157894736	-0.07368421052631578	-0.24210526315789474	-0.19649122807017544	0.10175438596491228	0.02280701754385965	0.12982456140350876	0.054385964912280704	0.11228070175438597	-0.12631578947368421
Si	-0.1518796992481203	-0.07368421052631578	0.14586466165413534	-0.46015037593984964	-0.29774436090225564	-0.42255639097744363	-0.3969924812030075	-0.18796992481203006	-0.24962406015037594	-0.2992481203007519	0.010526315789473684	-0.20601503759398496	-0.34135338345864663	-0.4255639097744361	-0.03007518796992481	-0.15789473684210525	-0.06466165413533835	-0.3082706766917293	-0.4406015037593985	-0.43909774436090226	-0.362406015037594	-0.3383458646616541	0.007518796992481203	0.16390977443609023	0.3037593984962406	0.40601503759398494	0.01804511278195489	-0.21954887218045113	-0.4421052631578947	-0.12781954887218044	-0.11578947368421053	-0.03007518796992481	-0.06917293233082707	0.19398496240601504	0.2932330827067669	0.37293233082706767	0.2571428571428571	0.26766917293233083	0.015037593984962405	-0.016541353383458645	-0.02706766917293233	0.05714285714285714	-0.08571428571428572	0.03759398496240601	0.0030075187969924814	-0.15338345864661654	-0.06015037593984962	-0.15037593984962405	0.0015037593984962407	0.013533834586466165	0.06315789473684211	0.0	-0.18947368421052632	0.03759398496240601	-0.07819548872180451	0.11127819548872181	0.09323308270676692	0.022556390977443608	0.03759398496240601	-0.12180451127819548	0.5293233082706766	0.6090225563909775	0.3157894736842105	-0.12180451127819548	0.3172932330827068	0.18796992481203006	0.13233082706766916	0.22255639097744362	0.362406015037594	0.1774436090225564	0.3157894736842105	0.44360902255639095	0.14887218045112782	0.34285714285714286	-0.38345864661654133	-0.3699248120300752	-0.40150375939849625	-0.1924812030075188	0.21804511278195488	-0.015037593984962405	-0.12330827067669173	-0.06315789473684211	0.14285714285714285	0.13383458646616542	0.010526315789473684	0.04962406015037594	0.33383458646616543	0.03458646616541353
Gradient.Surface.temp(SST)	-0.14705882352941177	-0.06764705882352941	0.020588235294117647	0.39705882352941174	0.49117647058823527	0.48823529411764705	0.1411764705882353	-0.023529411764705882	-0.31470588235294117	0.22058823529411764	0.12352941176470589	0.15	0.06470588235294118	0.27941176470588236	-0.14705882352941177	-0.0058823529411764705	-0.25588235294117645	0.22647058823529412	0.3411764705882353	0.3352941176470588	-0.15294117647058825	0.05588235294117647	-0.5441176470588235	-0.10588235294117647	-0.023529411764705882	0.3323529411764706	0.39705882352941174	0.5029411764705882	0.5558823529411765	0.11176470588235295	0.27058823529411763	0.16470588235294117	0.11764705882352941	0.07941176470588235	0.08823529411764706	0.17352941176470588	0.13823529411764707	0.19117647058823528	0.3941176470588235	0.4117647058823529	0.28823529411764703	0.3235294117647059	0.3352941176470588	0.041176470588235294	0.22941176470588234	0.19411764705882353	0.17647058823529413	0.26176470588235295	0.03235294117647059	0.22058823529411764	-0.01764705882352941	0.20588235294117646	0.3235294117647059	0.1588235294117647	0.18823529411764706	0.25	0.15588235294117647	0.14705882352941177	0.14705882352941177	0.21470588235294116	-0.3205882352941177	-0.15588235294117647	0.029411764705882353	-0.17941176470588235	0.09117647058823529	0.10294117647058823	0.08235294117647059	0.058823529411764705	-0.47058823529411764	-0.36764705882352944	-0.38529411764705884	-0.40588235294117647	-0.4323529411764706	-0.22647058823529412	0.10588235294117647	0.1264705882352941	-0.27058823529411763	-0.22941176470588234	-0.2088235294117647	-0.020588235294117647	-0.07941176470588235	-0.15294117647058825	-0.08529411764705883	-0.1588235294117647	0.020588235294117647	-0.04411764705882353	-0.09411764705882353	-0.026470588235294117
Fluorescence	0.05251270468661773	-0.5403726708074534	-0.25352907961603616	0.4579333709768492	0.1293054771315641	0.2715979672501412	0.3495200451722191	0.017504234895539244	-0.2670807453416149	-0.30886504799548276	-0.3856578204404291	0.10559006211180125	0.053642010163749296	0.06380575945793338	0.1225296442687747	0.033314511575381144	-0.003952569169960474	0.07961603613777526	0.1417278373800113	-0.28740824392998304	-0.028797289666854884	-0.07961603613777526	-0.06493506493506493	-0.12365894974590627	0.2987012987012987	0.3167701863354037	-0.07509881422924901	-0.04009034443817053	0.017504234895539244	-0.15302089215132694	0.22868435911914173	0.2761151891586674	0.16544325239977414	0.189158667419537	0.30434782608695654	0.3382269904009034	0.5076228119706381	0.13721061547148503	0.07509881422924901	0.19254658385093168	0.15640880858272163	0.20271033314511575	-0.1281761716544325	-0.023150762281197064	0.043478260869565216	-0.16883116883116883	0.07396950875211744	0.10107284020327499	-0.12478825522303783	0.11123658949745906	0.16092603049124787	-0.015245623941276116	-0.3111236589497459	-0.3675889328063241	-0.277244494635799	-0.003952569169960474	-0.024280067758328628	-0.009599096555618294	-0.15527950310559005	-0.06719367588932806	0.007340485601355167	0.017504234895539244	-0.13608130999435347	-0.37210615471485037	-0.3190287972896669	-0.3382269904009034	-0.25352907961603616	-0.3404856013551666	-0.04009034443817053	0.28289102202145683	0.23771880293619424	-0.17221908526256352	-0.2885375494071146	-0.08752117447769622	0.0220214568040655	-0.23997741389045738	-0.46922642574816487	-0.36307171089779783	-0.4376058723884811	-0.549407114624506	-0.2964426877470356	-0.2987012987012987	-0.3167701863354037	-0.13382269904009034	-0.35064935064935066	-0.32241671372106157	-0.36307171089779783	-0.3427442123094297
HCO3	-0.25	0.18928571428571428	0.16071428571428573	0.2892857142857143	0.3892857142857143	0.2892857142857143	0.03214285714285714	0.44285714285714284	-0.039285714285714285	-0.22142857142857142	-0.21785714285714286	0.11071428571428571	-0.125	-0.11071428571428571	-0.03214285714285714	0.1	-0.075	0.12142857142857143	0.425	0.30714285714285716	0.25	0.1	0.19285714285714287	-0.07857142857142857	-0.14642857142857144	-0.1392857142857143	-0.010714285714285714	0.08928571428571429	0.18928571428571428	-0.11785714285714285	-0.12857142857142856	-0.24642857142857144	-0.2785714285714286	0.05714285714285714	-0.16785714285714284	-0.007142857142857143	0.14285714285714285	-0.0035714285714285713	0.014285714285714285	-0.010714285714285714	0.2571428571428571	0.010714285714285714	0.26785714285714285	0.21428571428571427	0.0	0.010714285714285714	0.35	0.3464285714285714	-0.40714285714285714	-0.21071428571428572	-0.11428571428571428	0.2642857142857143	0.3142857142857143	-0.225	-0.02857142857142857	-0.02857142857142857	0.02857142857142857	-0.03214285714285714	0.11071428571428571	0.075	-0.38571428571428573	-0.5107142857142857	-0.14642857142857144	-0.06785714285714285	-0.175	-0.3142857142857143	-0.125	-0.225	0.04642857142857143	-0.05	-0.039285714285714285	0.21071428571428572	-0.1357142857142857	0.03571428571428571	0.3678571428571429	0.2392857142857143	0.16428571428571428	0.28214285714285714	-0.06785714285714285	0.15	0.3535714285714286	-0.2714285714285714	-0.12857142857142856	-0.2642857142857143	-0.13214285714285715	-0.075	-0.38571428571428573	-0.05
Longitude	0.11801242236024845	0.07509881422924901	0.26143421795595706	0.20045172219085264	0.000564652738565782	0.0942970073404856	0.25917560700169395	-0.25352907961603616	0.3370976849237719	0.20496894409937888	0.13495200451722192	0.35629587803500845	-0.07848673066064371	0.017504234895539244	0.3404856013551666	0.34726143421795597	0.24675324675324675	0.21287408243929984	0.28289102202145683	0.3370976849237719	0.3020892151326934	0.2478825522303783	-0.045736871823828344	-0.2738565782044043	0.2941840767927724	0.1507622811970638	-0.26143421795595706	-0.1789949181253529	-0.14737436476566912	-0.33483907396950874	-0.019762845849802372	-0.31225296442687744	0.28740824392998304	-0.2930547713156409	-0.12140033879164314	-0.23207227555053642	-0.05138339920948617	-0.10784867306606437	-0.1293054771315641	-0.17786561264822134	0.005081874647092038	0.018633540372670808	0.08526256352343309	0.03557312252964427	0.11123658949745906	0.10333145115753811	0.13495200451722192	0.21852060982495766	0.043478260869565216	-0.0660643704121965	0.0942970073404856	-0.1101072840203275	-0.4330886504799548	-0.04121964991530209	-0.08413325804630152	-0.21513269339356295	-0.17786561264822134	-0.22190852625635235	-0.11688311688311688	-0.1293054771315641	-0.2456239412761152	-0.006211180124223602	-0.0942970073404856	-0.0502540937323546	0.006211180124223602	-0.06832298136645963	0.1383399209486166	-0.009599096555618294	0.12478825522303783	-0.07171089779785432	0.14511575381140598	-0.04799548277809147	0.11575381140598531	0.1417278373800113	-0.22981366459627328	0.08977978543195934	0.042348955392433656	-0.08300395256916997	-0.057029926595143984	0.005081874647092038	-0.18690005646527386	-0.13946922642574816	-0.18012422360248448	-0.006211180124223602	0.07622811970638058	-0.10897797854319594	0.2354601919819311	-0.0220214568040655
Latitude	0.13608130999435347	0.12704686617730096	0.18690005646527386	0.5437605872388481	0.3145115753811406	0.41727837380011296	0.3551665725578769	0.011857707509881422	0.42631281761716544	0.32580463015245625	0.2670807453416149	0.6826651609260305	0.5053642010163749	0.2964426877470356	0.29079616036137773	0.32128740824393	0.21174477696216826	0.3608130999435347	0.49294184076792774	0.32919254658385094	0.23207227555053642	0.3450028232636928	-0.1857707509881423	-0.5189158667419537	0.08865047995482778	-0.07396950875211744	-0.24449463579898362	-0.23094297007340486	0.029926595143986448	-0.17221908526256352	0.18012422360248448	0.044607566346696784	0.025409373235460192	-0.32580463015245625	-0.14624505928853754	-0.2795031055900621	-0.28063241106719367	-0.13156408808582723	-0.18125352907961603	-0.007340485601355167	-0.0220214568040655	0.00846979107848673	-0.07396950875211744	-0.1259175607001694	0.04686617730095991	0.11236589497459062	0.15866741953698477	0.21739130434782608	-0.16205533596837945	-0.2546583850931677	-0.22190852625635235	-0.47374364765669114	-0.4330886504799548	-0.025409373235460192	-0.09655561829474874	-0.3246753246753247	-0.295313382269904	-0.08300395256916997	-0.1857707509881423	-0.13043478260869565	-0.5979672501411631	-0.4827780914737436	-0.44664031620553357	-0.5324675324675324	-0.6047430830039525	-0.2795031055900621	-0.44438170525127046	-0.5189158667419537	-0.15640880858272163	0.06380575945793338	-0.10784867306606437	-0.13156408808582723	-0.12027103331451157	-0.33032185206098247	-0.033314511575381144	0.11801242236024845	0.05815923207227555	0.053642010163749296	-0.16996047430830039	-0.21964991530208922	-0.2456239412761152	-0.010728402032749858	-0.42631281761716544	-0.2930547713156409	-0.34839073969508755	-0.2919254658385093	-0.35177865612648224	-0.313382269904009
