	AmtR	AcnR	GguR	MetJ	LtbR	PsrA	NarP	CadR-PbrR	PhnR	HypR	Irr	TtrR	AraR	NorR	CblR	PrpR	HisR	ZntR	Phr	RutR	IscR	NsrR	KdgR	PdhR	ThiR	LexA	ModE	NagC	NrtR	CzrA	MntR	ArgR	MetR	SahR_SamR	Zur	RbkR	BirA	FUR	PhnF	FabR	LldR	SoxR	SiaR	CcpA	NadQ	AgaR	NagR	TrpR	GlcC	XylR	NmlR	BioQ	LiuR	PaaR	SdaR	CueR	MerR	HrcA	PhsR	PurR	HexR	NrdR	HutC	NagQ	TyrR	ExuR_UxuR	PdxR	Rex	NiaR	GntR	RbsR	QorR	CsoR	GulR	LiuQ	VanR	NikR	PhrR	FadR	NifA	DasR	FruR	FixJ	FnrN_FixK	HcpR	FadP	NnrR	NtrC
Residence.time	0.004450793858972274	-0.043989946135547596	0.23124703349624257	-0.1319473169955917	-0.08434549956272504	-0.14023801143877535	-0.027321286781357316	-0.0841231006285955	-0.05392470358546104	0.00603573816169295	-0.003285310837078206	0.10178270206903388	0.06463363454025581	0.0023112598091184293	0.014036469437593775	-0.0783069462246507	-0.028427651099242265	-0.007136472126815126	-0.12141855732920567	-0.1295459715422689	-0.10688098649572507	-0.16573224874861273	-0.10622786557524337	-0.11245785090725201	-0.117052218761675	-0.1478502483740448	-0.12118489768955058	-0.14055894154625342	-0.0856601869328326	-0.18078781203626848	-0.19673860141320515	-0.1305988475089075	-0.16100275242788317	-0.14500128987608155	-0.18095672261915166	-0.17598512112962286	-0.14244510972178245	-0.1703350621321799	-0.12308795692336795	-0.03460696325638593	-0.01663769241399503	0.03239986497337881	-0.10559445088943138	0.08333203606542586	-0.07609140241249943	-0.05602482516597547	-0.020660579462996532	-0.03468297301868337	-0.1908717738343954	-0.14664253770642993	-0.011176250234104951	-0.07195309313186106	-0.1500657921861961	-0.12347082091123653	-0.09484329228891582	-0.08832897414238713	-0.1217057053201071	-0.16032147974358762	0.03984600650214647	-0.16535783028988832	-0.17445085000176716	-0.16240189508943234	-0.11910729752008724	-0.1143355735536369	-0.052807078562050545	-0.0945505139452516	-0.19410641149660865	-0.12938550648852987	-0.006536839557579772	-0.09205908284772443	-0.06732775833724282	-0.002570256036206	-0.024038791120660496	-0.006443938736994013	-0.0037160328234303614	-0.0986803776967458	-0.03778248221459006	-0.07758063071825295	-3.659729295802629e-05	-0.06166080828151152	-0.006753608138946543	-0.02376853418804738	0.04427146377368626	-0.14247044630921496	-0.08911159317641262	-0.01591419208397866	-0.10705552743137105	-0.08284501055144597
NPP 8d VGPM (mgC/m2/day)	0.16314451664510746	-0.2204018779969557	0.12137966881522723	0.17691770132112453	0.053169316865612375	-0.15324909882668478	0.07748730615438612	-0.1082744248419537	-0.1403788710265988	-0.20277566500789032	-0.20166861513945428	-0.07109857702536698	-0.1806099290946235	-0.23250521091611395	-0.19888552887802288	-0.04376248530197432	-0.013748446131471016	0.04876585593641428	-0.20872528497121695	-0.1806532215475791	-0.16368876462512072	-0.21039513672807578	-0.10790953130989936	-0.16331768645692987	-0.08018380750990631	-0.043706823576745685	-0.05312602441265678	-0.10709315933987948	-0.1632496554594282	-0.14916723897658543	-0.15736806649360321	-0.15379953144283454	-0.046694002830682035	-0.0827566161426962	-0.152686296938262	-0.14240743167937545	-0.20353637525268156	-0.13530128475852066	-0.1791689088748157	-0.0925283412383886	-0.20552782808863912	-0.07901491128010513	0.17771551938273486	0.0260002103179056	-0.042092633545115485	0.00153997439799203	-0.12365561491346445	-0.010594281701848784	-0.016277962311305315	-0.02551162406312098	0.12272173485685081	-0.02439220492241191	0.0861643506539155	-0.0283998491388731	-0.11153372808589666	0.05525972387975417	-0.06525409587636108	0.11418075235232474	0.05133866456920418	0.04023105806802472	-0.0944022859877524	0.05320642468243146	-0.16582864872835462	-0.24225219746726032	-0.14319288046871273	-0.013760815403744043	-0.02289552297737548	-0.07020798942170893	-0.02799784778999968	0.16741810021543876	0.1537315004453329	-0.15702791150609494	-0.007446301908363069	-0.23601808424165402	-0.07537216059569828	-0.18922512723278775	-0.09667823208598961	-0.09437754744320634	-0.043292452955599234	0.008244119969973398	0.09683284798940246	0.014107155027388837	-0.15348411499987233	0.04944616591143084	-0.14982281040705595	0.010544804612756671	0.2249785087379762	-0.046378586387719814
Carbon.total	0.26547218461349764	-0.06813282163167904	0.1444158167944484	0.10294194987414212	0.05085971192223929	-0.02112472397493888	-0.1501735200309283	-0.2392733203433961	-0.08048953634010626	-0.2003759598942087	-0.17309916944741455	-0.07177410883831133	-0.23639446872515613	-0.14751814091273438	-0.10722736369855411	-0.28342885726425465	-0.11149963208178693	-0.09489693987248525	-0.21918708622161226	-0.12956146826197737	-0.16312177959241853	-0.0685797666317711	-0.11255126737612116	-0.094804921784231	-0.04265695662643228	-0.03578189088972224	-0.08852140090058397	0.07508676001546415	-0.10837101708114259	-0.14537543400052838	-0.07928015575162191	-0.14633505120660836	-0.05760332324715755	-0.04297244721473255	-0.02757913559391523	-0.08673362090021577	-0.10412503958026813	-0.11189399531716226	-0.1571931856206093	-0.13038963105626558	-0.010621516472775741	-0.04047481339068875	-0.0004206541177336927	0.15870491135621476	0.13626564326335808	0.10567620163941112	0.07228678104429927	-0.027526553829198518	-0.06028499324770984	0.03299505735973653	-0.04562782633292648	-0.0703544011909601	0.00431170470677035	-0.009990535296175202	-0.14835944914820176	0.08942843634194723	0.07750552119243288	0.16572457694589576	-0.03040540544743848	0.09372699560753842	-0.0027868335299857144	0.10892312561066807	0.03638658118396442	-0.07078820074987298	-0.13914449488159805	0.027053317946748114	0.06896098442596725	-0.08702282060615768	0.1610579453272876	0.13313702826271376	0.2339231257834707	-0.26896887196715896	-0.00023661794122520216	-0.09934009899104737	-0.14081396591135364	0.0634661900130709	-0.08761436545922069	-0.15905983826805256	-0.14124776547026652	-0.02464770221095856	0.0456804080976432	-0.06591124207239799	0.04937427706899218	0.10893627105184724	-0.09272794207792089	0.13777736899896353	0.07024923766152669	-0.07552055957437702
CO3	0.2259597373710495	0.10883924522584582	0.045231381983349694	0.06171500680378576	-0.11464926290577623	-0.14497440043428184	-0.26812837247787474	-0.18350191586386566	-0.1727888742142202	-0.3223245328723388	-0.09420904233498031	-0.09583900204609201	-0.28529552879006737	-0.14220083995811594	-0.1556874420839273	-0.24666285466944407	-0.07131073736113691	-0.056141596178694145	-0.26687961302178115	-0.21788880783377057	-0.17770504302031517	-0.1641264270398443	-0.2235410874771418	-0.13719265729736146	-0.28621566733666265	-0.09660140255612813	-0.17134294221242757	-0.09905948695917562	-0.2055063719638736	-0.2233439149314428	-0.21603538590420002	-0.2363441581111966	-0.13712693311546179	-0.14669637400005306	-0.1150304631607943	-0.16358748874826706	-0.19506937187820675	-0.26330421752643934	-0.30844358565512947	-0.10430427667476891	-0.0250803478129123	-0.048372997878153697	-0.05146203442743797	0.13461626936689458	0.0073611083727625195	0.0076502947731210465	-0.06422567055235298	-0.09021301207548066	-0.07292755223586868	-0.20743866291172378	-0.10142555750756357	-0.14120183239324105	0.007334818700002653	-0.029168391927071484	-0.21600909623144016	-0.06277973855056035	-0.05685141734321053	0.09729807888426459	0.13519464216761162	0.12262817858839561	-0.020190468679577196	0.08126137850074625	-0.08186604097422316	-0.13292058547388322	-0.2226735282760662	-0.10882610038946589	0.0414588139423089	-0.10377848321957159	0.013052822525273539	0.12768894059466984	0.1517571360063273	-0.17002845857443427	-0.0182844674044869	-0.07077179906955965	-0.35715834927916146	-0.15763287786815738	-0.12605898088355813	-0.17378788177909513	-0.1155036772704719	-0.14518471781636075	-0.0032467745858434684	0.047189962603959724	-0.0038120025501805904	0.0042326373143384485	-0.10406766961993012	0.1820428390256931	-0.11851384480147656	-0.1741033578522135
Mean Flux at 150m	0.02180053681041455	-0.16294143157977586	0.016303519732949807	0.1520294424558533	-0.08179889591391568	-0.27569474562073715	-0.0671362768011046	-0.3180417023390316	-0.46033122754249006	-0.262215919098169	-0.023886824741733793	-0.10705704474533682	-0.3040002813181302	-0.13910148971290318	-0.14778654228092317	-0.2131998734308821	-0.08758893095926233	-0.1813312392440449	-0.33119234873757203	-0.2533784971868504	-0.264419414216641	-0.27824986230066745	-0.22310388074529083	-0.1892544450955719	-0.1828900948331767	-0.2659196662121964	-0.24824482238955925	-0.21005872081518795	-0.3228354762935798	-0.288400004708097	-0.268826404453585	-0.25289794771952406	-0.21888442200779126	-0.24332212052914304	-0.26132514447580796	-0.2127427654009863	-0.3045394343790329	-0.3038713534122622	-0.26820520636167533	-0.14698953340828436	-0.2727411245044874	-0.3613380372732635	-0.176209285165469	-0.1797723836549131	-0.19338013808334928	-0.17431052873359418	-0.2250846822081726	-0.1337216798225912	-0.08953457026599826	-0.10307200038214277	0.12273936638637697	-0.11406603453707226	-0.09962610907985144	-0.13900772396318095	-0.17045441227626817	0.06809737573575728	0.0392878491336073	-0.027203788138157083	-0.19333325520848818	-0.1385271744958546	-0.2270889251084849	-0.1118390979811697	-0.2015494790278971	-0.33374746541750233	-0.10655305384057993	-0.05550932383555017	-0.09329692097360205	-0.11234308888592659	-0.0986884515826293	0.030262895722844286	-0.04644920826864132	-0.07568068074454126	0.03578335423773958	-0.17208359217769162	-0.027848427667497296	-0.02633645495322661	-0.32532026866121844	-0.19792777694487662	-0.22174427737431876	0.08162308513318652	0.33472028507087026	0.03587711998746179	-0.10437300015953847	-0.044538731118051234	-0.13610098572179236	0.08917122798582468	0.11006926945516293	-0.06897642963940302
ChlorophyllA	0.23885488871621346	-0.10096816005149614	-0.12383431953449259	0.03883009298640544	-0.018646379262948206	-0.13079064526049092	-0.09023837701333928	-0.13204846436454376	-0.32423781348917674	-0.15249816850785444	-0.06096139758065417	-0.19731980840926427	-0.2585246548487674	-0.1314353339052205	-0.2937931811964569	-0.2417672583979989	-0.14839109609282886	-0.029930684701816524	-0.3399537898215359	-0.32714116654656034	-0.3140129614175214	-0.22624513949027872	-0.06606931530428094	-0.2416275007197708	-0.22532544380129385	-0.22928374191368953	-0.20132318964366902	-0.08442265427417024	-0.2215564948013362	-0.21123696817346185	-0.1820140884871876	-0.2745832629083954	-0.15458100874467312	-0.19717103410663436	-0.19830262046906183	-0.19838827840087905	-0.24728543253190813	-0.24186644126641882	-0.2648813750520452	-0.24691124261923292	-0.19591772331478244	-0.170887573975351	0.08896703297268373	0.0825201465253878	-0.07135756551594395	-0.12117892364815881	-0.07524823894532603	-0.020251338406470826	0.05763877148858627	-0.11508819386473447	0.05458213581637184	-0.20983488307898	0.05010087348867104	-0.09944885883979074	-0.062476190480158664	-0.07158748943819017	-0.05815271907948958	-0.1100388841997195	-0.18535925614026003	-0.18565680474551985	0.010040011271418195	-0.1484857706490479	-0.2542327416335046	-0.2153260073396838	-0.13846379262643332	-0.13998309383813873	-0.15954015216567	-0.17206875177198844	-0.14858044520526692	-0.06826035503392137	-0.016991828685215617	-0.17989067344056076	0.026188785575064343	-0.09138348831236948	-0.0806401803376099	0.026342068189895155	0.022780501551179225	-0.018673429136153642	-0.30868864470825114	-0.15771879403650388	0.17831727248244447	0.18631952663905305	-0.12114285715055155	-0.10010707242112304	-0.12065595943285368	0.006253029022656954	0.045741335590394706	0.012699915469952876
NO2	0.08347093144931826	-0.20678874945078776	-0.1104498717752292	0.06993611404634495	-0.051221041342509564	-0.1418515017452335	-0.23351161124483322	-0.09507448992447276	-0.24314656600627185	-0.1710231145002426	-0.22086773373397522	-0.10459207535880638	-0.1882337258293683	-0.1743094556591829	-0.3020446283353319	-0.19479040323900731	-0.2474038715985354	-0.1094095527395257	-0.2822145470239989	-0.31687050833646035	-0.27227549900597003	-0.2595462619844902	-0.09365005309097103	-0.20735425620865736	-0.2744681714350682	-0.20775971388411102	-0.18003921280967297	-0.15252677554237565	-0.2865198673409873	-0.24611814396979417	-0.21696787109244053	-0.1989143345959243	-0.14132867474267483	-0.2137775593829498	-0.20106432726971155	-0.20921082556468207	-0.19039438844198328	-0.19716979959759073	-0.37499500010051007	-0.09860623967645082	-0.22299105156069313	-0.1556103878635891	0.030644064313235596	0.05780439359921791	0.00795977436548529	-0.060968030461639344	-0.05418194936720416	-0.04814809896012382	-0.0394947785708362	-0.13513477525317855	-0.1431318944045609	-0.004924176768996597	-0.0765781509666058	-0.23946010214129174	-0.10767568768001985	-0.036885978527456634	-0.06874641586705325	-0.021627966003805205	-0.030969497447481308	-0.11071128527650854	-0.005142910514965027	0.03194046188080458	-0.1414460440697798	-0.13131493715285183	-0.14253437783020811	-0.16914520526656243	-0.10929218341242068	-0.18146898461258856	0.10407991829507542	-0.06320871761546228	0.10494951830953528	-0.04734251857863034	-0.09094522359814192	-0.10899342512524429	0.05398455549889119	-0.12620403645436998	-0.13907198268061027	-0.10281553054398962	-0.1827707171495714	-0.14622084169518823	0.13079211015029316	0.11416834545669251	0.11429104975321137	0.0646491593572056	-0.029422356317460707	-0.03655521042379706	0.11195966811935275	0.02586393171841333
Ammonium.5m	0.07702205321517192	-0.2304762080369983	-0.029996770248462437	-0.054043304590203976	0.14555254051770175	-0.13881748210915223	-0.09531589200779567	-0.12777924726200512	-0.189350441155463	-0.1606136580527934	-0.07664031982142534	-0.04049577330863889	-0.056747471917933126	-0.05209192619280022	-0.25690123506285306	-0.17691874594792634	-0.1698847075386802	-0.2069902611965629	-0.13173005441406746	-0.20500417976336402	-0.19658201992231222	-0.1686353982500551	-0.09421340325522691	-0.22975545267817613	-0.08551895805639785	-0.17817072470084339	-0.09216859360760547	-0.11844680009740384	-0.1470340931997251	-0.2122410974587971	-0.20415795958282093	-0.1735658987972572	-0.12781395029780027	-0.10875397525339145	-0.1734244171897847	-0.1943423393813796	-0.16520246717062798	-0.15767190840308212	-0.18838943401036676	-0.14855301838183557	-0.20638963173087777	-0.20688882155346944	0.011895132884857936	-0.10409042113538275	-0.07279362177674845	-0.09562288040136807	-0.09194435860708301	-0.020063693618175997	0.003996188045025209	-0.07310861856319666	-0.07454745981654909	-0.1270851865461023	-0.12348674868057524	-0.14192473854496343	-0.04499915956913156	-0.1926098570559144	-0.03211632489625804	-0.14103046800716554	-0.1565614112576376	-0.22606892249101526	-0.04794357868313477	-0.002565355184548581	-0.19035682919352212	-0.11836137724006195	-0.052385567264912954	-0.10807593132324021	-0.10354051149124434	-0.1322292442366591	-0.006329299836175531	-0.11166369133159952	-0.05535134209325164	0.11502454687514443	0.15711665983035986	0.010488325203008714	0.014348370569145289	-0.1102729004355019	0.0032834410790788288	-0.05356813994623972	-0.17106994968429892	-0.03412643150808435	0.19222011526929206	0.0977130709419524	0.027717047743150796	0.15467676946753217	0.06548729800972507	-0.005221472155022918	0.09554012700831811	0.02121156326370762
Longitude	-0.11492850832397827	0.05903768493504437	0.14214258832749166	0.15185808962337127	0.13438620185336356	0.12466269327619613	-0.14126445647959485	0.003803458611711118	0.22258373614485985	0.0274783202860112	0.008239492445159454	0.196688188460073	0.24528971678333455	0.19997918106936408	0.18173058701443853	0.19130195724713753	0.1633138400524689	0.08201591313730473	0.2500834091809719	0.36001804307511753	0.2499659690554173	0.32909125364782155	0.17054174596160132	0.12624546587742047	0.25459150854601054	0.3442196770942627	0.3991202666972704	0.2934908810422055	0.3133195786045928	0.35100985162632803	0.29035736496490805	0.2646246319996401	0.2990906397561493	0.3239345644984701	0.33450684489214566	0.2098067843032731	0.34849022711442956	0.3488318711160429	0.268577559862057	0.22171894976577605	0.3037615538407068	0.28319885549360335	0.1350855044191659	0.1487779554213259	0.16593489012734633	0.3548960521446799	0.2615925414853216	0.322882941556004	0.13293688394026945	0.23339356588340723	0.20358512674264248	0.15481811460609943	0.26942099349104	0.301143172859592	0.3010577618591887	0.23098604330953815	0.29072303081038486	0.26596184797470485	0.15754592843148102	0.29488414798628493	0.1957780274870249	0.3263474252598644	0.25939053913117305	0.15157516568453522	0.2281995094213793	0.24155298551568855	0.26734176944997123	0.22229814311226118	0.2876482347958647	0.3113471183140282	0.2545728248896723	-0.08488518893210434	0.08127657416506334	0.03909955452839029	-0.02024774528311617	-0.05174572077560944	0.030379625205962067	0.08232552801376683	0.18399397852512697	-0.02693115606467732	-0.11099693321166215	-0.12853821741949756	-0.03285654421765885	0.09863635999704166	-0.027779927881185485	0.1694607629877466	0.1957726892994997	0.15720428442986767
Temperature	-0.3406128222922116	0.15514332995249025	-0.1145892275663268	0.01921742379757647	0.23952917311695937	0.006939625260235947	-0.31091656435167886	-0.2347835370736134	-0.1488709763518924	0.3010142529226499	0.3491538995355789	0.15062189718678268	0.13117493193829072	0.26116478940906424	0.09070624032456094	-3.202903966262745e-05	0.11008914749372764	-0.015560775102759836	0.08241605722521753	0.13203971600918166	-0.10803928895531949	0.058671862488656384	0.1717557251908397	0.11650563177280734	0.11926546735707041	-0.012219078631292372	0.08286980195377142	0.12057331980996103	0.09425078738055838	0.11544867346394064	0.16460791117279666	0.05365397960817808	0.10580259435221268	0.086574494208082	0.08440185768430043	0.12811082047723268	0.2417925585864517	0.17870068862435276	0.21171195216996744	0.021347354935141196	0.05413441520311749	0.0818021672983505	-0.02262317834836919	-0.0005765227139272941	0.13363049164575883	0.08457801740244489	0.22657342657342658	0.17554582821758394	0.11274221961244862	0.17552981369775264	0.2649975978220253	-0.005455613089200876	0.0050445737468638235	0.14104521432765707	0.22445950995569316	0.20074200608551754	0.2983505044573747	-0.11267282335984626	-0.17505471627609032	-0.1593978540543426	-0.050808733251481344	-0.06807772380291464	-0.031212299151230447	0.06886777344792612	0.11914802754497411	-0.04574814498478621	-0.025991565686222174	-0.060935247958148725	0.018315272513745796	-0.09022580472962152	0.015347248171675652	0.02066406875567181	0.047173437249773124	0.1156355095286393	0.11561949500880798	0.13632626915069662	0.029664228900870122	0.07923984412534031	-0.23304863075855442	-0.24511290236481076	0.0020605348849623657	-0.2113115891741846	0.014407729674905247	-0.08414028719372231	-0.13858965462018896	-0.11666577697112049	0.05536219505685155	-0.027769177387497998
Oxygen	0.10492780337941628	0.11038402457757296	0.08129032258064516	0.03216589861751152	0.0823778801843318	0.13251612903225807	0.06363748079877111	0.01757910906298003	-0.03861136712749616	0.0676989247311828	0.17615360983102918	-0.10815975422427035	0.11227035330261137	0.0978494623655914	0.011403993855606758	0.14651305683563748	0.2296405529953917	0.30678955453149004	-0.0019170506912442396	-0.06290015360983103	-0.042832565284178184	-0.09050076804915515	0.23061136712749616	0.13552688172043012	-0.00984331797235023	0.12487864823348695	0.0450568356374808	0.13087557603686636	0.11385560675883256	0.09555145929339477	0.055201228878648236	-0.012172043010752687	0.010580645161290323	0.06837480798771121	0.0044301075268817205	0.14452227342549923	0.14298003072196622	0.07584024577572965	0.13627035330261136	0.05539170506912442	0.1450199692780338	0.20942549923195083	0.255741935483871	0.2385867895545315	0.16861443932411674	0.11107219662058372	0.20162211981566822	0.08624884792626727	0.09049462365591397	0.057536098310291856	0.12794470046082948	0.06761290322580644	0.13989554531490014	0.024116743471582183	-0.07153302611367128	0.04305376344086022	-0.15132411674347157	-0.004129032258064516	0.03468509984639017	-0.007588325652841782	-0.050003072196620584	-0.12816589861751151	-0.06476190476190476	-0.10951152073732719	0.02119815668202765	-0.08573271889400921	-0.08264208909370199	0.07183410138248848	-0.11673118279569893	0.013837173579109062	0.13136712749615975	-0.17547772657450078	-0.025781874039938556	0.09552073732718894	0.038236559139784944	0.03617818740399385	0.0595084485407066	0.060208909370199695	-0.03020583717357911	-0.15088172043010753	-0.14817818740399386	0.07483870967741936	-0.2667711213517665	-0.23651612903225808	-0.22416589861751152	-0.26780952380952383	-0.0408110599078341	-0.08929646697388632
Gradient.Surface.temp(SST)	0.275597615688843	0.1234847088252632	0.2035054657728532	-0.0992673617535447	0.048063254062039276	-0.09354554579377812	0.21839857433066093	0.013431928825838685	0.0475825668978775	-0.11183077627140926	-0.058605597548769116	-0.25839393133057587	0.07041793837263091	-0.09254866616355625	0.022524017288875892	-0.04417132673857036	0.07728138634728171	0.042912254109714804	-0.004503710986947538	-0.08724198911829302	-0.033904832135819726	-0.1490184832442884	0.048022286406002763	-0.043384747742669275	0.001174406139713427	-0.06971602586587196	-0.05139529008634249	0.009471722075642244	0.009545463856507971	-0.08296223465101177	-0.08134810900317309	-0.0373816205447853	-0.013325412920143746	-0.01946783014855188	-0.06587325972964686	0.03778037239687404	-0.06016236847815668	-0.07452289750748971	0.021923158333673674	0.13320769919126274	-0.037447168794443715	0.053091351046254204	0.049458885544349886	0.048609489475859476	-0.05218460025931268	-0.012101845593186502	-0.000390558320881442	-0.01938043248234065	-0.008780734277159693	-0.05816041568650565	-0.08330363178464939	0.035450678356930894	0.1091432980354139	0.0745420157469734	-0.1949623439007053	-0.014538055538824587	-0.17394593635397315	0.03486893764121238	-0.0048751510683452725	0.06082877568301732	-0.042480728132796845	-0.05591265695863553	-0.03367268208494614	-0.09344995459635959	-0.043013307661271545	-0.05975269191779153	-0.05022088394662906	-0.024891947807786453	-0.045498678794153445	-0.11345582662752436	0.002477177601674601	-0.14364898912643584	0.1421960029256741	0.027328157753424537	0.06468519770458793	0.020421010945668127	0.004899731661967182	-0.06906873690049502	-0.02881664925608458	-0.2304048287264289	-0.07144759212768198	0.12172036843862397	-0.08317253528533254	0.0021193934056223706	-0.026000805697841457	-0.08033757348760572	-0.040049980541296964	-0.1265408959655872
Depth.Max.O2	-0.054003601728381694	0.0994054617867555	0.14779103166236784	0.022917364938209384	0.07226452419533591	0.1677123190742517	0.13585928432068542	0.24273175046871664	0.21803652734925114	0.14449812911795432	0.04991607387512848	0.07488647852177972	0.17957295208868385	0.23559558232551814	0.23245418421742037	0.11738811079925222	0.26916154478763377	0.13907179675603346	0.19013806757625284	0.18259067310591162	0.24143004908731	0.20663659149830968	0.15161265377025057	0.14915147966193773	0.15271028795172173	0.2331962467626403	0.17129586278220968	0.21697599629504097	0.2500008714846004	0.16835234801950388	0.1482300853349563	0.1682905094740689	0.0916663678255658	0.09035229873507214	0.1765645068532713	0.17281709099991058	0.2227238890932238	0.17196990292745112	0.19925616110064295	0.15864369638620957	0.21738413069491194	0.16864917303759186	0.07265101510430463	0.209215258842949	0.19190974190296547	0.09803573800537034	0.1392047496287187	0.009544779487891578	0.10519354963947108	0.09144993291654331	-0.05505176507350487	0.030319438826778365	0.15100663602498762	0.07606450281231639	0.15804077056821836	0.1510375552977051	-0.0432591544590512	0.10937074338360504	0.07496996055811697	0.12397391588807927	0.05067977991125068	-0.005114047707474139	0.156191798059712	0.1557249170416778	0.15420987267852038	0.12529726076038816	0.04379096594979216	0.07429282848560377	0.09251355589802523	0.13276735704893564	0.04245216144112451	-0.12177555559786517	0.0596618286356838	0.03310835722589667	-0.001391367272287402	0.10527703167580833	0.09229712098900275	-0.04642837991259473	0.20082686015469184	0.012862417450479094	-0.21325331585985421	-0.06567562717923713	-0.0035897275625014972	-0.17429503223580697	0.011715312432659924	-0.06631565612448932	-0.12485511516052795	-0.03218696289891523
Lyapunov	0.11575698608267626	0.0460905323534538	0.016517512047029597	0.1975659430563481	-0.04886662374407409	0.08495117727891484	0.00824021785062251	0.04512191281983169	0.052379607507162876	-0.11660047294927542	0.05698634347089672	0.08163284433119508	0.018301811187912423	0.05939167140367123	0.018329618447250857	0.05163344604824824	0.04594686151353856	0.3787997557945895	0.07608993063640064	0.11014918878275881	0.13105097871881477	0.15178592509884015	0.1063720360559549	0.10893493845831387	-0.014265124040616469	0.20483290683012542	0.15731493516396539	0.16604641459623354	0.14264197131971854	0.12584175213608154	0.15019627677332636	0.05402023580813046	0.07150636738878216	0.14961232432721924	0.13871651320977632	0.10357277194921925	0.16890592776486912	0.1265693754221039	0.11303650921073284	0.14137210647659673	0.16657938706688685	0.2570781125838192	0.07522327105368613	0.09241742641128428	0.11198910244231851	0.03675656230218623	0.08867271548704188	0.18140992538071815	0.03842963240571532	0.0734065301102418	0.18587299050453673	0.17579285899435454	0.20900399573089048	0.09486446523306644	0.1223890174348927	0.13326165583622027	-0.04026027697882887	0.11492276830252325	0.1434993618159869	0.27084734049956694	0.055438406034390576	0.079190440052636	0.03518545214956473	-0.016948524566775317	0.06654277159687176	0.05505837349009865	0.0814799044048337	0.15417734940194544	0.020220512082264344	0.16167604033687638	0.26941063210041455	-0.10407330261731106	0.08779678681788122	0.04469090030008597	-0.17130662115442058	-0.1388555495064685	-0.01563231429142279	0.058228401054680086	0.10187652912957479	0.015984539576376283	-0.10097742774429877	-0.1000366154700151	-0.16087426435928487	-0.18569224331883694	-0.2174944789155589	-0.014047300509132072	-0.04410694785397886	-0.10289612863865069
Salinity	-0.2023327817220947	0.3231196284631399	0.18381465862381893	0.19420274382106442	-0.017354401323866973	-0.10481503229594832	-0.137671488816527	-0.04323386537126995	0.04111994875353654	0.0911439705332835	-0.04257727005818609	0.026947098702823892	0.12122991512304489	0.13497571131158917	0.14043132440079004	0.26290503389740033	0.11156782149148561	0.01930283457001014	0.1540276517375754	0.13705759888965996	0.017888218651577432	-0.007243901137030908	0.05538888592323707	0.01859819569743234	0.013025142796135163	0.10075802060534884	0.12687236427694443	0.025062723536005978	0.025420381145571984	0.1443335290663535	0.09554796348689479	0.12617840175092082	0.05300272246837132	0.058885389419740565	0.06938557625580527	0.2079432018363316	0.2082741685795121	0.12160892542571931	0.1632573533336892	0.19249986654566809	0.07350130785245289	0.2211071371376715	0.22968558159397853	0.08675065392622644	0.1599530240751615	0.11756259008167405	0.0633587786259542	0.05005071264613249	-0.01526183739924198	-0.03075855442267656	0.09041264079432018	0.12655741205359525	0.0004003629957828431	0.15807932525489776	-0.0758447659211018	0.09663161266214701	0.00765494047936796	-0.02287941066567021	0.05731596647627182	0.015630171355362196	-0.15208455666470932	-0.09359953024075161	-0.011519777931991673	-0.04101852346127155	0.023626754924464848	-0.08963326749586291	0.045230342176907065	0.02102706453851492	-0.004105055250093418	-0.01685261303581914	-0.01943095072866065	-0.09787540703571238	0.042961618534137616	0.07534297763305398	0.028030747878076124	-0.08464741365504724	0.01921742379757647	0.0369828644637805	-0.01217103507179843	-0.08457267922916778	-0.06941226712219078	-0.22151817648000854	-0.1830886670581327	-0.11409811562483319	-0.1406074841189345	-0.06236587839641275	0.037388565632840445	-0.07649602306090855
Iron.5m	-0.09010776717423241	0.29573393211761706	0.21635207246837548	0.10085503041355873	-0.10443745149333417	-0.054654611913056865	-0.1284439438706967	-0.030108887748723667	0.1012527805930569	-0.0363127227631783	-0.08799622091931261	0.13788316960697533	0.14924440963344648	0.10988048918458761	0.17761814559241304	0.1779384813074451	0.1025714959532723	0.06103997049936301	0.13354529013258257	0.2548163834508526	0.13059286262570358	0.18073341042110003	0.002282391969603576	0.059149989780673734	0.11791023777472509	0.1942195440239506	0.22227828319646897	0.10610319721150098	0.1445995417654813	0.206704628517326	0.13247750441580897	0.12005915652973197	0.11610567991337771	0.14272557783254364	0.16646245431642082	0.1922708350908388	0.19493496045418895	0.1297866844095395	0.21252673013803405	0.17353920415433788	0.22974744428530033	0.29109440317823576	0.10967227096981676	0.05032207136724797	0.1440896740857219	0.15850478126216555	0.12102550260341208	0.15786144036780944	-0.03663839740679425	0.030909727036303868	0.18881120936849233	0.19540745563386125	0.19613888884985117	0.23525454911956017	0.09802539826410868	0.09259036896573104	0.10961087329110226	0.11723486330886579	0.1321197962006898	0.18492179989514448	0.04358701295869847	0.10718166078544232	0.03728974669402615	0.030562696678352447	0.11585475026993591	0.06860523230270399	0.17656103773280718	0.12504838529135665	0.12973329512370083	0.19794077724690665	0.09991537898279795	-0.024631147021675084	0.11361506972900327	0.019035949865781405	0.010707221274947302	-0.04018878491506648	-0.017378212540490386	0.01660673736012146	0.0884980802061962	-0.013470116817099	-0.011561449848366184	-0.16993275789593504	-0.12478944725503903	-0.09372222182551106	-0.1057748531035931	0.07696599446504129	0.048541538684527985	0.03711623151505044
