	AmtR	AcnR	GguR	MetJ	LtbR	PsrA	NarP	CadR-PbrR	PhnR	HypR	Irr	TtrR	AraR	NorR	CblR	PrpR	HisR	ZntR	Phr	RutR	IscR	NsrR	KdgR	PdhR	ThiR	LexA	ModE	NagC	NrtR	CzrA	MntR	ArgR	MetR	SahR_SamR	Zur	RbkR	BirA	FUR	PhnF	FabR	LldR	SoxR	SiaR	CcpA	NadQ	AgaR	NagR	TrpR	GlcC	XylR	NmlR	BioQ	LiuR	PaaR	SdaR	CueR	MerR	HrcA	PhsR	PurR	HexR	NrdR	HutC	NagQ	TyrR	ExuR_UxuR	PdxR	Rex	NiaR	GntR	RbsR	QorR	CsoR	GulR	LiuQ	VanR	NikR	PhrR	FadR	NifA	DasR	FruR	FixJ	FnrN_FixK	HcpR	FadP	NnrR	NtrC
HCO3	0.5851393188854489	0.391124871001032	0.2776057791537668	0.4613003095975232	0.5211558307533539	0.5108359133126935	0.5273477812177503	0.1393188854489164	0.41382868937048506	-0.24458204334365324	-0.034055727554179564	-0.6780185758513931	-0.41382868937048506	-0.6181630546955624	0.12487100103199174	-0.048503611971104234	-0.16408668730650156	0.0196078431372549	-0.18059855521155832	-0.19711042311661506	-0.20536635706914344	-0.26109391124871	0.20949432404540763	0.2776057791537668	-0.0196078431372549	0.18885448916408668	0.07120743034055728	0.0629514963880289	-0.06501547987616099	-0.06501547987616099	-0.007223942208462332	0.04643962848297214	0.048503611971104234	0.0608875128998968	0.07533539731682147	0.07533539731682147	0.034055727554179564	0.26522187822497423	0.3973168214654283	0.28792569659442724	0.3188854489164087	0.38699690402476783	0.03611971104231166	0.0629514963880289	0.013415892672858616	0.3849329205366357	0.43859649122807015	0.16615067079463364	0.2549019607843137	0.15376676986584106	-0.06914344685242518	-0.20743034055727555	0.10835913312693499	0.05056759545923633	-0.11867905056759546	-0.1475748194014448	-0.1001031991744066	0.3023735810113519	0.025799793601651185	0.1021671826625387	-0.038183694530443756	0.07533539731682147	-0.11867905056759546	0.029927760577915376	-0.1001031991744066	-0.3395252837977296	-0.0196078431372549	-0.11248710010319918	-0.23219814241486067	-0.1042311661506708	-0.1867905056759546	-0.31475748194014447	-0.07533539731682147	-0.3890608875128999	0.19504643962848298	0.048503611971104234	0.017543859649122806	0.0010319917440660474	-0.675954592363261	-0.23426212590299278	-0.23839009287925697	0.0629514963880289	0.04437564499484004	0.0608875128998968	-0.0196078431372549	0.17440660474716202	0.1393188854489164	0.21155830753353974
FluxAttenuation	-0.1266610490766302	-0.1647760423504575	0.013158747677868952	-0.31580994426885484	-0.09292150145923715	0.01338562263783221	-0.020127050019597584	-0.0007130355884559531	-0.1832825569417461	0.09833408978978916	0.16373889967633978	-0.005347766913419648	0.02071044277378882	0.05960329305320444	-0.08449471723203043	-0.029526155503789692	0.03098463738926778	-0.08556427061471437	-0.033415440531731254	-0.045407402701217736	-0.0009074998398530312	0.017274907665773772	-0.07253516577111013	-0.1147014976157099	-0.009010176981397952	-0.23303299459083193	-0.16876255950409763	-0.04424061719283527	-0.024016335047539146	-0.02913722700099554	-0.020127050019597584	-0.04838918788930627	0.05522784739677018	-0.05036624111184323	-0.06284436390982241	0.0451481170326883	-0.08293900322085382	-0.07175730876552182	-0.1193362289406736	-0.3043689641449934	-0.06112659635581488	-0.15878006126571428	-0.02972061975518677	-0.11910935398071035	-0.022428210327796343	-0.19021844857490858	-0.08981007343688391	0.010760355243971655	0.012931872717905694	-0.0387632074451509	-0.03166526226915755	-0.12196149633453415	-0.05914954313327792	-0.06884034499456565	-0.12215596058593123	-0.13103649473306447	0.019284371596876914	-0.18843585960376869	-0.049750437649085814	-0.03840668965092293	0.07499837962213979	-0.08562909203184672	-0.1383289041604549	0.01144098012386143	0.10711739181122386	-0.09305114429350188	-0.043592403021511676	-0.0890322164312956	0.023011603081987575	-0.09950087529817163	-0.039508653742173036	0.3080313742129717	0.20172425011590236	0.07334543348526462	0.015848836488861866	0.38280287887514824	0.2596421863236655	-0.10261230332052489	-0.07904971819291225	0.019867764351068146	-0.08293900322085382	-0.1051403385886869	0.12468399585409325	-0.1639981853448692	-0.12912426292765986	-0.10825176661104015	-0.22787969192880936	-0.09762105420133321
Density	0.23440713378579525	0.02722691829739584	0.19225443471848586	0.031083313987627852	-0.2688907400073741	-0.08321020360786027	0.2712559231998252	0.21566046238512065	0.20205929344931653	-0.2081497767277991	-0.40764451241994293	-0.11949637438719633	-0.03769271736607082	-0.2179437108249464	0.010555927296562836	0.11223695530459245	-0.09081374865149053	0.02264949678406096	-0.004886042414890276	-0.034835925657867785	0.13948845402777588	-0.02634202296904232	-0.17045432820330744	-0.06626063444810117	-0.07892774720397656	0.06163405208319109	0.0009531742888746261	-0.11142853241202257	-0.060088216416993266	-0.041336082699476986	-0.12311242813639404	0.0029305329855658277	-0.06880607409632795	-0.05846590831501181	-0.03160223408758825	-0.04903794944625763	-0.16400333201327344	-0.11276133772139453	-0.13502574116811647	0.07233473077605866	0.033874557893730624	0.038408280872332	0.07057040243619331	0.024031462945008124	-0.0847068784224829	-0.05255568149230496	-0.19554821177402396	-0.1543131819361182	-0.11935435414931243	-0.16167638503871418	-0.1832853104644335	0.055308689180515916	0.03474852858840077	-0.02627101285010037	-0.22880279670622294	-0.13247483920304798	-0.21993745647216267	0.09339196220076745	0.21981728550164553	0.2052274372174958	0.016750194595037484	0.03798768247552199	0.04844801922735528	-0.06584549836813285	-0.07264062051919322	0.05074219230086441	0.060099141050676645	0.06001174398120963	0.02158980731677341	0.04140709281841893	-0.0659165084870748	-0.053839325950101734	-0.023239427002963307	-0.08684264430758307	-0.08373458602466236	-0.1650138606289858	-0.0205574294336943	-0.1029783282579306	0.2793674637097325	0.204014802878641	-0.018601920004369853	0.15114503816793892	-0.09349574622075954	0.03255267721804203	0.09821518797197831	0.11704379412527824	-0.030930369116060577	-0.028876537983585738
NO3	0.15444461255954364	-0.3170354916129472	-0.011721705062523756	-0.15318644041288687	-0.1825225555286053	-0.18768265395286848	0.10366382914669446	0.015201586252960496	0.09769945612235323	-0.2940459790344784	-0.3907659720300039	-0.1413771410869883	-0.18315960471678594	-0.2333351914008635	-0.15483480518730428	-0.2476289825606666	-0.27055479022031736	-0.3186360776982511	-0.17972750221546274	-0.2067463509091741	-0.006330676307545099	-0.13303975983667418	-0.29465117576325	-0.18233940388700337	-0.12370698922982781	-0.17709171119936534	-0.19193495728397425	-0.2372610070230267	-0.279927376401425	-0.29577397495741836	-0.2500418063609008	-0.16071158394827068	-0.1734605308267357	-0.15915877655208038	-0.18844711297868524	-0.30857070052499697	-0.4347144028996157	-0.3044617332612318	-0.3615015249479558	-0.11006617348790988	-0.1866315227923704	-0.31338838501061306	-0.29579786430197513	-0.258259740888431	-0.20614911729525476	-0.2609671999381987	-0.35580789782859135	-0.2388934455677396	-0.17192364966024992	-0.11808503014413367	-0.1493721083986553	0.0018872582199851427	-0.08753852157087204	-0.15322625598714817	-0.147572444442045	-0.07251212384466123	-0.08940189044630041	0.06337046799426906	0.03163745530802098	-0.02669236098476877	0.03900333654635962	-0.01585456167084565	0.008958504208790234	-0.12773632534507035	-0.1893469449569904	0.05223007031596013	-0.0009715000119754744	-0.14136917797213602	0.01574307806291404	-0.06726443115702321	-0.1627182888910397	0.06490734916075484	-0.03543586109254804	-0.11269400138915502	-0.053321017050719476	-0.12443959579623555	-0.19839304342915548	-0.16303681348513002	0.07709887799956182	0.17776061284695502	0.2186671338430043	0.2540552162464388	0.15781301014204877	0.17233773163256733	0.19195884662853102	0.22405816259798295	-0.014094713288496636	0.07021874676721092
Fluorescence	0.25781711007577635	-0.20880035625892573	0.04223466043159774	-0.13819734790404767	-0.22502073180769286	-0.13605414345144573	0.2177099183812695	0.07397989290354456	-0.051216606845292216	-0.27910438601909426	-0.25863536728234976	-0.12037192937315576	-0.2552899541647053	-0.29495025153869897	-0.31157031426144616	-0.18508348584070514	-0.23542518690358422	-0.25067309523376985	-0.24472499477060147	-0.31401879159496204	-0.1080791884159411	-0.21698922261086445	-0.29667488595870756	-0.29185660986923095	-0.2811657647510389	-0.20741876043705754	-0.28044821612373605	-0.2971689874257538	-0.31855382480524014	-0.3175530332987388	-0.3324453144583752	-0.2232677730997644	-0.24007981155174615	-0.25050314950625074	-0.2620342818327317	-0.29278816422748377	-0.4252482702562108	-0.3330306830753854	-0.4027934042219746	-0.26893596665586833	-0.27363779845056335	-0.2208539143403728	-0.13011863156068618	-0.11323106167425148	-0.200243274164029	-0.222587990189688	-0.33802205203548336	-0.28498010219091197	-0.1747451207499601	-0.264290783437013	-0.21208282651452606	-0.1405073509410665	-0.13892119081755494	-0.25552598989737074	-0.325228915325018	-0.3275578012206501	-0.30657894530134827	-0.024802634788481503	-0.041573760380134585	-0.12769533137198794	-0.05059347251105553	-0.07894923186192704	-0.16047597392456037	-0.1989812697800446	-0.24340319466767515	-0.14280791254877873	-0.10283604800766674	-0.06224734341852248	-0.1735397649418154	-0.041992330412727916	-0.11727828770368776	0.0967935332514322	-0.02177508312415982	-0.11407764316874476	-0.15503771064394928	-0.1378668978783161	-0.01913463006140941	-0.029425788005621373	0.09700439183927996	0.2324291066702846	0.09893359056093193	0.334494104617911	0.21093411928222106	0.11943408072869852	0.21454074527734857	0.11893997926165226	-0.09003032272479258	0.012160560946922031
Alkalinity.total	0.29329098695320754	-0.20407502629274252	-0.09997893265874788	0.019418735623407905	0.14325775078437317	0.09871460763485321	-0.12293129463098962	-0.0218825484904847	-0.032807613440548916	-0.1220884112817265	0.04123644693318006	-0.08341303298669206	-0.3280112972247766	-0.27105183396880383	-0.08357512593847342	-0.1182630176196862	-0.05776992801487961	-0.14731007457890738	-0.15719774463757083	-0.19788307553469425	-0.13311073200285953	-0.005543578950922791	0.07154782891629591	-0.1081808360188851	-0.008007391817999587	0.03303454357304283	-0.054819836292458714	0.036568169921876656	-0.052129093292888	-0.003987486613821657	0.0011994878431821243	0.0037281378909714675	0.025837616513950085	-0.041755144378880435	-0.023244129285448195	0.06441573903791571	-0.0574133235209606	-0.026583244092144378	-0.10762971998282846	0.008947530938331522	-0.047817420775503605	-0.08684940356445706	0.03387742692230594	0.14614300532608154	0.18666624327142356	0.11038530016311171	0.03326147370553675	-0.03510933335584435	0.16543206658806434	0.14429514567577392	-0.1796314091641122	-0.2400920801785625	-0.015171900286736059	-0.02891738259779608	-0.16491336914236396	-0.1901998696202574	-0.008979949528687796	0.06448057621862825	-0.1276319902326493	-0.16990583205723012	0.14487868030218687	0.20313488717241057	0.12484399146200975	0.06295690247188339	0.17658406167062246	0.06295690247188339	0.10380432632078816	0.05462532475032107	0.036989611596508216	-0.028269010790670606	0.11502115858405884	-0.018543433683788517	-0.22553613310859566	0.027361290260694945	0.057899602376304704	0.11057981170524936	0.03177021854914816	-0.0474608162815846	-0.057186393388466684	-0.17269383082786963	-0.04023147063213558	0.09829316596022165	0.2360721749743846	0.06814387692888717	0.21905241503734094	0.2103642328218596	0.046391002799827566	0.07890684892717002
Si	0.09436171546420918	-0.2745019590908065	-0.1537132020521899	-0.03403401801467887	-0.02987311926053318	-0.14605821524167828	-0.07351454580882281	-0.010439588284439898	-0.024938720096962966	-0.1616829235120536	-0.17958545712604454	-0.042585198403006494	-0.15285968435903183	-0.07698196143727755	-0.18178326518592663	-0.29056942966450755	-0.257058191236888	-0.1832822556345355	-0.09863463841558187	-0.09729568253444011	-0.02128459747312989	0.026597745113039004	-0.1683990408600913	-0.07981457328144596	-0.10614025962979083	-0.08091881179696925	-0.08212974002413728	-0.05925546584750045	-0.11881499737318847	-0.12244244756911037	-0.06581154862807104	-0.06749724607205827	0.05298211080278849	0.0018564009826188474	-0.03976325553000255	-0.20825831713057416	-0.12388275867631464	-0.13998223616350913	-0.25395885511360766	-0.2230188387366269	-0.1092342612674889	-0.12042601201902438	-0.11854827309407658	0.01783318530142186	-0.025354809972377535	-0.1482453543303959	-0.15264097045016006	-0.07262368671658904	-0.08345802693411457	0.10102448795642452	-0.11304308397320689	-0.051904544715176394	-0.05782582371146065	-0.16208300993072144	0.1301401102642799	-0.017022343492921675	0.047023490407428564	0.023653109071643592	0.00021871390887176077	-0.05951152115544788	0.17420296117356635	0.16657998127654813	0.11826554535821795	0.029382346586967277	-0.008433821705518384	0.07709932012008679	0.0677693048367524	-0.1159183717020332	0.20957593506938696	-0.04854381879836642	-0.012776092969460171	0.07078328919071691	-0.08282855763541047	-0.16016792960669798	0.0475889458791458	-0.05369693187080839	-0.10171797108211547	-0.06735854944692007	-0.014376438644131592	0.0462019796277639	-0.04604194506029676	0.027152531613591765	0.1615442268869154	0.0692256194007034	0.07263435568775353	0.1694339310630455	0.09826655891040745	0.18207132740736748
NO2NO3	0.11359299283723194	-0.3417674599577051	-0.08508628624704238	-0.010499869582054023	-0.10850780495387313	-0.027205206019610684	0.03623333655982868	-0.0036958222953568814	0.0006150551219613235	-0.25613201735176866	-0.2651766225827535	-0.1649830449025361	-0.1979543926905342	-0.22307829610993646	-0.3106577522263578	-0.18564230712412982	-0.27011902981279984	-0.3116077927272445	-0.07875451342899412	-0.20154038371411226	-0.03972597100239477	-0.04145032196932205	-0.07438322881219757	-0.08553659446133549	-0.1298095801153729	-0.07700270464412214	-0.07386702183483716	-0.04888589906874734	-0.16304452295564015	-0.13443347665726071	-0.08782657647792363	-0.09611883749722362	0.02161479428606937	-0.051137440140212896	-0.08296105113812245	-0.15839316859580763	-0.23059075509960691	-0.16122132384411192	-0.29463886123741867	-0.14214363193613302	-0.1946374882828142	-0.15259407744588657	-0.07180219392539558	0.009593761589878859	-0.06922665060218254	-0.03410810145090876	-0.20333063344410682	-0.0671123986204405	-0.05349881248345727	-0.050928760723833164	-0.1890525681128618	-0.12153928535042868	-0.11940855867791982	-0.22987136026945573	-0.03009926003098227	-0.043004434464992185	-0.003377311607198339	-0.012037507386957332	0.04819396205654085	-0.05309243677787568	0.11902414922669398	0.11923832020666265	0.05369650877265912	-0.027853210523105652	0.016606488292955735	0.030285973193006244	-0.023663147504744134	-0.04219717461741795	0.10538310527176606	-0.1345433079290395	0.017463172212830436	0.017144661524671895	-0.08399895665643219	-0.10726671158277261	-0.04068699463045934	-0.02729856260062267	-0.029072337639850416	0.0026743914678139693	0.15747058591286564	0.12192918636524346	0.023289721180696187	0.17599362989836156	0.15207237890493724	0.2025508314144773	0.18344019012496474	0.1350704980335778	0.16230865343472212	0.09296667999717184
PO4	0.10576548180742353	-0.4151048045329674	-0.08366785466344262	-0.014173453195480796	0.09485395468637728	0.01696860533670502	0.053470326913753	0.022943311681797272	-0.01657871181602345	-0.1647876727973606	-0.1587690347879662	-0.06593044520144999	-0.21005925286072505	-0.12890099452054268	-0.23095425069443465	-0.22071817291203394	-0.13020796153353162	-0.2687135161621316	-0.028363380765074896	-0.13549074416586504	0.004030730199722163	0.01638101932666378	-0.04055990906695899	-0.064458734447328	-0.064458734447328	-0.07985129132719343	-0.06142195815244196	-0.03545834454987195	-0.08691330636376386	-0.13337104136328634	-0.059895332817942286	-0.02858303908658564	-0.009461782199075324	-0.030389728781011514	-0.05447526373466466	-0.1403397016132147	-0.2009873641823313	-0.09328888914561323	-0.23193722168319522	-0.10007083982225747	-0.15993322389197315	-0.2457097984419189	-0.14565543299377473	-0.060351123835077077	-0.06948341855188628	-0.10778084690728461	-0.2066380745031952	-0.09912630903976127	-0.045952520860047766	0.026424896077742576	-0.16969703628312574	-0.20986705182940316	-0.13350832781423055	-0.17389251022398095	0.009961504880512267	-0.02827002597843283	0.005332205754673325	0.04971966107395704	-0.039736190361293694	-0.16116331049243332	0.04353627932342958	0.102146610960534	0.03752862423011071	0.008671012241636643	0.07471677806187978	0.15165210517101807	0.06681456994553074	0.0299723779701411	0.11184452585523338	-0.028281008894508367	0.08285511887385286	0.12247049715831565	0.03722110257999567	-0.07011493622622968	-0.19474906785142615	-0.003207011494056871	-0.07444220515999134	0.030345797116709365	0.04995030231154332	0.18475461422268727	0.04196023086658999	0.07586998424981119	0.18221206915120042	0.2113332711254874	0.22235462740728898	0.12127885076411986	0.1119818123061776	0.12461765725108317
Latitude	0.03188762062622365	0.21220601639641007	0.17733702201614845	-0.04439230821589953	-0.3075299038196085	-0.34912500550530945	-0.18325172590061414	-0.16364725837741897	-0.11610008554444431	-0.18591814701098472	-0.16782972272171398	-0.1313165687779005	-0.015352606833685313	-0.09245461545758442	-0.062163110771302314	0.012627465738902157	-0.1253751739914291	-0.1127610537035298	-0.18850716450553875	-0.13414580439050594	-0.20317648424787785	-0.21582530270838457	-0.25211692216555065	-0.14622076845788987	-0.1358326693972669	-0.2095849698194492	-0.15995857572022962	-0.24278845191455442	-0.2126304017383009	-0.18572063433614247	-0.22717427424121314	-0.21889208734884083	-0.20812764656993735	-0.19925292165303823	-0.2255781583012716	-0.049551659573603586	-0.1958231407453043	-0.2571401499230256	-0.0978328322117353	-0.047664612801799774	-0.1257381702587068	-0.00807666694692833	-0.0860060935330045	-0.16721316288538204	-0.11714903799326878	-0.19227058168834407	-0.14629016480310472	-0.10384629243362212	-0.22975795355536602	-0.23563529017702373	0.024326088088005553	0.15184454151049329	-0.016009203023025817	0.02100573987849503	-0.22962449904533747	-0.1231811818465596	-0.10115584951144639	-0.12762254794031003	-0.06284105968224739	-0.07692051049026026	-0.12333065089779159	-0.1815621918036526	-0.2363959808841865	-0.2220069156129074	-0.085274762818048	-0.14917278221972155	-0.1152966893940724	-0.17592774239024686	-0.005081947741887489	-0.14237460947886682	-0.12523371221079882	-0.08329963606962533	0.0813592074938101	-0.06146647822895324	0.13937989027382597	-0.030227446521468387	-0.10719333154513835	-0.1447741215691803	-0.10659545534021042	-0.12926403841366127	0.16843560619724363	-0.11380199888175255	-0.16216057513570084	-0.10517016117310542	-0.07439822025072051	-0.09761129772508789	-0.13407106986488995	-0.13326500462431745
