	PsrA	RbkR	SiaR	CsoR	FnrN_FixK	MerR	PdxR	GulR	LexA	PdhR	GlcC	NagR	NifA	AmtR	ModE	SoxR	ExuR_UxuR	FabR	NagC	Phr	HutC	Zur	ArgR	SahR_SamR	CzrA	HexR	MetR	MntR	NrtR	FUR	NsrR	NikR	ThiR	LldR	AraR	KdgR	BirA	NadQ	IscR	PhnF	LiuR	AcnR	PurR	FixJ	HypR	MetJ	LtbR	BioQ	CueR	HrcA	NmlR	SdaR	FruR	FadP	CblR	VanR	GntR	RutR	CadR-PbrR	NiaR	TtrR	FadR	PrpR	PhnR	NorR	TrpR	AgaR	HcpR	GguR	XylR	PhrR	QorR	HisR	NrdR	CcpA	PaaR	TyrR	NagQ	NarP	LiuQ	Rex	NtrC	Irr	RbsR	PhsR	NnrR	DasR	ZntR
Si	-0.18822977417031536	0.03430890360527723	-0.050796603682381425	-0.11049969337745719	-0.0146356119506197	0.08355798476419606	-0.05877292988044132	0.1296790948650522	0.050006379415081376	0.024785054883754737	0.12402405245218619	0.11051615638302593	0.1053467726344381	-0.05020393548190639	-0.007638834583900496	-0.15548485609406948	-0.004494400520269042	-0.0433717881708747	-0.20633084879315716	-0.019278179521007504	-0.05331544353440034	-0.07454448921530485	-0.10735525931382572	-0.16376574789515128	0.039552370878924444	0.09709057534170944	0.08952582428286832	0.02411830315822032	-0.05328251752326284	0.023517403454960905	0.019352263046066884	-0.04998991640951263	-0.07936814984694891	-0.23070432853769313	-0.1484798472245659	-0.18827093168423725	-0.3555021422516106	-0.17476303561507697	-0.24704386156467856	-0.1620453638132168	0.13807522770511524	0.07207503837999218	0.0077787701312348806	0.23301738082010265	0.15211817145525988	-0.021130267647492	0.015862105865491655	-0.10013623137192838	-0.08693290090579002	-0.1062522379407194	0.08419181047859298	0.15503212344092882	0.2035568323548226	0.11259872658747294	0.17207956570737057	0.273401133480249	0.186599936619009	0.28015096576343695	0.0626170416807447	0.0025929233770782935	-0.1660788001775608	0.0926291008325779	0.0026834699077064243	-0.026917014104908	-0.092390387251831	-0.015829179854354156	-0.04864818145565941	0.07521124094083927	0.01570570731258852	0.0776889232789363	0.06017228535378516	0.025525890134348535	0.03316472471824903	0.15639032140035078	-0.14446287386579065	-0.02455457280579222	-0.45865110364262046	-0.2714173413092145	-0.18594964789904334	-0.3225761311141085	-0.0715976112184984	-0.2149327692028296	-0.09645674962731252	-0.12783523824135207	0.08262782494956163	-0.1916211533174781	0.020644608983213842	-0.08457045960667425
Ammonium.5m	0.007266804883819313	-0.0663908866428317	-0.1188362940300226	0.1327704630835096	0.04405323738906805	-0.07881514370878581	0.04769512248259306	-0.017185852172705754	-0.016134003372401947	-0.11993338363894163	-0.0421022275175368	-0.1261087540149188	-0.03627181830725064	-0.1769085269887312	-0.04138402968077022	-0.07899610694324667	-0.21604748154197123	-0.1601468073967931	-0.2975883839698239	-0.10235732949192962	-0.24706005584770283	-0.3556153761199173	-0.25624959509766887	-0.30139992209565597	-0.08744482795213855	-0.08448155498784181	-0.044036272085837345	-0.12605785810522668	-0.1377130214247221	-0.11258175223896878	-0.27810090565881895	-0.04084113997738761	-0.08564650580968365	-0.17426759478581785	-0.22157251529410465	-0.20508224055385788	-0.13425209956565798	-0.2823874722751108	-0.1893610595600698	-0.4059118450978853	0.23724845547927753	0.09417439823365216	0.06566703370498822	0.19668441545465815	0.14506465282469494	0.216986228320737	-0.010682485934268236	0.13470450765181013	0.010309249263192691	-0.020296157765001956	-0.0684606536369779	0.1536943370680477	0.09568431022118504	0.21596265502581768	0.09795200575302282	0.12768087211429763	0.12724542933137614	0.09389729828088395	0.0971376711979489	-0.026154842480672624	0.11801064927279488	0.012181087719647316	0.2028371654263277	-0.04073934815800337	-0.004625872680905991	-0.027110554562669094	0.014912501539791073	0.047497193944901483	0.32851047665832506	0.18297079534317032	-0.14090249843209493	-0.13957354967902294	0.02911246034389247	0.12718887832060713	-0.0040264319667543584	0.04194388468738353	-0.22806457133038838	-0.11813506149648673	-0.13179213059720551	-0.21577603669027992	-0.12550931330076717	-0.03826806898739711	-0.09617064891379863	-0.011214065435497042	0.024791963121139196	-0.07351065889865155	-0.002720103617989953	-0.06059440803900695
NO2NO3	-0.10429005970715761	-0.19827376889309323	-0.14711245220827324	-0.08995007359855642	-0.15315467367998006	-0.030202875449172096	-0.026226863227326872	-0.10292356275306588	0.039834209402710215	-0.0012100906762137634	0.033207522366301506	-0.1273229421020291	-0.05975543005874632	-0.1657824226412856	-0.07866412586325662	-0.03624509692087891	-0.10061862813170633	-0.2618323410770828	-0.312195162553789	-0.1299324573697826	-0.25601238115814995	-0.03624509692087891	-0.13601583838829942	-0.1948904541453119	-0.030219339267896092	0.04167815709979785	-0.0778080072896088	-0.06737817812795682	-0.09850302742567274	-0.13263252364051806	-0.17478813148331182	-0.1053766717429414	-0.2004716886927468	-0.1816041524350465	-0.2768144161159199	-0.26376683977715243	-0.3012878826491411	-0.24822499490169947	-0.3006622575376292	-0.26208753026730475	0.3319270492944991	0.23726832354087962	0.21030058847097288	0.23986960689927112	0.271175558202951	0.2271595388443456	0.117658680511043	-0.0010783801264217891	-0.02332923113190344	0.022415489192721617	0.011475281650625757	0.20570718304697777	0.2758512827205661	0.14667616101208733	0.054947994991339254	0.16947854994482286	-0.006437353121082742	0.22117494073817276	0.1508003476024485	0.0982066786886408	-0.009532551041194137	0.19857011763012516	0.02961840988447021	-0.03472219368890921	-0.0844429262353795	0.07789855829259076	0.002716530089459469	0.04150528700319588	0.11884407545917076	-0.018694666161098345	0.012306704496187594	-0.16198751242540432	0.06363265936824757	0.08396547549238359	0.0348045127825292	0.03231024424584368	-0.3415913108854852	-0.1723432544027983	-0.23495515701015807	-0.23679087279788372	-0.007326399332178568	-0.0035726486631073016	-0.06134418856561201	0.036302720286412904	0.08707713723121897	-0.11584766045140335	-0.0009384376672678165	-0.11057100655036238
PO4	-0.08777888440598929	-0.26863130664121504	-0.18416370870089005	-0.0686602484114342	-0.037522238407835605	-0.09015381737236544	0.0021706376574405807	0.08573593131663344	0.1462158550661053	0.055900303907499185	0.02143398282915836	0.0007235458858135268	-0.051601590115312936	-0.14497305860341383	-0.00832503383912505	-0.07274615459014588	-0.07884096464005748	-0.22769563411324742	-0.17517471510772434	-0.08594022662556902	-0.14589238749362396	-0.12969347195593994	-0.13199179418146526	-0.12787183878459765	-0.01928888208533473	-0.0010044519355999549	-0.019382517435263535	-0.033410795315506975	-0.028218289546727546	-0.0604628991403939	-0.08960902988187056	0.02410684645439892	-0.0431233347944862	-0.05203571764680105	-0.11474586518548638	-0.13560101130599392	-0.23563761424811824	-0.28963116193888533	-0.22397575702971198	-0.20287375407757394	0.2546200533700496	0.12895290146104846	0.19505945851078785	0.16954808180745679	0.20219276971445532	0.17969474881792413	0.021119027561216003	0.012759944503935021	-0.0536360309001298	-0.18327842902883584	-0.018395090108741546	0.3189134895529857	0.2221541238583697	0.13087668228685853	0.03690084017648987	0.11133243106535433	0.05069928583418078	0.08957498066371462	0.11474586518548638	0.10582497002863253	0.028958860041619038	0.14301522855944782	0.10629314677827659	-0.15639657129472856	-0.06818355935725118	-0.026779710079639477	-0.04549826776086236	0.021067953733982105	0.10705925418678502	0.0398801467651338	-0.02325561600050065	-0.1825123216203274	0.06242924148889889	0.1300084272238823	0.10402036146636821	0.043038211749096375	-0.3977459418885042	-0.1681776007766806	-0.2635920223541373	-0.23642074626570464	-0.07601487953311523	-0.06822612087994609	-0.12203239787085554	-0.11786136864675403	0.06742596425328172	-0.19505945851078785	-0.04491943105221154	-0.012257718536135043
Temperature	0.06767844117364336	0.08284374982329758	-0.015736410876952916	0.06266857411040933	0.09655020327846606	0.18083584486375537	0.27600070115520975	0.10975906271380993	0.2232896619187904	0.23628365120921002	0.29547472165834515	0.25193524492369285	0.1279438623473998	0.2413613720024201	0.13899271137850508	0.13614285471950965	0.08076290210403107	0.1400105173281463	0.33842613273320477	0.05679922646747827	0.006395214050245687	-0.027746521082719352	-0.06651361880905395	0.10375400761092671	0.05535168022798853	0.12714092654268283	0.1806322836738271	0.08758220196662728	0.11310651339262995	0.30618430203957003	0.17676462106519047	0.2790654279591294	0.1959106818734415	0.16103386466573558	0.13971648449824994	0.16293376910506585	0.01682207055657022	-0.054254711593375214	0.08336396175311421	0.12199535201949664	-0.13541908159976476	-0.21304374869240209	-0.23623841538922596	-0.21999875601495045	-0.3401790207575869	-0.20346506381077856	-0.17955793294920583	-0.3084121661737847	-0.2148871083567523	-0.33407218505973957	-0.26861595354281287	0.02893396135730078	-0.06568806509434495	0.16077375870082725	-0.010161096063918214	0.012784773622993368	0.05830331748194808	-0.010794397543694975	0.10662648217991416	0.008566533409480296	-0.1365160502343781	-0.08545611842737671	-0.11206608953299671	-0.02243131223459296	-0.022420003279596947	-0.046078337131257384	0.14587986497107736	0.002810275316509378	0.06693205014390645	0.1395242322633177	-0.11577542677168916	0.050647154949646875	0.18586832983698143	0.06085914131104715	0.09945660471244154	-0.029227994187197133	-0.2914939694997484	-0.2814516174632883	-0.4138681715116115	-0.2434309107666906	-0.16335220043991835	-0.26885344159772917	-0.12128288785474778	-0.08242531848844507	-0.29312245901917433	-0.2442677734363956	-0.11033581941860662	-0.18217030155328498
FluxAttenuation	0.07541971883350013	-0.10070007151512028	0.12529979931685067	0.1832825569417461	0.2867051279764255	-0.08212873550669932	-0.11940105035780596	0.11778051492949698	0.027581512989818913	0.24320995708061235	0.11541453320416586	0.05555195448243198	-0.18056005742218703	0.18383353898737118	0.06631230972640363	-0.053963829762689174	-0.0727620407310734	-0.230699423574067	0.22305049635244859	0.20707201702932201	0.12166979995743854	0.12568872781964482	-0.14033836809155803	-0.03461463674867991	-0.0014584818854780858	0.05056070536324031	0.18911648448365848	0.03098463738926778	0.2118688018971166	0.24376093912623742	0.14127827863997725	0.06459454217239612	-0.023400531584781732	0.001977053222536961	0.01977053222536961	0.16072470377968506	0.12066506799188696	0.2960718227520514	0.05603811511092468	-0.1707072020180684	0.19770532225369608	-0.2704349522762033	-0.4580929548743837	0.15119595546122824	-0.12419783522560056	-0.03399883328592249	0.19715434020807102	-0.12750372749935088	-0.016237764991656023	-0.25202566981061325	-0.3079341420872732	0.15388604427222113	-0.13952810037740354	-0.056102936528057035	0.038828028862283266	0.16503532801898696	-0.13761586857199895	-0.016983211288678156	0.14241265343979354	0.11583587241552619	-0.05675115069938063	-0.10063525009798792	-0.029817851880885312	-0.3254359247130102	-0.04417579577570291	0.05665391857368209	0.0018798210968384217	-0.13700006510924154	0.25695209751267256	0.17112854122942875	0.05000972331761525	0.22188371084406613	0.08990730556258245	0.17936086120523836	0.3630323466497786	0.28638102089076367	-0.13602774385225613	-0.03367472620026069	0.03091981597213542	-0.23423219080778057	-0.09917676821250984	-0.02482660276169364	-0.08857846651136908	-0.08287418180372146	-0.07989239661563292	-0.11058533762780509	-0.09580605452162715	-0.14892720586159566
Oxygen	0.088659793814433	-0.0013022246337493217	0.18087357569180684	0.05155995659251221	-0.0891345632121541	-0.19778893109061313	-0.2240504612045578	-0.0478296256104178	-0.09740911557243624	-0.15029842647856756	-0.25779978296256106	-0.25618556701030926	-0.2725447639717851	-0.24774823657080847	-0.10419153553988063	-0.21446011937059142	-0.05828811720021704	0.008247422680412371	-0.07529842647856755	0.08374932175800326	0.005385241454150841	0.11920781334780249	0.16309007053716768	-0.0019804666304937602	0.036258817145957675	-0.1822571893651655	-0.12669560499186108	0.027360282148670645	0.03349158979924037	-0.15222463374932177	-0.073901247965274	-0.08355941399891481	-0.04157623440043407	-0.03341020075963104	-0.03754747693977211	-0.07463374932175801	0.15973955507325013	0.14374660879001627	-0.00946825827455236	-0.17105263157894737	0.04053174172544764	0.10885784047748237	0.0908301682040152	0.1509631036353771	0.2532555615843733	0.1333288117200217	0.054598480737927294	0.2202930005425936	0.11749864351600652	0.2420510037981552	0.03880900705371677	-0.04644601193705914	-0.08785946825827455	-0.3207948996201845	-0.16353771025501898	-0.13559413998914813	-0.1844411285946826	-0.039799240368963644	-0.13342376559956592	0.06631850244167119	0.15538524145415084	0.07791644058600108	-0.0010309278350515464	-0.0398534997287032	0.1441942485078676	0.032148670645686384	-0.10488334237655995	0.04956592512208356	0.0023060227889310906	-0.019641888225718936	0.05234671730873576	0.08285404232230059	-0.20419153553988062	0.030371676614215953	0.09092512208355942	0.025976668475311993	0.40149213239283776	0.23570265870862725	0.41386326641345633	0.23086001085187194	0.12556972327726532	0.2625746066196419	0.18634020618556701	0.06303581117742811	0.30259088442756377	0.15141074335322843	0.2341698317959848	0.17569180683667932
Density	0.029365171811298777	0.043308095515433895	0.0644729178800233	0.03353523587652883	-0.01353523587652883	-0.020885264997087944	-0.11911473500291206	-0.14675596971461852	-0.23186953989516598	-0.24506697728596388	-0.2326266744321491	-0.18729178800232965	-0.031485148514851485	-0.1054513686662784	-0.11303436225975538	-0.03510774606872452	-0.029271986022131626	-0.0918462434478742	-0.27383808969132206	-0.05092603377984857	0.05414094350611532	0.03280139778683751	0.04963308095515434	-0.013861386138613862	-0.11063482818870123	-0.12510192195690156	-0.14793244030285382	-0.14263249854397203	-0.08168899242865463	-0.25913803145020387	-0.20151426907396622	-0.2079906814210833	-0.1712288875946418	-0.08782760629004077	-0.14886429819452535	-0.10312172393709959	0.07013395457192778	0.17033197437390799	0.03079790331974374	-0.0021549213744903903	0.1285264997087944	0.13361677344205009	0.15372160745486313	0.10901572510192195	0.16052417006406522	0.0159231217239371	0.1500873616773442	0.2054047757716948	0.2302853814793244	0.3429586488060571	0.23202096680256262	-0.18983110075713452	-0.030075713453698312	-0.13810133954571926	-0.016552125800815377	-0.08928363424577752	-0.07677344205008736	0.05114735002912056	-0.06921374490390216	0.05489807804309843	0.05516598718695399	0.011415259172976122	0.030529994175888177	0.11168316831683169	0.004006988934187537	0.13849737914967966	-0.10723354688410018	-0.001013395457192778	-0.12024461269656378	-0.2800116482236459	0.056726849155503786	-0.09719277810133954	-0.1485614443797321	-0.13680838672102505	-0.18800232964472918	-0.05476994758299359	0.3267676179382644	0.3034944670937682	0.3387769365171811	0.3035410599883518	0.17889341875364007	0.238019801980198	0.19054164239953408	0.19836924868957484	0.14492719860221318	0.29912638322655793	0.10450786255096098	0.21482818870122306
Residence.time	-0.09278134867717777	0.09422911033716572	0.0344496073684015	-0.19445693804419947	-0.1881734151018748	0.001904637265803803	-0.22766645448252934	0.043960926798568147	-0.15883250768941434	-0.051793080041125844	0.009540986677297554	0.04887975637287143	-0.18196109355266427	-0.08559594142207372	0.013670667477918884	-0.21739565352581164	-0.2369701031827797	-0.042732702767348876	0.05515141241634376	0.20057432440259113	0.04226396026268065	0.10521785867445121	0.07444105650085518	-0.02572150326249061	-0.015545637496591788	-0.12514238184756388	-0.10810151509557472	-0.10615534368378766	-0.044643273482578856	0.053294242745949405	-0.0365619153641216	-0.12142210905734899	0.041023869332609014	-0.03178548857604664	0.12046089025030782	0.037600269013703114	0.050078313156959806	0.020007591465079202	-0.012240706166209488	-0.060307579967694244	0.10910426804859916	-0.08487799404150592	-0.1437140785515075	0.08569681006231877	-0.07944295436712498	0.13276686436020527	0.19172755130815666	-0.052950102679230955	-0.06167227333571566	-0.10497458724797783	-0.07600748714936671	0.03460981050290836	0.024469545433566615	-0.052867034387264436	-0.1549698321129711	0.03232543247382903	-0.1293907316367088	-0.17484688769067436	-0.0942350437865919	0.04728959192665517	-0.06363624509578127	-0.03169055338522776	-0.011481224639658439	0.061055194595392936	-0.0676769241550099	0.017296005077314908	0.03222456383358397	-0.08313355991020899	0.12520764979125187	0.1841208691437938	-0.003055726454482737	0.041219673163672955	0.09264487934037563	-0.054291062249547654	-0.03331038507857492	-0.008615368566813464	-0.07496320005035903	0.19617170492836553	-0.003987278014393008	-0.029637579883769458	0.004105947002916609	-0.12264439963914207	-0.03291877741644704	-0.22237381759437672	0.04918236229360661	-0.034894616075365	0.04212749092587851	0.005102766506514861
Latitude	-0.05582115968029186	0.21187387086917908	-0.026938006960789143	0.03361030927265547	-0.026259467742633245	0.01927616828911213	-0.10775202784315657	-0.11601324282420462	-0.3991563495736915	-0.2890350889604739	-0.034763825943520496	-0.11863127330758946	0.0021091260697679156	-0.013231514754040007	-0.019609783404705445	-0.032920461067530306	-0.08386179287058433	-0.11535732157998725	-0.10216538828033968	-0.11593407991541976	-0.13798660450548644	-0.16969134947382078	-0.12655321867955957	-0.03614917684725545	-0.22297929607299727	-0.0601977376373974	-0.09472407485456333	-0.13014382204230118	-0.18704498997815786	-0.08115894498493001	-0.1166182736270603	-0.29549817501340886	-0.18830028753174627	-0.1477123332990543	-0.17459944981848177	-0.07518214537167348	-0.10578426411050447	0.09415862550610009	-0.1567764863549202	-0.14168464324443608	-0.05165379798211772	0.01407968877673488	-0.11102597957075877	-0.05660147978117114	-0.13988651431632296	-0.05562325240832972	0.24962326937258553	0.18396329102903317	0.149363445396567	0.059349563614702526	0.04156052711204874	-0.15960938759072105	-0.13429987475350608	-0.0031269348970017624	0.041419164774932925	-0.06243126256382723	-0.022753681782161105	-0.16320564544694732	0.03263208189981405	-0.1150859058927249	-0.042878024093968105	-0.09623947910844484	0.16952736916276642	0.1248172891797774	-0.01440199490535893	-0.09441307771290855	-0.11291458039462603	-0.18131698807822516	0.017240550634644438	-0.06598228447217643	0.10810826093268841	0.10068391098736597	0.010817046036101938	-0.2120887416215951	-0.1816562576873031	-0.016675101286181188	0.08327372554818256	0.12261769121425536	0.12779155275269408	-0.1068699268595539	-0.1432170109787715	-0.13012120406836267	0.12832307514024954	-0.04009601329952893	-0.21404519636727795	-0.026061560470671107	-0.044760970424350725	0.045835324186430895
Gradient.Surface.temp(SST)	-0.013500409147945132	0.075318072088536	0.0842931068154486	0.11136381506378724	-0.006959874431317701	-0.0632271103149665	-0.09570846571535045	0.0650558974040324	-0.12679784622947085	-0.04678549900148543	-0.10280812005156491	-0.16508006768307024	-0.07884169052447508	-0.14097968241378767	-0.04540517244062996	-0.09361176714189909	0.032376520471711384	-0.21277996022908863	-0.2315337641360702	-0.006779325387492723	-0.19534824125592218	-0.19803900442518477	-0.0016948313468731807	-0.10071724564081758	-0.2654129185854217	-0.05456658037407158	-0.05926085551352101	-0.046348686798683064	-0.11749083422842845	-0.1393430926939548	-0.2719068600004169	-0.11937786294453466	-0.2702120286535437	-0.14784637024184089	-0.14272693122499713	-0.22721805957238284	-0.1280791620243578	-0.08173047522567473	-0.2240380667359816	-0.19045012042183165	0.15685052578227365	0.0820216833608763	0.1219870878359408	0.020996106548033733	0.07198665102182995	0.1730125772859612	0.17873190506132017	0.11215007702883151	0.15517316692351257	0.004333177051799472	-0.038952000164563	0.06446765697092521	-0.07862619650442591	0.04804351814555625	0.05254559591577264	-0.14470132238166383	-0.013698430679882204	-0.05445592128269498	0.17399686078294252	-0.12597081512549838	0.07557433524751338	0.15330943485822246	0.2035078932042704	0.019190616109783953	0.007501521562792635	-0.021316435496755468	-0.12881300652506578	-0.0053931746639332145	0.033325858992468524	-0.07577818094215448	0.09080452071855588	0.19061319697754453	-0.10269746096018831	0.055655698799725484	0.12321016200378743	0.13611650655592133	0.062085574424976316	0.11245875765214518	0.12054269548534097	0.11786358064148646	-0.03273761855936134	0.10567943226465246	0.00545141629097353	0.15574393486850766	0.25593118170325835	0.15752612865594132	0.3061878816763466	0.3119130336144096
Longitude	0.10364686557331339	0.28744052179780755	0.2696854122560616	0.09129745180287605	0.19731920463973507	0.2866658561904129	0.2362334288009758	0.0918120107099776	0.28182560976756754	0.08863983986509878	0.07057938767518264	0.17884031993195612	0.13598491381192654	0.10962931968005456	0.02688146202594282	0.014826081916706367	0.11642036635509816	0.09813373442579672	0.09678231048296955	-0.11398893415670619	-0.0757419402266521	-0.003969454426212002	0.11325385000370397	-0.05161987102120993	-0.047316801479404605	-0.024054215283626577	-0.001843364875990189	0.06510583798205839	0.06592573953733011	0.07104871063440713	-0.018886008238672487	0.21009270542151987	0.13604145874677287	0.09927594210969248	-0.0022052524590066677	0.13530072010028601	0.037342274972512905	0.012722610340423084	0.2546557685739084	0.15189665847768236	0.10090443623326663	-0.09691801832660074	-0.07294862044524364	-0.16312082804467784	-0.31214500383216687	-0.21461630020922584	-0.2077008546775203	-0.03754583673795968	-0.07929296213500128	-0.11121257785575164	-0.2927896726342699	0.035278384850622055	-0.18240830532075922	0.049199747809787225	-0.1899400906422897	-0.11963211865436942	0.05891982210987046	0.19447499441696495	0.13379097033988915	-0.08174701230733179	-0.005479204186608875	-0.2642231715499066	-0.18972521988987365	0.009397768171459184	-0.1607855222355246	-0.023539656376525022	0.08504923650235716	0.15064701541757858	-0.0987218017481985	-0.02989530705325193	-0.20080802711975332	-0.04271404378291377	-0.19502913477845893	-0.1419956403860909	-0.22663209886406988	-0.09258102182388762	0.09921939717484615	0.08071789449312868	0.021102569684648423	-0.00772403810000797	0.017879508398407906	-0.08331330700257499	0.03717264016797393	0.04709627623350394	0.05189694120195692	0.09061325809123552	0.30364630012476423	0.12652494621213642
Salinity	0.06989499635286202	0.07882907079971276	0.045818231166349074	0.12173524605458833	-0.0077749065597593455	0.1084019881142883	0.09903817337758905	-0.2336147378301508	-0.1674573511034713	-0.15778819458187965	-0.01087356022866707	0.015397142227072507	0.14356152919689455	0.12218760425442887	0.05236611610904095	0.14554059632119695	-0.03881798802381666	-0.008532606544492257	-0.01915171528574902	-0.04931269826011728	0.13472923534500794	0.035843732859865085	-0.008724858779424487	0.10946502988391357	-0.03198737920622445	-0.03613776568976144	0.04611226399624543	-0.13514766667986045	-0.04171308050279614	-0.05616592498770151	-0.07101458289746736	-0.011642569168395994	0.011574715438419913	0.08671141243193423	-0.08020876330922641	0.0727109261468694	0.13796359647386783	0.27631735189509815	0.1834595224228305	0.22170640821934848	0.05735336526228294	0.03708771790942658	-0.038082905949075777	-0.06179778457571628	-0.15778819458187965	-0.16375932281977484	0.12360122362893057	0.04840798186043618	0.052694075803925336	0.15760725130194345	0.049878146009917954	-0.22846916330696462	-0.028447676292472194	-0.057285511532306856	0.02151528687991586	-0.15807091845678	-0.05910625328666504	0.03401168215051088	-0.014130539267518985	0.06652492776404996	-0.057839650327111525	-0.06321140395021799	-0.08803456016646782	0.11255237459782529	0.07299365002176973	0.1895098133456978	0.015826882516921024	-0.04619142668121752	-0.11276724474274955	-0.1818762687233886	-0.07160264855726006	-0.07344600822161028	-0.022442621189588976	-0.1731344465114701	-0.17440104947102364	-0.15960893633623785	0.23160174384086038	0.1176414043460314	0.06845875906836829	0.13287456672566172	0.05546476977794867	0.12443808629863558	0.10508846430045632	0.12841883845723237	-0.17755624791491142	0.23043692147627098	-0.04732232218081888	0.07696309322537051
Iron.5m	0.07933541300786082	0.2743289532405252	0.20582305879493207	0.18617723765377386	0.1266064029096862	0.2794241993108141	0.10484557396576659	-0.014064236378255743	-0.06390829727007163	-0.06738618443236648	-0.005988752040439418	0.05485448044595123	0.13600518089949765	0.09774842211425434	0.006910533515974475	-0.011542061297957368	0.09459853081441982	0.09744304665610162	0.026516768949594365	-0.1178070656340264	-0.015721180993788084	-0.04819277137736046	0.028529984932971545	0.0055815847629024605	-0.12627275194614898	-0.06316182392792055	-0.05070929135658193	-0.043617794606146586	-0.02271088592483919	-0.009489259607041873	-0.07650786246940972	-0.005496758246748928	0.01980981907238837	0.03586465102971368	-0.02537443853206012	0.0896503173721304	0.0702815961837404	0.20219813900463776	0.14780737684699252	0.10527536164761116	-0.03469404510679493	-0.08249095940877223	-0.1327252222748944	-0.16182637241663303	-0.306947576252097	-0.29535461904444754	-0.028869290997585676	0.09103581713597143	0.052993952191650415	0.0024147281598372347	-0.10112451745716494	-0.16809222440984067	-0.2048730018140125	-0.03475059611756395	-0.10739602455144948	-0.1852271806728543	0.017265023587782383	-0.01436395673533156	0.05689597193471292	-0.08872288079551845	-0.08638732405075784	-0.22046977058410874	-0.06378954014745669	0.10946013644451877	-0.08058519034585619	-0.06779335170990344	-0.02151765959761283	0.0023807975533758218	-0.11051764034589948	-0.09208201083519835	-0.08177276157200565	0.009574086123195406	-0.11103225454389758	-0.19620373186312146	-0.24270562801848816	-0.06696205185159881	0.26519596500132814	0.19382293430974562	0.22592694312331935	0.049821440487508285	0.018593972340854397	-0.02461665498775523	0.11219720536573943	0.0997163972890163	-0.12402767681861881	0.14944735615929414	0.16412799855493224	0.11448752130188482
Lyapunov	-0.01074868150584914	0.14620936005368426	0.07063269321568248	0.15595035266836005	-0.045325006584234946	0.13147191002027392	0.027984360248626765	0.04891489825904003	0.03451334452268747	0.09948828448480289	-0.05849843948446998	0.08461437658071282	0.037903797771114495	-0.04474768482366688	-0.03796677832681283	-0.1065840937601486	0.16702443371198392	0.19245808145482812	-0.06611908672396849	-0.13301493363488312	-0.040811400092520954	-0.06876427006329855	0.125845647044556	-0.027753431544399538	-0.045566432047745235	0.06733671080080296	-0.06541580385200375	0.017886477818327084	0.08210565111206247	-0.2594798894771394	0.00045136064917139946	0.08341774602244445	0.101955022916321	0.07380271451916534	0.028866088028403455	-0.10543994699829552	0.07965990619911048	0.026588291263980345	0.1942215370143815	0.013068465307404473	0.07382370803773144	0.007673131035913791	0.264098463561684	0.05449917419762572	-0.058267510780242754	-0.10627968774093999	-0.3063689131945497	0.2019576486059936	-0.08507623398916726	0.07089511219775887	0.017477104206287907	0.04925079455609782	0.0035164143598236932	-0.07503083535528286	-0.1121683696987343	0.045283019547102725	0.13032776325842083	-0.0014590495403447564	0.06086021032315753	-0.13621644521621512	-0.09052405205707323	-0.09861705346430925	-0.04464271723083632	0.1683050383445167	-0.0028971055621234013	-0.08406854509799391	0.04702548158808999	0.1655758809309222	-0.20869656806571543	-0.07888314601216434	-0.03101792368142989	-0.041315244538107636	-0.06261316912342785	0.05033196076225257	-0.03189965146120658	-0.09932033633627399	0.2839688288845086	0.04684703668027804	0.20734248611820125	0.03270790192600188	0.01942950143293629	0.27185556867186217	0.18578214255080464	0.14262996513816223	0.12060776416231116	0.2156874097482306	0.1503555799704913	0.0646705339429068
Okubo.Weiss	-0.0813701058927224	0.07536445274420966	-0.031376599817100996	0.013273050109895277	0.05063674801943739	0.06214706780252924	0.12516003822173385	0.07373160780990755	0.28441808448440553	0.2104947410950913	0.06971134566105763	0.007428207447336546	0.06976701082927247	0.08169791188332093	0.09596675000239288	0.05347567159839449	0.23704084131488187	0.05307364538350949	0.01102788832522986	-0.0140028823153788	0.0681898310631852	0.04502693606711911	0.09097543991912845	0.03876769715229431	0.01605012350194699	0.07334813665109417	0.20493440929229736	0.11431151543852959	0.1257166899038823	0.006246868877443724	0.08550788339669255	0.27064404786057666	0.10373513347770903	0.009494003689976351	-0.05119958472027638	-0.05711864760712157	-0.0027894434294327914	-0.11209109372862633	0.11999554761513433	0.12452916631529894	-0.018468465809947484	0.04041291212397751	0.1536111241982102	-0.06321707603599237	0.04804522518810182	-0.044266178768182896	-0.1906655711732254	-0.030863243265786315	-0.07582832914600005	0.03603391889107637	0.014998670324555475	0.025197766145253195	-0.0016513999903737368	0.029409763873509805	0.044235253674730204	0.05384677271982679	0.20219444601238887	0.3015691413132684	0.07371305275383594	-0.13563745988350578	0.06824549623140004	0.0343454087885594	-0.1631917181498541	-0.09805728631979484	-0.0650602116057728	0.07783846022042501	0.10776158064524949	0.01541925159551208	-0.05637644536425697	-0.06498599138148634	-0.0913094309284175	0.03066532266768909	-0.0853223328359764	0.09555235375012681	0.017113946716719588	-0.026756390855268857	-0.12843191310902863	-0.22218442642020877	-0.1909871921451334	-0.010928928026181246	-0.033034184826165276	-0.012475182698815831	0.12140573187657708	0.15032069425484382	0.15815092791706534	-0.029174733163269347	0.019649804379840305	-0.05744026857902956
