	GguR	NrdR	VanR	CblR	LldR	NagR	Irr	SiaR	IscR	KdgR	NagC	MetR	FUR	SahR_SamR	AgaR	GulR	BirA	NadQ	CzrA	XylR	AraR	NsrR	RbkR	ArgR	NrtR	Phr	Zur	MntR	ThiR	Rex	CcpA	LiuQ	ExuR_UxuR	PdhR	TtrR	PhrR	HutC	PhnF	ModE	NiaR	NmlR	FruR	BioQ	CueR	MerR	NifA	PaaR	AcnR	FadP	RbsR	SdaR	HrcA	QorR	NnrR	NtrC	LiuR	PurR	FabR	GntR	LexA	AmtR	HcpR	PrpR	LtbR	DasR	RutR	FixJ	GlcC	CadR-PbrR	MetJ	ZntR	NorR	FadR	FnrN_FixK	PhnR	CsoR	PdxR	HypR	HexR	NikR	HisR	PsrA	SoxR	NarP	TyrR	PhsR	NagQ	TrpR
Temperature	0.2978914949064203	0.2597962568111822	0.4416738363321238	0.3689048491876457	0.35632115113654783	0.5706280626940485	0.4881482312747042	0.5554957044352175	0.44940460604246935	0.48735021633686204	0.43428222297036123	0.5712664746443222	0.5227421788301599	0.48398857841120213	0.6694971258993254	0.5923240938166311	0.21182059626678637	0.2682651903390317	0.2788787890123318	0.26478883776605694	0.3664459656604197	0.3630943029214828	0.36129876931133803	0.2902205763164129	0.31491415104926496	0.2678262821232185	0.39427174902430207	0.37504956420903	0.33284454918390505	-0.04641205002556142	0.22101273083205528	0.07966932256013168	0.31254005660918466	0.10472699160837418	0.15091709372934825	0.15386476140600258	0.07785882616990236	0.15341587800346637	0.13875235352061746	0.17815434107657202	-0.3399019937904463	-0.19489270439781045	-0.3676779012207135	-0.278385017269542	-0.2500105986358932	-0.26098330403122233	-0.3830945523011509	-0.32385690594645816	-0.36187234254791206	-0.36265539470566965	-0.527465429743513	-0.5778500978815198	-0.5408222047656455	-0.48636267285128243	-0.559291262983329	-0.542373346301076	-0.5860746393346551	-0.6802354144066635	-0.6053217621167346	-0.08443247422037681	-0.03989326550206362	0.038955597950099126	0.06538984276611928	0.20630431800895274	0.20890285415030113	0.25812541303507525	0.009354231349518074	-0.07557450841032931	-0.06862180326437986	0.05027244728737266	-0.18591503634708662	0.0561278818937892	0.06696592226835746	0.1032307135999202	-0.07889125799573561	-0.19266823775857556	-0.20280801506253196	-0.01606753201411489	-0.06190351500642153	-0.14113642314742078	-0.30981683063379845	-0.3308046234990461	-0.28351226324517764	-0.1460741405753189	-0.1711068716567538	-0.21393034825870647	-0.26954700183294056	-0.4097881519719697
FluxAttenuation	-0.28420950341682966	0.07564659379346339	-0.017210086248641412	0.11800738988946023	0.10300123182331904	0.22645362075189746	0.07914695031861078	0.2340377265563835	0.36034225783878576	0.3632916323183081	0.3559992228909177	0.3474427958294462	0.3688338634831248	0.28482530687958707	0.12241524625446067	0.24755299202848044	0.3823815396637879	0.22979192373421398	0.32776949572977515	0.31457833734334	0.3439424393042988	0.32426913920462774	0.3588513652447415	0.3731120770138605	0.3693848455287499	0.36322681090117576	0.3609904720101093	0.3736630590594856	0.3506838666860642	0.3015492324997358	0.3009010183284122	0.19238996604884262	0.12432747805986527	0.1005056072637232	0.025377584807318693	0.28275102153135157	0.28852012765613155	0.20049264319038754	0.24356647487484034	0.19922862555630652	-0.04518052774125448	-0.3846826999719867	-0.2524470090219736	-0.2503079022566057	-0.3082258384643688	-0.29205289488984515	-0.2732546839214609	-0.417028587121034	-0.3238477999932674	-0.34705386732665205	-0.1978349650879608	-0.23795942229289124	0.0014908925940442656	-0.39187787727367857	-0.30543851752767737	-0.2107668378058665	-0.39547546592452454	-0.17132300548082582	-0.25740584743259903	-0.0859856098260747	-0.14273676052545534	-0.24995138446237772	-0.05555195448243198	-0.3529202055771306	-0.2110585341829621	-0.18389836040450352	-0.1429312247768524	-0.37645037999617703	-0.17391586216612018	-0.1431256890282495	-0.08303623534655236	-0.10851105227956959	-0.2439554033776345	-0.24214040369792844	-0.26064691828921704	0.07409087978228676	-0.08242043188379494	0.10212614269203218	0.29490503724366895	0.20551630301814539	0.2868671815192564	0.27568548706392443	0.04735204521518852	0.11962792531776922	0.2289492453114933	-0.07678096859327968	0.15278408018097103	0.27944512925760123
Salinity	0.386146959438397	0.21642414493946308	0.34430603872866244	0.2606740732428085	0.2630930560231424	0.268015810670956	0.3092332822105014	0.3723163630469208	0.25571640544146435	0.20837416925398072	0.1758500729435529	0.3224005286848963	0.26131747278644374	0.2974725370640532	0.393329093878976	0.3421015224628736	0.023947929525305802	0.17610444020499008	0.1933315876756568	0.11204379106971409	0.2337959326176137	0.21679322684821506	0.18485766655444583	0.13711642289804113	0.12030823326974152	0.07376899961346152	0.1534906919038891	0.1363982094539832	0.126143717502712	-0.0764772628087632	0.012725844461901021	-0.1787528522799536	0.1697053579221686	0.24659409718325664	0.06281624459157845	0.023309517575032107	0.1869275177994738	0.2064788837766057	0.10905123505280614	0.06798339131410616	-0.15630369455978255	-0.023040187533510392	-0.20981558373545806	-0.11405379119440393	-0.13279217945360916	-0.1070412349281163	-0.16956071771468473	-0.3251536802204516	-0.16809436526639984	-0.24084340203743188	-0.26106310552500656	-0.3185949949500617	-0.27576653075474755	-0.19902741929450493	-0.242778588261699	-0.3666604321749648	-0.3949650245015524	-0.4436539108966446	-0.3241262359879799	-0.13355528123792068	0.06935996708188381	0.03847180139403234	0.04135463035698699	0.40628686143218745	0.15054801182059627	0.2539956857317423	0.05569396127133755	0.16556565543211263	0.2136061546902081	0.21129191137046596	-0.08249230040274816	-0.0662626716043841	0.20280801506253196	0.12464245190089653	-0.1471763987082133	-0.24509781917480267	-0.22246910809361714	-0.147056696467537	-0.14217384256661555	-0.06278133143804786	-0.36432125088841505	-0.3894138330901882	-0.2567089365204055	-0.08245738724921757	-0.24681853888452474	-0.1366176635618898	-0.09958977044601554	-0.22801531191161983
Brunt.Väisälä	0.4259519804365877	0.18264351532545228	0.26001361585296445	0.2247320598678648	0.15726012152486876	0.3104280416935177	0.349227876470201	0.4283731328371692	0.268310133671054	0.24562818003517659	0.2538472850422222	0.34379563266073754	0.306429269592006	0.27295223292641363	0.3530157653967998	0.39488274913518995	0.05074543234294804	0.180796285489507	0.21904355295977312	0.10474754156429675	0.2860269897710091	0.2507427643786321	0.16636280034072634	0.20684169229488017	0.2151622347784661	0.19985318404270563	0.25709595369879074	0.23188073255668198	0.22174232371720187	0.02698236875973271	-0.031677856160639895	0.05994154041351385	-0.045406617788192855	0.011483790107278404	0.1464276667932705	0.12019807088575825	0.2164755831589359	0.21614724606381844	0.08815984474267238	0.009930195071844646	-0.05890847979716872	-0.130595412231144	-0.3363720110223505	-0.2053948735505415	-0.08303992158466215	-0.15125662455804653	-0.15143547484563086	-0.17349812599315664	-0.15359235592575193	-0.19215728286202602	-0.26348918412811007	-0.24254501462980546	-0.302809553323882	-0.2728427872280412	-0.3835030659117293	-0.3206625491949833	-0.3204676824637348	-0.28057872951788143	-0.3948400386187519	-0.12355084642614451	-0.15819174466467353	-0.10220893524351066	-0.12785926977183196	0.21934252657483944	-0.07247173817352427	0.03422447070325812	-0.04303885353315893	-0.023530825150083482	0.09687012068875547	-0.005571052987887036	0.07065921063218489	-0.13777344840001232	0.1031805994924761	-0.05154358511888394	-0.095353897355205	-0.20335544639062503	-0.19804866472319838	0.009158736368682521	0.03438730454717815	-0.014110486868217956	-0.27913191077354277	-0.19801396242859245	-0.218653819497276	-0.1361584569971989	-0.23574603429432472	-0.2255996172330125	-0.082225752365062	-0.15785806875500133
Ammonium.5m	0.05043762580477213	0.06585771284743956	0.17348159061539528	0.03276051486211861	0.017714520178564896	0.2043467041913377	0.21315034437581387	0.2636528128561657	0.046160503165571964	0.11504836412183263	0.08589659355063102	0.11934543835351887	0.18241491615103086	0.1403395015469807	0.1122875625115734	0.2073294672680044	0.1314435852472565	0.09140323307678494	0.19154775761152706	0.15455002329518042	0.17654914796012777	0.11550475679995137	0.10141643855572877	0.16120138544022233	0.11665446731696086	0.09350563213500403	0.1406362814852109	0.13168799225521077	0.11238732047400372	-0.09152044868264057	0.048325250950310004	-0.1465718802498152	0.06910732847360739	-0.06071020198603481	0.07996099478602671	0.1555700484610305	0.07112243931469994	0.02336082085212127	0.1535624194671202	0.0170236962887349	-0.051038667528414836	-0.08539032189129712	-0.19809187994695637	-0.07150151957193518	-0.155801985723681	-0.15276186181861687	-0.218644514156664	-0.14047168084720085	-0.13000956453732057	-0.1611540004080679	-0.17037662403475143	-0.19145797544533977	-0.21146692875980214	-0.18096343779766963	-0.161565502003093	-0.13969107479118356	-0.20352370100128755	-0.08153966454148659	-0.12930876485124754	-0.35479168733251026	-0.10204241976997906	-0.2086288147286594	-0.09893994713839596	0.16633892050538404	0.04699597610092593	0.08091867122535781	0.009190202288893655	-0.11097823925467538	-0.13228404608073197	0.15080909970404324	0.004573902577430384	0.24153647258536273	0.19031824072457332	0.11369664373090173	-0.12278958200642583	0.017160863487076593	0.04565672545529882	0.19367010826223222	0.06340616092071433	0.07694581037157014	0.045684158894967165	-0.12380212532509362	-0.11956989376898709	-0.08101842918778815	-0.04937270955582841	-0.1384216547192577	-0.07672135495610191	-0.036748339410270836
Nitracline	0.3884553504476473	-0.04345032491329307	0.02666769183252669	0.05917855172720502	0.05380766980541526	0.057261948669224835	0.2054554544560314	0.27624345851724824	0.12685276228161738	0.22057959434622468	0.2244073087628785	0.2072951737237201	0.2098323388033386	0.1743559612831322	0.21354472753455525	0.2095193119428662	0.12871444834653223	0.18805225935362674	0.1792270985680274	0.09341929690344142	0.12816527841587888	0.2222875128305566	0.15333373633772193	0.1727523850856244	0.1755421683333434	0.17543782604651928	0.1382809885385136	0.14778162833881656	0.17605289636885102	0.1219212163043503	-0.053994387581837396	0.011450193054122353	-0.05240728648224922	0.02570115275457679	-0.10183807194035727	-0.052841130727465366	0.058514056111114474	0.1327563390361409	0.09280971828041619	0.06213308595412005	0.06200128517076325	-0.044861691635072184	-0.18726694635279245	-0.12219580126967697	-0.04924955938099245	-0.011247000179780614	-0.01790843143860575	-0.1297578712147736	-0.06999719936107603	-0.168342550542478	-0.10477063937004616	-0.10155250357641753	-0.13429950654127681	-0.0551256776389833	-0.12722619783446165	-0.1977176501331257	-0.16237307339627607	-0.21216631100861535	-0.22308380923000395	0.02392184217925994	-0.10863130398253922	-0.16045097863898936	-0.11347498277090176	0.04486718333437872	-0.20980488030680594	0.0024438061914074088	-0.047184680441735856	0.1319380758394674	-0.11151993781777583	-0.10256846794812623	-0.10948800907435845	-0.27963732868868596	-0.16754625414303062	-0.15945148936520026	-0.27856644732391195	-0.32662979965469313	-0.244649712406761	-0.08245786508760054	-0.09027255320079772	-0.11912594135732474	-0.20300066486601093	-0.11024586357866006	0.035553261310497894	-0.09464943754810491	-0.17591560388618768	-0.21215532761000228	-0.21744383404219403	-0.11834062835649045
Depth.Min.O2	0.20245153025653095	0.037061940632778075	-0.007110238745653788	0.03014054525018793	0.11481676474269426	0.25666388177117977	0.29820083785595086	0.2857371758937505	0.17082026694337096	0.2852965413799353	0.2886470804427766	0.2819603086324776	0.2721347312270148	0.2967043972668253	0.27167692913473934	0.20561608721938532	0.2384347747093849	0.20975633489140183	0.27927930512958926	0.22807127984549838	0.258040149311083	0.2659029002459146	0.19990500611824852	0.2760346328005867	0.26332490221378824	0.27023485254407154	0.23658353749874586	0.24804861864717032	0.26199727614618934	0.19668608515693645	0.12184402685912311	-0.08452457254944007	-0.06816959280289799	-0.11566369861340392	-0.07327694739484648	0.15801325341196398	0.1177295305547971	0.21297525585271393	0.1284964635125014	0.09850184267922628	-0.005974317304195216	-0.1904485316496828	-0.29973447486507376	-0.26540790173364176	-0.17649129036143366	-0.09402110470107987	-0.26560246762285883	-0.1393664019409677	-0.156356582090542	-0.12488554950967844	-0.09544315245021064	-0.2663864537058806	-0.178133655367472	-0.2270641152424923	-0.27218623396239583	-0.19354155703561915	-0.29179733109024736	-0.18730972605451895	-0.24484686526431856	0.07505093050241403	-0.06034117702498702	-0.2413561243107179	-0.1454208346113111	0.018246274640255213	-0.23593689204340673	-0.16987605012805274	-0.17132957177102745	-0.21565339809252557	-0.14979856711869555	-0.016592464581909987	-0.07926843227750204	-0.1628516492747006	-0.2668270882196958	-0.24580252713194367	-0.28830659013664667	-0.17316936392935958	-0.24404285033975973	0.09106255867974948	0.0949281250964007	0.1481018381141995	0.0010214709183896992	0.05155996064252767	-0.11731464740867242	-0.03128218921779995	-0.02835797835339022	-0.13287991854603928	-0.22652333652099185	-0.0799723029943756
Residence.time	-0.03661286399083956	-0.06324861623504645	0.19569915992316203	0.10369658205071045	0.03962672779496355	0.11000602885052556	0.1464328518658019	0.16307820372226448	0.25066895274564566	0.16490406301100624	0.17509379301542544	0.20111561004027376	0.1694381473583039	0.1894402099595712	0.1869313145176902	0.21695832797359216	0.09374870531452342	0.14493920860485157	0.1761861193148037	0.15176957013624368	0.21095983537578983	0.20297867752412818	0.15777869364693534	0.16187159510932594	0.15288581598962295	0.159267021451441	0.1758220105483443	0.15905706092187682	0.18899902707466418	0.08909768092544319	0.12581153858873134	0.01211924069383191	-0.05433725350556873	0.047934786217972	-0.008127332903889908	0.1353501251786793	0.1380184843139002	0.12344616047085626	0.1271217986023408	0.10289129039934398	-0.023055792328726277	-0.19405402615353878	-0.0782009952138838	-0.2464856885236958	-0.11560586221497816	-0.2174659540640575	-0.1678408526966826	-0.20889743827526056	-0.12542085254004862	-0.21953100889280913	0.0899906776081466	-0.12573712219850605	-0.0537871037635461	-0.1748705438447496	-0.2430519036604434	-0.20341454495259054	-0.14869192085478375	-0.14617505222823576	-0.1715855917619478	-0.14021111009732373	-0.04233229512529708	-0.10385073028760568	0.01652043863001297	0.04946563767403498	-0.07497982860841795	-0.11908217072978784	-0.15624784219087237	-0.07180384338273173	0.07059723476979321	0.022157480189578208	0.036857374987294064	-0.07777841642653308	-0.0135331521081123	-0.1302632333611367	-0.07749935496318827	-0.17323604098801568	-0.22834935113450522	0.09619381527906845	0.060317142005814735	-0.007933318743659705	0.02525904902503914	0.057678017881039496	-0.0060250698800256445	0.06487514590711337	0.03864071062447854	0.08339419616031966	0.011571748680031609	0.052827663875284404
Depth.Max.O2	0.05237903743096825	0.051866054285839645	0.10238624829766212	0.09150697092204148	0.20113262180713645	0.05701894115937864	0.12266925602471326	0.2040087857331946	0.3070838147706642	0.24021444445370374	0.2438370276752018	0.2979567494862693	0.25958964492954417	0.2958010675056166	0.28279204549937775	0.22115625603384167	0.1563906929974648	0.2691028885366763	0.22421109948236032	0.2496383482996056	0.23281077198271846	0.289411833613762	0.21947897406493805	0.2526096158424572	0.23908184683552655	0.23418545153455186	0.2469264542570999	0.23758612631686507	0.27995911049004396	0.18859623595708352	0.1521139121695387	0.017424135367682753	-0.10313554952088368	0.13486269246875324	-0.06393556783526991	0.06167037259891552	0.18502264550787303	0.2806392454465066	0.1445142686094032	0.011521947270922204	-0.07695899948041685	-0.26246292692782064	-0.19693365302931412	-0.3106343497976217	-0.2200006029934115	-0.157926760505069	-0.16809420171862915	-0.28104847919149684	-0.24447681564272175	-0.12102943911697071	0.08005130799009656	-0.06472521604743417	-0.0929133516794727	-0.1651056426090878	-0.2295628393728312	-0.2165192342332129	-0.21622527759948754	-0.21541833782063355	-0.2802588309793326	0.17885820198298497	0.1723767464021185	-0.0708694860778509	-0.20102022662365324	-0.0138418991351274	-0.19823340245882537	-0.10395113508308251	-0.19895676633201234	-0.0444393263926014	-0.031836656203571186	-0.012977320800640992	-0.08843771783461472	-0.19422464091459005	-0.1262370826183605	-0.07850947662692914	-0.2804951490574255	-0.18310328160531322	-0.3327444997382208	-0.024623190966172916	0.07454394399941815	0.016331884738448255	-0.0020893976416754873	0.002046168724951167	0.10563418090754939	0.14473905897636966	0.021435778839699687	-0.030038333267839452	-0.029531113978274095	0.005325802540436277
Latitude	-0.1197073775327026	-0.15042350954949976	-0.267080969938698	-0.12696184112260786	-0.30915386620040014	-0.38082317837306673	-0.306652585010756	-0.38586065394941893	-0.29433570784659574	-0.36798759085252963	-0.3605361170791928	-0.39078092093562833	-0.41029739809430776	-0.3741722143324076	-0.4443926288269254	-0.424055691537246	-0.22025239747694458	-0.3027323317404462	-0.2893855152629031	-0.23315282379202876	-0.3770251212924804	-0.34290245876216974	-0.2682081674439016	-0.32862545496285467	-0.2908369067408422	-0.291901759251289	-0.35381782044419635	-0.350184354149768	-0.35493005515065823	-0.11163245381179741	-0.21408273679580825	0.019119962992025976	0.06571162447370346	0.020758389454235582	-0.04072624437495451	-0.22854428177960356	-0.11073967348687953	-0.16399975560774804	-0.15981017196008876	-0.01433685499428164	0.15633880265202824	0.17182280554983562	0.39229465740832425	0.28212606407341734	0.21123481743531605	0.2729862878420654	0.3437229188931697	0.253205467905617	0.31394196179772504	0.20219479319557507	0.13739839324490194	0.2994579726158173	0.3502965751403303	0.29487935620087535	0.3591096635991564	0.38933202325747945	0.3514586858425977	0.2618888787753489	0.312627729308251	0.20149154165471797	0.13048558022626414	0.14517156719118404	0.29639808027315184	-0.05334985891331834	0.09567213515404781	-0.028005371644770013	0.0957294925492241	0.10284929095045457	0.07437757874490344	-0.047938313368425106	0.003840451677020999	0.063262713079655	-0.03108272058596736	-0.09211597665311796	0.23103558777008665	0.24952461941517348	0.19029936819597107	-0.14149820010011135	-0.020636193264512187	0.0872331166637627	0.09341025874426985	0.2096736987666049	0.1045625314063724	0.0915798096982092	0.09769710058374978	0.16037626451248083	0.09636291769595352	0.21608775182718803
