	FixJ	NorR	FadP	TtrR	AcnR	FadR	BioQ	GulR	CueR	LiuQ	FruR	PhnF	NarP	GntR	LtbR	SdaR	NagR	RutR	MetJ	NagQ	HexR	ZntR	RbsR	TyrR	RbkR	LiuR	PhrR	GguR	NtrC	ExuR_UxuR	HutC	HypR	NifA	PsrA	TrpR	NmlR	VanR	GlcC	SahR_SamR	Irr	SoxR	AgaR	ArgR	CblR	MetR	NnrR	CsoR	LexA	XylR	LldR	NrdR	NiaR	Rex	CadR-PbrR	NrtR	PrpR	CzrA	IscR	FUR	PdxR	DasR	HisR	AmtR	QorR	PhsR	HcpR	NikR	FabR	FnrN_FixK	CcpA	PaaR	BirA	HrcA	SiaR	PdhR	MerR	ModE	NsrR	Phr	NadQ	MntR	PurR	ThiR	PhnR	Zur	AraR	KdgR	NagC
Lyapunov	0.5714285714285714	-0.3333333333333333	0.21428571428571427	0.35714285714285715	-0.047619047619047616	0.19047619047619047	0.21428571428571427	-0.07142857142857142	-0.11904761904761904	0.0	-0.023809523809523808	-0.14285714285714285	-0.14285714285714285	-0.07142857142857142	-0.3333333333333333	-0.14285714285714285	-0.21428571428571427	0.047619047619047616	-0.47619047619047616	-0.38095238095238093	-0.5952380952380952	-0.19047619047619047	-0.2857142857142857	-0.19047619047619047	-0.21428571428571427	-0.38095238095238093	-0.3333333333333333	0.2857142857142857	0.40476190476190477	0.40476190476190477	0.21428571428571427	0.047619047619047616	-0.047619047619047616	-0.2857142857142857	-0.7142857142857143	0.35714285714285715	-0.21428571428571427	-0.023809523809523808	0.09523809523809523	-0.35714285714285715	-0.38095238095238093	-0.7619047619047619	-0.7380952380952381	-0.6428571428571429	-0.5238095238095238	0.0	-0.6666666666666666	-0.5476190476190477	-0.30952380952380953	-0.8333333333333334	-0.6190476190476191	-0.6666666666666666	-0.19047619047619047	-0.5952380952380952	-0.8333333333333334	-0.7142857142857143	-0.7142857142857143	-0.8809523809523809	-0.5714285714285714	-0.3333333333333333	0.30952380952380953	-0.6428571428571429	-0.047619047619047616	-0.38095238095238093	-0.42857142857142855	-0.11904761904761904	-0.42857142857142855	0.07142857142857142	0.14285714285714285	-0.2619047619047619	-0.5714285714285714	-0.4523809523809524	-0.2857142857142857	-0.23809523809523808	-0.42857142857142855	-0.38095238095238093	-0.5	-0.6428571428571429	-0.7380952380952381	-0.6190476190476191	-0.5	-0.8809523809523809	-0.6666666666666666	-0.47619047619047616	-0.5	-0.5238095238095238	-0.6428571428571429	-0.6666666666666666
Okubo.Weiss	0.23516483516483516	-0.07252747252747253	0.2923076923076923	-0.006593406593406593	-0.002197802197802198	-0.3758241758241758	-0.11208791208791209	-0.16043956043956045	-0.12087912087912088	-0.18681318681318682	-0.07692307692307693	0.046153846153846156	-0.48131868131868133	-0.4901098901098901	-0.3626373626373626	-0.34945054945054943	-0.16043956043956045	-0.4065934065934066	0.054945054945054944	-0.24395604395604395	-0.3054945054945055	-0.1076923076923077	-0.2835164835164835	-0.16483516483516483	-0.3978021978021978	-0.27472527472527475	-0.16483516483516483	0.11208791208791209	-0.1824175824175824	-0.13846153846153847	-0.09010989010989011	-0.05054945054945055	0.12087912087912088	-0.35384615384615387	-0.4593406593406593	0.1076923076923077	-0.1912087912087912	0.24395604395604395	-0.006593406593406593	-0.4197802197802198	-0.6307692307692307	-0.43736263736263736	-0.22197802197802197	-0.25274725274725274	-0.17802197802197803	0.15604395604395604	0.2835164835164835	-0.5648351648351648	-0.1076923076923077	-0.12087912087912088	-0.1824175824175824	-0.34945054945054943	-0.3758241758241758	-0.015384615384615385	-0.3274725274725275	-0.0989010989010989	-0.3054945054945055	-0.002197802197802198	-0.23516483516483516	-0.34945054945054943	0.27472527472527475	-0.2967032967032967	-0.08571428571428572	-0.21318681318681318	0.0989010989010989	-0.23076923076923078	-0.11208791208791209	-0.24835164835164836	-0.13406593406593406	-0.27472527472527475	-0.15164835164835164	-0.26153846153846155	-0.12527472527472527	-0.35384615384615387	0.12087912087912088	-0.1824175824175824	-0.35384615384615387	-0.26153846153846155	-0.701098901098901	-0.2835164835164835	-0.5560439560439561	-0.578021978021978	-0.16923076923076924	-0.11648351648351649	-0.25274725274725274	-0.3142857142857143	-0.27472527472527475	-0.31868131868131866
Alkalinity.total	0.5176470588235295	-0.01764705882352941	0.4441176470588235	0.6647058823529411	-0.2088235294117647	-0.20294117647058824	-0.06764705882352941	0.4088235294117647	-0.20588235294117646	-0.24705882352941178	-0.12941176470588237	-0.08529411764705883	-0.21176470588235294	-0.08235294117647059	-0.07647058823529412	0.08235294117647059	-0.4970588235294118	-0.17058823529411765	-0.36764705882352944	-0.5147058823529411	-0.5058823529411764	-0.6352941176470588	-0.47941176470588237	-0.36470588235294116	-0.27941176470588236	-0.22941176470588234	-0.14705882352941177	0.14411764705882352	-0.2411764705882353	-0.3411764705882353	-0.4	-0.17058823529411765	-0.0029411764705882353	-0.27941176470588236	-0.10882352941176471	-0.2735294117647059	-0.27058823529411763	-0.2235294117647059	-0.27647058823529413	0.5588235294117647	0.10882352941176471	0.17058823529411765	0.07941176470588235	0.3411764705882353	0.05588235294117647	0.2647058823529412	-0.23529411764705882	-0.01764705882352941	0.22058823529411764	0.3323529411764706	0.09411764705882353	0.06470588235294118	0.1	-0.34705882352941175	-0.3029411764705882	-0.0029411764705882353	0.07647058823529412	-0.11764705882352941	-0.34705882352941175	-0.17941176470588235	-0.18235294117647058	0.05	-0.23529411764705882	-0.1264705882352941	0.11470588235294117	0.020588235294117647	0.014705882352941176	-0.029411764705882353	-0.058823529411764705	-0.1264705882352941	-0.40294117647058825	-0.31176470588235294	-0.25882352941176473	-0.31176470588235294	-0.06470588235294118	-0.061764705882352944	-0.1676470588235294	-0.0058823529411764705	-0.15	-0.12941176470588237	-0.2823529411764706	-0.2323529411764706	-0.36764705882352944	-0.25882352941176473	-0.31470588235294117	-0.14411764705882352	-0.18235294117647058	-0.29411764705882354
CO3	0.39705882352941174	0.37058823529411766	0.20294117647058824	0.7705882352941177	-0.09117647058823529	-0.17941176470588235	0.2852941176470588	0.39705882352941174	-0.32941176470588235	-0.020588235294117647	-0.3588235294117647	-0.5088235294117647	-0.36764705882352944	-0.5411764705882353	-0.6617647058823529	-0.5588235294117647	-0.7176470588235294	-0.6441176470588236	-0.5441176470588235	-0.4970588235294118	-0.47058823529411764	-0.3735294117647059	-0.5176470588235295	-0.3911764705882353	-0.7323529411764705	-0.7029411764705882	-0.611764705882353	-0.1	-0.32941176470588235	0.10588235294117647	-0.06764705882352941	0.09117647058823529	0.27647058823529413	0.008823529411764706	-0.05588235294117647	-0.0058823529411764705	0.17058823529411765	0.47058823529411764	0.10882352941176471	0.28823529411764703	-0.14411764705882352	0.5823529411764706	0.20588235294117646	0.39705882352941174	0.4	0.2852941176470588	0.08823529411764706	0.1264705882352941	0.16176470588235295	0.18235294117647058	0.03529411764705882	0.1	0.13823529411764707	-0.052941176470588235	0.12941176470588237	0.09117647058823529	0.1	0.1264705882352941	0.19705882352941176	0.31470588235294117	-0.24705882352941178	-0.16176470588235295	-0.09117647058823529	0.10294117647058823	-0.20294117647058824	-0.18235294117647058	-0.31176470588235294	-0.3735294117647059	-0.2676470588235294	-0.1588235294117647	-0.3088235294117647	-0.17647058823529413	-0.3	-0.3176470588235294	-0.2823529411764706	0.06764705882352941	-0.1323529411764706	0.058823529411764705	0.04411764705882353	-0.10294117647058823	-0.3735294117647059	-0.3588235294117647	-0.23823529411764705	-0.2	-0.24705882352941178	-0.16470588235294117	0.14411764705882352	-0.041176470588235294
Temperature	0.0942970073404856	0.5098814229249012	0.21287408243929984	0.3495200451722191	0.35403726708074534	0.14511575381140598	0.1541501976284585	0.18012422360248448	-0.2727272727272727	-0.4127611518915867	-0.32241671372106157	-0.163184641445511	-0.29079616036137773	-0.37662337662337664	-0.11575381140598531	-0.42857142857142855	-0.3845285149632976	-0.28402032749858835	-0.06041784302653868	-0.2140033879164314	-0.25014116318464147	-0.2365894974590627	-0.277244494635799	-0.34726143421795597	-0.4782608695652174	-0.5335968379446641	-0.7402597402597403	-0.44776962168266515	-0.27498588368153587	0.37549407114624506	-0.09768492377188029	-0.06719367588932806	0.2388481084133258	0.04799548277809147	-0.0660643704121965	0.41727837380011296	0.3235460191981931	0.055900621118012424	0.30321852060982496	-0.08526256352343309	-0.42179559570863917	0.14285714285714285	0.11801242236024845	0.07848673066064371	0.2478825522303783	0.31225296442687744	-0.025409373235460192	0.1067193675889328	-0.010728402032749858	-0.08639186900056466	-0.003952569169960474	-0.15979672501411632	-0.1259175607001694	0.08639186900056466	0.17786561264822134	0.14511575381140598	0.11462450592885376	0.017504234895539244	0.365330321852061	0.189158667419537	-0.2230378317334839	-0.32919254658385094	-0.1767363071710898	-0.11914172783738002	0.031055900621118012	-0.21852060982495766	-0.32241671372106157	-0.40146809712027104	-0.08526256352343309	-0.0378317334839074	-0.053642010163749296	-0.3201581027667984	-0.10446075663466968	0.000564652738565782	0.07396950875211744	-0.38226990400903443	-0.29757199322416716	-0.11349520045172219	-0.26595143986448333	-0.15302089215132694	-0.3438735177865613	-0.2704686617730096	0.08639186900056466	-0.07284020327498589	-0.05928853754940711	-0.18012422360248448	0.06267645398080181	0.04799548277809147
NO2	0.23508771929824562	-0.06666666666666667	0.10526315789473684	0.4280701754385965	0.39649122807017545	0.14035087719298245	0.6263157894736842	0.36140350877192984	0.17543859649122806	0.16140350877192983	-0.13333333333333333	0.04035087719298246	0.05087719298245614	-0.23859649122807017	-0.17192982456140352	-0.23859649122807017	-0.156140350877193	-0.38421052631578945	-0.5017543859649123	-0.4631578947368421	-0.39824561403508774	-0.32280701754385965	-0.4070175438596491	-0.4	-0.4964912280701754	-0.7473684210526316	-0.5421052631578948	-0.18070175438596492	-0.21403508771929824	0.16666666666666666	0.20877192982456141	0.38070175438596493	0.02982456140350877	0.07017543859649122	-0.12456140350877193	0.20701754385964913	0.22105263157894736	0.30701754385964913	0.012280701754385965	0.15087719298245614	-0.1	0.5070175438596491	0.19824561403508772	0.4421052631578947	0.2578947368421053	0.12105263157894737	0.06491228070175438	-0.1	0.19473684210526315	0.0	-0.11052631578947368	0.10877192982456141	0.0824561403508772	0.12105263157894737	0.20701754385964913	0.2596491228070175	0.2894736842105263	0.10701754385964912	0.35964912280701755	0.3719298245614035	-0.22280701754385965	-0.20877192982456141	-0.23684210526315788	-0.24210526315789474	-0.2807017543859649	-0.2912280701754386	-0.28596491228070176	-0.2789473684210526	-0.012280701754385965	-0.08070175438596491	-0.12631578947368421	-0.07543859649122807	-0.07017543859649122	0.1824561403508772	-0.1543859649122807	0.0	-0.22280701754385965	-0.043859649122807015	-0.0035087719298245615	-0.17192982456140352	-0.2649122807017544	-0.4280701754385965	-0.27017543859649124	-0.2631578947368421	-0.1	0.06140350877192982	-0.008771929824561403	0.05789473684210526
Ammonium.5m	0.06493506493506493	0.19593450028232637	0.2885375494071146	0.2761151891586674	0.40146809712027104	0.2761151891586674	0.5087521174477696	0.15640880858272163	-0.05251270468661773	0.08865047995482778	-0.006211180124223602	0.06041784302653868	-0.3269339356295878	-0.35177865612648224	-0.19141727837380013	-0.36645962732919257	-0.08413325804630152	-0.25691699604743085	-0.4116318464144551	-0.5945793337097685	-0.409373235460192	-0.435347261434218	-0.3201581027667984	-0.34726143421795597	-0.47261434217955955	-0.6352343308865048	-0.6171654432523997	-0.20383963862224733	-0.2761151891586674	0.2919254658385093	-0.16431394692264256	0.06719367588932806	-0.269339356295878	-0.2106154714850367	-0.15302089215132694	0.15640880858272163	0.09768492377188029	0.0016939582156973462	-0.0660643704121965	0.21739130434782608	-0.07848673066064371	0.32241671372106157	0.3450028232636928	0.3924336533032185	0.07058159232072275	0.06493506493506493	-0.0660643704121965	0.1281761716544325	0.1101072840203275	0.189158667419537	0.09090909090909091	0.10559006211180125	0.10220214568040654	0.13156408808582723	0.1259175607001694	0.3867871259175607	0.026538678712591756	0.08639186900056466	0.07171089779785432	0.1101072840203275	0.07622811970638058	-0.043478260869565216	-0.07848673066064371	-0.13946922642574816	-0.14737436476566912	-0.2761151891586674	-0.4782608695652174	-0.07961603613777526	-0.12704686617730096	-0.025409373235460192	-0.1293054771315641	-0.2715979672501412	-0.033314511575381144	-0.07171089779785432	-0.25804630152456237	-0.08074534161490683	-0.15866741953698477	-0.2230378317334839	-0.313382269904009	-0.1293054771315641	-0.29983060417843027	-0.37662337662337664	-0.1417278373800113	-0.2264257481648786	-0.1281761716544325	-0.17108977978543197	-0.14624505928853754	-0.14398644833427443
PAR.PC	-0.6030075187969924	-0.13984962406015036	0.17593984962406015	0.0	-0.12481203007518797	-0.09924812030075188	-0.2857142857142857	-0.2721804511278195	-0.3007518796992481	-0.20601503759398496	-0.11729323308270677	-0.039097744360902256	-0.1699248120300752	-0.21954887218045113	-0.0481203007518797	-0.010526315789473684	0.33533834586466166	0.22706766917293233	0.5714285714285714	-0.021052631578947368	0.4330827067669173	0.3879699248120301	0.4075187969924812	0.4045112781954887	0.2646616541353383	0.3067669172932331	-0.007518796992481203	-0.26917293233082706	0.03609022556390978	0.11428571428571428	-0.02706766917293233	0.16691729323308271	0.23458646616541354	-0.11578947368421053	-0.07518796992481203	-0.3142857142857143	-0.058646616541353384	-0.04661654135338346	0.04661654135338346	-0.2887218045112782	-0.3669172932330827	-0.08571428571428572	-0.081203007518797	-0.09774436090225563	0.04962406015037594	-0.09172932330827067	-0.04962406015037594	-0.15639097744360902	0.07067669172932331	0.04962406015037594	-0.0481203007518797	0.08721804511278196	0.05714285714285714	-0.03308270676691729	-0.23308270676691728	-0.07819548872180451	0.1368421052631579	0.022556390977443608	0.13383458646616542	-0.02857142857142857	0.3097744360902256	0.081203007518797	0.48120300751879697	0.21654135338345865	0.33383458646616543	0.3368421052631579	0.5639097744360902	0.3007518796992481	0.5473684210526316	0.6646616541353384	0.6270676691729323	0.4496240601503759	0.6781954887218045	0.34887218045112783	0.17142857142857143	-0.010526315789473684	-0.10827067669172932	-0.016541353383458645	-0.09323308270676692	0.2857142857142857	0.3398496240601504	0.11578947368421053	0.11879699248120301	0.21203007518796993	0.3849624060150376	0.23308270676691728	0.07368421052631578	0.1518796992481203
Salinity	-0.35064935064935066	0.23771880293619424	0.39695087521174477	0.3337097684923772	-0.11801242236024845	0.03896103896103896	0.09768492377188029	0.10784867306606437	-0.41953698475437606	-0.13156408808582723	-0.07622811970638058	-0.017504234895539244	-0.46922642574816487	-0.3608130999435347	-0.2354601919819311	-0.05251270468661773	-0.07509881422924901	0.012987012987012988	0.22868435911914173	-0.32580463015245625	0.04686617730095991	-0.054771315640880856	-0.03896103896103896	0.017504234895539244	0.09881422924901186	-0.10220214568040654	-0.16770186335403728	-0.3709768492377188	-0.2354601919819311	0.1507622811970638	-0.07735742518351214	0.025409373235460192	0.07509881422924901	-0.20496894409937888	-0.18690005646527386	-0.23433088650479955	-0.313382269904009	-0.15866741953698477	-0.11123658949745906	0.028797289666854884	-0.010728402032749858	0.34839073969508755	0.4138904573687182	0.4568040654997177	0.5426312817617166	0.427442123094297	-0.03896103896103896	0.18464144551101072	0.277244494635799	0.15189158667419536	0.3461321287408244	0.2140033879164314	0.20609824957651043	0.10333145115753811	0.018633540372670808	0.08977978543195934	0.27837380011293056	0.14624505928853754	0.3111236589497459	0.10559006211180125	0.07509881422924901	0.30547713156408807	0.3370976849237719	0.3642010163749294	0.48842461885940147	0.19028797289666854	0.20383963862224733	0.3901750423489554	0.269339356295878	0.6126482213438735	0.6228119706380576	0.2727272727272727	0.37775268210050816	0.006211180124223602	0.011857707509881422	0.08977978543195934	0.06493506493506493	-0.04121964991530209	-0.000564652738565782	0.2862789384528515	0.3359683794466403	0.15302089215132694	0.28063241106719367	0.04912478825522304	0.19706380575945792	0.26256352343308864	0.2422360248447205	0.28176171654432525
Density	-0.44776962168266515	0.20948616600790515	0.35290796160361376	0.18012422360248448	-0.23094297007340486	0.04799548277809147	-0.011857707509881422	-0.003952569169960474	-0.30095990965556185	-0.010728402032749858	0.08526256352343309	0.08300395256916997	-0.4782608695652174	-0.18012422360248448	-0.15302089215132694	0.010728402032749858	0.11349520045172219	0.2140033879164314	0.2523997741389046	-0.21964991530208922	0.163184641445511	0.02766798418972332	0.09542631281761717	0.14398644833427443	0.2919254658385093	0.14624505928853754	0.06041784302653868	-0.2523997741389046	-0.09090909090909091	0.025409373235460192	-0.11462450592885376	-0.01637492941840768	-0.023150762281197064	-0.2422360248447205	-0.13721061547148503	-0.2987012987012987	-0.4342179559570864	-0.22755505364201017	-0.17447769621682666	0.06493506493506493	0.163184641445511	0.2885375494071146	0.5019762845849802	0.44438170525127046	0.5460191981931113	0.47600225861095424	-0.000564652738565782	0.30434782608695654	0.37775268210050816	0.3167701863354037	0.5098814229249012	0.3709768492377188	0.3269339356295878	0.19254658385093168	0.08639186900056466	0.19480519480519481	0.2885375494071146	0.2523997741389046	0.2795031055900621	0.09881422924901186	0.16205533596837945	0.46357989836250707	0.4082439299830604	0.4150197628458498	0.5618294748729531	0.313382269904009	0.2682100508187465	0.5697346132128741	0.3461321287408244	0.6747600225861096	0.691699604743083	0.3867871259175607	0.42631281761716544	-0.010728402032749858	0.09542631281761717	0.30773574251835123	0.2738565782044043	0.00282326369282891	0.05138339920948617	0.4647092038396386	0.515527950310559	0.36307171089779783	0.37662337662337664	0.1767363071710898	0.32806324110671936	0.42518351214003386	0.3190287972896669	0.3359683794466403
