	PhnF	Rex	GulR	ModE	AgaR	AraR	MetR	RbkR	SiaR	XylR	Zur	NadQ	NsrR	FUR	SahR_SamR	ThiR	CzrA	ArgR	MntR	BirA	NrtR	KdgR	NagC	Phr	NikR	PdhR	AmtR	Irr	GguR	RutR	NagR	NorR	LtbR	NagQ	MetJ	NrdR	LldR	HisR	IscR	PaaR	ExuR_UxuR	NarP	QorR	PhnR	FadP	GntR	AcnR	CadR-PbrR	CblR	DasR	HcpR	FadR	FixJ	VanR	CsoR	NiaR	TtrR	FruR	FnrN_FixK	HrcA	PrpR	ZntR	GlcC	SdaR	NnrR	NifA	RbsR	BioQ	CueR	MerR	LiuQ	NmlR	LiuR	NtrC	PdxR	SoxR	PsrA	PurR	HypR	HexR	TyrR	LexA	PhrR	HutC	TrpR	PhsR	CcpA	FabR
Oxygen	-0.4468843691759177	-0.2671582529778786	-0.40442427680090753	-0.3668260270642574	-0.5919293412203225	-0.6029495178672717	-0.5937120168543878	-0.49420630418928774	-0.2773681225184345	-0.22486022202414715	-0.3532128676768495	-0.4319747184182805	-0.4908030143424358	-0.5154363503767928	-0.5322907381897739	-0.4546633173972936	-0.5079815249979742	-0.3626124301110121	-0.3284174702212138	-0.20703346568349404	-0.4160926991329714	-0.3687707641196013	-0.4063690138562515	-0.3002187829187262	0.11465845555465522	0.024876428166275017	-0.2608378575480107	-0.1939064905599222	-0.20152337736001943	-0.30183939713151287	-0.2392836885179483	-0.2044404829430354	-0.4156065148691354	-0.19277206061097155	-0.19244793776841423	0.0895389352564622	-0.2791507981524998	-0.08743213677983956	-0.34673041082570294	-0.04675472003889474	-0.1948788590875942	-0.17851065553844908	-0.03297949923020825	0.06944331901790779	0.1796450854873997	0.19568916619398752	0.07398103881371039	-0.16522161899359858	-0.36958107122599465	-0.2509521108500122	-0.24025605704562028	-0.17073170731707318	0.11028279718013127	-0.025362612430111012	0.17316262863625315	0.19730978040677416	-0.09877643626934608	0.1206547281419658	0.09164573373308484	0.2551657078032574	0.21935013370067255	0.21529859816870595	0.1793209626448424	0.27542338546309053	0.5755611376711773	0.33165869864678715	0.4374848067417551	0.32938983874888583	0.3475407179320963	0.3436512438214083	0.16035977635523863	0.21384004537719795	0.6682602706425735	0.6512438214083137	0.49339599708289444	0.6238554412122195	0.5969532452799611	0.6084596061907462	0.41171704075844745	0.3802771250303865	0.08791832104367556	0.10120735758852605	0.15420144234664937	0.03670691191961754	-0.038813710396240174	0.18580341949598897	0.34170650676606434	0.38562515193258246
Carbon.total	-0.38571428571428573	-0.21921182266009853	-0.4660098522167488	-0.36551724137931035	-0.4768472906403941	-0.30935960591133005	-0.4748768472906404	-0.4004926108374384	-0.3807881773399015	-0.12216748768472907	-0.129064039408867	-0.5147783251231527	-0.34679802955665023	-0.4330049261083744	-0.4640394088669951	-0.49901477832512314	-0.42561576354679803	-0.3354679802955665	-0.38866995073891625	-0.2798029556650246	-0.2935960591133005	-0.2793103448275862	-0.3389162561576355	-0.3270935960591133	0.03891625615763547	0.1482758620689655	-0.06157635467980296	-0.3133004926108374	-0.22610837438423645	-0.33497536945812806	-0.29211822660098524	-0.1438423645320197	-0.22561576354679802	-0.16945812807881774	-0.06403940886699508	-0.23596059113300494	-0.32364532019704434	-0.29507389162561576	-0.21773399014778325	0.19113300492610838	-0.01083743842364532	0.2103448275862069	0.040886699507389164	0.35911330049261087	0.32857142857142857	0.1206896551724138	-0.008866995073891626	-0.23251231527093597	-0.0009852216748768472	-0.19704433497536947	-0.15123152709359605	-0.12561576354679804	-0.00541871921182266	0.2788177339901478	0.5177339901477832	0.26108374384236455	-0.016748768472906402	0.2655172413793103	0.03103448275862069	0.059113300492610835	0.2798029556650246	0.03645320197044335	0.16699507389162563	0.10295566502463054	0.3334975369458128	0.14532019704433496	0.2561576354679803	0.21083743842364533	0.25911330049261083	0.37142857142857144	0.054187192118226604	0.04187192118226601	0.5916256157635468	0.4669950738916256	0.4349753694581281	0.5753694581280788	0.16157635467980297	0.3221674876847291	0.216256157635468	0.3044334975369458	0.1876847290640394	0.13645320197044336	-0.05665024630541872	0.10049261083743842	0.20541871921182267	0.023645320197044337	0.370935960591133	0.43349753694581283
Fluorescence	-0.20337711069418388	-0.015384615384615385	-0.17598499061913697	-0.274671669793621	-0.37410881801125706	-0.399624765478424	-0.5906191369606004	-0.5446529080675422	-0.46360225140712946	-0.3844277673545966	-0.31350844277673545	-0.39136960600375237	-0.4097560975609756	-0.4799249530956848	-0.41969981238273923	-0.45121951219512196	-0.37185741088180113	-0.3547842401500938	-0.31632270168855536	-0.3484052532833021	-0.3859287054409006	-0.44296435272045026	-0.474671669793621	-0.38405253283302065	-0.3424015009380863	-0.3345215759849906	-0.013696060037523453	-0.3172607879924953	-0.14183864915572234	-0.10581613508442776	0.19287054409005627	-0.10900562851782364	-0.2377110694183865	-0.3118198874296435	-0.3853658536585366	-0.35403377110694184	-0.33095684803001874	-0.1771106941838649	-0.30900562851782365	0.07223264540337711	-0.03170731707317073	0.11163227016885553	0.19155722326454033	0.325515947467167	0.14577861163227016	0.14240150093808632	0.06585365853658537	0.06679174484052533	0.1395872420262664	-0.0031894934333958724	0.05328330206378987	0.06303939962476549	0.01951219512195122	0.5345215759849906	0.2776735459662289	-0.005065666041275798	0.24690431519699813	0.30600375234521576	0.3067542213883677	0.2737335834896811	0.39155722326454034	0.17879924953095686	0.0624765478424015	0.0020637898686679174	0.324953095684803	0.38818011257035645	0.2350844277673546	0.38649155722326456	0.30806754221388366	0.2028142589118199	0.28330206378986866	0.27936210131332084	0.3774859287054409	0.26754221388367727	0.45722326454033774	0.4664165103189493	0.09549718574108818	0.2350844277673546	0.19774859287054408	0.16322701688555347	0.03452157598499062	0.15609756097560976	-0.17429643527204502	-0.0949343339587242	0.1123827392120075	-0.005440900562851783	0.05309568480300188	-0.045590994371482174
Latitude	-0.3549955433109148	-0.5177052102746941	-0.38935256462199175	-0.4357021311076898	-0.4880479701806985	-0.5460659589984604	-0.5412041163601005	-0.5386111336196419	-0.557896442751803	-0.3844907219836318	-0.4911271371849931	-0.5523863544283283	-0.5556275828539017	-0.5912810955352078	-0.6070010533992383	-0.5997082894416984	-0.6434648731869379	-0.5869054371606839	-0.5170569645895795	-0.366015719957864	-0.4541771331334576	-0.5457418361559031	-0.605704562029009	-0.4645490640952921	-0.1747832428490398	-0.31318369662101936	-0.1725143829511385	-0.22437403776031115	-0.23458390730086703	-0.0867838910947249	-0.1564703022445507	-0.06393323069443319	-0.18013126975123572	-0.1642492504659266	-0.21805364233044325	-0.1775382870107771	-0.4126894092861194	0.01337006725548983	-0.261648164654404	0.20395429867919943	0.05404748399643465	0.27153391135240257	0.286281500688761	0.4164168219755287	0.47735191637630664	0.4248440158820193	0.014504497204440484	-0.09537314642249413	-0.06814682764767847	0.04886151851551738	-0.09391459363098614	0.05404748399643465	0.0812738027712503	0.1362126245847176	0.3042703184506928	0.14690867838910948	-0.027631472328012316	0.052913054047484	0.023741998217324367	0.11206547281419658	0.32323150474029655	0.27234421845879586	0.3648812900089134	0.048699457094238716	0.3799530021878292	0.18726197228749697	0.2091402641601167	0.3619641844258974	0.5736164006158334	0.5005266996191556	0.3284174702212138	0.10623126164816465	0.5645409610242281	0.6162385544121222	0.5365043351430192	0.6744186046511628	0.33603435702131107	0.4596872214569322	0.04821327283040272	0.13378170326553765	0.1537152580828134	0.14075034438052023	-0.10380034032898469	-0.13378170326553765	-0.06409529211571185	-0.08257029414147962	0.07657402155416904	0.1893687707641196
Iron.5m	-0.2226190192970422	-0.4024828552232603	-0.4140843565933321	-0.4139220978329115	-0.4061336773327235	-0.5741526237482389	-0.5497326803049409	-0.5674188851907846	-0.5706640603991964	-0.536427461950453	-0.5080321788768506	-0.4909950090326892	-0.5776411870972815	-0.6028724243426824	-0.5881068771444092	-0.5717998717221404	-0.6077401871553	-0.5829957261911608	-0.507302014454958	-0.44442674479198147	-0.46560151302686775	-0.5599549822114377	-0.6256697801817745	-0.5697716372168831	-0.2352752026098478	-0.23446390880774487	-0.23227341554206699	-0.3139707014138314	-0.16891136959782865	-0.13402573610740295	-0.13637848813350142	-0.024338814063087702	-0.28784704098611724	-0.22545854760440243	-0.2086647659008719	-0.20728556643729693	-0.3420414669665925	-0.03975339630304325	-0.288333817267379	0.1651794181081552	0.10554932365359034	0.16607184129046842	0.18838242084829881	0.3327927176226192	0.35932202495138477	0.35761830796696864	0.21426269313538207	0.005354539093879294	0.08656504868438193	0.09411008104393911	-0.05078699201164301	0.039672266922832954	0.17045282782182422	0.2456597632767652	0.2633459681626089	0.05606040172531201	-0.03545353915189775	0.20501394379140875	0.20038956911942207	0.3258967203047443	0.3262212378255855	0.20793460147897927	0.3327927176226192	0.20477055565077787	0.4299045857343391	0.27997749110571885	0.355508944081501	0.4101901463432381	0.5021908635017096	0.4909950090326892	0.37660258293617704	0.08778198938753631	0.4980532651109847	0.5545193137373482	0.5250693487210121	0.5520043029508291	0.41757291994237467	0.5219864322730209	-0.0017848463646264316	0.11625840184134892	0.16980379278014188	0.12761651507078986	-0.1512251647119849	-0.08802537752816719	-0.004462115911566079	-0.0678241618558044	0.03804967931862711	0.10433238295043595
HCO3	-0.15478260869565216	0.21565217391304348	-0.5139130434782608	-0.4721739130434783	-0.22086956521739132	-0.1565217391304348	-0.2791304347826087	-0.2921739130434783	-0.1391304347826087	-0.09478260869565218	-0.10434782608695652	-0.44608695652173913	-0.30782608695652175	-0.2252173913043478	-0.288695652173913	-0.44782608695652176	-0.2956521739130435	-0.3	-0.3130434782608696	-0.22695652173913045	-0.2382608695652174	-0.18782608695652173	-0.27043478260869563	-0.37130434782608696	-0.09826086956521739	0.10869565217391304	0.028695652173913042	0.06869565217391305	-0.18782608695652173	-0.0034782608695652175	-0.5956521739130435	-0.4217391304347826	-0.19217391304347825	-0.2565217391304348	0.051304347826086956	-0.18782608695652173	-0.26	-0.13652173913043478	0.10086956521739131	0.22260869565217392	0.04173913043478261	0.12869565217391304	0.06347826086956522	0.19304347826086957	0.40695652173913044	0.3139130434782609	0.06086956521739131	0.07043478260869565	0.2182608695652174	0.07652173913043478	0.10956521739130434	-0.11304347826086956	0.01391304347826087	0.21565217391304348	0.4756521739130435	0.2956521739130435	-0.12782608695652173	0.27217391304347827	-0.0034782608695652175	0.10695652173913044	-0.11043478260869566	0.02434782608695652	0.10869565217391304	0.10434782608695652	0.4617391304347826	0.15043478260869564	0.24695652173913044	0.0017391304347826088	0.11478260869565217	0.19826086956521738	0.22260869565217392	0.24695652173913044	0.348695652173913	0.2826086956521739	0.24608695652173912	0.32956521739130434	0.3017391304347826	0.15565217391304348	0.3243478260869565	-0.12608695652173912	-0.006956521739130435	-0.24347826086956523	-0.06608695652173913	0.04782608695652174	0.15478260869565216	-0.10608695652173913	-0.1208695652173913	0.1391304347826087
Gradient.Surface.temp(SST)	-0.28505958315825564	-0.02053162270979076	-0.1734188846737684	-0.1754353833327657	-0.23098075548514604	-0.2967919389924218	-0.3899175134261156	-0.2868927637573441	-0.12208982789929149	-0.14097158806990262	-0.25994500895074374	-0.4408799340807748	-0.37616865893295215	-0.3516040389051668	-0.3497708583060783	-0.3202566506607541	-0.1587534398810607	-0.2549954213332049	-0.20018332142045991	-0.20036663948036876	-0.24894592535621296	-0.21118240501499067	-0.3180568339418479	-0.3648029392186037	-0.20879927023617567	-0.003299725078359229	0.27112741060518336	-0.23208066384459913	-0.08377635337834266	-0.04197983571912575	-0.30907424900631447	-0.12098991953983841	-0.1873510572268407	-0.0632447306685519	-0.3400550011309095	-0.18955087394574685	-0.1292392322357365	-0.25866178253138183	-0.3910174217855687	-0.163153073318873	0.1913840545448353	0.009165902995442303	0.046012833037120365	-0.06031164171001036	0.15967003018060494	0.14812099240634763	0.1611365746598757	-0.09734188981159726	-0.09660861757196189	0.11714024028175264	-0.006049495976991921	0.05407882767310959	0.09679193563187073	0.0350137494425896	0.25517873939311375	-0.20916590635599336	0.045096242737576134	0.39523373716347215	0.40403300403909675	0.2588451005912907	0.1424381325491734	0.1495875368856184	-0.179835016770578	-0.03574702168222498	0.3250229202183841	0.36865261847668945	0.34170486367008907	0.25077910595530145	0.28744271793707066	0.27406049956372486	0.2318973457846903	0.07864344770089497	0.12703941551683032	0.22456462338833644	0.2713107286650922	0.4196150391313487	0.11310724296375803	-0.010082493294986535	0.3866177883477564	-0.08817598681615496	0.30339138914914027	0.11054079012503418	-0.24876260729630412	-0.041429881539399215	-0.10100825100977419	-0.30852429482658794	-0.10485793026785996	-0.11017415400521649
Alkalinity.total	-0.2478825522303783	0.22416713721061546	0.000564652738565782	-0.08526256352343309	0.06380575945793338	0.11575381140598531	0.024280067758328628	-0.12027103331451157	0.09655561829474874	0.0942970073404856	0.2964426877470356	-0.13043478260869565	0.13495200451722192	0.13156408808582723	0.06380575945793338	0.0818746470920384	0.08300395256916997	0.1067193675889328	0.031055900621118012	0.1507622811970638	0.19254658385093168	0.23094297007340486	0.10559006211180125	0.15979672501411632	-0.2648221343873518	-0.30434782608695654	-0.11688311688311688	-0.22416713721061546	-0.14850367024280067	-0.06154714850367024	-0.10107284020327499	-0.5324675324675324	0.12140033879164314	0.08413325804630152	-0.053642010163749296	-0.11349520045172219	-0.1067193675889328	-0.08639186900056466	0.0942970073404856	-0.17108977978543197	0.32806324110671936	0.006211180124223602	0.3145115753811406	0.22077922077922077	-0.026538678712591756	-0.0502540937323546	0.17334839073969507	-0.04009034443817053	-0.08300395256916997	-0.3743647656691135	-0.12027103331451157	-0.1857707509881423	-0.06832298136645963	0.10784867306606437	0.07961603613777526	-0.07284020327498589	-0.055900621118012424	-0.09881422924901186	-0.14963297571993225	-0.36645962732919257	-0.09881422924901186	-0.19254658385093168	-0.36984754376058726	-0.02766798418972332	0.044607566346696784	0.1981931112365895	-0.07509881422924901	0.07171089779785432	-0.15866741953698477	-0.06267645398080181	-0.21852060982495766	-0.0220214568040655	0.1981931112365895	-0.1293054771315641	0.21739130434782608	-0.011857707509881422	-0.20835686053077357	-0.19028797289666854	0.35064935064935066	-0.14059853190287974	-0.3687182382834557	0.46357989836250707	0.2862789384528515	0.2715979672501412	0.15640880858272163	0.16996047430830039	-0.12365894974590627	0.24675324675324675
PAR.PC	-0.35638407786531007	-0.1388438122881482	-0.20184487810111032	-0.10855061687982497	-0.37657954147085887	-0.2955781711399076	-0.2128206735389086	-0.16979555542273936	0.039842137439207746	0.03084198518021316	-0.19460085311216346	-0.1408194554669519	-0.07430613511389433	-0.1790152235904899	-0.13028269184666555	-0.20206439400986628	-0.13972187592317206	-0.06903775330375116	-0.1324778509342252	0.09384305099317526	-0.05937905331848868	-0.00910991021337257	0.0055976556732771215	0.05586679877839323	0.29645623477493144	0.39150662326626456	-0.21216212581264068	0.10459933052221758	0.0802330646503054	-0.07364758738762645	-0.1941618212946515	-0.07781838965398978	-0.19855213946977082	-0.14608783727709507	0.1891129553932643	0.2955781711399076	-0.14411219409829137	-0.22708920760804635	-0.2363088757757969	-0.0560863146871492	-0.12830704866786186	-0.32192008019062346	-0.4231169141271236	-0.23147952578316566	0.017890546563611193	-0.17089313496651917	-0.08133064419408523	-0.4567028481667863	-0.3860187255473654	-0.36384761876301286	-0.2637483643702926	-0.3357495824422493	0.046427614701886714	-0.1408194554669519	0.08813563736552016	0.26089465755646507	0.001426853406913776	-0.063769371493608	-0.09537966235446703	0.18055183495178165	0.006914751125812914	0.024476023826290157	0.4617517140681735	0.28460237570210933	0.18999101902828816	-0.03259811245026088	0.10416029870470565	0.0936235350844193	0.08572096236920454	0.14960009181719053	-0.11359948278121217	0.18560070085316888	0.4255315891234392	0.3969945209851637	0.2720899689030193	0.09208692372312755	0.4255315891234392	0.4896302344801811	0.16255153043379247	0.4222388504920997	0.11689222141255165	0.028427310183897537	0.18318602585685323	-0.05762292604844095	-0.2828462484320616	0.14630735318585103	0.37679905737961483	0.2966757506836874
Longitude	0.05226480836236934	-0.2658617616076493	-0.14480187991248683	-0.12535450935904707	-0.156794425087108	-0.14285714285714285	-0.14528806417632284	-0.12746130783566972	-0.3661777813791427	-0.2310185560327364	-0.15971153067012397	-0.18823434081516896	-0.16668017178510655	-0.210436755530346	-0.2407422413094563	-0.1705696458957945	-0.27120978850984523	-0.2511141722712908	-0.27023741998217327	-0.1381573616400616	-0.10299003322259136	-0.0474029657240094	-0.16668017178510655	-0.1778624098533344	-0.06036787942630257	-0.15484968803176405	-0.2864435621100397	-0.06198849363908922	-0.06150230937525322	-0.07738432866056236	-0.006887610404343246	-0.0017016449234259785	-0.006887610404343246	-0.11530670123976987	-0.04886151851551738	-0.08046349566485698	-0.0007292763957539907	-0.008184101774572563	-0.1344299489506523	-0.0033222591362126247	-0.012397698727817843	0.291143343327121	0.09974880479701807	0.24058017988817762	0.043999675877157446	0.14528806417632284	0.19147556924074224	0.03508629770683089	0.05372336115387732	-0.12729924641439105	-0.29357426464630093	-0.07495340734138238	0.002674013451097966	0.05696458957945061	-0.01790778705129244	0.027793533749290982	-0.09099748804797018	0.09294222510331415	-0.16538368041487725	-0.11757556113767118	-0.06911919617535046	-0.08192204845636496	0.3468924722469816	0.13637468600599628	0.1138481484482619	0.03557248197066688	0.02114901547686573	0.2522486022202415	0.1655457418361559	0.26796856008427195	-0.06117818653269589	0.03751721902601086	0.21205736974313263	0.12454420225265375	0.10299003322259136	0.2720200956162386	0.31059071388056075	0.2998946600761689	-0.1404262215379629	0.07835669718823435	0.14982578397212543	0.22194311644113118	-0.06344704643059719	0.07025362612430111	-0.08694595251600357	-0.10477270885665667	0.1994165788833968	0.31269751235718335
