	FadR	BioQ	AcnR	GulR	PdhR	NikR	RbsR	HcpR	HisR	RbkR	ThiR	AgaR	ArgR	XylR	LldR	PrpR	AmtR	BirA	MntR	NagR	ZntR	Zur	PsrA	SoxR	ModE	Phr	CzrA	IscR	CcpA	FUR	NsrR	PhnF	NrtR	NrdR	KdgR	NagC	MetR	NifA	SahR_SamR	FadP	ExuR_UxuR	HutC	CblR	FixJ	HypR	PurR	GguR	NtrC	MetJ	TyrR	LiuR	LtbR	PhrR	TrpR	AraR	NnrR	CsoR	NiaR	LexA	PhnR	GlcC	MerR	NagQ	PdxR	FabR	Rex	DasR	SiaR	NadQ	HexR	RutR	PaaR	FnrN_FixK	HrcA	CadR-PbrR	PhsR	QorR	SdaR	NorR	TtrR	LiuQ	NmlR	CueR	FruR	Irr	GntR	NarP	VanR
Si	0.2699925953350611	0.09786498827594718	0.09922251018141429	-0.057509564358879425	-0.0066024929038627665	-0.019097864988275946	-0.05402320128347526	0.15818215475749722	0.036036036036036036	0.06648772059730963	0.06821547574972232	0.04698876959150932	-0.009255831173639394	-0.10348019252128841	0.06136616068122917	0.1160064173762804	-0.13763420955201777	-0.07386153276564235	-0.030513390102431197	0.02042453412316426	-0.06037887202270764	-0.0028693076638282118	-0.018789337282487967	-0.18841786992471923	-0.08876342095520177	-0.052943354313217325	-0.007034431691965938	0.06941873380229545	-0.06216833271627792	0.09693940515858324	0.0410958904109589	0.005244970998395656	0.00033938047636677775	0.07231889423670246	0.0868814019498951	-0.043193878810317166	-0.15136369245958287	-0.21405652227570035	-0.08129705047513267	-0.10116623472787856	-0.09363815870665186	-0.26696902381833887	0.10634950018511663	-0.012433666543255584	0.02927927927927928	0.046464272491669754	-0.10323337035665803	-0.037270146859187954	-0.11662347278785636	-0.024466247068986795	-0.01354436628409231	-0.038596815994076265	-0.16703689991361223	-0.06836973960261632	0.11603727014685919	-0.016845612736023696	0.14988275947180058	0.06426632111563618	0.10542391706775268	0.16410588670862644	0.14216956682710108	0.06932617549055906	0.08765272121436506	0.018048870788596814	0.030667653955325187	0.028291990620757743	-0.007960014809329877	0.12063433296310008	-0.05809576699987659	0.07410835493027274	0.1723744292237443	0.03838084660002468	-0.009811181044057756	0.001419227446624707	0.044181167468838704	-0.11785758361100827	-0.2331543872639763	-0.21081698136492658	-0.3098852276934469	-0.0930519560656547	0.25330124645193136	0.028168579538442554	0.19458842404047882	0.0442120202394175	0.05803406145871899	0.025206713562877948	0.09672343576453166	0.12233123534493398
NO2	0.12461769794930334	0.13574057543443846	0.11254693210325126	0.08077786125689332	-0.2092019234055039	-0.13676251757355207	-0.12247013838160081	0.1244399688816314	0.08375482314039819	-0.12183327588910972	-0.17023482531843268	-0.03502743708701003	-0.12467694097186065	0.04948273459099387	-0.10841473127987883	0.029873294124523986	-0.3011619051700896	-0.21203077773261547	-0.21025348705589614	-0.2603730841393811	-0.16005983619421454	-0.13271918128401558	-0.12209986949061763	-0.22950746938702216	-0.12192214042294569	-0.2555003455340423	-0.08741307978331213	-0.10023919416696993	-0.3343676193134623	-0.06651510357622074	-0.18723757279238087	-0.18295726441261517	-0.14930722760006263	-0.21791064772142857	-0.1819501330291409	-0.18466050131113787	-0.2806193870983421	-0.31266986230184723	-0.21645919366877445	-0.30656783097844426	-0.23571317599990046	-0.2555003455340423	0.33977354512181696	0.23980094455635492	0.22307960143955394	0.19421343869850424	0.1458118892691813	-0.12498796684028653	0.04542458754581808	-0.17247124941997116	-0.14909987702111205	-0.1581640594723806	-0.07112124858005166	-0.004620955759470245	0.1851492562472357	0.10718543856181463	0.23152173215397073	0.1627109614536542	-0.07466101917785098	0.06368624924910915	0.03875974750812061	-0.04191443845929741	0.0642490579634036	0.154476181318188	-0.023712019778563662	-0.027355465665838276	-0.060383450741539064	0.01798025734614384	-0.1356517109006025	0.037619319323892376	0.00045913342481915893	0.09604775032104018	0.019476143665715935	0.04326221722247624	0.11614594572360788	-0.016351074225817788	0.040922117831462455	-0.004102579312093776	-0.0287032444290171	0.043395514023230185	-0.09507024044884456	0.04609107154958783	0.05712508450088697	-0.03037685981626113	-0.06026496469642444	-0.010367528947529396	0.22472359531551933	0.03935217773369372
NO2NO3	0.27761297228889337	0.12269573679697356	-0.05161228084370136	0.008569889622957266	-0.13703784100650054	-0.13065463991773124	-0.1731664375970915	0.14170063273381311	0.08192042707123316	-0.0325752277225355	-0.04778557590887241	-0.0025725747461034947	0.03358817902881375	0.11583017794330985	-0.10279043969899776	0.002476103193124614	-0.1532289833147894	-0.18059474717646534	-0.09756489724597504	-0.14773010479499318	-0.01966411821552859	-0.022236692961632082	-0.24114672526287634	-0.049956185850897235	-0.09676096763781769	-0.16679931510048535	-0.08624556836311965	-0.02582221901401383	-0.25363979137364145	-0.034842309217539204	-0.16803736669704764	-0.14576851655108927	-0.09462251488011916	-0.12005884768221747	-0.0832067144442849	-0.06968461843507841	-0.3277781798379115	-0.36856956815581504	-0.20717266002214707	-0.3467830757747511	-0.32973976808181543	-0.37876339558725014	0.33932260901105094	0.05275386088728479	0.25478137141722484	0.38587013332336106	0.1478426549401352	-0.04124158889847165	0.06214375871056255	-0.02831440079930159	0.07130855624355624	0.02199551407918488	0.046033009363089405	-0.00014470732946832157	0.2233959595147622	0.17487076836638504	0.2416130044356076	0.07856000130913547	0.07193562133791898	0.14546302329998947	0.1301562035606737	0.12303338723239964	0.08862520000326539	0.10766225312443126	0.17274839420084967	0.03267169927551438	0.0537185764170736	0.05334876879732122	-0.1127591668401488	0.057046844994845	0.06958814688209954	0.12502713266062984	0.16020709231359515	0.0348744664018655	0.15737726009288128	0.020580597968827958	0.0901365876666012	0.11118346480816041	-0.21911905399936515	-0.007862431567778806	-0.013120131205127823	-0.12084669869821167	0.0012702087808886006	-0.01212325849101272	0.04770518294805668	-0.1053790930372644	0.048444798187561436	0.04426436422514326
PO4	0.3517088710217468	0.13809806629179688	0.06128950149433747	-0.01258802749040508	0.012125232362081363	-0.09738752150358733	-0.05612162256138931	0.11762709511561119	0.0915563028867085	-0.031809451820116755	0.07329132182219918	0.10500821461665119	0.08594105532971409	0.16760896897457253	-0.12817882404139191	0.02355627203167715	-0.16922875192370554	-0.13374779208555396	-0.055165179296186966	0.01695372820092547	-0.012572600986127622	0.014932856140578574	-0.09511982537480113	-0.0782586561995404	0.017431949833526642	-0.13964071671954262	0.007620693113063859	0.034694208120001256	-0.2675572901882178	0.07963161508023409	0.012896557575954223	-0.05891381983560907	0.026456454835839107	-0.05809621510890383	-0.01661434510682141	-0.05379222041549327	-0.25280955209896866	-0.33245659368348024	-0.0957060325373445	-0.2730799787195474	-0.3079593048908782	-0.27156818130035665	0.27497743874567465	0.08665067452647712	0.3470037872171224	0.3991145186663728	0.0985136563158417	0.13441113176948463	-0.16731586539330084	-0.09644650474266245	0.046696028447862956	-0.013220514165780824	0.11620785672208513	0.10510077364231593	0.11461892678150704	0.039630689488787556	0.10767699985665129	0.0652078335808116	0.2096924726434758	0.23465255656440154	0.09067699214289345	0.11640840127769206	0.16541840536717362	0.17945652425965966	0.2943839811267158	0.07444830964300847	0.1348122208806985	0.023849375612948837	-0.18903638341596057	-0.004612524778959704	0.001959166043237065	0.1255871713227791	0.08152907510636133	-0.02736661858820908	0.3635718528111114	0.02886298950312243	0.09606084213572601	0.20450916720625015	-0.2681897768635935	-0.1874474534753825	0.02471325985248644	-0.09198824500647731	-0.0032549924025434703	0.06273959289641845	0.062261371263817276	-0.1224864439630102	0.14212438390821322	0.2404683486770029
Alkalinity.total	-0.30021344508635417	-0.09652829284842729	-0.03510911734468971	0.08781635306066309	-0.06150629490161522	0.018120834758549528	-0.0959184570632838	0.025264625384516168	-0.04103323640036936	-0.13050485802070766	-0.00487868628114795	0.016378446800996687	0.03929084844281652	0.008973297981397121	0.05889271296528596	0.09008145740548178	-0.26545280533317506	-0.08903602463095008	-0.03354096818289215	-0.07893017447714361	-0.1904430037605253	-0.016204208005241402	-0.06551378720398675	-0.07257045843207575	0.06821448853819365	-0.01332926787527922	-0.018295073554304812	0.15777322955640957	-0.44134686964813413	-0.16918587067838067	-0.10698262059374432	-0.10454327745317035	-0.10628566541072318	-0.1318987683867499	-0.1754584673255709	-0.23182471775240523	-0.3264363838475244	-0.09443742729936389	-0.23199895654816052	0.10314936708712807	-0.2539530448133263	-0.23191183715028288	0.2002003763228212	0.3386330995503943	0.09661541224630493	0.16308751282694575	0.2811342969511506	0.12501633595441622	-0.16021257269698355	0.2651914471395421	-0.0795400102622871	-0.013067909681646294	0.15664067738400023	0.1337282757421804	0.0811952788219623	0.15768611015853193	0.07527115976628265	0.1725835271956087	0.05096484775842054	0.26353617857986694	0.1853900786836221	0.19654136161196026	-0.03493487854893442	0.19314370509473222	0.0932177557290769	-0.02901075949325477	-0.025613102976026734	-0.2618809100201917	-0.08799059185641837	-0.11961493328600241	0.09173672596515697	-0.13921679780847185	-0.20464346561458097	-0.0026135819363292587	0.05828287718014247	0.046521758466660804	0.0654266678061091	0.026397177556925513	0.06176765309524815	0.279566147789353	0.01960186452246944	-0.18800366061995133	0.09565709886965086	0.047567191241192505	0.26980877522705715	-0.20455634621670332	0.08032408484318589	-0.11395217242395568
Lyapunov	0.0641042260824475	0.03940886699507389	0.06164117189525538	0.019509981851179675	-0.2832512315270936	-0.03143634949442572	-0.07084521648949961	-0.11673580502981593	-0.23243453461239305	-0.15925589836660617	-0.18959035519834067	-0.2118874773139746	-0.19328493647912887	-0.16820067409904071	-0.12289344049779621	-0.10506870624837956	-0.08011407829919627	-0.11809696655431683	-0.22096188747731396	-0.05010370754472388	-0.0885403163080114	-0.030464091262639357	-0.04777028778843661	-0.15303344568317345	-0.03240860772621208	-0.16528389940368163	-0.05814104226082448	-0.06740990407052114	-0.1297640653357532	-0.19192377495462795	-0.2454627949183303	-0.21072076743583096	-0.1874513870884107	-0.30943738656987296	-0.2419626652838994	-0.28448275862068967	-0.1856365050557428	-0.08115115374643506	-0.05347420274824993	0.03344568317345087	-0.11472647135079077	0.06909515167228415	-0.25032408607726214	0.1359865180191859	0.16120041483017888	-0.128208452164895	0.0928182525278714	0.1501814882032668	0.2881773399014778	0.05483536427275084	-0.30878921441534873	0.12918071039668136	-0.015750583354939073	-0.38002333419756285	-0.09865180191858958	0.07881773399014778	-0.019121078558465128	-0.12276380606689137	0.03830697433238268	-0.005055742805289085	0.1799974073113819	0.005120560020741509	0.1397459165154265	-0.0499092558983666	-0.034936479128856626	-0.02301011148561058	-0.138903292714545	-0.059242934923515685	0.022491573761991186	0.006092818252527872	-0.009204044594244232	0.17571947109152192	0.14305159450350013	0.22919367383977185	-0.03739953331604874	-0.04764065335753176	0.02054705729841846	0.0563261602281566	0.02586206896551724	0.01847290640394089	0.2534353124189785	0.19010889292196007	0.1751361161524501	0.09735545760954109	-0.052113041223749025	-0.03921441534871662	-0.04232564169043298	-0.21674876847290642
Gradient.Surface.temp(SST)	-0.14258373205741626	-0.15059466848940534	-0.061161995898838	0.014709501025290499	-0.2468626110731374	-0.030922761449077237	-0.03975393028024607	-0.06660287081339714	-0.13604921394395078	-0.10490772385509228	-0.1956801093643199	-0.10146274777853725	-0.21473684210526317	-0.09446343130553657	-0.14261107313738894	0.03111414900888585	-0.11026657552973343	-0.0062884483937115515	-0.20803827751196172	-0.18580997949419	-0.2509090909090909	-0.20675324675324674	-0.04177717019822283	-0.025208475734791524	-0.021872863978127138	-0.11330143540669857	-0.05014354066985646	-0.058838004101161995	-0.2963773069036227	-0.3139029391660971	-0.2756801093643199	-0.26641148325358854	-0.1735885167464115	-0.3168010936431989	-0.22053315105946686	-0.29585782638414215	-0.37159261790840736	-0.30288448393711553	-0.28680792891319207	-0.029692412850307586	-0.11516062884483937	-0.14936431989063567	0.11152426520847573	0.1420369104579631	0.11428571428571428	0.23209842788790158	0.3055639097744361	0.31423103212576897	0.132987012987013	0.2367464114832536	0.14332194121667807	0.1450170881749829	0.07912508544087492	-0.013041695146958306	0.18963773069036227	0.01719753930280246	0.04836637047163363	0.06323991797676008	-0.062064251537935745	0.008557758031442242	-0.016377306903622692	-0.04202323991797676	0.1524812030075188	0.11868762816131237	-0.044948735475051266	0.061845522898154474	-0.10321257689678742	-0.04276144907723855	0.046944634313055365	0.12084757347915243	0.02107997265892003	0.020970608339029393	0.028680792891319206	-0.10673957621326043	0.2416678058783322	-0.0675598086124402	-0.004511278195488722	0.049159261790840736	0.04650717703349282	0.07789473684210527	-0.10739576213260424	-0.10559125085440875	0.11311004784688995	0.17681476418318523	0.20678058783321943	0.15382091592617908	0.07264524948735475	0.17110047846889953
Density	-0.14931269794625657	-0.017381177827842535	-0.04913964802298625	0.0016216628029734113	-0.3074955649154885	-0.08205178437326542	-0.07667526474461532	-0.1638532449581524	-0.12090638978678943	-0.1158999140192205	-0.13355318292138746	-0.03564393073649612	-0.05190409333812213	0.043676059250552346	-0.011199268619192217	-0.10249126587651419	-0.1027524733078656	0.04408963768352543	-0.05455970222352826	-0.13747129439165878	-0.07423732871866871	-0.08274833752353587	-0.2568866250911505	0.0419782109467681	-0.08200824980137351	-0.05223060262731141	-0.0157703986678421	0.017707687117031815	0.05987091999434051	-0.1610017304992327	-0.20133651135708144	-0.10497273647435269	-0.20135827864302738	-0.23921158890303762	-0.2761724404392638	-0.19746193445870203	-0.17395326563707403	-0.20971691644627288	-0.3063201314744071	-0.15301313655706839	-0.006040421850001632	-0.028003613369467027	0.07197353098028972	-0.12216889237165464	0.06672761506731534	0.12767601571598045	0.12421501725057411	0.0037983913975685943	0.339362871540362	0.15658297145220448	0.06433321361326064	0.05488621151271754	0.050946332756500255	-0.19580762072680968	0.26206723914628705	0.1923248549754574	0.244914617820877	0.1425648393030115	-0.08046277249921094	0.01065508647054342	-0.07917850262839977	-0.04115105408082193	-0.08233475909056279	0.042631229525146655	-0.06350605674731447	0.03100749883000838	-0.1934567538446469	-0.025587444629466376	0.2156376182235718	0.10788955279111025	0.015966304241355665	0.1303316246013866	0.03229176870081954	0.16753191628301825	0.04576571870136372	0.1801569421316703	0.15068403696085153	0.06827309236947791	0.11013158324354327	0.2032520325203252	-0.05466853865325802	-0.16955627387599176	-0.06015389471163788	0.029287883240278187	-0.028678399233791535	-0.10297014616732512	-0.09213003776624111	-0.141890053438687
HCO3	-0.08571428571428572	0.22207792207792207	0.04155844155844156	0.2792207792207792	-0.2701298701298701	0.2	-0.16883116883116883	0.2519480519480519	0.2844155844155844	0.33246753246753247	0.14285714285714285	0.2896103896103896	0.09480519480519481	-0.23636363636363636	-0.2038961038961039	0.006493506493506494	-0.00909090909090909	0.045454545454545456	0.16883116883116883	-0.12337662337662338	-0.17662337662337663	-0.032467532467532464	-0.10909090909090909	0.1974025974025974	0.22987012987012986	0.14675324675324675	0.15454545454545454	0.02077922077922078	-0.10779220779220779	-0.2844155844155844	-0.012987012987012988	0.08831168831168831	-0.06883116883116883	0.06233766233766234	-0.07662337662337662	-0.13896103896103895	-0.07142857142857142	-0.046753246753246755	-0.287012987012987	0.3	-0.18961038961038962	0.24155844155844156	0.2064935064935065	0.21168831168831168	0.05194805194805195	-0.024675324675324677	0.3012987012987013	-0.23636363636363636	0.44285714285714284	0.11038961038961038	0.08311688311688312	0.21428571428571427	0.22077922077922077	-0.17532467532467533	0.04025974025974026	0.09090909090909091	0.07012987012987013	0.0025974025974025974	-0.1961038961038961	-0.21558441558441557	-0.2012987012987013	-0.22467532467532467	-0.08571428571428572	-0.35584415584415585	0.11818181818181818	-0.12987012987012986	-0.04415584415584416	-0.08311688311688312	-0.1	-0.08181818181818182	-0.08831168831168831	-0.13896103896103895	-0.025974025974025976	0.2012987012987013	0.15064935064935064	0.18311688311688312	0.4584415584415584	0.2857142857142857	-0.06493506493506493	-0.05974025974025974	0.024675324675324677	-0.2805194805194805	-0.24935064935064935	-0.02727272727272727	0.17792207792207793	0.2727272727272727	0.2987012987012987	-0.08441558441558442
FluxAttenuation	-0.1683007859978932	-0.34656834940442427	-0.23636658293493235	-0.3071874240337088	0.008346163195851228	0.1820760068065797	-0.03087270075358561	-0.1294060448910137	-0.14156065148691355	-0.11141722712908192	-0.004780811927720606	-0.15565999513815737	-0.0757637144477757	-0.1238959565675391	-0.19001701644923427	-0.09440077789482214	-0.09715582205655944	-0.13426788752937363	-0.04837533425168139	-0.0895389352564622	-0.11611700834616319	-0.1632768819382546	-0.08548739972449558	-0.09196985657564216	-0.0057531804553925935	-0.07819463576695568	-0.14609837128271616	-0.12000648245685115	0.2443075925775869	-0.2149744753261486	-0.0922939794181995	-0.10671744591200065	-0.03233125354509359	0.0052669961915566	0.01158739162142452	-0.033141560651486913	-0.04999594846446803	0.037355157604732195	-0.11401020986954055	-0.05064419414958269	-0.2997325986548902	-0.10558301596304999	-0.11611700834616319	0.06944331901790779	-0.18288631391297303	0.27283040272263187	-0.23247710882424438	-0.06587796774977717	-0.1183858682440645	-0.1861275423385463	-0.007859978932015234	0.17121789158090917	0.0313588850174216	-0.04318936877076412	0.07381897739243173	-0.30183939713151287	-0.12405801798881776	-0.1986062717770035	-0.25127623369256946	-0.19179969208329958	-0.1908273235556276	-0.14707073981038812	-0.1128757799205899	-0.027469410906733653	-0.059233449477351915	-0.10639332306944332	-0.1000729276395754	-0.33165869864678715	0.02066283121302974	-0.028603840855684303	0.057450773843286604	-0.3707155011749453	-0.286767684952597	-0.4366744996353618	0.02876590227696297	-0.33554817275747506	0.08046349566485698	-0.17591767279799045	-0.2251843448667045	-0.06879507333279312	-0.1028279718013127	-0.09585933068633012	0.01823190989384977	-0.17802447127461307	0.12632687788671906	-0.03443805202171623	-0.2242119763390325	-0.1101207357588526
Longitude	-0.16943033457873305	-0.1346081188866966	-0.2214642542294614	-0.1646236514000252	0.14096805339826204	0.17425800764031737	0.1402124176147097	0.01200621300533143	-0.04332311825700012	-0.008584862096469501	0.1451030603249234	-0.03616556819612947	-0.0014692918013517484	-0.22047772973426807	0.09212459594475463	-0.08016036270517611	0.05388102934385626	0.1498467738550019	0.11357625624449015	0.12048192771084337	0.1901893287435456	0.20593174090088578	0.13521682549011377	0.10534822215692037	0.09428655388102934	0.20458838839679275	0.031065026657151253	0.047940892489819906	0.1035221023466689	0.022501154443558206	0.07136560177994207	-0.018009319507997144	0.09497922001595231	0.06563536375467025	-0.043386087905629485	-0.05755425884723563	-0.0319046219722094	0.1838713739977331	0.1194744133327736	-0.03683724444817598	0.02501994038873263	0.14033835691196844	-0.24503589269971873	-0.17805717644095545	0.11366021577599597	0.02755971621678351	0.04854959909323706	0.30548675538390496	0.3327526132404181	0.43499433273162336	0.17432097728894672	0.04004869652827337	0.07512279081482726	-0.050522648083623695	0.08419042021745518	0.02329876999286344	0.12866798203266025	0.23401620418958063	0.1792116199991604	0.24860417278871583	0.2174341967171823	0.25863733680366063	0.1247638638176399	0.07042105705050165	0.014986776373787834	0.0940346752865119	0.11651483984719366	0.18301078879979849	0.04216867469879518	0.2620376978296461	0.2149573905377608	0.2063725284412913	0.020024348264136686	0.19837538306536248	-0.13788254061542338	-0.03140086478317451	-0.10224171949120524	0.04645061080559171	-0.026384282775702112	0.12973846605935938	0.4286134083371815	0.23611519247722598	0.20173376432559506	0.15700432391587255	0.026237353595566937	0.1600058771672054	0.05329331262331556	0.0837286427941732
Iron.5m	-0.283552327778011	-0.1436547584064481	-0.11185508584862096	-0.10398387976995088	-0.027748625162671594	0.08750682171193484	0.09120104109819067	-0.1508752781159481	-0.17988329625120691	-0.06309558792661937	-0.1338524831031443	-0.10937827966919944	-0.1832416775114395	-0.18890894588808194	0.059632257252004536	-0.16437177280550774	0.05411191805549725	0.16720540699382896	0.04815079131858444	0.09777087443852063	-0.03561983124134167	0.008710801393728223	0.15333109441249318	0.09804374291591453	0.00868981151085177	0.13567860291339573	-0.04044750430292599	-0.0859955501448302	0.08801057890096974	-0.13479702783258468	-0.027286847739389615	-0.027034969144872172	-0.07699089039083162	-0.017190714075815457	-0.14957390537760798	-0.09269132278241887	0.006947651232106125	0.2096259602871416	-0.014986776373787834	0.05199193988497544	0.1752865119012636	0.1458586961084757	-0.3593677847277612	-0.2081356786029134	-0.10194786113093489	-0.19262415515721423	0.07048402669913102	0.15007766256664287	0.32282439863985557	0.3141555770118803	0.0763192141387851	0.09770790478989128	0.040783342428949244	-0.15484236597959783	-0.06865790688887956	-0.04132907938373704	0.06769237227656269	0.05977918643213971	-0.14417950547835942	0.031442844548927415	0.04124511985223123	0.10769908903908317	-0.043029259896729774	-0.09590277486251626	-0.14894420889131438	-0.00048276730615843166	0.008836740690986944	0.11118340959657445	0.08551278283867177	0.1445573233701356	0.11619999160404684	-0.020905923344947737	-0.07377943831073423	0.09806473279879098	-0.3448008060115025	-0.10570505016582007	-0.21029763653918812	-0.13941480206540446	0.002287897233533437	0.08649930733386507	0.3278199907644515	0.18880399647369966	0.25477519835439316	0.193400780823643	0.007283489358129382	0.22717350237185677	-0.04460350111246379	-0.11078460182192183
Ammonium.5m	0.24797447630242223	0.3868435414130389	0.07306578229293481	0.14707610931531	-0.015448553797069813	-0.05411191805549725	0.07000125939297258	0.016938835481298015	0.0047017337643255955	-0.0688678057176441	0.018492086814155578	0.26405272658578566	0.15198774190840014	0.1645816716342723	0.09149489945846102	-0.02340371940724571	-0.17226396876705427	-0.21777003484320556	-0.11475168968557155	-0.06103857940472692	-0.16428781327400194	-0.01649804794089249	-0.013349565509424458	-0.0458209143192981	-0.04521220771588094	-0.1880693505730238	0.0015532513328575628	-0.1294655975819655	-0.04766802401242601	0.1259392972587213	0.0002938583602703497	-0.009214558582763108	0.06527853574577054	0.12759749800596112	0.02455816296545065	-0.026720120901725368	0.10805591704798287	-0.06838503841148566	-0.010515931321103228	0.15291129675496412	0.07237311615801184	0.019310692246337264	0.25108097896813736	0.19816548423659797	0.010809789681373578	-0.11634692078418202	-0.20544897359472733	-0.09149489945846102	-0.13408337181478527	-0.16258763276100918	-0.3274001931069225	-0.1980605348222157	-0.13192141387851056	-0.08349775408253222	-0.06097560975609756	-0.07075689517652492	0.010285042609462239	0.16468662104865456	0.002413836530792158	-0.032093530918097475	-0.05879266193694639	-0.09367784727761219	-0.04884345745350741	0.03142185466605096	0.13893203475924604	0.0073464590067587425	-0.030372360522228286	-0.06607615129507577	-0.1241761470970992	-0.1058729692288317	-0.04691238822887368	-0.06215104319717896	-0.1351958356072373	-0.09080223332353805	0.044624490995340244	0.02015028756139541	-0.09416061458377062	-0.038243566600898365	0.1452289996221821	0.06930859325804963	-0.053062423911674574	0.06966542126694933	-0.022732043155199194	0.07323370135594644	0.2051970950002099	-0.086079509676336	-0.04359598673439402	0.33890264892321903
Okubo.Weiss	0.1312785388127854	0.06883253116129828	-0.004319387881031716	-0.04791435270887326	0.04313217326915957	-0.05516475379489078	-0.13532025175860793	0.16250154263852895	-0.12964334197210908	0.04337899543378995	0.08209922251018141	-0.009255831173639394	0.042916203875107986	-0.1248611625323954	0.02687276317413304	0.07089966679007775	-0.04828458595581883	-0.1693508577070221	-0.10249290386276688	0.026008885597926693	0.17132543502406516	0.07009749475502901	-0.09579785264716771	-0.1705232629890164	-0.10298654819202764	-0.05895964457608293	-0.05679995063556707	0.030852770578797976	-0.09842033814636554	0.05670739232383068	-0.03915216586449463	-0.07213377761322967	0.037979760582500306	0.049302727384919164	0.05775638652350981	0.06710477600888559	0.0335061088485746	0.07815006787609527	0.18511662347278784	0.1966864124398371	-0.10588670862643465	0.03529556954214488	-0.11085400468962113	0.0213192644699494	-0.026595088238923856	-0.10456003949154634	-0.07639145995310379	-0.02526841910403554	0.06975811427866223	-0.017586079229914845	-0.19859928421572257	-0.15281377267678636	-0.054825373318524	-0.3139577934098482	-0.23849191657410834	-0.19927804516845612	-0.10119708749845736	-0.09706281624089844	0.06050228310502283	0.09959274342835987	0.1358756016290263	0.14278662223867702	-0.05211032950758978	-0.2438602986548192	0.14136739479205232	-0.09928421572257189	0.04541527829199062	-0.12908799210169072	-0.07395409107737874	-0.19742687893372826	-0.11940022213994816	0.12427495989139825	-0.07256571640133284	-0.016722201653708503	-0.10002468221646303	0.13189559422436134	-0.09959274342835987	-0.05911390842897692	0.01999259533506109	0.026471677156608663	0.05612118968283352	-0.018943601135381957	0.03288905343699864	0.012001727755152413	-0.067043070467728	-0.30951499444650127	-0.05220288781932617	-0.13433296310008638
Nitracline	0.059641009266242516	-0.23650350315557975	-0.00302211640043916	-0.04363752923664424	-0.04187462800305473	0.017651907157110548	-0.040409359445266045	-0.0780713403446783	-0.02532167226428569	-0.060808645148230374	0.03276248915930635	0.0725994780741862	0.04196620728791652	0.13826182532009157	-0.19009570055186625	-0.04562937868238823	0.1544713587406289	-0.0478959659827176	0.05206282344392917	-0.09086954540411384	0.05808416142359204	0.009776088658996374	0.05618389126270984	0.0346398644989731	-0.04940702418293718	0.0025184303336993003	0.016438481632691796	-0.09020559558886584	0.09798983480211823	0.01598058520838283	-0.062273913706019056	-0.10705618400343571	-0.023490086567049834	0.015660057711366557	0.011996886316894849	0.15827189906239328	0.1719630021492313	0.06202207067264913	0.08777874454002833	0.15293740571919387	0.19968863064113906	0.06744814330071035	-0.13441549535589628	-0.15790558192294613	-0.25816200402539374	-0.0674710381219258	-0.0005723705303862046	-0.18221988205375209	-0.0010302669546951684	-0.13686524122594923	-0.3064929716112048	-0.15048765984914092	-0.3052337564443552	-0.1040111727817811	-0.06156417424834017	0.07571317375948715	-0.21759238083161953	-0.07923897622666616	-0.1090938230916106	-0.08189477548765815	-0.19668940906191534	-0.1306149550341319	-0.09336508091659769	-0.028778790267818367	-0.08384083529097125	-0.009501350804410997	-0.04535464082780285	-0.009661614552919133	0.07131736808612109	-0.06925683417673076	-0.03564723663245282	-0.005242914058337634	0.11832043604143622	-0.02781720777676954	0.005883969052370183	0.15577636354990945	0.1753285408679022	-0.046682540458298845	0.31686432562180283	0.13610971212583944	-0.2442877423688321	0.04890333811619732	-0.3085306106993797	-0.2181876461832212	-0.179609872435191	-0.024131141561082384	-0.2579330558132392	-0.10284353689979324
Residence.time	0.08565277600181465	0.05575059116695932	0.10348271936144346	0.12611260375042893	0.08973996476695129	0.028075757157791537	0.09001838362016223	0.05439190716328991	0.08465046813025524	0.0992173425302518	0.07909322782016481	-0.09799229957612365	-0.003920137453210084	-0.08618734019997966	-0.13718253735409605	-0.08199992064768706	-0.10419547162566348	0.020903687499077634	-0.040593468798155556	-0.018698610181646962	-0.08379293806236554	-0.00040092314862375856	0.06373564387704918	-0.11558837109905527	-0.09134365736144633	-0.06800102070824082	-0.02599318413577368	0.05944799353760064	0.20169775402013587	0.08526298960731932	0.067522140280718	0.2170887482256368	0.01762948178531694	0.1211122011467604	0.03383345904219385	-0.031171774805497227	0.19383520560545883	-0.06984972189356149	-0.08321382684768677	0.1003087444348387	-0.029356483882561877	0.17544842453940812	0.0802403134953939	0.015435541222014704	-0.14686037669170846	0.007662086840365164	-0.23639987988434785	-0.2786749985558975	-0.05223137686237299	-0.14886499243482723	0.10481912985685599	0.03377777527155166	-0.055850821954115254	-0.04965878665870387	0.1776869121192241	0.08208901468071457	0.008530753662383306	-0.030102646409167204	-0.14578011154124998	-0.13013297199079496	-0.057365420515582785	-0.30799807217607406	-0.11625657634676155	-0.11486448208070683	-0.12818404001831837	-0.1454014619008831	0.13597976790822477	0.002205077317430672	-0.19018235025133123	0.06820148228255271	0.0021382567926600455	-0.1812506734403242	0.011860643146786191	0.04632889717430099	-0.04948059859264887	0.010479685634859912	0.00713865939632859	0.1030817962128197	-0.08222265573025582	-0.040693699585311494	-0.22912757943847803	0.05495988162384024	-0.1716062443650971	-0.08230061300915488	-0.10220199263667312	0.20635291724582283	0.17490272358711467	0.1821972975412414
