	ExuR_UxuR	NadQ	SiaR	LiuQ	SahR_SamR	NrtR	Phr	MntR	NagC	NsrR	BirA	MetR	HutC	CzrA	PrpR	IscR	PhnF	AmtR	NifA	Irr	NrdR	ArgR	KdgR	RbkR	ThiR	ModE	FUR	Zur	CcpA	NagR	PsrA	Rex	CsoR	PurR	MetJ	AraR	CblR	GulR	MerR	NtrC	FadP	LtbR	ZntR	LiuR	NiaR	HcpR	CueR	GntR	AcnR	FixJ	CadR-PbrR	NnrR	NorR	GguR	NarP	FadR	SdaR	BioQ	FnrN_FixK	VanR	PhsR	PhnR	RbsR	PaaR	FruR	HexR	QorR	LexA	SoxR	HisR	DasR	TrpR	FabR	NagQ	AgaR	PdhR	HypR	XylR	PdxR	PhrR	HrcA	NikR	NmlR	RutR	GlcC	LldR	TtrR	TyrR
Temperature	0.21960711044680511	0.3412160358725244	0.3625046709016175	0.4559920995035499	0.47063470880264774	0.3767415790316554	0.40065125713980676	0.4444829979181124	0.4999306037473976	0.41113542945604015	0.4696418085731063	0.5052047189451769	0.19444829979181125	0.2775956867559921	0.3947472374953291	0.24385843164469118	0.1886723963059841	0.32826562750226873	0.2926066300112102	0.2511076709549992	0.4355041904660225	0.33716436235520203	0.40381145571985266	0.2971867826829659	0.24324454171782417	0.11579565472695244	0.3329311909464581	0.19228100144130678	0.13527464901510702	0.24439758714567875	0.08368120429189131	0.20421715688891262	-0.41678855495649386	-0.2505258100677948	-0.18473282442748093	-0.023866972721934554	0.03592590615491379	-0.15072332247904768	-0.18119361554476057	-0.2308119361554476	-0.10072599156568622	-0.18945710777771846	-0.04874286019324187	0.006133561095393156	-0.002786526450648588	0.0855228740724924	-0.1386163454865745	-0.17850317621309988	-0.17803341696471467	-0.255794587092297	-0.13683873378529868	-0.19108525062723536	-0.07698179682912508	-0.2904500080072599	-0.21463727112582073	-0.14315913094539048	-0.23598462606096193	-0.058164736027331444	-0.0749159237708856	-0.03258954785672343	-0.09261196818448726	0.0031441840602145945	-0.05559707468104415	-0.0009021512838306732	-0.05451342550579192	-0.06975924838520259	-0.05967010089147494	0.09111727966689799	0.04456307051726899	0.13272834036192815	0.28097475044039927	0.17919180056584635	0.14581220306411147	0.0753856830192708	0.13158597128062777	0.1282122457694977	0.060625633908076654	0.16028399081834196	0.0013505578391074574	-0.08858164736027331	0.009886296909197673	0.1703731383120696	-0.024518229861741313	0.08580579725617894	0.130219398921689	0.17996583569102653	-0.13601131692734747	-0.0459723482624246
HCO3	0.30856553147574817	-0.23219814241486067	0.007223942208462332	0.19504643962848298	0.021671826625386997	0.048503611971104234	-0.0030959752321981426	0.09803921568627451	-0.10629514963880289	0.0608875128998968	-0.09597523219814241	-0.20949432404540763	0.09803921568627451	0.22807017543859648	0.15583075335397317	0.16821465428276575	0.0010319917440660474	-0.3684210526315789	-0.3766769865841073	-0.11248710010319918	-0.07739938080495357	-0.1867905056759546	-0.07327141382868937	0.29411764705882354	0.13312693498452013	0.11455108359133127	-0.16202270381836945	0.08359133126934984	0.19711042311661506	-0.015479876160990712	-0.11455108359133127	-0.11248710010319918	-0.04231166150670795	-0.017543859649122806	0.3766769865841073	0.5583075335397317	0.32301341589267285	0.3993808049535604	-0.3849329205366357	-0.06501547987616099	0.27347781217750256	-0.02786377708978328	-0.6078431372549019	-0.07327141382868937	-0.4179566563467492	0.40350877192982454	0.304437564499484	0.3539731682146543	0.7069143446852425	0.08359133126934984	0.391124871001032	0.22807017543859648	0.3333333333333333	0.32507739938080493	0.5376676986584107	0.025799793601651185	-0.23219814241486067	0.005159958720330237	0.17234262125902994	0.10835913312693499	0.06914344685242518	0.14551083591331268	-0.18885448916408668	-0.2693498452012384	-0.27966976264189886	-0.11661506707946337	0.5025799793601651	-0.029927760577915376	-0.19917440660474717	-0.12899896800825594	-0.29205366357069146	-0.08359133126934984	-0.2549019607843137	-0.07120743034055728	0.16615067079463364	-0.06501547987616099	0.058823529411764705	-0.17234262125902994	-0.05056759545923633	0.2260061919504644	0.16615067079463364	0.05056759545923633	0.17027863777089783	0.23839009287925697	0.20743034055727555	0.07327141382868937	-0.12487100103199174	0.17440660474716202
Density	-0.0888527769053244	-0.24720534214587117	-0.24054677791585302	-0.30623113793715606	-0.40888992065984786	-0.33297464119406245	-0.3311010665173633	-0.3465648854961832	-0.4191645386390638	-0.34789769080555516	-0.3158011170437941	-0.4423192997309809	-0.13137145120102692	-0.2721462808450204	-0.28669789291127834	-0.20653839325950102	-0.13936828305725874	-0.27146349123980934	-0.2170533531797512	-0.21166204645700473	-0.3787160824263611	-0.35949418946045963	-0.40290322140135737	-0.31352879323765176	-0.286441164019719	-0.1358505510112114	-0.32131805705389943	-0.21885591773750837	-0.07199606713187398	-0.15878681942946102	-0.04937661309044231	-0.11407775608024144	0.42450668451023504	0.11978587717980581	0.1420721298938945	-0.016209425227710333	-0.08257111253738274	0.044848352428682625	0.1442406696800448	0.15349929672670662	0.06352401371041527	0.21208810717065643	0.06650097638913545	0.020300700542134946	0.03370522607163828	-0.15804940665583306	0.18473282442748093	0.1832798481475918	0.045951740430703686	0.1523795217741605	0.055336000764724357	0.0982643488235535	0.013663985579483538	0.23120075379972416	0.20439170274071747	0.0382170997828729	0.11001379235002526	0.08542244192874408	-0.05126111240082481	-0.08963935053052752	0.04733370659165085	-0.06069453358642068	0.01713801909079736	-0.11785221701784812	0.05641207718253697	0.04277267202884103	0.04748665146321812	-0.16040366521460078	-0.009878600008193475	-0.1918993841237761	-0.2288738068251649	-0.19508391484248044	-0.17833098908902212	-0.17582924797552882	-0.17486788021139166	-0.19135315243960727	-0.09946605852872496	-0.2255308689180516	0.03918392986385175	0.04715891245271682	0.014909393819388493	-0.17179259582952108	0.021371314643105873	-0.0908738341367491	-0.10522880279670623	-0.15783637629900724	0.19697387646970463	0.12912097666225128
NO3	-0.39098097613101485	-0.3602194634567423	-0.2713988803946567	-0.4392215259059937	-0.5648635520449202	-0.4875257805997907	-0.5473765518293617	-0.5110328956436563	-0.521918473646693	-0.511701797291246	-0.6295081184155505	-0.7018291275037576	-0.5665039537044854	-0.5793404948463253	-0.3728330373827189	-0.4392215259059937	-0.26534691310694064	-0.21513151084860174	-0.21914492073413977	-0.20774174026570635	-0.2695992164380464	-0.3127911513966937	-0.3525907994282791	-0.30955812676667693	-0.2694558803707057	-0.2843548682592804	-0.3202287006687027	-0.35718551669803195	-0.1719316127751022	-0.2624085237264574	-0.16983731356895834	-0.2576943597339207	0.40409622629268377	0.48160122314971077	-0.23667173652395962	-0.2316310848224803	0.06788555411549933	-0.10220657912873125	0.3478766354357424	0.33355099181653025	0.1743922152644499	0.11802132522531561	0.08541236990531915	0.14610723130922953	-0.005486586133205753	0.12108712444343493	0.05817851711059685	0.24850492519441497	0.1597798995105565	0.21595967479323658	0.01118817636742247	0.15815542408069586	0.0002946352495335455	0.1809299325581537	0.18222792027907175	0.1876030228043459	0.22457576506337973	0.1312560221097684	0.07492494764489539	0.08249786986939274	0.1440129321030857	0.12963154667990776	0.06812444756106707	-0.006609385327374128	0.18558039163187237	-0.07651757061534699	-0.06155487780795423	-0.06681849672529676	-0.06251841470507745	0.0314065249773055	0.03502177912023062	-0.08065839033852114	-0.06677071803618322	-0.07052134513159673	-0.11826818178573562	-0.13636037873006576	-0.2043414902237922	-0.20245423200380705	-0.14130547305331798	-0.14320865750300762	-0.19332850238311938	-0.2603699663242794	-0.022432094538810746	-0.12923339093729486	-0.2169630272646211	-0.2848724707246772	-0.11819651375206529	-0.10930967757694537
Fluorescence	-0.3253736839077195	-0.33769474915285397	-0.32872853845467054	-0.5108253854913827	-0.5807517580792865	-0.4831336733350765	-0.5400591977677694	-0.502560987704991	-0.5416957121809164	-0.5064917694396457	-0.548779931303981	-0.5835338325816362	-0.4070231645513388	-0.3587208122186889	-0.45480938541522703	-0.3292352284941256	-0.36663902426383793	-0.3570622678038266	-0.352964687484755	-0.19884279548354755	-0.37748407939403805	-0.382598186935122	-0.4387621027370812	-0.3087252968970524	-0.2892130096633783	-0.14959315307713378	-0.36123223241424884	-0.3273249126310869	-0.2210364486403007	-0.30234918497198404	-0.16801023451124034	-0.32770886408955596	0.44472908605886285	0.42589972887836736	0.018310078568631566	-0.041287370357833884	-0.013293532463716009	0.08283910073625303	0.1246363082766442	0.17644772516825324	0.0335076326091819	0.13537436054136934	-0.006986657686896198	0.12461113113182655	0.11391399172743008	0.002583804486910711	-0.011002412285310409	0.1039564309520519	0.13281258605617408	0.24866521793456273	0.16751613304419408	0.20948013916900213	0.12551750834526174	0.1880921546464136	0.1718812205269531	0.0991507434349841	0.2102102763687138	0.0782977732397705	0.0698854597275752	0.08934424552851178	0.07203181132327936	-0.008154247777814436	0.12708793275326227	0.014259705396093095	0.05330945700825887	-0.06511753792773389	-0.002470507335231313	-0.18533211014577936	-0.1741723407053587	-0.1169037776745253	-0.1617474197378514	0.02214959315332227	-0.051496702581388505	-0.08947957268190662	-0.17220537626648025	-0.13124530879127574	-0.08323878791023312	-0.11096511864066354	0.08075254485949078	0.017926127110162497	-0.06345269922666719	-0.22765803772734106	-0.07433866721719598	-0.18221643847459593	-0.1954281452176546	-0.33721323625821653	0.07373441574157254	-0.10885338561908364
Nitracline	0.18011027298788154	0.09077729098666591	-0.12050918774418613	-0.21263742934081695	0.06347820366091175	-0.042714202619134146	0.03588256620126286	0.07203422419068946	-0.04781596325595282	-0.08217733710371862	-0.046635254389520084	0.08389622954647884	0.07833866037052567	-0.13500170262100472	-0.03846365069997629	-0.04991378086980076	-0.004634968759391775	0.09599986834470096	0.06983206486306374	-0.153574527673449	0.029347479917286305	-0.03779366706414004	-0.012932880839298139	-0.022444451800514433	-0.0465254210065961	-0.043054686106198475	-0.02232912674844426	0.02062121764397644	-0.12142080482245514	0.024300635971929625	0.03308181493670148	0.07145210726119239	-0.051989631807063896	0.028551187891087484	-0.07576855921010464	-0.1505156679590163	-0.15409074457319172	-0.22838204478296886	0.03417465709679504	-0.19059386938797504	0.13085549241562464	0.0028941096400467597	0.0293859216013097	-0.17845178890572952	-0.1740364869121857	-0.14582029083901635	0.04211011901305228	-0.06559798795134449	0.07113359045071287	-0.0890419235364671	0.09589003496177698	-0.0736432832505257	-0.037958417138526004	0.11858710354301656	0.03759596697487688	0.18047821482067686	-0.11276044257889965	-0.04555888723686512	-0.04440014504701718	-0.10947642442947278	-0.08383032951672445	-0.17693059655223245	-0.09015124070399926	-0.2020439995577995	-0.21076477016196316	-0.11520972701810431	0.14121278042535557	0.01839709163976593	0.03421859044996463	0.1283403079466656	-0.06565839631195267	-0.07208364921300525	-0.038024317168280385	-0.1441398400802795	-0.08627412228678291	-0.041549968760140006	-0.028051445998783394	0.012899930824420945	-0.01500873177656128	-0.06682812184009301	-0.0038771184172163423	0.09845464445305181	-0.08609838887410455	-0.010944896608374178	0.010494579738385877	-0.07810251859723912	0.04575109565698208	-0.02147242636163725
Brunt.Väisälä	0.1474702048389476	0.008123524571823592	-0.035105031511686396	-0.11534230810668039	0.20479053221170837	0.09120934608721959	0.12144753097827803	0.13032861754561578	-0.005987814739451525	-0.020169039843670755	0.03144581139313268	0.16389336618081396	0.2082904127223495	0.02115023637660609	0.045090313607541135	0.09597276173429027	0.07793384085955606	0.0734052414767776	0.14121123322287293	-0.12482161706161976	0.07111857833164624	0.004995436479645133	0.0657709174555628	0.17870076798981244	0.19285124334513623	0.14355380500235956	0.10950544667998814	0.1557418872918127	-0.046415348241761495	-0.0657541448652562	0.1397408361393288	0.14113016570305775	0.05017799933387249	0.016635614152416447	0.09859767211727112	-0.0560260424874358	-0.050191976492461314	-0.047047115809976274	0.12056137912374668	-0.1455832884294566	0.0833457966651481	-0.07842304141016485	0.23901220730058118	0.00045845080171337543	0.17916201422324357	0.03358711208894028	0.17657903531602917	0.0372295596171874	0.03762092005767443	-0.05732871366791405	-0.007883117444095845	-0.09725306946102641	0.024325846807986544	0.061510679517689716	0.12204854879759738	0.3449702511307262	0.04559908218017427	0.012836622447974512	0.039038203938581026	-0.048931236787749535	-0.06156379272032724	0.0774110951283341	0.0481624930653643	0.07351146788205265	-0.12731793758558343	0.10566172806806198	0.18724919818273622	0.18245782821848788	0.16245092341444747	0.18297218765455656	-0.03709258346301694	0.019920246420789715	-0.0073631671445916515	0.07221997842844545	-0.11307800841529116	0.024460027530439236	0.052375208664035375	0.06324664261442146	0.1300043474663551	0.06262885220479551	0.22012627061536433	0.13951440617018987	0.013767501209990086	0.1540282876488231	0.16002448868342792	0.1501062969487995	0.1610643892824363	0.07871097087709458
Okubo.Weiss	-0.04111641936758331	0.06298716687926989	-0.0612820396117814	0.10036519725490249	0.15296925238850362	0.09897648535663867	0.08612943541172967	-0.016869626814774455	0.0023994832166204026	0.01829642574822273	-0.10011616664023493	0.10582336237402802	0.0684131045070855	0.009832314621462846	0.1142025101146072	0.0005888841593903552	0.012518915487935264	0.10388092357962103	0.06952934761518363	-0.06564739979830692	-0.012841190401034463	0.1729766649480894	0.07764481588140892	0.0839731232659023	0.047494532875010195	0.007737527686318051	0.12027006779668395	0.14597002723037647	-0.06297544779152082	0.09236691986616781	0.01817337532685758	-0.039915212873304476	-0.10856562890730848	-0.015132272055976044	0.07092684882925926	-0.18160191353139887	0.005929858401025269	-0.04599741941506755	0.13334563995269966	0.06952055829937184	0.08134804761011245	0.013204482121255379	0.1438723105232944	-0.04208031433494364	0.04681482578556461	0.19014805827240217	0.06339147540661252	-0.06387781754819859	0.1129485677254576	0.07188781402468232	0.026397245154761696	-0.06300767528283074	-0.05442637327858025	-0.01686669704283719	0.10043844155333412	0.21094943902698687	0.0801234029403355	0.004998190924974856	-0.03806359700895271	0.04487824653503215	0.18764017349410295	0.16457407903201207	0.029778201970366024	0.24424043755013417	0.0516401601662408	0.025954849592234614	-0.019181216873276896	0.21226783639875632	0.06726756367961471	0.05528479645619903	-0.039519693661773644	-0.07693874084452795	0.18902302584849223	0.10767790801031706	0.07881379488437784	0.05691081988138135	-0.04271314507339298	-0.06001051859100819	-0.12538837937108668	-0.02591090301317563	0.11262922258429565	0.042757091652451965	0.004160276150916938	0.027466611911863587	0.1326278458280696	0.09010220615866162	0.001872124267912622	0.04853460191273943
Depth.Min.O2	0.021647196177701424	-0.009299753453009114	-0.1954822308252606	-0.18762951532281882	0.12641151489181135	0.08386061124986348	0.0683456608244601	0.07880673135881625	0.06314123983027528	-0.07759011346407174	-0.06691091194353666	0.07630590568628587	-0.00941957188203698	0.08285597980647597	-0.011594737209004424	-0.021693280188865988	-0.003007749795340575	-0.005250505005349381	0.18528537528824796	-0.20517216223946302	0.13576349689080697	0.13905696755536784	0.1545442675740725	0.007342719112220608	-0.012731476151063681	0.09783021116754846	-0.08318471241944987	0.043417283051841685	0.04623148000029109	-0.03375807431174897	0.08555957512813042	-0.023929890864052852	0.09691467547907912	0.033155909899198664	-0.06556833108494235	-0.1003863376534763	-0.11826078945050537	-0.06007511695412626	0.19427175746533804	-0.009889628795915538	0.127188798546787	-0.0026267886363801757	0.2919606443319818	-0.20871755883172352	-0.041896510683411055	0.1283961996392986	-0.022639538551445047	-0.00521978233123967	0.05180764535120339	0.05272318103967274	-0.04181048719590387	-0.13333947790355088	0.0882600981823739	-0.08633071424828413	0.09943086248866433	0.12242678405978201	-0.05738688296952667	0.01292195673054388	-0.07938738989948975	-0.12148974249943587	-0.011474918779976556	0.00989884559814845	-0.045958048200714675	0.05665568332571558	-0.004765086754415968	0.04234813399282379	-0.058723319293299034	0.1108412636530105	-0.03718672474239257	0.128033672084804	0.05760501395570561	0.028992987557333004	0.06283708535658916	0.05654508169892062	0.01965943916280321	0.1110409610347236	0.0605574629376487	0.041902655218233	0.11610098546059279	-0.012860511382324462	-0.07760240253371561	-0.04837592265314882	-0.0020584191653505468	-0.06833029948740525	0.09047827525309493	0.009364271068639502	0.025856202530731648	0.019005046204266393
Oxygen	0.1875268817204301	0.12252534562211982	0.15754224270353304	0.11915821812596006	0.19218433179723501	0.1970752688172043	0.1938494623655914	0.11670046082949309	0.1336774193548387	0.24025806451612902	0.2780706605222734	0.2859846390168971	0.3002396313364055	0.32403072196620586	0.1422857142857143	0.18046082949308756	0.19722273425499232	-0.12485407066052227	-0.1269800307219662	0.22889093701996926	-0.15415668202764976	0.0759078341013825	0.13474654377880185	0.07684178187403994	-0.001142857142857143	-0.050961597542242706	0.0016774193548387097	0.08335483870967741	0.08105069124423964	0.05054992319508449	-0.07172964669738863	0.11506605222734255	-0.2563502304147465	-0.14755145929339478	0.2941874039938556	0.29913978494623655	0.13571121351766513	0.18121044546850998	-0.34387711213517663	-0.19689708141321044	-0.3315821812596006	-0.05384331797235023	-0.17928725038402457	-0.19927496159754224	-0.17288479262672812	-0.1448110599078341	-0.047827956989247314	-0.24782181259600614	0.09440245775729647	-0.06293701996927803	0.05523809523809524	-0.12654992319508448	0.04462058371735791	0.057431643625192014	-0.022642089093701998	-0.1425069124423963	-0.10384639016897082	-0.1304331797235023	0.019864823348694317	0.03214746543778802	-0.13589554531490014	-0.12012288786482335	-0.04624270353302611	0.004976958525345622	-0.09139170506912442	0.058046082949308755	0.13172350230414748	-0.075963133640553	-0.035324116743471586	-0.190863287250384	-0.14671582181259601	-0.08010445468509984	-0.09591397849462366	-0.02537019969278034	0.08450384024577573	-0.010205837173579108	0.17829185867895544	0.1821321044546851	-0.07929339477726574	0.17719815668202765	0.04143164362519201	0.0756804915514593	0.0788694316436252	0.08918586789554532	0.015797235023041475	0.12833179723502305	0.03087557603686636	-0.04335483870967742
