	MetJ	NorR	SdaR	CadR-PbrR	PhsR	FnrN_FixK	HcpR	RutR	AmtR	DasR	BioQ	LtbR	LexA	PrpR	GlcC	PhnR	QorR	MerR	NifA	FruR	CueR	FadP	CsoR	NmlR	ZntR	PaaR	PdxR	FixJ	RbsR	NnrR	GntR	NtrC	AcnR	FadR	LiuR	PurR	FabR	HrcA	TyrR	GguR	PhnF	NadQ	SiaR	AgaR	PhrR	IscR	KdgR	BirA	FUR	Zur	ArgR	MntR	NsrR	Phr	NrtR	SahR_SamR	MetR	RbkR	NagC	ThiR	HutC	TrpR	ModE	GulR	Irr	AraR	Rex	HexR	CzrA	XylR	HypR	CcpA	HisR	PsrA	CblR	LiuQ	SoxR	NagQ	NikR	ExuR_UxuR	TtrR	NagR	PdhR	NrdR	VanR	NarP	LldR	NiaR
Temperature	0.04627662413921956	-0.07676826989804089	-0.3098115624833182	-0.1702450221534191	-0.2814445096887845	-0.2364063417498532	-0.016073239737361876	-0.11324400790049645	-0.23655047242833502	-0.2224149895905621	-0.3909998398548017	-0.24834249719745902	-0.3430950728660652	-0.20013879250520472	-0.4124859872951476	-0.3040356589974911	-0.5078844819302835	-0.3973148988416164	-0.3366358832007687	-0.4853146853146853	-0.44403992953611277	-0.4809747504403993	-0.49423477286072703	-0.3798483958789302	-0.3902898628089468	-0.5335130518336625	-0.47254043666257406	-0.44299898574707736	-0.43503976939091443	-0.57927721133828	-0.6545561308920087	-0.6453264292958949	-0.46586238189291623	-0.5358565099023115	-0.5057065072332247	-0.40159611380985427	-0.36375914162173706	-0.5978220253029414	0.13364650616559012	0.4044733892062136	0.4356856883574441	0.4734105589067421	0.5128062776917739	0.6395772166764533	0.5073613409491272	0.45886937489990925	0.6550258901403939	0.5014893503443122	0.5827470239683981	0.5067047456360434	0.5278172209469919	0.5305343511450382	0.466716489617253	0.49076496023060906	0.5437036246196552	0.5434473923023542	0.6181871563550952	0.5178401750920835	0.5814818769017243	0.5663855228740725	0.2907542838840549	0.164880158009929	0.3762985106496557	0.5815299204612182	0.5014092777451556	0.32605028559227034	0.20581327069876687	0.3645438530934714	0.43110019751241124	0.3999039128810121	0.062056264346340685	0.299439491805904	0.14803288314738697	0.15269310841829925	-0.006517909571344686	0.23298991085250628	0.2031548604067688	-0.05357924518229862	-0.0073773554689585226	-0.10518870442534564	-0.1093257887151017	0.3155073933699888	0.20389686649228633	0.2515827683766615	0.2581273688143917	-0.17512945070196978	0.1724603640634175	0.13110553568568836
Oxygen	0.06554224270353302	-0.025419354838709676	0.1838279569892473	0.09853763440860215	0.04903225806451613	-0.2408110599078341	-0.39778187403993853	-0.26004915514592936	-0.13285407066052227	-0.3563563748079877	-0.19983410138248847	-0.14195391705069124	-0.2868817204301075	-0.23666973886328724	-0.41885099846390167	-0.4397910906298003	-0.1117910906298003	-0.47395391705069123	-0.4526021505376344	-0.3077910906298003	-0.4094070660522273	-0.3458740399385561	-0.34072503840245777	-0.29170506912442395	-0.24623041474654378	-0.38792626728110596	-0.3784884792626728	-0.34948079877112137	-0.43335176651305685	-0.2408847926267281	-0.20066973886328726	-0.19005222734254992	-0.3527250384024578	-0.2713364055299539	-0.2813640552995392	-0.3282887864823349	0.030433179723502304	-0.033898617511520734	0.3522642089093702	0.213136712749616	0.33784331797235023	0.42465130568356374	0.26678955453149	0.1631520737327189	0.27238709677419354	0.17288479262672812	0.2833364055299539	0.4269923195084485	0.3011674347158218	0.3159078341013825	0.3613763440860215	0.3321904761904762	0.4207188940092166	0.4215238095238095	0.3756927803379416	0.34784024577572964	0.30791397849462365	0.34859600614439323	0.32323195084485407	0.31948387096774195	0.366752688172043	0.4104147465437788	0.4150599078341014	0.2741505376344086	0.3662795698924731	0.34146236559139787	0.2595514592933948	0.36748387096774193	0.48121658986175114	0.38736712749615976	0.14073732718894008	0.20175115207373273	0.21195084485407065	0.1970752688172043	-0.19026728110599078	-0.1753794162826421	0.015729646697388633	0.06478033794162827	0.13432872503840246	-0.004466973886328725	-0.3829861751152074	0.07528110599078341	0.11811981566820276	0.25798463901689705	0.18972657450076805	0.24449769585253456	0.1873609831029186	0.15451305683563749
Density	-0.07066326182250202	-0.06525010583238881	0.23878791189282933	0.23944338991383196	0.3124035559682639	0.21635963894085677	0.019415805213781424	0.12022832484398258	0.2699504294746617	0.28328940720206475	0.38063335563779377	0.2674541506780101	0.3227764956506302	0.1930792445615808	0.41313960316268145	0.27303663849021564	0.422403692526185	0.36421363121167843	0.30853077332750684	0.4269647270889948	0.4610113479632386	0.4590886124349643	0.46514085949555506	0.27749388903303335	0.29993308661868934	0.5080910568217509	0.3852872495869123	0.3530213440030589	0.36678638244411366	0.5223040052438241	0.5178904532357399	0.5413074055360582	0.31739611356156716	0.4400633628753636	0.3930983626705267	0.28168894836745006	0.2332982834669325	0.5614196561471548	-0.04785808900845293	-0.32065165439921345	-0.3583744145079135	-0.415198896611998	-0.40089855112045775	-0.5743380354777479	-0.44649250979803085	-0.39068401862650043	-0.5731581750399432	-0.431116087888678	-0.51957284682298	-0.4756503570989635	-0.460022668614893	-0.43957721667645333	-0.3792568517936883	-0.4308211227792268	-0.45311283781015715	-0.4312144095918284	-0.5360089581996204	-0.4354149312430868	-0.5004929740949624	-0.49519452675852466	-0.18261890780974752	-0.04204072157205479	-0.31533135779540894	-0.5046771087956957	-0.4686258176405522	-0.2800229417307351	-0.16376845238908083	-0.39963675593002773	-0.3988993431563998	-0.3703478130248945	-0.24435401275450983	-0.3193789345751	-0.2018735746766991	-0.1930683199278974	-0.034278769340015565	-0.24031189829166041	-0.27952587089814146	0.07080528206038592	0.028592497507817942	0.15207909434786765	0.20266561061874394	-0.29394638736019885	-0.08630187494025592	-0.24358928839667346	-0.23855303226863675	0.23201463900913571	-0.1081129060891177	-0.07610919171366536
NO3	0.06227155814465745	0.18914786708568396	-0.006704942705601224	0.03777701685911189	0.34506565589289534	0.3251180531879891	0.3432819181659895	0.34016834025875664	0.2578058433418523	0.4595513581238084	0.41812723466236235	0.264248003257329	0.3747919636363744	0.37649607021475756	0.48264439119535657	0.4725710509072502	0.28957867160236167	0.5840466957240097	0.5047181455658157	0.6103090485067566	0.6364439914518673	0.5889201220135917	0.49059157981791	0.43666536603841893	0.44619721451657174	0.6290940364432331	0.643164860387173	0.5322545967249238	0.6478073563460395	0.5597830847691797	0.6481577333995387	0.6116707411464927	0.6842386067951197	0.6718718894295631	0.6515022416374872	0.519975473622742	0.288416056833932	0.45986191960304645	-0.4519704727844588	-0.6019159254524766	-0.6741254509327521	-0.5877973228194232	-0.5485869452869049	-0.49939878484450734	-0.5062789160768583	-0.5356628098816902	-0.6398044259195201	-0.640385733303735	-0.6051170976230844	-0.6225722453792338	-0.6322633561544319	-0.6349867414339041	-0.6964619880933357	-0.6870177338785578	-0.6685273811916147	-0.6778362624539043	-0.6875592256885114	-0.6278279011817242	-0.6585495982817354	-0.66226837291774	-0.4837273748152636	-0.4693459893920857	-0.6109142452355282	-0.6089792083264295	-0.5158505801292723	-0.5119725431962228	-0.33778736891793154	-0.4291641118475919	-0.6037952205576096	-0.515778912095602	-0.10821873084218603	-0.3506000207152146	-0.16502759219819452	-0.2739550402622315	0.030100574141535188	-0.0628687917585768	-0.12448737448534909	-0.032553213516030646	-0.16873840371934673	0.11574387437756983	0.2301340192302558	-0.3621306110212842	-0.28268261414030627	-0.3243854466215813	-0.17212272753155639	-0.12306994004164717	-0.2809546182173663	-0.2702760812004883
Fluorescence	0.09380060016123476	0.16233593549796382	0.18063971978039098	-0.07621751164921267	0.15547201639205363	0.34214480949937254	0.14179138532676636	0.15765613370498424	0.13498411479669586	0.26189580753623465	0.3421101909252483	0.2406211201653255	0.28818704101205933	0.28937980824779524	0.41971559268253356	0.37198602039448503	0.44932706213118506	0.41541659520492086	0.3702015902555345	0.5325469671828049	0.4851572863497946	0.5097994168400637	0.4156903966548127	0.45344667245197207	0.42547801170267185	0.496726184393502	0.5514801800856732	0.5153981844188872	0.5195398247413897	0.5667249412727566	0.6923242753386757	0.643581322971717	0.5884496701072812	0.7033109519084751	0.5895259930482355	0.5115869941221164	0.44365591026101076	0.540112699200507	-0.2888227639187049	-0.4828221061679582	-0.5555714661185404	-0.550526595725705	-0.6209470697806551	-0.6035213384237432	-0.44174874154107424	-0.509928449707254	-0.6669079476452642	-0.5213714620268732	-0.5938816391016879	-0.5416516521774855	-0.5863442313719057	-0.6076881558910634	-0.6035559569978676	-0.5924213647022645	-0.6238141171467643	-0.6302217005028546	-0.6367236981520112	-0.5943694462825297	-0.6183317938627223	-0.6204970283170397	-0.41192956064767716	-0.3227678494190933	-0.48475445203271234	-0.581617222432393	-0.48310534904715663	-0.41666915815959865	-0.3597121622958836	-0.40578948445527424	-0.46153168308153797	-0.42016563414614894	0.07293504139361233	-0.2139333466586229	-0.15561363783165288	-0.11612958047138275	0.10209646937864846	-0.1245765125577023	-0.14164032245786048	0.03904660446906357	-0.0531552469962508	0.02845646793014208	0.08911450408205078	-0.25603897422303024	-0.2873341652313616	-0.3668719128534011	-0.20261307291998973	-0.03555642276871768	-0.30080393770880115	-0.19213308638964544
Si	0.05173384117654478	0.21709755974034264	-0.03966190030394003	-0.014467124899029639	-0.04839978768764599	0.22202128993274836	0.3147186458952993	0.11217889730888432	0.018073237152622573	0.17216518768115138	0.1653530495926334	0.1914066771762841	0.14137453690047327	0.102043374702632	0.2214398310042844	0.155350889125937	0.0876669360585004	0.3069356314308139	0.29415953846135373	0.21766301521205986	0.2545776554411473	0.2285133588863321	0.17884396363011346	0.22622486457155197	0.17547256874213898	0.201958289657951	0.27685446723257345	0.29675209845432143	0.32994860223258893	0.22399504959817645	0.222528066063061	0.22002619232499132	0.38695291516438496	0.33804635134642635	0.33275454164884616	0.2644677917106167	0.0569776405038848	0.09001944420026739	-0.2708318330102267	-0.26139512801524756	-0.21261125736568043	-0.2563433701688681	-0.23620568709591938	-0.10898887493070596	-0.21927402985789576	-0.24439945695023707	-0.29372211064361026	-0.37323795273245086	-0.2543802794746045	-0.23736860495284728	-0.27464065571594465	-0.3028494154748196	-0.36845825365076557	-0.36367855456908027	-0.35497267409886774	-0.30024085202510514	-0.2679618797669826	-0.3174819094268986	-0.32410734052003826	-0.31016299520806795	-0.1813725097960943	-0.2753341388416356	-0.27518477324533297	-0.18670699537833235	-0.2113896601673479	-0.3093521533995678	-0.21093622889285768	-0.15136069391042292	-0.3032975122637276	-0.16532104267913994	-0.08968870609416862	-0.227659841193174	-0.10128054326437196	-0.16182162013719179	0.12420282781124893	-0.07108202038332224	-0.05750042009094413	-0.1174867104632112	-0.020548438462781038	-0.02150331138200165	0.04581789666584276	0.09669822014922945	-0.2525025405496567	-0.07960119385815645	-0.17461371656339866	-0.2162387075616023	-0.1929216710816397	-0.25027272557628116
NO2NO3	0.19444528355720128	0.20732849173685544	0.09436702871235164	-0.0913027362297229	0.06470160220489565	0.18680102704139626	0.11969411998454471	0.09752467777599236	-0.03290544902493081	0.17627919120498647	0.19436291010336718	0.0839056000754202	0.15038646888313253	0.20758110366194668	0.2536772884275123	0.11352709407416466	0.10989167897828611	0.28730762384618325	0.29260698270951074	0.2902071694211438	0.341405016760835	0.2808111041204668	0.2677521659059665	0.25606062702511245	0.24665907016084648	0.32563873769698715	0.28600063171201545	0.3260890459112803	0.4411922187354708	0.322244951399022	0.371257156430315	0.366830956177629	0.5225881742507452	0.5360534881708271	0.48549266220745296	0.3337003530455517	0.23144194745589267	0.24082153806580286	-0.27992147081905844	-0.410867804597342	-0.4116311319362047	-0.4178311072281184	-0.40138387427924194	-0.23818558754311148	-0.21828965266038045	-0.36771509791544843	-0.41827592387882256	-0.3729485580157086	-0.34088331821988566	-0.38096074929197266	-0.33536978837658954	-0.3389008637642782	-0.4533120995762623	-0.44758439875299744	-0.42936888232848214	-0.4090610801765806	-0.46929254962007877	-0.4504290286920686	-0.41928088001559866	-0.4130150059606177	-0.2753195405315264	-0.28064086564920965	-0.3592031743525908	-0.313491399038251	-0.3183953653231748	-0.31048202219151166	-0.17780035431912297	-0.13536155090379165	-0.2987795001834797	-0.23143645589230374	0.06415244584600162	-0.22606570670232004	-0.031065775222635778	-0.07694229744464379	0.004909457848512707	-0.032142121686068094	-0.02997844563202558	-0.029907055305369357	0.06597564495752983	-0.04925932539279529	0.06022597787990924	-0.17247353763785078	-0.05388322193468309	-0.21520888548698489	-0.22619201266486566	-0.15051277484567818	-0.19767432294749823	-0.1805516276771821
PO4	0.12215748405016284	0.30418833508611687	0.16389256513720432	-0.19508404679173005	0.015804416232698074	0.17874146767133064	0.1899660079005297	0.010911527121046238	-0.03423924086548731	0.045128802154382475	0.12338207919258525	0.046638953114768844	0.23030076718794018	0.1935519299991926	0.21033931722065125	0.17792873188174088	0.13839023400980685	0.23688502537522474	0.22560007910761024	0.23807118031138277	0.2681204386940526	0.20871384564147175	0.23628645644910795	0.17485351538059046	0.23202508501179953	0.2478075354123465	0.3575872730453789	0.2699326198465163	0.4010082317500153	0.2657426373636988	0.3630842225411853	0.3155940934305623	0.47165583940590855	0.41453369289703945	0.4654340174491167	0.3943690589823531	0.2099988468223096	0.1782252706157804	-0.2630298570930411	-0.40684565164416336	-0.3711182256504408	-0.34325456756680284	-0.36469321974625146	-0.19525977344893863	-0.18847233131425664	-0.3178016595617453	-0.3133261212609639	-0.3028539107829391	-0.2601468416232126	-0.2817502375437943	-0.27010834650372484	-0.29119554536875636	-0.4054233640123813	-0.3779935311137271	-0.33957529068149783	-0.3633423210689604	-0.38838886117922305	-0.37642297411492526	-0.34418262397518573	-0.3497784197156719	-0.33096468447827665	-0.3525461145667073	-0.35810347010092913	-0.28809836303545483	-0.27028407316093345	-0.27511106477613206	-0.148686717830623	-0.10970834867854139	-0.2681918276485436	-0.1807129011068896	0.16042196365733455	-0.10187752951668334	0.0319493028637378	-0.05976902928307361	0.027127802706576956	0.03754509860422402	0.05070812352075539	-0.026216220672307368	-0.035568173710627315	0.012421678081432607	0.08673757970655527	-0.15016941150082055	-0.09309119665625355	-0.21637992106219672	-0.224941104143078	-0.09556784423128721	-0.14812109765273285	-0.16881840299708276
Mean Flux at 150m	0.21478217045744444	0.41164336199923085	-0.1299593291149874	-0.027344436762740402	0.13208077920245245	0.11666803409186367	-0.024332212052914304	0.1480092359365134	-0.08894853433023442	0.26259098209705783	0.062389385721417556	0.2135866571484862	-0.22786249254369315	-0.004969584735277296	-0.1379880214349519	-0.010478322531457316	-0.08307645425388083	0.12475533000540456	0.024543184989789284	0.32103048561142716	0.17367760992296924	0.1416448856741182	-0.0862996519005819	-0.10500591897016341	-0.02469555433308788	-0.1121438366677669	0.17449806023303863	0.009821962283401825	0.007653629321075646	0.14868903762199945	0.2401809679134489	0.19109459793387035	0.24497474186799706	0.22243579977852007	0.180616275402413	-0.020358888408435524	0.08741312017853319	0.053798098903119776	-0.04123348844034322	-0.03665068742267005	-0.30864168592937974	0.12051242983047442	-0.005332927015450871	-0.09152709244759528	-0.1366753009388409	-0.19666193932362674	-0.1575030180958875	-0.11829721399328713	-0.2105392702825143	-0.2626144235344884	-0.23801263495112274	-0.29619428265375597	-0.17820180734706603	-0.19901780378539735	-0.2663181706485158	-0.30463320012875517	-0.24000515713271975	-0.2051125775173412	-0.237684454827095	-0.3833143848644072	-0.0767121039914856	-0.05797067476575826	-0.06767542986200732	-0.00896634981718663	0.18303074345776002	-0.12005532180057862	-0.12212988901318259	-0.026359896390657164	-0.10153658623044154	-0.16288282798619946	0.08283031916086002	-0.09148020957273417	-0.05043425263183538	-0.07893904054738816	-0.13324113035526483	-0.18138984283762127	-0.24769394860994123	-0.02658259004624742	-0.1687900702186989	0.1284942392755778	-0.10877999039648249	-0.05761905320429996	0.030122247098260967	0.13222142782703578	0.23202334768761637	-0.19588837188841848	-0.1220244025447451	-0.12857628430658474
CO3	0.20537492360007428	0.27429330074006336	-0.027354404506640718	0.20320602559738532	0.05844194254518243	0.1303704872161762	-0.13298630965578287	-0.020177323843197262	0.14409369639682632	0.11764628560040098	0.3913612135397473	0.24228562415492635	-0.24641310277822534	-0.07932908755289608	0.21064600298842745	0.08038067446329072	0.1115733711928719	0.29110554646999776	0.09785016201222177	0.318946309922696	0.24289028662840328	0.23863135964130497	0.24440194281209557	0.1399530729371474	0.3194983930506532	0.2406425196074347	0.11740967854556218	0.2506851746017036	0.18038658964182153	0.31055990431229874	0.37822952199619414	0.33804575718273877	0.38342173236626775	0.30914026198326594	0.2090686226228355	0.11309817221294413	0.1161872087622284	0.25865094544794304	-0.2056641100004328	-0.07428147038300179	-0.05898088083675969	-0.09796846553964117	-0.07601658878515294	-0.2628178585803818	-0.24526950201317116	-0.2575336343556487	-0.5131086880906874	-0.3960539201273834	-0.4005757438420804	-0.34902169555998286	-0.3275298880787923	-0.4081734592696817	-0.2715986092821771	-0.34348771944403106	-0.41611294044316127	-0.36331013270497015	-0.40041800580552117	-0.3965008445643011	-0.44495271146073445	-0.44809432735553845	0.024344236975636046	0.011488586996061503	-0.08319366944859641	-0.16590097995113529	-0.10991712180900033	-0.19292676354827767	-0.2816018297673062	-0.11570084981617089	-0.21734986954219332	-0.12788611314036885	-0.03909274339392095	-0.2304158369038468	-0.1776261740020356	-0.3277139157881114	-0.16486253787712057	-0.15152052895148851	-0.1270842781211929	-0.027459563197680184	-0.02324007071972167	-0.2527094794042133	-0.17673232512820014	-0.02192558708172836	-0.006112348916668878	-0.017968991331368506	0.18293668789952855	-0.023621270974739726	-0.12332485491653207	-0.19250612878411982
