	NtrC	PurR	FadP	FadR	MetR	HutC	SahR_SamR	NagC	KdgR	NsrR	FUR	CcpA	NifA	NrdR	ExuR_UxuR	PhnF	PrpR	NadQ	LldR	SiaR	NikR	PdhR	LiuQ	AmtR	CzrA	IscR	BirA	MntR	Phr	ModE	RbkR	ThiR	Zur	ArgR	NrtR	NagR	PsrA	GguR	QorR	CblR	CsoR	NnrR	NarP	SdaR	Irr	Rex	FixJ	AcnR	BioQ	GulR	VanR	NorR	TtrR	AgaR	NmlR	SoxR	ZntR	HcpR	HisR	GntR	RbsR	FnrN_FixK	PhsR	MetJ	CueR	FruR	MerR	PaaR	PhnR	HrcA	DasR	HexR	RutR	PdxR	FabR	NagQ	GlcC	LexA	CadR-PbrR	NiaR	XylR	HypR	TyrR	AraR	PhrR	TrpR	LiuR	LtbR
Gradient.Surface.temp(SST)	0.22443783633855008	0.19815484146263077	-0.07247829038569702	-0.09871047777541467	-0.2291516420028131	-0.09742335479163985	-0.20405274381920419	-0.12837358180280403	-0.10984578516794022	-0.11199381277902055	-0.2633930650645944	-0.18559410181833708	-0.28386848200385434	-0.2379371031585129	-0.019898187443246854	-0.13451281971883522	-0.02159600427381824	0.01059477219210257	-0.05333374732110778	-0.04240872646869457	-0.10035466448166211	-0.1923430295687879	0.0471225321329576	0.04199379866471453	0.0559051706505351	-0.029166319717862224	0.031808309000347375	-0.049168944771634665	0.00953346025811281	-0.007321923289280423	-0.05548318625124928	-0.10233474512446482	-0.18825443824861726	-0.08757234774476681	-0.054057753999481116	-0.11597514385054332	-0.07935141421352963	0.18538381527822473	0.03479607145281589	0.2650104367086799	-0.011546001239322116	-0.03059034065056923	0.027591287645611463	-0.015167445950249943	0.2188250204323303	0.1829916294695643	-0.03969052595690696	-0.04388637752572552	-0.11319766793818714	-0.03231638386236375	0.04795238774091768	-0.010919375576168587	0.1736331727750349	-0.0007691688883303451	-0.03229944803362987	0.0006054558772361799	-0.1895754328898598	-0.07648502520032059	-0.13214039237703099	-0.021054057754334107	-0.07977339861281546	-0.07937822927569162	-0.15270895637432721	0.08268071587879805	0.047153581152303045	0.04605557492272321	-0.0009413498137914499	0.015540034182395284	-0.046072510751457095	-0.11505072986548574	-0.10137787080100064	0.11545295579791538	-0.010438115776314188	0.08764150237876349	-0.043825690806095795	-0.03981048807710527	-0.050369977292678926	-0.10226841312859045	0.05173895678200083	0.015500517248682899	-0.015294464665754036	0.06350935775204684	0.19165995114318812	0.24295857637810808	0.1214708202746871	0.006359403689571624	-0.00823928067903221	0.08776852109426758
NO2	-0.07687521286337502	0.12868648771290028	-0.27276547546773894	0.1668884183095322	-0.20501802510493009	-0.2188044379746377	-0.10626860325454252	-0.07795757595770444	-0.06387438611051942	-0.10120094931980195	0.01077874030804564	-0.2677925906518567	-0.2110109249106297	-0.14227837449653025	-0.18270987331051355	-0.12668386659597278	-0.061567506243573045	-0.07442617931814113	-0.1058695753856653	0.048057918957898994	-0.19871338477667017	-0.12531719614506834	-0.03910223722578611	-0.24192311512771106	0.021253221866072404	-0.012422236342983648	-0.1601922318849365	-0.10004875634841899	-0.15469811691533342	-0.005651232192973489	-0.14083439239603085	-0.158473918124584	-0.08341178814041982	-0.005810843340524373	-0.12088549287635081	-0.1772706246728811	-0.13098339188312472	0.03667066114981561	-0.022363018126387146	0.21173166899878915	0.14302655175067502	0.08770881950339127	0.05370166937833104	0.02184178797266629	-0.10808418005793381	-0.02741570851604482	0.16157137195674334	-0.0054816453487006745	-0.08504032063027493	0.19269305180498525	0.07350093344718212	0.033700397450860876	0.13812599073602677	0.09342988157341828	0.04646430140657064	-0.1295419037068058	-0.14210130587971598	0.042785763240358855	0.06473229602860542	-0.053624357728736076	-0.003992772612952584	0.08136178246406314	0.019577304816788123	0.023305721466609555	-0.04621740291270286	0.01738514546214395	-0.05472916614068985	0.061652299665709454	0.12349164364495509	0.05100573733922939	-0.07396979119311282	0.00022694710042391327	0.01757967154822159	0.06839088280137334	-0.03813459464375888	0.11795014411592283	-0.007631407992276644	-0.07648865461540022	0.13666205724208352	0.13665457546954207	0.19432407821902087	0.1602470982169071	-0.10233568482192151	0.13784916515199322	-0.026233588454496085	-0.019071038208150162	-0.06032054415333176	-0.030323624110487488
Alkalinity.total	-0.0032260224935036787	0.07355331285188386	0.08510612547956307	-0.07126466293196428	-0.21308791594825807	-0.07892190122786547	-0.18782755114063493	-0.12907742074950757	-0.07747323452323551	-0.08175836628819134	-0.09978757124245152	-0.18068160697577962	-0.1120586303875523	-0.04412955297717296	-0.2808100409722617	-0.018041378624046988	-0.06445958152113954	-0.10210056850194472	0.03820097579099828	-0.07548892634798608	-0.08348702739791784	0.11880284344944302	0.0901338511015141	-0.18121724844639908	-0.039941810570511584	0.037543597622510735	-0.12678877082958798	0.08836866898242718	-0.09445550387583035	0.10040842840157864	-0.08609219273229439	-0.030994163277208928	-0.05372240476917635	0.003201675153930066	-0.08571480896890339	-0.09192338056017463	-0.13291212673235156	0.10694568907709365	-0.13130520232049311	0.2619895474818591	0.05721624799798977	0.22531028041421164	-0.027220325643298963	0.09981191858202514	0.021096969740535376	-0.03700795615189126	0.03194370952057982	-0.00670769205253029	-0.03861488056374969	0.23248057191864055	0.07089945283836009	0.10240491024661488	0.11092647909737932	0.0870660863152389	-0.1114742942377856	-0.1058987534754283	-0.2108357870376989	0.03403758072391051	-0.08645740282589859	-0.1099525855144348	0.057508416072873124	-0.032016751539300656	-0.1354929447271545	-0.03982007387264352	-0.03598536788979952	-0.00038955743317780267	0.03165154144569647	-0.03127415768230547	0.0714837889881268	0.009045036651597105	-0.041767861038532535	-0.09194772789974824	-0.08201401335371428	0.15060046893258117	-0.12966175689927426	-0.070339464028167	0.0709359738477205	-0.0676612566750696	0.06991338558562878	0.24769765915214847	0.1289435103818527	-0.004126874057727347	0.0682334191550495	0.15557949987538494	0.09555113415664292	0.09527113975154637	0.0297889699683151	-0.02679424720076074
HCO3	0.04092216688258262	0.12576475841934304	0.0457842065121964	-0.13176127396253334	-0.32624285914708445	0.01766541065426339	-0.27754142885711974	-0.23272963027084612	-0.10955795965396377	-0.11385276132678927	-0.4142457764430938	-0.08192536775899215	-0.1874316277216111	-0.10056318633917828	0.023661926197453713	-0.009886147246881347	-0.031927393567797134	-0.21619869553015927	-0.124225112536632	-0.16693002728340633	0.026173980006087498	-0.20347635849933657	0.18362303001174698	0.1024269681971969	-0.025849844030779914	-0.04529800254923502	-0.043434220691216406	0.1525870103760457	-0.041327336851717106	0.18597301583272696	0.22341072098075304	0.1526680443698726	-0.1153113732156734	-0.16036627378342774	-0.14464567898100986	0.018232648611051665	-0.16214902164761946	0.3850735386654111	0.4804505493996681	0.26741217962875774	0.12406304454897821	0.07293059444420666	0.3853976746407187	0.1243871805242858	0.05834447555536532	0.017827478641917183	-0.04537903654306192	0.05210485803069431	-0.01393784693822616	-0.01328957498761099	-0.16636278932661808	-0.10218386621571621	-0.1917264293944366	-0.06255824323436393	-0.12673716634526577	0.02090677040733924	-0.24950366699301366	0.19585916307960832	0.24115716562884335	0.037842875117160564	-0.09043393711081625	0.015234390839456501	0.01855678458635925	0.3122239782150314	0.05753413561709636	-0.17859892239447941	-0.2072039222153738	-0.06498926304917081	-0.056804829672654295	0.196102265061089	0.036060127252968845	-0.13143713798722578	0.031927393567797134	-0.20072120270922209	-0.010615453191323412	-0.10153559426510105	-0.19877638685737659	-0.16069040975873533	0.10558729395644585	-0.2895344599435004	-0.29261375170892245	0.15850249192540913	0.15015599056123882	0.182812690073478	0.33086179679521754	0.06498926304917081	0.14124225124028023	0.13694744956745472
Oxygen	0.21526997639832213	0.33211116493347215	-0.46224246859121687	-0.2903289805930308	-0.14385686458408484	-0.019520339699258968	-0.06102940418646356	0.00262813443680625	0.010582106011728694	0.0670096983313923	-0.1971461551939151	-0.18260638791264286	-0.36679480969214756	-0.25915209168581943	-0.03091922866830882	-0.04725488781473198	0.10958032300287548	0.17915116410895937	-0.026711636967029797	0.06604347243550764	-0.06905036742350068	-0.22911921423933546	0.23008801673760912	0.06648664804642007	0.21953682995454873	0.22335277809269585	0.23067032887752895	0.22071691384872252	0.27188308408999556	0.040153771630577054	0.049846949818091874	0.08746019149308955	0.03072083028435384	0.097516670617457	0.12460191493089552	0.04441804858441465	-0.13155101157409793	0.20002164346006782	0.2149272882805817	0.1706432230203964	-0.0981968936481598	0.03650272604532759	-0.002022632875385202	-0.08115009224236552	0.3026322570006287	0.339910540365053	-0.16956620322178362	-0.19802992981335094	-0.2944232017891927	-0.17460346089232895	-0.16654127201706742	-0.09324724045884135	-0.008791367351355809	0.009337607057829263	0.03169220938501654	0.04314263040184691	-0.22431642738619148	-0.161091757964278	-0.028121038473826875	-0.25658579570634976	-0.1690818019726468	-0.02124151009512816	-0.11050532326053572	0.1448514331062488	-0.007801952033969926	0.015204530697640863	-0.05606944458758902	0.15206076659074277	0.1433801931421151	0.07091325095076628	-0.0233878198851866	0.0008580085955455698	0.07973296092840138	0.12128840425860843	0.07201346017088027	0.1295361085058798	0.0824590062559906	0.09897760417203459	0.08229668030548198	-0.06732662042524246	0.14657775670689602	0.39188834035886916	0.22746761210796995	0.34866583528296247	0.23873251775279047	0.13293722365939378	0.03565760046172715	0.1612231646861183
Latitude	0.24048249931776666	0.21519057019542423	-0.23720410905489808	-0.4255568425243508	-0.4122370059455557	-0.2635552282444946	-0.3066239359572945	-0.16550134513664766	-0.19867230409187925	-0.2502829045680599	-0.41796636665945536	-0.2893443045647058	-0.25477113556420344	-0.2285382192048694	-0.1783831359327053	-0.28236106676900197	0.0384993571272605	-0.00027812430649998553	-0.1668212767412455	-0.08760452114238712	-0.31877912700262095	-0.2026251457980103	0.04158306037557909	0.15272848636063582	-0.11390349202451491	-0.025965221714327816	-0.0037709020556289706	0.03774610379715637	-0.03649917982301477	-0.11154059427054212	-0.1227652277403707	-0.1245394290455852	-0.23702448710695018	-0.1584868183564626	-0.1859967888231424	-0.11804754419136469	-0.0551335083585138	0.21356238415112225	0.0012353354613707692	0.06903972368351308	0.08849683662574123	0.1285084946695954	-0.08913884023324536	-0.23497679690034404	0.09497481526463673	0.1924284134109546	-0.05431188280306176	-0.34165485121224476	-0.3064489494144549	-0.2897000719067704	-0.2307863906824109	0.005885805636305944	-0.053951480055888866	-0.1344603548286951	0.008074875698716247	-0.062409935527319674	-0.18417275691301335	-0.21863467619091573	-0.09403382802764511	-0.12651063506790383	-0.22941315191906725	-0.26738407286397775	-0.14662249898168406	-0.014352373066676338	-0.05430261199284509	0.04669707106134757	0.049363587849916186	-0.03803465776515011	0.036620859207108516	-0.16713416658605798	0.07230652543361082	-0.09734118957244077	-0.1466051162125278	0.06338916485645504	-0.02898866469623808	0.0009027451448478697	0.046450235739328834	-0.13734357680607828	-0.19645426274754188	-0.03288704039234621	-0.15148619779160255	0.14331861399071963	0.17739579464463037	0.11427316558190448	-0.02213174168973635	0.0905364148734078	0.06044220605883228	0.11652133705944603
ChlorophyllA	0.1761505149456736	0.3766603763553955	-0.4547615879321864	-0.21861800944790513	-0.4215545848291832	-0.23418208947100277	-0.27607119618726755	-0.23411922123339768	-0.2210887311857848	-0.20197678695384047	-0.31650385539901466	-0.3951017260528857	-0.4689844788863757	-0.32948405085654353	-0.27265535527739154	-0.2909206739095875	-0.088820246088457	-0.012747582978390052	-0.07954298982586737	0.013135270443621378	0.021429686591651596	-0.11847100255093289	0.13892832706762592	-0.10846028351628399	-0.07205957394294267	-0.05471422718770111	-0.12917327219923766	-0.025805315928965164	-0.013745092348390654	-0.05613085814173558	-0.04353625454151789	0.020088497522743224	-0.18632259579017554	-0.07778058356500496	-0.14390749148594825	-0.2564646884861633	-0.27748573153338185	0.26713552401566554	0.08859811164891905	0.23172813259648448	0.06593620760020788	0.102978173197121	0.04686198431082662	-0.009698473454543673	0.16323109211782966	0.13292021916050045	0.08088837011061607	-0.1613492362055176	-0.07881162266172827	-0.20258451325068957	-0.0677740557461964	-0.0675477300908181	-0.08738056344730066	-0.05170074299849761	0.02593733922793583	-0.08967106290404575	-0.20956707884069378	-0.12123510939763624	-0.0503008769078245	-0.24007284333459877	-0.17005648711382118	-0.05122084878477883	-0.02349805160885873	0.11188450685784068	-0.04108858449076011	0.025778073026002962	0.009981380523766532	0.22108244436202426	0.13479997946489233	0.10374935691174332	0.012959239378327153	-0.09525376240337685	0.0002451861266598119	0.06687923116428408	0.17410939283142868	0.15358500886129023	0.11991487640792955	0.06142855496392365	0.12913136004083428	-0.03465297256792009	0.06534524616672013	0.35772236758082526	0.08322916415744522	0.15912370059429778	0.11276885340015214	0.12292416938129272	0.06918230426855018	0.024451553212535775
Carbon.total	0.40014510251844604	0.45336443642134755	-0.32038411842142483	-0.19575222759911337	-0.55596393614668	-0.23386176481785306	-0.29810485168672535	-0.2959938130702986	-0.29679489932331016	-0.30176264174764617	-0.44810951213272443	-0.4529160296507939	-0.2963414542744357	-0.3497119365269621	-0.29539929622844097	-0.3063928195244867	-0.06823844157728853	0.0050130869292234264	-0.11702912883618267	-0.02778610493936402	-0.14964694268522033	-0.19699164406603695	0.0818317164868813	-0.07929746249150504	-0.18041067011219344	0.0070535896491585905	-0.14626625793194503	-0.1032897438552859	-0.07235975324372548	-0.0781739264259605	-0.1620864518593436	-0.045767720266397596	-0.2076425644362664	-0.22669733304563627	-0.2601918073224979	-0.12179534012768554	-0.23728275579769498	0.23657739683277912	0.10463496416694686	0.009693647489272234	0.07961487402571718	0.09278493355636043	0.019004385826161575	0.05609115254577328	-0.1388801419136118	0.012726691038410428	-0.057436372857434234	-0.1741883963859714	-0.29750529656654684	-0.2801030832464085	-0.11431853509957744	-0.039953547084162586	-0.14072415177903472	-0.18218918235944556	-0.09126841178179133	-0.1073304430685896	-0.22795186434752235	-0.16767894079546217	-0.029761110041128424	-0.07010764283431556	-0.08634097558402197	0.054685472894262385	-4.5344504887448084e-05	0.17459649692995843	0.1270502644163087	0.17703502363723897	0.22662175887082386	0.25689173502235585	0.22493393563334663	-0.0547610470690748	0.1501356556823406	0.04832212737505717	0.08921783250521452	0.149364799099254	0.08152438150931082	0.07608304092281705	0.09604973790825669	0.10125427941367157	0.052775965410668736	-0.10459465794038024	0.008363542012573758	0.3425071985281787	0.2261179310387411	0.05395996081606322	0.21459035024068762	0.12400714431052885	0.010666035205191954	0.1413841662390631
Temperature	-0.4367429808418818	-0.5300165483866481	0.17605953710871408	0.08892556007249769	0.6066559743384122	0.32901159314145856	0.464087219731981	0.41858842725431206	0.33374202131358033	0.3422224900454733	0.4039057900811659	0.33519058457059947	0.4167528078950174	0.417281243771178	0.2676017818486912	0.24323810671623458	0.20494504730428173	0.11718297323982181	0.2174189152231251	0.2838859505587978	0.24312222165567304	0.3177267059439765	0.11214197310539514	0.07359860196262939	0.17856728981926567	0.03888407322081666	0.2540154173484571	0.12072905609300472	0.09525983748279107	0.01210071802383524	0.18838738985124995	0.08474674478864883	0.13842934024317322	0.17084702708465635	0.24145115908237574	0.13819293471962768	0.1740848556767456	-0.3747421557402506	-0.19646457857238875	-0.09607335060793303	-0.3296929972975604	-0.23902220821300602	-0.17700747690410742	-0.14047818811390111	-0.03946581622483556	-0.15738350074861748	-0.02417130593192448	0.14372528751083524	0.17665286861878915	0.20552910800951185	0.17842359234416935	0.10393962851884986	-0.05114703032943805	0.10965276200453343	0.005683003369937561	-0.06820994664651812	0.06931780782548637	0.11880999949010573	-0.030535713457963853	0.009646272441141978	0.08483018203225313	0.0031659798545410718	0.011240850874468668	-0.0385688658560893	-0.12147767358423221	-0.09060589345063992	-0.2846762866718274	-0.12090288368384701	-0.20776800737956067	-0.018998196828457662	0.11843453189388636	0.002141555919177123	0.04837274197959496	-0.13410914518543926	-0.01991137110568254	-0.06074463104514419	0.013920113474651302	-0.059729477914625156	-0.09298385489336257	-0.04298872206590615	0.07056704877833969	-0.2083520680847908	-0.2337587087623012	-0.15763844788185286	-0.18879066986200407	-0.08301773968507076	-0.1401374860358502	-0.30065683652326275
FluxAttenuation	-0.1280871202535421	0.23552861915042778	0.1437739031995731	-0.2079146954520427	-0.0451481170326883	-0.05211641937441693	-0.0555195437738658	0.10189926773206893	0.07979516448993439	0.049231866312026945	-0.06239061398989589	0.11142801605052575	0.07143320167986003	0.0893239128083912	-0.40753224951114336	-0.14688533122192635	-0.07107668388563206	-0.0048940169934931325	-0.1608219359053836	-0.2629156678888496	0.16967005934395066	0.005898748959044703	0.004699552742096054	0.024081156464671506	-0.1565437223746479	-0.056913204242211524	-0.01024178390691278	0.07159525522269092	-0.0026252673938605546	-0.013158747677868952	-0.0033707136908826874	-0.016756336328714896	0.00515330266202257	0.06284436390982241	-0.007486873678787507	-0.11606274737548945	-0.060478382184491294	-0.2993128936086694	0.021229014110847693	-0.10011667876092904	-0.021942049699303648	-0.1616322036195381	-0.28712646718778584	-0.1668827384072592	0.09894989325254658	-0.07726712922177237	-0.06028391793309421	-0.18558371724994488	-0.09784792916129646	-0.18033318246222377	-0.22233746076399263	-0.15482595482064035	-0.1746937191717085	-0.031211512349231037	-0.11761846138666608	-0.10539962425721634	-0.0679652558632788	-0.17521229050876738	-0.052148830082983114	-0.12154015712317381	-0.10095935718364972	-0.2051597852239174	-0.2704349522762033	-0.08323069959794943	-0.05607052581949085	-0.17851818278251771	-0.11363194423302597	-0.29665521550624263	-0.17190639823501705	-0.4202372472690858	0.025669281184414312	-0.0048940169934931325	-0.03143838730919429	-0.03662410067978304	-0.1351526547209693	0.06602061334930802	-0.06994230908581577	-0.21173915906285187	-0.06728463098338902	-0.1241330138084682	-0.16487327447615605	-0.17605496893148806	-0.1297076556818511	0.08877293076276616	0.016043300740258944	0.0007778570055883124	-0.05013936615187997	0.11729435430100428
Lyapunov	0.08537468001001657	-0.1662784690902018	-0.024455128827852033	0.0611832341334652	0.09750409576984734	0.16894166689833856	0.14812243298786573	-0.022629856842737404	0.017619880768024697	0.02584092922746555	-0.0019248855444948829	-0.08445178968046423	-0.02141398545618432	-0.1310826547127025	-0.013160709080473385	0.08139306744537647	0.05512145606411983	0.11931946527412267	0.061294566935125486	0.06621078907159796	0.12083710714938652	-0.02334473062181922	0.1950550685088148	0.07439960961476873	0.0517199459923412	-0.007925137591870104	0.08254448299938939	-0.03884342853715853	0.13650866388835628	-0.03322112205331427	-0.0814106463087965	0.035031744985578865	0.10381490773764335	0.04423427998597221	0.05063591608143845	0.0642976227693831	0.06635141997895831	0.07792417173048767	0.1462180561173609	0.0050246251275627455	-0.13574691314015436	-0.01393124926038534	0.01717161975081356	0.06814446404780286	0.051013861644969405	0.1337634313842593	0.07461348578637927	0.045221626148064714	0.006243426324685837	-0.05331669275299525	-0.09094132009303069	-0.08404454601123319	0.060368746795003134	0.01719505823537362	0.170298169192252	0.056328538018962884	0.004728714259991995	-0.05143282455648047	-0.08277886784498999	-0.006161391628725629	-0.05394367221497684	0.08995983355207819	-0.048904398034564055	0.22183060730811271	0.07452559146927905	0.05878078946605911	-0.004324400401330969	0.2098886994247624	0.08821952607349379	0.23928055906307696	-0.06746474799556114	0.160052621628936	0.029596946378215076	0.0415886610412555	0.07765169934747698	0.07885292168118002	0.2075155528630564	0.08142529536164655	-0.010611773884566918	-0.12549257614512832	-0.023792991639030356	0.17048860687930248	0.09589269995634325	-0.12042400385901547	0.02652650490084729	-0.2959929022667108	-0.32631937147685774	0.003243300300998227
Longitude	0.20024498130205826	-0.004043234448499278	-0.08059699416986996	-0.08890943919683623	0.09380327097557296	0.1829711341569364	0.15537886926190406	0.0878931260379558	0.0923106696658375	0.13865315908844744	0.010343912492778606	0.04691727998909194	0.15656901021306735	0.0679156772968612	0.01734685481788068	0.0643012180693263	0.08726850483768606	0.16878446860275806	0.062202537190497925	0.21101187475605848	0.1454695262498326	0.09532600243597081	0.3154429769518054	0.13759976266721333	0.07760136188286204	0.11450963759230702	0.16997229185002424	0.1678075564101284	0.23668160426844242	0.09322732155714243	0.025729989813708647	0.10866670606770588	0.186645853685796	0.06973043944829423	0.1375522497373227	0.18431192586141149	0.11916938127743616	-0.008972990637641133	-0.04911678098744437	-0.09741888905505641	0.002637547034905233	-0.005800054002504697	-0.015153148079271012	0.0675089202629193	0.06368470883269643	0.17016929668127817	-0.1322412312571071	-0.18357373717018363	-0.049464436572010086	-0.06304734026099261	0.01765163288034996	-0.1089680075743295	0.10779640825434304	0.05668408421149146	0.16016956321721962	0.1564218360156012	0.0484272640780557	0.021259138996193538	0.039735874463912794	0.0884088151550616	0.07471582053096659	0.02256052973441787	0.020865129333685728	0.18544296536319863	0.08161330732875041	0.15044911307276218	0.14694010937254556	0.20181406684039818	0.21623597934013264	0.13385898857728623	0.1186525333083818	0.23918240677341845	0.1334823616940067	0.07074907031107178	0.024569979013207708	0.1727604896382413	0.1871545896912105	0.18548816058919215	-0.08650366255164148	0.17031299432289865	-0.10123846507748507	0.04167463377384094	0.31060245236270206	-0.04076029958643311	0.07268551191710282	-0.0008332145510091662	0.09146123118754859	0.054818332574322115
Iron.5m	0.0686000910740751	-0.15753613629865695	-0.02959821810279774	-0.19359893252030844	0.06723833429930759	0.14481211278361655	0.04634029330985425	0.022731487132161592	-0.03140384963904266	0.04052819950095293	-0.12554006733033243	0.013371872057248926	0.13439438372116114	0.04636115426470175	0.08276004364778522	0.061268624387114036	0.07984762256268671	0.14077551802062488	0.05621679648821058	0.1284038128541201	0.04914493279490733	0.04293648084390347	0.24207052005041582	0.12059022632179453	0.007286267951458139	0.032278850800701774	0.18045884885025398	0.08642230016545784	0.13392501223709236	-0.02129324018961991	0.0021996717944755126	-0.07600225321913047	0.03667471756384488	-0.08675259861720995	-0.011709949321064582	0.19331615068793118	0.15045500106986592	-0.0032218585820031217	-0.09592562404043106	-0.2143532647097012	-0.04756761282004896	-0.05622259119789044	-0.08498289428098017	-0.1142554496997697	0.011305478585410233	0.07112890237836675	-0.16037670298372517	-0.1463106247068288	-0.013002169579673747	-0.08428984700326872	-0.1350457090891776	-0.06604114727944815	0.0036077862466819127	-0.036893757589743656	0.12206208258047942	0.10335791867582172	-0.09261800375516599	-0.15409060192301116	-0.09854946858347245	0.10918044296214678	0.027383480063154587	-0.07285456692102958	-0.025974206669012217	0.15961180130598343	0.10455278781180921	0.12663294957595433	0.06525770253073085	-0.027626857869708782	0.0025867584010902758	0.0369760424671977	0.11502382820331936	0.1386708794648991	0.07388602524404496	0.019958139079379766	-0.04923764814978512	-0.05849064056658832	0.08407196591930591	-0.0308823257678551	-0.19404628410759375	-0.015564590200108605	-0.1561384523238743	-0.0649876690596493	0.24816539569169438	-0.12224983117410693	0.017590420704188266	-0.04268962621154136	-0.03866346192597343	0.03463266187266161
Salinity	-0.39993325020511655	-0.44871854300031055	0.12483834034051666	0.11333790693039016	0.41116019487231786	0.2778274795926408	0.19556994590485374	0.205058614663632	0.08378953418841056	0.13173350144392784	0.23278063885116188	0.267439542763905	0.26831795152296145	0.15181406473803022	0.30351919751913264	0.16796612447909665	0.10594212236535315	0.07049288233958032	0.04377210507530211	0.19846707241889205	0.10821115185114796	0.06642763441508175	-0.05463053524991772	-0.06023241907746221	0.11825375119941038	0.01994381892263977	0.20119964214693298	0.0048718079460068325	-0.020527879627869894	-0.04719998516671225	0.0006906749609467346	-0.11867325511864313	0.04802508679791036	-0.03273752960863297	0.047473473909637465	0.1054391812025161	0.09621241268060687	-0.20608999170262968	-0.11894210845914588	-0.16114049441202238	-0.10300095952830145	-0.14375309992537003	-0.11353491153334477	-0.05517519503455692	-0.08912720007787477	-0.1342180771423671	-0.0661750049830576	0.11561388951981866	0.09005891596478949	0.2283584649401338	0.022509514163472102	0.09912112770070133	0.18698749831966663	0.021276497119097394	0.03361593836768939	-0.05571058401435121	0.040942191896389486	-0.0370113706421423	-0.12996509541975887	0.07108853155086658	0.0504401314600127	0.002565695240832333	0.09484265126476955	0.14383885487018555	-0.06501383667623105	-0.055372199637511534	-0.24037806342157594	-0.15733946442560412	-0.16649206650875395	-0.004206627698383635	1.3906207267383919e-05	0.016244767789515648	-0.04187622548451544	-0.1283566107791648	-0.18451682882849474	-0.19231357570307467	-0.12215907774033402	-0.20516522891934863	-0.059618228256486085	0.007228910077828407	0.0205510566399822	-0.23572875479184727	-0.13914087451502102	-0.09996708864280053	-0.19966068854267582	-0.21525649999304688	-0.13131631522590634	-0.19983451613351813
Brunt.Väisälä	-0.30973636271426247	-0.221891088892	0.2232517245116713	0.41288329097390575	0.3238532626174591	0.2716642146884325	0.2186714879104438	0.07463465006789537	0.08364733430268409	0.042406883945231684	0.19669856618882176	0.10893634732359486	0.21286496929651433	0.19896181376804162	0.1960988605431677	0.1678027695189977	0.019619290806804624	-0.050315425810017834	0.19801401014069428	0.006985166165978687	0.1106805014213423	0.1276969964422227	-0.1774102738137325	-0.06056782741820547	0.0366211290705611	0.007384562797605724	-0.002028739465237034	0.03170989403761823	-0.000968567366606242	0.09500632107372829	0.14308292723306612	0.11567479141132077	0.11350314856412544	0.04119770148250762	0.11237579966200997	-0.06717680348467	0.1441455421245509	-0.11752154280893569	0.040832503950836416	-0.011832888584717873	0.013219173529356063	-0.11987273093089915	0.032788387082653934	0.009281391448727406	-0.1507862744981173	-0.05983987514771705	0.061635327895398224	0.2135648294491819	0.20380098641179187	0.16724214855900746	0.07541023679903656	0.16248358807943883	0.16426682686285007	-0.006331719077536897	0.002451342628976958	0.11992525097725988	0.196646046142461	0.057651132750543795	0.08724678957303542	0.1483630239869612	0.06421613854563654	0.00522146972539935	-0.04139068211797267	0.04035615934430876	0.08818115783968582	-0.1437363743215079	0.002315767625580624	-0.06139959838498838	-0.12036861788025871	0.07292958065581175	-0.1171966513593553	0.05928902535914275	0.09356507328987537	0.029446646458398347	-0.07274270700248166	-0.045879313987175624	0.05950765531957468	0.06270771395829895	0.014519960724104672	0.09642802651474931	0.03694968470942249	-0.12736599801050733	-0.11718443739508536	-0.11790017570130383	-0.06591876516486618	-0.0902428750084517	-0.0925220007412225	-0.1941214197278644
Depth.Max.O2	-0.21531830299512514	-0.17954594997507897	0.0803287570139485	0.22315981465372567	0.19167043298495817	0.26840300004951534	0.18180492849924534	0.10117497434874133	0.12281702722107092	0.11477038992636793	0.19180545239100028	0.16827053130704162	0.140492885040913	0.10909568008203964	0.16340334137192683	0.2607484383377424	0.07516166820579782	-0.04341912515070132	0.007985618909280106	-0.01558046049914982	0.042846590938541915	0.10919824290009086	-0.0397242671738177	-0.005421548457999304	0.15972795734783773	0.1359411731410697	0.06217903300943934	0.04890948157524133	0.08424561805268986	0.0796874148352484	0.03402748684965559	0.017079954864329224	0.13304994028284067	0.10155017250591608	0.11284506512674797	0.13405609451055847	-0.004759434062985022	-0.018562571803753366	0.019429811834870112	-0.09525748922624112	0.010196561683219956	-0.1320619617443978	-0.006737987666910055	0.04420846937063992	0.022576802606467408	0.011989463603837062	-0.13313173088457775	0.025336910849213225	0.06756423008888884	0.20020262083600496	0.03527641635554528	-0.020489194866892966	0.11911697619010875	0.049436576564213484	-0.04111081261278878	-0.020150348088268006	0.1345935756076877	-0.0152429119840445	-0.012149150016752272	-0.0020486598339853695	0.06494693083330297	0.0822553800770881	-0.04607926710243518	0.13231771965776606	-0.16352278161573333	-0.10788699674525866	-0.15603569589799338	-0.036787595092401405	-0.11177140119600912	0.08358350365767557	-0.10232393756361906	0.09058633708259134	-0.03907903020455868	-0.10149434717457174	-0.08258643727459525	-0.09622988860244838	-0.06683071120029459	0.042766098600324494	0.13700445096365146	-0.09451358422948979	0.04623895351535039	-0.054073973856352736	-0.07200688785308271	-0.04023188820999531	-0.03702777384353404	-0.15629145381136164	0.001785112339499292	0.015910219433137324
