	FabR	PaaR	RbsR	HrcA	NnrR	NtrC	LiuR	FadP	FruR	LtbR	GntR	FadR	PurR	FixJ	MetJ	NorR	RutR	PhnR	DasR	VanR	AcnR	BioQ	CueR	GlcC	MerR	NmlR	PdxR	HcpR	PhsR	AmtR	CsoR	NagQ	PdhR	QorR	FnrN_FixK	ZntR	CadR-PbrR	NifA	SoxR	SiaR	CblR	Irr	GguR	PrpR	NrdR	TtrR	ExuR_UxuR	NarP	LexA	LldR	NagR	LiuQ	AgaR	GulR	CcpA	NsrR	RbkR	MetR	KdgR	FUR	ThiR	MntR	NagC	IscR	SahR_SamR	NrtR	Phr	Zur	ArgR	BirA	XylR	TrpR	HutC	PhnF	HisR	HypR	HexR	PhrR	PsrA	ModE	TyrR	Rex	NadQ	NiaR	AraR	CzrA	NikR	SdaR
HCO3	0.7714285714285715	-0.02857142857142857	0.2	-0.37142857142857144	-0.2	-0.3142857142857143	-0.2	-0.2571428571428571	-0.37142857142857144	0.4857142857142857	0.42857142857142855	0.2	0.42857142857142855	-0.6571428571428571	-0.42857142857142855	-0.37142857142857144	-0.4857142857142857	-0.7714285714285715	-0.8285714285714286	-0.7142857142857143	-0.7714285714285715	-0.6	-0.9428571428571428	-0.7714285714285715	-0.6571428571428571	-0.8285714285714286	-0.6	0.7714285714285715	0.9428571428571428	0.3142857142857143	0.08571428571428572	0.2571428571428571	-0.14285714285714285	-0.3142857142857143	0.08571428571428572	0.02857142857142857	-0.2	-0.2571428571428571	-0.14285714285714285	-0.08571428571428572	-0.02857142857142857	0.08571428571428572	-0.2571428571428571	-0.14285714285714285	-0.3142857142857143	-0.37142857142857144	-0.6	-0.2571428571428571	-0.08571428571428572	-0.2571428571428571	-0.2571428571428571	-0.02857142857142857	0.42857142857142855	0.6571428571428571	0.5428571428571428	-0.02857142857142857	0.08571428571428572	0.3142857142857143	0.08571428571428572	0.08571428571428572	0.08571428571428572	0.2571428571428571	0.2571428571428571	0.3142857142857143	0.2571428571428571	0.4857142857142857	0.2571428571428571	0.2	0.6571428571428571	0.2	0.3142857142857143	0.6	0.3142857142857143	0.3142857142857143	0.2571428571428571	0.6	0.6571428571428571	0.5428571428571428	0.4857142857142857	0.6	0.7714285714285715	0.6	0.02857142857142857	-0.02857142857142857	0.2571428571428571	0.2571428571428571	0.7142857142857143	0.4857142857142857
Temperature	-0.48323638286620835	-0.195134849286092	-0.16255949233209943	-0.365520888418826	-0.3569539925965098	-0.36388154415653096	-0.2692755156002115	-0.2738762559492332	-0.2573241671073506	-0.25293495505023794	-0.4175568482284506	-0.2583818085668958	-0.313590692755156	0.10497091485986251	0.04500264410364886	0.048757271285034376	0.2756213643574828	0.2857218402961396	0.1451084082496034	0.14225277630883132	-0.047646747752511896	-0.10861977789529349	-0.0641988365943945	-0.12046536224219989	-0.11374933897408779	-0.22443151771549444	-0.18598625066102592	0.19846641988365943	-0.05219460602855632	-0.08339502908514014	0.07324167107350608	-0.26113167636171336	-0.19709148598625065	-0.23252247488101532	0.005446853516657853	-0.17329455314648334	-0.2145425700687467	-0.03976731887890005	0.08180856689582232	0.18281332628239028	0.21649920676890533	0.13664727657324166	0.023691168693812797	0.24785827604442093	0.13024854574299313	0.1796932839767319	0.4204124801692226	0.08725542041248018	0.22485457429931252	0.20317292437863566	0.34098360655737703	0.43527234267583287	0.3663141195134849	0.36483342147012165	0.25309360126916974	0.15245901639344261	0.2072448439978847	0.39820200951877316	0.4185616076150185	0.34182971972501325	0.2837123215230037	0.3057112638815442	0.3298783712321523	0.26382866208355366	0.28683236382866206	0.22205182443151772	0.13469063987308302	0.2125330512956108	0.1118455843469064	0.14246430460074036	0.18122686409307245	-0.30772078265468006	-0.1110523532522475	-0.14056054997355896	0.04505552617662612	-0.10190375462718139	-0.09079851930195663	-0.047435219460602855	-0.10460074034902168	-0.0553146483342147	0.03320994182971972	-0.06303543098889476	-0.004918032786885246	0.013273400317292438	0.10497091485986251	-0.05906927551560021	-0.19365415124272872	-0.4059227921734532
Depth.Max.O2	-0.06052151694427255	-0.08870494875899783	0.023284661488293383	-0.056242844127515575	-0.022974612733455923	-0.18627729190634706	-0.04148452339725239	-0.19883426647726427	-0.2957245023639711	-0.05720399526751171	-0.2222739523429764	-0.3416427229553992	-0.04728243511271293	-0.2567203690054184	-0.2657117828957048	-0.29429827809171877	-0.29166286367560035	-0.418255770275736	-0.36771782323722974	-0.16606211309094457	-0.2652467097634486	-0.20928290951528675	-0.34784369805214843	-0.06960594546101018	-0.18652533091021703	-0.06061453157072379	-0.47090204884713704	-0.038042982218556565	-0.003720585058049542	0.21390263596236492	-0.15142781186261636	-0.050630961664957515	0.19796612996371937	-0.0926425679454336	-0.21402665546429991	-0.0714972428655187	-0.05952936092879267	-0.04966981052496139	0.10746289842666427	0.025455002772155618	-0.11357085889696227	-0.14733516829876186	0.0174557448973491	-0.06238180947329732	-0.015967510874129284	-0.07763620821130045	-0.09369673371188096	0.33919333779218325	0.3697021352681895	0.16714728373287568	-0.08507737832739953	-0.022602554227650968	0.251635569426084	0.099432635676374	0.11419095640663719	0.2978328338968658	0.18661834553666828	0.1973150275785607	0.17989028755669537	0.19458659853599106	0.24366731642676126	0.19067998422503904	0.22689367879005456	0.27656348931501595	0.24748091611126202	0.26335541235894006	0.27240883600019394	0.20863180713012808	0.2590457346666994	0.16944164451867288	0.24822503312287195	0.2648436463821599	0.2056243342082047	0.3868478314107011	0.13155368667753506	0.04498807432691571	0.11409794178018595	0.04839861063012779	0.1234614141762773	0.13784767640073553	0.20360901730176117	0.29017462965238056	0.2265216202842496	0.05459958572687703	0.10861007881956287	0.22825789331133942	0.09450286047445837	0.24112491663709407
FluxAttenuation	-0.09051130378413419	-0.1683007859978932	-0.2924398346973503	-0.1238959565675391	-0.2632687788671907	-0.15339113524025605	-0.12422007941009643	-0.24058017988817762	-0.31642492504659264	-0.38627339761769713	-0.08500121546065958	-0.1509602139210761	-0.3115630824082327	-0.041244631715420144	0.013532128676768495	-0.24090430273073496	-0.06150230937525322	-0.19844421035572482	-0.17689004132566244	-0.022931691110931043	-0.41220322502228346	-0.09747994489911677	-0.12178915809091646	-0.2676444372417146	-0.28595737784620373	0.03362774491532291	0.02601085811522567	-0.2274532047646058	-0.13199902763147234	-0.10072117332469006	0.12924398346973504	-0.052750992626205334	0.01401831294060449	0.22777732760716313	-0.09083542662669152	-0.09067336520541285	-0.15193258244874808	-0.1747832428490398	0.09537314642249413	0.03897577181751884	0.15857710072117331	-0.07057774896685844	-0.3857872133538611	0.04432379871971477	0.008994408880965886	-0.15193258244874808	0.1354023174783243	0.06928125759662912	-0.05064419414958269	0.08208410987764363	0.2347459687221457	0.3350619884936391	-0.05307511546876266	0.09796612916295276	0.2880641763228263	0.2475488210031602	0.3007049671825622	0.2994084758123329	0.3139940037274127	0.29276395753990764	0.28482294789725304	0.33473786565108177	0.2974637387569889	0.29584312454420225	0.21140912405801798	0.3099424681954461	0.27153391135240257	0.2880641763228263	0.2775301839397131	0.30961834535288874	0.22534640628798314	0.24236285552224293	0.29957053723361154	0.09585933068633012	0.24965561947978285	0.03443805202171623	0.08532533830321692	0.14820516975933878	0.19455473624503686	0.11125516570780326	0.17899683980228506	0.2535450935904708	0.14058828295924156	0.22696702050076978	0.3079977311401021	0.22388785349647516	0.18094157685762904	-0.04367555303460011
Oxygen	0.5396966993755575	0.19007044203143744	0.1081854255744563	0.3574702390107355	0.33169276200436804	0.30363899227906116	0.2326432680180873	0.2397797532990864	0.2015749484758067	0.12467316743055769	0.38170968039619796	0.18170352825371436	0.23750346058014704	-0.06635085668584084	0.0466640007382571	-0.08394598418899382	-0.2712172013903842	-0.315943277246301	-0.16152450090744103	-0.08043926297333047	0.07336429911716755	0.09901873327386262	-0.028084530437724936	0.09803439047648344	0.07114952782306438	0.2404564889722846	0.22944415392660494	-0.29115014303731274	0.05275462179704082	0.10695499707773232	-0.04125011535267157	0.24445538158663754	0.11353778953520563	0.25331446676305025	0.02488541634624258	0.1246116460057215	0.11335322526069704	-0.02223999507828601	-0.1320557384109016	-0.2472853671291027	-0.22821372542988094	-0.11993601771817035	-0.11249192531299025	-0.3013626995601218	-0.09914177612353502	-0.24568581008336154	-0.40717955027838443	-0.04487987941800732	-0.21344858346919315	-0.1552493155741487	-0.2175089975083823	-0.4265587991017872	-0.38183272324587036	-0.3698360454028115	-0.16699990771786274	-0.09471223353532868	-0.12147405333907534	-0.37924882340275	-0.39106093697130023	-0.32277215540311915	-0.2477775385277923	-0.28419822203082223	-0.28875080746870097	-0.25737488080223936	-0.2734319726844874	-0.1790581069857578	-0.07890122735242548	-0.17284444307730168	-0.08271555569226983	-0.06893475652896121	-0.1623858008551478	0.3334153618997816	0.12055123196653235	0.16447752929957857	0.025254544895259773	0.14263742348272787	0.1304561813651604	0.059152849980005535	0.10572456858100833	0.10677043280322372	0.05250853609769602	0.12307361038481651	0.05976806422836753	0.03152973022855209	-0.07853209880340829	0.14848195884216678	0.2018210341751515	0.37352733089298346
Density	0.21522645179216449	0.23212003334259518	0.1478188385662684	0.268463462072798	0.28885801611558765	0.24429008057793833	0.23173103639899972	0.2314531814392887	0.18266185051403167	0.3280911364267852	0.2733537093637121	0.27385384829119197	0.2565156988052237	-0.03434287302028341	-0.03373159210891914	-0.09524868018894138	-0.13103639899972214	-0.25896082245068075	-0.15721033620450126	-0.10825229230341761	-0.09196999166435121	0.0648513475965546	0.19238677410391775	0.12308974715198666	0.16226729647124202	0.15487635454292858	0.014003889969435954	-0.06001667129758266	0.1520978049458183	0.15332036676854682	-0.0014448457904973604	0.2796332314531814	0.21417060294526258	0.12442345095859961	-0.061405946096137816	0.138816337871631	0.3283689913864962	0.13359266462906363	-0.09402611836621284	-0.08780216726868574	-0.1828841344818005	-0.17126979716587942	0.11180883578771882	-0.09424840233398166	-0.02728535704362323	0.06273964990275076	-0.1928313420394554	-0.015115309808280077	-0.12825784940261184	-0.21667129758266185	-0.3592108919144207	-0.506474020561267	-0.26718532925812727	-0.2315643234231731	-0.24918032786885247	-0.14359544317866074	-0.17543762156154488	-0.3125312586829675	-0.33181439288691306	-0.29080300083356486	-0.27374270630730757	-0.23289802722978606	-0.27902195054181717	-0.18071686579605445	-0.21783828841344818	-0.1731036398999722	-0.15565434843011947	-0.20872464573492636	-0.12097804945818283	-0.1865518199499861	-0.2171714365101417	0.32470130591831065	0.2405668241178105	0.16876910252848012	-0.0963601000277855	-0.086524034454015	-0.026007224228952488	0.00955821061405946	-0.03350930814115032	0.008946929702695193	-0.027952208946929704	-0.04106696304529036	-0.14854126146151708	-0.043178660739094196	-0.07290914142817449	-0.04845790497360378	0.11369824951375382	0.2395109752709086
Lyapunov	0.15989795918367347	0.06642857142857143	0.3103061224489796	0.11897959183673469	0.3245918367346939	0.27622448979591835	0.30173469387755103	0.17581632653061224	0.2742857142857143	0.09428571428571429	0.14418367346938776	0.18877551020408162	0.31112244897959185	0.10795918367346939	-0.01683673469387755	0.09581632653061224	0.05183673469387755	-0.02336734693877551	0.1329591836734694	0.04683673469387755	0.18785714285714286	0.03642857142857143	0.2057142857142857	0.07530612244897959	0.16673469387755102	0.13173469387755102	-0.16877551020408163	0.015816326530612244	-0.04071428571428572	0.19489795918367347	-0.10224489795918368	0.002653061224489796	-0.10591836734693877	0.08571428571428572	0.17051020408163264	0.19357142857142856	0.2838775510204082	0.31326530612244896	-0.17561224489795918	-0.158265306122449	-0.19448979591836735	-0.33285714285714285	-0.0823469387755102	-0.2073469387755102	0.024081632653061225	-0.03561224489795918	-0.2589795918367347	0.020918367346938777	0.0024489795918367346	-0.016428571428571428	-0.11448979591836735	-0.2273469387755102	-0.2136734693877551	-0.34785714285714286	-0.16989795918367348	-0.158265306122449	-0.1973469387755102	-0.34255102040816326	-0.3137755102040816	-0.3140816326530612	-0.223265306122449	-0.24867346938775511	-0.261530612244898	-0.2573469387755102	-0.20214285714285715	-0.23051020408163264	-0.16693877551020408	-0.24989795918367347	-0.18928571428571428	-0.23234693877551021	-0.08571428571428572	-0.037244897959183676	-0.1879591836734694	0.13887755102040816	-0.0770408163265306	-0.05714285714285714	-0.14142857142857143	-0.12040816326530612	-0.17387755102040817	-0.08020408163265307	-0.16877551020408163	-0.07979591836734694	-0.053877551020408164	-0.11112244897959184	-0.2590816326530612	-0.09969387755102041	-0.04010204081632653	0.11061224489795918
Gradient.Surface.temp(SST)	0.3323701028063351	0.28691303139761043	0.2980272297860517	0.24834676298971936	0.21005834954153932	0.20505696026674075	0.3159766601833843	0.2650736315643234	0.14898582939705474	0.14387329813837177	0.36248958043901086	0.21994998610725203	0.16860238955265353	-0.06440677966101695	0.09774937482634065	0.09330369547096416	0.1693803834398444	-0.2008891358710753	0.03189774937482634	-0.01144762434009447	0.048346762989719363	0.20844679077521533	0.22295081967213115	-0.06996387885523757	0.006057238121700472	0.10641844956932481	0.17327035287579884	-0.017393720477910532	0.05018060572381217	0.04856904695748819	0.22411781050291749	-0.17593776048902474	0.22461794943039734	0.176549041400389	-0.03734370658516255	-0.04651292025562656	0.20672409002500694	0.05479299805501528	-0.016282300639066407	-0.07607668796888024	0.006168380105584885	-0.012670186162823007	-0.15198666296193386	-0.10919699916643512	-0.09019171992220061	-0.2795776604612392	-0.2639066407335371	-0.0035565434843011948	-0.1938871908863573	-0.16382328424562378	-0.09085857182550708	-0.191108641289247	-0.20255626562934148	-0.22106140594609613	-0.12681300361211448	-0.2587385384829119	-0.18499583217560434	-0.25245901639344265	-0.30313976104473467	-0.3200889135871075	-0.24556821339260906	-0.19533203667685467	-0.3207001944984718	-0.18949708252292302	-0.23856626840789108	-0.2522367324256738	-0.22328424562378438	-0.25923867741039175	-0.1648791330925257	-0.18771881078077243	-0.13481522645179217	0.09563767713253682	-0.04462350652959155	-0.11664351208669074	-0.06807446512920255	0.11958877465962768	-0.05773826062795221	-0.10764101139205334	0.06612948041122534	-0.0585718255070853	0.09069185884968047	0.06596276743539872	-0.11236454570714087	-0.14092803556543484	-0.10875243123089748	-0.10414003889969436	0.2797999444290081	0.001333703806612948
NO3	0.18189179637647443	0.3854446080142541	0.25902120585831834	0.23887848605925413	0.14606002346758631	0.10658434144931975	0.4555898583697893	0.3225871758774758	0.3310896304660255	0.09666481109601173	0.2012247585956768	0.43322030522610494	0.24100409970639156	-0.10243433385252762	0.08067209889373964	0.1827015539563363	0.15496735684606697	0.12672706124838398	0.25183460733704416	0.30841641822989296	0.36489700942525893	0.4130775854270407	0.22521382689908492	0.19515157674671268	0.26377853164000686	0.1585100462579627	0.4837289342699896	-0.1311807279376243	0.08016600040632596	0.09615871260859805	-0.18654790246068023	-0.12338681123145372	0.1172124096850069	-0.22035528141991367	-0.055772053312986875	-0.15800394777054902	-0.04342325022009323	0.042006174455334944	0.33665671382757595	0.0	-0.10496482628959598	0.07540867462463742	-0.2550736376564917	-0.03269396228692334	-0.16944177358609805	-0.07389037916239641	-0.07834404585163673	-0.2834151529516574	-0.2859456453887258	-0.028341515295165744	-0.21731869049543162	0.0849233261880145	-0.10870995509645717	-0.19818816767119474	-0.30376031214568716	-0.36307505487056974	-0.2865529635736222	-0.22065894051236187	-0.21691381170550067	-0.1988967055535739	-0.22521382689908492	-0.22268333446201657	-0.19940280404098756	-0.2676248801443508	-0.3104408121795476	-0.27319196350590125	-0.31216154703675414	-0.2708639104637983	-0.2158003950331906	-0.15668809170327347	-0.1445417280053453	-0.3919226686531491	-0.3913153504682527	-0.5371729345408736	-0.07895136403653315	-0.010425628840721684	0.056885469985296956	0.054253757850745855	0.0037451288068611876	-0.29090541056537983	-0.21225770562129487	0.01690368947961671	-0.04271471233771409	-0.3178298500957873	-0.2740017210857631	-0.1439344098204489	-0.11498557634038674	-0.06994281096056974
NO2	0.269127387141396	0.24700979921839347	0.17726543142856663	0.06195089472071014	0.17777056394230567	0.17683246070250458	0.3705146988275902	0.32480020633420653	0.30585773706899233	0.27767855898112126	0.15969403612921554	0.36733958016980195	0.24221104033787255	0.040843571825185714	-0.02572567730685284	0.03532319506789471	0.006133751952545558	-0.036838592609111855	0.10156771615538675	0.06974436778982684	0.3202540137105551	0.11120131481026711	0.23524742782704142	0.1285923056404257	0.24773141709516355	0.3653190501148457	0.2517363963112374	-0.13382403524700867	0.0285760679200946	-0.17639948997644256	-0.2590968986542921	-0.050332846904712084	0.029730656522926707	-0.033446988588292544	0.0945680227507171	0.18758456706637858	0.032220238197783434	0.10405729783024346	0.057729430141605254	0.005123486925067466	0.04120438076357075	0.044884631935098084	-0.033374826800615535	-0.07804297337268261	-0.11614439726614206	-0.10163987794306376	-0.3170067332650898	-0.31902726332004605	-0.2484169540780951	-0.2449531882695988	-0.10759322542641679	-0.16575562629408408	-0.2187945402366839	-0.06671357270739257	-0.433944910195679	-0.3035846407571666	-0.3699374045261742	-0.3033320745002971	-0.30892461304526514	-0.26541105507603013	-0.2798434126114315	-0.2470819610060705	-0.2734210135081779	-0.26855009283997994	-0.2641482237916825	-0.2820804280294187	-0.2559217799965038	-0.25141166826669087	-0.18191986673373356	-0.24415940860515173	-0.1997077473961157	-0.15572513780698016	-0.28406487719053636	-0.19148130360093693	-0.0966607145933503	0.044668146572067066	0.1836156687441432	0.052136891596637244	0.10261406207670334	-0.17553354852431846	-0.27407046959727094	-0.07053814745427392	-0.21507820817131806	-0.14432357535401313	-0.16110119098891715	-0.08042431236602382	0.22157276906224865	0.004907001562036446
