	AmtR	BirA	XylR	PhrR	ModE	PhnF	Rex	HutC	HypR	AraR	KdgR	NagC	Zur	MntR	Phr	ArgR	NrtR	ThiR	Irr	NsrR	NadQ	FUR	SahR_SamR	CzrA	RbkR	AgaR	SiaR	GulR	MetR	LtbR	IscR	VanR	LldR	NagR	FruR	PaaR	BioQ	HcpR	FadP	NifA	CueR	MerR	NtrC	AcnR	NnrR	RbsR	LexA	LiuR	PurR	FabR	SdaR	QorR	GntR	HrcA	CadR-PbrR	ZntR	CblR	ExuR_UxuR	NiaR	PrpR	PhsR	LiuQ	SoxR	CsoR	PhnR	TtrR	NmlR	FixJ	GlcC	DasR	FadR	PdxR	RutR	FnrN_FixK	PdhR	MetJ	NorR	NrdR	TrpR	NagQ	NarP	HexR	HisR	PsrA	CcpA	TyrR	GguR	NikR
Fluorescence	-0.14165103189493433	-0.28367729831144467	-0.22270168855534708	-0.14709193245778612	-0.051594746716697934	-0.13170731707317074	-0.149718574108818	0.13339587242026266	-0.051407129455909945	-0.2851782363977486	-0.4857410881801126	-0.4131332082551595	-0.274296435272045	-0.30375234521575983	-0.2570356472795497	-0.32082551594746717	-0.3772983114446529	-0.3476547842401501	-0.46153846153846156	-0.4476547842401501	-0.3720450281425891	-0.44390243902439025	-0.39606003752345215	-0.40675422138836775	-0.35384615384615387	-0.3420262664165103	-0.47692307692307695	-0.2930581613508443	-0.36641651031894934	-0.19455909943714822	-0.19455909943714822	0.002626641651031895	-0.2613508442776735	0.007129455909943715	0.3600375234521576	0.11951219512195121	0.27204502814258913	0.25028142589118196	0.06322701688555347	0.042589118198874294	0.38123827392120074	0.15328330206378987	0.2679174484052533	0.2300187617260788	0.14108818011257035	0.09136960600375235	0.11688555347091932	0.31294559099437147	0.3198874296435272	-0.011632270168855536	0.02101313320825516	0.398686679174484	0.19868667917448404	0.35065666041275795	0.24521575984990618	0.15572232645403378	0.35347091932457786	0.05891181988742964	0.026829268292682926	0.3403377110694184	0.021388367729831145	0.24765478424015008	0.01857410881801126	0.4195121951219512	0.4352720450281426	0.43208255159474673	-0.13921200750469043	0.14108818011257035	-0.09924953095684803	0.26172607879924953	0.2806754221388368	0.2928705440900563	0.00825515947467167	0.2	0.10131332082551595	-0.2923076923076923	0.14915572232645402	-0.15628517823639776	0.03714821763602252	0.10356472795497186	0.08161350844277673	0.020637898686679174	-0.10206378986866792	-0.026078799249530958	0.05103189493433396	0.07861163227016886	0.006191369606003753	-0.012945590994371483
Longitude	-0.3634227372174054	-0.3721740539664533	-0.2827161494206304	-0.2851470707398104	-0.31431812656997	-0.15987359209140264	-0.10299003322259136	-0.286767684952597	-0.23134267887529375	-0.2588931204926667	-0.18580341949598897	-0.316262863625314	-0.3483510250384896	-0.4107446722307755	-0.3455959808767523	-0.35531966615347216	-0.38805607325176245	-0.34527185803419497	-0.3029738270804635	-0.35175431488534153	-0.43472976258001783	-0.35045782351511223	-0.38076330929422253	-0.23280123166680172	-0.31464224941252733	-0.013856251519325824	-0.3446236123490803	-0.24398346973502957	-0.31383194230613404	0.1444777570699295	-0.35677821894498013	-0.25613807633092944	-0.09423871647354347	-0.06814682764767847	0.3115630824082327	0.20460254436431408	0.40734138238392353	0.2428490397860789	0.29033303622072765	0.36326067579612675	0.2799611052588931	0.4023174783242849	0.1614942063041893	0.4138238392350701	0.22080868649218052	0.17996920832995705	0.2713718499311239	0.30945628393161007	0.38076330929422253	0.289684790535613	0.0973178834778381	0.27023741998217327	0.16376306620209058	-0.09067336520541285	-0.06766064338384248	-0.20200956162385544	-0.05226480836236934	-0.08159792561380763	0.045458228668665425	-0.022283445425816385	-0.132647273316587	-0.16489749615104124	-0.02601085811522567	-0.0036463819787699537	-0.0033222591362126247	0.0158009885746698	0.20087513167490478	0.010615023093752533	0.3190179077870513	0.05826108094967993	0.059881695162466574	-0.1916376306620209	-0.062474677902925206	-0.0474029657240094	0.05955757231990925	-0.049347702779353374	-0.43343327120978853	-0.024876428166275017	-0.2292358803986711	-0.3015152742889555	-0.10136941900980471	-0.23361153877319504	-0.20492666720687142	0.07835669718823435	-0.07738432866056236	-0.05826108094967993	0.1958512276152662	0.00737379466817924
Gradient.Surface.temp(SST)	0.12593950715737726	-0.20733272575690492	-0.19633364216237414	-0.3281393272368345	-0.20953254247581107	-0.12208982789929149	-0.13033914059518956	0.06104491394964574	-0.028230981225962296	-0.22694775816715143	-0.2362969792225026	-0.34665445128762795	-0.402566459559826	-0.20348304649881915	-0.36773602817714524	-0.28707608181725297	-0.2832264025591672	-0.33547204963318833	-0.21539872039289415	-0.3732355699744106	-0.378735111771676	-0.33418882321382637	-0.3149404269233976	-0.22548121368788068	-0.20916590635599336	-0.15307058002388646	-0.19450046156328568	-0.34555454292817483	-0.30467461556850217	0.02896425346559768	-0.2672777313470976	-0.3063244781076818	-0.10320806772868034	-0.39486710104365447	0.2267644401072426	0.08084326441980112	0.28945921659606794	0.19486709768310337	0.28065994972044334	0.1734188846737684	0.3750687505734991	0.2722273189646364	0.1802016528903957	0.2634280520890118	0.20201650201954838	0.28560953733798217	0.19633364216237414	0.19871677694118914	0.06819431828609074	0.11952337506056764	0.11842346670111456	-0.009715857175168843	0.0747937684428092	0.30724106840722604	0.009532539115259996	0.007516040456262689	-0.023098075548514604	0.0911090757746965	-0.12428964461819764	-0.11549037774257302	-0.14702108404689454	0.025297892267420758	0.16773602481659416	0.10137488712959188	-0.09972502459041227	0.08689276039679304	0.11769019446147919	0.2403299765404972	0.22731439428696915	0.2544454671534784	0.1420714964293557	0.2955087125730599	0.31219065602476487	0.055728690212289204	0.13345554761363995	-0.2971585751122395	-0.22328139696897453	-0.13180568507446033	-0.024014665848058836	-0.15655362316215454	-0.22786434846669568	-0.28267644837944067	-0.3226397854395691	-0.2148487662131676	-0.12208982789929149	-0.008432630755806919	0.14152154224962918	0.14188817836944687
CO3	0.010526315789473684	0.6556390977443609	0.5669172932330827	0.3323308270676692	0.5353383458646617	0.3172932330827068	0.1548872180451128	0.2736842105263158	0.14736842105263157	0.3609022556390977	0.562406015037594	0.4766917293233083	0.3669172932330827	0.3518796992481203	0.4857142857142857	0.5263157894736842	0.5218045112781955	0.5293233082706766	0.18646616541353384	0.5849624060150376	0.3548872180451128	0.35789473684210527	0.42255639097744363	0.5669172932330827	0.39097744360902253	0.19097744360902255	0.23007518796992482	0.20150375939849624	0.26917293233082706	-0.09323308270676692	0.11879699248120301	-0.22255639097744362	-0.081203007518797	0.16541353383458646	-0.32781954887218046	-0.518796992481203	-0.5368421052631579	-0.556390977443609	-0.23759398496240602	-0.2932330827067669	-0.49624060150375937	-0.4842105263157895	-0.3112781954887218	-0.33383458646616543	-0.43007518796992483	-0.28721804511278193	-0.10225563909774436	-0.29172932330827067	-0.2571428571428571	0.2962406015037594	-0.25413533834586466	-0.13233082706766916	-0.4120300751879699	-0.3112781954887218	-0.5067669172932331	-0.6511278195488722	-0.19097744360902255	-0.12330827067669173	0.1699248120300752	-0.010526315789473684	0.02857142857142857	-0.46616541353383456	-0.3263157894736842	0.010526315789473684	-0.45263157894736844	-0.4616541353383459	-0.18646616541353384	-0.055639097744360905	-0.28721804511278193	-0.3924812030075188	-0.6135338345864662	-0.5864661654135338	-0.36390977443609024	-0.44661654135338347	0.010526315789473684	0.022556390977443608	-0.1293233082706767	0.3398496240601504	0.38646616541353385	-0.32030075187969925	0.11428571428571428	0.2	0.3022556390977444	0.17142857142857143	0.27669172932330827	0.4105263157894737	0.32030075187969925	-0.13984962406015036
Ammonium.5m	0.23787134277657715	0.33173803567988536	0.47655397935525723	0.220347396651154	0.2992862835957684	0.08039921578839972	0.2566122296051547	0.279734102965088	0.304154046408386	0.34471873651353213	0.4695768526571721	0.4733088041468455	0.47184847530306023	0.4944835723817318	0.5170375400801931	0.5031644160642331	0.4905082327514275	0.47955576642303804	0.3996433269159001	0.5408084484818088	0.6336204594423832	0.5236090198772267	0.5159828581374593	0.41440887411417326	0.4501869307869122	0.33214368258093685	0.606928893353197	0.5019474753610788	0.4832065885325012	0.2309753454587023	0.2989617660749273	0.2788416797827748	0.40694497113482636	0.4011036557596853	-0.41870873126531877	-0.20834024838003073	-0.33141351815904424	-0.31186133752836376	-0.3650010815661052	-0.28330379569434083	-0.42665941052592743	-0.44961902512544016	-0.3530750626751923	-0.5132244592103093	-0.32151573377338855	-0.33976984432070434	-0.45821873942773117	-0.4628431140997178	-0.6060364701708838	-0.17540172001465204	-0.22221337239599073	-0.2914978630955804	-0.35112795755014525	-0.12169407031543851	-0.030180129438228752	0.1059549705546418	-0.0423495364697726	0.08185954463218498	-0.05906218879309282	-0.012575053932595313	-0.18002609468663872	-0.07893888694461444	-0.12120729403417675	-0.17248106232708152	-0.20395926184867494	-0.05476233164194733	-0.09402895166372882	-0.01938992187025987	-0.011358113229440928	-0.24598428079760637	-0.029287706255915535	0.015008935338904083	-0.023446390880774486	0.055735884204470836	0.06368656346507949	0.003569692729252863	0.19544067692659425	0.003975339630304325	0.06563366859012651	0.056952824907625224	0.0773162993404086	0.124046822341537	0.18919371465040175	-0.16899249897803895	-0.03561579791231834	0.003082916447991109	-0.11877341262786799	0.08745747186669514
Brunt.Väisälä	0.10601110823837333	0.30016138623743366	0.4413932903050034	0.4182033603778592	0.3446232819624093	0.10845215349386218	0.39178776350596195	0.4514190118900469	0.4017263049033094	0.45028566944999854	0.4087879001066879	0.49448602461188607	0.570855869033609	0.4695524909308213	0.47792178894964027	0.5106143593356518	0.48323978039909815	0.474347401254103	0.4349419564154971	0.4605729315981301	0.5277016761240738	0.531276063819611	0.47086019374626176	0.3840287268010152	0.47513202294336726	0.4227367301380528	0.5551634352483235	0.4598754900965619	0.41689565756241875	0.022230947862487825	0.33442320000197373	0.19589388175298098	0.19885800813464602	0.2540430669462334	-0.36554652700945667	-0.22396590219110285	-0.32518210010619447	-0.2372172907208995	-0.3895210786258651	-0.49954247549825587	-0.4093981614205601	-0.36284394119087976	-0.4927424208579655	-0.42910088383986306	-0.3053921974991955	-0.29118182690474254	-0.33154625380800473	-0.28586383545528465	-0.39013133993973736	-0.021010425234743398	-0.10208799979205194	-0.1162111901988089	-0.26293544609122854	-0.22544796538193537	0.1871758629833779	0.05143631074065811	-0.10618546861376538	0.10618546861376538	0.10313416204440432	-0.08003141230495618	-0.2374788312839876	-0.029554083628954404	-0.09432896308710521	-0.1829040337862724	-0.0329541109490996	-0.05692866256550804	-0.25107894056456836	-0.29501775516336787	-0.39841345777086024	-0.426136757458198	-0.09040585464078382	-0.22518642481884726	-0.2548276886354977	-0.18360147528784063	-0.21934535224321322	-0.11786761376503349	-0.02162068654861561	-0.057538923879380255	0.2802843034427387	0.24837635474599143	0.3121050719517899	0.2597097791464754	0.2974588004188567	0.048472184358993066	0.17932964609073512	0.06913388884295234	-0.16154488780074489	0.15901666235755998
Temperature	0.16214245198930394	0.3810874321367798	0.42403370877562596	0.22340166923263918	0.4165788833968074	0.3629365529535694	0.05874726521351592	0.060854063690138564	0.13912973016773358	0.4164168219755287	0.47427274937201197	0.524511789968398	0.4651973097804068	0.40944818086054613	0.45061178186532697	0.5078194635766956	0.48415849607001055	0.4381330524268698	0.6335791264889393	0.6360100478081193	0.5734543391945547	0.6105664046673689	0.5805850417308159	0.6491370229316911	0.5635685924965562	0.5228911757556114	0.6335791264889393	0.6196418442589742	0.5919293412203225	0.36099181589822543	0.23847338141155497	0.38692164330281176	0.2572725062798801	0.26229641033951867	-0.3971315128433676	-0.211895308321854	-0.41982011182238066	-0.3016773357102342	-0.28174378089295843	-0.2699132971396159	-0.6256381168462848	-0.4013451097966129	-0.5053885422575156	-0.4454258163844097	-0.3802771250303865	-0.3754152823920266	-0.2465764524754882	-0.48480674175512517	-0.5217567458066608	-0.28158171947167976	-0.32193501337006725	-0.5202981930151528	-0.6222348269994328	-0.4564459930313589	-0.2937363260675796	-0.24787294384571754	0.051130378413418685	0.06976744186046512	0.1023417875374767	-0.005591119034113929	-0.1670042946276639	-0.21853982659427923	-0.34122032250222833	-0.41674094481808605	-0.3141560651486914	-0.28595737784620373	-0.2044404829430354	-0.3363584798638684	-0.15031196823596144	-0.21578478243254193	-0.15014990681468277	-0.15987359209140264	0.057774896685843936	0.10931042865245928	0.11206547281419658	0.16133214488291062	0.03589660481322421	0.04335143019204278	-0.20119925451746212	-0.10639332306944332	-0.22615671339437646	0.14301920427842152	0.04853739567296005	-0.06312292358803986	0.07803257434567701	0.20995057126651	0.22064662507090188	0.016935418523620453
NO2	0.1906562847608454	0.517686318131257	0.2436040044493882	0.08609566184649611	0.2996662958843159	0.2783092324805339	0.23515016685205783	0.41446051167964404	0.30189098998887653	0.3975528364849833	0.47363737486095664	0.4424916573971079	0.2903225806451613	0.4335928809788654	0.3628476084538376	0.4340378197997775	0.4696329254727475	0.4700778642936596	0.45761957730812014	0.5448275862068965	0.5119021134593993	0.4424916573971079	0.5488320355951056	0.5746384872080089	0.471412680756396	0.2324805339265851	0.4011123470522803	0.26362625139043383	0.4456062291434928	0.1959955506117909	0.16262513904338152	-0.04382647385984427	0.11190211345939934	0.17597330367074526	-0.21156840934371524	-0.3139043381535039	-0.47363737486095664	-0.5261401557285873	-0.12791991101223582	-0.14616240266963293	-0.37441601779755285	-0.37619577308120133	-0.40778642936596216	-0.3481646273637375	-0.210678531701891	-0.22669632925472746	-0.20133481646273638	-0.43047830923248054	-0.47808676307007786	-0.04560622914349277	-0.32458286985539486	-0.3939933259176863	-0.550166852057842	-0.2507230255839822	-0.3842046718576196	-0.1621802002224694	-0.11056729699666296	-0.1568409343715239	-0.19555061179087876	-0.3664071190211346	-0.20266963292547274	-0.3917686318131257	-0.31123470522803115	-0.07363737486095662	-0.43982202447163515	-0.20444938820912126	0.03759733036707453	-0.12124582869855395	-0.0407119021134594	-0.3254727474972191	-0.36507230255839823	-0.2	0.01935483870967742	-0.1839822024471635	0.05939933259176863	0.04338153503893215	0.15506117908787542	0.21601779755283648	0.09499443826473859	-0.2467185761957731	-0.16796440489432704	0.067853170189099	0.08031145717463849	-0.1421579532814238	-0.2436040044493882	-0.022024471635150165	0.05494994438264739	0.16129032258064516
Lyapunov	0.44434422093425363	0.01873113811900835	-0.1477678673832881	-0.28408892813829334	-0.020812375687787057	-0.046827845297520876	-0.14880848616767745	-0.06139650827897181	0.39751637563673275	-0.3329980110045929	-0.06451836463213988	-0.22165180107493215	-0.24766727068466596	-0.08220888396675888	-0.13423982318622651	-0.13319920440183716	-0.07596517126042275	-0.13319920440183716	0.15088972373645615	0.04786846408191023	0.08324950275114823	0.01456866298145094	0.057234033141414405	0.09989940330137786	0.01456866298145094	-0.057234033141414405	0.3506885303392119	0.09989940330137786	0.2549516021753914	0.2539109833910021	0.008324950275114823	-0.011446806628282881	-0.2164487071529854	0.09885878451698851	0.19979880660275573	0.2528703646066127	-0.07388393369164405	0.3111450165324165	0.33611986735776095	0.07596517126042275	-0.09989940330137786	0.017690519334618997	0.016649900550229645	-0.16233653036473905	-0.17378333699302193	-0.15088972373645615	-0.16962086185546452	-0.24142355797832984	-0.3704602872426096	-0.3142668728855845	-0.2955357347665762	-0.6784834474218581	-0.29865759111974427	-0.250789127037834	-0.3225918231606994	-0.02185299447217641	0.26847964637245303	0.09573692816382046	0.008324950275114823	0.06764022098530793	-0.12695549169550105	-0.3329980110045929	-0.10302125965454594	0.08012764639798017	-0.08116826518236953	-0.09677754694820981	0.01873113811900835	0.22581427621248956	0.35797286182993737	0.28617016570707204	0.1654583867179071	-0.0031218563531680583	0.32155120437631	0.21124561323103863	0.027056088394123174	-0.19667695024958767	0.08637135910431629	-0.07388393369164405	-0.2164487071529854	-0.501578254075668	-0.41624751375574115	-0.1852301436213048	-0.46827845297520876	-0.14464601103012004	-0.2528703646066127	-0.09677754694820981	0.17274271820863257	-0.17066148063985387
Si	-0.16451612903225807	-0.11290322580645161	-0.16008064516129034	-0.1342741935483871	0.12661290322580646	-0.010080645161290322	-0.23790322580645162	-0.00282258064516129	-0.16491935483870968	0.10040322580645161	-0.12379032258064517	-0.08508064516129032	0.01653225806451613	-0.0064516129032258064	-0.03669354838709677	0.06088709677419355	-0.039919354838709675	0.050806451612903224	-0.024193548387096774	0.024193548387096774	0.04717741935483871	-0.004838709677419355	0.05887096774193548	0.03870967741935484	0.05725806451612903	-0.027419354838709678	0.07096774193548387	0.052016129032258066	-0.055645161290322584	0.2645161290322581	-0.13588709677419356	0.11088709677419355	0.1907258064516129	0.25725806451612904	0.06370967741935483	-0.2725806451612903	-0.1407258064516129	-0.35	0.0016129032258064516	0.11048387096774194	0.09798387096774193	0.12661290322580646	-0.049193548387096775	0.0064516129032258064	0.012903225806451613	-0.0036290322580645163	-0.34838709677419355	-0.14556451612903226	-0.07540322580645162	-0.05	0.17298387096774193	-0.03467741935483871	0.12379032258064517	0.20362903225806453	0.3092741935483871	0.494758064516129	0.06532258064516129	-0.06612903225806452	-0.3338709677419355	-0.06330645161290323	0.12217741935483871	-0.17137096774193547	-0.14637096774193548	0.42379032258064514	0.1157258064516129	0.08266129032258064	0.18064516129032257	0.15806451612903225	0.15483870967741936	0.11653225806451613	0.12379032258064517	0.2592741935483871	0.02903225806451613	0.2899193548387097	0.175	0.19879032258064516	0.3814516129032258	0.2536290322580645	-0.14153225806451614	-0.004032258064516129	-0.04153225806451613	-0.04959677419354839	-0.12379032258064517	-0.24919354838709679	-0.07701612903225806	0.06008064516129032	-0.11411290322580646	-0.14637096774193548
NO2NO3	0.1786290322580645	0.004032258064516129	-0.05806451612903226	-0.0625	-0.02903225806451613	-0.012903225806451613	0.04758064516129032	0.04717741935483871	0.016129032258064516	0.18669354838709679	0.11653225806451613	0.12580645161290321	0.1346774193548387	0.12580645161290321	0.1032258064516129	0.18669354838709679	0.13709677419354838	0.21895161290322582	0.14637096774193548	0.19879032258064516	0.2806451612903226	0.21129032258064517	0.2028225806451613	0.17016129032258065	0.12258064516129032	0.18669354838709679	0.3403225806451613	0.23225806451612904	0.19838709677419356	0.31411290322580643	0.0	-0.08508064516129032	0.1842741935483871	0.21008064516129032	-0.0467741935483871	-0.039112903225806454	-0.27056451612903226	-0.34153225806451615	0.10080645161290322	0.03588709677419355	-0.11693548387096774	0.024193548387096774	-0.20927419354838708	-0.1875	0.011693548387096775	-0.06169354838709677	-0.369758064516129	-0.1842741935483871	-0.3346774193548387	0.037096774193548385	-0.025403225806451612	-0.11169354838709677	0.059274193548387095	-0.028225806451612902	0.2870967741935484	0.39838709677419354	-0.012903225806451613	-0.05	-0.44193548387096776	-0.26491935483870965	-0.2399193548387097	-0.3774193548387097	-0.1975806451612903	0.20443548387096774	-0.08709677419354839	-0.16129032258064516	0.3657258064516129	0.17016129032258065	0.2931451612903226	-0.18467741935483872	0.07741935483870968	-0.09112903225806451	0.059274193548387095	-0.03387096774193549	-0.20524193548387096	0.1879032258064516	0.2153225806451613	0.03790322580645161	-0.0467741935483871	-0.15645161290322582	-0.06411290322580646	-0.18064516129032257	-0.00282258064516129	-0.31290322580645163	-0.3189516129032258	-0.1693548387096774	0.06370967741935483	-0.09516129032258064
PO4	0.12347052280311457	0.03181312569521691	-0.06295884315906562	-0.05005561735261402	0.1203559510567297	0.04872080088987764	-0.020689655172413793	0.15862068965517243	-0.06384872080088988	0.20667408231368187	0.010456062291434927	0.05761957730812013	0.1959955506117909	0.1457174638487208	0.07007786429365963	0.21824249165739712	0.1239154616240267	0.13192436040044495	0.23025583982202447	0.1839822024471635	0.26585094549499444	0.1906562847608454	0.26362625139043383	0.18442714126807563	0.19510567296996664	0.18976640711902112	0.23337041156840935	0.18754171301446051	0.15016685205784205	0.16751946607341492	0.07986651835372637	0.10700778642936597	0.06829810901001113	0.28631813125695216	0.05494994438264739	-0.2542825361512792	-0.3704115684093437	-0.4593993325917686	-0.0055617352614015575	-0.071412680756396	-0.03759733036707453	0.09454949944382647	-0.21957730812013349	-0.15595105672969967	-0.12080088987764183	-0.12791991101223582	-0.29076751946607343	-0.28231368186874306	-0.23915461624026696	-0.0878754171301446	-0.001557285873192436	-0.2129032258064516	-0.05094549499443826	0.07541713014460512	0.2689655172413793	0.4994438264738598	0.042046718576195775	-0.1363737486095662	-0.314349276974416	-0.2849833147942158	-0.03403781979977753	-0.2578420467185762	-0.16173526140155728	0.3348164627363737	-0.027363737486095663	0.08075639599555061	0.19110122358175752	0.13192436040044495	0.09944382647385984	-0.04827586206896552	0.12347052280311457	0.14171301446051168	0.06162402669632926	0.07808676307007786	0.06740823136818687	0.02825361512791991	0.35305895439377083	0.25205784204671855	-0.0731924360400445	-0.1167964404894327	-0.11546162402669632	-0.08298109010011123	-0.16129032258064516	-0.2560622914349277	-0.05761957730812013	0.03092324805339266	-0.23381535038932147	0.1239154616240267
Nitracline	0.0382719145649754	-0.09375783437096592	0.17481407264176532	-0.10445391529742193	0.037937662036023646	0.08640427873402742	0.03208824277936802	-0.15659730981389494	-0.030082727605657514	0.07604245033652317	0.18534302730374547	0.16311523412845408	0.09292220304858655	0.04662822778876915	0.043118576234775774	0.1261803296792857	0.08038773321289591	0.023899055820050138	0.26472800292978615	0.24350296734135	0.2590457099376064	0.2924709628327814	0.22211080548843798	0.2588785836731305	0.17598395649309645	0.5075624652132327	0.48416478818661013	0.42984875223195074	0.35180078672171705	0.5289546270661446	0.04328570249925165	0.18333751213003496	0.11113896587645693	0.3187097863554938	0.1529205319954257	0.1858444060971731	-0.09576334954467643	-0.06952452602196403	0.057658561244176905	0.05197626825199715	-0.23614941170441148	0.004345282876372752	-0.3265647207858599	-0.07620957660099904	-0.16679201194692334	-0.2503551441848609	-0.22645608836481074	-0.3573159534494209	-0.49653213175782485	-0.30968496807379653	-0.3285702359595704	-0.19737611834600846	-0.20238990628028472	-0.15609593102046732	-0.1193281528357748	-0.10846494564484292	0.18835130006431122	0.053313278367804154	-0.009693323339600754	0.14122169348211444	-0.22344781560424498	-0.22562045704243136	-0.24400434613477762	-0.22094092163710685	-0.14723823900324595	-0.15726581487179844	0.10478816782637368	-0.03125261145698864	0.2615526039047445	0.10445391529742193	0.03158686398594039	-0.07370268263386091	0.1950363506433462	0.11682125886863669	0.03910754588735477	-0.15041363802828758	-0.29397509921306425	-0.13654215807678993	-0.3349210340096537	-0.36884766569825633	-0.247513997688771	-0.26255536149159975	-0.15592880475599144	-0.33024149860432916	-0.5048884449816187	-0.33709367544784	0.35046377660591005	-0.10094426374342855
NO3	-0.015065303999109624	-0.015734873065736718	0.04486112746401532	0.1121528186600383	-0.04653505013058306	-0.00937396693277932	0.42048937384181523	0.07633087359548875	0.04352198933076113	0.39169790397685017	0.3160365994479885	0.2741885327837951	0.37294997011129155	0.30130607998219244	0.2731841791838545	0.30833655518177694	0.2658189194509565	0.27686680905030353	0.23468395785279655	0.3043191407820144	0.479076667171686	0.4024110090428837	0.3595585887787497	0.1760966645229258	0.2761972399836764	0.46300700957263574	0.4988289546371853	0.3669238485116477	0.4037501471761379	0.2986278037156841	0.3270844890473356	0.1697357583899684	0.47606360637186407	0.4867767114378976	0.002008707199881283	-0.08871790132809	-0.2705059029173461	-0.13525295145867305	-0.27653202451698994	-0.18614020052233224	-0.14094428852500335	-0.08670919412820871	-0.33444974878023365	-0.372615185577978	-0.2648145658510158	-0.3200540138477511	-0.5460335738343954	-0.4881158495711518	-0.4928028330375414	-0.26983633385071903	-0.18982283038878126	-0.04519591199732887	-0.05390030986348109	-0.01673922666567736	0.39772402557649406	0.44392429117376353	0.18781412318889995	0.24171443305238105	-0.1978576591883064	-0.12554419999258018	0.019082718398872187	-0.1292268298590292	-0.08470048692832743	0.014395734932482529	-0.029461038931592153	0.1071310506603351	0.025443624531829585	0.12387027732601245	0.2192838693203734	-0.06863082932927717	0.30398435624870085	0.05523944799673528	0.015734873065736718	-0.08603962506158162	-0.14931390185784205	0.02477405546520249	0.060261215996438494	0.05523944799673528	-0.14663562559133367	0.08001350346193778	0.09708751466092869	-0.10378320532719962	-0.02477405546520249	-0.38835005864371475	-0.3699369093114696	-0.33444974878023365	-0.3163713839813021	0.06126556959637913
Density	-0.05161656267725468	-0.12827161494206304	0.007859978932015234	0.023741998217324367	-0.14285714285714285	-0.036544850498338874	0.15160845960619074	-0.130702536261243	-0.025524673851389675	0.2694271128757799	0.1700834616319585	0.12195121951219512	0.20784377278988736	0.14301920427842152	0.08386678551170894	0.08370472409043027	0.11141722712908192	0.07819463576695568	0.08645976825216757	0.12697512357183371	0.24220079410096426	0.28287821084190906	0.18142776112146503	0.05631634389433595	0.12373389514626043	0.36585365853658536	0.33733084839154037	0.3857872133538611	0.3525646219917349	0.2608378575480107	0.3253383032169192	0.08257029414147962	0.3853010290900251	0.3358722956000324	-0.010290900251195202	0.12746130783566972	0.07365691597115306	0.16343894335953327	-0.2465764524754882	-0.1788347783810064	-0.060205818005023906	-0.03800340328984685	-0.2310185560327364	-0.22793938902844177	-0.24738675958188153	-0.3023255813953488	-0.4460740620695243	-0.38384247629851714	-0.37687383518353457	-0.18969289360667693	-0.27801636820354914	0.004780811927720606	0.04983388704318937	-0.08289441698403695	0.36828457985576535	0.36407098290252005	0.06863301191151447	0.35305080625557084	0.0017016449234259785	0.11238959565675391	0.05874726521351592	0.15598411798071468	0.1888825865002836	-0.09974880479701807	0.13524025605704562	-0.15517381087432136	-0.03508629770683089	0.17915890122356373	0.29130540474839967	0.19001701644923427	0.3092942225103314	0.08386678551170894	0.1422088971720282	0.042217000243092134	-0.030710639332306944	0.18094157685762904	0.03751721902601086	-0.04772708856656673	-0.1381573616400616	0.14301920427842152	0.16441131188720526	-0.16992140021067983	0.08159792561380763	-0.22016044080706587	-0.33165869864678715	-0.342840936715015	-0.2187018880155579	-0.3514301920427842
Depth.Min.O2	0.09878844434593013	0.1769115455350004	0.07180193739991313	0.13614814315107682	0.08687548182021092	0.23817820995298497	0.27043235338996624	0.1397949684140521	-0.02512257403382965	0.24774099619812012	0.21046233795437289	0.3228655966154107	0.29628429247639093	0.27894161233690856	0.29053041261703	0.2788605717755091	0.2801572207579003	0.28404716770507393	0.40560800980424966	0.2778880850387157	0.29044937205563054	0.3175979601244464	0.3359941675621217	0.3048745919847327	0.19465942848148005	0.22407715226948058	0.30835933612490907	0.22821022090085255	0.3618461066485464	0.0590785692601994	0.20795008055098993	0.23971798061957453	0.14692653781720372	0.27975201795090304	0.024555290104033494	0.026662344700419206	-0.35876656531536727	-0.11961586862558891	-0.10381295915269606	-0.18201710090316578	-0.2581141880572498	-0.17285951746502787	-0.30592811928292557	-0.19579399634107236	-0.2194578402697119	-0.161189676623507	-0.022691357191846135	-0.2906114531784294	-0.24628226609293	-0.22675149079566245	-0.24644434721572892	-0.1846103988679482	-0.1377689543790658	-0.16540378581627843	0.08517363003082246	0.026338182454821404	0.2898820881258344	0.06394100294416642	-0.09692451143374277	-0.20065643002503938	0.034361198033367006	-0.15705660799213503	-0.17010413837744656	-0.044734389892496666	-0.11134973136284496	-0.016046031157091196	-0.047976012348474685	-0.18007212742957895	-0.12690951915153945	-0.14773694343119823	-0.07625916827688291	-0.08744276575000706	0.057862960839207646	-0.24247335970715583	-0.3324283828605459	-0.12885449262512627	-0.08695652238161036	-0.0008104056139945048	-0.10762186553847024	-0.04513959269949392	-0.07018112617192411	0.06086146161098731	-0.011345678595923068	-0.12350581557276254	-0.0415738079979181	-0.17277847690362844	-0.022691357191846135	0.08857733360959938
