	NikR	Rex	HutC	NiaR	CblR	BirA	CcpA	PhrR	XylR	VanR	NrdR	PdhR	LldR	ModE	NadQ	GguR	NagR	GulR	Irr	AgaR	PhnF	SiaR	AraR	CzrA	FUR	ThiR	SahR_SamR	KdgR	MetR	NagC	Zur	ArgR	MntR	RbkR	NrtR	Phr	IscR	NsrR	NagQ	PrpR	LiuQ	LexA	SoxR	HexR	HisR	PsrA	PhnR	QorR	TrpR	NarP	TyrR	AcnR	NorR	FabR	HrcA	NnrR	LiuR	GntR	NtrC	PurR	CsoR	PdxR	SdaR	FixJ	RbsR	NmlR	ZntR	FruR	BioQ	FadP	PhsR	CueR	PaaR	AmtR	DasR	HcpR	FnrN_FixK	MerR	NifA	CadR-PbrR	LtbR	RutR	GlcC	ExuR_UxuR	TtrR	HypR	FadR	MetJ
Carbon.total	-0.14254221842078882	-0.08085779269166508	-0.1797241062363611	-0.2363589240807572	-0.2849912491528168	-0.29636597141218596	-0.28018043472053883	-0.3362503022018224	-0.28992437242659336	-0.21882799013262555	-0.21022560161389117	-0.12699152285882484	-0.2908329523920115	-0.2798018597349479	-0.26527622874935314	-0.5010119601615223	-0.32343699499720785	-0.4095132982594796	-0.3467397414179636	-0.6031398428128474	-0.5027941747090732	-0.4574408914352854	-0.4371550964381616	-0.3850631784208561	-0.5664297176716269	-0.5745195739021767	-0.5957139488647185	-0.5802506167609679	-0.561292746328686	-0.5743157258330123	-0.4936326600577738	-0.4246271765303771	-0.45222238086467875	-0.4869406191586365	-0.4389547836773552	-0.4022854281499675	-0.40868043329117965	-0.45252524085315143	0.09221504225939157	0.08143439151587273	0.11442283333720753	0.29318011730267496	0.24264326884156587	0.2674195455908523	0.16589155868592498	0.0474907758847394	0.27475807608076785	0.18720824248996548	0.2122873792277246	0.3028308673199687	0.27639468486463	0.4467010103055994	0.3554702630087441	0.4831082754583473	0.48387124966007655	0.5492948314007288	0.6307932894526245	0.5803088590664434	0.6086379164497365	0.5003771190318391	0.3969620814295049	0.41345047810962476	0.15644465673779556	0.284455419942442	0.3440664195966372	0.38265194697416954	0.4831082754583473	0.2972803756081516	0.32243522734302893	0.33372258614418476	0.38700264719319094	0.4146735665246107	0.4452449526687114	0.18005608737757156	0.03155568110663699	0.06417719640347601	0.1154478979135767	0.2393118089683661	0.22221769231130084	-0.03806134662825263	-0.0814868095908007	-0.0677998678040534	0.007000725118157561	-0.07502191368301793	-0.21419772684732166	0.045405701348715764	0.03680913706052894	0.12627514250147595
ChlorophyllA	0.015765802274108284	-0.009940285964029677	-0.21096299325817625	-0.19684808644522894	-0.08101856758640144	-0.17082279183393598	-0.21420742678532192	-0.16848859523024012	-0.19708499742530491	-0.20689061820065982	-0.16752848231098486	-0.26084148286343406	-0.3510472088772026	-0.29019849399453224	-0.26682410856029987	-0.5321943318428703	-0.3002335443505923	-0.41516778908471164	-0.3429947293544099	-0.5579901968734582	-0.4708144376048718	-0.4967225236260219	-0.3679052954594506	-0.34324410933343724	-0.49376487707475764	-0.46922089953888707	-0.5677559168521688	-0.5184933957951084	-0.5585787336239627	-0.5302092672098128	-0.4129807266686419	-0.393359509918771	-0.4085791700388094	-0.4612033332131582	-0.41517776428387276	-0.37382308236176937	-0.41047445787941716	-0.44969694098083685	0.14096452694499287	0.11054266330344795	0.06873660361930507	0.3125603967139136	0.2051125389501949	0.21468873014484469	0.22795574502909904	0.23258174364005615	0.2400905748085693	0.23338973477210473	0.14122886972276183	0.2596893473603277	0.16115183624725585	0.43854716211852457	0.36015207191149073	0.519730320491084	0.49217133900877297	0.4489039126475299	0.6291532676886993	0.5323539350294478	0.5754617582041135	0.5260645719583784	0.3772645260723466	0.36501248770273353	0.18729932704827218	0.2642380381777864	0.2501081685660974	0.27616837637445424	0.213843332015942	0.26555227066726045	0.19757876978377906	0.24005566161150546	0.3121514135483088	0.3295830740823197	0.3009268206922883	0.013087461299354678	-0.06429514619282818	0.03129219976835032	0.057048164002293754	0.15383752146238402	0.0917568694833186	-0.0984178087231388	-0.04566895555927634	-0.09518085659536395	-0.14335358714407476	-0.07581899502368146	-0.14403439448681937	0.19452635884048444	0.1670546603508329	0.15704704179246587
Fluorescence	0.0009227402749855096	-0.06088328214380582	-0.17795119436450713	-0.15419429395138812	-0.01714539310949266	-0.21445948657766398	-0.16920713175869206	-0.19376666974433812	-0.24234967755587677	-0.20100798390231964	-0.2045143969472646	-0.3294270661724459	-0.3496541188669695	-0.3114175194720938	-0.39208845417947774	-0.6143575457511461	-0.3667467839607487	-0.49639618659752227	-0.4074088720784435	-0.6426402675130035	-0.49420211527700114	-0.6038060839400419	-0.4056161195441859	-0.34467718005046033	-0.5361413931086442	-0.5102314320538923	-0.6042425547367811	-0.5831161964409224	-0.6118851876810262	-0.562602068994181	-0.4499017940750778	-0.44888238577128425	-0.4660951535675219	-0.5114060950706198	-0.46916216648152137	-0.41438947549206406	-0.4451826366687233	-0.4924943134347264	0.1638581674979824	0.22779088655054985	0.10444248179153448	0.2829033803079384	0.21402301578092478	0.0870920352876006	0.19899260196838303	0.25868657442442977	0.3123900584285864	0.3835494449681039	0.13578635779897877	0.25992568279369604	0.14249160379720682	0.4752903336411077	0.27795573483349223	0.5935592728863933	0.6136193535311576	0.5152405935466708	0.6257057864663647	0.6413865124727057	0.6445999920970203	0.5190985266963721	0.39248684363153497	0.4905550941901537	0.25732443401849875	0.3133977493955547	0.2990850224635573	0.36882075257881136	0.35299648919636145	0.2868550521522414	0.24446758618703401	0.3065431073528052	0.32096714898464224	0.41011264755086135	0.33671232034352194	0.010164789695872123	-0.07568813722246222	0.010440147111264625	0.10728393597164859	0.14745096660847815	0.13368895450726567	-0.06933734066319687	-0.0865471791252282	-0.1330679356555294	-0.011857944867115375	-0.0989734148283664	-0.19581720368875036	0.30338821441261665	0.25980850942544387	0.10852890300932745
HCO3	-0.1462960936645147	0.14301345880293248	-0.14279461647882702	0.17715286136338768	0.0966188860925703	-0.1865630812999234	-0.09071014334172228	-0.18875150454097822	-0.010832695043221359	-0.2449939818360871	-0.5647226173541963	-0.08983477404530037	-0.35550935550935553	-0.23711565816828975	-0.39884013568224097	-0.22858080752817594	-0.4275084801400591	-0.2524346208556735	-0.1502352554984134	-0.22026479921216763	-0.24630703578072	-0.17934128460444249	-0.2279242805558595	-0.2559360980413612	-0.28285370390633546	-0.3215887952730058	-0.27694496115548745	-0.331655542181858	-0.2802275960170697	-0.26118831381989277	-0.24740124740124741	-0.2999234051865631	-0.3078017288543604	-0.3237772185140606	-0.2622825254404202	-0.2572491519859941	-0.2305503884451253	-0.29642192800087536	-0.11653353758616916	-0.13579166210745158	0.17146296093664515	0.1828427617901302	0.1937848779954043	-0.030966188860925704	0.4075938286464602	0.052412736623262936	0.2666593719225298	0.16358463726884778	0.19772403982930298	0.14126272021008862	0.17058759164022322	0.26622168727431883	-0.2727869569974833	0.40540540540540543	0.29051318525002734	0.4445781814202867	0.2924827661669767	0.41612867928657404	0.3369077579603895	0.2598752598752599	0.3784877995404311	0.28329138855454644	0.20210088631141263	0.20013130539446328	0.2594375752270489	0.2646897910055805	0.033373454426086004	0.07385928438560017	0.09005361636940584	0.35244556297187873	0.24696356275303644	0.12069154174417332	0.32312069154174416	0.14979757085020243	0.08808403545245651	0.3852719115877011	0.15855126381442172	-0.037750300908195644	-0.0832695043221359	0.12025385709596235	-0.056570740781267094	-0.02702702702702703	-0.2119487908961593	-0.167304956778641	-0.15855126381442172	0.23624028887186782	0.055038844512528724	0.021118284276179015
Latitude	-0.09153492130198428	-0.03287825643496419	-0.16279026270946545	-0.011107384265877616	0.019917978924913454	-0.19454381543901633	-0.27212842071421134	-0.21194804417533425	-0.22124492979347338	-0.18225686387233941	-0.17156594417143745	-0.14551571156224177	-0.34350346451162567	-0.19960373521348101	-0.24147962129175154	-0.31155290159864313	-0.283190916583864	-0.3006350461168263	-0.19666603906053898	-0.48780220177621403	-0.3384959145327567	-0.3692694039447302	-0.38130198793279924	-0.3238373593655298	-0.41412538077237737	-0.3929729709512786	-0.3945690028170536	-0.410190164703326	-0.41933492853425847	-0.4039830970253356	-0.42318036781086	-0.3704365022465781	-0.35715951216316266	-0.2955975705404741	-0.3237351135741286	-0.30299168691863465	-0.26952738753295624	-0.3170542239359862	0.12148046918358697	0.19488297221049353	0.1491192522591868	0.24466420362393065	0.09792154256487438	0.06812063507110754	0.1039615256569165	0.16409451999977842	0.3947934447981782	0.16552346727960507	0.21338447285453171	0.25050967033233146	0.229177706926333	0.20729960136626466	0.13273997523667128	0.27156731576139986	0.4001576081470562	0.2808841517778612	0.42398337134332803	0.3225480648739585	0.42980140625403584	0.2165241667904859	0.35787273890318083	0.36527683048050247	0.04391082670713361	0.06226020556396511	0.09961233882267974	0.18870084253040584	0.26526298989158875	0.20032444335287003	0.2459634733146631	0.33546594778757455	0.25365684566765645	0.44585648930381583	0.36218202494077323	0.2403424485873869	0.1611368734485142	0.09130299792148884	0.020840684847314606	0.17388268417660144	0.09927816965078311	-0.04775875978352542	-0.052065552021327545	0.06443978658066404	0.09082169456196608	0.08241010786937399	-0.01609498384642437	-0.07264189409087317	-0.005231991959993543	-0.012466505151576606
Gradient.Surface.temp(SST)	0.09450149386986777	0.0035269088089274446	-0.12467069639919486	-0.08981021359875957	0.02728745996593516	-0.16041905084229569	-0.15738984170849563	-0.3017319641560898	-0.13999185862055474	-0.05403728139392406	-0.1166491294130367	0.017818877257647366	-0.20394012243399096	-0.07637539459053681	-0.2335286753423361	-0.360780036723673	-0.32840805229887465	-0.2203642117131949	-0.14022227513681743	-0.3249855989773196	-0.32042642417553535	-0.1664436746875106	-0.2401124432670151	-0.20688945384215326	-0.3276799361074846	-0.31865375311042116	-0.2930099309604931	-0.3375540518843947	-0.3147581778754734	-0.3740397391795361	-0.2724721388109461	-0.2546225393511304	-0.22743339043213395	-0.18764199418367727	-0.2757041144790573	-0.23167305433136728	-0.31869369197324	-0.30162443644850057	0.07594835598039665	-0.04032289034596926	0.03401869446102229	0.13722378820518574	0.09170884569276407	-0.024860405994634915	0.013858785398146082	0.15434834369382822	-0.046249203144245424	0.20276346209094287	0.002844875920789907	0.21118441770528967	0.23249026490904562	0.24140584797830297	0.13422222905333722	0.27322483276407084	0.44015084602562465	0.3097412422613806	0.3193081360166071	0.31042941958995185	0.3427368873901966	0.17637923486875742	0.3061037335246471	0.24406331846586587	0.19460057297481026	0.09718661433938221	0.22073902257964886	0.20039478030376248	0.23087120485477317	0.09413589966406431	0.25345816788894965	0.21035491824674402	0.2470894553794491	0.23938432707562504	0.2340786027611497	0.2540511063907989	0.11915606110997468	0.07527553975290963	0.04106943985866034	0.00542554090293194	0.003121375740305125	0.07469489013192766	-0.03967157966000008	-0.009812671372573394	-0.1922902633717498	0.008033855867025494	-0.16351277660064928	0.254779222582189	0.09613284280500754	-0.04150876734966786
PAR.PC	0.13694581280788176	-0.05073891625615764	-0.3078817733990148	0.10935960591133005	-0.04926108374384237	0.10394088669950739	-0.0960591133004926	-0.025123152709359605	-0.14039408866995073	-0.10886699507389162	0.16502463054187191	0.2684729064039409	0.31231527093596056	-0.13891625615763548	0.01083743842364532	-0.06502463054187192	-0.046798029556650245	-0.0665024630541872	0.1399014778325123	-0.11280788177339901	0.07192118226600985	0.11773399014778325	0.035467980295566505	0.03940886699507389	-0.03103448275862069	0.06748768472906404	0.0832512315270936	0.05073891625615764	0.11773399014778325	0.046798029556650245	-0.019704433497536946	0.03694581280788178	0.015763546798029555	0.09852216748768473	0.07832512315270936	0.08620689655172414	0.13349753694581282	0.1167487684729064	0.1187192118226601	-0.19064039408866995	-0.060098522167487685	0.09359605911330049	-0.04876847290640394	0.08078817733990148	-0.14039408866995073	-0.09753694581280788	-0.20591133004926107	-0.3733990147783251	-0.2876847290640394	-0.1921182266009852	-0.09064039408866995	-0.04433497536945813	-0.0665024630541872	0.03842364532019704	-0.08374384236453201	-0.08374384236453201	-0.019704433497536946	-0.0960591133004926	0.09113300492610837	0.1394088669950739	-0.026108374384236452	-0.1270935960591133	0.13399014778325122	0.07783251231527094	0.04482758620689655	0.04729064039408867	-0.022660098522167486	-0.07044334975369458	-0.027093596059113302	0.07684729064039408	0.007389162561576354	0.12315270935960591	0.06945812807881774	-0.10541871921182266	0.034975369458128076	-0.008374384236453201	-0.11625615763546798	0.09655172413793103	0.029064039408866996	-0.2458128078817734	0.13054187192118227	0.0729064039408867	0.1394088669950739	-0.059113300492610835	-0.1310344827586207	-0.13793103448275862	-0.21724137931034482	0.03201970443349754
NPP 8d VGPM (mgC/m2/day)	0.01570897578674601	-0.2584064670558353	-0.09495271860390216	-0.15400980907147602	-0.26953881210156083	-0.22154603568221085	-0.29838395504226295	-0.21630146423844682	-0.1399397618609063	0.11815747338810334	-0.03216010790987372	0.08256489242246426	-0.16805511773749973	-0.1041307186304892	-0.09166867681541313	-0.06214940853583096	0.024689067456964593	-0.24014942118084548	-0.12219604078524711	-0.3204692906857551	-0.28062786469433076	-0.23001898718923527	-0.21469964347908965	-0.10670971189941561	-0.38175285016247407	-0.4434940727132951	-0.33424247536177215	-0.42614616835037283	-0.42337545136121446	-0.4144015443271324	-0.3970907477810292	-0.3053354860597049	-0.35659993499527093	-0.4041041251598363	-0.3753084593082263	-0.3195106720845954	-0.3814065105388293	-0.29509991325377394	-0.05791293278231875	-0.09379619164637401	-0.16127057189574368	-0.22908510713262162	-0.19695592240343046	-0.11251090059546591	-0.10426678062549251	-0.11100803401429296	-0.12176930089182762	0.15597033872675103	-0.07430840318021784	-0.14984136431546546	-0.04932247318870056	0.3224174510687571	0.39401079898504515	0.1518575556959691	0.21131664751241638	0.413133693919147	0.31913959391640456	0.38323716283523745	0.4323864662121156	0.09713589516009166	-0.0039148746744134735	0.14403399098327865	0.11110080355634067	0.11007415395767932	0.20270763401038866	-0.0322405081796484	0.19473563803042188	0.35464558997613244	0.2757543714187576	0.29676358037449624	0.15366346944783124	0.18591634689975267	0.004700323463750774	-0.01018609571683885	0.10242375905681128	-0.06728884116527424	0.16270540747941495	0.13080505428727485	0.12676030225399457	0.07754915251575126	0.23502854245981175	0.032617770983975766	-0.09659164718007841	-0.023792295217170037	-0.06628074547502243	0.002146068739370419	0.38020669112834554	0.23410084703933462
CO3	-0.02808241940917424	-0.1580114728320169	0.11510396347490712	-0.16116866791352172	-0.12286329417865118	-0.24316904360020236	-0.18053809586206718	-0.12935830190925257	-0.04057393038382365	0.19498750126941178	0.028320834598395427	0.0060543008656773895	0.0008236161082186425	0.04917855130389736	0.0219630962191638	0.01778721805644121	0.0756715361182637	-0.0369615790319875	0.0006357738379231626	-0.09426069617481253	0.03282182438278327	0.022598870057086964	-0.03680986027521038	-0.06812172179292614	-0.200825061053979	-0.29296169463391186	-0.18235149624068892	-0.32634704582758156	-0.2362477784100843	-0.2825942462541421	-0.18196136229469062	-0.16420304304906408	-0.23430433338279644	-0.2197826809484151	-0.23023682576062893	-0.17790107937522678	-0.1458667475871438	-0.117928822232043	-0.0763506581724089	-0.0686563497929979	-0.24601557646544925	-0.22198621527303516	-0.2340514687881679	-0.1317207796933534	-0.1898362882416934	-0.334185848261066	-0.02366090135452679	0.11571083850201559	-0.012903319028758731	-0.10012715477019445	-0.23520742122075547	0.2719522591716328	0.15090236537160337	0.021977545624571142	0.09939023509441987	0.14315748407326667	0.048745069141677026	0.19414943575578578	0.17319057321243245	-0.08159579233527499	0.12542083893575118	0.000982559567699433	-0.10506162671680262	0.1211871631513992	0.04587686216831912	-0.015236898002044886	0.14480471628970396	0.2406042741403987	0.20713222651428492	0.15668212753454122	-0.019412776164767477	0.12664903839537547	0.10811045125775233	0.15383559466929433	0.029982516220240056	-0.1439088531544486	0.10702674585220148	0.1659225222925381	0.01993295475943188	0.22112647565129817	0.27849061511845624	-0.016920253732000533	0.1582282139131271	-0.09299637320166988	-0.14822922537124464	-0.026839770544142605	0.2748276908476944	0.17558917451005163
Mean Flux at 150m	-0.1687900702186989	-0.12212988901318259	-0.0767121039914856	-0.12857628430658474	-0.13324113035526483	-0.11829721399328713	-0.09148020957273417	-0.1366753009388409	-0.16288282798619946	0.23202334768761637	0.13222142782703578	0.030122247098260967	-0.1220244025447451	-0.06767542986200732	0.12051242983047442	-0.03665068742267005	-0.05761905320429996	-0.00896634981718663	0.18303074345776002	-0.09152709244759528	-0.30864168592937974	-0.005332927015450871	-0.12005532180057862	-0.10153658623044154	-0.2105392702825143	-0.3833143848644072	-0.30463320012875517	-0.1575030180958875	-0.24000515713271975	-0.237684454827095	-0.2626144235344884	-0.23801263495112274	-0.29619428265375597	-0.2051125775173412	-0.2663181706485158	-0.19901780378539735	-0.19666193932362674	-0.17820180734706603	-0.02658259004624742	-0.004969584735277296	-0.18138984283762127	-0.22786249254369315	-0.24769394860994123	-0.026359896390657164	-0.05043425263183538	-0.07893904054738816	-0.010478322531457316	-0.08307645425388083	-0.05797067476575826	-0.19588837188841848	-0.04123348844034322	0.24497474186799706	0.41164336199923085	0.08741312017853319	0.053798098903119776	0.14868903762199945	0.180616275402413	0.2401809679134489	0.19109459793387035	-0.020358888408435524	-0.0862996519005819	0.17449806023303863	-0.1299593291149874	0.009821962283401825	0.007653629321075646	-0.10500591897016341	-0.02469555433308788	0.32103048561142716	0.062389385721417556	0.1416448856741182	0.13208077920245245	0.17367760992296924	-0.1121438366677669	-0.08894853433023442	0.26259098209705783	-0.024332212052914304	0.11666803409186367	0.12475533000540456	0.024543184989789284	-0.027344436762740402	0.2135866571484862	0.1480092359365134	-0.1379880214349519	0.1284942392755778	-0.10877999039648249	0.08283031916086002	0.22243579977852007	0.21478217045744444
Si	0.10196927426535579	-0.08342487435007231	0.08834227378997371	-0.24422134350797772	0.10279536888523785	-0.08508774584785216	-0.049195358915045416	-0.01818476389542103	-0.021499824632964983	-0.09995388825305732	0.2120713076333436	-0.04425303420644068	-0.020346140767267627	0.01668924777322075	0.018280904217562476	-0.18824275075295244	0.12561267200680784	0.013805038108977352	-0.05221487718082122	0.004237295679567462	0.02703679503777793	-0.0654501948622937	-0.07867126953307857	-0.057823062639072276	-0.05038465030746183	-0.03357077619072439	-0.07737871631317689	-0.07242927009922835	-0.05678332285887589	-0.09291071946802838	0.008923246195795006	-0.012516045641747586	-0.03477787134650033	-0.11597727527663175	-0.10100431029126943	-0.12015047740810492	-0.06055772069109564	-0.11357732797576749	0.012811588113515735	-0.0089196854431231	-0.05844975510932763	-0.005433708577327685	-0.00023144892367385294	0.11228121400319392	0.007876384910254811	0.07636390180168384	-0.06289713519653752	-0.05316203739154807	0.004194566647504596	-0.12928380801154235	-0.04813069386614569	0.14756115147643292	0.2806478433415703	0.05189084868767783	0.039933841215419395	0.04816630139286475	0.11662889301559044	0.02423804343766026	0.0649908577676179	0.14852611545051927	0.016949182718269847	0.06918898516779441	0.030476482118838574	0.10788724520606262	0.1291235741413066	0.025584007947640514	0.040756375082629547	-0.06673206582417966	-0.057922763713885626	-0.07637814481237147	0.06511192335846269	0.016208546162513517	-0.05999156101626268	-0.08012761737588789	-0.06703116904861972	0.04037893529940757	0.07002220129302028	0.05972094381319787	0.09714445439492393	0.01584891014265107	0.1169885290354529	0.06746914162726408	-0.07109754859993572	-0.11926741074547237	-0.050320556759367537	-0.024070688062080705	0.06345261261335476	0.10554070919527694
Okubo.Weiss	-0.04192751189785482	-0.08788966546211609	-0.151382746584823	-0.16585831443472787	-0.09022213703448698	-0.09902499157937376	-0.10399974392533123	-0.039751725438742426	0.005031728750778738	-0.04577698024859213	-0.02461024585748893	-0.018193278264492973	0.052720979586184866	-0.059180679482796775	0.03238396409029146	0.07654779987738128	0.11339372867023874	0.015237627264389398	-0.04758242007636624	0.12599975823694556	0.07764815669549213	0.12188677401390986	-0.100712917572204	-0.10194503232646406	0.04393236914250339	0.04490096802446504	0.018876995122348257	-0.03797833483868028	0.04576985819798947	-0.005986083531535073	0.03914991216281772	0.02840985985400762	0.03319231683369329	-0.016847210700590382	0.04400002862322865	0.033227927086706584	0.011053422535327106	-0.05251087909340642	-0.22245725057406068	-0.23209338503945862	0.050516704924661836	-0.020123353977813622	0.08973071554290349	0.10086960268546251	-0.1436980539845537	-0.09611207288288615	-0.09846947163236636	-0.05777407448877158	-0.15100171687758074	-0.16789878193238975	-0.08386570687161363	0.06895569393494655	0.036293969871151376	-0.0959019723901077	-0.024382340238203834	-0.042255126225577144	0.02823536961424247	-0.028021708096162695	-0.05085144130298682	0.02087116929109284	-0.034292673651804134	0.008133381788236827	-0.016060224108996535	0.042233760073769167	0.06022762092138768	0.09730145533353024	0.11780583901858613	0.030079980720331207	-0.05264975908015827	-0.002467790533821419	-0.10705866465917337	-0.042568496452094144	0.17664109904715394	-0.09834127472151849	0.041489505785791275	0.10785277330136987	0.0202408678127575	0.019884765282624537	0.054868277842886615	0.0841755160728293	-0.0045225021326886035	0.056107514647749324	-0.07846719251479793	-0.047069632432974774	0.032042105661363826	-0.029542265899830437	-0.013165110539015566	0.039096496783297775
Alkalinity.total	-0.20497448647514535	0.07177774964497408	0.053045970398417845	-0.09589760313800766	-0.008853643128014423	-0.046266609374681085	-0.06809716371604237	0.004806263412350687	0.01211684302376831	0.029002005275052964	-0.04033466847891142	-0.10814092677789046	-0.03256875864948163	-0.0460895365121208	-0.1276189416595222	-0.1797795477451386	0.11034168949828262	0.003731178175377507	0.025574380578350236	-0.05921822446480505	-0.11547680251253098	-0.2582228258593464	-0.10981047091060175	-0.005615739355483434	-0.019250349772625647	-0.12086487675900834	-0.08958622039389452	-0.1228379743703944	-0.11322544754569303	-0.15052458123785664	0.017087531237067837	0.002226058843615055	-0.08394518491518818	-0.10939308487742393	-0.10839388801011944	-0.060495678687561415	-0.02672535418499211	-0.08013811837014198	0.1322734283325355	0.1510305037023146	-0.17461913860766734	0.1181075993277124	-0.030203571128140635	-0.02871109985798963	0.0584087485216723	0.022779158962219968	0.15237119823312822	0.1497909936643926	-0.0568909811282984	-0.038778956900703175	0.03622404845519044	0.12922524548417624	-0.07796265177297272	0.21100761186380662	0.19456513176892268	0.06005299653116069	0.15072695022363983	0.19241496129497632	0.1479190805458981	0.09254586681097363	0.156532410503295	0.16785242564554204	0.1573545345080392	0.1836372065366306	0.11419934828977461	0.005856052526100969	-0.017138123483513634	-0.09929993171148749	0.03275847957365337	-0.024334870540428218	-0.03737502206183232	0.03249287027981294	0.023386265919569528	0.00017707286256028848	-0.1766175323422763	0.069804652033588	0.1736325898019743	-0.007044970317577191	-0.016126278554597702	-0.12095341319028848	-0.05556293465909623	-0.0008853643128014423	-0.007007026132742844	-0.045140931891262115	-0.1803487105176538	0.11079701971629478	0.10440974860251295	-0.04113149636043272
NO2NO3	0.13433606453557645	0.04144455959098697	-0.02976145966676425	-0.20762873315498404	-0.0738481588931591	-0.0579810777403592	-0.10996214835718435	-0.008396449137859547	-0.038656425716964905	-0.24579732446487226	-0.02254720777817076	-0.03081546685285688	-0.12165593078667152	-0.10080368051046053	-0.12912656280161186	-0.39199453067907897	-0.2124785905450454	-0.13574615523048417	-0.14465892545612558	-0.1286387283945352	-0.23586259456893158	-0.2174566379982802	-0.09743513051706988	-0.05882143482116279	-0.13268383705467449	-0.160066658882554	-0.2235777135148114	-0.2100821485307199	-0.24991364982677458	-0.20982576840437306	-0.13985179808712203	-0.07721670888654973	-0.0786232387463693	-0.27403118587881986	-0.17458418353694477	-0.20403941138612805	-0.2138530728890716	-0.2429735822399687	0.10157638172458924	0.07652590687944849	0.010849864513595438	0.05359412891175744	0.12997404155259173	0.19091417325120424	0.16112778773882294	0.1607681433949197	-0.06567604236585305	-0.036601823871101904	0.02373652669761312	-0.03649143798336923	-0.060630339045943386	0.31919681813692435	0.20026136535760006	0.2911374376422962	0.18619962759449263	0.1750577746036688	0.3457464045541766	0.23600146713736947	0.2347053231652826	0.23371541101077667	0.12689748003642948	0.11187431679952131	0.1721058423155918	0.12642744980479356	0.232070305200051	0.13840253820624465	0.09736747465039503	0.03210448915476746	-0.02935552446671506	0.03582200098679688	0.11465888983845522	0.09864581444704115	0.11296393233649546	-0.1088226811289761	-0.09627429827833273	-0.09322978427796381	-0.02280714873960577	0.005804161193685777	0.0795561775394648	-0.06079769829508647	-0.06396684152354068	-0.011875385018982863	-0.13257345116694183	-0.20562398300035514	-0.18349339292749803	0.16750880421678915	0.2056773955266774	0.2708442384749249
PO4	0.09925706129590323	0.06860287809569637	-0.05997085192932182	-0.18501159555030738	-0.02529288569843516	0.013277734693416414	0.04425037372007372	0.02023880440570978	0.015180976573849692	-0.1801223619795093	0.016784495323506076	-0.011175926238843443	-0.06708552974613835	-0.09176772956561559	-0.06716420706796729	-0.3833046723331659	-0.17211226130949678	-0.08824223623985236	-0.09455140814270599	-0.08669116903808194	-0.18061690514529116	-0.19012187493005342	-0.07145024783807687	-0.034917744735508176	-0.05799642580532903	-0.09981529562697519	-0.17494089835620372	-0.09933199207859746	-0.18825609844096725	-0.1289408908602199	-0.043291259701587655	-0.015540644330781965	-0.024281320132063144	-0.20062717066378355	-0.09071495206876175	-0.13882800763672268	-0.15299741864420036	-0.1811976187111714	0.078699801063743	0.04712022269726248	0.04861883835114695	0.08394495585233865	0.2031523380405789	0.2232000689504184	0.20372930506732442	0.1765406705667254	-0.05256394405999782	-0.039409845158026875	0.0008204920705017479	-0.01097361312556904	-0.02093566068476606	0.2540715514204385	0.30644442198456606	0.24821571075288495	0.1312974639759532	0.11776496462137645	0.2971679910870212	0.19317905086397774	0.17940677300477945	0.2873108466235961	0.09751866713739725	0.1520008392343672	0.23703229143577206	0.07891335379442153	0.17527808687832774	0.02757827457060898	0.08144226771035158	-0.007095945121142971	-0.1045771468671931	-0.06532090981368938	0.07552273587750792	0.036472558476413314	-0.014959930764901732	-0.08108259995341931	-0.2107578124840426	-0.05771168883109098	-0.03369262643845762	-0.03825965764367054	0.02038491943196352	-0.1638661286739975	-0.11236994826739236	-0.09794577259875431	-0.1508019467112596	-0.14751248535098319	-0.11709058757712844	0.3137689059929264	0.10348690397899214	0.17843267282975456
NO2	0.09587263963598522	0.015699889934736838	0.03569142184300368	-0.1365297656093717	-0.12024388194028544	-0.047932932570973245	-0.21711914669400142	-0.042513337339996134	-0.018724701523025942	-0.13294944550990742	0.02613599800138715	0.055618596057902675	-0.07028876289875385	-0.01400287917803713	-0.10968583298093815	-0.22031332063325856	-0.027988822120977454	-0.09036836322952409	-0.049118469027749495	-0.11771022116980365	-0.16580235435068685	-0.1269370820505422	-0.023531205043498774	0.017386738950378466	-0.1372173767543019	-0.2205944621358655	-0.19574900524885477	-0.23605047028520837	-0.2803048525931559	-0.21228893244439306	-0.16459649441179444	-0.10713184872834018	-0.11479041423911472	-0.27851977341395284	-0.1700364131248877	-0.16017613705152872	-0.18779913649441524	-0.16435261262640047	-0.035115589849712366	0.09302735213972223	-0.170649504835392	-0.11258870367653026	-0.09834532996011854	0.10959776455843477	0.029628249678348033	0.07459734110738067	-0.08862393101455332	0.008373274631859648	-0.0009416546713822743	-0.05136421380158564	-0.0761724109713834	0.3249928025195816	0.26181387111446586	0.19234482199439729	0.18108222565502297	0.1307375732062649	0.22419510571744594	0.18260987406075463	0.19686679676524382	0.13832500652963287	0.021356592457069206	0.06102125505378299	0.09487678901229317	0.120230332952208	0.08995511909316208	-0.0007756795674336	0.04803793722857343	0.14029299704788142	-0.022277923646335317	0.08097891449185622	0.06863239910628648	0.07602337210253152	0.006679651122179298	-0.010327716162030771	-0.09020916261961413	-0.14563807284443261	0.07107121696022618	0.03981708871258501	0.017871115274147045	0.007187738175083403	-0.0025709204876947704	0.0772664917586369	-0.07533914820462066	-0.1412244899782056	-0.12059615563029896	0.21045643180691895	0.2943280552533092	0.17565585593000713
