	NagR	IscR	AgaR	SiaR	GulR	MetR	FUR	SahR_SamR	Irr	BirA	CcpA	NsrR	KdgR	NagC	RbkR	ArgR	NrtR	Phr	MntR	ThiR	CzrA	XylR	NadQ	AraR	Zur	NiaR	PhnF	HutC	ModE	PhrR	VanR	GguR	NrdR	NmlR	FruR	NifA	CueR	MerR	AcnR	RbsR	FadP	NnrR	BioQ	PaaR	FabR	HrcA	QorR	GntR	NtrC	LiuR	PurR	LexA	SdaR	NagQ	PhsR	SoxR	HisR	PsrA	TrpR	TyrR	HypR	HexR	NikR	LiuQ	NarP	Rex	ExuR_UxuR	CblR	LldR	NorR	CadR-PbrR	MetJ	FadR	ZntR	CsoR	PdxR	PhnR	FixJ	GlcC	TtrR	LtbR	RutR	DasR	FnrN_FixK	HcpR	PrpR	AmtR	PdhR
FluxAttenuation	0.22645362075189746	0.36034225783878576	0.12241524625446067	0.2340377265563835	0.24755299202848044	0.3474427958294462	0.3688338634831248	0.28482530687958707	0.07914695031861078	0.3823815396637879	0.3009010183284122	0.32426913920462774	0.3632916323183081	0.3559992228909177	0.3588513652447415	0.3731120770138605	0.3693848455287499	0.36322681090117576	0.3736630590594856	0.3506838666860642	0.32776949572977515	0.31457833734334	0.22979192373421398	0.3439424393042988	0.3609904720101093	0.19922862555630652	0.20049264319038754	0.28852012765613155	0.24356647487484034	0.28275102153135157	-0.017210086248641412	-0.28420950341682966	0.07564659379346339	-0.04518052774125448	-0.3846826999719867	-0.29205289488984515	-0.2503079022566057	-0.3082258384643688	-0.417028587121034	-0.34705386732665205	-0.3238477999932674	-0.39187787727367857	-0.2524470090219736	-0.2732546839214609	-0.17132300548082582	-0.23795942229289124	0.0014908925940442656	-0.25740584743259903	-0.30543851752767737	-0.2107668378058665	-0.39547546592452454	-0.0859856098260747	-0.1978349650879608	0.15278408018097103	-0.07678096859327968	0.04735204521518852	0.2868671815192564	0.27568548706392443	0.27944512925760123	0.2289492453114933	0.10212614269203218	0.29490503724366895	0.20551630301814539	0.19238996604884262	0.11962792531776922	0.3015492324997358	0.12432747805986527	0.11800738988946023	0.10300123182331904	-0.10851105227956959	-0.17391586216612018	-0.1431256890282495	-0.2439554033776345	-0.08303623534655236	0.07409087978228676	-0.08242043188379494	-0.26064691828921704	-0.1429312247768524	-0.37645037999617703	0.025377584807318693	-0.3529202055771306	-0.18389836040450352	-0.2110585341829621	-0.24214040369792844	-0.24995138446237772	-0.05555195448243198	-0.14273676052545534	0.1005056072637232
Temperature	0.5777333809234648	0.4594564527119422	0.7330541275940871	0.640990400081583	0.6391825931368231	0.6159105552748562	0.60616230398042	0.5985509732027386	0.6017679424839267	0.3634364092318675	0.3590999902656549	0.4994854703311068	0.5577617495862903	0.5257612489628287	0.4477845094121846	0.43285156050822554	0.4259865295205603	0.3992031743235789	0.45610505676050267	0.45801716025976796	0.45816085773486426	0.40449680389002973	0.378795815158693	0.4775345221595413	0.4996059907940908	0.27965846354951307	0.3442806087210461	0.2544627336822246	0.33250900426920565	0.31804423100991513	0.4056996908186584	0.3547682067018648	0.3468045853400763	-0.34220394843578344	-0.33747120256245045	-0.3798920878316051	-0.44110257682020665	-0.39737682576912914	-0.4558408388224224	-0.4382239919158582	-0.45069554213349033	-0.5317200587769028	-0.48795954220765675	-0.5113775952459313	-0.5114517616846906	-0.6535986946706779	-0.5927497670710282	-0.6663390982288128	-0.6097964594796297	-0.5915422447399771	-0.632880763543487	-0.14099271778279432	-0.38097908969967226	-0.24235969795717816	-0.2579485563039155	-0.2683063630169053	-0.1264120594629423	-0.17899606454334333	-0.1830844894799542	0.00838080757981004	0.09724147201839328	0.10728870676907816	-0.039600242895086936	0.011597776860998188	-0.10071107073160557	-0.011801734567586484	-0.006586906842317516	0.15390231352934905	0.14833055981755056	-0.019283274077439034	-0.12445360193945237	0.16471438967974006	-0.1543218174485818	-0.31627582498574613	-0.3487723136684111	-0.38905396071959986	-0.32741469700692066	-0.16367142413468624	-0.25838196643041567	-0.07331352471364802	0.07439820888050395	0.0602161951689836	-0.05927984387964641	-0.061076062318350166	-0.13643379950030363	-0.125846540367402	-0.14765379106387122	0.04166763237550468
Salinity	0.34247048407507497	0.27897937709462245	0.473492451247155	0.4350580120613171	0.40594304944583764	0.3797391195516639	0.3306687495074885	0.35531518418771524	0.37038951286555943	0.10915909164654129	0.10192786386750166	0.2710806513667484	0.26319119644371924	0.23730710931669532	0.23452355016200732	0.19854819196128512	0.17911658500632732	0.14792959750800766	0.18843374387547454	0.1954332015333911	0.2625862764275881	0.17610820883414993	0.21862411985296504	0.2700909929495529	0.23239821815130882	0.14781834784986858	0.2613949780050155	0.20988175088420302	0.18003671238718588	0.10596761707867669	0.3197894600219718	0.35821926380538727	0.24860822042265598	-0.144174921545814	-0.11811468912673653	-0.16810286885055925	-0.20100263754397837	-0.19347937941232368	-0.3314196846999272	-0.2704850021554621	-0.2167931358960928	-0.25518122105770613	-0.28198775326679987	-0.2450853145815854	-0.39612526711506457	-0.3774886316755589	-0.3592599116492298	-0.3864465468569654	-0.3257529052384683	-0.4086084058387529	-0.42771785232534965	-0.16369460114679857	-0.2739777778807867	-0.11140262641901257	-0.15083367712567966	-0.2196740385016525	-0.24370628236090316	-0.2874297157107694	-0.13505476727962137	-0.14235089069257548	-0.03940323829213233	-0.025935076553671006	-0.026785672898192656	-0.1059537108714093	-0.08632973471591936	-0.07393698633946906	-0.00820002688533405	0.13348800126082946	0.1501105543477757	-0.090476102182811	0.11548641595320097	0.22473358024576903	0.03087873323722599	-0.1385869439255369	-0.28471800529362956	-0.2769096699129935	-0.22007500081119544	-0.05317270118805364	0.013426443116659173	-0.016165965948333805	0.2896477557699172	0.1398431379820239	0.029643398491640053	0.020342463530971442	-0.044428014518080386	-0.07476904107430087	-0.01132197041686174	0.21156903736597893
NPP 8d VGPM (mgC/m2/day)	-0.07976943688875986	-0.45801559836183037	-0.35931499025920066	-0.20426616231679023	-0.3239636101028856	-0.46801615499457383	-0.3861253879109896	-0.3430246586756223	-0.04171537074078812	-0.2637499926777836	-0.3124849254335153	-0.34294425840584764	-0.4224601252130104	-0.40913223433882234	-0.3618939835281271	-0.29654711810971823	-0.3800706291333422	-0.3426288419628854	-0.4035042154545944	-0.39967592568609217	-0.14965582523137005	-0.2536071894139003	-0.25060145625155444	-0.2584064670558353	-0.3735891304622754	-0.11139766609089335	-0.17289768783239032	-0.1781669978207004	-0.17944721750095885	-0.1724523940305613	0.10492853669209952	0.023136723786699537	-0.05470310662746789	0.28092472722888345	0.4113277801672849	0.1989721137839341	0.2827430102530186	0.21892374996032882	0.24911714357879103	0.24292013817000382	0.36995874905014153	0.3422577637946945	0.21818777826008365	0.07710385871392224	0.3845173825154959	0.16313833200897096	0.13965526859862662	0.4103011305686235	0.38431328952299093	0.39422107661368666	0.40289193647707955	-0.2904119590622962	0.13831320255700305	-0.10410598008594314	0.06315750422608277	-0.08732087761144366	-0.15529621338787097	-0.11425496798596291	-0.07318898403950877	-0.12268462704003172	0.015795560692657206	-0.16558126328289405	0.04086807559008568	-0.2790755210240657	-0.334180629000407	-0.3138455453835484	-0.18635545606544518	-0.17660228487816232	-0.2339586004081948	0.244738421194139	0.11408798281027702	0.18265085901967318	0.3059910574901754	0.1556982147367444	-0.024324173924910257	0.26756591317401285	0.14020570121477638	0.1268963642489979	0.07999208378967436	0.0589828748339357	0.24379835650138884	0.09802029812761319	0.21212065021016324	0.2124113281085794	-0.11886870654380248	-0.014744172549449798	-0.11192336016249706	-0.040781490684174485
Density	-0.37674135601134845	-0.22342891777096996	-0.41591611775776316	-0.35658207219891375	-0.3602257424715169	-0.3238739408003811	-0.3856701169512031	-0.3740528226063209	-0.41206255321055696	-0.32449183181101027	-0.33387104001433887	-0.3518983640038394	-0.4082467224655266	-0.40145699643651406	-0.28864236138134014	-0.3311494895324074	-0.3262464536121861	-0.3374345259573184	-0.3348426854203663	-0.36019036703197704	-0.34659440643549994	-0.31396881772922697	-0.21878294337807147	-0.2976041393980987	-0.3458727474688873	-0.2432580308143662	-0.29009039603983744	-0.19074436999879724	-0.27457944498293724	-0.285442063284303	-0.18265282779471867	-0.23399909910547306	-0.19069720274607746	0.1846362107715855	0.266214332713084	0.2739261785327683	0.32237638052652806	0.2855835650424623	0.22503496272607854	0.2626060378800207	0.3048348792400412	0.38274574728257665	0.34589161436997523	0.4451833980703877	0.1770753001606045	0.44323067380778874	0.3945965195284218	0.45433148673538937	0.3815712826898541	0.29273883728005323	0.3234423604379951	0.013107779530827337	0.19037882379021892	0.16353829863002714	0.20793919197779365	0.09815033618459376	-0.046905474467186924	-0.051924070156571696	0.041592083448303514	-0.13055423880308378	-0.1679366449461468	-0.22212238487063202	-0.053754159562099224	-0.12734214889286666	0.06905993306966839	0.019241880747034947	0.1967770616216573	0.020461154229841304	0.0949429629996486	-0.01436242845317353	0.17659655254549872	-0.024975060315124416	0.29339917881813016	0.2799659452435363	0.21368416335906307	0.29068470342410674	0.23467359081936592	0.18836006537381228	0.34445301316202187	0.10764510415708582	0.19469462741407895	0.13711992038167742	0.13022170967140934	0.1494565153305363	0.20305266459602428	0.15796548772118493	0.2521962252047648	0.11853130608481144
Si	0.023056315306225445	-0.20619233025126324	-0.19450077370609245	-0.2274561353237172	-0.22247612730009625	-0.24726642189368433	-0.26338925883989295	-0.25788734987745965	-0.28369218087546805	-0.2978444759592449	-0.2651159217589545	-0.29738110596684136	-0.3122235784603561	-0.30470235184681693	-0.28441162375841034	-0.24839558140148868	-0.30121732174605576	-0.2867016470366572	-0.28630412435896363	-0.2613723799782208	-0.24397161736875198	-0.2559753389614367	-0.23288975818200683	-0.22572703361522198	-0.22470274205306684	-0.26625483642449366	-0.24063779221288034	-0.22817313941722578	-0.2298827308102514	-0.21571092541100492	-0.07837049845203667	-0.11367441429431714	-0.08281885037911042	0.1997758752511914	0.2137964757055483	0.2842628576029545	0.2544364628287703	0.30093686096117994	0.32548571540083143	0.22930717650389756	0.23800389962448143	0.21156498337371032	0.13873053693617882	0.21836188952543978	0.059664983495536866	0.17546358338660906	0.09536398322607717	0.23660891206840348	0.14884419671774396	0.214520796167358	0.20307067977612378	-0.05141212005188688	-0.05638237291777301	0.0060652693216186465	0.06609363244277722	0.0033557742607749326	-0.07773397440984026	-0.13280427861228122	-0.17870473454399996	-0.21431593785492697	-0.13545524272671605	-0.12125661064369887	0.03962545071880168	-0.04901479003855712	-0.17716829720076727	-0.16439635693646615	0.07127605998939548	0.08278714611647228	0.013562108040820784	0.2526317586478303	0.01092333787355445	-0.047583220640973624	0.2474200656280076	0.26734009772249134	0.35969949236624676	0.2881063897504699	0.2568972013673763	0.24421549631212222	0.2548632509796683	0.2332921584385678	0.141698543676995	0.12081762854563238	0.24106701915321202	0.2520098673422361	0.13210922362367594	0.07467085488110965	0.019451784523212837	0.11668388045550629
NO2NO3	-0.2600576576253885	-0.2973580257218877	-0.34241423688719164	-0.34884086312137486	-0.31418147181261336	-0.3844504075520703	-0.3571603140787808	-0.382380520173579	-0.3815201452993868	-0.3209347911149681	-0.34793310528309673	-0.40348339607333	-0.4055458019311762	-0.3848569035071234	-0.40495226795999434	-0.3108472074450918	-0.3686220037071495	-0.36389368265941513	-0.35047183462201736	-0.33648139101558827	-0.309303520351976	-0.3148822409130423	-0.326994822837539	-0.29085409044103794	-0.3323565792998959	-0.31521641550185897	-0.36951230466392226	-0.310056660096921	-0.3459280577501967	-0.237378674709726	-0.22870011076135285	-0.19758945407860717	-0.26545682169097123	0.3339227109549472	0.2914900196958756	0.3484842439706227	0.30876983854595536	0.3636393109574801	0.45815585510786583	0.4089349307834288	0.3583024928972736	0.3344040221164518	0.26550919233548725	0.3781559548492847	0.22165501215383732	0.31522389702250414	0.17519476894746036	0.4141271061111624	0.29454497395931156	0.4001990085101095	0.3410625754906346	-0.054048998980773345	0.098339601200057	0.03665196964058626	0.06533113211365844	0.10076860156951546	-0.009910521014607728	-0.028287629559309375	-0.16685536726833397	-0.2426955420482121	-0.008763354515684841	-0.1505705906640591	0.06634612508118369	-0.1126342933127222	-0.17091533913843499	-0.09034933715103759	-0.018399553106637094	-0.0897333586179203	-0.05464752063238529	0.06313655272441465	-0.05959280577882895	-0.0382580027390783	0.3306233603504364	0.26407523421183365	0.21042275582525322	0.31194200329949867	0.22366754120738247	0.20134268360225704	0.2727986872840777	0.1650822468754336	0.10016758607768847	0.14548066278514252	0.13304637547290446	0.2054400630755838	0.04968976628486638	0.015222400672663707	0.038562251245314365	0.09775853642995042
PO4	-0.12598672213508427	-0.24504375372132906	-0.29707381893896817	-0.3231424119090412	-0.28581849159556416	-0.34512766495688674	-0.28202080693335513	-0.32585103589243003	-0.34660185013805317	-0.2529145763321935	-0.1886217388809069	-0.34136568720217997	-0.34065154905213396	-0.32179320090413277	-0.32831226201669583	-0.2574391516114137	-0.3078675069782353	-0.2937836824619704	-0.2878945932174837	-0.28247479475731296	-0.26215246340171744	-0.24922146189909833	-0.26049209220286046	-0.23186790485297987	-0.25611034455364945	-0.21884508558821195	-0.33244916230017674	-0.27996510925857976	-0.2668173158175538	-0.2039425526927872	-0.23430362604331542	-0.2717372175726923	-0.27930963245657325	0.24216169618721473	0.2577987711798297	0.2371091687756391	0.25380979951314403	0.28972584747367314	0.3887946623388083	0.31896725422466493	0.26691678505988164	0.25692650243941634	0.21893690335036073	0.27545838743311074	0.1789655708949274	0.2852293276217762	0.22976629829713013	0.3954157431870921	0.24158273418699885	0.33697628807278995	0.3084617719388093	-0.050313583164135624	0.0905731213729804	0.04024678574187966	0.04753609585913518	0.12097245212440395	0.04788296296058611	-0.008567107307159302	-0.15529954270108065	-0.17608606385420608	0.04483512335592539	-0.0926823794090092	0.05105832723489791	-0.06827670813118622	-0.14049902954137675	-0.06500952609472566	0.02399759233493953	-0.057291733087442516	0.012765219432072733	0.191123772899461	-0.10006605778180651	-0.04154753737232064	0.27677699251730287	0.16284645265103134	0.2685720552719526	0.3239024589401616	0.2565668828710003	0.17121462147353497	0.21285142611461136	0.1784580227097161	-0.025142763868406193	0.038497147274266896	0.11658050250162089	0.23721883999153903	0.013749709881779041	-0.0026576141155284293	0.05773551893782826	0.11106378529251533
NO3	-0.25976523569239995	-0.26467519616493995	-0.34111006159803864	-0.4250861227312693	-0.42977891187521616	-0.36948082037975377	-0.4473571998490212	-0.49410254147604954	-0.5030097133589265	-0.4923179596889148	-0.3941974355020978	-0.5308170856505233	-0.5155804711328527	-0.499135250960403	-0.48236584750034334	-0.4849719034434607	-0.5022669244669269	-0.4990439760541827	-0.4714065639327893	-0.4855825010919689	-0.5066260880915858	-0.43964289656812666	-0.3292002600415698	-0.3771069961649874	-0.4270501069202853	-0.3903827739042013	-0.6070379271655882	-0.447423295470767	-0.515986487095005	-0.4038348066347372	-0.04999661673480636	-0.27505850360013834	-0.3422053604726822	0.2315990585970407	0.4966708284924551	0.4272106248588106	0.43081440994923265	0.46100122462367565	0.4700689144450781	0.39952285416846806	0.41646851261984974	0.4178911421926626	0.43359672088367196	0.5623761713288301	0.0073114347293015535	0.4042093484912963	0.3169946018925249	0.5137581204190061	0.3511975124406609	0.34568954396185003	0.28723898246470875	-0.03282119731259432	-0.046707572700316426	-0.016454662404127646	0.2571119685908928	0.05858590015119205	-0.20808475430835713	-0.21043272258561024	-0.32409516011435197	-0.3965454037793509	-0.1624032374503792	-0.32061412403574346	-0.11837096372548521	-0.09220024492473514	-0.15077985025480853	-0.04828127797997668	0.30986886438622324	0.16786084736024098	0.23325459655124328	0.10616215816588094	0.009269124097198914	-0.10614642111308434	0.5594018683502723	0.31338766939154356	0.3846261599912041	0.5467555727229224	0.4668648504956898	0.39185890945652263	0.5248558900511703	0.34157902577137744	0.21490834040096402	0.3236104588882166	0.3800120561112402	0.3811419765020363	0.29979400318583826	0.25491192860992773	0.3038636050390397	0.08802048370195749
Fluorescence	-0.4565745988635983	-0.4907890253210848	-0.6922830498355859	-0.6793383741768135	-0.6325411135617351	-0.6438180535797283	-0.640633576308061	-0.6528300834493549	-0.6485342358526333	-0.46582196173963175	-0.3103906323866848	-0.6057607615551935	-0.6338687726036606	-0.6001372549165465	-0.5670940522655126	-0.5283606879624564	-0.538512654591441	-0.5075071909207393	-0.5495977914076806	-0.5464337187319445	-0.5239777807564282	-0.4483583482352897	-0.49820677609528463	-0.5309112624538601	-0.5410196992781915	-0.30075966310714425	-0.4841548110306442	-0.3774496567614746	-0.4113688967311559	-0.41411535534349947	-0.3046868676707083	-0.3508529461183139	-0.4561461023490425	0.3395583221171804	0.5042887059891866	0.42562762836789947	0.48958651446753765	0.44469368280604077	0.5273975910345023	0.47916112625307455	0.4746748357609948	0.5556919640591412	0.5704812151900968	0.5417801105532286	0.4419499448064881	0.6289172573243488	0.5233207527674425	0.7030566764872753	0.5994924696851196	0.6031380908248327	0.6276943418748704	0.09697896354195004	0.22077092644393173	0.16753669596574802	0.1839447117072478	0.19222897765532718	-0.018011816981694444	0.05708117696441827	-0.047579436792442156	-0.16261782803992617	-0.09430324086216807	-0.1802732447460218	-0.0029328205885154612	0.019403410424204334	-0.03537068689358953	-0.1744198463265496	0.042437478617772195	0.013287472870416988	-0.14275327374767605	0.08877631597759557	0.016565811283367943	-0.13271013163032463	0.4019215688149964	0.2805917604887165	0.40958689535316184	0.5239628173860786	0.4753441065075391	0.2966134492139183	0.362958312731115	0.17471775342714557	0.025464935722175064	0.07720010855261107	0.2246178729301663	0.35413672575684657	0.30094602508331614	0.23668923188308197	0.1546872417546548	-0.00762179673351212
