	NorR	LldR	NrdR	NikR	PdhR	HypR	HrcA	GntR	NnrR	LiuR	FabR	NtrC	FruR	MerR	PaaR	CueR	FadP	NifA	PrpR	SdaR	FadR	MetJ	PhsR	RbsR	AcnR	FixJ	PsrA	SoxR	HexR	HisR	NagQ	PdxR	CsoR	LexA	NmlR	PurR	PhnF	MetR	SahR_SamR	ThiR	FUR	KdgR	NagC	AraR	CzrA	XylR	NsrR	RbkR	Zur	MntR	ArgR	NrtR	NadQ	BirA	IscR	Phr	GguR	AgaR	SiaR	GulR	Irr	ExuR_UxuR	RutR	DasR	LtbR	NagR	CblR	Rex	VanR	FnrN_FixK	HcpR	TtrR	CcpA	PhrR	HutC	ModE	LiuQ	GlcC	TyrR	ZntR	AmtR	BioQ	PhnR	QorR	CadR-PbrR	NarP	NiaR	TrpR
Temperature	-0.07010311849274929	-0.07107569919824437	-0.08816319405478872	-0.21670843776106935	-0.02585319018940386	-0.2631578947368421	-0.5477649347248719	-0.40889038516689735	-0.46199329168692876	-0.48919063828726045	-0.6241449394630856	-0.5967381139415704	-0.13511639796007432	-0.1568174166760184	-0.20643399543635207	-0.13354031845783612	-0.08391376451077943	-0.28552226336986747	-0.37838127657452086	-0.2463098043616504	-0.07310066210301874	-0.23110761979575806	-0.3011384181847654	-0.17860821207246974	-0.12637813439070314	-0.13588947493110887	-0.31224080100749385	-0.294769261462113	-0.291931320839412	-0.43305028741006746	-0.2804249429544009	-0.25047444481851394	-0.45128492873975984	-0.47243232459257595	-0.38723924238456836	-0.39643137694983727	0.4948864699061086	0.48888639509220816	0.47385378870060724	0.41154378483522236	0.482607015050063	0.545335976757815	0.4628661205251936	0.2776867541989302	0.2755919649870946	0.41321961620469083	0.3124901806755695	0.36870534545318523	0.3704061147894612	0.33675980997269295	0.33440067831269715	0.31504881607002583	0.3065349942019227	0.16257808700856619	0.21534682477337622	0.1618997743114004	0.48203842940685043	0.6513771992169478	0.4363420990286662	0.4565318769560718	0.4844723749672689	0.2696417661068093	0.19147620294517387	0.3239317198468809	0.30153742565368646	0.3339567825035225	0.10049751243781095	-0.013379219192259255	0.22805521265851195	0.19096746842229953	0.24560156610431552	0.13236823401788053	0.1685282858888515	0.2526739734909413	0.07830770957243856	0.17453833588947493	0.0897741867105575	-0.10975448571677951	-0.03814262023217247	0.0145263656654073	-0.019648624047681394	0.027254703923989078	-0.13035324629982917	-0.30241025449195125	-0.20565094327859448	-0.13109639771069465	-0.2479307722041422	-0.2727240988042245
FluxAttenuation	-0.15848836488861867	0.12510533506545357	-0.1665586313215974	0.21980942549583063	0.17433720137748052	0.1415051535999405	-0.17832371853112064	-0.19426978714568102	-0.3301354774551063	0.012996694135038053	-0.25153950918212054	-0.21209567685707986	-0.30213262525392703	-0.27656057619521124	-0.2817462895658	-0.23329228025936138	-0.2643417390657615	-0.2179296043989922	-0.0590199002990132	-0.23773254733292798	-0.12860569159060098	-0.05863097179621905	-0.14912167011299274	-0.1437414924910069	-0.35794386540488843	-0.08465677077486133	0.2587670971923786	0.054287936848350975	0.18577818150134195	0.012802229883640976	-0.003532767233713586	0.27066182723616655	0.11389122990155541	0.12403578168276966	-0.057399364870704225	0.0010047319655515701	0.10740908818831947	0.31707396190293585	0.19119076983189395	0.32485253195881897	0.31989369354819347	0.41057885611636424	0.3409930648247765	0.251085759262194	0.1951124655684017	0.26861995259649724	0.29283075189543345	0.36287029310694774	0.3387567259337101	0.26268879292888636	0.37418163039654445	0.29364101960958794	0.27270370187583587	0.37901082597290525	0.1815323786791724	0.22091138958708073	-0.14850586665023532	0.08219355692383168	0.11586828312409238	0.07963311094710349	0.1568354187517435	-0.04320347451871752	-0.2696246845620488	-0.20441433892689528	-0.09924158962964219	-0.006579373838934476	0.2375704937900971	0.3454009211897769	0.1600116681912291	-0.08517534211192021	-0.08070266432978741	0.047935437969379754	0.2110909448915283	0.21381344441108738	0.12403578168276966	0.0821611462152655	0.3281908349411355	-0.23731120812156764	0.17112854122942875	0.11369676565015834	-0.16454916739049427	-0.1879172882667098	-0.23381085159642026	-0.10585337417714286	-0.12497569223118886	0.09097685894526637	-0.004861606284926953	0.28453361050249143
Ammonium.5m	0.19993740225191736	0.11875936032424071	-0.01027008223220192	0.06290487715950195	0.15906905899327414	0.04860706719417567	-0.13035372950770518	-0.08101094734060588	-0.18667707509586648	-0.0697258278406754	-0.14030708020919083	-0.1277151314014231	-0.01768209884077504	-0.2048953729847045	-0.12317115621272182	-0.1366584327333017	-0.17431456960168848	-0.13847652159859436	-0.14264640442818194	0.015225559015928296	0.1973337194324859	0.09153541237700512	-0.09920929363695784	-0.15544036310987108	-0.018043721454584966	-0.021263409692023692	-0.10465109048753204	-0.24292809616126576	-0.017130936098347496	-0.037219695782754116	-0.04840755126931502	-0.1063918669319412	-0.28258188622731983	-0.13616213687021084	-0.16427393068307633	-0.21341969087437573	-0.009125359613313944	0.08011312567873295	0.10044130447297235	0.10935467841612186	0.18277903271390153	0.1821854728374411	0.09316396111368017	0.08545017666875532	0.2174000335753457	0.20076788728914982	0.1304609693173178	0.10278811053914573	0.09501945921488421	0.16472284151401279	0.1713492641684471	0.1537469716976163	0.12320357755051167	0.08196363588181547	-0.026735133931327	0.012449793711304512	0.1616303446786727	0.22754292440544896	0.17984614861845	0.2125243631615636	0.19514403215714027	0.028199082029992013	-0.11178877269942178	0.07365379761136943	0.21016758129914717	0.018058685148949514	0.02312140174228849	0.0476768241945129	0.10119198314026054	0.11694127145894805	0.09875539490789986	0.04454941207232222	0.05385682996707151	0.10641680642254879	0.03057332153583374	0.1819061505426362	-0.06522674373506776	-0.20017682136175016	0.06444114978092895	-0.10164338792025776	-0.04423766843972746	-0.24344933151496423	-0.31461915586181854	-0.17467369826643767	-0.15797920325372283	-0.05312360894320862	-0.20993065613837514	-0.06704483260036043
Salinity	-0.07248718811955261	-0.047614060025686106	-0.06469656728886894	-0.06009301861619222	0.0014987718051347274	-0.402715744585344	-0.16323146173892442	-0.19617451589171936	-0.2989588398857841	-0.415922891806631	-0.3491839050362224	-0.31563735208668436	0.024551428322048905	-0.12929088891382687	-0.09566453447050462	-0.03308520056359805	-0.016346837242359632	-0.19322684821506503	-0.2521153630344518	-0.09371937305951446	0.09466202820484046	-0.11810371700395267	-0.13485704310527563	-0.1970273943565381	-0.1540692527338246	-0.21975585730495392	-0.389149490642028	-0.3109041259866083	-0.40648137757328645	-0.3676429880671829	-0.22587563435953067	-0.2639409468945997	-0.27688375166772655	-0.45675631865733984	-0.310784423745932	-0.44739959351114106	0.413658524420504	0.31280439905734486	0.387663187820297	0.16359056846095338	0.20567089365204055	0.22126709809349243	0.2503048666442225	0.38018179777802713	0.314729610094889	0.1915909175924887	0.27816556316163543	0.20759111709622313	0.19241387049713837	0.16309180912480206	0.1440491776705445	0.143091559745134	0.2186535991720595	0.08032768488385142	0.18357585506053692	0.16986496090973702	0.38767316300702004	0.3538074040823452	0.2953627850721331	0.26385117021409243	0.21860372323844438	0.3569146747465679	0.2178605718275789	0.3646304816768289	0.3273931096397711	0.08779411214603673	0.10441776081996035	-0.06010299380291525	0.1144976870035786	0.07954962031945535	0.05567899849125301	0.12935074003416502	-0.026002817990249255	0.07255202683325228	0.14712153518123666	0.19967580643150165	-0.2414518884275365	0.12163493310390404	0.005743213755782491	-0.1447574159278794	0.04884599558597987	0.010960236411925336	-0.0016084988590880185	0.05030237284754174	0.16156061796281748	0.13679721692290428	-0.0318981533435579	-0.00016209678424918017
Brunt.Väisälä	-0.052710116099097946	0.018034515565963017	0.020509056112092045	-0.08873910612186332	-0.1699051037978064	-0.22110967419246338	-0.2825754461613598	-0.29431282995998914	-0.29346395844578305	-0.3636533533971495	-0.3141011461071892	-0.416918706209942	0.022604540824833458	-0.08205491029930982	-0.11015843011554112	-0.1580742907444689	-0.10878635477496905	-0.1548950266771122	-0.31009436578384547	-0.11775556322695775	-0.07682287203564975	-0.19071046411768736	-0.21590699940885447	-0.18293181131140906	-0.07155346207010638	-0.08566394893832434	-0.24418936951267006	-0.2157628514158761	-0.2115905678413349	-0.24776103644980127	-0.12123380090938075	-0.33173791998882296	-0.25677295541822803	-0.39146323841286923	-0.12444776727134338	-0.2810218511259261	0.34708701183374413	0.35642993730456574	0.34652376689821746	0.2907918817611281	0.3158229138010978	0.3052520609826825	0.3138395441940062	0.3217783614369272	0.32967179875613273	0.2323185153501719	0.254058168217135	0.23412570407695654	0.29922987816491864	0.32719191939544895	0.23069551572552632	0.27832041096121996	0.14171082413414426	0.16179010567457852	0.20041109016367753	0.27087810347189123	0.4351187250271024	0.33590753415608676	0.42079468557669425	0.28537565439532897	0.3170161388540855	0.06731177390635339	0.020800021505326203	0.05146617230783999	0.08379269443688264	0.20626776973024397	0.013005352255383632	0.04342057877382392	0.16810058447829915	-0.0010731017255057923	0.06250417139979633	0.09542063253713944	-0.07161218903020869	0.19565687580266805	0.16619996649680632	0.21763944473187252	-0.1517024155733686	-0.06492532380037781	-0.09811139507273604	-0.02282343222157842	-0.10141078246757475	-0.06564873317254714	-0.06981834733981095	-0.15830652917760077	0.12282743705397518	-0.011382352630738056	-0.08006620187766351	-0.0352868947996544
Residence.time	0.04112037105591388	-0.039315773592950756	-0.04069779226856317	-0.049205180308246485	0.0038430750094914346	-0.0290622581111956	-0.005249013239104829	-0.13528102424489868	-0.20423046751684634	-0.13759324779832716	-0.06784914378790237	-0.23682218870729824	-0.0955745646032652	-0.034494654597641304	-0.27784953927543055	-0.3216302962818983	-0.08419417235524146	-0.1654488972965842	-0.012302623941172788	0.06839397807348034	-0.05864011549752352	0.04575013361921546	-0.08097832120622028	-0.1233823749935203	-0.0848453157697127	-0.1782750936975563	-0.05378976149176842	-0.03813308453401321	-0.19792367844525355	-0.034460104130751	-0.005924076207577045	-0.3700301849387783	-0.17418219223516573	-0.24979721788872092	-0.11427965583203471	-0.03713909417886121	0.1705357891141268	0.19709180951166377	0.16741030072466492	0.19671706983231502	0.1297662381835607	0.16961887287742244	0.1952765811358113	0.17568380868078307	0.21516967687996302	0.11067046090610845	0.20567892939801702	0.19428524850888163	0.21458763439927242	0.14421364880015505	0.1156005467585335	0.12238041145370131	0.05888462649397803	0.08081619978465805	0.14391066778280925	0.15677141465067168	0.10044618043479894	0.15585981387041195	0.04021142800387649	0.12239104236659062	0.08672964507934577	0.035430174931902016	0.01847386887342667	0.014513853822152645	0.10314643230868781	0.046869037200817046	0.1467358328831477	-0.07715385029428516	0.13886629961682398	-0.1165015166259039	-0.020480453681286995	-0.1552485363792757	0.030096114389682575	0.10497229159742959	0.15683520012800764	0.08891695540632465	-0.04147384890948398	-0.09896582581496027	-0.10325008370935874	-0.07883619225902104	-0.02534675405637608	0.10972962511540309	-0.15556480603773315	-0.021894365095567383	0.25517911753894235	0.022813939060494105	0.17985909971806593	0.06906638331373023
Nitracline	0.05543870449945571	-0.0034707539617291738	-0.044037936739092155	0.005931035251056183	-0.09692300106100979	-0.2184872569104354	-0.08093666437969076	-0.2352424314946691	-0.1985908303228645	-0.24002020989135325	-0.13367894451963852	-0.22705430782862768	-0.0683057559746637	-0.10910359012290109	-0.07871801785985123	-0.11467217321972607	-0.028886338352366224	-0.12412338772627023	-0.2628656790065326	0.027178419868034303	-0.2478623565010831	-0.19192939906403939	-0.14396489732077578	-0.2858539323036819	-0.1112508445517557	-0.06957983021377948	-0.053609968630380055	-0.012740742391157725	-0.11455135583498233	-0.08595058584655585	-0.11764867424386723	-0.21452225001111822	-0.03569055379316123	-0.10355697382330226	0.03449336334433693	-0.13199848453183927	0.26355763311915587	0.2192560948133501	0.20188584990678463	0.1900127960060592	0.1856029614629128	0.233995815752086	0.252195307253938	0.27170182319074504	0.31360348889959566	0.09883411241968344	0.20076005154894525	0.1743449778845191	0.14661189638652491	0.19231381801549674	0.13731994115987023	0.222682915180627	0.17605289636885102	0.24735712016488204	0.13024114075374854	0.2842174059103349	0.28724882392754136	0.12353577590047114	0.288500931369431	0.05710818108864189	0.23748853651104132	0.11809899358700297	0.15919887119709972	-0.10921342410903177	-0.01738672000448507	-0.03275249466416581	0.1071375617711621	0.13126259682476377	-0.0226038343456919	-0.29748535143491983	-0.0758788093183734	0.09418264310704957	-0.08857012641577233	0.08826808295391299	0.22128253185746097	0.233501562814498	-0.1268747290788435	0.14257000569691627	-0.07701559107482583	-0.14816055559096736	-0.1762945311383385	-0.15451994338793315	0.027809965288285658	-0.047371398218157994	0.07236961346149849	0.20223182696309625	-0.0015212007079097802	0.08352874645237457
Depth.Min.O2	-0.13430768882132346	0.056927690174457854	0.10291963286968482	0.07259024425643325	-0.031920250883908916	-0.0018512372106390346	-0.2564178131465817	-0.18451999455471516	-0.30361148633403184	-0.20478345966405928	-0.1666485453775105	-0.2842378740415482	-0.05415512625311439	-0.15645100377207385	-0.20190216774580036	-0.22558198096875037	-0.12737484838642643	-0.14545230850515506	-0.24145054599224974	0.04134239019555396	-0.24634616711652083	0.023453773439888977	-0.29091033953646356	-0.2946242590100485	-0.17242543552941192	-0.039073408575713536	-0.03743390483275192	-0.13576121046429818	0.0015508045875832408	-0.06197495824179519	-0.1436897704498944	-0.2231613524058437	-0.16388456524539718	-0.19410808712481006	-0.09088229910591601	-0.25001430638087824	0.2779888754819877	0.31564023630857047	0.3240466272279793	0.2920004807686946	0.27905326534652825	0.3205358574328416	0.30256712531102836	0.16479158564071802	0.35679950566721425	0.2504921373146908	0.23923020584471358	0.2279968870055036	0.25152219202231063	0.3079033809491146	0.2744237416883923	0.27394877201765644	0.10537745785258888	0.24587691997193842	0.15468274319065975	0.29942831971586453	0.28533946032608615	0.22309554335507908	0.24050919044000824	0.1392347838394385	0.288755808439692	0.06511376383695906	-0.07897944470675312	-0.09604687895939894	-0.07990077141745756	0.09960056770068748	-0.19129260425731576	0.18779327951448493	-0.052152242099409094	-0.039448234038764095	0.007087348641040014	-0.03789170692502741	0.07208093942877676	0.13815608765951434	0.034475358811421525	0.19819397079836887	-0.05383180352544482	-0.14428491316985256	-0.029880170310206244	0.12565522927731662	-0.07426408315631552	-0.13421612840286837	-0.056461304292952194	-0.04168288050168386	0.027931650154958666	0.005124522170408827	-0.023954494478315297	0.027548240902677937
Depth.Max.O2	-0.17767661159252018	0.024989195794438826	0.08731088407200077	0.13549959850849155	-0.020966024611295406	-0.15043374827285347	-0.014167556974450614	-0.21204648231613654	-0.19968589406076254	-0.2442549072035369	-0.2195164391260991	-0.25532150988496294	-0.05449149049489671	-0.139522769691635	-0.2882734721400216	-0.3362950347651783	-0.22776451643709947	-0.26100467147032025	-0.23532957686385553	0.03680509969908641	-0.12990289475658287	-0.05379406397174434	-0.1790685827110433	0.04300700828513558	-0.2755872260453243	-0.1844116768181693	-0.08080925499666299	0.03931525879687862	-0.09592784813904864	-0.16105941600369142	-0.06481743773644605	-0.2825067346489972	-0.053324309743340056	-0.1085362821836421	-0.07701375610826765	-0.09042624800393347	0.3448774156988467	0.31937811868706095	0.34608206151156445	0.33780804685052956	0.2553042183182732	0.25524081590707753	0.2783769321379338	0.2650336065090269	0.27578896099003786	0.2667656451057813	0.2970431783794954	0.23108737916930888	0.3469235844237979	0.2576385798213865	0.25444540383935005	0.23161765388112723	0.1841955322345477	0.14191476975038073	0.2750252501279082	0.3174184077955584	0.1729704235251325	0.20883313283962873	0.1941093638033252	0.09280383842377109	0.05805643516076233	0.10806652795523783	0.09779245541375767	0.03346206347240563	0.05463558688397777	0.0022738410196992544	-0.011248164131668174	0.13462061053509705	-0.004011643472016936	0.07601949102360828	0.06706245947832909	-0.09394508182529315	0.11094269188129594	0.0104556339917223	0.08802560216184287	0.2073057111153694	-0.18693912748265126	0.08223292732078394	-0.01508689193678783	-0.1121242822717607	0.08027321642928141	0.028957610349731443	-0.14249980109004987	-0.12560017657862219	0.12366928496493587	0.157736553271482	0.036640829815533994	0.061215028009419345
Mean Flux at 150m	0.4373820602979784	-0.05270807206259905	0.12139148373412016	-0.12228225835648118	0.10656477455929521	0.16469953938706736	0.050539739100272874	0.28089874473031995	0.05155944162850194	0.17710005978783003	0.060432025695966354	0.12353637525901578	0.27718327689757727	0.119012177834919	0.05087963994301589	0.10759619780623955	0.17370105136039982	0.1931222822716132	0.10153658623044154	-0.05355196381009897	0.1850935899516487	0.11074907114064897	0.0325601565910385	-0.03728360623329499	0.09530116387391437	0.02146063596767153	-0.12504834797328648	-0.13904288611932678	-0.03472848955336468	0.16669206156866437	0.0847993999050265	0.057853467578605496	-0.26655258502282136	-0.08869067851849834	-0.1187660427418982	0.04705868564183571	-0.35540735360333353	-0.2841922666893127	-0.35006270586916743	-0.3650183429498604	-0.21845075541532602	-0.14483292116467344	-0.22711236654591546	-0.15016584818012432	-0.1479740737803676	-0.1188129256167593	-0.1496149744005063	-0.15651847772380426	-0.35927519077937486	-0.3490664447783689	-0.2541872267782045	-0.2446113995878235	0.07173079853749303	-0.12216505116932842	-0.21101981974984063	-0.20336619042876497	0.10637724305985079	0.03789308360648938	-0.019386068755067563	-0.19795121838230717	0.13434287791450084	0.007442656384200667	0.031200553220066415	0.20147915471560543	0.09652011862030313	0.04204221803169731	-0.01726461866760249	-0.052555702719300455	0.21215672946522246	-0.023839941866872685	0.006551881761839642	-0.09826650570887935	-0.034869138177948004	-0.1860078060114403	0.015682321641040144	-0.19764647969570998	-0.06407716921641739	-0.27326855684667484	-0.03334544474496204	0.07689963549093004	-0.057150224455688896	-0.00781771938308952	-0.07209414081766662	-0.1287520950873139	-0.038736975353989296	-0.14633317316022884	-0.03615841723662844	-0.09777423552283773
