	AmtR	DasR	HypR	TtrR	FadR	AraR	NorR	MerR	SdaR	Irr	QorR	VanR	CsoR	GulR	NifA	CueR	NiaR	HexR	RbsR	NrdR	HrcA	LiuR	PdxR	FadP	MetJ	NnrR	LiuQ	FruR	FixJ	LtbR	HcpR	FnrN_FixK	NtrC	NmlR	PaaR	BioQ	ZntR	PurR	GntR	PhsR	PhrR	CadR-PbrR	NikR	SiaR	CcpA	NadQ	PsrA	HisR	Rex	RbkR	Phr	RutR	CzrA	IscR	NrtR	ArgR	BirA	ThiR	MntR	NsrR	ExuR_UxuR	TyrR	NagQ	HutC	TrpR	SahR_SamR	Zur	MetR	NagC	XylR	GlcC	KdgR	FabR	PhnR	PdhR	SoxR	AgaR	NagR	FUR	LldR	LexA	ModE	AcnR	PrpR	CblR	PhnF	GguR	NarP
Alkalinity.total	0.2810892269752243	-0.013333106120206457	-0.16635613943826827	-0.06122972579817888	-0.11486983734331717	-0.3651561704357056	-0.32837047252457185	-0.05760585592960995	-0.17644143765739878	-0.011076734315248441	0.0027008086756315644	0.07876788846398891	-0.21189382495651185	0.01346985592656755	-0.1605100852163316	-0.19746672038541666	0.043110376455334214	0.10245979241604808	0.09644280093616005	0.18156955539593972	0.04752055771047942	-0.002085434547006651	0.0937078048089382	0.23640622774673756	0.03387976452596051	0.04769149496843079	0.06799884121305293	0.1126818404415397	0.25869644618359555	0.12994650349462755	0.2447137784831739	0.10109229435243716	0.06861421534167784	-0.21356901008443524	-0.07767389001310018	-0.21719287995300415	-0.13958736484308454	-0.16943301008139283	-0.033469515106877235	-0.11664758482601137	-0.06912702711553194	-0.05199911386880518	0.04543512316347277	0.05357173664195774	0.09955385903087488	0.14727954145089595	0.08307550736436331	-0.09668211309729195	0.027794398142891922	0.026700399692003187	-0.19421891248434073	-0.23493616732835584	-0.0475547451620697	-0.1484761022565555	-0.07230646011342733	-0.03517888768639088	-0.0931949930350841	-0.024512402790225717	-0.03736688458816835	-0.03866600774859873	0.0311105809471484	0.13261312471866885	0.0445120619705354	0.11842533230870556	-0.08454556778274505	-0.07763970256150991	-0.06003316499251933	-0.013777542990880007	-0.01599972734424775	0.114596337730595	0.13565580791020312	0.0285807095294682	-0.029435395819225024	-0.030255894657391577	-0.1568178404445821	-0.1429377350989313	0.07165689853321214	0.012239107669317722	-0.06533221998901165	-0.08478487994387696	-0.0197261595675875	-0.0951094903241394	-0.17145006972521892	-0.17927899613939144	-0.11210065376450506	-0.16635613943826827	-0.09240868164850784	-0.0870070642972447
Si	0.08286653853030851	0.126715753862677	-0.0977737900728126	-0.060254600381628914	-0.1029596368269692	-0.11140515868373849	-0.02175586185910454	0.12928398273140215	0.1155785305954169	-0.009515617218738118	-0.002625849388215796	0.0253694915814454	-0.08980569537753709	-0.07726088513414878	-0.11450020373066369	0.061201223201832106	0.15673604451729456	0.21489984319169209	0.03327173425444591	0.1337454572405337	-0.019442809576695013	0.004016973358775261	-0.009350987163050608	0.054196214332328525	-0.017697730986407402	0.09676131523033442	0.06334141392576974	-0.012182624120875792	0.07940930736087079	0.07595207619143306	-0.05256637678102217	-0.02951816898477067	0.11090303701389158	-0.06819800056855131	-0.09749391897814384	-0.05945614461154449	-0.05201486609446901	-0.17654927171928647	-0.1801052809221367	-0.04021089110167449	-0.1342146528992431	-0.15691713757855083	-0.05879762438879445	-0.13418995839088999	0.013903008202810279	0.020307117369054446	-0.15085875152925043	-0.15667019249501957	-0.2640995353339047	-0.20377908293000074	-0.18072264363096488	-0.139976704848306	-0.14051998403207475	-0.1374825595046402	-0.11650869041005132	-0.1265099662930676	-0.06872481674675135	-0.07401767303710481	-0.09075231819774028	-0.06171980787724776	-0.048656412958443786	0.0146356119506197	0.03460523770551475	0.027336820746911152	-0.042087673736512114	-0.004971827681762823	-0.03533784145332417	0.03766735674130245	-0.007112018405700462	0.08242203737995224	0.00261761788543142	-0.0795739374165583	-0.21229868831182944	-0.1393346476311247	-0.14387843716809998	-0.14941823854198472	-0.12737427408542704	-0.03785668130534309	-0.12051743226604221	-0.1008688351197378	-0.12067383081894535	-0.12488836024454562	-0.23031744790682748	-0.36278702221578296	-0.17160213854587678	-0.26665953269984544	-0.19194218192606874	-0.2096893019291824
PO4	0.0559428654301941	0.20773427996933305	-0.06653217227668853	-0.09738076392596173	-0.07122245207766799	-0.19299096850781505	-0.0723035147541188	0.07590421957410846	-0.0072014096399793375	-0.00899750589770468	0.044349106648099705	0.0735292866077323	0.044255471298170895	0.026498804029853048	0.04307226096725231	0.05644509139799408	0.04924368175801474	0.013296219689890929	0.10328830327601571	0.0009278411947491109	-0.009108165856711455	-0.10786792311798837	-0.040041880551374476	0.0179269133590975	0.03783719367577796	0.12244098848872671	-0.206278675893167	0.03913957627024231	0.0952356631821381	0.23075155144274218	0.11374141324988642	0.10113469022765309	0.09283519330214499	-0.10370540619842586	-0.12914017216090606	-0.25900389020762565	-0.15365560923317614	-0.2792716873149434	-0.14264068715973258	-0.1333963244303974	-0.0031495526794235876	-0.1253351720319808	-0.05998621008621087	-0.13107246529125513	-0.031248669962605377	-0.03802446437563558	0.0318275066712562	-0.02612426263013781	-0.09611243054965331	-0.12349651425156055	-0.12869753232487896	-0.22415451542503062	-0.16779454707242636	-0.13646075406443117	-0.1037309431120428	-0.10676983583245961	-0.1976386867860996	-0.07446564010702039	-0.0748061322885797	-0.08765971214244352	0.041735829154632025	0.08957498066371462	-0.030261242636083388	-0.09330337005178903	-0.05281884966438746	-0.06253138914336669	-0.08850243029180281	-0.060948100499115906	0.007976029353026761	0.04256152269491335	0.05322744028225863	0.09266494721136533	-0.09040067420399595	-0.16744554258632807	-0.13841858410839716	-0.3038467105189864	-0.13184708500430256	-0.09166049527576538	-0.08627220650258935	-0.1876622658664119	-0.14747567613787474	-0.1025988066083581	-0.37933382717068465	-0.2912910613239869	-0.261293700128612	-0.22454608143382382	-0.1505826672946034	-0.08293538312330814
Ammonium.5m	0.13883838653902564	0.2706022416308467	-0.14505334262254116	-0.01206233059703237	-0.12125102218985984	-0.1898982941623755	-0.09493218177795705	0.06124474466285071	-0.022676955318377778	-0.09052685803905024	0.10650251858129893	-0.047910016323515346	0.17278030320259258	-0.010003873805039972	0.0963911978557978	-0.12130757320062886	-0.04063190123754223	0.04357820889860827	-0.001984940477992668	0.06189508128669446	-0.10375979455900136	-0.05872256958255233	-0.04414937410737539	0.052807333856112644	0.021585520810535656	0.17034860973952465	-0.05350291128857161	0.11041019342543834	0.014912501539791073	0.12181653229755006	0.06256803831484582	0.10318297424915734	0.0653673133479124	0.002516519979221474	-0.1038446210751549	-0.14325502048008626	-0.12157901805232016	-0.27422716142114095	-0.07447202608172493	-0.08905087665797877	-0.06275465665038359	-0.12953009016644465	0.027342413706822083	-0.009845530974886711	-0.09421963904226738	-0.06675846821283034	-0.03445087576048814	-0.13854432128302674	-0.03730104670324684	-0.16415627406031674	-0.16542867180261975	-0.2002358189309527	-0.17327229699628308	-0.17534771909150618	-0.13553580751011476	-0.15619389174403847	-0.19335356092036274	-0.044760125023680826	-0.1658641145855412	-0.1232416177689294	-0.06401574419053278	-0.003325199433218487	-0.05342939497457188	-0.1705126076707548	0.0014872915832252758	-0.09527714294364809	-0.08997831323459073	-0.07261149782742411	-0.054000560183339	-0.04796091223320747	0.048713040676435455	-0.02198703298699571	-0.20715766264908098	-0.2472297088800099	-0.19947803538664782	-0.16563791054246513	-0.10066645426993587	-0.1177957554318726	-0.11937352863232831	-0.18083316713610129	-0.1302087022956729	-0.05748975754778765	-0.22972151594592072	-0.18034117334241082	-0.2105620334973761	-0.18851279439853447	0.027885303410204693	-0.014680642395638082
Latitude	0.08959544926400168	0.1590778652031656	-0.25573012233598863	-0.14195605893169844	-0.08240858804503379	-0.04971430671688878	-0.13137650162195108	-0.12011840509404781	-0.22173530750637813	-0.1712463351820947	-0.1318175521137524	-0.03184045281196551	0.04022606664967547	-0.0730277833540285	-0.15228116403463737	-0.19380210969229367	-0.030930079360939673	-0.12907512277370567	-0.19083915510634625	-0.20930673082715595	-0.1915798937528331	-0.01673164622102751	-0.15277875946128502	-0.038518409617316465	-0.10895078046189866	-0.12729961181953106	0.1596320055646596	-0.11610936921344338	-0.16243097983955265	-0.3183988736261704	-0.12101181506461973	-0.19718915128958853	-0.10759370202558687	-0.002476668146269027	-0.0126208294576997	0.1172119954429467	-0.08195622856626318	-0.030930079360939673	-0.11183457213906121	-0.0869208738457705	-0.19004187152501306	-0.17046036058773079	-0.26720874410979256	-0.1165673831856986	-0.2336889067328912	-0.2728349651270019	-0.44748530538684533	-0.17925875244981893	-0.21668019033111668	-0.10521881476204122	-0.22861117158369124	-0.1812208616889864	-0.18707326244558103	-0.27900967201222054	-0.2685432045721658	-0.28931781363470555	-0.29440120327739017	-0.18348831357632403	-0.32784753223899127	-0.25601284701022026	-0.21264853647657372	-0.14603294873411846	-0.30735564785068314	-0.2513422353919138	-0.18613461652713204	-0.2939488437986196	-0.26346546942296584	-0.26038377047384115	-0.29241647606428417	-0.2684810051438349	-0.29252391144049217	-0.368531612860922	-0.04053140929784563	-0.20144698488351678	-0.12983847939413104	-0.08209193640989437	-0.1700306190828987	-0.25126872697661357	-0.3475534420329355	-0.17501222784285994	-0.23592808615280567	-0.18488497346702826	0.20969123638411094	0.10641191288729868	-0.022233468381574917	-0.11846163850305048	0.19214534310129636	-0.18936333230685717
Fluorescence	0.31385407883251315	0.05763638336386383	-0.20917072898754516	-0.22395251911073646	-0.035589679344899525	-0.2989183117288719	-0.18231574380634957	-0.33793047941195353	-0.4169486661973843	-0.06370447618432162	-0.021388802375223784	-0.13507280662285465	-0.04745990474685618	-0.016468537954483494	0.07183726033353957	-0.32158792262329267	-0.3086678541728139	-0.13387598554753943	-0.08724195733218733	-0.20835885036335472	-0.13342105355984651	-0.11015653160459657	-0.19986911957763925	-0.06439737259634622	-0.08323855584048968	-0.14708301109794758	-0.1284307996025381	0.2931231781010299	0.13008255266554622	-0.15010655907769127	0.08931364761460428	-0.09909118587317353	-0.02133281074596927	-0.1318112942187793	-0.29100949409667204	-0.1969015632271501	-0.13734046760766241	-0.34169591647931946	-0.17337807998659802	-0.22181783824540818	-0.018365254395480108	-0.0008118786241904316	0.010792386538807288	-0.056152605188619246	0.035260728523029264	-0.12510629661555142	-0.1516183330675631	-0.12418943368650877	-0.1071819763004506	-0.25270422073292864	-0.341261981352597	-0.42966576499181547	-0.3140990422105016	-0.2833946325180583	-0.36060009030637424	-0.2871180758634834	-0.3682709435142425	-0.4048474753247528	-0.3541470550347917	-0.34579030436855573	-0.3223718054328558	-0.29177238004526473	-0.2826317465694656	-0.2993802426702216	-0.30062605642113455	-0.26856384971926933	-0.3092557662799863	-0.2683538811095649	-0.26511336556646	-0.29483792174694934	-0.06449535794754162	-0.12685603502975493	-0.2761087217613149	-0.20432045410337302	-0.2807000353601849	-0.16726099449054252	-0.20229075754289694	-0.27085950651870433	-0.3519493835865521	-0.3703566317039731	-0.25752649980247355	-0.33711860078776307	-0.043960427918449146	-0.24101596812604914	-0.3478200009290318	-0.4365877301584046	-0.04206371147745253	0.12347554041351375
Gradient.Surface.temp(SST)	0.3430606557555703	-0.09829439395594046	-0.13011761897076884	-0.2932407679852845	-0.051008016961908306	-0.018922704625398502	-0.11273249329923467	-0.2253135583681645	-0.21182479754562744	-0.1577066776997663	-0.11123568348429856	-0.021898851767158625	0.05479954688223285	-0.07242928738733634	-0.2480918587036319	-0.026866862553697538	-0.04483440449563487	-0.0599597550380048	0.008404266781917526	-0.0383055181044155	-0.004799110068121996	0.1342644228160393	-0.010623272772153546	-0.13861507235595086	-0.1366406811992842	0.007955806253707096	0.11408369904656998	0.1241827971753607	-0.029260593425054503	0.07754290224147604	0.013838210584778961	0.04797362819310787	-0.08548706016977507	-0.04970340451620524	0.050448897342321275	0.10496306025205658	0.03606321546336335	0.10014065353311845	-0.05885898828694283	-0.018701386442645303	-0.046686488235516896	0.031141797978456693	-0.07215555174024686	0.1343226644430796	0.13534771707898918	-0.05669822392374713	-0.12139302324012957	0.05571976458946983	0.011438655550717963	-0.006965698594021733	-0.07876597640932267	-0.08338453743361969	-0.06076931365386518	0.013768320632330583	-0.019947757261308055	-0.04669231239822093	-0.09843999802354124	-0.08920870013765124	-0.12594169431197821	-0.13661738454846806	-0.04948791049615607	-0.13471288334424972	-0.0932448448915451	-0.044246164062527675	-0.08849815228775938	-0.018579079025860642	-0.04281342003733592	-0.01601644743608676	-0.0735475266265104	-0.027495872125732942	-0.05954623948601856	-0.012655905555860556	0.07360576825355072	0.06001217250234108	-0.07983179818416045	0.06481128257046308	0.01752490557643093	-0.021968741719607002	-0.05313966051158386	-0.06178271796436667	-0.02665136853364837	-0.0013919748862635402	0.15400833438270625	-0.03743189369881077	0.06437447036766071	-0.086395629551604	0.18453859527723962	0.269332580085235
Oxygen	0.3081117742810635	-0.15090884427563755	-0.15050189907759087	-0.2039744981009224	0.09111502984264785	0.07958491589799241	-0.04781606077048291	-0.3679869777536625	-0.1857569180683668	-0.09404503526858383	-0.10586001085187195	-0.10501899077590884	-0.03776451437873033	0.03281334780249593	-0.017566467715680954	-0.13408844275637546	-0.04825013564839935	-0.0731823114487249	0.1324877916440586	-0.041833966359196964	0.06762072707542051	0.05638903960933261	-0.025488334237655997	-0.3020482908301682	-0.015463917525773196	-0.019763971785132936	0.036421595225176344	0.13109061313076506	-0.2085594139989148	-0.03104991861096039	-0.03781877373846989	-0.0847802495930548	-0.014934888768312534	-0.10564297341291373	-0.12696690179055886	0.04900976668475312	0.22098480737927292	0.05009495387954422	0.08813076505697233	0.10271296798697775	0.04087086272381986	0.1816603364080304	0.08510580575149214	0.28121269669017906	0.23650298426478567	0.10552088985349972	0.09097938144329897	0.09888768312533912	0.14302767227346716	0.04569994574064026	-0.009169831795984807	-0.05198046663049376	0.04411285946825828	0.07445740640260445	0.0753526858383071	-0.01839392295170917	0.008152468800868149	-0.03790016277807922	-0.04415355398806294	-0.09815518176885513	0.0020075963103635378	-0.11416169289202388	-0.11021432447097124	0.010879001627780792	0.02674986435160065	0.03510580575149213	-0.05401519262072708	-0.02654639175257732	-0.0015056972327726532	-0.037438958220293	-0.03494302767227347	0.05275366250678242	0.03487520347259902	0.16471785132935432	0.05697232772653283	0.11162506782419968	0.07467444384156267	0.07566467715680955	-0.007731958762886598	0.09633749321758003	0.11409386869234943	0.017159522517634293	-0.043109061313076506	0.10062398263700488	-0.08100922409115573	-0.030236028214867063	0.13423765599565926	0.25405588714053173
Density	0.21673849737914969	-0.14345952242283053	-0.19043680838672103	-0.18506697728596389	0.12568433313919627	0.039464181712288875	-0.12806057076295865	-0.3707513104251602	-0.23217239370995923	-0.354502038439138	-0.12153756552125801	-0.245824111822947	-0.03138031450203844	0.0018520675596971463	-0.03181129877693652	-0.13428072218986606	-0.013290623179965055	-0.10841001747233547	-0.08730343622597554	-0.04677926616191031	0.0058823529411764705	0.0122306348281887	0.00039603960396039607	-0.08940011648223646	0.11111240535818288	0.026872451951077462	-0.06754804892253931	0.04588235294117647	-0.23918462434478743	-0.1722073383808969	-0.06472917880023296	-0.1062317996505533	-0.1332207338380897	-0.1600232964472918	-0.01266161910308678	0.0635061153174141	0.08228305183459522	0.0838905066977286	-0.016004659289458358	0.14596389050669772	-0.07110075713453698	0.14361094933022714	0.02031450203843914	0.2895049504950495	0.21141525917297613	0.06630168899242865	-0.10298194525334886	-0.003273150844496214	0.009481654047757717	0.03380314502038439	0.015480489225393128	-0.06962143273150845	0.024997087944088527	0.0487361677344205	-0.03768200349446709	0.009481654047757717	-0.025066977285963892	-0.10673267326732673	-0.12319161327897496	-0.11014560279557367	-0.09946418171228888	-0.11680838672102505	-0.15209085614443799	-0.041968549796156086	-0.11511939429237042	-0.03260337798485731	-0.04682585905649388	-0.06863133372160746	-0.06227140361094933	-0.17518928363424577	-0.05871869539895166	-0.055550378567268494	0.1965288293535236	0.16256260920209667	-0.040885264997087944	0.17450203843913803	0.10804892253931275	-0.03506115317414094	-0.0959231217239371	0.040512521840419334	0.07736750145602796	0.007641234711706465	0.1908677926616191	0.17933605125218405	-0.0011997670355270822	-0.05094933022714036	0.20345952242283052	0.2508328479906814
FluxAttenuation	-0.1266610490766302	-0.08293900322085382	0.09833408978978916	-0.005347766913419648	-0.07904971819291225	0.02071044277378882	0.05960329305320444	0.019284371596876914	-0.12215596058593123	0.16373889967633978	0.3080313742129717	0.38280287887514824	0.20172425011590236	0.07334543348526462	0.019867764351068146	-0.13103649473306447	0.023011603081987575	0.07499837962213979	-0.039508653742173036	-0.08562909203184672	-0.18843585960376869	-0.05914954313327792	-0.043592403021511676	-0.10825176661104015	-0.31580994426885484	-0.22787969192880936	0.015848836488861866	-0.1051403385886869	0.12468399585409325	-0.09292150145923715	-0.12912426292765986	-0.1639981853448692	-0.09762105420133321	-0.03166526226915755	-0.06884034499456565	-0.12196149633453415	-0.08556427061471437	-0.03840668965092293	-0.09950087529817163	-0.049750437649085814	-0.10261230332052489	-0.0007130355884559531	0.2596421863236655	-0.02972061975518677	-0.11910935398071035	-0.022428210327796343	0.01338562263783221	0.03098463738926778	-0.0890322164312956	0.0451481170326883	-0.033415440531731254	-0.045407402701217736	-0.02913722700099554	-0.0009074998398530312	-0.024016335047539146	-0.04838918788930627	-0.08293900322085382	-0.009010176981397952	-0.020127050019597584	0.017274907665773772	-0.09305114429350188	0.10711739181122386	0.01144098012386143	-0.1383289041604549	0.010760355243971655	-0.05036624111184323	-0.06284436390982241	0.05522784739677018	-0.04424061719283527	-0.0387632074451509	0.012931872717905694	-0.07253516577111013	-0.3043689641449934	-0.1832825569417461	-0.1147014976157099	-0.15878006126571428	-0.19021844857490858	-0.08981007343688391	-0.07175730876552182	-0.06112659635581488	-0.23303299459083193	-0.16876255950409763	-0.1647760423504575	-0.029526155503789692	-0.08449471723203043	-0.1193362289406736	0.013158747677868952	-0.020127050019597584
Nitracline	-0.26852009712044383	-0.0004138569039934311	0.11401757705019028	-0.04812912348205961	-0.02105801305613635	-0.012014022477691663	0.050271441573319725	-0.10199138231061645	-0.1696082970660138	-0.0969885826770488	-0.13001192916334817	-0.05977797810328648	-0.04441658360800089	0.010589867837478973	0.08669084912474166	-0.048616013957346	-0.1287703584513679	-0.1661635469533626	-0.23570367908614118	-0.20971589996773013	-0.18143973561547308	-0.2598169298746996	-0.0691749642763138	-0.042237748731094295	0.06588845356813067	-0.1619884611277818	0.047252720626544106	-0.1979940117752103	0.03932857814125812	-0.11395671574077948	-0.11356720336055036	-0.11401757705019028	-0.11284903990950294	-0.1553424061401226	-0.14508118937346193	0.0017162889253845232	0.11850914168470722	0.052340726093286875	-0.12776006071514862	0.03411885005569375	-0.07102514808240208	0.04590159955762438	0.07186503415227109	0.07311877712613356	0.017978430799949933	0.006159164512372828	0.05227986478387608	-0.03410667779381159	-0.031915670655022835	0.0745551040282284	0.052535482283401436	0.13068140356686694	-0.04851863586228872	-0.002239696186317392	-0.04595028860515302	0.04066752694829569	0.07694086735713171	-0.1347469390355083	-0.03335199755711769	-0.06647272213847434	-0.07677045569078148	-0.062175913694071945	0.0514886677615357	0.05169559621353241	-0.10141928600215494	-0.07153638308145278	-0.05269372168786951	-0.0946880251813206	-0.09725637243845632	-0.081992356038228	-0.022725612933992233	-0.02662073673628335	0.11458967335865178	-0.022104827578002088	-0.002933515113600497	-0.026511186379343913	-0.11833873001835699	-0.17513450396051433	0.006353920702487384	-0.07035567367888329	0.03185480934561204	-0.052352898355169035	0.15832461030125172	0.35106020494336904	0.2651118637934391	0.04820215705335257	-0.026499014117461753	0.15994352113157898
Residence.time	-0.05000711176384564	-0.04926543058557313	0.04336164840652396	-0.013059522187022337	0.04064412856933349	0.08310982611250427	0.03002918754589734	-0.07361037358118996	-0.08791592014771012	-0.056522039233791364	-0.0027768543314522737	-0.07084538614859005	-0.032070294148503285	0.008799305499025046	-0.09248467620586877	-0.13946572876236257	-0.007832153242557694	-0.2437579693263297	-0.12373615433355921	-0.19928676587711006	-0.17170215949479892	-0.1332712075614306	-0.2128209640182268	-0.02750747153977081	-0.15498169901182346	-0.18202636149635223	-0.031227744329985718	-0.07196087464071191	0.05713318452468791	-0.07308823003168612	-0.06495940431781942	-0.13381115145921296	-0.0655646161592898	-0.13484950510879448	-0.21265482743429376	-0.12007521603760611	-0.19602336869271103	-0.14930932136039532	-0.028688227975580644	-0.057056049682147565	-0.10461264683298084	-0.03149474955416382	-0.05415459291274551	-0.12647147451902824	0.07590068505969548	-0.09276948177832542	-0.2055821557182871	-0.06619949524789105	-0.08303269126996392	-0.1709604783165264	-0.08903140863983197	-0.12855411526761742	-0.16062440941612072	-0.08373283830225317	-0.09129798632063275	-0.1452983095482976	-0.16283758605208587	-0.13336020930282327	-0.20038445402095337	-0.15968692440678425	-0.06536287887879967	-0.04309464318234586	-0.10735390046787603	-0.09215240303800269	-0.08448045292995186	-0.1386528461909759	-0.20979490481087495	-0.15572931363952217	-0.13995820506473552	-0.1703077988796466	-0.18724779699139069	-0.1511902248284944	0.03157188439670416	-0.011819431256950702	-0.0845575877724922	0.018061420053292136	0.012116103728259706	-0.09719583505025575	-0.20813947242097072	-0.04887382292344525	-0.1393707935715437	-0.08433211669429735	-0.05553115317961929	-0.08298522367455448	0.04203848918448581	-0.13988107022219518	0.2739117593101768	-0.016340719719699918
Temperature	-0.36016194423554293	0.13187937868601252	0.2820962278980611	0.29397063064387535	-0.04755981023573517	0.06578984568930908	0.13799752333885587	0.44479816342570866	0.29963641709687816	0.2183024127655484	0.16759305856342344	0.20709523836449892	0.08664355870195814	0.013972213897574795	0.053655336978586494	0.23041430356627896	0.0943336480992474	0.0908504899604752	-0.00520777377566426	0.04895081170024484	-0.0008877529671870671	0.02192240925977235	0.06094961295101526	0.18638854176679803	-0.04128334021294762	0.05090726091455519	0.08239139162345703	-0.08183725282865237	0.20077353252172733	0.14158246207259217	0.017794640686227388	0.07372873209651062	0.08076290210403107	0.23833057206348848	0.13060146677146298	-0.05578142051783705	-0.11389814024235091	-0.014548970602371487	0.019830252585509835	-0.07003070381281418	0.014628133287343583	-0.10913707018902918	0.023686606239150473	-0.24347614658667466	-0.2082261338641003	-0.028606001662416385	0.04603310131127333	0.02261225551452918	0.005999400625385211	0.062023963675636555	0.11916811327049324	0.22533658277306887	0.0864399975120299	0.03617169255474948	0.08432522292777536	0.0882720482213841	0.10522417176040848	0.2014181429565001	0.17466115543593194	0.18929494320077353	0.11124053581828772	0.1802930150239467	0.1940899401190833	0.08587454976222922	0.17735268672498317	0.07003070381281418	0.12796648025739182	0.14339189487195436	0.09618831671859362	0.19388637892915506	0.07685000367541038	0.04476649835171981	-0.10784784931948363	-0.11069770597847906	0.08006174689427824	-0.05962646521648167	-0.04936924303509734	0.06178647562072027	0.1765497509202662	0.05428863845836326	0.0033757230663100574	0.10776868663451154	-0.002357917116668834	-0.025416876353540552	0.11185121938807245	0.15768641398691555	-0.10165054198166819	-0.232947509485386
Depth.Max.O2	-0.08743371086517335	-0.20499204271658414	0.14869938592799006	0.01219037538550868	0.2547358688559962	0.2735978654653591	0.2668853140499475	-0.08322472283335529	0.08673107591010486	0.07574131947694622	-0.1317338215274528	0.05835963146224218	0.047117472181146314	0.055030642548907965	-0.05696118325069809	0.07495682413876295	0.1239502634329562	-0.04402724271856353	0.03453825997584244	0.010989756433158637	0.08245387089235783	0.102366409085027	0.049511888387253504	-0.20517622857859238	-0.05846877863972854	-0.15616232418862044	-0.031038728597685784	-0.15539829394621588	0.007231000508471854	0.10901756521310253	0.07697604692226075	-0.12957134307350412	-0.08634906078890256	-0.16801843634307712	0.03746476867219568	0.0023603077131426993	0.016958742701944366	0.07058411534071535	0.08097356229769896	0.08297231998541807	0.017395331411889835	0.25457896978835953	0.1380575361230692	0.09325944146350822	0.31718851947397714	0.2756034448516711	0.14545907909636352	0.25380811784736207	0.06909016334887069	0.1535973655176908	0.2646887271030343	0.2209207089310009	0.19347019379317945	0.3083544197961743	0.2872480843497479	0.2398577442248857	0.2726360059637605	0.16412324644653237	0.17002401572938913	0.20633591733938506	0.13909443430918972	0.13154281396685163	0.21005374307251445	0.22651450177717725	0.030199659670759334	0.1303012648229442	0.17301191971307844	0.11882716778968982	0.19253562108595243	0.09323215466913662	0.035991281776129716	0.09619277185845435	0.21362831313519298	0.3992603752451327	0.08981448367409474	0.24177464152949002	0.17231610645660284	0.15991425841471432	0.20124010849049026	0.2762583279165893	0.2676834527853165	0.19351112398473685	0.02455129323583981	0.10553849893072458	0.1970515855544509	0.17490835192190407	0.18251454585298532	0.08714037782567872
Lyapunov	0.17416223002446185	-0.06066077189677947	-0.19024326524610333	0.07587057609792733	0.07615398859856984	0.04637468251254053	0.015440732905375083	-0.176828406882358	0.07838979832586072	-0.05933818022711444	-0.07976487379194103	-0.265242610323537	0.14318629338016417	0.021224447270338828	-0.03325373340872078	0.07595455017219177	0.009877450485355509	-0.021108982918225216	0.32440234564283954	0.12009342295744142	0.11702836924678912	0.1468391656106676	0.0903666006678274	-0.07650038165491067	0.1771433096608497	0.01860025744957488	-0.18238119254309454	-0.09324271271138468	-0.215949828730307	-0.007263757423874614	-0.19221665599131782	-0.15872149711908676	-0.11488703035304575	0.1845750152332532	0.10319364051172158	0.17753168975432276	0.31872359887070634	0.34870234338311373	0.17786758605138056	0.15494266377718668	-0.012596111139666962	0.032392999147510204	0.0593486769863975	0.08731204371645815	0.14820374431746486	0.11759519424807414	0.058508936243753036	0.03568898156238973	0.12045031277306532	-0.0246988745930303	0.05487705753181573	0.10619571366667555	0.08090902055379412	0.15198257765936493	0.11089826182548454	0.00041987037132223205	0.13106253640823473	0.002687170376462285	0.08112945249873829	0.13400162900749035	0.0905765358534885	-0.07843178536299295	0.010087385671016625	0.013635290308689485	0.11893877943630528	0.11749022665524358	0.11892828267702223	0.004912483344470115	0.10972262478578229	0.05674548068419966	-0.008838271316332984	-0.035059176005406374	0.09348413817489497	0.1115700544196001	-0.06220379551138868	0.21261185927829526	0.042616842689206555	0.19653082405665376	0.06695882746661296	0.1361534646605168	0.15285380867985857	0.11918020489981557	-0.009436586595467165	0.035332091746765826	-0.051035243634217305	-0.003337969452011745	0.06876427006329855	0.04145170240878736
