	AmtR	DasR	HypR	TtrR	FadR	AraR	NorR	MerR	SdaR	Irr	QorR	VanR	CsoR	GulR	NifA	CueR	NiaR	HexR	RbsR	NrdR	HrcA	LiuR	PdxR	FadP	MetJ	NnrR	LiuQ	FruR	FixJ	LtbR	HcpR	FnrN_FixK	NtrC	NmlR	PaaR	BioQ	ZntR	PurR	GntR	PhsR	PhrR	CadR-PbrR	NikR	SiaR	CcpA	NadQ	PsrA	HisR	Rex	RbkR	Phr	RutR	CzrA	IscR	NrtR	ArgR	BirA	ThiR	MntR	NsrR	ExuR_UxuR	TyrR	NagQ	HutC	TrpR	SahR_SamR	Zur	MetR	NagC	XylR	GlcC	KdgR	FabR	PhnR	PdhR	SoxR	AgaR	NagR	FUR	LldR	LexA	ModE	AcnR	PrpR	CblR	PhnF	GguR	NarP
HCO3	0.6176470588235294	-0.48823529411764705	-0.24705882352941178	-0.7264705882352941	-0.7	-0.3352941176470588	-0.611764705882353	-0.19411764705882353	-0.05	-0.17352941176470588	-0.22058823529411764	-0.15588235294117647	-0.16470588235294117	-0.4088235294117647	-0.17647058823529413	-0.18823529411764706	-0.06764705882352941	0.014705882352941176	-0.1	0.19705882352941176	0.4323529411764706	0.08235294117647059	0.10588235294117647	0.020588235294117647	0.40294117647058825	0.13823529411764707	0.31176470588235294	0.14705882352941177	0.25588235294117645	0.6176470588235294	0.16176470588235295	0.3264705882352941	0.35294117647058826	-0.17647058823529413	-0.1	-0.08823529411764706	-0.061764705882352944	0.13529411764705881	-0.014705882352941176	0.0029411764705882353	0.07058823529411765	0.23823529411764705	0.020588235294117647	0.10294117647058823	0.06764705882352941	0.11764705882352941	0.5205882352941177	-0.2647058823529412	-0.047058823529411764	0.11764705882352941	-0.17647058823529413	-0.15	-0.058823529411764705	-0.061764705882352944	-0.011764705882352941	0.14411764705882352	0.08823529411764706	-0.13823529411764707	0.023529411764705882	-0.14411764705882352	-0.22941176470588234	-0.15294117647058825	0.10294117647058823	-0.058823529411764705	0.14705882352941177	0.2088235294117647	0.1	0.058823529411764705	0.026470588235294117	0.24705882352941178	0.2	0.18529411764705883	0.4323529411764706	0.6088235294117647	0.42058823529411765	0.3764705882352941	0.4411764705882353	0.47941176470588237	0.38823529411764707	0.28823529411764703	0.29705882352941176	0.19117647058823528	0.3941176470588235	0.011764705882352941	0.1588235294117647	0.40294117647058825	0.1676470588235294	0.5529411764705883
Longitude	-0.14850396238690286	-0.061990212072025895	-0.017585474737207018	0.2719981000912763	0.20568785499699116	0.25993706548855516	0.13594533235753412	0.2782519698852798	0.3492441355848406	0.018880353745187855	-0.028476029188609177	-0.027441256880921434	0.16150364290807293	-0.00380547411515766	-0.054628061555034406	0.2647207669765543	0.27667436620306735	0.2024025942824197	0.2181616676240904	0.36143522353770824	0.27430513343300633	0.3026454547779843	0.25014913726665633	0.2612489079769899	0.1722584895158439	0.25121218204176726	-0.04239173765428971	-0.12372031744375869	-0.11302201577083404	0.08994602786004889	-0.05073777003760726	0.1442630922734285	0.14181469659458265	0.2803158600071706	0.38927794945603855	0.15483699508969123	0.052552862446174284	0.3634369142312681	0.3707651377873518	0.24790430335325725	0.04915451186191016	-0.039377892626980604	0.06995739339187307	0.12580682553958808	0.14103437649370335	0.147271282807253	0.1363411469014584	0.20273620939801298	0.21340058411002985	0.19736444058761213	0.2595638689185694	0.3750908253030957	0.35736398822877286	0.2739545548369591	0.3197389885820283	0.2470787473045009	0.3229111594269071	0.3728346824027273	0.28783633634173184	0.3565045052191087	0.2708558924073805	0.22922185688003155	0.1782296346356158	0.2844323312639831	0.327236846942651	0.29237689460989175	0.32949864433650394	0.3078136618229384	0.33583167703929234	0.21645966508521602	0.17268257652719135	0.12677939841894487	0.1699062202262368	0.1976924012097208	0.0962507880954141	0.3042456764341353	0.3896511460260243	0.317143576072582	0.29450298416011356	0.35870410318463075	0.2948252902887376	0.3610789904481764	0.053898631895516816	0.1530388661615781	0.1344638550645604	0.3189925954420568	0.25075982256299667	-0.10718092400120868
CO3	0.23019979631293958	-0.04337691987059548	-0.36810914634589487	-0.10016473113515696	-0.11864742753132623	-0.28011127896265403	-0.1689006760167687	-0.09827818372193851	-0.2340412443065221	-0.11930361793592396	-0.16657666833381843	-0.17927668678947026	-0.03496948031168712	-0.05882473564550027	-0.14665855542759165	-0.09733491001532928	0.014900990437740015	-0.048653784374235516	0.13297425136504323	0.07077286926255051	0.08757407774693811	-0.024019302934962575	0.02147656511714639	0.2006575574726128	0.04381438014032729	-0.11822363789502353	-0.3579928776083466	0.05432709724732002	0.02337678316379397	-0.14132700839023513	-0.09226310501312603	0.02676710025421555	-0.19736293481619505	-0.12485389510814639	-0.052495232367818036	-0.1267814544216522	-0.08236556641044367	0.1157219119774947	0.10319961175642145	0.13324766403362562	-0.20265346995326422	-0.18076678583324424	-0.15022659075259176	-0.044169816609484394	0.12482655384128816	-0.028790354001725204	-0.18083513900038983	-0.11416345976657512	-0.1337261362036448	-0.19692547454646323	-0.2759554064002018	-0.24593469538985585	-0.2569395553002969	-0.2071100964511571	-0.24407548924349565	-0.26266755070709785	-0.2266180903545103	-0.29473885673181166	-0.2602205073232855	-0.19607789527385783	-0.12343214923151799	-0.2416421164931124	-0.1688870053833396	-0.08356858215220617	-0.12843560106657564	-0.17912630982174993	-0.15383563797787927	-0.17162113206916343	-0.1274239741928208	-0.22598924121677083	-0.0969247910124557	-0.2515806669960821	-0.11916691160163277	-0.18326851175077308	-0.16567440652749657	-0.07491507119157366	-0.008598828426916028	-0.10151812384463978	-0.301765562314379	-0.0570065413994274	-0.12870901373515803	-0.21022700087299628	0.07436824585440889	-0.2965297097110263	-0.1822842261438765	-0.33657099502491666	0.06306263200852724	-0.266577351867826
Carbon.total	0.2847083428734987	0.02904838793582914	-0.2586757523139653	-0.059135234402175184	-0.10337641289405992	-0.276927016624283	-0.17487357144718296	0.044682167730871365	-0.1625400982148794	-0.17106114834884692	-0.27688434024631653	0.049476147522435725	-0.01798098058319688	-0.13475777615872156	-0.031993058015514074	0.07788438978876813	0.1779320452014451	0.014438841211981673	0.22664001792048474	0.08650501813799069	0.14019190161978265	-0.013144324413666074	0.07869524097013066	0.17682245937431743	0.08963461918886356	0.06343132311746431	-0.16938254414883328	-0.042519897913904654	0.04451146221900557	0.028422467725654564	-0.08099976538031886	0.12192641185014277	-0.08525317771764154	-0.04961840211565722	-0.024965681110372253	-0.07903665199386224	-0.11485635856703451	0.12505601290101565	0.15716287459110692	-0.0023898771661211046	-0.16830140924034992	-0.21709473471532248	-0.12373304518405576	-0.03984551156134056	0.18669492814388913	0.09311985672279018	-0.04352990552577726	-0.12794378114341198	-0.060970318654732465	-0.11242380502294695	-0.241420270156198	-0.13132944046208356	-0.15409017537752265	-0.1491539409927368	-0.12056076775521643	-0.16086149401486577	-0.1566365325961874	-0.06661782600562578	-0.10541065357712728	-0.07512465068027115	0.048480365369885266	-0.1476887186825554	-0.11589481709755142	0.04775486694445564	-0.03791084909352824	-0.058139452249624725	-0.049262765632603484	-0.06280540290728974	0.03825226011725982	0.02574808137309047	-0.07835382994639907	-0.16140206146910746	-0.14272403337912526	-0.08182484202100353	-0.12445854360948538	-0.06128327875981975	0.08065835435658728	0.031253334130762304	-0.1513162108097035	0.0011095858271276556	-0.031096854078218657	-0.10001920449403265	-0.1152262205094104	-0.2553043184546159	-0.11636425725518235	-0.1768366848336396	0.15282410949785136	-0.12248120476370661
NPP 8d VGPM (mgC/m2/day)	0.16314451664510746	0.09683284798940246	-0.20277566500789032	-0.07109857702536698	-0.043292452955599234	-0.1806099290946235	-0.23250521091611395	-0.06525409587636108	-0.11153372808589666	-0.20166861513945428	-0.15702791150609494	-0.18922512723278775	-0.007446301908363069	-0.23601808424165402	0.008244119969973398	0.05525972387975417	-0.02799784778999968	-0.0944022859877524	0.1537315004453329	0.05320642468243146	0.11418075235232474	0.0861643506539155	-0.02289552297737548	0.010544804612756671	0.17691770132112453	0.2249785087379762	-0.07537216059569828	0.014107155027388837	-0.15348411499987233	0.053169316865612375	-0.14982281040705595	0.04944616591143084	-0.046378586387719814	0.12272173485685081	-0.0283998491388731	-0.02439220492241191	0.04876585593641428	0.04023105806802472	0.16741810021543876	0.05133866456920418	-0.09437754744320634	-0.1082744248419537	-0.09667823208598961	0.17771551938273486	0.0260002103179056	-0.042092633545115485	-0.15324909882668478	-0.013748446131471016	-0.07020798942170893	-0.14240743167937545	-0.20872528497121695	-0.1806532215475791	-0.14916723897658543	-0.16368876462512072	-0.1632496554594282	-0.15379953144283454	-0.20353637525268156	-0.08018380750990631	-0.15736806649360321	-0.21039513672807578	-0.013760815403744043	-0.14319288046871273	-0.24225219746726032	-0.16582864872835462	-0.010594281701848784	-0.0827566161426962	-0.152686296938262	-0.046694002830682035	-0.10709315933987948	-0.02551162406312098	-0.016277962311305315	-0.10790953130989936	-0.0925283412383886	-0.1403788710265988	-0.16331768645692987	-0.07901491128010513	0.00153997439799203	-0.12365561491346445	-0.13530128475852066	-0.20552782808863912	-0.043706823576745685	-0.05312602441265678	-0.2204018779969557	-0.04376248530197432	-0.19888552887802288	-0.1791689088748157	0.12137966881522723	0.07748730615438612
Mean Flux at 150m	0.02180053681041455	0.33472028507087026	-0.262215919098169	-0.10705704474533682	-0.22174427737431876	-0.3040002813181302	-0.13910148971290318	0.0392878491336073	-0.17045441227626817	-0.023886824741733793	-0.07568068074454126	-0.02633645495322661	0.03578335423773958	-0.17208359217769162	0.08162308513318652	0.06809737573575728	-0.0986884515826293	-0.2270889251084849	-0.04644920826864132	-0.1118390979811697	-0.027203788138157083	-0.09962610907985144	-0.09329692097360205	0.08917122798582468	0.1520294424558533	0.11006926945516293	-0.027848427667497296	0.03587711998746179	-0.10437300015953847	-0.08179889591391568	-0.13610098572179236	-0.044538731118051234	-0.06897642963940302	0.12273936638637697	-0.13900772396318095	-0.11406603453707226	-0.1813312392440449	-0.1385271744958546	0.030262895722844286	-0.19333325520848818	-0.19792777694487662	-0.3180417023390316	-0.32532026866121844	-0.176209285165469	-0.1797723836549131	-0.19338013808334928	-0.27569474562073715	-0.08758893095926233	-0.11234308888592659	-0.2127427654009863	-0.33119234873757203	-0.2533784971868504	-0.288400004708097	-0.264419414216641	-0.3228354762935798	-0.25289794771952406	-0.3045394343790329	-0.1828900948331767	-0.268826404453585	-0.27824986230066745	-0.05550932383555017	-0.10655305384057993	-0.33374746541750233	-0.2015494790278971	-0.1337216798225912	-0.24332212052914304	-0.26132514447580796	-0.21888442200779126	-0.21005872081518795	-0.10307200038214277	-0.08953457026599826	-0.22310388074529083	-0.14698953340828436	-0.46033122754249006	-0.1892544450955719	-0.3613380372732635	-0.17431052873359418	-0.2250846822081726	-0.3038713534122622	-0.2727411245044874	-0.2659196662121964	-0.24824482238955925	-0.16294143157977586	-0.2131998734308821	-0.14778654228092317	-0.26820520636167533	0.016303519732949807	-0.0671362768011046
NO3	0.19602701112659698	0.3347101117519464	-0.1937979414348564	-0.3371795713124041	-0.1861273192603374	-0.2291571057607019	-0.08402718592884786	0.013243296403870432	-0.18549356415190135	-0.21265761931693591	-0.13269520753185027	-0.13741559040847734	-0.07716514785819553	0.044734369205813154	-0.11929893575697802	0.12998535810267545	0.0010052667237261384	-0.0040647741437622115	-0.05067855505045467	-0.1600777989411731	-0.04340129811565458	-0.09401429229282277	-0.11022968161901395	-0.0056163814782090775	0.004720382876627085	-0.0016827290810198401	0.05546449880036824	0.19194038335840594	0.09222229508965878	-0.007867304794378473	-0.012565834046576728	-0.04307349374922215	0.06411853407418457	-0.017526606791920932	-0.18062020590427247	-0.0537817697193484	-0.2246552591283631	-0.30055289676968655	-0.35984177984509985	-0.1823903494830076	-0.1810135711439914	-0.2554033086997256	-0.250748486696385	-0.2902161324148504	-0.12458751286875466	-0.054109574085780834	-0.22142092271289637	-0.21134640185120618	-0.3113704408619569	-0.24334010801501196	-0.34345156152347806	-0.3860661291596948	-0.3078738609533443	-0.2976682183450811	-0.3341856247656545	-0.24250967028671647	-0.3736751241085487	-0.24906575761536517	-0.23656548444207495	-0.3024978693438523	-0.14257304577368102	-0.1561004392951262	-0.2571734522784608	-0.16313730636120918	-0.1692344675768525	-0.12264254029458888	-0.23221661318073794	-0.15273498113308653	-0.14169890079652783	-0.022968159274699376	-0.03809086737944911	-0.005813064098068539	-0.06285102385731248	-0.16886295596156242	-0.15839506986015328	-0.3492864792459754	-0.30479249990887936	-0.19615813287316994	-0.29493651529147746	-0.3114797089841011	-0.2831792653487674	-0.24285932827757772	-0.2531305317591274	-0.40964618991840135	-0.25332721437898686	-0.4280687953119043	-0.20323870718811057	-0.1487357678626108
ChlorophyllA	0.3290010489098563	0.2010624793265618	-0.3255178809233227	-0.18977611033123534	-0.28461892954897594	-0.3021139323904289	-0.17936618782602695	-0.1215263739717213	-0.10740710374059399	-0.18462486676673515	-0.12625918501835867	-0.05957008886060319	-0.003601912349710891	-0.1079838620760265	-0.08010155470330374	-0.15746633456004536	-0.0891996347200774	0.04719805711622732	0.028645663993148152	-0.08208628191640974	-0.06434248136163301	-0.04715282116835026	-0.13628460196661207	-0.019858581118029274	0.028295085397100937	0.06420677351800183	-0.12222187667033109	0.2110426603269381	-0.013174969819193682	-0.09096949118076736	0.003019499520793745	0.009018917107988808	0.0046310301639140026	-0.056822005027071805	-0.1838671646397944	-0.1861628889945552	-0.10274780110925683	-0.26532579777940996	-0.07442444324473273	-0.1706695768466622	-0.015035298175637769	-0.06681914950790203	0.012858318184054264	0.024257777049073347	-0.0040316538545429595	-0.09639780492601455	-0.18152620433715655	-0.25950166949023845	-0.17920786200845723	-0.2903299679684548	-0.37372809237329924	-0.3503693797882825	-0.3011696319784952	-0.28188215470241385	-0.277109762201384	-0.27671394765745977	-0.31121766690068714	-0.29010378822906946	-0.268678912415797	-0.2562333722561209	-0.0889564915002382	-0.1891936975023182	-0.22731063808222576	-0.23778276001576512	-0.08575039369445159	-0.2162278308523461	-0.23705333035624754	-0.19824088707773016	-0.18024263431614498	-0.19180041899873376	-0.04370358014272445	-0.16436481661129698	-0.2257160709195594	-0.2821366069092223	-0.2796769022434072	-0.2679947187041565	-0.16642870673318783	-0.1729539922144537	-0.27177757484537557	-0.2626794948286019	-0.24344856248736685	-0.22801744976780483	-0.2385461166361905	-0.3344180536681342	-0.32864481582032445	-0.38531980401679583	-0.1326826896169012	-0.09583235557755129
NO2	0.11488301347225624	0.19669929647892995	-0.21921630743225307	-0.18552286095604129	-0.11233884490529693	-0.2969067100356174	-0.28937119609828926	-0.04107228141088262	-0.14988211830394568	-0.20978572365326023	-0.1011698702872967	-0.05856810337428312	-0.08173421305290084	-0.1779948079236016	-0.13169989309080837	-0.033663602856658016	0.04910021507084805	0.024949265946955766	0.07721290469050394	0.027194998318377323	-0.04789154847892017	-0.04070669707134888	-0.10809359002377246	0.029836158648886394	0.07609376895723739	0.09789453304126991	-0.02862003115207007	0.12241106650469594	0.08140593323780931	-0.11791214085696439	0.006334308250288709	0.08115226247160223	0.019443118139284305	-0.1617151134570174	-0.23308612961986994	-0.09714844255242554	-0.12951384795849435	-0.10234123235478236	-0.06364897960331328	0.0019920616052144704	-0.09024710553061512	-0.06755849376485779	-0.14968813477684614	-0.009147069393231988	0.049144980500178716	-0.029522800643571757	-0.1496806738719577	-0.2803136575637186	-0.13685537836872297	-0.23814462313423476	-0.28649874771623846	-0.3481631266192257	-0.25311119834045287	-0.2956010516801398	-0.300480483477182	-0.22397636475108015	-0.2608332348999921	-0.2547749801305758	-0.21912677657359175	-0.2602885888431357	-0.20988271541681	-0.13191625933257323	-0.16040945510153976	-0.11171958979955611	-0.057799630170773414	-0.2359138125725901	-0.22010415511397788	-0.11744956475388088	-0.12189626406739333	-0.16515459061058996	-0.008512892477714272	-0.10147576738772289	-0.15758177214881958	-0.2635788478989394	-0.20971111460437578	-0.13481855133417783	-0.062320938533170306	-0.16626626543896805	-0.26037065879690857	-0.1883580048136499	-0.22124567356190977	-0.21517995788760502	-0.2287811874992379	-0.21341172342904385	-0.33638235780037307	-0.37645487795620425	-0.09840933547857253	-0.13282648972896335
NO2NO3	0.10002593065764244	0.1734298664385821	-0.18991838089066487	-0.2116917811531506	0.03912626519757835	-0.18094559968608662	-0.20283424667964034	0.04306111787261358	-0.08173462805528202	-0.16553546536042563	-0.0797589698084024	0.01191980475617367	-0.11501623760584151	-0.03713414313197474	-0.06514733069085527	0.014611639117547143	0.0516552312465399	0.08171816423655802	0.03234317188329168	0.009639565862900115	-0.08605638047033118	-0.09213976148884799	-0.1595673310729768	0.033009956541613546	0.02471219190471917	0.1661940181093855	-0.015945208434190884	0.1672806301451693	0.06791325223648673	-0.024160653977465276	0.03779269588093461	0.08706890532185697	0.043159900784957565	-0.1344764713376057	-0.2118481874310286	-0.12591528560112739	-0.18492984381729385	-0.16484398497401778	-0.2808398197939371	-0.013434476078781373	-0.07139534989661205	-0.14597644871631746	-0.04067386415763405	-0.02388076905915733	0.05417419551131141	-0.05290648146956366	-0.06108899937539006	-0.20756759456278942	-0.19046991881791875	-0.17823730150598915	-0.19980490403442494	-0.31018657666946137	-0.20078450124850275	-0.21287717610127838	-0.22218746558969857	-0.2162769546677837	-0.2424050349827666	-0.18390085514704405	-0.1437209055511299	-0.18070687431458868	-0.10703128552470308	-0.001769860512829654	-0.0930781991561158	-0.10713006843704706	-0.008552953827116327	-0.12260605803760403	-0.14871767453386292	-0.05749165498419676	-0.03561947180936704	-0.08416304131707154	0.027511041087798623	0.009968842237380052	-0.15409311134724787	-0.15613462486902346	-0.17225270339981633	-0.18389262323768205	-0.06706536557220089	-0.0838502287613156	-0.20649744634572964	-0.24110439330357086	-0.17322406870453214	-0.14862712353088095	-0.2880921319418577	-0.23850310994517937	-0.3862082596275165	-0.3370143692802141	-0.1428153955213101	-0.09653560108815512
