matrix_type	target_variable	list_top_tfs	correlated_tfs
M1	NO3	CadR-PbrR, CzrA, PhsR, TyrR, NmlR	{'CadR-PbrR': ['FixJ', 'PdhR', 'NarP', 'NiaR', 'TyrR'], 'CzrA': ['NsrR', 'Phr', 'BirA', 'ArgR', 'SahR_SamR'], 'PhsR': ['Zur', 'FUR', 'XylR', 'KdgR', 'Phr'], 'TyrR': ['NagR', 'NifA', 'Rex', 'AcnR', 'FruR'], 'NmlR': ['FixJ', 'ModE', 'RbkR', 'AgaR', 'BirA']}
M1	CarbonFlux	PdhR, Irr, GulR, NmlR, PaaR	{'PdhR': ['PhnR', 'LldR', 'HutC', 'PhnF', 'HexR'], 'Irr': ['NagC', 'AgaR', 'KdgR', 'FUR', 'NtrC'], 'GulR': ['NtrC', 'NrtR', 'SahR_SamR', 'NagC', 'MetR'], 'NmlR': ['FixJ', 'ModE', 'RbkR', 'AgaR', 'BirA'], 'PaaR': ['NadQ', 'NagC', 'ArgR', 'ThiR', 'RbkR']}
M1	NPP	NagC, VanR, GlcC, FnrN_FixK, ThiR	{'NagC': ['NrtR', 'MntR', 'KdgR', 'FUR', 'ArgR'], 'VanR': ['HypR', 'CcpA', 'PsrA', 'MetR', 'TrpR'], 'GlcC': ['FadR', 'PhrR', 'Irr', 'NrtR', 'NnrR'], 'FnrN_FixK': ['NtrC', 'HcpR', 'TrpR', 'Phr', 'Irr'], 'ThiR': ['Zur', 'NagC', 'FUR', 'MntR', 'ArgR']}
stress	Polar	MetR, HypR, PhnF, PurR, AcnR	{'MetR': ['FUR', 'SahR_SamR', 'NsrR', 'NrtR', 'NrdR'], 'HypR': ['NtrC', 'FabR', 'PdxR', 'PhnR', 'Rex'], 'PhnF': ['NsrR', 'FUR', 'MetR', 'NrtR', 'HutC'], 'PurR': ['NifA', 'FadP', 'MetR', 'GulR', 'ExuR_UxuR'], 'AcnR': ['GulR', 'PurR', 'HypR', 'AmtR', 'LiuR']}
stress	Temperature	NrdR, MetJ, PurR, AcnR, LexA	{'NrdR': ['NrtR', 'KdgR', 'FUR', 'NagC', 'ArgR'], 'MetJ': ['HisR', 'CblR', 'NrdR', 'NikR', 'TrpR'], 'PurR': ['NifA', 'FadP', 'MetR', 'GulR', 'ExuR_UxuR'], 'AcnR': ['GulR', 'PurR', 'HypR', 'AmtR', 'LiuR'], 'LexA': ['ThiR', 'ArgR', 'PaaR', 'Phr', 'NrtR']}
stress	Province	PurR, HutC, NtrC, MetR, HcpR	{'PurR': ['NifA', 'FadP', 'MetR', 'GulR', 'ExuR_UxuR'], 'HutC': ['MetR', 'SahR_SamR', 'FUR', 'NrtR', 'NsrR'], 'NtrC': ['HypR', 'TyrR', 'NagQ', 'Rex', 'PdxR'], 'MetR': ['FUR', 'SahR_SamR', 'NsrR', 'NrtR', 'NrdR'], 'HcpR': ['KdgR', 'NrdR', 'RbkR', 'NsrR', 'Zur']}
stress	Layer	BirA, CsoR, PdxR, MerR, LiuQ	{'BirA': ['NagC', 'NrtR', 'MetR', 'MntR', 'SahR_SamR'], 'CsoR': ['MetR', 'Phr', 'NagC', 'PurR', 'CzrA'], 'PdxR': ['ModE', 'SdaR', 'RbsR', 'HexR', 'Zur'], 'MerR': ['CueR', 'TyrR', 'NifA', 'GntR', 'FruR'], 'LiuQ': ['BirA', 'SahR_SamR', 'PurR', 'MntR', 'MetR']}
stress	Layer2	CsoR, MerR, BirA, LiuQ, SiaR	{'CsoR': ['MetR', 'Phr', 'NagC', 'PurR', 'CzrA'], 'MerR': ['CueR', 'TyrR', 'NifA', 'GntR', 'FruR'], 'BirA': ['NagC', 'NrtR', 'MetR', 'MntR', 'SahR_SamR'], 'LiuQ': ['BirA', 'SahR_SamR', 'PurR', 'MntR', 'MetR'], 'SiaR': ['BirA', 'NadQ', 'CsoR', 'Phr', 'NagC']}
stress	NO3	LtbR, GlcC, NmlR, NiaR, GulR	{'LtbR': ['PhnR', 'NnrR', 'AraR', 'CzrA', 'DasR'], 'GlcC': ['LldR', 'SahR_SamR', 'RbkR', 'Zur', 'NrtR'], 'NmlR': ['CueR', 'Zur', 'PaaR', 'NorR', 'LldR'], 'NiaR': ['HutC', 'GntR', 'SdaR', 'PdxR', 'Rex'], 'GulR': ['AraR', 'IscR', 'SdaR', 'CzrA', 'HexR']}
stress	CarbonFlux	BioQ, NtrC, SahR_SamR, CblR, LtbR	{'BioQ': ['GlcC', 'FabR', 'NiaR', 'LldR', 'PaaR'], 'NtrC': ['LldR', 'ModE', 'PaaR', 'AgaR', 'Rex'], 'SahR_SamR': ['MetR', 'NrtR', 'Zur', 'ArgR', 'FUR'], 'CblR': ['NifA', 'MetJ', 'MetR', 'NikR', 'Phr'], 'LtbR': ['PhnR', 'NnrR', 'AraR', 'CzrA', 'DasR']}
stress	NPP	AgaR, AmtR, NikR, LiuR, RutR	{'AgaR': ['ArgR', 'Zur', 'MntR', 'CzrA', 'NrtR'], 'AmtR': ['NsrR', 'NrtR', 'FUR', 'ArgR', 'RbkR'], 'NikR': ['TyrR', 'MetR', 'ThiR', 'HutC', 'PaaR'], 'LiuR': ['PhrR', 'ModE', 'HrcA', 'CsoR', 'Irr'], 'RutR': ['LldR', 'HexR', 'CueR', 'QorR', 'Zur']}
guidi	Polar	SahR_SamR, GguR, Zur, TrpR, SoxR	{'SahR_SamR': ['FUR', 'ArgR', 'NrtR', 'MetR', 'NsrR'], 'GguR': ['AmtR', 'PhnF', 'AraR', 'GulR', 'KdgR'], 'Zur': ['NagC', 'FUR', 'ArgR', 'NrtR', 'NsrR'], 'TrpR': ['Zur', 'MetR', 'PhnF', 'PrpR', 'ZntR'], 'SoxR': ['NikR', 'MetR', 'FUR', 'GguR', 'SahR_SamR']}
guidi	Temperature	SahR_SamR, FUR, TyrR, PhnF, PdxR	{'SahR_SamR': ['FUR', 'ArgR', 'NrtR', 'MetR', 'NsrR'], 'FUR': ['NagC', 'SahR_SamR', 'MetR', 'Zur', 'NsrR'], 'TyrR': ['BirA', 'KdgR', 'CzrA', 'ModE', 'ArgR'], 'PhnF': ['SahR_SamR', 'FUR', 'NagC', 'CzrA', 'MetR'], 'PdxR': ['PhnF', 'QorR', 'CadR-PbrR', 'LexA', 'FixJ']}
guidi	Province	SahR_SamR, PhnF, KdgR, TyrR, GguR	{'SahR_SamR': ['FUR', 'ArgR', 'NrtR', 'MetR', 'NsrR'], 'PhnF': ['SahR_SamR', 'FUR', 'NagC', 'CzrA', 'MetR'], 'KdgR': ['NagC', 'FUR', 'Zur', 'SahR_SamR', 'MetR'], 'TyrR': ['BirA', 'KdgR', 'CzrA', 'ModE', 'ArgR'], 'GguR': ['AmtR', 'PhnF', 'AraR', 'GulR', 'KdgR']}
guidi	Layer	NagC, PhnF, ArgR, NrtR, PdxR	{'NagC': ['NrtR', 'FUR', 'MntR', 'KdgR', 'NsrR'], 'PhnF': ['KdgR', 'CzrA', 'ArgR', 'IscR', 'NrtR'], 'ArgR': ['MntR', 'SahR_SamR', 'CzrA', 'KdgR', 'NagC'], 'NrtR': ['NagC', 'FUR', 'Phr', 'MntR', 'BirA'], 'PdxR': ['MerR', 'FnrN_FixK', 'NifA', 'Phr', 'XylR']}
guidi	Layer2	ArgR, FixJ, NifA, NrtR, PhnF	{'ArgR': ['MntR', 'SahR_SamR', 'CzrA', 'KdgR', 'NagC'], 'FixJ': ['NagC', 'KdgR', 'MntR', 'NrtR', 'FUR'], 'NifA': ['MerR', 'MntR', 'SahR_SamR', 'PdxR', 'Phr'], 'NrtR': ['NagC', 'FUR', 'Phr', 'MntR', 'BirA'], 'PhnF': ['KdgR', 'CzrA', 'ArgR', 'IscR', 'NrtR']}
guidi	NO3	ZntR, FadP, HypR, NmlR, LldR	{'ZntR': ['PhsR', 'DasR', 'MetR', 'NnrR', 'GguR'], 'FadP': ['BirA', 'NadQ', 'Zur', 'NsrR', 'NrtR'], 'HypR': ['NmlR', 'MetJ', 'VanR', 'HrcA', 'NorR'], 'NmlR': ['NagC', 'ThiR', 'HypR', 'ModE', 'RbkR'], 'LldR': ['NagC', 'PdhR', 'IscR', 'KdgR', 'NikR']}
