	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
NnrR	0.31	0.33	0.18	0.07	0.14	0.0	0.02	0.01	0.0	0.03	0.02	0.02	0.02	0.1
NorR	0.07	0.06	0.03	0.09	0.0	0.04	0.0	0.04	0.01	0.01	0.01	0.01	0.1	0.12
NrdR	0.01	0.02	0.06	0.0	0.11	0.01	0.12	0.01	0.0	0.01	0.03	0.01	0.0	0.01
NrtR	0.12	0.09	0.11	0.04	0.06	0.0	0.0	0.0	0.0	0.03	0.02	0.05	0.01	0.04
NsrR	0.2	0.21	0.19	0.1	0.11	0.0	0.0	0.01	0.0	0.02	0.01	0.01	0.0	0.02
NtrC	0.48	0.45	0.31	0.15	0.17	0.0	0.02	0.02	0.0	0.01	0.02	0.01	0.02	0.12
PaaR	0.16	0.14	0.19	0.03	0.09	0.0	0.0	0.0	0.01	0.03	0.0	0.01	0.0	0.0
PdhR	0.09	0.07	0.06	0.06	0.02	0.0	0.01	0.0	0.0	0.0	0.02	0.0	0.03	0.03
PdxR	0.22	0.19	0.1	0.18	0.11	0.0	0.0	0.0	0.0	0.0	0.06	0.01	0.02	0.02
PhnF	0.19	0.22	0.11	0.14	0.13	0.0	0.0	0.02	0.01	0.0	0.04	0.0	0.09	0.12
PhnR	0.12	0.13	0.16	0.09	0.08	0.02	0.03	0.01	0.06	0.04	0.01	0.0	0.0	0.01
Phr	0.08	0.06	0.08	0.02	0.06	0.0	0.0	0.0	0.0	0.03	0.02	0.02	0.01	0.04
PhrR	0.05	0.05	0.02	0.02	0.01	0.0	0.03	0.0	0.0	0.02	0.0	0.03	0.01	0.01
PhsR	0.26	0.26	0.14	0.03	0.03	0.0	0.05	0.01	0.0	0.0	0.0	0.01	0.0	0.01
PrpR	0.03	0.02	0.03	0.01	0.01	0.0	0.0	0.0	0.01	0.0	0.02	0.0	0.01	0.0
PsrA	0.08	0.09	0.08	0.07	0.01	0.0	0.01	0.02	0.02	0.04	0.0	0.06	0.01	0.0
PurR	0.38	0.4	0.31	0.23	0.17	0.0	0.02	0.07	0.01	0.0	0.02	0.0	0.0	0.02
QorR	0.09	0.07	0.05	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.01	0.0	0.01
RbkR	0.21	0.17	0.14	0.07	0.11	0.02	0.01	0.01	0.0	0.02	0.02	0.05	0.02	0.11
RbsR	0.08	0.09	0.08	0.04	0.07	0.0	0.01	0.05	0.0	0.01	0.04	0.01	0.0	0.01
Rex	0.01	0.01	0.0	0.0	0.0	0.0	0.09	0.03	0.0	0.01	0.0	0.03	0.0	0.03
RutR	0.03	0.05	0.0	0.0	0.02	0.02	0.01	0.03	0.0	0.0	0.0	0.0	0.01	0.0
SahR_SamR	0.38	0.37	0.3	0.18	0.18	0.0	0.0	0.01	0.0	0.02	0.02	0.01	0.04	0.07
SdaR	0.09	0.07	0.01	0.05	0.0	0.0	0.03	0.07	0.01	0.01	0.03	0.0	0.03	0.0
SiaR	0.34	0.3	0.22	0.19	0.15	0.0	0.01	0.04	0.0	0.0	0.07	0.01	0.0	0.04
SoxR	0.11	0.14	0.05	0.08	0.03	0.01	0.02	0.05	0.0	0.01	0.0	0.03	0.08	0.04
ThiR	0.17	0.15	0.15	0.06	0.12	0.0	0.0	0.0	0.0	0.03	0.03	0.04	0.05	0.09
TrpR	0.1	0.1	0.08	0.0	0.04	0.0	0.03	0.01	0.0	0.02	0.0	0.01	0.0	0.0
TtrR	0.06	0.07	0.06	0.01	0.05	0.01	0.03	0.0	0.01	0.02	0.02	0.03	0.0	0.0
TyrR	0.09	0.11	0.01	0.03	0.04	0.0	0.01	0.0	0.0	0.01	0.02	0.05	0.0	0.0
VanR	0.06	0.07	0.06	0.0	0.04	0.0	0.02	0.07	0.0	0.0	0.01	0.04	0.02	0.0
XylR	0.09	0.09	0.08	0.04	0.05	0.0	0.0	0.0	0.0	0.03	0.01	0.0	0.01	0.01
ZntR	0.12	0.1	0.06	0.12	0.03	0.0	0.0	0.01	0.0	0.0	0.0	0.02	0.0	0.01
Zur	0.21	0.23	0.18	0.09	0.11	0.0	0.01	0.0	0.0	0.06	0.0	0.01	0.05	0.1
