	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
MerR	0.16	0.02	0.03	0.03	0.02	0.01	0.27	0.12	0.01	0.01	0.0	0.02	0.0	0.02
MetJ	0.03	0.0	0.0	0.02	0.0	0.0	0.01	0.0	0.0	0.02	0.01	0.04	0.02	0.08
MetR	0.4	0.02	0.23	0.14	0.18	0.01	0.18	0.13	0.0	0.02	0.04	0.02	0.03	0.13
MntR	0.2	0.04	0.05	0.03	0.05	0.03	0.31	0.16	0.0	0.01	0.02	0.05	0.02	0.07
ModE	0.12	0.05	0.02	0.01	0.04	0.01	0.34	0.15	0.0	0.0	0.0	0.0	0.01	0.01
NadQ	0.15	0.01	0.08	0.04	0.08	0.03	0.2	0.11	0.01	0.03	0.03	0.0	0.0	0.03
NagC	0.25	0.03	0.06	0.03	0.05	0.02	0.34	0.17	0.0	0.01	0.02	0.05	0.01	0.05
NagQ	0.06	0.06	0.03	0.01	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.01
NagR	0.34	0.06	0.15	0.06	0.09	0.0	0.08	0.02	0.0	0.0	0.0	0.0	0.0	0.01
NarP	0.01	0.14	0.02	0.0	0.0	0.03	0.02	0.02	0.0	0.02	0.01	0.02	0.01	0.02
NiaR	0.08	0.01	0.02	0.01	0.0	0.01	0.16	0.09	0.01	0.0	0.0	0.04	0.0	0.01
NifA	0.16	0.02	0.04	0.03	0.04	0.02	0.27	0.15	0.0	0.03	0.01	0.0	0.0	0.01
NikR	0.0	0.03	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.01	0.03	0.0
NmlR	0.08	0.01	0.04	0.02	0.02	0.01	0.04	0.03	0.0	0.0	0.0	0.0	0.0	0.03
NnrR	0.28	0.0	0.13	0.04	0.11	0.01	0.23	0.12	0.0	0.01	0.02	0.01	0.0	0.05
NorR	0.0	0.0	0.0	0.0	0.02	0.01	0.01	0.03	0.01	0.01	0.01	0.02	0.12	0.1
NrdR	0.11	0.01	0.07	0.03	0.11	0.0	0.09	0.08	0.0	0.04	0.02	0.0	0.0	0.01
NrtR	0.16	0.09	0.02	0.02	0.03	0.03	0.39	0.21	0.0	0.01	0.01	0.04	0.01	0.05
NsrR	0.24	0.03	0.07	0.04	0.07	0.02	0.37	0.22	0.0	0.01	0.02	0.01	0.01	0.05
NtrC	0.35	0.03	0.2	0.09	0.12	0.0	0.14	0.08	0.0	0.0	0.0	0.01	0.02	0.08
PaaR	0.24	0.04	0.08	0.02	0.05	0.02	0.33	0.14	0.0	0.0	0.0	0.01	0.0	0.0
