	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
AcnR	0.02	0.02	0.04	0.02	0.01	0.06	0.02	0.05	0.01	0.0	0.0	0.2	0.07	0.06
AgaR	0.17	0.18	0.1	0.0	0.02	0.02	0.04	0.0	0.08	0.01	0.02	0.19	0.11	0.2
AmtR	0.0	0.01	0.0	0.01	0.0	0.01	0.04	0.0	0.0	0.07	0.01	0.01	0.0	0.0
AraR	0.03	0.03	0.03	0.0	0.0	0.01	0.04	0.0	0.01	0.04	0.0	0.14	0.06	0.05
ArgR	0.02	0.01	0.03	0.0	0.01	0.0	0.0	0.0	0.01	0.03	0.0	0.18	0.12	0.07
BioQ	0.02	0.02	0.02	0.0	0.0	0.0	0.04	0.0	0.01	0.02	0.02	0.11	0.12	0.06
BirA	0.04	0.02	0.02	0.01	0.01	0.02	0.0	0.0	0.0	0.05	0.01	0.23	0.04	0.06
CadR-PbrR	0.02	0.0	0.04	0.09	0.03	0.0	0.01	0.01	0.0	0.16	0.04	0.0	0.04	0.05
CblR	0.05	0.08	0.02	0.01	0.03	0.0	0.06	0.05	0.07	0.0	0.07	0.01	0.02	0.04
CcpA	0.06	0.02	0.01	0.02	0.01	0.1	0.01	0.0	0.0	0.02	0.01	0.12	0.01	0.07
CsoR	0.0	0.0	0.0	0.0	0.03	0.1	0.0	0.01	0.03	0.07	0.05	0.02	0.0	0.0
CueR	0.01	0.0	0.01	0.05	0.0	0.0	0.0	0.0	0.03	0.07	0.01	0.07	0.11	0.1
CzrA	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.13	0.04	0.01
DasR	0.02	0.02	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.04	0.03	0.05	0.19	0.07
ExuR_UxuR	0.16	0.12	0.02	0.01	0.02	0.09	0.0	0.03	0.01	0.0	0.06	0.18	0.01	0.01
FabR	0.28	0.32	0.24	0.02	0.17	0.06	0.05	0.02	0.11	0.04	0.39	0.15	0.0	0.05
FadP	0.08	0.05	0.09	0.0	0.01	0.05	0.02	0.0	0.01	0.0	0.02	0.2	0.05	0.12
FadR	0.09	0.06	0.17	0.02	0.03	0.07	0.07	0.0	0.04	0.01	0.04	0.22	0.16	0.19
FixJ	0.0	0.0	0.0	0.0	0.02	0.0	0.05	0.06	0.0	0.06	0.02	0.1	0.08	0.05
FnrN_FixK	0.0	0.01	0.09	0.0	0.1	0.01	0.01	0.0	0.02	0.0	0.1	0.17	0.15	0.05
FruR	0.06	0.04	0.09	0.0	0.01	0.05	0.03	0.01	0.0	0.01	0.0	0.32	0.27	0.14
FUR	0.15	0.13	0.11	0.0	0.05	0.03	0.02	0.0	0.04	0.03	0.05	0.3	0.09	0.11
GguR	0.01	0.05	0.07	0.03	0.0	0.0	0.14	0.04	0.1	0.04	0.01	0.01	0.01	0.0
GlcC	0.02	0.01	0.0	0.02	0.0	0.01	0.04	0.01	0.0	0.02	0.0	0.07	0.07	0.01
GntR	0.25	0.25	0.16	0.0	0.06	0.02	0.09	0.02	0.11	0.02	0.06	0.29	0.07	0.08
GulR	0.14	0.15	0.05	0.0	0.01	0.0	0.08	0.0	0.06	0.03	0.01	0.07	0.16	0.15
HcpR	0.03	0.04	0.0	0.01	0.04	0.02	0.02	0.09	0.01	0.05	0.09	0.02	0.0	0.02
HexR	0.0	0.01	0.01	0.01	0.01	0.03	0.01	0.0	0.01	0.01	0.01	0.05	0.02	0.0
HisR	0.0	0.01	0.01	0.01	0.0	0.0	0.02	0.02	0.05	0.03	0.02	0.05	0.01	0.0
HrcA	0.14	0.13	0.03	0.0	0.0	0.0	0.03	0.01	0.02	0.0	0.0	0.08	0.01	0.05
HutC	0.0	0.0	0.05	0.06	0.0	0.02	0.05	0.03	0.02	0.02	0.01	0.13	0.07	0.01
HypR	0.0	0.01	0.02	0.06	0.06	0.01	0.0	0.06	0.01	0.05	0.08	0.01	0.0	0.01
Irr	0.04	0.07	0.05	0.01	0.04	0.01	0.03	0.0	0.05	0.01	0.03	0.05	0.0	0.0
IscR	0.09	0.09	0.13	0.0	0.05	0.03	0.03	0.01	0.06	0.01	0.04	0.24	0.15	0.16
KdgR	0.18	0.14	0.12	0.0	0.06	0.05	0.01	0.0	0.02	0.02	0.06	0.35	0.1	0.18
LexA	0.07	0.06	0.02	0.0	0.0	0.04	0.01	0.01	0.01	0.0	0.01	0.0	0.05	0.13
LiuQ	0.18	0.14	0.03	0.06	0.02	0.02	0.01	0.01	0.01	0.01	0.06	0.05	0.07	0.13
LiuR	0.14	0.14	0.2	0.0	0.03	0.09	0.14	0.08	0.11	0.0	0.04	0.22	0.04	0.1
LldR	0.05	0.03	0.14	0.0	0.04	0.04	0.0	0.0	0.02	0.01	0.02	0.1	0.0	0.04
LtbR	0.07	0.02	0.03	0.02	0.06	0.04	0.0	0.03	0.0	0.03	0.09	0.16	0.01	0.04
MerR	0.03	0.01	0.01	0.01	0.0	0.02	0.0	0.01	0.0	0.01	0.0	0.19	0.03	0.05
MetJ	0.0	0.0	0.0	0.0	0.0	0.01	0.03	0.01	0.0	0.02	0.0	0.07	0.04	0.15
MetR	0.17	0.16	0.16	0.0	0.08	0.05	0.03	0.02	0.06	0.01	0.09	0.3	0.12	0.22
MntR	0.12	0.09	0.09	0.0	0.04	0.04	0.01	0.0	0.02	0.02	0.04	0.3	0.12	0.16
ModE	0.0	0.0	0.01	0.0	0.0	0.0	0.02	0.0	0.01	0.0	0.0	0.1	0.05	0.0
NadQ	0.0	0.0	0.03	0.04	0.02	0.01	0.0	0.0	0.01	0.06	0.04	0.11	0.04	0.03
NagC	0.12	0.09	0.09	0.01	0.04	0.02	0.01	0.0	0.02	0.02	0.04	0.29	0.08	0.15
NagQ	0.05	0.08	0.0	0.03	0.01	0.0	0.02	0.01	0.04	0.01	0.01	0.0	0.02	0.0
NagR	0.15	0.1	0.05	0.05	0.02	0.02	0.12	0.02	0.05	0.0	0.03	0.05	0.01	0.01
NarP	0.01	0.0	0.05	0.0	0.03	0.07	0.0	0.0	0.01	0.01	0.03	0.24	0.02	0.05
NiaR	0.01	0.01	0.01	0.0	0.01	0.0	0.03	0.0	0.01	0.01	0.04	0.14	0.0	0.0
NifA	0.01	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.08	0.02	0.0
NikR	0.05	0.05	0.0	0.0	0.01	0.06	0.0	0.04	0.05	0.0	0.01	0.0	0.02	0.01
NmlR	0.07	0.05	0.01	0.0	0.0	0.03	0.01	0.0	0.02	0.01	0.0	0.1	0.01	0.03
NnrR	0.16	0.14	0.08	0.01	0.05	0.02	0.02	0.0	0.02	0.01	0.06	0.23	0.03	0.04
NorR	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.03	0.04	0.11	0.12
NrdR	0.05	0.06	0.1	0.0	0.04	0.01	0.02	0.07	0.03	0.06	0.1	0.09	0.0	0.0
NrtR	0.06	0.03	0.05	0.0	0.02	0.02	0.01	0.0	0.01	0.02	0.01	0.22	0.1	0.11
NsrR	0.04	0.03	0.08	0.0	0.03	0.01	0.03	0.0	0.03	0.01	0.03	0.2	0.09	0.09
NtrC	0.16	0.16	0.07	0.01	0.02	0.0	0.03	0.0	0.05	0.0	0.01	0.18	0.06	0.07
PaaR	0.07	0.05	0.04	0.0	0.01	0.03	0.08	0.02	0.02	0.0	0.01	0.13	0.03	0.01
PdhR	0.02	0.01	0.02	0.04	0.01	0.0	0.01	0.0	0.01	0.01	0.0	0.02	0.01	0.0
PdxR	0.09	0.09	0.08	0.02	0.02	0.01	0.14	0.0	0.07	0.03	0.02	0.14	0.2	0.04
PhnF	0.0	0.0	0.1	0.04	0.01	0.01	0.17	0.04	0.08	0.04	0.0	0.06	0.11	0.0
PhnR	0.06	0.06	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.03	0.01	0.03	0.11	0.03
Phr	0.04	0.02	0.04	0.01	0.02	0.01	0.01	0.0	0.01	0.04	0.01	0.23	0.06	0.09
PhrR	0.0	0.0	0.0	0.01	0.0	0.01	0.01	0.0	0.0	0.06	0.0	0.08	0.04	0.01
PhsR	0.0	0.01	0.01	0.01	0.03	0.02	0.02	0.0	0.01	0.0	0.05	0.0	0.01	0.0
PrpR	0.11	0.13	0.01	0.04	0.0	0.01	0.03	0.0	0.06	0.03	0.0	0.02	0.01	0.01
PsrA	0.02	0.02	0.01	0.03	0.0	0.03	0.05	0.0	0.04	0.11	0.0	0.07	0.05	0.02
PurR	0.18	0.14	0.23	0.0	0.08	0.07	0.05	0.0	0.06	0.0	0.06	0.3	0.05	0.08
QorR	0.05	0.06	0.0	0.0	0.0	0.01	0.0	0.01	0.02	0.0	0.0	0.0	0.0	0.02
RbkR	0.07	0.04	0.08	0.0	0.02	0.07	0.04	0.0	0.03	0.01	0.01	0.25	0.06	0.08
RbsR	0.05	0.05	0.06	0.0	0.03	0.01	0.02	0.04	0.02	0.0	0.03	0.22	0.0	0.0
Rex	0.0	0.0	0.01	0.0	0.01	0.0	0.01	0.01	0.0	0.08	0.0	0.13	0.06	0.06
RutR	0.02	0.03	0.01	0.01	0.0	0.01	0.01	0.0	0.02	0.11	0.02	0.0	0.02	0.0
SahR_SamR	0.1	0.09	0.1	0.0	0.03	0.02	0.03	0.0	0.04	0.01	0.02	0.25	0.11	0.15
SdaR	0.13	0.12	0.02	0.0	0.02	0.01	0.05	0.03	0.03	0.06	0.06	0.02	0.01	0.02
SiaR	0.08	0.13	0.08	0.0	0.09	0.0	0.02	0.01	0.02	0.01	0.14	0.07	0.03	0.02
SoxR	0.01	0.01	0.0	0.0	0.02	0.01	0.06	0.08	0.03	0.04	0.06	0.01	0.0	0.02
ThiR	0.08	0.06	0.09	0.0	0.04	0.03	0.01	0.0	0.02	0.03	0.05	0.27	0.15	0.15
TrpR	0.06	0.07	0.0	0.03	0.04	0.01	0.03	0.01	0.0	0.02	0.13	0.0	0.04	0.0
