	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
NmlR	0.1	0.06	0.08	0.01	0.01	0.0	0.0	0.01	0.0	0.03	0.0	0.0	0.0	0.01
NnrR	0.13	0.0	0.03	0.0	0.03	0.02	0.14	0.08	0.01	0.02	0.01	0.01	0.01	0.04
NorR	0.01	0.04	0.0	0.0	0.01	0.01	0.06	0.03	0.0	0.0	0.03	0.06	0.04	0.01
NrdR	0.06	0.0	0.01	0.0	0.0	0.0	0.06	0.0	0.01	0.01	0.0	0.05	0.01	0.0
NrtR	0.26	0.01	0.07	0.06	0.05	0.02	0.26	0.15	0.01	0.0	0.0	0.0	0.02	0.02
NsrR	0.26	0.0	0.13	0.06	0.11	0.04	0.13	0.13	0.0	0.0	0.01	0.01	0.03	0.07
NtrC	0.11	0.01	0.07	0.02	0.03	0.01	0.03	0.01	0.0	0.0	0.0	0.0	0.0	0.01
PaaR	0.07	0.0	0.02	0.04	0.0	0.0	0.05	0.04	0.0	0.01	0.0	0.02	0.0	0.0
PdhR	0.05	0.02	0.02	0.0	0.0	0.01	0.1	0.0	0.01	0.0	0.01	0.03	0.0	0.03
PdxR	0.0	0.09	0.05	0.0	0.0	0.0	0.15	0.11	0.01	0.01	0.01	0.01	0.0	0.0
PhnF	0.34	0.04	0.18	0.14	0.09	0.0	0.06	0.03	0.01	0.0	0.02	0.0	0.02	0.02
PhnR	0.04	0.0	0.03	0.0	0.03	0.0	0.03	0.01	0.0	0.01	0.0	0.0	0.01	0.0
Phr	0.09	0.04	0.01	0.03	0.03	0.04	0.13	0.07	0.0	0.01	0.02	0.08	0.1	0.07
PhrR	0.02	0.04	0.0	0.01	0.0	0.01	0.13	0.1	0.01	0.0	0.01	0.01	0.02	0.05
PhsR	0.16	0.1	0.17	0.07	0.06	0.01	0.01	0.02	0.0	0.0	0.07	0.01	0.02	0.0
PrpR	0.03	0.03	0.08	0.02	0.08	0.02	0.0	0.01	0.02	0.0	0.12	0.0	0.0	0.0
PsrA	0.01	0.05	0.0	0.0	0.01	0.01	0.07	0.06	0.0	0.01	0.0	0.11	0.0	0.0
PurR	0.2	0.04	0.1	0.1	0.05	0.01	0.05	0.11	0.0	0.0	0.01	0.01	0.0	0.02
QorR	0.03	0.0	0.03	0.0	0.0	0.03	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.01
RbkR	0.09	0.02	0.02	0.03	0.03	0.0	0.14	0.06	0.0	0.02	0.0	0.03	0.01	0.02
RbsR	0.08	0.01	0.03	0.01	0.05	0.0	0.05	0.05	0.0	0.01	0.01	0.01	0.02	0.0
Rex	0.01	0.11	0.0	0.0	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.01	0.05	0.03
RutR	0.01	0.1	0.04	0.03	0.03	0.02	0.02	0.01	0.0	0.0	0.01	0.01	0.01	0.01
SahR_SamR	0.31	0.02	0.23	0.12	0.11	0.02	0.13	0.08	0.0	0.01	0.03	0.01	0.06	0.06
SdaR	0.0	0.01	0.01	0.02	0.0	0.01	0.0	0.01	0.01	0.0	0.0	0.07	0.03	0.01
SiaR	0.16	0.0	0.07	0.06	0.03	0.03	0.1	0.11	0.0	0.01	0.01	0.01	0.03	0.0
SoxR	0.03	0.05	0.04	0.04	0.01	0.01	0.02	0.02	0.0	0.0	0.01	0.05	0.0	0.01
ThiR	0.1	0.0	0.04	0.03	0.01	0.0	0.09	0.04	0.0	0.0	0.0	0.04	0.02	0.02
TrpR	0.03	0.02	0.02	0.04	0.01	0.03	0.0	0.0	0.06	0.0	0.04	0.0	0.0	0.0
TtrR	0.02	0.0	0.01	0.02	0.02	0.02	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.0
TyrR	0.0	0.0	0.03	0.01	0.01	0.04	0.01	0.02	0.0	0.0	0.0	0.03	0.01	0.0
VanR	0.1	0.06	0.06	0.08	0.04	0.02	0.0	0.0	0.0	0.0	0.03	0.01	0.0	0.0
XylR	0.24	0.0	0.08	0.04	0.08	0.0	0.14	0.07	0.02	0.0	0.03	0.0	0.06	0.03
ZntR	0.05	0.02	0.0	0.02	0.0	0.01	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.02
Zur	0.21	0.07	0.18	0.13	0.18	0.0	0.01	0.03	0.01	0.01	0.04	0.01	0.08	0.08
