	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
MntR	0.13	0.2	0.01	0.01	0.03	0.01	0.04	0.04	0.01	0.02	0.02	0.25	0.03	0.05		
ModE	0.08	0.1	0.07	0.0	0.0	0.05	0.03	0.08	0.01	0.01	0.01	0.05	0.01	0.12		
NadQ	0.13	0.23	0.0	0.02	0.0	0.07	0.0	0.0	0.0	0.02	0.03	0.01	0.0	0.03		
NagC	0.01	0.16	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.0	0.03	0.05	0.0	0.0		
NagQ	0.0	0.25	0.0	0.26	0.05	0.16	0.32	0.09	0.05	0.15	0.16	0.16	0.05	0.08		
NagR	0.15	0.16	0.02	0.03	0.04	0.05	0.01	0.04	0.02	0.12	0.01	0.28	0.04	0.05		
NarP	0.01	0.01	0.01	0.07	0.01	0.0	0.11	0.24	0.0	0.0	0.0	0.13	0.08	0.14		
NiaR	0.01	0.03	0.02	0.0	0.0	0.01	0.07	0.05	0.06	0.01	0.08	0.0	0.0	0.05		
NifA	0.0	0.01	0.06	0.01	0.02	0.14	0.12	0.14	0.25	0.07	0.02	0.0	0.0	0.08		
NikR	0.0	0.16	0.11	0.0	0.0	0.02	0.0	0.03	0.05	0.05	0.0	0.2	0.07	0.05		
NmlR	0.0	0.0	0.09	0.01	0.02	0.02	0.05	0.01	0.0	0.0	0.13	0.02	0.08	0.02		
NnrR	0.0	0.04	0.06	0.03	0.0	0.01	0.0	0.0	0.0	0.02	0.0	0.0	0.01	0.01		
NorR	0.14	0.08	0.0	0.03	0.14	0.01	0.08	0.1	0.01	0.04	0.04	0.07	0.17	0.09		
NrdR	0.06	0.1	0.01	0.01	0.0	0.0	0.07	0.03	0.07	0.0	0.0	0.0	0.0	0.04		
NrtR	0.0	0.02	0.03	0.0	0.09	0.0	0.07	0.18	0.07	0.05	0.01	0.01	0.04	0.12		
NsrR	0.0	0.06	0.02	0.03	0.03	0.06	0.06	0.19	0.06	0.01	0.0	0.0	0.0	0.08		
NtrC	0.13	0.26	0.07	0.15	0.03	0.01	0.21	0.09	0.0	0.14	0.01	0.01	0.0	0.14		
PaaR	0.0	0.04	0.02	0.06	0.01	0.0	0.04	0.05	0.01	0.0	0.22	0.23	0.01	0.05		
PdhR	0.0	0.07	0.01	0.07	0.02	0.02	0.06	0.02	0.13	0.04	0.03	0.08	0.02	0.0		
PdxR	0.03	0.2	0.0	0.08	0.0	0.04	0.06	0.0	0.11	0.0	0.0	0.0	0.0	0.02		
PhnF	0.0	0.02	0.08	0.0	0.01	0.02	0.37	0.32	0.1	0.02	0.08	0.09	0.0	0.24		
PhnR	0.0	0.02	0.02	0.03	0.04	0.06	0.01	0.09	0.0	0.02	0.06	0.01	0.04	0.1		
Phr	0.01	0.1	0.04	0.01	0.04	0.01	0.0	0.04	0.03	0.0	0.0	0.02	0.0	0.02		
PhrR	0.35	0.28	0.01	0.08	0.08	0.11	0.0	0.02	0.13	0.19	0.0	0.14	0.09	0.07		
PhsR	0.01	0.1	0.02	0.01	0.01	0.05	0.01	0.0	0.03	0.02	0.05	0.02	0.03	0.03		
PrpR	0.0	0.0	0.03	0.0	0.0	0.04	0.01	0.0	0.07	0.06	0.0	0.0	0.01	0.03		
PsrA	0.0	0.06	0.04	0.08	0.01	0.02	0.17	0.09	0.01	0.02	0.01	0.0	0.0	0.2		
PurR	0.16	0.3	0.0	0.01	0.01	0.02	0.0	0.02	0.01	0.07	0.0	0.01	0.02	0.05		
QorR	0.0	0.01	0.18	0.12	0.02	0.03	0.0	0.01	0.0	0.0	0.01	0.09	0.07	0.03		
RbkR	0.04	0.16	0.01	0.0	0.0	0.03	0.01	0.04	0.0	0.02	0.05	0.32	0.01	0.06		
RbsR	0.15	0.03	0.13	0.0	0.05	0.07	0.06	0.04	0.01	0.04	0.03	0.2	0.05	0.02		
Rex	0.05	0.05	0.04	0.02	0.01	0.06	0.11	0.13	0.02	0.0	0.05	0.09	0.01	0.18		
RutR	0.05	0.19	0.0	0.04	0.0	0.0	0.03	0.11	0.02	0.03	0.03	0.24	0.0	0.13		
SahR_SamR	0.01	0.07	0.07	0.11	0.01	0.01	0.09	0.01	0.0	0.0	0.0	0.03	0.01	0.0		
SdaR	0.15	0.02	0.01	0.0	0.06	0.07	0.2	0.17	0.0	0.04	0.0	0.16	0.03	0.18		
